ko:K19296	ppi:YSA_03112
ko:K01692	ppi:YSA_01349
ko:K00626	ppi:YSA_01353
ko:K00616	ppi:YSA_01447
ko:K06149	ppi:YSA_01510
ko:K03406	ppi:YSA_01537
ko:K06147	ppi:YSA_01539
ko:K04085	ppi:YSA_01546
ko:K03776	ppi:YSA_01554
ko:K06177	ppi:YSA_01557
ko:K03286	ppi:YSA_01607
ko:K07114	ppi:YSA_01728
ko:K07114	ppi:YSA_01730
ko:K02441	ppi:YSA_01757
ko:K00219	ppi:YSA_01767
ko:K18968	ppi:YSA_07372
ko:K03455	ppi:YSA_04947
ko:K07126	ppi:YSA_04990
ko:K03499	ppi:YSA_05096
ko:K13590	ppi:YSA_05218
ko:K02067	ppi:YSA_05241
ko:K00799	ppi:YSA_05368
ko:K01719	ppi:YSA_05375
ko:K05844	ppi:YSA_05480
ko:K03406	ppi:YSA_05644
ko:K00380	ppi:YSA_06804
ko:K07126	ppi:YSA_06810
ko:K07338	ppi:YSA_06910
ko:K02454	ppi:YSA_07178
ko:K02463	ppi:YSA_07190
ko:K03613	ppi:YSA_07267
ko:K03612	ppi:YSA_07269
ko:K03614	ppi:YSA_07270
ko:K03617	ppi:YSA_07271
ko:K03593	ppi:YSA_07275
ko:K07116	ppi:YSA_07291
ko:K01424	ppi:YSA_07400
ko:K00799	ppi:YSA_07403
ko:K07660	ppi:YSA_07450
ko:K06889	ppi:YSA_02647
ko:K07793	ppi:YSA_02815
ko:K07120	ppi:YSA_02817
ko:K01081	ppi:YSA_02819
ko:K06183	ppi:YSA_02827
ko:K03406	ppi:YSA_02920
ko:K14335	ppi:YSA_02924
ko:K06986	ppi:YSA_02926
ko:K03442	ppi:YSA_02956
ko:K03635	ppi:YSA_03077
ko:K00066	ppi:YSA_03091
ko:K02014	ppi:YSA_03151
ko:K00626	ppi:YSA_03210
ko:K07054	ppi:YSA_03249
ko:K03406	ppi:YSA_03252
ko:K07028	ppi:YSA_03323
ko:K00970	ppi:YSA_03355
ko:K02843	ppi:YSA_05700
ko:K02014	ppi:YSA_05714
ko:K02342	ppi:YSA_05719
ko:K07182	ppi:YSA_05720
ko:K00652	ppi:YSA_05737
ko:K01409	ppi:YSA_05791
ko:K12262	ppi:YSA_09996
ko:K12262	ppi:YSA_04065
ko:K03769	ppi:YSA_10424
ko:K00131	ppi:YSA_11271
ko:K09815	ppi:YSA_09303
ko:K10531	ppi:YSA_09310
ko:K01759	ppi:YSA_09351
ko:K02228	ppi:YSA_09357
ko:K00575	ppi:YSA_09364
ko:K00626	ppi:YSA_09377
ko:K00799	ppi:YSA_09396
ko:K02004	ppi:YSA_09414
ko:K01607	ppi:YSA_09520
ko:K03406	ppi:YSA_09532
ko:K02049	ppi:YSA_09542
ko:K02051	ppi:YSA_09544
ko:K02050	ppi:YSA_09546
ko:K02030	ppi:YSA_09565
ko:K00054	ppi:YSA_09663
ko:K13636	ppi:YSA_09667
ko:K10439	ppi:YSA_09815
ko:K00059	ppi:YSA_09856
ko:K03406	ppi:YSA_09947
ko:K02055	ppi:YSA_09963
ko:K07116	ppi:YSA_10023
ko:K03768	ppi:YSA_10028
ko:K11209	ppi:YSA_10096
ko:K00380	ppi:YSA_10138
ko:K00666	ppi:YSA_10294
ko:K00567	ppi:YSA_10299
ko:K03769	ppi:YSA_10406
ko:K01907	ppi:YSA_10410
ko:K06910	ppi:YSA_10431
ko:K14162	ppi:YSA_10556
ko:K01784	ppi:YSA_10583
ko:K03606	ppi:YSA_10608
ko:K02014	ppi:YSA_10633
ko:K01243	ppi:YSA_10735
ko:K07027	ppi:YSA_10751
ko:K01692	ppi:YSA_10797
ko:K03560	ppi:YSA_07520
ko:K03406	ppi:YSA_07538
ko:K03548	ppi:YSA_07555
ko:K06988	ppi:YSA_10893
ko:K03307	ppi:YSA_07858
ko:K03776	ppi:YSA_07866
ko:K03498	ppi:YSA_07890
ko:K01724	ppi:YSA_07920
ko:K00575	ppi:YSA_08017
ko:K06603	ppi:YSA_08071
ko:K10942	ppi:YSA_08082
ko:K10943	ppi:YSA_08084
ko:K02414	ppi:YSA_08100
ko:K02193	ppi:YSA_08173
ko:K02200	ppi:YSA_08185
ko:K02200	ppi:YSA_08188
ko:K08167	ppi:YSA_08224
ko:K00241	ppi:YSA_08434
ko:K00647	ppi:YSA_08506
ko:K02014	ppi:YSA_08512
ko:K02014	ppi:YSA_08548
ko:K03469	ppi:YSA_08564
ko:K02342	ppi:YSA_08566
ko:K02014	ppi:YSA_08574
ko:K00666	ppi:YSA_08670
ko:K00700	ppi:YSA_08679
ko:K00033	ppi:YSA_08701
ko:K00784	ppi:YSA_08716
ko:K01692	ppi:YSA_08722
ko:K07393	ppi:YSA_08779
ko:K11179	ppi:YSA_08783
ko:K01601	ppi:YSA_08807
ko:K00799	ppi:YSA_08833
ko:K00276	ppi:YSA_08839
ko:K03498	ppi:YSA_08916
ko:K02035	ppi:YSA_08937
ko:K02033	ppi:YSA_08939
ko:K04774	ppi:YSA_09011
ko:K13953	ppi:YSA_09230
ko:K02017	ppi:YSA_09246
ko:K00383	ppi:YSA_09269
ko:K02052	ppi:YSA_09273
ko:K02055	ppi:YSA_09280
ko:K01091	ppi:YSA_05150
ko:K01414	ppi:YSA_05152
ko:K07070	ppi:YSA_05154
ko:K01673	ppi:YSA_05162
ko:K02275	ppi:YSA_05172
ko:K02276	ppi:YSA_05178
ko:K02259	ppi:YSA_05183
ko:K07152	ppi:YSA_05185
ko:K02073	ppi:YSA_05187
ko:K02072	ppi:YSA_05189
ko:K02071	ppi:YSA_05192
ko:K03781	ppi:YSA_05195
ko:K09816	ppi:YSA_05201
ko:K09817	ppi:YSA_05202
ko:K09823	ppi:YSA_05204
ko:K03427	ppi:YSA_03553
ko:K01153	ppi:YSA_03558
ko:K01706	ppi:YSA_03618
ko:K10805	ppi:YSA_03626
ko:K07007	ppi:YSA_03635
ko:K15553	ppi:YSA_00051
ko:K14977	ppi:YSA_00055
ko:K00481	ppi:YSA_00076
ko:K07789	ppi:YSA_00189
ko:K07788	ppi:YSA_00193
ko:K07799	ppi:YSA_00197
ko:K11065	ppi:YSA_00198
ko:K03837	ppi:YSA_00206
ko:K00832	ppi:YSA_00207
ko:K02029	ppi:YSA_00213
ko:K02029	ppi:YSA_00214
ko:K00285	ppi:YSA_00216
ko:K02036	ppi:YSA_00235
ko:K02038	ppi:YSA_00236
ko:K02037	ppi:YSA_00239
ko:K02040	ppi:YSA_00242
ko:K01531	ppi:YSA_00275
ko:K00375	ppi:YSA_00284
ko:K01640	ppi:YSA_00082
ko:K07507	ppi:YSA_00085
ko:K03446	ppi:YSA_00104
ko:K03543	ppi:YSA_00109
ko:K07084	ppi:YSA_00124
ko:K02002	ppi:YSA_00131
ko:K02001	ppi:YSA_00133
ko:K07088	ppi:YSA_00137
ko:K01714	ppi:YSA_00297
ko:K00694	ppi:YSA_00308
ko:K11891	ppi:YSA_00322
ko:K11910	ppi:YSA_00323
ko:K11909	ppi:YSA_00324
ko:K11901	ppi:YSA_00327
ko:K11900	ppi:YSA_00331
ko:K11905	ppi:YSA_00332
ko:K11896	ppi:YSA_00335
ko:K11895	ppi:YSA_00336
ko:K11906	ppi:YSA_00340
ko:K11893	ppi:YSA_00341
ko:K01999	ppi:YSA_00292
ko:K09857	ppi:YSA_00410
ko:K06192	ppi:YSA_00411
ko:K03808	ppi:YSA_00413
ko:K03808	ppi:YSA_00412
ko:K06911	ppi:YSA_00434
ko:K12536	ppi:YSA_00445
ko:K12537	ppi:YSA_00446
ko:K07240	ppi:YSA_00454
ko:K01740	ppi:YSA_00517
ko:K06950	ppi:YSA_00522
ko:K16088	ppi:YSA_00523
ko:K01425	ppi:YSA_00525
ko:K08195	ppi:YSA_00528
ko:K10218	ppi:YSA_00539
ko:K01495	ppi:YSA_00545
ko:K01821	ppi:YSA_00566
ko:K15785	ppi:YSA_00591
ko:K15786	ppi:YSA_00594
ko:K15782	ppi:YSA_00596
ko:K15784	ppi:YSA_00597
ko:K15783	ppi:YSA_00599
ko:K01754	ppi:YSA_00602
ko:K07733	ppi:YSA_00735
ko:K12055	ppi:YSA_00737
ko:K03630	ppi:YSA_00761
ko:K05358	ppi:YSA_00152
ko:K07267	ppi:YSA_00154
ko:K01438	ppi:YSA_00157
ko:K03088	ppi:YSA_00177
ko:K11903	ppi:YSA_00347
ko:K02624	ppi:YSA_00361
ko:K00014	ppi:YSA_00364
ko:K08191	ppi:YSA_00370
ko:K11892	ppi:YSA_00343
ko:K00457	ppi:YSA_00456
ko:K02029	ppi:YSA_00613
ko:K02029	ppi:YSA_00615
ko:K06199	ppi:YSA_00635
ko:K00134	ppi:YSA_00655
ko:K00426	ppi:YSA_00666
ko:K05795	ppi:YSA_00857
ko:K05795	ppi:YSA_00858
ko:K01150	ppi:YSA_00941
ko:K03717	ppi:YSA_00957
ko:K07862	ppi:YSA_00959
ko:K09915	ppi:YSA_00960
ko:K03387	ppi:YSA_00964
ko:K04487	ppi:YSA_00977
ko:K10679	ppi:YSA_00982
ko:K08159	ppi:YSA_00989
ko:K13979	ppi:YSA_00995
ko:K09930	ppi:YSA_01039
ko:K02336	ppi:YSA_01050
ko:K09190	ppi:YSA_01056
ko:K07152	ppi:YSA_01070
ko:K07400	ppi:YSA_01073
ko:K00381	ppi:YSA_01088
ko:K06222	ppi:YSA_01096
ko:K08223	ppi:YSA_01101
ko:K07347	ppi:YSA_01109
ko:K09794	ppi:YSA_01127
ko:K06916	ppi:YSA_01128
ko:K01908	ppi:YSA_01129
ko:K07168	ppi:YSA_01133
ko:K11103	ppi:YSA_01254
ko:K07090	ppi:YSA_01275
ko:K02471	ppi:YSA_01286
ko:K11939	ppi:YSA_01301
ko:K05559	ppi:YSA_01323
ko:K05560	ppi:YSA_01324
ko:K05561	ppi:YSA_01326
ko:K05562	ppi:YSA_01328
ko:K05563	ppi:YSA_01329
ko:K05564	ppi:YSA_01331
ko:K06204	ppi:YSA_01341
ko:K00425	ppi:YSA_00668
ko:K07112	ppi:YSA_00684
ko:K07112	ppi:YSA_00686
ko:K00137	ppi:YSA_00712
ko:K04764	ppi:YSA_00899
ko:K01890	ppi:YSA_00901
ko:K01889	ppi:YSA_00903
ko:K02887	ppi:YSA_00904
ko:K02916	ppi:YSA_00905
ko:K02520	ppi:YSA_00907
ko:K01868	ppi:YSA_00909
ko:K03704	ppi:YSA_00914
ko:K06726	ppi:YSA_00921
ko:K02529	ppi:YSA_00924
ko:K10441	ppi:YSA_00928
ko:K05597	ppi:YSA_00932
ko:K01725	ppi:YSA_00935
ko:K01975	ppi:YSA_00997
ko:K02016	ppi:YSA_01008
ko:K02015	ppi:YSA_01009
ko:K02013	ppi:YSA_01010
ko:K03762	ppi:YSA_01019
ko:K15726	ppi:YSA_01021
ko:K03786	ppi:YSA_01026
ko:K00014	ppi:YSA_01027
ko:K15977	ppi:YSA_01037
ko:K09929	ppi:YSA_01038
ko:K01737	ppi:YSA_01143
ko:K06938	ppi:YSA_01148
ko:K01682	ppi:YSA_01150
ko:K01720	ppi:YSA_01152
ko:K01665	ppi:YSA_01169
ko:K00390	ppi:YSA_01171
ko:K13634	ppi:YSA_01174
ko:K00077	ppi:YSA_01179
ko:K01626	ppi:YSA_01181
ko:K06975	ppi:YSA_01183
ko:K10804	ppi:YSA_01193
ko:K02003	ppi:YSA_01192
ko:K01895	ppi:YSA_01357
ko:K03430	ppi:YSA_01367
ko:K05306	ppi:YSA_01369
ko:K08303	ppi:YSA_01372
ko:K06916	ppi:YSA_01382
ko:K05539	ppi:YSA_01446
ko:K04754	ppi:YSA_01457
ko:K06879	ppi:YSA_01462
ko:K07644	ppi:YSA_01466
ko:K09808	ppi:YSA_01467
ko:K09808	ppi:YSA_01470
ko:K01126	ppi:YSA_01472
ko:K00322	ppi:YSA_01473
ko:K03734	ppi:YSA_01476
ko:K03535	ppi:YSA_09614
ko:K00134	ppi:YSA_01477
ko:K03723	ppi:YSA_01480
ko:K01207	ppi:YSA_01486
ko:K01356	ppi:YSA_01490
ko:K06968	ppi:YSA_01549
ko:K01681	ppi:YSA_01552
ko:K03320	ppi:YSA_01565
ko:K01129	ppi:YSA_01574
ko:K07690	ppi:YSA_01577
ko:K07679	ppi:YSA_01578
ko:K09923	ppi:YSA_01580
ko:K07259	ppi:YSA_01582
ko:K12297	ppi:YSA_01589
ko:K03812	ppi:YSA_01592
ko:K02575	ppi:YSA_01602
ko:K03088	ppi:YSA_01609
ko:K16074	ppi:YSA_01616
ko:K02553	ppi:YSA_01617
ko:K09773	ppi:YSA_01623
ko:K15371	ppi:YSA_01626
ko:K01586	ppi:YSA_01632
ko:K03088	ppi:YSA_01633
ko:K16088	ppi:YSA_01637
ko:K03827	ppi:YSA_01646
ko:K03543	ppi:YSA_01654
ko:K09977	ppi:YSA_01762
ko:K07677	ppi:YSA_01800
ko:K07677	ppi:YSA_01804
ko:K07687	ppi:YSA_01806
ko:K07345	ppi:YSA_01807
ko:K07347	ppi:YSA_01812
ko:K10764	ppi:YSA_01821
ko:K00764	ppi:YSA_01822
ko:K03558	ppi:YSA_01825
ko:K03749	ppi:YSA_01830
ko:K11754	ppi:YSA_01832
ko:K01963	ppi:YSA_01833
ko:K01817	ppi:YSA_01835
ko:K06173	ppi:YSA_01837
ko:K00133	ppi:YSA_01849
ko:K00052	ppi:YSA_01850
ko:K01704	ppi:YSA_01853
ko:K01703	ppi:YSA_01854
ko:K04080	ppi:YSA_01860
ko:K05541	ppi:YSA_01862
ko:K07107	ppi:YSA_01863
ko:K04760	ppi:YSA_01195
ko:K15977	ppi:YSA_01198
ko:K03424	ppi:YSA_01201
ko:K07001	ppi:YSA_01213
ko:K03770	ppi:YSA_01216
ko:K03530	ppi:YSA_01217
ko:K01338	ppi:YSA_01220
ko:K03544	ppi:YSA_01224
ko:K01358	ppi:YSA_01225
ko:K03545	ppi:YSA_01228
ko:K01491	ppi:YSA_01235
ko:K06169	ppi:YSA_01399
ko:K00126	ppi:YSA_01401
ko:K00123	ppi:YSA_01404
ko:K03607	ppi:YSA_01410
ko:K07010	ppi:YSA_01418
ko:K01915	ppi:YSA_01420
ko:K13652	ppi:YSA_01428
ko:K03168	ppi:YSA_01498
ko:K01825	ppi:YSA_01503
ko:K15738	ppi:YSA_01513
ko:K08309	ppi:YSA_01515
ko:K07140	ppi:YSA_01516
ko:K03415	ppi:YSA_01518
ko:K03750	ppi:YSA_01531
ko:K03638	ppi:YSA_01533
ko:K03473	ppi:YSA_01544
ko:K13639	ppi:YSA_01661
ko:K03300	ppi:YSA_01669
ko:K07107	ppi:YSA_01684
ko:K03543	ppi:YSA_01872
ko:K03446	ppi:YSA_01874
ko:K03702	ppi:YSA_01876
ko:K00832	ppi:YSA_01878
ko:K09986	ppi:YSA_01885
ko:K03639	ppi:YSA_01889
ko:K03424	ppi:YSA_01893
ko:K02341	ppi:YSA_01895
ko:K00943	ppi:YSA_01896
ko:K07082	ppi:YSA_01899
ko:K09458	ppi:YSA_01903
ko:K02078	ppi:YSA_01905
ko:K07347	ppi:YSA_01995
ko:K06923	ppi:YSA_02007
ko:K00432	ppi:YSA_02010
ko:K14260	ppi:YSA_02012
ko:K03799	ppi:YSA_02013
ko:K00655	ppi:YSA_02061
ko:K03284	ppi:YSA_02064
ko:K07238	ppi:YSA_02081
ko:K08967	ppi:YSA_02089
ko:K05820	ppi:YSA_02088
ko:K01736	ppi:YSA_02092
ko:K07320	ppi:YSA_02097
ko:K01495	ppi:YSA_02104
ko:K05782	ppi:YSA_02112
ko:K01591	ppi:YSA_02125
ko:K02237	ppi:YSA_02128
ko:K01810	ppi:YSA_02143
ko:K01627	ppi:YSA_02147
ko:K06041	ppi:YSA_02150
ko:K13007	ppi:YSA_02156
ko:K01711	ppi:YSA_02165
ko:K14393	ppi:YSA_02294
ko:K02002	ppi:YSA_02298
ko:K04754	ppi:YSA_02307
ko:K07001	ppi:YSA_02310
ko:K02517	ppi:YSA_02313
ko:K03610	ppi:YSA_02314
ko:K03609	ppi:YSA_02315
ko:K03608	ppi:YSA_02318
ko:K02053	ppi:YSA_02332
ko:K03797	ppi:YSA_02338
ko:K01628	ppi:YSA_01712
ko:K01714	ppi:YSA_01714
ko:K05782	ppi:YSA_01717
ko:K03924	ppi:YSA_01724
ko:K03547	ppi:YSA_01736
ko:K01256	ppi:YSA_01752
ko:K09916	ppi:YSA_01755
ko:K00858	ppi:YSA_01760
ko:K00645	ppi:YSA_01909
ko:K03621	ppi:YSA_01911
ko:K02911	ppi:YSA_01913
ko:K07040	ppi:YSA_01915
ko:K04773	ppi:YSA_01917
ko:K01091	ppi:YSA_01920
ko:K08300	ppi:YSA_01924
ko:K00075	ppi:YSA_01927
ko:K00979	ppi:YSA_01930
ko:K09791	ppi:YSA_01932
ko:K00912	ppi:YSA_01935
ko:K03561	ppi:YSA_01938
ko:K05592	ppi:YSA_02020
ko:K01626	ppi:YSA_02025
ko:K07090	ppi:YSA_02030
ko:K02356	ppi:YSA_02038
ko:K00067	ppi:YSA_02200
ko:K00973	ppi:YSA_02201
ko:K01790	ppi:YSA_02203
ko:K15778	ppi:YSA_02215
ko:K05788	ppi:YSA_02229
ko:K03773	ppi:YSA_02348
ko:K02623	ppi:YSA_02351
ko:K16165	ppi:YSA_02366
ko:K00363	ppi:YSA_02370
ko:K00362	ppi:YSA_02371
ko:K01265	ppi:YSA_02378
ko:K03554	ppi:YSA_02379
ko:K03710	ppi:YSA_02388
ko:K10763	ppi:YSA_02439
ko:K09938	ppi:YSA_02443
ko:K01933	ppi:YSA_02447
ko:K11175	ppi:YSA_02450
ko:K09912	ppi:YSA_02464
ko:K03215	ppi:YSA_02469
ko:K12339	ppi:YSA_02470
ko:K07678	ppi:YSA_02476
ko:K03778	ppi:YSA_02479
ko:K03809	ppi:YSA_02487
ko:K05589	ppi:YSA_02544
ko:K01689	ppi:YSA_02547
ko:K01627	ppi:YSA_02548
ko:K01937	ppi:YSA_02550
ko:K04075	ppi:YSA_02553
ko:K01962	ppi:YSA_02554
ko:K02337	ppi:YSA_02557
ko:K03470	ppi:YSA_02558
ko:K00748	ppi:YSA_02559
ko:K00677	ppi:YSA_02560
ko:K02372	ppi:YSA_02562
ko:K02536	ppi:YSA_02563
ko:K06142	ppi:YSA_02564
ko:K07277	ppi:YSA_02567
ko:K11749	ppi:YSA_02568
ko:K00099	ppi:YSA_02570
ko:K00981	ppi:YSA_02571
ko:K00806	ppi:YSA_02572
ko:K02838	ppi:YSA_02573
ko:K09903	ppi:YSA_02575
ko:K02357	ppi:YSA_02577
ko:K02967	ppi:YSA_02581
ko:K01265	ppi:YSA_02584
ko:K00990	ppi:YSA_02587
ko:K14267	ppi:YSA_02589
ko:K11734	ppi:YSA_07910
ko:K11735	ppi:YSA_10044
ko:K01766	ppi:YSA_02595
ko:K02426	ppi:YSA_02597
ko:K00563	ppi:YSA_02606
ko:K03704	ppi:YSA_02608
ko:K00631	ppi:YSA_02612
ko:K09914	ppi:YSA_02614
ko:K15984	ppi:YSA_02624
ko:K02945	ppi:YSA_02233
ko:K00945	ppi:YSA_02234
ko:K14170	ppi:YSA_02238
ko:K00831	ppi:YSA_02241
ko:K02469	ppi:YSA_02244
ko:K08963	ppi:YSA_02246
ko:K07396	ppi:YSA_02256
ko:K07146	ppi:YSA_02257
ko:K05527	ppi:YSA_02259
ko:K09924	ppi:YSA_02262
ko:K15461	ppi:YSA_02269
ko:K01953	ppi:YSA_02272
ko:K03563	ppi:YSA_02280
ko:K09760	ppi:YSA_02395
ko:K06076	ppi:YSA_02406
ko:K00432	ppi:YSA_02414
ko:K02233	ppi:YSA_02421
ko:K00768	ppi:YSA_02426
ko:K02231	ppi:YSA_02427
ko:K02232	ppi:YSA_02428
ko:K02225	ppi:YSA_02429
ko:K02227	ppi:YSA_02430
ko:K04719	ppi:YSA_02431
ko:K02224	ppi:YSA_02433
ko:K14058	ppi:YSA_02493
ko:K02742	ppi:YSA_02496
ko:K00528	ppi:YSA_02498
ko:K00901	ppi:YSA_02500
ko:K06966	ppi:YSA_02509
ko:K03565	ppi:YSA_02511
ko:K03555	ppi:YSA_02519
ko:K06194	ppi:YSA_02528
ko:K00573	ppi:YSA_02529
ko:K03787	ppi:YSA_02531
ko:K06176	ppi:YSA_02534
ko:K01770	ppi:YSA_02535
ko:K01070	ppi:YSA_02536
ko:K00991	ppi:YSA_02542
ko:K04567	ppi:YSA_02655
