ko:K10942	psc:A458_13485
ko:K03640	psc:A458_14675
ko:K03641	psc:A458_14680
ko:K03562	psc:A458_14695
ko:K01075	psc:A458_14700
ko:K03551	psc:A458_14705
ko:K03550	psc:A458_14710
ko:K01159	psc:A458_14715
ko:K01876	psc:A458_14725
ko:K04047	psc:A458_14730
ko:K03704	psc:A458_14735
ko:K03745	psc:A458_14740
ko:K01881	psc:A458_14755
ko:K07058	psc:A458_14785
ko:K03809	psc:A458_14795
ko:K10763	psc:A458_14805
ko:K09938	psc:A458_14815
ko:K01933	psc:A458_14820
ko:K11175	psc:A458_14825
ko:K00549	psc:A458_14920
ko:K03576	psc:A458_14930
ko:K04337	psc:A458_14955
ko:K04338	psc:A458_14960
ko:K06214	psc:A458_14965
ko:K04335	psc:A458_14970
ko:K16089	psc:A458_15010
ko:K02015	psc:A458_15015
ko:K02015	psc:A458_15020
ko:K02013	psc:A458_15025
ko:K02016	psc:A458_15030
ko:K06969	psc:A458_15035
ko:K03301	psc:A458_15050
ko:K02203	psc:A458_15065
ko:K08482	psc:A458_15155
ko:K03580	psc:A458_15535
ko:K04046	psc:A458_15545
ko:K06153	psc:A458_15565
ko:K02044	psc:A458_15570
ko:K02041	psc:A458_15575
ko:K02042	psc:A458_15580
ko:K02042	psc:A458_15585
ko:K01999	psc:A458_15595
ko:K01997	psc:A458_15600
ko:K01998	psc:A458_15605
ko:K01995	psc:A458_15610
ko:K01996	psc:A458_15615
ko:K02346	psc:A458_15715
ko:K07107	psc:A458_15725
ko:K03702	psc:A458_15735
ko:K00832	psc:A458_15740
ko:K01733	psc:A458_15755
ko:K00003	psc:A458_15760
ko:K03981	psc:A458_15770
ko:K02884	psc:A458_15780
ko:K00554	psc:A458_15785
ko:K02860	psc:A458_15790
ko:K02959	psc:A458_15795
ko:K03106	psc:A458_15800
ko:K08289	psc:A458_15815
ko:K06938	psc:A458_15820
ko:K01952	psc:A458_15850
ko:K09972	psc:A458_15855
ko:K09971	psc:A458_15860
ko:K09970	psc:A458_15865
ko:K09969	psc:A458_15870
ko:K06999	psc:A458_15875
ko:K03732	psc:A458_15880
ko:K03636	psc:A458_15895
ko:K03637	psc:A458_15900
ko:K07175	psc:A458_15905
ko:K09861	psc:A458_15915
ko:K06915	psc:A458_15930
ko:K01433	psc:A458_15940
ko:K01141	psc:A458_15950
ko:K03924	psc:A458_15975
ko:K00873	psc:A458_16000
ko:K01676	psc:A458_16015
ko:K07323	psc:A458_16560
ko:K02066	psc:A458_16570
ko:K02065	psc:A458_16575
ko:K06041	psc:A458_16580
ko:K03270	psc:A458_16585
ko:K11719	psc:A458_16590
ko:K09774	psc:A458_16595
ko:K06861	psc:A458_16600
ko:K03092	psc:A458_16605
ko:K05808	psc:A458_16610
ko:K06958	psc:A458_16620
ko:K03592	psc:A458_16630
ko:K09889	psc:A458_16635
ko:K03568	psc:A458_16640
ko:K08301	psc:A458_16655
ko:K06287	psc:A458_16660
ko:K03571	psc:A458_16670
ko:K03570	psc:A458_16675
ko:K03569	psc:A458_16680
ko:K02435	psc:A458_16685
ko:K02434	psc:A458_16695
ko:K03642	psc:A458_16700
ko:K07301	psc:A458_16705
ko:K07301	psc:A458_16710
ko:K07088	psc:A458_16730
ko:K15012	psc:A458_16735
ko:K15011	psc:A458_16740
ko:K16089	psc:A458_16750
ko:K09939	psc:A458_16755
ko:K16090	psc:A458_16775
ko:K01581	psc:A458_16790
ko:K02837	psc:A458_16795
ko:K00117	psc:A458_16805
ko:K02769	psc:A458_16810
ko:K02770	psc:A458_16810
ko:K10805	psc:A458_17385
ko:K07007	psc:A458_17400
ko:K03308	psc:A458_17440
ko:K00451	psc:A458_17455
ko:K00457	psc:A458_17460
ko:K03308	psc:A458_17465
ko:K00263	psc:A458_17470
ko:K04090	psc:A458_17475
ko:K05800	psc:A458_17480
ko:K09005	psc:A458_17485
ko:K02106	psc:A458_17490
ko:K00019	psc:A458_17500
ko:K00948	psc:A458_17505
ko:K02106	psc:A458_17515
ko:K03464	psc:A458_17520
ko:K09780	psc:A458_17525
ko:K03547	psc:A458_17590
ko:K16092	psc:A458_17600
ko:K06985	psc:A458_17620
ko:K01095	psc:A458_17625
ko:K00946	psc:A458_17630
ko:K03625	psc:A458_17635
ko:K00794	psc:A458_17640
ko:K14652	psc:A458_17645
ko:K03524	psc:A458_18175
ko:K01866	psc:A458_18190
ko:K09001	psc:A458_18200
ko:K15724	psc:A458_18205
ko:K00145	psc:A458_18210
ko:K08973	psc:A458_18215
ko:K02503	psc:A458_18230
ko:K06134	psc:A458_18235
ko:K01611	psc:A458_18240
ko:K07397	psc:A458_18245
ko:K01609	psc:A458_18255
ko:K00766	psc:A458_18260
ko:K01657	psc:A458_18270
ko:K01091	psc:A458_18275
ko:K01783	psc:A458_18280
ko:K02053	psc:A458_18320
ko:K05801	psc:A458_18355
ko:K07102	psc:A458_18365
ko:K04744	psc:A458_18370
ko:K03771	psc:A458_18375
ko:K00097	psc:A458_18380
ko:K02528	psc:A458_18385
ko:K06195	psc:A458_18390
ko:K02439	psc:A458_18400
ko:K07180	psc:A458_18405
ko:K09786	psc:A458_18410
ko:K09768	psc:A458_18705
ko:K05834	psc:A458_18710
ko:K06158	psc:A458_18725
ko:K07740	psc:A458_18740
ko:K03611	psc:A458_18745
ko:K02498	psc:A458_18750
ko:K02496	psc:A458_18755
ko:K01749	psc:A458_18765
ko:K08083	psc:A458_18770
ko:K08082	psc:A458_18775
ko:K01755	psc:A458_18780
ko:K05851	psc:A458_18815
ko:K06140	psc:A458_18820
ko:K06202	psc:A458_18825
ko:K01586	psc:A458_18835
ko:K01778	psc:A458_18840
ko:K09921	psc:A458_18845
ko:K03733	psc:A458_18850
ko:K03320	psc:A458_18870
ko:K03320	psc:A458_18875
ko:K04752	psc:A458_18880
ko:K07391	psc:A458_18890
ko:K02168	psc:A458_18895
ko:K03656	psc:A458_18905
ko:K11068	psc:A458_18910
ko:K00140	psc:A458_18920
ko:K00134	psc:A458_18935
ko:K05343	psc:A458_18945
ko:K03816	psc:A458_18955
ko:K08985	psc:A458_14835
ko:K14267	psc:A458_14840
ko:K03671	psc:A458_14855
ko:K01766	psc:A458_14870
ko:K02426	psc:A458_14875
ko:K09954	psc:A458_14900
ko:K00111	psc:A458_14915
ko:K02057	psc:A458_15220
ko:K02057	psc:A458_15225
ko:K02503	psc:A458_15375
ko:K01295	psc:A458_15380
ko:K01061	psc:A458_15415
ko:K07137	psc:A458_15435
ko:K03437	psc:A458_15440
ko:K05786	psc:A458_15470
ko:K03578	psc:A458_15475
ko:K05520	psc:A458_16030
ko:K06205	psc:A458_16065
ko:K13938	psc:A458_16075
ko:K07589	psc:A458_16080
ko:K09948	psc:A458_16085
ko:K06203	psc:A458_16095
ko:K00432	psc:A458_16110
ko:K03775	psc:A458_16115
ko:K00925	psc:A458_16120
ko:K13788	psc:A458_16125
ko:K07286	psc:A458_16225
ko:K00116	psc:A458_16235
ko:K03321	psc:A458_16245
ko:K06966	psc:A458_16255
ko:K07507	psc:A458_16275
ko:K04064	psc:A458_16285
ko:K03594	psc:A458_16295
ko:K03435	psc:A458_16825
ko:K06219	psc:A458_16835
ko:K09936	psc:A458_16850
ko:K03327	psc:A458_16865
ko:K08983	psc:A458_16870
ko:K03113	psc:A458_16880
ko:K08084	psc:A458_16890
ko:K02671	psc:A458_16900
ko:K02672	psc:A458_16905
ko:K02673	psc:A458_16910
ko:K02655	psc:A458_16920
ko:K03527	psc:A458_16925
ko:K03774	psc:A458_16930
ko:K03101	psc:A458_16935
ko:K01870	psc:A458_16940
ko:K11753	psc:A458_16945
ko:K03980	psc:A458_16950
ko:K02968	psc:A458_16955
ko:K05805	psc:A458_16960
ko:K00931	psc:A458_16965
ko:K03979	psc:A458_16970
ko:K02899	psc:A458_16975
ko:K02888	psc:A458_16980
ko:K02523	psc:A458_16985
ko:K03773	psc:A458_16995
ko:K06876	psc:A458_17005
ko:K00428	psc:A458_17030
ko:K03282	psc:A458_17035
ko:K09794	psc:A458_17040
ko:K04485	psc:A458_17050
ko:K00600	psc:A458_17065
ko:K00262	psc:A458_17095
ko:K00793	psc:A458_17650
ko:K11752	psc:A458_17655
ko:K07738	psc:A458_17660
ko:K01975	psc:A458_17675
ko:K07112	psc:A458_17685
ko:K05838	psc:A458_17690
ko:K02003	psc:A458_17705
ko:K09950	psc:A458_17715
ko:K03832	psc:A458_17725
ko:K03561	psc:A458_17735
ko:K03561	psc:A458_17740
ko:K07275	psc:A458_17750
ko:K00067	psc:A458_17760
ko:K07402	psc:A458_17835
ko:K13483	psc:A458_17840
ko:K11178	psc:A458_17845
ko:K11177	psc:A458_17850
ko:K00950	psc:A458_18425
ko:K01633	psc:A458_18430
ko:K08591	psc:A458_18435
ko:K02970	psc:A458_18445
ko:K03086	psc:A458_18455
ko:K01740	psc:A458_18525
ko:K03672	psc:A458_18530
ko:K08224	psc:A458_18560
ko:K01599	psc:A458_18565
ko:K00266	psc:A458_18570
ko:K03112	psc:A458_18580
ko:K01735	psc:A458_18585
ko:K00891	psc:A458_18590
ko:K02666	psc:A458_18595
ko:K02662	psc:A458_18615
ko:K05366	psc:A458_18620
ko:K00029	psc:A458_18625
ko:K02909	psc:A458_18635
ko:K04066	psc:A458_18640
ko:K01887	psc:A458_18645
ko:K03182	psc:A458_18660
ko:K03628	psc:A458_18665
ko:K03671	psc:A458_18670
ko:K01524	psc:A458_18675
ko:K00937	psc:A458_18680
ko:K01698	psc:A458_18685
ko:K00285	psc:A458_18980
ko:K00074	psc:A458_19015
ko:K03630	psc:A458_19030
ko:K13038	psc:A458_19035
ko:K15778	psc:A458_19045
ko:K00930	psc:A458_19050
ko:K00762	psc:A458_19065
ko:K01142	psc:A458_19070
ko:K09940	psc:A458_19075
ko:K00989	psc:A458_19080
ko:K00942	psc:A458_19090
ko:K03060	psc:A458_19095
ko:K03798	psc:A458_19125
ko:K08988	psc:A458_19140
ko:K06872	psc:A458_19145
ko:K03744	psc:A458_19150
ko:K00252	psc:A458_19170
ko:K05787	psc:A458_19185
ko:K05297	psc:A458_19190
ko:K03303	psc:A458_19200
ko:K01638	psc:A458_19205
ko:K11477	psc:A458_19210
ko:K11473	psc:A458_19215
ko:K11472	psc:A458_19220
ko:K11474	psc:A458_19230
ko:K03181	psc:A458_19235
ko:K03179	psc:A458_19240
ko:K02379	psc:A458_19840
ko:K07107	psc:A458_19850
ko:K03704	psc:A458_19905
ko:K03301	psc:A458_19930
ko:K03654	psc:A458_19955
ko:K01610	psc:A458_19965
ko:K04083	psc:A458_19970
ko:K04762	psc:A458_19975
ko:K07638	psc:A458_19990
ko:K07659	psc:A458_19995
ko:K00901	psc:A458_20000
ko:K00694	psc:A458_20030
ko:K06959	psc:A458_20045
ko:K01919	psc:A458_20055
ko:K14682	psc:A458_20060
ko:K01438	psc:A458_20065
ko:K03306	psc:A458_20070
ko:K07220	psc:A458_20075
ko:K02458	psc:A458_20655
ko:K02457	psc:A458_20660
ko:K02456	psc:A458_20665
ko:K02455	psc:A458_20670
ko:K00324	psc:A458_20680
ko:K00324	psc:A458_20685
ko:K00325	psc:A458_20690
ko:K03923	psc:A458_20695
ko:K14347	psc:A458_20700
ko:K11903	psc:A458_20755
ko:K02204	psc:A458_20770
ko:K00995	psc:A458_20775
ko:K00981	psc:A458_20785
ko:K06966	psc:A458_20790
ko:K02913	psc:A458_20810
ko:K02902	psc:A458_20815
ko:K07516	psc:A458_20855
ko:K11906	psc:A458_20890
ko:K11893	psc:A458_20895
ko:K11892	psc:A458_20900
ko:K11891	psc:A458_20905
ko:K07787	psc:A458_21525
ko:K07798	psc:A458_21530
ko:K07240	psc:A458_21555
ko:K07644	psc:A458_21600
ko:K15726	psc:A458_21630
ko:K03611	psc:A458_21650
ko:K00820	psc:A458_21700
ko:K04042	psc:A458_21710
ko:K02114	psc:A458_21715
ko:K02112	psc:A458_21720
ko:K02115	psc:A458_21725
ko:K02111	psc:A458_21730
ko:K02113	psc:A458_21735
ko:K02109	psc:A458_21740
ko:K02110	psc:A458_21745
ko:K02108	psc:A458_21750
ko:K03501	psc:A458_21770
ko:K03495	psc:A458_21775
ko:K03650	psc:A458_21780
ko:K03217	psc:A458_21785
ko:K08998	psc:A458_21790
ko:K02535	psc:A458_16300
ko:K03531	psc:A458_16305
ko:K03590	psc:A458_16310
ko:K03589	psc:A458_16315
ko:K01921	psc:A458_16320
ko:K01924	psc:A458_16325
ko:K02563	psc:A458_16330
ko:K03588	psc:A458_16335
ko:K01925	psc:A458_16340
ko:K01000	psc:A458_16345
ko:K01929	psc:A458_16350
ko:K01928	psc:A458_16355
ko:K03587	psc:A458_16360
ko:K03586	psc:A458_16365
ko:K03438	psc:A458_16370
ko:K03925	psc:A458_16375
ko:K07056	psc:A458_16380
ko:K07121	psc:A458_16385
