ko:K16697	bsq:B657_35590
ko:K08964	bsq:B657_13610
ko:K08724	bsq:B657_15160
ko:K02824	bsq:B657_15480
ko:K02823	bsq:B657_15530
ko:K15629	bsq:B657_02100
ko:K00547	bsq:B657_02410
ko:K11626	bsq:B657_02420
ko:K03535	bsq:B657_02480
ko:K01113	bsq:B657_02620
ko:K01424	bsq:B657_02690
ko:K09697	bsq:B657_02750
ko:K09696	bsq:B657_02760
ko:K03697	bsq:B657_13700
ko:K00949	bsq:B657_15800
ko:K06414	bsq:B657_15810
ko:K07030	bsq:B657_15840
ko:K00059	bsq:B657_15910
ko:K11189	bsq:B657_13900
ko:K08483	bsq:B657_13910
ko:K03406	bsq:B657_13950
ko:K00841	bsq:B657_14000
ko:K07098	bsq:B657_14050
ko:K09787	bsq:B657_15970
ko:K09764	bsq:B657_16640
ko:K05822	bsq:B657_14180
ko:K03635	bsq:B657_14300
ko:K06147	bsq:B657_14320
ko:K06147	bsq:B657_14330
ko:K02005	bsq:B657_14350
ko:K02004	bsq:B657_14370
ko:K03436	bsq:B657_14380
ko:K00882	bsq:B657_14390
ko:K02414	bsq:B657_16270
ko:K03499	bsq:B657_14510
ko:K03177	bsq:B657_16660
ko:K00059	bsq:B657_16870
ko:K00639	bsq:B657_17000
ko:K15329	bsq:B657_17120
ko:K07094	bsq:B657_06600
ko:K14338	bsq:B657_07250
ko:K01560	bsq:B657_07330
ko:K03294	bsq:B657_07340
ko:K06994	bsq:B657_05650
ko:K01077	bsq:B657_05740
ko:K05937	bsq:B657_05750
ko:K03307	bsq:B657_06660
ko:K02433	bsq:B657_06680
ko:K03492	bsq:B657_05850
ko:K01409	bsq:B657_05940
ko:K07052	bsq:B657_06010
ko:K07720	bsq:B657_06960
ko:K02025	bsq:B657_06980
ko:K07104	bsq:B657_08240
ko:K09167	bsq:B657_04590
ko:K08981	bsq:B657_04600
ko:K07315	bsq:B657_04700
ko:K03090	bsq:B657_04730
ko:K05518	bsq:B657_04740
ko:K03095	bsq:B657_04790
ko:K01104	bsq:B657_07880
ko:K07586	bsq:B657_08680
ko:K11085	bsq:B657_08690
ko:K09825	bsq:B657_08730
ko:K01226	bsq:B657_07810
ko:K03486	bsq:B657_07820
ko:K03647	bsq:B657_17370
ko:K03713	bsq:B657_17450
ko:K00854	bsq:B657_17610
ko:K03299	bsq:B657_19520
ko:K03307	bsq:B657_19580
ko:K03784	bsq:B657_19630
ko:K09976	bsq:B657_17910
ko:K06196	bsq:B657_17930
ko:K03647	bsq:B657_20070
ko:K00974	bsq:B657_22450
ko:K03886	bsq:B657_22560
ko:K04517	bsq:B657_22610
ko:K02768	bsq:B657_12010
ko:K02769	bsq:B657_12010
ko:K00666	bsq:B657_18250
ko:K00059	bsq:B657_18500
ko:K00058	bsq:B657_18560
ko:K03406	bsq:B657_18610
ko:K01569	bsq:B657_18670
ko:K01181	bsq:B657_18840
ko:K00274	bsq:B657_19020
ko:K07305	bsq:B657_21680
ko:K07304	bsq:B657_21690
ko:K03469	bsq:B657_21970
ko:K03469	bsq:B657_21990
ko:K16168	bsq:B657_22040
ko:K16167	bsq:B657_22050
ko:K19689	bsq:B657_14450
ko:K06877	bsq:B657_22220
ko:K03700	bsq:B657_22310
ko:K02086	bsq:B657_22350
ko:K03297	bsq:B657_33570
ko:K18198	bsq:B657_07060
ko:K11741	bsq:B657_34500
ko:K18924	bsq:B657_34490
ko:K00805	bsq:B657_22740
ko:K00805	bsq:B657_22760
ko:K01823	bsq:B657_22870
ko:K06313	bsq:B657_22920
ko:K07052	bsq:B657_23010
ko:K05337	bsq:B657_23040
ko:K00058	bsq:B657_23070
ko:K01515	bsq:B657_23610
ko:K06889	bsq:B657_23640
ko:K00867	bsq:B657_23760
ko:K00784	bsq:B657_23840
ko:K00033	bsq:B657_23860
ko:K01966	bsq:B657_23920
ko:K00929	bsq:B657_24070
ko:K09763	bsq:B657_23230
ko:K07069	bsq:B657_23328
ko:K03768	bsq:B657_23360
ko:K07258	bsq:B657_23480
ko:K03783	bsq:B657_23490
ko:K04763	bsq:B657_23510
ko:K03711	bsq:B657_23520
ko:K00027	bsq:B657_23550
ko:K01424	bsq:B657_23580
ko:K00626	bsq:B657_24170
ko:K01262	bsq:B657_24460
ko:K13280	bsq:B657_24630
ko:K02249	bsq:B657_24670
ko:K02248	bsq:B657_24680
ko:K02246	bsq:B657_24700
ko:K02245	bsq:B657_24710
ko:K02244	bsq:B657_24720
ko:K02243	bsq:B657_24730
ko:K16509	bsq:B657_24770
ko:K00845	bsq:B657_24850
ko:K01934	bsq:B657_24890
ko:K00657	bsq:B657_26600
ko:K09815	bsq:B657_26830
ko:K00121	bsq:B657_26970
ko:K00010	bsq:B657_27770
ko:K07105	bsq:B657_27890
ko:K04518	bsq:B657_27900
ko:K07584	bsq:B657_27950
ko:K06402	bsq:B657_27970
ko:K02236	bsq:B657_28070
ko:K01719	bsq:B657_28140
ko:K04076	bsq:B657_28210
ko:K02428	bsq:B657_28360
ko:K00241	bsq:B657_28450
ko:K01209	bsq:B657_28510
ko:K14338	bsq:B657_27160
ko:K01243	bsq:B657_27270
ko:K10041	bsq:B657_27430
ko:K03471	bsq:B657_28620
ko:K01759	bsq:B657_28700
ko:K01209	bsq:B657_28720
ko:K00853	bsq:B657_28790
ko:K07025	bsq:B657_28940
ko:K11144	bsq:B657_28980
ko:K02076	bsq:B657_25100
ko:K13300	bsq:B657_25190
ko:K03346	bsq:B657_28990
ko:K10563	bsq:B657_29080
ko:K07658	bsq:B657_29110
ko:K00027	bsq:B657_29220
ko:K00059	bsq:B657_29420
ko:K06286	bsq:B657_29610
ko:K04767	bsq:B657_29700
ko:K00027	bsq:B657_29880
ko:K01439	bsq:B657_29980
ko:K01489	bsq:B657_25300
ko:K06183	bsq:B657_30035
ko:K05020	bsq:B657_30070
ko:K00652	bsq:B657_30220
ko:K07192	bsq:B657_31010
ko:K03499	bsq:B657_31090
ko:K03498	bsq:B657_31100
ko:K01813	bsq:B657_31180
ko:K03406	bsq:B657_31230
ko:K03406	bsq:B657_31240
ko:K03406	bsq:B657_31250
ko:K03406	bsq:B657_31260
ko:K01048	bsq:B657_30510
ko:K02051	bsq:B657_30595
ko:K02049	bsq:B657_30610
ko:K02050	bsq:B657_30620
ko:K11709	bsq:B657_30740
ko:K11708	bsq:B657_30750
ko:K11710	bsq:B657_30760
ko:K11707	bsq:B657_30770
ko:K02549	bsq:B657_30780
ko:K08680	bsq:B657_30810
ko:K02552	bsq:B657_30830
ko:K00700	bsq:B657_30980
ko:K07570	bsq:B657_31390
ko:K02056	bsq:B657_31550
ko:K05565	bsq:B657_31600
ko:K05568	bsq:B657_31630
ko:K05570	bsq:B657_31650
ko:K00575	bsq:B657_22720
ko:K19563	bsq:B657_30230
ko:K00712	bsq:B657_35730
ko:K08234	bsq:B657_37020
ko:K00027	bsq:B657_37050
ko:K01222	bsq:B657_38560
ko:K03491	bsq:B657_38600
ko:K04488	bsq:B657_32680
ko:K00059	bsq:B657_32900
ko:K07770	bsq:B657_33010
ko:K03406	bsq:B657_33690
ko:K05595	bsq:B657_33850
ko:K02004	bsq:B657_34690
ko:K09762	bsq:B657_34750
ko:K06023	bsq:B657_35000
ko:K02564	bsq:B657_35020
ko:K00852	bsq:B657_35920
ko:K10440	bsq:B657_35950
ko:K10439	bsq:B657_35960
ko:K06325	bsq:B657_36050
ko:K01104	bsq:B657_36240
ko:K02446	bsq:B657_37090
ko:K00616	bsq:B657_37110
ko:K03048	bsq:B657_37160
ko:K06147	bsq:B657_37230
ko:K00374	bsq:B657_37250
ko:K01480	bsq:B657_37490
ko:K16012	bsq:B657_38730
ko:K16013	bsq:B657_38740
ko:K01784	bsq:B657_38860
ko:K06910	bsq:B657_38870
ko:K01258	bsq:B657_38920
ko:K03488	bsq:B657_39080
ko:K06902	bsq:B657_39100
ko:K01679	bsq:B657_33040
ko:K11618	bsq:B657_33080
ko:K11617	bsq:B657_33090
ko:K01569	bsq:B657_33240
ko:K02004	bsq:B657_33260
ko:K02005	bsq:B657_33280
ko:K03316	bsq:B657_33420
ko:K00380	bsq:B657_33440
ko:K07213	bsq:B657_33510
ko:K15770	bsq:B657_34160
ko:K03929	bsq:B657_34390
ko:K06603	bsq:B657_35350
ko:K02242	bsq:B657_35450
ko:K02241	bsq:B657_35460
ko:K02240	bsq:B657_35470
ko:K07692	bsq:B657_35490
ko:K07114	bsq:B657_36730
ko:K07114	bsq:B657_36740
ko:K03298	bsq:B657_37630
ko:K00625	bsq:B657_37660
ko:K00294	bsq:B657_37780
ko:K02755	bsq:B657_39270
ko:K02756	bsq:B657_39270
ko:K02757	bsq:B657_39270
ko:K01479	bsq:B657_39380
ko:K01619	bsq:B657_39420
ko:K00010	bsq:B657_39700
ko:K06610	bsq:B657_39710
ko:K00819	bsq:B657_40340
ko:K07652	bsq:B657_40400
ko:K07668	bsq:B657_40410
ko:K06329	bsq:B657_40530
ko:K15986	bsq:B657_40550
ko:K01182	bsq:B657_34560
ko:K00691	bsq:B657_34570
ko:K03488	bsq:B657_38070
ko:K01759	bsq:B657_38370
ko:K00851	bsq:B657_40060
ko:K03299	bsq:B657_40070
ko:K00033	bsq:B657_40080
ko:K03386	bsq:B657_40090
ko:K07052	bsq:B657_40830
ko:K06346	bsq:B657_41030
ko:K07017	bsq:B657_32010
ko:K13628	bsq:B657_32160
ko:K03317	bsq:B657_32180
ko:K00059	bsq:B657_33590
ko:K09693	bsq:B657_35700
ko:K02116	bsq:B657_36880
ko:K01466	bsq:B657_32410
ko:K09684	bsq:B657_32420
ko:K18939	bsq:B657_39990
ko:K07260	bsq:B657_19620
ko:K18926	bsq:B657_02670
ko:K18939	bsq:B657_02680
ko:K01732	bsq:B657_18650
ko:K02770	bsq:B657_12010
ko:K19427	bsq:B657_34280
ko:K10040	bsq:B657_27460
ko:K03296	bsq:B657_06710
ko:K03293	bsq:B657_34010
ko:K00571	bsq:B657_29480
ko:K18682	bsq:B657_16960
ko:K09767	bsq:B657_11020
ko:K00243	bsq:B657_11030
ko:K00145	bsq:B657_11190
ko:K00620	bsq:B657_11200
ko:K00930	bsq:B657_11210
ko:K01956	bsq:B657_11230
ko:K01955	bsq:B657_11240
ko:K00611	bsq:B657_11250
ko:K02254	bsq:B657_11310
ko:K00648	bsq:B657_11330
ko:K09458	bsq:B657_11340
ko:K02034	bsq:B657_11400
ko:K00858	bsq:B657_11610
ko:K06180	bsq:B657_11620
ko:K03707	bsq:B657_11650
ko:K03154	bsq:B657_11680
ko:K03149	bsq:B657_11690
ko:K00941	bsq:B657_11710
ko:K00208	bsq:B657_11720
ko:K06342	bsq:B657_11760
ko:K06341	bsq:B657_11770
ko:K03657	bsq:B657_11820
ko:K03790	bsq:B657_11890
ko:K00646	bsq:B657_17140
ko:K15311	bsq:B657_17150
ko:K06997	bsq:B657_15380
ko:K00791	bsq:B657_17330
ko:K03666	bsq:B657_17340
ko:K01448	bsq:B657_17410
ko:K06413	bsq:B657_17420
ko:K03665	bsq:B657_17430
ko:K01915	bsq:B657_17460
ko:K01198	bsq:B657_17580
ko:K01805	bsq:B657_17600
ko:K01775	bsq:B657_17640
ko:K03116	bsq:B657_17710
ko:K06310	bsq:B657_17750
ko:K06311	bsq:B657_17760
ko:K06312	bsq:B657_17770
ko:K11210	bsq:B657_17840
ko:K00161	bsq:B657_14580
ko:K00162	bsq:B657_14590
ko:K00627	bsq:B657_14600
ko:K00382	bsq:B657_14610
ko:K03088	bsq:B657_14730
ko:K09772	bsq:B657_15390
ko:K02221	bsq:B657_15400
ko:K04074	bsq:B657_15420
ko:K01870	bsq:B657_15430
ko:K03101	bsq:B657_15450
ko:K06180	bsq:B657_15460
ko:K02825	bsq:B657_15470
ko:K00609	bsq:B657_15490
ko:K01465	bsq:B657_15500
ko:K01956	bsq:B657_15510
ko:K01955	bsq:B657_15520
ko:K01591	bsq:B657_15550
ko:K00762	bsq:B657_15560
ko:K00390	bsq:B657_15570
ko:K16331	bsq:B657_15580
ko:K00958	bsq:B657_15590
ko:K00860	bsq:B657_15600
ko:K02304	bsq:B657_15630
ko:K06207	bsq:B657_14770
ko:K07175	bsq:B657_14810
ko:K01425	bsq:B657_14830
ko:K03588	bsq:B657_14850
ko:K02259	bsq:B657_14870
ko:K02275	bsq:B657_14890
ko:K02276	bsq:B657_14910
ko:K00954	bsq:B657_15020
ko:K07001	bsq:B657_15040
ko:K07040	bsq:B657_15070
ko:K02911	bsq:B657_15080
ko:K00077	bsq:B657_15110
ko:K03925	bsq:B657_15130
ko:K03438	bsq:B657_15140
ko:K08384	bsq:B657_15170
ko:K02410	bsq:B657_16220
ko:K02411	bsq:B657_16230
ko:K02412	bsq:B657_16240
ko:K02413	bsq:B657_16250
ko:K02389	bsq:B657_16280
ko:K02390	bsq:B657_16290
ko:K02385	bsq:B657_16299
ko:K02415	bsq:B657_16300
ko:K02416	bsq:B657_16310
ko:K02417	bsq:B657_16320
ko:K03413	bsq:B657_16330
ko:K02418	bsq:B657_16340
ko:K02419	bsq:B657_16350
ko:K00995	bsq:B657_16920
ko:K09769	bsq:B657_16970
ko:K06416	bsq:B657_16980
ko:K00060	bsq:B657_16990
ko:K06168	bsq:B657_17010
ko:K06328	bsq:B657_17030
ko:K03555	bsq:B657_17040
ko:K03572	bsq:B657_17050
ko:K09777	bsq:B657_15670
ko:K00942	bsq:B657_15680
ko:K03060	bsq:B657_15690
ko:K13038	bsq:B657_15700
ko:K04066	bsq:B657_15710
ko:K01462	bsq:B657_15720
ko:K00604	bsq:B657_15730
ko:K03500	bsq:B657_15740
ko:K06941	bsq:B657_15750
ko:K06949	bsq:B657_15780
ko:K01783	bsq:B657_15790
ko:K02902	bsq:B657_15820
ko:K01752	bsq:B657_15850
ko:K01752	bsq:B657_15860
ko:K03655	bsq:B657_15870
ko:K03621	bsq:B657_15890
ko:K00645	bsq:B657_15900
ko:K02078	bsq:B657_15920
ko:K03685	bsq:B657_15930
ko:K03529	bsq:B657_15940
ko:K03110	bsq:B657_15950
ko:K03106	bsq:B657_15980
ko:K02959	bsq:B657_15990
ko:K06960	bsq:B657_16000
ko:K08967	bsq:B657_13620
ko:K13532	bsq:B657_13660
ko:K15973	bsq:B657_13670
ko:K02557	bsq:B657_13680
ko:K02556	bsq:B657_13690
ko:K06920	bsq:B657_13720
ko:K01737	bsq:B657_13730
ko:K10026	bsq:B657_13740
ko:K09457	bsq:B657_13750
ko:K01449	bsq:B657_13820
ko:K01534	bsq:B657_13850
ko:K03480	bsq:B657_13880
ko:K03716	bsq:B657_13930
ko:K02860	bsq:B657_16020
ko:K00554	bsq:B657_16030
ko:K02884	bsq:B657_16040
ko:K14540	bsq:B657_16050
ko:K03470	bsq:B657_16060
ko:K04061	bsq:B657_16080
ko:K01903	bsq:B657_16090
ko:K01902	bsq:B657_16100
ko:K04096	bsq:B657_16110
ko:K03168	bsq:B657_16120
ko:K04094	bsq:B657_16130
ko:K03733	bsq:B657_16140
ko:K01419	bsq:B657_16150
ko:K03667	bsq:B657_16160
ko:K03706	bsq:B657_16170
ko:K02387	bsq:B657_16180
ko:K02388	bsq:B657_16190
ko:K02408	bsq:B657_16200
ko:K02409	bsq:B657_16210
ko:K02420	bsq:B657_16360
ko:K02421	bsq:B657_16370
ko:K02401	bsq:B657_16380
ko:K02400	bsq:B657_16390
ko:K02404	bsq:B657_16400
ko:K04562	bsq:B657_16410
ko:K03412	bsq:B657_16420
ko:K03407	bsq:B657_16430
ko:K03408	bsq:B657_16440
ko:K03410	bsq:B657_16450
ko:K03411	bsq:B657_16460
ko:K02405	bsq:B657_16470
ko:K02967	bsq:B657_16490
ko:K02357	bsq:B657_16500
ko:K09903	bsq:B657_16510
ko:K02838	bsq:B657_16520
ko:K00806	bsq:B657_16530
ko:K00981	bsq:B657_16540
ko:K00099	bsq:B657_16550
ko:K11749	bsq:B657_16560
ko:K01881	bsq:B657_16570
ko:K03763	bsq:B657_16580
ko:K09748	bsq:B657_16590
ko:K02600	bsq:B657_16600
ko:K07742	bsq:B657_16610
ko:K02519	bsq:B657_16630
ko:K02834	bsq:B657_16650
ko:K11753	bsq:B657_16670
ko:K02956	bsq:B657_16680
ko:K00962	bsq:B657_16690
ko:K06410	bsq:B657_16730
ko:K06411	bsq:B657_16740
ko:K00133	bsq:B657_16750
ko:K00928	bsq:B657_16760
ko:K01714	bsq:B657_16770
ko:K03466	bsq:B657_16800
ko:K03710	bsq:B657_16810
ko:K08221	bsq:B657_16825
ko:K00963	bsq:B657_18180
ko:K01640	bsq:B657_18230
ko:K02160	bsq:B657_18239
ko:K01961	bsq:B657_18240
ko:K07259	bsq:B657_18350
ko:K00931	bsq:B657_18470
ko:K00286	bsq:B657_18480
ko:K11216	bsq:B657_18550
ko:K01356	bsq:B657_17850
ko:K00615	bsq:B657_17890
ko:K03413	bsq:B657_17940
ko:K07727	bsq:B657_18740
ko:K06433	bsq:B657_17980
ko:K06432	bsq:B657_17990
ko:K01681	bsq:B657_18000
ko:K06431	bsq:B657_18020
ko:K06434	bsq:B657_18030
ko:K07107	bsq:B657_18040
ko:K06335	bsq:B657_17970
ko:K08976	bsq:B657_19140
ko:K10255	bsq:B657_19180
ko:K07778	bsq:B657_19190
ko:K07693	bsq:B657_19200
ko:K03654	bsq:B657_19220
ko:K01118	bsq:B657_19230
ko:K13993	bsq:B657_19260
ko:K04564	bsq:B657_19330
ko:K03308	bsq:B657_19340
ko:K03453	bsq:B657_19350
ko:K00658	bsq:B657_19360
ko:K00164	bsq:B657_19370
ko:K03327	bsq:B657_19440
ko:K05786	bsq:B657_19480
ko:K06878	bsq:B657_19040
ko:K08591	bsq:B657_18070
ko:K02622	bsq:B657_18090
ko:K02621	bsq:B657_18100
ko:K03310	bsq:B657_18120
ko:K15921	bsq:B657_18160
ko:K06999	bsq:B657_19560
ko:K15975	bsq:B657_19570
ko:K03797	bsq:B657_19590
ko:K01438	bsq:B657_19710
ko:K01034	bsq:B657_19730
ko:K01083	bsq:B657_19800
ko:K13979	bsq:B657_27010
ko:K05520	bsq:B657_27020
ko:K11737	bsq:B657_27090
ko:K03088	bsq:B657_27120
ko:K00123	bsq:B657_27220
ko:K03611	bsq:B657_21440
ko:K03977	bsq:B657_22840
ko:K05739	bsq:B657_22850
ko:K02945	bsq:B657_22880
ko:K00945	bsq:B657_22890
ko:K01449	bsq:B657_22930
ko:K00384	bsq:B657_22950
ko:K00260	bsq:B657_22960
ko:K16511	bsq:B657_22970
ko:K03654	bsq:B657_23020
ko:K03785	bsq:B657_23080
ko:K03088	bsq:B657_23100
ko:K07651	bsq:B657_23110
ko:K07775	bsq:B657_23120
ko:K07399	bsq:B657_23140
ko:K06178	bsq:B657_23160
ko:K06374	bsq:B657_23170
ko:K06373	bsq:B657_23180
ko:K00036	bsq:B657_23850
ko:K02346	bsq:B657_23870
ko:K03217	bsq:B657_23890
ko:K09166	bsq:B657_23900
ko:K05606	bsq:B657_23930
ko:K09699	bsq:B657_24030
ko:K07001	bsq:B657_24510
ko:K03800	bsq:B657_24530
ko:K00283	bsq:B657_24550
ko:K00282	bsq:B657_24560
ko:K00605	bsq:B657_24570
ko:K02247	bsq:B657_24690
ko:K02036	bsq:B657_24950
ko:K02036	bsq:B657_24960
ko:K02038	bsq:B657_24970
ko:K02037	bsq:B657_24980
ko:K02040	bsq:B657_24990
ko:K08222	bsq:B657_25010
ko:K04564	bsq:B657_25020
ko:K09793	bsq:B657_25030
ko:K05967	bsq:B657_25090
ko:K01151	bsq:B657_25130
ko:K03527	bsq:B657_25160
ko:K06967	bsq:B657_25180
ko:K03086	bsq:B657_25200
ko:K09768	bsq:B657_25230
ko:K09773	bsq:B657_25240
ko:K01879	bsq:B657_25260
ko:K01878	bsq:B657_25270
ko:K03584	bsq:B657_25280
ko:K13256	bsq:B657_26410
ko:K02337	bsq:B657_20340
ko:K07152	bsq:B657_21750
ko:K01754	bsq:B657_21770
ko:K11068	bsq:B657_21790
ko:K01687	bsq:B657_21870
ko:K01893	bsq:B657_22360
ko:K00812	bsq:B657_22370
ko:K01579	bsq:B657_22410
ko:K01918	bsq:B657_22420
ko:K00606	bsq:B657_22430
ko:K03524	bsq:B657_22440
ko:K01734	bsq:B657_22480
ko:K00215	bsq:B657_22490
ko:K03888	bsq:B657_22540
ko:K03887	bsq:B657_22550
ko:K00800	bsq:B657_22600
ko:K00817	bsq:B657_22620
ko:K01695	bsq:B657_22630
ko:K01696	bsq:B657_22640
ko:K00766	bsq:B657_22670
ko:K01657	bsq:B657_22680
ko:K06208	bsq:B657_22690
ko:K01735	bsq:B657_22700
ko:K01736	bsq:B657_22710
ko:K00940	bsq:B657_22730
ko:K06024	bsq:B657_23210
ko:K05896	bsq:B657_23220
ko:K02859	bsq:B657_23240
ko:K00794	bsq:B657_23250
ko:K14652	bsq:B657_23260
ko:K00793	bsq:B657_23270
ko:K11752	bsq:B657_23280
ko:K03100	bsq:B657_23310
ko:K00166	bsq:B657_24050
ko:K00382	bsq:B657_24060
ko:K00263	bsq:B657_24080
ko:K01720	bsq:B657_24130
ko:K01647	bsq:B657_24140
ko:K00074	bsq:B657_24160
ko:K01126	bsq:B657_24180
ko:K01448	bsq:B657_24190
ko:K07699	bsq:B657_24220
ko:K06399	bsq:B657_24230
ko:K03631	bsq:B657_24240
ko:K03402	bsq:B657_24250
ko:K06442	bsq:B657_24260
ko:K01662	bsq:B657_24270
ko:K13789	bsq:B657_24280
ko:K03602	bsq:B657_24290
ko:K03601	bsq:B657_24300
ko:K01491	bsq:B657_24310
ko:K03625	bsq:B657_24320
ko:K01961	bsq:B657_24340
ko:K02160	bsq:B657_24350
ko:K06397	bsq:B657_24360
ko:K06396	bsq:B657_24370
ko:K06395	bsq:B657_24380
ko:K06394	bsq:B657_24390
ko:K06393	bsq:B657_24400
ko:K06392	bsq:B657_24410
ko:K06391	bsq:B657_24420
ko:K06390	bsq:B657_24430
ko:K02356	bsq:B657_24450
ko:K03786	bsq:B657_24470
ko:K00167	bsq:B657_24040
ko:K01308	bsq:B657_24830
ko:K07148	bsq:B657_26440
ko:K07090	bsq:B657_26490
ko:K08153	bsq:B657_26590
ko:K16264	bsq:B657_26650
ko:K03311	bsq:B657_26690
ko:K03623	bsq:B657_26730
ko:K00459	bsq:B657_26800
ko:K01776	bsq:B657_26810
ko:K03088	bsq:B657_26840
ko:K03300	bsq:B657_26860
ko:K03530	bsq:B657_21050
ko:K06950	bsq:B657_21890
ko:K00432	bsq:B657_21900
ko:K00651	bsq:B657_21910
ko:K03704	bsq:B657_21930
ko:K06429	bsq:B657_22000
ko:K16169	bsq:B657_22060
ko:K03816	bsq:B657_22070
ko:K01299	bsq:B657_22080
ko:K02526	bsq:B657_22090
ko:K01625	bsq:B657_22100
ko:K00874	bsq:B657_22110
ko:K01815	bsq:B657_22130
ko:K07444	bsq:B657_22170
ko:K06327	bsq:B657_22200
ko:K07502	bsq:B657_22210
ko:K05366	bsq:B657_22320
ko:K10773	bsq:B657_22340
ko:K03183	bsq:B657_22750
ko:K06285	bsq:B657_22770
ko:K01495	bsq:B657_22780
ko:K03530	bsq:B657_22790
ko:K06398	bsq:B657_22800
ko:K00057	bsq:B657_22830
ko:K01586	bsq:B657_23380
ko:K06408	bsq:B657_23390
ko:K06407	bsq:B657_23401
ko:K06407	bsq:B657_23402
ko:K06406	bsq:B657_23410
ko:K06405	bsq:B657_23420
ko:K06404	bsq:B657_23430
ko:K06403	bsq:B657_23440
ko:K03091	bsq:B657_23450
ko:K06379	bsq:B657_23460
ko:K01839	bsq:B657_23500
ko:K03315	bsq:B657_23560
ko:K01744	bsq:B657_23570
ko:K02346	bsq:B657_23710
ko:K01753	bsq:B657_23770
ko:K07124	bsq:B657_23780
ko:K00286	bsq:B657_23800
ko:K01845	bsq:B657_28120
ko:K01698	bsq:B657_28130
ko:K01749	bsq:B657_28150
ko:K02497	bsq:B657_28160
ko:K02492	bsq:B657_28170
ko:K03978	bsq:B657_28190
ko:K01338	bsq:B657_28200
ko:K03544	bsq:B657_28220
ko:K03545	bsq:B657_28230
ko:K01704	bsq:B657_28250
ko:K01703	bsq:B657_28260
ko:K00052	bsq:B657_28270
ko:K01649	bsq:B657_28280
ko:K00053	bsq:B657_28290
ko:K01653	bsq:B657_28300
ko:K01652	bsq:B657_28310
ko:K07139	bsq:B657_30480
ko:K16188	bsq:B657_30500
ko:K01953	bsq:B657_30540
ko:K00789	bsq:B657_30550
ko:K01610	bsq:B657_30560
ko:K04047	bsq:B657_30650
ko:K07173	bsq:B657_30670
ko:K08998	bsq:B657_30680
ko:K01673	bsq:B657_30690
ko:K02909	bsq:B657_30700
ko:K00425	bsq:B657_30710
ko:K00426	bsq:B657_30720
ko:K07095	bsq:B657_28350
ko:K00989	bsq:B657_28370
ko:K01776	bsq:B657_28390
ko:K01994	bsq:B657_28410
ko:K07107	bsq:B657_28420
ko:K00240	bsq:B657_28430
ko:K00239	bsq:B657_28440
ko:K00928	bsq:B657_28470
ko:K03703	bsq:B657_28490
ko:K03671	bsq:B657_28500
ko:K03522	bsq:B657_28520
