ko:K18928	eun:UMNK88_353
ko:K07480	eun:UMNK88_pK886
ko:K02688	eun:UMNK88_378
ko:K01720	eun:UMNK88_382
ko:K01908	eun:UMNK88_383
ko:K10974	eun:UMNK88_385
ko:K11921	eun:UMNK88_387
ko:K01673	eun:UMNK88_388
ko:K01725	eun:UMNK88_389
ko:K03449	eun:UMNK88_390
ko:K12687	eun:UMNK88_1274
ko:K12972	eun:UMNK88_1296
ko:K06214	eun:UMNK88_1300
ko:K04338	eun:UMNK88_1301
ko:K04337	eun:UMNK88_1302
ko:K05887	eun:UMNK88_2155
ko:K03785	eun:UMNK88_2156
ko:K00313	eun:UMNK88_2162
ko:K12507	eun:UMNK88_2164
ko:K09773	eun:UMNK88_2166
ko:K01626	eun:UMNK88_2167
ko:K06074	eun:UMNK88_2172
ko:K00432	eun:UMNK88_2173
ko:K06073	eun:UMNK88_2174
ko:K04764	eun:UMNK88_2175
ko:K01890	eun:UMNK88_2176
ko:K01889	eun:UMNK88_2177
ko:K02887	eun:UMNK88_2179
ko:K02916	eun:UMNK88_2180
ko:K02520	eun:UMNK88_2181
ko:K01868	eun:UMNK88_2182
ko:K07038	eun:UMNK88_2192
ko:K06956	eun:UMNK88_2193
ko:K15722	eun:UMNK88_2195
ko:K03781	eun:UMNK88_2196
ko:K03490	eun:UMNK88_2199
ko:K02759	eun:UMNK88_2200
ko:K02761	eun:UMNK88_2201
ko:K02760	eun:UMNK88_2202
ko:K04064	eun:UMNK88_2203
ko:K01448	eun:UMNK88_3038
ko:K00228	eun:UMNK88_3039
ko:K04033	eun:UMNK88_3040
ko:K04025	eun:UMNK88_3041
ko:K04026	eun:UMNK88_3042
ko:K03736	eun:UMNK88_3043
ko:K03735	eun:UMNK88_3044
ko:K04019	eun:UMNK88_3045
ko:K04023	eun:UMNK88_3046
ko:K04022	eun:UMNK88_3047
ko:K04024	eun:UMNK88_3048
ko:K04021	eun:UMNK88_3049
ko:K04020	eun:UMNK88_3052
ko:K04032	eun:UMNK88_3053
ko:K04030	eun:UMNK88_3054
ko:K04029	eun:UMNK88_3055
ko:K04031	eun:UMNK88_3056
ko:K00029	eun:UMNK88_3057
ko:K00615	eun:UMNK88_3059
ko:K12945	eun:UMNK88_3061
ko:K07674	eun:UMNK88_3063
ko:K06999	eun:UMNK88_3068
ko:K06957	eun:UMNK88_3069
ko:K01923	eun:UMNK88_3071
ko:K07287	eun:UMNK88_3072
ko:K01714	eun:UMNK88_3073
ko:K03567	eun:UMNK88_3074
ko:K03564	eun:UMNK88_3075
ko:K12138	eun:UMNK88_3079
ko:K12139	eun:UMNK88_3080
ko:K12140	eun:UMNK88_3081
ko:K12141	eun:UMNK88_3082
ko:K12142	eun:UMNK88_3083
ko:K03835	eun:UMNK88_3921
ko:K05592	eun:UMNK88_3922
ko:K05803	eun:UMNK88_3923
ko:K00962	eun:UMNK88_3924
ko:K02956	eun:UMNK88_3925
ko:K02834	eun:UMNK88_3927
ko:K02519	eun:UMNK88_3928
ko:K02600	eun:UMNK88_3929
ko:K09748	eun:UMNK88_3930
ko:K01940	eun:UMNK88_3933
ko:K03075	eun:UMNK88_3936
ko:K03431	eun:UMNK88_3937
ko:K00796	eun:UMNK88_3938
ko:K03798	eun:UMNK88_3939
ko:K07574	eun:UMNK88_3941
ko:K03624	eun:UMNK88_3942
ko:K07259	eun:UMNK88_3943
ko:K03979	eun:UMNK88_3944
ko:K02899	eun:UMNK88_3947
ko:K02888	eun:UMNK88_3948
ko:K02523	eun:UMNK88_3949
ko:K00790	eun:UMNK88_3951
ko:K07122	eun:UMNK88_3953
ko:K07323	eun:UMNK88_3954
ko:K02066	eun:UMNK88_3956
ko:K02065	eun:UMNK88_3957
ko:K07301	eun:UMNK88_3958
ko:K06041	eun:UMNK88_3959
ko:K03270	eun:UMNK88_3960
ko:K11719	eun:UMNK88_3961
ko:K09774	eun:UMNK88_3962
ko:K06861	eun:UMNK88_3963
ko:K03092	eun:UMNK88_3964
ko:K05808	eun:UMNK88_3965
ko:K06958	eun:UMNK88_3967
ko:K03814	eun:UMNK88_3969
ko:K07648	eun:UMNK88_3972
ko:K07139	eun:UMNK88_3973
ko:K00075	eun:UMNK88_4812
ko:K03524	eun:UMNK88_4813
ko:K02358	eun:UMNK88_4820
ko:K03073	eun:UMNK88_4821
ko:K02601	eun:UMNK88_4822
ko:K02867	eun:UMNK88_4823
ko:K02863	eun:UMNK88_4824
ko:K02864	eun:UMNK88_4825
ko:K02935	eun:UMNK88_4826
ko:K03043	eun:UMNK88_4827
ko:K03046	eun:UMNK88_4828
ko:K03150	eun:UMNK88_4830
ko:K03149	eun:UMNK88_4831
ko:K03154	eun:UMNK88_4832
ko:K00788	eun:UMNK88_4834
ko:K03147	eun:UMNK88_4835
ko:K07740	eun:UMNK88_4836
ko:K03426	eun:UMNK88_4837
ko:K01599	eun:UMNK88_4838
ko:K05982	eun:UMNK88_4839
ko:K09891	eun:UMNK88_4840
ko:K05787	eun:UMNK88_4841
ko:K07803	eun:UMNK88_4843
ko:K01945	eun:UMNK88_4846
ko:K00602	eun:UMNK88_4848
ko:K03827	eun:UMNK88_4856
ko:K00651	eun:UMNK88_4857
ko:K01638	eun:UMNK88_4858
ko:K01637	eun:UMNK88_4859
ko:K00906	eun:UMNK88_4862
ko:K07000	eun:UMNK88_1379
ko:K03885	eun:UMNK88_1380
ko:K12151	eun:UMNK88_1383
ko:K03723	eun:UMNK88_1385
ko:K09808	eun:UMNK88_1387
ko:K09808	eun:UMNK88_1389
ko:K12410	eun:UMNK88_1391
ko:K13069	eun:UMNK88_2259
ko:K11250	eun:UMNK88_2267
ko:K07246	eun:UMNK88_2269
ko:K03684	eun:UMNK88_2274
ko:K07285	eun:UMNK88_2276
ko:K09917	eun:UMNK88_2281
ko:K01665	eun:UMNK88_2282
ko:K01752	eun:UMNK88_2284
ko:K00563	eun:UMNK88_2292
ko:K03704	eun:UMNK88_2294
ko:K08169	eun:UMNK88_2299
ko:K03799	eun:UMNK88_2300
ko:K03797	eun:UMNK88_2301
ko:K03607	eun:UMNK88_2302
ko:K03808	eun:UMNK88_2304
ko:K07156	eun:UMNK88_2312
ko:K10857	eun:UMNK88_2316
ko:K01354	eun:UMNK88_2315
ko:K07733	eun:UMNK88_3152
ko:K01951	eun:UMNK88_3156
ko:K03601	eun:UMNK88_3160
ko:K03977	eun:UMNK88_3161
ko:K01892	eun:UMNK88_3164
ko:K15539	eun:UMNK88_3166
ko:K06941	eun:UMNK88_3167
ko:K00940	eun:UMNK88_3168
ko:K05367	eun:UMNK88_3169
ko:K06894	eun:UMNK88_3170
ko:K07751	eun:UMNK88_3175
ko:K04755	eun:UMNK88_3177
ko:K04044	eun:UMNK88_3178
ko:K04082	eun:UMNK88_3179
ko:K04487	eun:UMNK88_3183
ko:K13643	eun:UMNK88_3184
ko:K15396	eun:UMNK88_3185
ko:K05820	eun:UMNK88_3188
ko:K05817	eun:UMNK88_3190
ko:K15977	eun:UMNK88_3196
ko:K02057	eun:UMNK88_3199
ko:K09970	eun:UMNK88_4029
ko:K09971	eun:UMNK88_4030
ko:K09972	eun:UMNK88_4031
ko:K00014	eun:UMNK88_4042
ko:K07566	eun:UMNK88_4043
ko:K07479	eun:UMNK88_4044
ko:K04096	eun:UMNK88_4046
ko:K01462	eun:UMNK88_4047
ko:K00604	eun:UMNK88_4048
ko:K03500	eun:UMNK88_4049
ko:K03282	eun:UMNK88_4051
ko:K02879	eun:UMNK88_4054
ko:K03040	eun:UMNK88_4055
ko:K02986	eun:UMNK88_4056
ko:K02948	eun:UMNK88_4057
ko:K02952	eun:UMNK88_4058
ko:K02919	eun:UMNK88_4059
ko:K03076	eun:UMNK88_4060
ko:K02876	eun:UMNK88_4061
ko:K02907	eun:UMNK88_4062
ko:K02988	eun:UMNK88_4063
ko:K02881	eun:UMNK88_4064
ko:K02933	eun:UMNK88_4065
ko:K02994	eun:UMNK88_4066
ko:K02954	eun:UMNK88_4067
ko:K02931	eun:UMNK88_4068
ko:K02895	eun:UMNK88_4069
ko:K02874	eun:UMNK88_4070
ko:K02961	eun:UMNK88_4071
ko:K02904	eun:UMNK88_4072
ko:K02878	eun:UMNK88_4073
ko:K02982	eun:UMNK88_4074
ko:K02890	eun:UMNK88_4075
ko:K02965	eun:UMNK88_4076
ko:K02886	eun:UMNK88_4077
ko:K02892	eun:UMNK88_4078
ko:K02926	eun:UMNK88_4079
ko:K02906	eun:UMNK88_4080
ko:K02946	eun:UMNK88_4081
ko:K02451	eun:UMNK88_4082
ko:K13639	eun:UMNK88_4921
ko:K06901	eun:UMNK88_4923
ko:K14393	eun:UMNK88_4927
ko:K01895	eun:UMNK88_4930
ko:K03385	eun:UMNK88_4931
ko:K04013	eun:UMNK88_4932
ko:K04016	eun:UMNK88_4935
ko:K11102	eun:UMNK88_4939
ko:K15550	eun:UMNK88_4944
ko:K15547	eun:UMNK88_4945
ko:K15549	eun:UMNK88_4946
ko:K00881	eun:UMNK88_4949
ko:K10549	eun:UMNK88_4953
ko:K01808	eun:UMNK88_4955
ko:K06167	eun:UMNK88_4958
ko:K09994	eun:UMNK88_4959
ko:K05774	eun:UMNK88_4960
ko:K06162	eun:UMNK88_4961
ko:K05780	eun:UMNK88_4962
ko:K05781	eun:UMNK88_4963
ko:K06165	eun:UMNK88_4965
ko:K06166	eun:UMNK88_4966
ko:K02043	eun:UMNK88_4967
ko:K02042	eun:UMNK88_4968
ko:K02044	eun:UMNK88_4969
ko:K02041	eun:UMNK88_4970
ko:K11004	eun:UMNK88_pHly51
ko:K11003	eun:UMNK88_pHly52
ko:K14744	eun:UMNK88_2932
ko:K11750	eun:UMNK88_273
ko:K11926	eun:UMNK88_274
ko:K00931	eun:UMNK88_276
ko:K00147	eun:UMNK88_277
ko:K07402	eun:UMNK88_331
ko:K00901	eun:UMNK88_1195
ko:K03760	eun:UMNK88_1196
ko:K03190	eun:UMNK88_1198
ko:K01430	eun:UMNK88_1199
ko:K01429	eun:UMNK88_1200
ko:K01428	eun:UMNK88_1201
ko:K03187	eun:UMNK88_1202
ko:K03188	eun:UMNK88_1203
ko:K03189	eun:UMNK88_1204
ko:K02909	eun:UMNK88_1208
ko:K02013	eun:UMNK88_155
ko:K02016	eun:UMNK88_156
ko:K02015	eun:UMNK88_157
ko:K01845	eun:UMNK88_158
ko:K03281	eun:UMNK88_159
ko:K15724	eun:UMNK88_160
ko:K01129	eun:UMNK88_164
ko:K02647	eun:UMNK88_166
ko:K00990	eun:UMNK88_170
ko:K01265	eun:UMNK88_171
ko:K02967	eun:UMNK88_173
ko:K02357	eun:UMNK88_174
ko:K09903	eun:UMNK88_175
ko:K02838	eun:UMNK88_176
ko:K00099	eun:UMNK88_177
ko:K00806	eun:UMNK88_178
ko:K00981	eun:UMNK88_180
ko:K11749	eun:UMNK88_181
ko:K07277	eun:UMNK88_182
ko:K06142	eun:UMNK88_183
ko:K02536	eun:UMNK88_184
ko:K02372	eun:UMNK88_185
ko:K00677	eun:UMNK88_186
ko:K00748	eun:UMNK88_187
ko:K03470	eun:UMNK88_188
ko:K02337	eun:UMNK88_189
ko:K01962	eun:UMNK88_190
ko:K04075	eun:UMNK88_193
ko:K15034	eun:UMNK88_197
ko:K06079	eun:UMNK88_198
ko:K01881	eun:UMNK88_200
ko:K06080	eun:UMNK88_202
ko:K02073	eun:UMNK88_203
ko:K02072	eun:UMNK88_204
ko:K02071	eun:UMNK88_205
ko:K03273	eun:UMNK88_206
ko:K06219	eun:UMNK88_1074
ko:K03633	eun:UMNK88_1075
ko:K03804	eun:UMNK88_1076
ko:K03632	eun:UMNK88_1077
ko:K01893	eun:UMNK88_1084
ko:K00763	eun:UMNK88_1085
ko:K01256	eun:UMNK88_1087
ko:K15554	eun:UMNK88_1089
ko:K15553	eun:UMNK88_1091
ko:K00299	eun:UMNK88_1092
ko:K07347	eun:UMNK88_1095
ko:K07140	eun:UMNK88_1101
ko:K12297	eun:UMNK88_1103
ko:K15738	eun:UMNK88_1104
ko:K03808	eun:UMNK88_1105
ko:K06192	eun:UMNK88_1106
ko:K09857	eun:UMNK88_1107
ko:K01716	eun:UMNK88_1108
ko:K04770	eun:UMNK88_1109
ko:K09911	eun:UMNK88_1110
ko:K03658	eun:UMNK88_1116
ko:K01734	eun:UMNK88_1117
ko:K06929	eun:UMNK88_1120
ko:K11940	eun:UMNK88_1121
ko:K06969	eun:UMNK88_1122
ko:K01512	eun:UMNK88_1124
ko:K03704	eun:UMNK88_2001
ko:K03704	eun:UMNK88_2006
ko:K03704	eun:UMNK88_2007
ko:K08322	eun:UMNK88_2034
ko:K08323	eun:UMNK88_2035
ko:K09771	eun:UMNK88_2036
ko:K03975	eun:UMNK88_2868
ko:K06173	eun:UMNK88_2869
ko:K03473	eun:UMNK88_2871
ko:K15461	eun:UMNK88_2877
ko:K09906	eun:UMNK88_2879
ko:K07090	eun:UMNK88_2880
ko:K07261	eun:UMNK88_2881
ko:K01736	eun:UMNK88_2882
ko:K07320	eun:UMNK88_2883
ko:K08296	eun:UMNK88_2892
ko:K06076	eun:UMNK88_2896
ko:K04754	eun:UMNK88_2899
ko:K01061	eun:UMNK88_3756
ko:K03561	eun:UMNK88_3761
ko:K08325	eun:UMNK88_3766
ko:K00655	eun:UMNK88_3773
ko:K05795	eun:UMNK88_1234
ko:K05795	eun:UMNK88_1235
ko:K03305	eun:UMNK88_2094
ko:K00868	eun:UMNK88_2096
ko:K01866	eun:UMNK88_2097
ko:K00275	eun:UMNK88_2098
ko:K09001	eun:UMNK88_2100
ko:K06077	eun:UMNK88_2101
ko:K10680	eun:UMNK88_2110
ko:K03683	eun:UMNK88_2112
ko:K03724	eun:UMNK88_2113
ko:K07390	eun:UMNK88_2114
ko:K04564	eun:UMNK88_2117
ko:K00574	eun:UMNK88_2123
ko:K00793	eun:UMNK88_2124
ko:K03327	eun:UMNK88_2125
ko:K08354	eun:UMNK88_2132
ko:K00873	eun:UMNK88_2139
ko:K02426	eun:UMNK88_2142
ko:K11717	eun:UMNK88_2143
ko:K09015	eun:UMNK88_2144
ko:K09013	eun:UMNK88_2145
ko:K09014	eun:UMNK88_2146
ko:K05997	eun:UMNK88_2147
ko:K02478	eun:UMNK88_2980
ko:K08483	eun:UMNK88_2983
ko:K11189	eun:UMNK88_2983
ko:K11201	eun:UMNK88_2983
ko:K08326	eun:UMNK88_2985
ko:K11203	eun:UMNK88_2986
ko:K11202	eun:UMNK88_2987
ko:K03322	eun:UMNK88_2991
ko:K11535	eun:UMNK88_2992
ko:K11537	eun:UMNK88_3007
ko:K03815	eun:UMNK88_3008
ko:K14347	eun:UMNK88_3012
ko:K09954	eun:UMNK88_3011
ko:K01972	eun:UMNK88_3013
ko:K03528	eun:UMNK88_3014
ko:K06203	eun:UMNK88_3015
ko:K01738	eun:UMNK88_3016
ko:K00868	eun:UMNK88_3020
ko:K12339	eun:UMNK88_3023
ko:K02045	eun:UMNK88_3025
ko:K02047	eun:UMNK88_3026
ko:K02046	eun:UMNK88_3027
ko:K02048	eun:UMNK88_3028
ko:K15835	eun:UMNK88_3030
ko:K07106	eun:UMNK88_3031
ko:K11191	eun:UMNK88_3032
ko:K11192	eun:UMNK88_3032
ko:K07223	eun:UMNK88_3034
ko:K00656	eun:UMNK88_3869
ko:K03838	eun:UMNK88_3871
ko:K01754	eun:UMNK88_3872
ko:K07592	eun:UMNK88_3873
ko:K07591	eun:UMNK88_3874
ko:K00865	eun:UMNK88_3880
ko:K12299	eun:UMNK88_3883
ko:K02746	eun:UMNK88_3891
ko:K02747	eun:UMNK88_3892
ko:K02079	eun:UMNK88_3894
ko:K02082	eun:UMNK88_3895
ko:K10984	eun:UMNK88_3897
ko:K10985	eun:UMNK88_3898
ko:K10986	eun:UMNK88_3899
ko:K02080	eun:UMNK88_3900
ko:K07056	eun:UMNK88_3906
ko:K07121	eun:UMNK88_3907
ko:K07460	eun:UMNK88_3908
ko:K07089	eun:UMNK88_3911
ko:K05520	eun:UMNK88_3914
ko:K09979	eun:UMNK88_3913
ko:K07461	eun:UMNK88_3916
ko:K03824	eun:UMNK88_3915
ko:K08303	eun:UMNK88_3918
ko:K00850	eun:UMNK88_4753
ko:K02048	eun:UMNK88_4754
ko:K01521	eun:UMNK88_4755
ko:K01803	eun:UMNK88_4756
ko:K14065	eun:UMNK88_4760
ko:K00528	eun:UMNK88_4761
ko:K00864	eun:UMNK88_4763
ko:K02440	eun:UMNK88_4764
ko:K09892	eun:UMNK88_4765
ko:K02553	eun:UMNK88_4766
ko:K02548	eun:UMNK88_4767
ko:K03667	eun:UMNK88_4768
ko:K01419	eun:UMNK88_4769
ko:K03591	eun:UMNK88_4770
ko:K04066	eun:UMNK88_4773
ko:K02909	eun:UMNK88_4774
ko:K03764	eun:UMNK88_4776
ko:K12525	eun:UMNK88_4778
ko:K00297	eun:UMNK88_4780
ko:K03782	eun:UMNK88_4781
ko:K09974	eun:UMNK88_4783
ko:K00005	eun:UMNK88_4784
ko:K08483	eun:UMNK88_4786
ko:K11189	eun:UMNK88_4786
ko:K11201	eun:UMNK88_4786
ko:K11203	eun:UMNK88_4787
ko:K11202	eun:UMNK88_4788
ko:K00656	eun:UMNK88_4789
ko:K04069	eun:UMNK88_4790
ko:K11202	eun:UMNK88_4792
ko:K01595	eun:UMNK88_4794
ko:K01438	eun:UMNK88_4795
ko:K00145	eun:UMNK88_4796
ko:K00930	eun:UMNK88_4797
ko:K01755	eun:UMNK88_4798
ko:K04761	eun:UMNK88_4800
ko:K00322	eun:UMNK88_4799
ko:K01776	eun:UMNK88_4805
ko:K07407	eun:UMNK88_pK8849
ko:K02529	eun:UMNK88_pK8850
ko:K03522	eun:UMNK88_42
ko:K00313	eun:UMNK88_43
ko:K08368	eun:UMNK88_45
ko:K11746	eun:UMNK88_46
ko:K06195	eun:UMNK88_50
ko:K02528	eun:UMNK88_51
ko:K00097	eun:UMNK88_52
ko:K03771	eun:UMNK88_53
ko:K04744	eun:UMNK88_54
ko:K05801	eun:UMNK88_55
ko:K03580	eun:UMNK88_57
ko:K02336	eun:UMNK88_58
ko:K01804	eun:UMNK88_60
ko:K02063	eun:UMNK88_65
ko:K02064	eun:UMNK88_66
ko:K11925	eun:UMNK88_67
ko:K03291	eun:UMNK88_69
ko:K01704	eun:UMNK88_70
ko:K01703	eun:UMNK88_71
ko:K00052	eun:UMNK88_72
ko:K01649	eun:UMNK88_73
ko:K05798	eun:UMNK88_74
ko:K01652	eun:UMNK88_76
ko:K01653	eun:UMNK88_77
ko:K03435	eun:UMNK88_79
ko:K03925	eun:UMNK88_81
ko:K03438	eun:UMNK88_82
ko:K03586	eun:UMNK88_83
ko:K03587	eun:UMNK88_84
ko:K01928	eun:UMNK88_85
ko:K01929	eun:UMNK88_86
ko:K01000	eun:UMNK88_87
ko:K01925	eun:UMNK88_88
ko:K03588	eun:UMNK88_89
ko:K02563	eun:UMNK88_90
ko:K01924	eun:UMNK88_91
ko:K01921	eun:UMNK88_92
ko:K03589	eun:UMNK88_93
ko:K03590	eun:UMNK88_94
ko:K03531	eun:UMNK88_95
ko:K02535	eun:UMNK88_96
ko:K11066	eun:UMNK88_964
ko:K01620	eun:UMNK88_966
ko:K00156	eun:UMNK88_967
ko:K11933	eun:UMNK88_968
ko:K06188	eun:UMNK88_971
ko:K09824	eun:UMNK88_972
ko:K13888	eun:UMNK88_974
ko:K05685	eun:UMNK88_975
ko:K03704	eun:UMNK88_976
ko:K06891	eun:UMNK88_977
ko:K03694	eun:UMNK88_978
ko:K02518	eun:UMNK88_980
ko:K00684	eun:UMNK88_981
ko:K00384	eun:UMNK88_984
ko:K03466	eun:UMNK88_988
ko:K03634	eun:UMNK88_989
ko:K07478	eun:UMNK88_990
ko:K01875	eun:UMNK88_991
ko:K02575	eun:UMNK88_1873
ko:K08349	eun:UMNK88_1880
ko:K02972	eun:UMNK88_1885
ko:K02034	eun:UMNK88_1890
ko:K08641	eun:UMNK88_1893
ko:K13243	eun:UMNK88_1894
ko:K13069	eun:UMNK88_1895
ko:K02471	eun:UMNK88_1902
ko:K06871	eun:UMNK88_1903
ko:K03657	eun:UMNK88_1918
ko:K03734	eun:UMNK88_2763
ko:K09475	eun:UMNK88_2764
ko:K07676	eun:UMNK88_2765
ko:K07687	eun:UMNK88_2766
ko:K07677	eun:UMNK88_2767
ko:K07710	eun:UMNK88_2768
ko:K01034	eun:UMNK88_2770
ko:K02106	eun:UMNK88_2772
ko:K06894	eun:UMNK88_2776
ko:K02469	eun:UMNK88_2780
ko:K11107	eun:UMNK88_2785
ko:K01126	eun:UMNK88_2788
ko:K02445	eun:UMNK88_2789
ko:K00111	eun:UMNK88_2791
ko:K00112	eun:UMNK88_2792
ko:K00113	eun:UMNK88_2793
ko:K12660	eun:UMNK88_2797
ko:K12661	eun:UMNK88_2799
ko:K07806	eun:UMNK88_2805
ko:K10012	eun:UMNK88_2806
ko:K10011	eun:UMNK88_2807
ko:K13014	eun:UMNK88_2808
ko:K07264	eun:UMNK88_2809
ko:K12962	eun:UMNK88_2810
ko:K12963	eun:UMNK88_2812
ko:K01911	eun:UMNK88_2813
ko:K01661	eun:UMNK88_2815
ko:K02742	eun:UMNK88_3640
ko:K01150	eun:UMNK88_3641
ko:K09761	eun:UMNK88_3642
ko:K01920	eun:UMNK88_3643
ko:K07735	eun:UMNK88_3644
ko:K07447	eun:UMNK88_3645
ko:K02669	eun:UMNK88_3647
ko:K06997	eun:UMNK88_3648
ko:K02221	eun:UMNK88_3649
ko:K09131	eun:UMNK88_3650
ko:K09923	eun:UMNK88_3657
ko:K03439	eun:UMNK88_3658
ko:K03575	eun:UMNK88_3659
ko:K08306	eun:UMNK88_3661
ko:K01581	eun:UMNK88_3664
ko:K07150	eun:UMNK88_3665
ko:K06946	eun:UMNK88_3697
ko:K09925	eun:UMNK88_4526
ko:K10124	eun:UMNK88_4529
ko:K01223	eun:UMNK88_4530
ko:K02039	eun:UMNK88_4536
ko:K02036	eun:UMNK88_4537
ko:K02038	eun:UMNK88_4538
ko:K02037	eun:UMNK88_4539
ko:K02040	eun:UMNK88_4540
ko:K00820	eun:UMNK88_4541
ko:K04042	eun:UMNK88_4542
ko:K02114	eun:UMNK88_4543
ko:K02112	eun:UMNK88_4544
ko:K02115	eun:UMNK88_4545
ko:K02111	eun:UMNK88_4546
ko:K02113	eun:UMNK88_4547
ko:K02109	eun:UMNK88_4548
ko:K02110	eun:UMNK88_4549
ko:K02108	eun:UMNK88_4550
ko:K03501	eun:UMNK88_4552
ko:K03495	eun:UMNK88_4553
ko:K06205	eun:UMNK88_4554
ko:K01914	eun:UMNK88_4556
ko:K03924	eun:UMNK88_4558
ko:K03549	eun:UMNK88_4559
ko:K06726	eun:UMNK88_4560
ko:K10441	eun:UMNK88_4561
ko:K02529	eun:UMNK88_4566
ko:K09897	eun:UMNK88_4576
ko:K07391	eun:UMNK88_4577
ko:K01652	eun:UMNK88_4578
ko:K11258	eun:UMNK88_4579
ko:K02621	eun:UMNK88_3774
ko:K13655	eun:UMNK88_3776
ko:K07471	eun:UMNK88_3777
ko:K03923	eun:UMNK88_3781
ko:K02622	eun:UMNK88_3783
ko:K07000	eun:UMNK88_3784
ko:K03651	eun:UMNK88_3785
ko:K09920	eun:UMNK88_3786
ko:K12340	eun:UMNK88_3788
ko:K07238	eun:UMNK88_3792
ko:K03272	eun:UMNK88_3803
ko:K00982	eun:UMNK88_3804
ko:K00549	eun:UMNK88_4641
ko:K00926	eun:UMNK88_4645
ko:K01061	eun:UMNK88_4653
ko:K00757	eun:UMNK88_4655
ko:K01631	eun:UMNK88_4659
ko:K00883	eun:UMNK88_4660
ko:K09760	eun:UMNK88_4662
ko:K03183	eun:UMNK88_4663
ko:K03690	eun:UMNK88_4664
ko:K03688	eun:UMNK88_4665
