ko:K12132	bti:BTG_30470
ko:K12574	bti:BTG_00260
ko:K18682	bti:BTG_00350
ko:K01400	bti:BTG_18155
ko:K16785	bti:BTG_06550
ko:K00034	bti:BTG_25270
ko:K16698	bti:BTG_22055
ko:K16786	bti:BTG_20205
ko:K00090	bti:BTG_24370
ko:K16787	bti:BTG_20200
ko:K16785	bti:BTG_20195
ko:K05813	bti:BTG_18315
ko:K11637	bti:BTG_16435
ko:K06320	bti:BTG_02050
ko:K10810	bti:BTG_17490
ko:K16789	bti:BTG_24755
ko:K01985	bti:BTG_r30743
ko:K01985	bti:BTG_r30757
ko:K01985	bti:BTG_r30745
ko:K01985	bti:BTG_r30765
ko:K01985	bti:BTG_r30763
ko:K01985	bti:BTG_r30755
ko:K01985	bti:BTG_r30749
ko:K01985	bti:BTG_r30759
ko:K01985	bti:BTG_r30751
ko:K01985	bti:BTG_r30761
ko:K01985	bti:BTG_r30753
ko:K01985	bti:BTG_r30747
ko:K07979	bti:BTG_29030
ko:K04757	bti:BTG_15975
ko:K07250	bti:BTG_19320
ko:K15600	bti:BTG_17505
ko:K08777	bti:BTG_23400
ko:K06336	bti:BTG_14350
ko:K06351	bti:BTG_03930
ko:K06595	bti:BTG_21270
ko:K02277	bti:BTG_29725
ko:K07705	bti:BTG_21175
ko:K02033	bti:BTG_20025
ko:K13052	bti:BTG_20605
ko:K06315	bti:BTG_07425
ko:K13281	bti:BTG_21640
ko:K06378	bti:BTG_29040
ko:K06415	bti:BTG_17335
ko:K00634	bti:BTG_28570
ko:K03429	bti:BTG_18615
ko:K02303	bti:BTG_13610
ko:K20107	bti:BTG_19020
ko:K20108	bti:BTG_19020
ko:K01791	bti:BTG_22400
ko:K10947	bti:BTG_00890
ko:K10947	bti:BTG_16915
ko:K18344	bti:BTG_06080
ko:K00128	bti:BTG_01610
ko:K00128	bti:BTG_05180
ko:K00128	bti:BTG_14315
ko:K06319	bti:BTG_02055
ko:K06322	bti:BTG_01985
ko:K16044	bti:BTG_01370
ko:K00131	bti:BTG_16985
ko:K01834	bti:BTG_00655
ko:K01834	bti:BTG_07815
ko:K01834	bti:BTG_12255
ko:K01834	bti:BTG_23990
ko:K14235	bti:BTG_t30557
ko:K14235	bti:BTG_t30603
ko:K02030	bti:BTG_19085
ko:K14224	bti:BTG_t30551
ko:K14224	bti:BTG_t30735
ko:K14224	bti:BTG_t30669
ko:K14224	bti:BTG_t30645
ko:K14224	bti:BTG_t30685
ko:K14224	bti:BTG_t30617
ko:K14224	bti:BTG_t30663
ko:K14237	bti:BTG_t30589
ko:K14237	bti:BTG_t30693
ko:K14237	bti:BTG_t30643
ko:K14237	bti:BTG_t30661
ko:K14237	bti:BTG_t30615
ko:K14234	bti:BTG_t30695
ko:K14234	bti:BTG_t30607
ko:K14234	bti:BTG_t30723
ko:K14234	bti:BTG_t30559
ko:K14230	bti:BTG_t30741
ko:K14230	bti:BTG_t30713
ko:K14230	bti:BTG_t33635
ko:K02030	bti:BTG_28630
ko:K12263	bti:BTG_22505
ko:K11636	bti:BTG_09965
ko:K11636	bti:BTG_24595
ko:K11636	bti:BTG_24605
ko:K11636	bti:BTG_24610
ko:K11636	bti:BTG_06710
ko:K00355	bti:BTG_24055
ko:K01271	bti:BTG_25800
ko:K16786	bti:BTG_06555
ko:K16787	bti:BTG_06555
ko:K16881	bti:BTG_27795
ko:K11635	bti:BTG_24600
ko:K11635	bti:BTG_06715
ko:K18345	bti:BTG_06075
ko:K11991	bti:BTG_20795
ko:K14229	bti:BTG_t30583
ko:K14229	bti:BTG_t30683
ko:K14229	bti:BTG_t30725
ko:K14229	bti:BTG_t30655
ko:K14229	bti:BTG_t30635
ko:K10819	bti:BTG_25515
ko:K00951	bti:BTG_27035
ko:K00355	bti:BTG_02965
ko:K02803	bti:BTG_18665
ko:K02804	bti:BTG_18665
ko:K16869	bti:BTG_21455
ko:K16898	bti:BTG_15330
ko:K01426	bti:BTG_09650
ko:K01426	bti:BTG_06750
ko:K01426	bti:BTG_10335
ko:K16786	bti:BTG_02935
ko:K16787	bti:BTG_02935
ko:K16785	bti:BTG_02930
ko:K15555	bti:BTG_04775
ko:K14218	bti:BTG_t30673
ko:K14218	bti:BTG_t30679
ko:K14218	bti:BTG_t30571
ko:K14218	bti:BTG_t30651
ko:K14218	bti:BTG_t30709
ko:K01980	bti:BTG_r30805
ko:K01980	bti:BTG_r30811
ko:K01980	bti:BTG_r30793
ko:K01980	bti:BTG_r30797
ko:K01980	bti:BTG_r30803
ko:K01980	bti:BTG_r30813
ko:K01980	bti:BTG_r30799
ko:K01980	bti:BTG_r30795
ko:K01980	bti:BTG_r30801
ko:K01980	bti:BTG_r30791
ko:K01980	bti:BTG_r30807
ko:K01980	bti:BTG_r30809
ko:K14233	bti:BTG_t30677
ko:K14233	bti:BTG_t30715
ko:K14233	bti:BTG_t30567
ko:K14233	bti:BTG_t30569
ko:K14230	bti:BTG_t30671
ko:K14230	bti:BTG_t30711
ko:K14228	bti:BTG_t30581
ko:K14228	bti:BTG_t30699
ko:K14228	bti:BTG_t30577
ko:K14228	bti:BTG_t30703
ko:K14225	bti:BTG_t30579
ko:K14225	bti:BTG_t30701
ko:K14225	bti:BTG_t30597
ko:K14225	bti:BTG_t30653
ko:K14219	bti:BTG_t30575
ko:K14219	bti:BTG_t30705
ko:K14219	bti:BTG_t30631
ko:K14232	bti:BTG_t30573
ko:K14232	bti:BTG_t30707
ko:K14232	bti:BTG_t30629
ko:K14220	bti:BTG_t30621
ko:K14220	bti:BTG_t30667
ko:K14220	bti:BTG_t30553
ko:K14220	bti:BTG_t30731
ko:K14220	bti:BTG_t30649
ko:K14234	bti:BTG_t30665
ko:K14223	bti:BTG_t30585
ko:K14223	bti:BTG_t30599
ko:K14223	bti:BTG_t30657
ko:K14223	bti:BTG_t30637
ko:K14233	bti:BTG_t30647
ko:K14233	bti:BTG_t30733
ko:K14227	bti:BTG_t30555
ko:K14227	bti:BTG_t30675
ko:K14227	bti:BTG_t30729
ko:K14227	bti:BTG_t30681
ko:K14230	bti:BTG_t30565
ko:K14230	bti:BTG_t30625
ko:K14230	bti:BTG_t30717
ko:K14230	bti:BTG_t30641
ko:K14230	bti:BTG_t30613
ko:K14221	bti:BTG_t30563
ko:K14221	bti:BTG_t30611
ko:K14221	bti:BTG_t30687
ko:K14221	bti:BTG_t30639
ko:K14221	bti:BTG_t30623
ko:K14221	bti:BTG_t30719
ko:K14228	bti:BTG_t30633
ko:K14225	bti:BTG_t30591
ko:K14225	bti:BTG_t30737
ko:K14225	bti:BTG_t30627
ko:K14225	bti:BTG_t30727
ko:K14231	bti:BTG_t30561
ko:K14231	bti:BTG_t30609
ko:K14231	bti:BTG_t30721
ko:K14231	bti:BTG_t30689
ko:K14226	bti:BTG_t30601
ko:K14226	bti:BTG_t30697
ko:K14233	bti:BTG_t30619
ko:K14219	bti:BTG_t30739
ko:K16924	bti:BTG_06560
ko:K01834	bti:BTG_09625
ko:K16927	bti:BTG_02940
ko:K11036	bti:BTG_03700
ko:K07260	bti:BTG_24555
ko:K13075	bti:BTG_02315
ko:K06421	bti:BTG_14185
ko:K13730	bti:BTG_14090
ko:K16899	bti:BTG_15335
ko:K16937	bti:BTG_20095
ko:K16937	bti:BTG_27335
ko:K14236	bti:BTG_t30587
ko:K14236	bti:BTG_t30605
ko:K14236	bti:BTG_t30659
ko:K02049	bti:BTG_18950
ko:K11070	bti:BTG_14300
ko:K03574	bti:BTG_04120
ko:K01897	bti:BTG_15510
ko:K03667	bti:BTG_00105
ko:K03706	bti:BTG_00110
ko:K02967	bti:BTG_00115
ko:K02357	bti:BTG_00120
ko:K09903	bti:BTG_00125
ko:K02838	bti:BTG_00130
ko:K00806	bti:BTG_00135
ko:K00981	bti:BTG_00140
ko:K00099	bti:BTG_00145
ko:K11749	bti:BTG_00150
ko:K01881	bti:BTG_00155
ko:K03763	bti:BTG_00160
ko:K09748	bti:BTG_00165
ko:K02600	bti:BTG_00170
ko:K07742	bti:BTG_00175
ko:K02519	bti:BTG_00185
ko:K09764	bti:BTG_00190
ko:K02834	bti:BTG_00195
ko:K03177	bti:BTG_00200
ko:K11753	bti:BTG_00205
ko:K02956	bti:BTG_00210
ko:K00962	bti:BTG_00215
ko:K06410	bti:BTG_00235
ko:K06411	bti:BTG_00240
ko:K00133	bti:BTG_00245
ko:K00928	bti:BTG_00250
ko:K01714	bti:BTG_00255
ko:K03466	bti:BTG_00275
ko:K03710	bti:BTG_00280
ko:K07335	bti:BTG_00285
ko:K02056	bti:BTG_00290
ko:K02057	bti:BTG_00295
ko:K01119	bti:BTG_00920
ko:K02044	bti:BTG_00925
ko:K02041	bti:BTG_00930
ko:K02042	bti:BTG_00935
ko:K02042	bti:BTG_00940
ko:K00615	bti:BTG_00945
ko:K01712	bti:BTG_01105
ko:K01468	bti:BTG_01110
ko:K01479	bti:BTG_01115
ko:K07736	bti:BTG_01120
ko:K09976	bti:BTG_00955
ko:K07090	bti:BTG_00990
ko:K06196	bti:BTG_01060
ko:K09683	bti:BTG_01095
ko:K01745	bti:BTG_01100
ko:K02397	bti:BTG_12540
ko:K02396	bti:BTG_12545
ko:K09770	bti:BTG_12555
ko:K00575	bti:BTG_12565
ko:K02417	bti:BTG_12580
ko:K03407	bti:BTG_12585
ko:K03413	bti:BTG_12590
ko:K02557	bti:BTG_12595
ko:K02556	bti:BTG_12600
ko:K07023	bti:BTG_12605
ko:K03666	bti:BTG_12610
ko:K14393	bti:BTG_12685
ko:K09190	bti:BTG_12710
ko:K03704	bti:BTG_12715
ko:K03469	bti:BTG_12730
ko:K03469	bti:BTG_12745
ko:K08989	bti:BTG_12835
ko:K01011	bti:BTG_12860
ko:K07148	bti:BTG_12890
ko:K16169	bti:BTG_12895
ko:K03816	bti:BTG_12900
ko:K01265	bti:BTG_12905
ko:K01299	bti:BTG_12925
ko:K07444	bti:BTG_12940
ko:K06327	bti:BTG_12955
ko:K03700	bti:BTG_12990
ko:K05366	bti:BTG_12995
ko:K10773	bti:BTG_13005
ko:K02086	bti:BTG_13010
ko:K00812	bti:BTG_13015
ko:K01579	bti:BTG_13035
ko:K01918	bti:BTG_13040
ko:K00606	bti:BTG_13045
ko:K03524	bti:BTG_13055
ko:K00974	bti:BTG_13060
ko:K01734	bti:BTG_13075
ko:K00215	bti:BTG_13080
ko:K06973	bti:BTG_13100
ko:K03888	bti:BTG_13120
ko:K03887	bti:BTG_13125
ko:K03886	bti:BTG_13130
ko:K00817	bti:BTG_13150
ko:K01735	bti:BTG_13155
ko:K01736	bti:BTG_13160
ko:K00940	bti:BTG_13165
ko:K00805	bti:BTG_13170
ko:K03183	bti:BTG_13175
ko:K00805	bti:BTG_13180
ko:K01495	bti:BTG_13185
ko:K03530	bti:BTG_13190
ko:K06398	bti:BTG_13195
ko:K00057	bti:BTG_13215
ko:K03977	bti:BTG_13220
ko:K05739	bti:BTG_13230
ko:K01823	bti:BTG_13245
ko:K02945	bti:BTG_13250
ko:K00945	bti:BTG_13255
ko:K01424	bti:BTG_13265
ko:K00384	bti:BTG_13270
ko:K00260	bti:BTG_13290
ko:K16511	bti:BTG_13295
ko:K07052	bti:BTG_13315
ko:K03654	bti:BTG_13320
ko:K05337	bti:BTG_13330
ko:K07651	bti:BTG_13355
ko:K07775	bti:BTG_13360
ko:K07399	bti:BTG_13370
ko:K06178	bti:BTG_13380
ko:K06374	bti:BTG_13385
ko:K06373	bti:BTG_13390
ko:K04564	bti:BTG_13400
ko:K14205	bti:BTG_13415
ko:K03784	bti:BTG_13425
ko:K07220	bti:BTG_13475
ko:K03306	bti:BTG_13480
ko:K07090	bti:BTG_13485
ko:K05916	bti:BTG_13500
ko:K03311	bti:BTG_13535
ko:K11618	bti:BTG_13545
ko:K11617	bti:BTG_13550
ko:K11622	bti:BTG_13555
ko:K11619	bti:BTG_13565
ko:K11102	bti:BTG_13580
ko:K03308	bti:BTG_13595
ko:K02304	bti:BTG_13600
ko:K00366	bti:BTG_13620
ko:K00860	bti:BTG_13625
ko:K00958	bti:BTG_13630
ko:K00390	bti:BTG_13635
ko:K01586	bti:BTG_13645
ko:K04486	bti:BTG_13675
ko:K01523	bti:BTG_13680
ko:K01496	bti:BTG_13685
ko:K02500	bti:BTG_13690
ko:K01814	bti:BTG_13695
ko:K02501	bti:BTG_13700
ko:K01693	bti:BTG_13705
ko:K00013	bti:BTG_13710
ko:K00765	bti:BTG_13715
ko:K02502	bti:BTG_13720
ko:K01704	bti:BTG_13725
ko:K01703	bti:BTG_13730
ko:K00052	bti:BTG_13735
ko:K01649	bti:BTG_13740
ko:K00053	bti:BTG_13745
ko:K01653	bti:BTG_13750
ko:K01652	bti:BTG_13755
ko:K00826	bti:BTG_13760
ko:K03498	bti:BTG_13790
ko:K06153	bti:BTG_13825
ko:K03327	bti:BTG_13830
ko:K03839	bti:BTG_13865
ko:K03367	bti:BTG_13885
ko:K03739	bti:BTG_13890
ko:K14188	bti:BTG_13895
ko:K03740	bti:BTG_13900
ko:K00459	bti:BTG_13905
ko:K01297	bti:BTG_13910
ko:K07052	bti:BTG_13940
ko:K03647	bti:BTG_13980
ko:K09457	bti:BTG_14015
ko:K10026	bti:BTG_14020
ko:K01737	bti:BTG_14025
ko:K06920	bti:BTG_14030
ko:K07697	bti:BTG_14035
ko:K15973	bti:BTG_14060
ko:K13532	bti:BTG_14065
ko:K09798	bti:BTG_14075
ko:K03430	bti:BTG_14110
ko:K05306	bti:BTG_14115
ko:K02011	bti:BTG_14120
ko:K02010	bti:BTG_14125
ko:K02012	bti:BTG_14130
ko:K03821	bti:BTG_14155
ko:K00023	bti:BTG_14160
ko:K02598	bti:BTG_14200
ko:K02236	bti:BTG_14210
ko:K00782	bti:BTG_14215
ko:K02647	bti:BTG_14250
ko:K11473	bti:BTG_14260
ko:K06180	bti:BTG_14275
ko:K11069	bti:BTG_14295
ko:K11071	bti:BTG_14305
ko:K11072	bti:BTG_14310
ko:K13280	bti:BTG_14355
ko:K02469	bti:BTG_20850
ko:K02470	bti:BTG_20855
ko:K03629	bti:BTG_20860
ko:K02338	bti:BTG_20870
ko:K02313	bti:BTG_20875
ko:K02914	bti:BTG_20880
ko:K03536	bti:BTG_20885
ko:K03217	bti:BTG_20890
ko:K06346	bti:BTG_20895
ko:K03650	bti:BTG_20900
ko:K03495	bti:BTG_20905
ko:K03501	bti:BTG_20910
ko:K06942	bti:BTG_20945
ko:K02990	bti:BTG_20950
ko:K02963	bti:BTG_20960
ko:K02939	bti:BTG_20975
ko:K01939	bti:BTG_20985
ko:K07668	bti:BTG_20990
ko:K07652	bti:BTG_20995
ko:K00783	bti:BTG_21025
ko:K00364	bti:BTG_21105
ko:K11068	bti:BTG_21120
ko:K01784	bti:BTG_21125
ko:K04564	bti:BTG_21150
ko:K00491	bti:BTG_21155
ko:K07704	bti:BTG_21170
ko:K05338	bti:BTG_21180
ko:K05339	bti:BTG_21185
ko:K12267	bti:BTG_21195
ko:K09153	bti:BTG_21250
ko:K05946	bti:BTG_21290
ko:K08369	bti:BTG_21295
ko:K11033	bti:BTG_11395
ko:K17103	bti:BTG_16125
ko:K06314	bti:BTG_21460
ko:K02015	bti:BTG_21470
ko:K02015	bti:BTG_21475
ko:K02013	bti:BTG_21480
ko:K02016	bti:BTG_21485
ko:K06885	bti:BTG_21490
ko:K01821	bti:BTG_21495
ko:K01126	bti:BTG_21515
ko:K00797	bti:BTG_21535
ko:K01480	bti:BTG_21540
ko:K01887	bti:BTG_21565
ko:K03088	bti:BTG_21570
ko:K01265	bti:BTG_21595
ko:K07778	bti:BTG_21610
ko:K07693	bti:BTG_21615
ko:K06131	bti:BTG_21645
ko:K00626	bti:BTG_21655
ko:K00074	bti:BTG_21660
ko:K03048	bti:BTG_21685
ko:K01937	bti:BTG_21690
ko:K02490	bti:BTG_21700
ko:K01624	bti:BTG_21705
ko:K00790	bti:BTG_21710
ko:K02446	bti:BTG_21720
ko:K03628	bti:BTG_21725
ko:K02909	bti:BTG_21730
ko:K02835	bti:BTG_21740
ko:K02493	bti:BTG_21745
ko:K06200	bti:BTG_21305
ko:K00868	bti:BTG_21320
ko:K01118	bti:BTG_21335
ko:K01560	bti:BTG_21345
ko:K01740	bti:BTG_21355
ko:K00651	bti:BTG_21360
ko:K00003	bti:BTG_21365
ko:K03648	bti:BTG_21395
ko:K10716	bti:BTG_21415
ko:K06305	bti:BTG_21430
ko:K01449	bti:BTG_21435
ko:K00625	bti:BTG_21450
ko:K06387	bti:BTG_21750
ko:K07566	bti:BTG_21760
ko:K15977	bti:BTG_21790
ko:K01808	bti:BTG_21805
ko:K00600	bti:BTG_21815
ko:K00761	bti:BTG_21820
ko:K02116	bti:BTG_21835
ko:K04763	bti:BTG_33108
ko:K03402	bti:BTG_19070
ko:K03406	bti:BTG_19075
ko:K02029	bti:BTG_19090
ko:K05548	bti:BTG_19105
ko:K07074	bti:BTG_19110
ko:K06325	bti:BTG_19150
ko:K06325	bti:BTG_19155
ko:K02016	bti:BTG_19175
ko:K02015	bti:BTG_19180
ko:K02015	bti:BTG_19185
ko:K01628	bti:BTG_19190
ko:K08963	bti:BTG_19195
ko:K00899	bti:BTG_19200
ko:K03386	bti:BTG_19205
ko:K03387	bti:BTG_19210
ko:K14665	bti:BTG_19225
ko:K03315	bti:BTG_19230
ko:K07043	bti:BTG_19255
ko:K03215	bti:BTG_19270
ko:K03317	bti:BTG_19275
ko:K00135	bti:BTG_19310
ko:K01091	bti:BTG_19325
ko:K02434	bti:BTG_19335
ko:K02433	bti:BTG_19340
ko:K02435	bti:BTG_19345
ko:K02073	bti:BTG_19375
ko:K02072	bti:BTG_19380
ko:K02071	bti:BTG_19385
ko:K00294	bti:BTG_19395
ko:K07090	bti:BTG_19400
ko:K01972	bti:BTG_19410
ko:K03657	bti:BTG_19415
ko:K07094	bti:BTG_19420
ko:K01945	bti:BTG_19440
ko:K00602	bti:BTG_19445
ko:K11175	bti:BTG_19450
ko:K01933	bti:BTG_19455
ko:K00764	bti:BTG_19460
ko:K01952	bti:BTG_19465
ko:K01952	bti:BTG_19470
ko:K01952	bti:BTG_19475
ko:K01923	bti:BTG_19480
ko:K01756	bti:BTG_19485
ko:K01589	bti:BTG_19490
ko:K01588	bti:BTG_19495
ko:K06889	bti:BTG_19545
ko:K06901	bti:BTG_19560
ko:K01951	bti:BTG_19610
ko:K07729	bti:BTG_14470
ko:K00164	bti:BTG_14475
ko:K00658	bti:BTG_14480
ko:K09136	bti:BTG_14490
ko:K03303	bti:BTG_14540
ko:K01695	bti:BTG_14550
ko:K01696	bti:BTG_14555
ko:K01817	bti:BTG_14560
ko:K01609	bti:BTG_14565
ko:K00766	bti:BTG_14570
ko:K01657	bti:BTG_14580
ko:K03657	bti:BTG_14625
ko:K00208	bti:BTG_14660
ko:K00067	bti:BTG_14665
ko:K01790	bti:BTG_14675
ko:K00973	bti:BTG_14680
ko:K06180	bti:BTG_14740
ko:K00858	bti:BTG_14745
ko:K07816	bti:BTG_14750
ko:K06886	bti:BTG_14765
ko:K08602	bti:BTG_14780
ko:K06131	bti:BTG_14790
ko:K16511	bti:BTG_14795
ko:K16509	bti:BTG_14805
ko:K02035	bti:BTG_14815
ko:K10823	bti:BTG_14825
ko:K15582	bti:BTG_14840
ko:K15581	bti:BTG_14845
ko:K02035	bti:BTG_14850
ko:K01867	bti:BTG_14860
ko:K09458	bti:BTG_14880
ko:K00648	bti:BTG_14885
ko:K02254	bti:BTG_14890
ko:K03695	bti:BTG_14910
ko:K07533	bti:BTG_14945
ko:K00243	bti:BTG_14950
ko:K09767	bti:BTG_14955
ko:K03320	bti:BTG_14970
ko:K03781	bti:BTG_14975
ko:K01772	bti:BTG_14980
ko:K01953	bti:BTG_15265
ko:K00819	bti:BTG_15280
ko:K06299	bti:BTG_15295
ko:K06300	bti:BTG_15300
ko:K06301	bti:BTG_15305
ko:K06302	bti:BTG_15310
ko:K06303	bti:BTG_15315
ko:K06304	bti:BTG_15320
ko:K03100	bti:BTG_15340
ko:K02250	bti:BTG_15350
ko:K03704	bti:BTG_15365
ko:K01637	bti:BTG_15380
ko:K01638	bti:BTG_15385
ko:K03406	bti:BTG_15405
ko:K07052	bti:BTG_15430
ko:K13653	bti:BTG_15455
ko:K03088	bti:BTG_15460
ko:K07098	bti:BTG_15480
ko:K06889	bti:BTG_15485
ko:K03800	bti:BTG_15520
ko:K01421	bti:BTG_15560
ko:K07004	bti:BTG_15585
ko:K00231	bti:BTG_15595
ko:K01772	bti:BTG_15600
ko:K01599	bti:BTG_15605
ko:K08981	bti:BTG_15620
ko:K09167	bti:BTG_15625
ko:K08981	bti:BTG_15670
ko:K09167	bti:BTG_15675
ko:K02503	bti:BTG_15710
ko:K09682	bti:BTG_15720
ko:K07533	bti:BTG_15735
ko:K03657	bti:BTG_15740
ko:K03088	bti:BTG_15755
ko:K00111	bti:BTG_15775
ko:K00864	bti:BTG_15780
ko:K02440	bti:BTG_15785
ko:K02443	bti:BTG_15790
ko:K01569	bti:BTG_15800
ko:K15975	bti:BTG_15840
ko:K15975	bti:BTG_15845
ko:K03698	bti:BTG_15860
ko:K01442	bti:BTG_15890
ko:K03407	bti:BTG_15945
ko:K00575	bti:BTG_15950
ko:K03594	bti:BTG_15965
ko:K03090	bti:BTG_15970
ko:K01118	bti:BTG_16085
ko:K02108	bti:BTG_21840
ko:K02110	bti:BTG_21845
ko:K02109	bti:BTG_21850
ko:K02113	bti:BTG_21855
ko:K02111	bti:BTG_21860
ko:K02115	bti:BTG_21865
ko:K02112	bti:BTG_21870
ko:K02114	bti:BTG_21875
ko:K00330	bti:BTG_21895
ko:K00331	bti:BTG_21900
ko:K00332	bti:BTG_21905
ko:K00333	bti:BTG_21910
ko:K00337	bti:BTG_21915
ko:K00338	bti:BTG_21920
ko:K00339	bti:BTG_21925
ko:K00340	bti:BTG_21930
ko:K00341	bti:BTG_21935
ko:K00342	bti:BTG_21940
ko:K00343	bti:BTG_21945
ko:K00790	bti:BTG_21960
ko:K06381	bti:BTG_21965
ko:K06386	bti:BTG_21985
ko:K06283	bti:BTG_21995
ko:K03569	bti:BTG_22000
ko:K02372	bti:BTG_22005
ko:K01104	bti:BTG_22025
ko:K00963	bti:BTG_22030
ko:K00012	bti:BTG_22060
ko:K01784	bti:BTG_22065
ko:K02012	bti:BTG_22095
ko:K02445	bti:BTG_22100
ko:K02005	bti:BTG_22105
ko:K02003	bti:BTG_22110
ko:K02004	bti:BTG_22115
ko:K02250	bti:BTG_22130
ko:K05020	bti:BTG_22195
ko:K03317	bti:BTG_22215
ko:K00824	bti:BTG_22235
ko:K03303	bti:BTG_22260
ko:K03147	bti:BTG_22265
ko:K03893	bti:BTG_22270
ko:K00426	bti:BTG_22275
ko:K00425	bti:BTG_22280
ko:K01421	bti:BTG_22300
ko:K02760	bti:BTG_22320
ko:K02761	bti:BTG_22325
ko:K02759	bti:BTG_22330
ko:K01611	bti:BTG_22335
ko:K00797	bti:BTG_22340
ko:K02760	bti:BTG_22345
ko:K02761	bti:BTG_22350
ko:K02759	bti:BTG_22355
ko:K03307	bti:BTG_01135
ko:K15975	bti:BTG_01140
ko:K06999	bti:BTG_01145
ko:K00666	bti:BTG_01210
ko:K03523	bti:BTG_01215
ko:K03168	bti:BTG_31233
ko:K09136	bti:BTG_31258
ko:K06915	bti:BTG_19620
ko:K04077	bti:BTG_19650
ko:K04078	bti:BTG_19655
ko:K07052	bti:BTG_19660
ko:K01926	bti:BTG_19670
ko:K06158	bti:BTG_19675
ko:K01409	bti:BTG_19680
ko:K03789	bti:BTG_19685
ko:K00655	bti:BTG_19915
ko:K07219	bti:BTG_19950
ko:K02020	bti:BTG_19955
ko:K02018	bti:BTG_19960
ko:K05340	bti:BTG_19965
ko:K03811	bti:BTG_19970
ko:K00286	bti:BTG_19975
ko:K02035	bti:BTG_19985
ko:K15580	bti:BTG_19990
ko:K15580	bti:BTG_20005
ko:K07552	bti:BTG_20045
ko:K02073	bti:BTG_20075
ko:K02071	bti:BTG_20080
ko:K02072	bti:BTG_20085
ko:K00059	bti:BTG_20090
ko:K00820	bti:BTG_20110
ko:K03431	bti:BTG_20120
ko:K01476	bti:BTG_20135
ko:K00865	bti:BTG_20140
ko:K03046	bti:BTG_20390
ko:K03043	bti:BTG_20395
ko:K00564	bti:BTG_20400
ko:K02935	bti:BTG_20405
ko:K02864	bti:BTG_20410
ko:K02863	bti:BTG_20415
ko:K02867	bti:BTG_20420
ko:K02601	bti:BTG_20425
ko:K03073	bti:BTG_20430
ko:K02913	bti:BTG_20435
ko:K03091	bti:BTG_20440
ko:K06962	bti:BTG_20445
ko:K03218	bti:BTG_20450
ko:K11145	bti:BTG_20455
ko:K01883	bti:BTG_20460
ko:K00640	bti:BTG_20465
ko:K09698	bti:BTG_20470
ko:K01770	bti:BTG_20475
ko:K00991	bti:BTG_20480
ko:K07067	bti:BTG_20490
ko:K04485	bti:BTG_20495
ko:K03696	bti:BTG_20500
ko:K03708	bti:BTG_20515
ko:K04567	bti:BTG_20520
ko:K00950	bti:BTG_20535
ko:K01633	bti:BTG_20540
ko:K00796	bti:BTG_20545
ko:K02619	bti:BTG_20550
ko:K01665	bti:BTG_20560
ko:K01738	bti:BTG_20565
