ko:K19405	ctec:EC599_7011
ko:K00627	ctec:EC599_2521
ko:K00688	ctec:EC599_2531
ko:K02313	ctec:EC599_2551
ko:K03217	ctec:EC599_2561
ko:K07052	ctec:EC599_2591
ko:K04487	ctec:EC599_2641
ko:K02342	ctec:EC599_2671
ko:K07083	ctec:EC599_2681
ko:K01962	ctec:EC599_2711
ko:K01448	ctec:EC599_2741
ko:K01928	ctec:EC599_2751
ko:K03587	ctec:EC599_2761
ko:K00813	ctec:EC599_6611
ko:K03582	ctec:EC599_6631
ko:K03583	ctec:EC599_6641
ko:K03168	ctec:EC599_6671
ko:K02221	ctec:EC599_6691
ko:K01934	ctec:EC599_6731
ko:K03581	ctec:EC599_6761
ko:K06861	ctec:EC599_6781
ko:K01627	ctec:EC599_6801
ko:K06180	ctec:EC599_6831
ko:K06960	ctec:EC599_6841
ko:K02469	ctec:EC599_6851
ko:K02470	ctec:EC599_6861
ko:K02492	ctec:EC599_6871
ko:K03224	ctec:EC599_6941
ko:K02417	ctec:EC599_6971
ko:K03219	ctec:EC599_6991
ko:K02838	ctec:EC599_7051
ko:K09903	ctec:EC599_7061
ko:K02357	ctec:EC599_7071
ko:K02967	ctec:EC599_7081
ko:K03162	ctec:EC599_7101
ko:K09013	ctec:EC599_7141
ko:K09015	ctec:EC599_7151
ko:K11717	ctec:EC599_7161
ko:K07220	ctec:EC599_7201
ko:K03306	ctec:EC599_7211
ko:K00927	ctec:EC599_7221
ko:K10773	ctec:EC599_7261
ko:K03650	ctec:EC599_7271
ko:K01613	ctec:EC599_7281
ko:K03070	ctec:EC599_7301
ko:K03977	ctec:EC599_7321
ko:K00970	ctec:EC599_7331
ko:K03544	ctec:EC599_7341
ko:K01358	ctec:EC599_7351
ko:K03545	ctec:EC599_7361
ko:K03569	ctec:EC599_7391
ko:K01596	ctec:EC599_7401
ko:K00057	ctec:EC599_7441
ko:K00972	ctec:EC599_7451
ko:K02412	ctec:EC599_7471
ko:K02411	ctec:EC599_7481
ko:K02409	ctec:EC599_7491
ko:K13819	ctec:EC599_7501
ko:K04487	ctec:EC599_7511
ko:K01834	ctec:EC599_7521
ko:K06178	ctec:EC599_7531
ko:K03524	ctec:EC599_7551
ko:K05837	ctec:EC599_7561
ko:K01875	ctec:EC599_7591
ko:K11752	ctec:EC599_7601
ko:K14652	ctec:EC599_7611
ko:K00794	ctec:EC599_7621
ko:K03310	ctec:EC599_7651
ko:K06910	ctec:EC599_7661
ko:K07117	ctec:EC599_7671
ko:K03466	ctec:EC599_7691
ko:K03438	ctec:EC599_2781
ko:K02313	ctec:EC599_2811
ko:K00347	ctec:EC599_2841
ko:K00348	ctec:EC599_2851
ko:K00349	ctec:EC599_2861
ko:K00350	ctec:EC599_2871
ko:K02437	ctec:EC599_2881
ko:K03800	ctec:EC599_2911
ko:K03696	ctec:EC599_2921
ko:K00566	ctec:EC599_2931
ko:K02806	ctec:EC599_2961
ko:K02806	ctec:EC599_2971
ko:K01963	ctec:EC599_2991
ko:K04564	ctec:EC599_3001
ko:K01840	ctec:EC599_3011
ko:K03685	ctec:EC599_3031
ko:K04485	ctec:EC599_3041
ko:K01749	ctec:EC599_3051
ko:K01873	ctec:EC599_3081
ko:K02124	ctec:EC599_3101
ko:K02123	ctec:EC599_3111
ko:K02120	ctec:EC599_3121
ko:K02118	ctec:EC599_3131
ko:K02117	ctec:EC599_3141
ko:K02121	ctec:EC599_3161
ko:K00616	ctec:EC599_3191
ko:K03046	ctec:EC599_3201
ko:K03043	ctec:EC599_3211
ko:K02935	ctec:EC599_3221
ko:K02864	ctec:EC599_3231
ko:K02863	ctec:EC599_3241
ko:K02867	ctec:EC599_3251
ko:K02601	ctec:EC599_3261
ko:K03073	ctec:EC599_3271
ko:K02358	ctec:EC599_3281
ko:K02518	ctec:EC599_3301
ko:K01803	ctec:EC599_3361
ko:K03601	ctec:EC599_3371
ko:K03602	ctec:EC599_3381
ko:K01662	ctec:EC599_3401
ko:K00873	ctec:EC599_3411
ko:K03701	ctec:EC599_3421
ko:K02343	ctec:EC599_3431
ko:K09747	ctec:EC599_3441
ko:K08483	ctec:EC599_3451
ko:K11189	ctec:EC599_3461
ko:K11381	ctec:EC599_3501
ko:K03686	ctec:EC599_3511
ko:K02970	ctec:EC599_3521
ko:K01338	ctec:EC599_3541
ko:K00784	ctec:EC599_3561
ko:K03733	ctec:EC599_3571
ko:K06287	ctec:EC599_3591
ko:K03075	ctec:EC599_3621
ko:K01462	ctec:EC599_3631
ko:K02528	ctec:EC599_3641
ko:K06888	ctec:EC599_3661
ko:K03523	ctec:EC599_3701
ko:K01714	ctec:EC599_3721
ko:K00928	ctec:EC599_3731
ko:K00133	ctec:EC599_3741
ko:K00215	ctec:EC599_3751
ko:K00800	ctec:EC599_3771
ko:K00891	ctec:EC599_3781
ko:K01736	ctec:EC599_3791
ko:K01735	ctec:EC599_3801
ko:K13832	ctec:EC599_3811
ko:K03758	ctec:EC599_3851
ko:K00351	ctec:EC599_7751
ko:K03210	ctec:EC599_7761
ko:K00231	ctec:EC599_7801
ko:K01599	ctec:EC599_7821
ko:K03723	ctec:EC599_7831
ko:K01872	ctec:EC599_7841
ko:K00615	ctec:EC599_7891
ko:K01241	ctec:EC599_7901
ko:K02356	ctec:EC599_7911
ko:K01929	ctec:EC599_7961
ko:K01000	ctec:EC599_7971
ko:K01925	ctec:EC599_7981
ko:K03588	ctec:EC599_8001
ko:K02563	ctec:EC599_8011
ko:K06960	ctec:EC599_8031
ko:K00791	ctec:EC599_8061
ko:K09710	ctec:EC599_8091
ko:K09458	ctec:EC599_8101
ko:K01507	ctec:EC599_8121
ko:K00263	ctec:EC599_8131
ko:K01082	ctec:EC599_8141
ko:K00655	ctec:EC599_8151
ko:K01909	ctec:EC599_8161
ko:K00652	ctec:EC599_8171
ko:K04066	ctec:EC599_8181
ko:K04567	ctec:EC599_8211
ko:K01883	ctec:EC599_8221
ko:K03536	ctec:EC599_8241
ko:K02914	ctec:EC599_8251
ko:K02919	ctec:EC599_8261
ko:K02954	ctec:EC599_8271
ko:K09779	ctec:EC599_0011
ko:K02435	ctec:EC599_0021
ko:K02433	ctec:EC599_0031
ko:K02434	ctec:EC599_0041
ko:K03703	ctec:EC599_8311
ko:K03555	ctec:EC599_8321
ko:K14164	ctec:EC599_8371
ko:K00995	ctec:EC599_8381
ko:K00703	ctec:EC599_8391
ko:K02897	ctec:EC599_8411
ko:K01056	ctec:EC599_8421
ko:K02990	ctec:EC599_8431
ko:K02963	ctec:EC599_8441
ko:K02939	ctec:EC599_8451
ko:K00919	ctec:EC599_8461
ko:K01408	ctec:EC599_8481
ko:K00630	ctec:EC599_8491
ko:K08301	ctec:EC599_8501
ko:K02911	ctec:EC599_8531
ko:K03621	ctec:EC599_8541
ko:K03431	ctec:EC599_8591
ko:K00820	ctec:EC599_8601
ko:K03834	ctec:EC599_8611
ko:K03834	ctec:EC599_8621
ko:K06890	ctec:EC599_8631
ko:K03110	ctec:EC599_8641
ko:K01903	ctec:EC599_8651
ko:K01902	ctec:EC599_8661
ko:K06972	ctec:EC599_8681
ko:K09760	ctec:EC599_8691
ko:K17103	ctec:EC599_8701
ko:K03439	ctec:EC599_8731
ko:K00075	ctec:EC599_8751
ko:K03625	ctec:EC599_8761
ko:K02520	ctec:EC599_8771
ko:K02916	ctec:EC599_8781
ko:K02887	ctec:EC599_8791
ko:K01889	ctec:EC599_8801
ko:K11720	ctec:EC599_8821
ko:K08275	ctec:EC599_0831
ko:K01802	ctec:EC599_5621
ko:K14232	ctec:EC599_0621
ko:K03309	ctec:EC599_4131
ko:K08719	ctec:EC599_7431
ko:K14220	ctec:EC599_0381
ko:K14232	ctec:EC599_6541
ko:K01921	ctec:EC599_8021
ko:K01924	ctec:EC599_8021
ko:K01829	ctec:EC599_8201
ko:K01829	ctec:EC599_8231
ko:K07033	ctec:EC599_7131
ko:K14225	ctec:EC599_7091
ko:K14228	ctec:EC599_5241
ko:K01985	ctec:EC599_7731
ko:K01985	ctec:EC599_7871
ko:K14218	ctec:EC599_6601
ko:K14226	ctec:EC599_7701
ko:K14222	ctec:EC599_7951
ko:K14234	ctec:EC599_7001
ko:K14219	ctec:EC599_4851
ko:K14234	ctec:EC599_1451
ko:K14234	ctec:EC599_3291
ko:K14224	ctec:EC599_7041
ko:K14225	ctec:EC599_7371
ko:K14237	ctec:EC599_2251
ko:K14233	ctec:EC599_5151
ko:K14228	ctec:EC599_4891
ko:K14236	ctec:EC599_1461
ko:K01977	ctec:EC599_7711
ko:K01977	ctec:EC599_7851
ko:K01980	ctec:EC599_7721
ko:K01980	ctec:EC599_7861
ko:K14221	ctec:EC599_2241
ko:K14233	ctec:EC599_3671
ko:K14228	ctec:EC599_4811
ko:K14229	ctec:EC599_7031
ko:K01983	ctec:EC599_2601
ko:K14223	ctec:EC599_8401
ko:K01214	ctec:EC599_0441
ko:K03825	ctec:EC599_4731
ko:K03111	ctec:EC599_0461
ko:K03496	ctec:EC599_6031
ko:K03497	ctec:EC599_7171
ko:K02626	ctec:EC599_3841
ko:K11991	ctec:EC599_8881
ko:K04771	ctec:EC599_8671
ko:K11645	ctec:EC599_2171
ko:K19411	ctec:EC599_7021
ko:K02031	ctec:EC599_7191
ko:K07125	ctec:EC599_3321
ko:K22100	ctec:EC599_3351
ko:K12132	ctec:EC599_3071
ko:K20265	ctec:EC599_2181
ko:K20074	ctec:EC599_2651
ko:K11749	ctec:EC599_0751
ko:K22099	ctec:EC599_6331
ko:K00526	ctec:EC599_8721
ko:K01520	ctec:EC599_2981
ko:K03553	ctec:EC599_6741
ko:K00287	ctec:EC599_6341
ko:K02316	ctec:EC599_8341
ko:K02314	ctec:EC599_5171
ko:K02335	ctec:EC599_5111
ko:K02032	ctec:EC599_7181
ko:K00525	ctec:EC599_8711
ko:K02050	ctec:EC599_8991
ko:K02051	ctec:EC599_8991
ko:K01534	ctec:EC599_7571
ko:K16239	ctec:EC599_0881
