ko:K01139	kpa:KPNJ1_00116
ko:K00688	kpa:KPNJ1_00346
ko:K00705	kpa:KPNJ1_00347
ko:K06155	kpa:KPNJ1_00348
ko:K07400	kpa:KPNJ1_00349
ko:K02170	kpa:KPNJ1_00351
ko:K07490	kpa:KPNJ1_00353
ko:K04759	kpa:KPNJ1_00354
ko:K04758	kpa:KPNJ1_00355
ko:K06959	kpa:KPNJ1_00357
ko:K04760	kpa:KPNJ1_00358
ko:K07659	kpa:KPNJ1_00359
ko:K07638	kpa:KPNJ1_00360
ko:K01610	kpa:KPNJ1_00361
ko:K04083	kpa:KPNJ1_00363
ko:K04762	kpa:KPNJ1_00364
ko:K06966	kpa:KPNJ1_01099
ko:K06879	kpa:KPNJ1_01100
ko:K15723	kpa:KPNJ1_01101
ko:K06175	kpa:KPNJ1_01104
ko:K03535	kpa:KPNJ1_01107
ko:K13918	kpa:KPNJ1_01108
ko:K01706	kpa:KPNJ1_01109
ko:K00865	kpa:KPNJ1_01110
ko:K07678	kpa:KPNJ1_01111
ko:K07678	kpa:KPNJ1_01112
ko:K03215	kpa:KPNJ1_01113
ko:K00951	kpa:KPNJ1_01114
ko:K04765	kpa:KPNJ1_01115
ko:K01937	kpa:KPNJ1_01116
ko:K01689	kpa:KPNJ1_01117
ko:K10026	kpa:KPNJ1_01120
ko:K01737	kpa:KPNJ1_01121
ko:K00380	kpa:KPNJ1_01123
ko:K00381	kpa:KPNJ1_01124
ko:K00390	kpa:KPNJ1_01125
ko:K09612	kpa:KPNJ1_01126
ko:K02302	kpa:KPNJ1_01127
ko:K00957	kpa:KPNJ1_01128
ko:K00956	kpa:KPNJ1_01129
ko:K00860	kpa:KPNJ1_01130
ko:K05589	kpa:KPNJ1_01132
ko:K00991	kpa:KPNJ1_01133
ko:K01770	kpa:KPNJ1_01134
ko:K06176	kpa:KPNJ1_01135
ko:K03787	kpa:KPNJ1_01136
ko:K00573	kpa:KPNJ1_01137
ko:K06194	kpa:KPNJ1_01138
ko:K03087	kpa:KPNJ1_01139
ko:K03186	kpa:KPNJ1_01144
ko:K03555	kpa:KPNJ1_01148
ko:K03555	kpa:KPNJ1_01149
ko:K01156	kpa:KPNJ1_01961
ko:K01156	kpa:KPNJ1_01962
ko:K07006	kpa:KPNJ1_00080
ko:K09958	kpa:KPNJ1_00081
ko:K02073	kpa:KPNJ1_00084
ko:K13979	kpa:KPNJ1_00089
ko:K03292	kpa:KPNJ1_00094
ko:K01811	kpa:KPNJ1_00095
ko:K01222	kpa:KPNJ1_00097
ko:K02749	kpa:KPNJ1_00098
ko:K02750	kpa:KPNJ1_00098
ko:K03624	kpa:KPNJ1_00561
ko:K07574	kpa:KPNJ1_00562
ko:K02427	kpa:KPNJ1_00563
ko:K03798	kpa:KPNJ1_00564
ko:K00796	kpa:KPNJ1_00565
ko:K03431	kpa:KPNJ1_00566
ko:K03075	kpa:KPNJ1_00567
ko:K01940	kpa:KPNJ1_00571
ko:K09748	kpa:KPNJ1_00573
ko:K02600	kpa:KPNJ1_00574
ko:K02519	kpa:KPNJ1_00575
ko:K02834	kpa:KPNJ1_00576
ko:K03177	kpa:KPNJ1_00577
ko:K02956	kpa:KPNJ1_00578
ko:K00962	kpa:KPNJ1_00579
ko:K05803	kpa:KPNJ1_00580
ko:K05592	kpa:KPNJ1_00582
ko:K03835	kpa:KPNJ1_00583
ko:K08303	kpa:KPNJ1_00586
ko:K03824	kpa:KPNJ1_00588
ko:K07461	kpa:KPNJ1_00589
ko:K05520	kpa:KPNJ1_00590
ko:K07089	kpa:KPNJ1_00592
ko:K07089	kpa:KPNJ1_00593
ko:K12961	kpa:KPNJ1_00595
ko:K07460	kpa:KPNJ1_00596
ko:K07121	kpa:KPNJ1_00597
ko:K07056	kpa:KPNJ1_00598
ko:K02436	kpa:KPNJ1_00600
ko:K00094	kpa:KPNJ1_00601
ko:K02775	kpa:KPNJ1_00602
ko:K02774	kpa:KPNJ1_00603
ko:K02773	kpa:KPNJ1_00604
ko:K16371	kpa:KPNJ1_00605
ko:K11189	kpa:KPNJ1_00606
ko:K02769	kpa:KPNJ1_00607
ko:K02770	kpa:KPNJ1_00607
ko:K16370	kpa:KPNJ1_00608
ko:K08302	kpa:KPNJ1_00609
ko:K01092	kpa:KPNJ1_01417
ko:K15396	kpa:KPNJ1_01418
ko:K13643	kpa:KPNJ1_01419
ko:K04487	kpa:KPNJ1_01420
ko:K04488	kpa:KPNJ1_01421
ko:K13628	kpa:KPNJ1_01422
ko:K04082	kpa:KPNJ1_01423
ko:K04044	kpa:KPNJ1_01424
ko:K04755	kpa:KPNJ1_01425
ko:K07751	kpa:KPNJ1_01427
ko:K01011	kpa:KPNJ1_01430
ko:K06894	kpa:KPNJ1_01431
ko:K05367	kpa:KPNJ1_01432
ko:K00940	kpa:KPNJ1_01433
ko:K06941	kpa:KPNJ1_01434
ko:K15539	kpa:KPNJ1_01436
ko:K01892	kpa:KPNJ1_01438
ko:K17713	kpa:KPNJ1_01440
ko:K03977	kpa:KPNJ1_01441
ko:K03601	kpa:KPNJ1_01444
ko:K00088	kpa:KPNJ1_01445
ko:K01951	kpa:KPNJ1_01446
ko:K07733	kpa:KPNJ1_01451
ko:K09780	kpa:KPNJ1_02264
ko:K03832	kpa:KPNJ1_02265
ko:K16370	kpa:KPNJ1_02268
ko:K07283	kpa:KPNJ1_02269
ko:K01868	kpa:KPNJ1_02272
ko:K02520	kpa:KPNJ1_02273
ko:K02916	kpa:KPNJ1_02274
ko:K02887	kpa:KPNJ1_02275
ko:K01889	kpa:KPNJ1_02276
ko:K01890	kpa:KPNJ1_02277
ko:K04764	kpa:KPNJ1_02278
ko:K00285	kpa:KPNJ1_02280
ko:K06073	kpa:KPNJ1_02283
ko:K12962	kpa:KPNJ1_00284
ko:K12963	kpa:KPNJ1_00285
ko:K09125	kpa:KPNJ1_00289
ko:K04085	kpa:KPNJ1_00290
ko:K01534	kpa:KPNJ1_00291
ko:K08993	kpa:KPNJ1_00294
ko:K08316	kpa:KPNJ1_00295
ko:K03110	kpa:KPNJ1_00296
ko:K09812	kpa:KPNJ1_00297
ko:K09811	kpa:KPNJ1_00298
ko:K03089	kpa:KPNJ1_00300
ko:K00375	kpa:KPNJ1_00301
ko:K00823	kpa:KPNJ1_00302
ko:K01999	kpa:KPNJ1_00305
ko:K01999	kpa:KPNJ1_00309
ko:K01997	kpa:KPNJ1_00310
ko:K02529	kpa:KPNJ1_00996
ko:K05939	kpa:KPNJ1_00998
ko:K08227	kpa:KPNJ1_00999
ko:K03573	kpa:KPNJ1_01003
ko:K08311	kpa:KPNJ1_01005
ko:K08484	kpa:KPNJ1_01006
ko:K13292	kpa:KPNJ1_01007
ko:K07316	kpa:KPNJ1_01963
ko:K01241	kpa:KPNJ1_01968
ko:K16137	kpa:KPNJ1_01973
ko:K03316	kpa:KPNJ1_01974
ko:K13635	kpa:KPNJ1_01977
ko:K09933	kpa:KPNJ1_01982
ko:K06950	kpa:KPNJ1_01986
ko:K07458	kpa:KPNJ1_01988
ko:K09781	kpa:KPNJ1_01990
ko:K07090	kpa:KPNJ1_02801
ko:K03482	kpa:KPNJ1_02802
ko:K02749	kpa:KPNJ1_02803
ko:K02750	kpa:KPNJ1_02803
ko:K01232	kpa:KPNJ1_02804
ko:K07017	kpa:KPNJ1_02810
ko:K01265	kpa:KPNJ1_02814
ko:K07154	kpa:KPNJ1_02821
ko:K07127	kpa:KPNJ1_02823
ko:K16840	kpa:KPNJ1_02824
ko:K16345	kpa:KPNJ1_02825
ko:K16839	kpa:KPNJ1_02826
ko:K02073	kpa:KPNJ1_02836
ko:K02071	kpa:KPNJ1_02837
ko:K02072	kpa:KPNJ1_02838
ko:K00459	kpa:KPNJ1_02839
ko:K00598	kpa:KPNJ1_02845
ko:K01607	kpa:KPNJ1_02846
ko:K11903	kpa:KPNJ1_02848
ko:K00041	kpa:KPNJ1_02854
ko:K08160	kpa:KPNJ1_03700
ko:K11534	kpa:KPNJ1_03702
ko:K07258	kpa:KPNJ1_03703
ko:K14441	kpa:KPNJ1_03710
ko:K02073	kpa:KPNJ1_04509
ko:K06080	kpa:KPNJ1_04510
ko:K01881	kpa:KPNJ1_04512
ko:K06079	kpa:KPNJ1_04514
ko:K15034	kpa:KPNJ1_04515
ko:K04075	kpa:KPNJ1_04519
ko:K08234	kpa:KPNJ1_04520
ko:K01962	kpa:KPNJ1_04522
ko:K02337	kpa:KPNJ1_04523
ko:K03470	kpa:KPNJ1_04524
ko:K00748	kpa:KPNJ1_04525
ko:K00677	kpa:KPNJ1_04526
ko:K02372	kpa:KPNJ1_04527
ko:K02536	kpa:KPNJ1_04528
ko:K06142	kpa:KPNJ1_04529
ko:K07277	kpa:KPNJ1_04530
ko:K11749	kpa:KPNJ1_04531
ko:K00981	kpa:KPNJ1_04532
ko:K00806	kpa:KPNJ1_04533
ko:K00099	kpa:KPNJ1_04534
ko:K02838	kpa:KPNJ1_04535
ko:K09903	kpa:KPNJ1_04536
ko:K02357	kpa:KPNJ1_04537
ko:K02967	kpa:KPNJ1_04538
ko:K01265	kpa:KPNJ1_04539
ko:K00990	kpa:KPNJ1_04540
ko:K00674	kpa:KPNJ1_04541
ko:K02647	kpa:KPNJ1_04543
ko:K01129	kpa:KPNJ1_04545
ko:K01243	kpa:KPNJ1_04546
ko:K06858	kpa:KPNJ1_04547
ko:K15724	kpa:KPNJ1_04549
ko:K03281	kpa:KPNJ1_04550
ko:K01845	kpa:KPNJ1_04551
ko:K02015	kpa:KPNJ1_04552
ko:K02016	kpa:KPNJ1_04553
ko:K02013	kpa:KPNJ1_04554
ko:K02014	kpa:KPNJ1_04555
ko:K05365	kpa:KPNJ1_04556
ko:K16092	kpa:KPNJ1_05339
ko:K00322	kpa:KPNJ1_05344
ko:K04761	kpa:KPNJ1_05345
ko:K01755	kpa:KPNJ1_05347
ko:K00930	kpa:KPNJ1_05348
ko:K00145	kpa:KPNJ1_05349
ko:K01438	kpa:KPNJ1_05350
ko:K01595	kpa:KPNJ1_05351
ko:K08314	kpa:KPNJ1_05354
ko:K00005	kpa:KPNJ1_05355
ko:K00297	kpa:KPNJ1_05357
ko:K01607	kpa:KPNJ1_05359
ko:K12525	kpa:KPNJ1_05362
ko:K01739	kpa:KPNJ1_05363
ko:K03764	kpa:KPNJ1_05364
ko:K02909	kpa:KPNJ1_05365
ko:K04066	kpa:KPNJ1_05366
ko:K05499	kpa:KPNJ1_05368
ko:K03591	kpa:KPNJ1_05369
ko:K01419	kpa:KPNJ1_05370
ko:K03667	kpa:KPNJ1_05371
ko:K02548	kpa:KPNJ1_05372
ko:K02553	kpa:KPNJ1_05373
ko:K00850	kpa:KPNJ1_05374
ko:K13283	kpa:KPNJ1_05375
ko:K06006	kpa:KPNJ1_05376
ko:K07640	kpa:KPNJ1_05378
ko:K04564	kpa:KPNJ1_05380
ko:K02856	kpa:KPNJ1_05381
ko:K02854	kpa:KPNJ1_05382
ko:K02855	kpa:KPNJ1_05383
ko:K00848	kpa:KPNJ1_05384
ko:K01813	kpa:KPNJ1_05385
ko:K01629	kpa:KPNJ1_05386
ko:K10559	kpa:KPNJ1_05387
ko:K10562	kpa:KPNJ1_05388
ko:K10560	kpa:KPNJ1_05389
ko:K10561	kpa:KPNJ1_05390
ko:K02749	kpa:KPNJ1_00020
ko:K02750	kpa:KPNJ1_00020
ko:K01232	kpa:KPNJ1_00021
ko:K00389	kpa:KPNJ1_00022
ko:K06871	kpa:KPNJ1_00024
ko:K01753	kpa:KPNJ1_00025
ko:K13629	kpa:KPNJ1_00026
ko:K13636	kpa:KPNJ1_00027
ko:K08154	kpa:KPNJ1_00028
ko:K01652	kpa:KPNJ1_00034
ko:K01653	kpa:KPNJ1_00035
ko:K07675	kpa:KPNJ1_00037
ko:K07783	kpa:KPNJ1_00038
ko:K07784	kpa:KPNJ1_00039
ko:K07726	kpa:KPNJ1_00041
ko:K05306	kpa:KPNJ1_00044
ko:K03430	kpa:KPNJ1_00045
ko:K03747	kpa:KPNJ1_00454
ko:K07479	kpa:KPNJ1_00455
ko:K07566	kpa:KPNJ1_00456
ko:K00014	kpa:KPNJ1_00457
ko:K18141	kpa:KPNJ1_00464
ko:K18140	kpa:KPNJ1_00465
ko:K03557	kpa:KPNJ1_00487
ko:K05540	kpa:KPNJ1_00488
ko:K02687	kpa:KPNJ1_00490
ko:K14392	kpa:KPNJ1_00491
ko:K01961	kpa:KPNJ1_00493
ko:K02160	kpa:KPNJ1_00494
ko:K03786	kpa:KPNJ1_00495
ko:K17247	kpa:KPNJ1_00496
ko:K03569	kpa:KPNJ1_00500
ko:K03570	kpa:KPNJ1_00501
ko:K03571	kpa:KPNJ1_00502
ko:K06287	kpa:KPNJ1_00503
ko:K08301	kpa:KPNJ1_00504
ko:K03568	kpa:KPNJ1_00506
ko:K03664	kpa:KPNJ1_01336
ko:K09801	kpa:KPNJ1_01338
ko:K06186	kpa:KPNJ1_01339
ko:K03631	kpa:KPNJ1_01340
ko:K00858	kpa:KPNJ1_01341
ko:K03687	kpa:KPNJ1_01342
ko:K03106	kpa:KPNJ1_01345
ko:K02959	kpa:KPNJ1_01347
ko:K02860	kpa:KPNJ1_01348
ko:K00554	kpa:KPNJ1_01349
ko:K02884	kpa:KPNJ1_01350
ko:K01626	kpa:KPNJ1_01358
ko:K14187	kpa:KPNJ1_01359
ko:K14170	kpa:KPNJ1_01361
ko:K05809	kpa:KPNJ1_01362
ko:K03288	kpa:KPNJ1_02152
ko:K06177	kpa:KPNJ1_02156
ko:K09912	kpa:KPNJ1_02157
ko:K11893	kpa:KPNJ1_02160
ko:K11892	kpa:KPNJ1_02161
ko:K11904	kpa:KPNJ1_02166
ko:K11891	kpa:KPNJ1_02192
ko:K11896	kpa:KPNJ1_02193
ko:K11895	kpa:KPNJ1_02194
ko:K11906	kpa:KPNJ1_02195
ko:K11905	kpa:KPNJ1_02196
ko:K11911	kpa:KPNJ1_02197
ko:K17213	kpa:KPNJ1_02198
ko:K06942	kpa:KPNJ1_02200
ko:K01056	kpa:KPNJ1_02201
ko:K03321	kpa:KPNJ1_02205
ko:K00948	kpa:KPNJ1_02206
ko:K00919	kpa:KPNJ1_02207
ko:K02494	kpa:KPNJ1_02208
ko:K02492	kpa:KPNJ1_02209
ko:K02614	kpa:KPNJ1_03020
ko:K00074	kpa:KPNJ1_03021
ko:K15866	kpa:KPNJ1_03022
ko:K01692	kpa:KPNJ1_03023
ko:K02613	kpa:KPNJ1_03024
ko:K02612	kpa:KPNJ1_03025
ko:K02611	kpa:KPNJ1_03026
ko:K02610	kpa:KPNJ1_03027
ko:K02609	kpa:KPNJ1_03028
ko:K02618	kpa:KPNJ1_03029
ko:K00276	kpa:KPNJ1_03031
ko:K00077	kpa:KPNJ1_03033
ko:K14063	kpa:KPNJ1_03036
ko:K09978	kpa:KPNJ1_03037
ko:K03778	kpa:KPNJ1_03042
ko:K03737	kpa:KPNJ1_03045
ko:K14062	kpa:KPNJ1_03046
ko:K14061	kpa:KPNJ1_03049
ko:K14058	kpa:KPNJ1_03050
ko:K05591	kpa:KPNJ1_03051
ko:K16074	kpa:KPNJ1_03053
ko:K11734	kpa:KPNJ1_03058
ko:K00832	kpa:KPNJ1_03062
ko:K02072	kpa:KPNJ1_03063
ko:K02071	kpa:KPNJ1_03064
ko:K02073	kpa:KPNJ1_03065
ko:K08969	kpa:KPNJ1_03066
ko:K01547	kpa:KPNJ1_03868
ko:K01548	kpa:KPNJ1_03869
ko:K07646	kpa:KPNJ1_03870
ko:K07667	kpa:KPNJ1_03871
ko:K01835	kpa:KPNJ1_03873
ko:K03645	kpa:KPNJ1_03874
ko:K03839	kpa:KPNJ1_03877
ko:K03711	kpa:KPNJ1_03878
ko:K02073	kpa:KPNJ1_02284
ko:K00432	kpa:KPNJ1_02285
ko:K06074	kpa:KPNJ1_02286
ko:K08997	kpa:KPNJ1_02289
ko:K01626	kpa:KPNJ1_02291
ko:K09773	kpa:KPNJ1_02292
ko:K00549	kpa:KPNJ1_02305
ko:K02013	kpa:KPNJ1_02307
ko:K02015	kpa:KPNJ1_02308
ko:K02016	kpa:KPNJ1_02309
ko:K00101	kpa:KPNJ1_02315
ko:K05520	kpa:KPNJ1_03172
ko:K06885	kpa:KPNJ1_03173
ko:K04757	kpa:KPNJ1_03177
ko:K06889	kpa:KPNJ1_03180
ko:K01252	kpa:KPNJ1_03969
ko:K02363	kpa:KPNJ1_03970
ko:K02361	kpa:KPNJ1_03971
ko:K02016	kpa:KPNJ1_03973
ko:K08225	kpa:KPNJ1_03974
ko:K02015	kpa:KPNJ1_03976
ko:K02015	kpa:KPNJ1_03977
ko:K02013	kpa:KPNJ1_03978
ko:K02364	kpa:KPNJ1_03979
ko:K07214	kpa:KPNJ1_03981
ko:K02362	kpa:KPNJ1_03983
ko:K00615	kpa:KPNJ1_03984
ko:K00615	kpa:KPNJ1_03985
ko:K00864	kpa:KPNJ1_03987
ko:K17202	kpa:KPNJ1_03988
ko:K17204	kpa:KPNJ1_03990
ko:K17203	kpa:KPNJ1_03991
ko:K03566	kpa:KPNJ1_03995
ko:K16053	kpa:KPNJ1_03996
ko:K02168	kpa:KPNJ1_03998
ko:K02167	kpa:KPNJ1_03999
ko:K02035	kpa:KPNJ1_04003
ko:K02033	kpa:KPNJ1_04004
ko:K02034	kpa:KPNJ1_04005
ko:K15372	kpa:KPNJ1_04009
ko:K15373	kpa:KPNJ1_04010
ko:K02028	kpa:KPNJ1_04011
ko:K02029	kpa:KPNJ1_04012
ko:K02029	kpa:KPNJ1_04013
ko:K02030	kpa:KPNJ1_04014
ko:K00375	kpa:KPNJ1_04015
ko:K06048	kpa:KPNJ1_04018
ko:K05921	kpa:KPNJ1_04823
ko:K05921	kpa:KPNJ1_04824
ko:K00151	kpa:KPNJ1_04825
ko:K00455	kpa:KPNJ1_04826
ko:K01826	kpa:KPNJ1_04827
ko:K02509	kpa:KPNJ1_04828
ko:K02510	kpa:KPNJ1_04829
ko:K02511	kpa:KPNJ1_04830
ko:K02508	kpa:KPNJ1_04831
ko:K00483	kpa:KPNJ1_04832
ko:K00484	kpa:KPNJ1_04833
ko:K00135	kpa:KPNJ1_04840
ko:K00355	kpa:KPNJ1_04858
ko:K02057	kpa:KPNJ1_04859
ko:K02057	kpa:KPNJ1_04860
ko:K02056	kpa:KPNJ1_04861
ko:K02058	kpa:KPNJ1_04862
ko:K01867	kpa:KPNJ1_04863
ko:K01993	kpa:KPNJ1_04864
ko:K13926	kpa:KPNJ1_04865
ko:K07807	kpa:KPNJ1_05686
ko:K02679	kpa:KPNJ1_01009
ko:K02680	kpa:KPNJ1_01010
ko:K02681	kpa:KPNJ1_01012
ko:K03583	kpa:KPNJ1_01013
ko:K01407	kpa:KPNJ1_01014
ko:K03582	kpa:KPNJ1_01015
ko:K03581	kpa:KPNJ1_01016
ko:K14682	kpa:KPNJ1_01018
ko:K01448	kpa:KPNJ1_01019
ko:K04720	kpa:KPNJ1_01020
ko:K16651	kpa:KPNJ1_01021
ko:K04029	kpa:KPNJ1_01023
ko:K04031	kpa:KPNJ1_01024
ko:K13921	kpa:KPNJ1_01027
ko:K13922	kpa:KPNJ1_01028
ko:K13923	kpa:KPNJ1_01032
ko:K13920	kpa:KPNJ1_01037
ko:K13919	kpa:KPNJ1_01038
ko:K02224	kpa:KPNJ1_01046
ko:K02227	kpa:KPNJ1_01047
ko:K07660	kpa:KPNJ1_01840
ko:K04046	kpa:KPNJ1_01842
ko:K01247	kpa:KPNJ1_01844
ko:K00876	kpa:KPNJ1_01845
ko:K01494	kpa:KPNJ1_01846
ko:K07289	kpa:KPNJ1_01847
ko:K00963	kpa:KPNJ1_01849
ko:K01991	kpa:KPNJ1_01854
ko:K01104	kpa:KPNJ1_01855
ko:K16692	kpa:KPNJ1_01856
ko:K12992	kpa:KPNJ1_01858
ko:K12990	kpa:KPNJ1_01859
ko:K00033	kpa:KPNJ1_01862
ko:K00973	kpa:KPNJ1_01865
ko:K00067	kpa:KPNJ1_01866
ko:K01790	kpa:KPNJ1_01867
ko:K00012	kpa:KPNJ1_01868
ko:K08679	kpa:KPNJ1_01869
ko:K08679	kpa:KPNJ1_01879
ko:K01854	kpa:KPNJ1_01883
ko:K01487	kpa:KPNJ1_02693
ko:K03457	kpa:KPNJ1_02694
ko:K16841	kpa:KPNJ1_02696
ko:K16842	kpa:KPNJ1_02697
ko:K07090	kpa:KPNJ1_02698
ko:K01118	kpa:KPNJ1_02704
ko:K01951	kpa:KPNJ1_02706
ko:K09936	kpa:KPNJ1_02713
ko:K09936	kpa:KPNJ1_02714
ko:K09458	kpa:KPNJ1_02715
ko:K03543	kpa:KPNJ1_02717
ko:K00133	kpa:KPNJ1_02719
ko:K02030	kpa:KPNJ1_02727
ko:K02029	kpa:KPNJ1_02728
ko:K02029	kpa:KPNJ1_02729
ko:K02028	kpa:KPNJ1_02730
ko:K02083	kpa:KPNJ1_02732
ko:K02371	kpa:KPNJ1_02733
ko:K08178	kpa:KPNJ1_02738
ko:K15553	kpa:KPNJ1_03553
ko:K04091	kpa:KPNJ1_03554
ko:K15554	kpa:KPNJ1_03555
ko:K15555	kpa:KPNJ1_03556
ko:K01256	kpa:KPNJ1_03557
ko:K00763	kpa:KPNJ1_03559
ko:K06016	kpa:KPNJ1_03561
ko:K03837	kpa:KPNJ1_03562
ko:K01751	kpa:KPNJ1_03563
ko:K01893	kpa:KPNJ1_03565
ko:K09476	kpa:KPNJ1_03567
ko:K00813	kpa:KPNJ1_03568
ko:K03632	kpa:KPNJ1_03572
ko:K03804	kpa:KPNJ1_03573
ko:K03633	kpa:KPNJ1_03574
ko:K06219	kpa:KPNJ1_03575
ko:K00979	kpa:KPNJ1_03578
ko:K09791	kpa:KPNJ1_03579
ko:K09927	kpa:KPNJ1_03580
ko:K00912	kpa:KPNJ1_03581
ko:K11085	kpa:KPNJ1_03582
ko:K02238	kpa:KPNJ1_03583
ko:K05788	kpa:KPNJ1_03584
ko:K02945	kpa:KPNJ1_03585
ko:K00945	kpa:KPNJ1_03586
ko:K00800	kpa:KPNJ1_03587
ko:K00831	kpa:KPNJ1_03588
ko:K09136	kpa:KPNJ1_03590
ko:K06212	kpa:KPNJ1_03591
ko:K00656	kpa:KPNJ1_03592
ko:K04069	kpa:KPNJ1_03593
ko:K08219	kpa:KPNJ1_03594
ko:K07308	kpa:KPNJ1_03595
ko:K07307	kpa:KPNJ1_03596
ko:K07306	kpa:KPNJ1_03597
ko:K01875	kpa:KPNJ1_03598
ko:K07478	kpa:KPNJ1_03599
ko:K03634	kpa:KPNJ1_03600
ko:K03466	kpa:KPNJ1_03601
ko:K03719	kpa:KPNJ1_03602
ko:K00384	kpa:KPNJ1_03603
ko:K16013	kpa:KPNJ1_03604
ko:K02030	kpa:KPNJ1_04406
ko:K02028	kpa:KPNJ1_04407
ko:K02029	kpa:KPNJ1_04408
ko:K02029	kpa:KPNJ1_04409
ko:K02041	kpa:KPNJ1_04418
ko:K02044	kpa:KPNJ1_04419
ko:K02042	kpa:KPNJ1_04420
ko:K02042	kpa:KPNJ1_04421
ko:K11929	kpa:KPNJ1_04430
ko:K00931	kpa:KPNJ1_04432
ko:K00147	kpa:KPNJ1_04433
ko:K07733	kpa:KPNJ1_04441
ko:K03556	kpa:KPNJ1_04448
ko:K00627	kpa:KPNJ1_04451
ko:K00382	kpa:KPNJ1_04452
ko:K02443	kpa:KPNJ1_04455
ko:K00880	kpa:KPNJ1_04456
ko:K00059	kpa:KPNJ1_04457
ko:K00058	kpa:KPNJ1_04458
ko:K00867	kpa:KPNJ1_05242
ko:K03524	kpa:KPNJ1_05243
ko:K00075	kpa:KPNJ1_05244
ko:K00230	kpa:KPNJ1_05250
ko:K03498	kpa:KPNJ1_05251
ko:K01825	kpa:KPNJ1_05254
ko:K05368	kpa:KPNJ1_05256
ko:K03182	kpa:KPNJ1_05257
ko:K03424	kpa:KPNJ1_05260
ko:K03118	kpa:KPNJ1_05261
ko:K03117	kpa:KPNJ1_05262
ko:K03116	kpa:KPNJ1_05263
ko:K03688	kpa:KPNJ1_05264
ko:K03690	kpa:KPNJ1_05265
ko:K03183	kpa:KPNJ1_05266
ko:K09760	kpa:KPNJ1_05267
ko:K00757	kpa:KPNJ1_05268
