ko:K16235	bbre:B12L_0982
ko:K00919	bbre:B12L_1849
ko:K00970	bbre:B12L_1851
ko:K03980	bbre:B12L_1854
ko:K00384	bbre:B12L_1855
ko:K03501	bbre:B12L_1858
ko:K06346	bbre:B12L_1859
ko:K03217	bbre:B12L_1860
ko:K03536	bbre:B12L_1861
ko:K02914	bbre:B12L_1862
ko:K00057	bbre:B12L_0273
ko:K01921	bbre:B12L_0274
ko:K02055	bbre:B12L_0275
ko:K02054	bbre:B12L_0276
ko:K02053	bbre:B12L_0277
ko:K02052	bbre:B12L_0278
ko:K01744	bbre:B12L_0281
ko:K07090	bbre:B12L_0284
ko:K06871	bbre:B12L_0285
ko:K02027	bbre:B12L_0288
ko:K02025	bbre:B12L_0289
ko:K02026	bbre:B12L_0290
ko:K07133	bbre:B12L_0291
ko:K00567	bbre:B12L_0295
ko:K00997	bbre:B12L_0296
ko:K05341	bbre:B12L_0297
ko:K02956	bbre:B12L_0305
ko:K00962	bbre:B12L_0306
ko:K02003	bbre:B12L_0307
ko:K03744	bbre:B12L_0309
ko:K02860	bbre:B12L_0317
ko:K06960	bbre:B12L_0318
ko:K02959	bbre:B12L_0319
ko:K03106	bbre:B12L_0321
ko:K01883	bbre:B12L_0323
ko:K00949	bbre:B12L_1177
ko:K00134	bbre:B12L_1178
ko:K03527	bbre:B12L_1180
ko:K03088	bbre:B12L_1184
ko:K01928	bbre:B12L_1185
ko:K03529	bbre:B12L_1189
ko:K11754	bbre:B12L_1190
ko:K01262	bbre:B12L_1191
ko:K01443	bbre:B12L_1193
ko:K02564	bbre:B12L_1194
ko:K00847	bbre:B12L_1198
ko:K07560	bbre:B12L_1200
ko:K03589	bbre:B12L_1201
ko:K01924	bbre:B12L_1202
ko:K02563	bbre:B12L_1203
ko:K03588	bbre:B12L_1204
ko:K01925	bbre:B12L_1205
ko:K01000	bbre:B12L_1206
ko:K01929	bbre:B12L_1207
ko:K03587	bbre:B12L_1209
ko:K03438	bbre:B12L_1211
ko:K03925	bbre:B12L_1212
ko:K00058	bbre:B12L_1214
ko:K07738	bbre:B12L_1215
ko:K01356	bbre:B12L_1217
ko:K16264	bbre:B12L_1218
ko:K00016	bbre:B12L_1219
ko:K03665	bbre:B12L_1220
ko:K03578	bbre:B12L_1222
ko:K01915	bbre:B12L_1224
ko:K01814	bbre:B12L_1226
ko:K01817	bbre:B12L_1226
ko:K02501	bbre:B12L_1227
ko:K01693	bbre:B12L_1229
ko:K06871	bbre:B12L_0785
ko:K07090	bbre:B12L_0786
ko:K07090	bbre:B12L_0788
ko:K03306	bbre:B12L_0797
ko:K07220	bbre:B12L_0798
ko:K03655	bbre:B12L_0805
ko:K05995	bbre:B12L_0807
ko:K08281	bbre:B12L_0808
ko:K07727	bbre:B12L_0811
ko:K03816	bbre:B12L_0814
ko:K03657	bbre:B12L_0815
ko:K02004	bbre:B12L_0817
ko:K02003	bbre:B12L_0818
ko:K02986	bbre:B12L_0819
ko:K07010	bbre:B12L_0820
ko:K01489	bbre:B12L_0821
ko:K01872	bbre:B12L_0829
ko:K07447	bbre:B12L_0830
ko:K07082	bbre:B12L_0831
ko:K02654	bbre:B12L_0832
ko:K01736	bbre:B12L_0833
ko:K13829	bbre:B12L_0834
ko:K03786	bbre:B12L_0835
ko:K01937	bbre:B12L_0836
ko:K09014	bbre:B12L_0838
ko:K11263	bbre:B12L_1651
ko:K03523	bbre:B12L_1652
ko:K03524	bbre:B12L_1653
ko:K02863	bbre:B12L_1656
ko:K02867	bbre:B12L_1657
ko:K02601	bbre:B12L_1659
ko:K03073	bbre:B12L_1660
ko:K00931	bbre:B12L_1663
ko:K03979	bbre:B12L_1664
ko:K02899	bbre:B12L_1665
ko:K02888	bbre:B12L_1666
ko:K01439	bbre:B12L_1668
ko:K07088	bbre:B12L_1669
ko:K02429	bbre:B12L_1672
ko:K18333	bbre:B12L_1673
ko:K18334	bbre:B12L_1674
ko:K02003	bbre:B12L_1677
ko:K06287	bbre:B12L_1680
ko:K00872	bbre:B12L_1681
ko:K00003	bbre:B12L_1682
ko:K02803	bbre:B12L_1683
ko:K02804	bbre:B12L_1683
ko:K01586	bbre:B12L_1685
ko:K01887	bbre:B12L_1686
ko:K00790	bbre:B12L_1689
ko:K16957	bbre:B12L_1691
ko:K16958	bbre:B12L_1692
ko:K16959	bbre:B12L_1693
ko:K01704	bbre:B12L_1699
ko:K01703	bbre:B12L_1700
ko:K00937	bbre:B12L_1703
ko:K00128	bbre:B12L_0497
ko:K01945	bbre:B12L_0498
ko:K01933	bbre:B12L_0499
ko:K00764	bbre:B12L_0500
ko:K01952	bbre:B12L_0507
ko:K01923	bbre:B12L_0508
ko:K08289	bbre:B12L_0509
ko:K08969	bbre:B12L_0510
ko:K01620	bbre:B12L_0512
ko:K03453	bbre:B12L_0514
ko:K02950	bbre:B12L_0515
ko:K02992	bbre:B12L_0516
ko:K02355	bbre:B12L_0517
ko:K02358	bbre:B12L_0518
ko:K06199	bbre:B12L_0524
ko:K06199	bbre:B12L_0525
ko:K07133	bbre:B12L_0528
ko:K07220	bbre:B12L_0529
ko:K03701	bbre:B12L_0530
ko:K07457	bbre:B12L_0532
ko:K01183	bbre:B12L_0540
ko:K02069	bbre:B12L_0544
ko:K02068	bbre:B12L_0545
ko:K02356	bbre:B12L_0546
ko:K03625	bbre:B12L_0547
ko:K01956	bbre:B12L_0548
ko:K01955	bbre:B12L_0549
ko:K01591	bbre:B12L_0550
ko:K00942	bbre:B12L_0551
ko:K02342	bbre:B12L_0552
ko:K01647	bbre:B12L_1387
ko:K01265	bbre:B12L_1388
ko:K07386	bbre:B12L_1390
ko:K01881	bbre:B12L_1392
ko:K13288	bbre:B12L_1395
ko:K00088	bbre:B12L_1396
ko:K02851	bbre:B12L_1397
ko:K01996	bbre:B12L_1399
ko:K01995	bbre:B12L_1400
ko:K01998	bbre:B12L_1401
ko:K01997	bbre:B12L_1402
ko:K01999	bbre:B12L_1403
ko:K02493	bbre:B12L_1404
ko:K02835	bbre:B12L_1405
ko:K02909	bbre:B12L_1406
ko:K01462	bbre:B12L_1409
ko:K00845	bbre:B12L_1412
ko:K10805	bbre:B12L_1415
ko:K13940	bbre:B12L_1417
ko:K00796	bbre:B12L_1418
ko:K01495	bbre:B12L_1419
ko:K03798	bbre:B12L_1420
ko:K00760	bbre:B12L_1421
ko:K04075	bbre:B12L_1422
ko:K07259	bbre:B12L_1423
ko:K01992	bbre:B12L_1424
ko:K01990	bbre:B12L_1425
ko:K00048	bbre:B12L_1429
ko:K00574	bbre:B12L_1430
ko:K03439	bbre:B12L_1431
ko:K07284	bbre:B12L_0106
ko:K00705	bbre:B12L_0107
ko:K05343	bbre:B12L_0108
ko:K15770	bbre:B12L_0109
ko:K15771	bbre:B12L_0110
ko:K15772	bbre:B12L_0111
ko:K04043	bbre:B12L_0115
ko:K03687	bbre:B12L_0116
ko:K03686	bbre:B12L_0117
ko:K13640	bbre:B12L_0118
ko:K00059	bbre:B12L_0121
ko:K03975	bbre:B12L_0123
ko:K02283	bbre:B12L_0125
ko:K12510	bbre:B12L_0126
ko:K02343	bbre:B12L_0133
ko:K06187	bbre:B12L_0134
ko:K07284	bbre:B12L_0135
ko:K03655	bbre:B12L_0138
ko:K00928	bbre:B12L_0139
ko:K00928	bbre:B12L_0140
ko:K00133	bbre:B12L_0141
ko:K00845	bbre:B12L_0144
ko:K01788	bbre:B12L_0145
ko:K02035	bbre:B12L_0147
ko:K02033	bbre:B12L_0148
ko:K02031	bbre:B12L_0149
ko:K02034	bbre:B12L_0149
ko:K01714	bbre:B12L_0151
ko:K02564	bbre:B12L_0152
ko:K01186	bbre:B12L_0154
ko:K07133	bbre:B12L_0155
ko:K01649	bbre:B12L_0159
ko:K03168	bbre:B12L_0162
ko:K01409	bbre:B12L_1020
ko:K03789	bbre:B12L_1021
ko:K06925	bbre:B12L_1023
ko:K02340	bbre:B12L_1024
ko:K02237	bbre:B12L_1026
ko:K01869	bbre:B12L_1027
ko:K03284	bbre:B12L_1029
ko:K01834	bbre:B12L_1030
ko:K07006	bbre:B12L_1032
ko:K09704	bbre:B12L_1036
ko:K02026	bbre:B12L_1042
ko:K02025	bbre:B12L_1043
ko:K02027	bbre:B12L_1044
ko:K01191	bbre:B12L_1045
ko:K01191	bbre:B12L_1046
ko:K04095	bbre:B12L_1053
ko:K01653	bbre:B12L_0328
ko:K01652	bbre:B12L_0329
ko:K03685	bbre:B12L_0330
ko:K02911	bbre:B12L_0331
ko:K07040	bbre:B12L_0332
ko:K00954	bbre:B12L_0334
ko:K00763	bbre:B12L_0339
ko:K00989	bbre:B12L_0340
ko:K02428	bbre:B12L_0341
ko:K01810	bbre:B12L_0343
ko:K02049	bbre:B12L_0344
ko:K02050	bbre:B12L_0345
ko:K02884	bbre:B12L_0346
ko:K03100	bbre:B12L_0347
ko:K03470	bbre:B12L_0348
ko:K01897	bbre:B12L_0351
ko:K02027	bbre:B12L_0356
ko:K02025	bbre:B12L_0357
ko:K12308	bbre:B12L_0358
ko:K01224	bbre:B12L_0360
ko:K03322	bbre:B12L_0363
ko:K01104	bbre:B12L_0367
ko:K02551	bbre:B12L_0377
ko:K00817	bbre:B12L_1230
ko:K00013	bbre:B12L_1231
ko:K01512	bbre:B12L_1232
ko:K18333	bbre:B12L_1237
ko:K18334	bbre:B12L_1238
ko:K10254	bbre:B12L_1240
ko:K02337	bbre:B12L_1243
ko:K06180	bbre:B12L_1245
ko:K03101	bbre:B12L_1246
ko:K02221	bbre:B12L_1248
ko:K09772	bbre:B12L_1249
ko:K03531	bbre:B12L_1250
ko:K01880	bbre:B12L_1252
ko:K00878	bbre:B12L_1253
ko:K03147	bbre:B12L_1254
ko:K13525	bbre:B12L_1255
ko:K00941	bbre:B12L_1256
ko:K08369	bbre:B12L_1258
ko:K02529	bbre:B12L_1263
ko:K02532	bbre:B12L_1264
ko:K01193	bbre:B12L_1265
ko:K00886	bbre:B12L_1266
ko:K07574	bbre:B12L_1271
ko:K08972	bbre:B12L_1272
ko:K07478	bbre:B12L_1278
ko:K06999	bbre:B12L_0555
ko:K01760	bbre:B12L_0556
ko:K07133	bbre:B12L_0558
ko:K01776	bbre:B12L_0563
ko:K01778	bbre:B12L_0564
ko:K07053	bbre:B12L_0566
ko:K03657	bbre:B12L_0569
ko:K07177	bbre:B12L_0571
ko:K00099	bbre:B12L_0574
ko:K03584	bbre:B12L_0577
ko:K00806	bbre:B12L_0578
ko:K16784	bbre:B12L_0582
ko:K01972	bbre:B12L_0586
ko:K03593	bbre:B12L_0587
ko:K01915	bbre:B12L_0588
ko:K00382	bbre:B12L_0590
ko:K16925	bbre:B12L_0593
ko:K16786	bbre:B12L_0594
ko:K16787	bbre:B12L_0594
ko:K16785	bbre:B12L_0595
ko:K03437	bbre:B12L_0596
ko:K01889	bbre:B12L_0597
ko:K01890	bbre:B12L_0598
ko:K00145	bbre:B12L_0600
ko:K00620	bbre:B12L_0601
ko:K00930	bbre:B12L_0602
ko:K00611	bbre:B12L_0604
ko:K03402	bbre:B12L_0605
ko:K01940	bbre:B12L_0606
ko:K01755	bbre:B12L_0611
ko:K03154	bbre:B12L_0612
ko:K01079	bbre:B12L_1441
ko:K01442	bbre:B12L_1444
ko:K04096	bbre:B12L_1458
ko:K03657	bbre:B12L_1460
ko:K07459	bbre:B12L_1461
ko:K16209	bbre:B12L_1478
ko:K01190	bbre:B12L_1479
ko:K02529	bbre:B12L_1480
ko:K02027	bbre:B12L_1482
ko:K02004	bbre:B12L_1486
ko:K02004	bbre:B12L_1487
ko:K02003	bbre:B12L_1488
ko:K01104	bbre:B12L_1490
ko:K09015	bbre:B12L_0839
ko:K09013	bbre:B12L_0840
ko:K11717	bbre:B12L_0841
ko:K04488	bbre:B12L_0842
ko:K00975	bbre:B12L_0844
ko:K09761	bbre:B12L_0846
ko:K02503	bbre:B12L_0847
ko:K07042	bbre:B12L_0849
ko:K01897	bbre:B12L_0852
ko:K00324	bbre:B12L_0853
ko:K00324	bbre:B12L_0854
ko:K00325	bbre:B12L_0855
ko:K08177	bbre:B12L_0856
ko:K02897	bbre:B12L_0857
ko:K00826	bbre:B12L_0858
ko:K02428	bbre:B12L_0859
ko:K02968	bbre:B12L_0861
ko:K03596	bbre:B12L_0862
ko:K00265	bbre:B12L_0867
ko:K00266	bbre:B12L_0868
ko:K15580	bbre:B12L_0869
ko:K16148	bbre:B12L_0872
ko:K02013	bbre:B12L_0873
ko:K03564	bbre:B12L_0875
ko:K03707	bbre:B12L_0881
ko:K06999	bbre:B12L_0884
ko:K07442	bbre:B12L_0885
ko:K08296	bbre:B12L_0886
ko:K00549	bbre:B12L_0888
ko:K00297	bbre:B12L_0889
ko:K01442	bbre:B12L_0890
ko:K00982	bbre:B12L_0891
ko:K00609	bbre:B12L_0892
ko:K00610	bbre:B12L_0893
ko:K01465	bbre:B12L_0894
ko:K01591	bbre:B12L_0895
ko:K02823	bbre:B12L_0896
ko:K02026	bbre:B12L_1707
ko:K00761	bbre:B12L_1708
ko:K00783	bbre:B12L_1709
ko:K01885	bbre:B12L_1711
ko:K03695	bbre:B12L_1713
ko:K01854	bbre:B12L_1718
ko:K08094	bbre:B12L_1723
ko:K02057	bbre:B12L_1724
ko:K02057	bbre:B12L_1725
ko:K02056	bbre:B12L_1726
ko:K02058	bbre:B12L_1727
ko:K00854	bbre:B12L_1728
ko:K01990	bbre:B12L_1735
ko:K01992	bbre:B12L_1736
ko:K00973	bbre:B12L_1737
ko:K06950	bbre:B12L_1748
ko:K03549	bbre:B12L_1750
ko:K03424	bbre:B12L_1751
ko:K06147	bbre:B12L_1752
ko:K06147	bbre:B12L_1753
ko:K07133	bbre:B12L_1754
ko:K07133	bbre:B12L_1757
ko:K00943	bbre:B12L_0163
ko:K02341	bbre:B12L_0164
ko:K02529	bbre:B12L_0165
ko:K11189	bbre:B12L_0166
ko:K08483	bbre:B12L_0168
ko:K06910	bbre:B12L_0169
ko:K08659	bbre:B12L_0170
ko:K01938	bbre:B12L_0171
ko:K01885	bbre:B12L_0180
ko:K07243	bbre:B12L_0183
ko:K07230	bbre:B12L_0184
ko:K02004	bbre:B12L_0186
ko:K02004	bbre:B12L_0187
ko:K02003	bbre:B12L_0188
ko:K01421	bbre:B12L_0191
ko:K01421	bbre:B12L_0192
ko:K00033	bbre:B12L_0194
ko:K01057	bbre:B12L_0195
ko:K00036	bbre:B12L_0197
ko:K17836	bbre:B12L_0198
ko:K08659	bbre:B12L_0199
ko:K03110	bbre:B12L_0202
ko:K03320	bbre:B12L_0203
ko:K04751	bbre:B12L_0204
ko:K00990	bbre:B12L_0205
ko:K07009	bbre:B12L_0209
ko:K03688	bbre:B12L_0211
ko:K06997	bbre:B12L_0214
ko:K00948	bbre:B12L_0215
ko:K02990	bbre:B12L_0216
ko:K03767	bbre:B12L_1097
ko:K00951	bbre:B12L_1098
ko:K02469	bbre:B12L_1103
ko:K02027	bbre:B12L_1105
ko:K03724	bbre:B12L_1109
ko:K00852	bbre:B12L_1110
ko:K02470	bbre:B12L_1112
ko:K03086	bbre:B12L_1113
ko:K13787	bbre:B12L_1115
ko:K00655	bbre:B12L_1117
ko:K00766	bbre:B12L_1119
ko:K03070	bbre:B12L_1120
ko:K03565	bbre:B12L_1122
ko:K03671	bbre:B12L_0396
ko:K03426	bbre:B12L_0399
ko:K02437	bbre:B12L_0400
ko:K01354	bbre:B12L_0402
ko:K00052	bbre:B12L_0403
ko:K03800	bbre:B12L_0404
ko:K00226	bbre:B12L_0408
ko:K00965	bbre:B12L_0410
ko:K00849	bbre:B12L_0411
ko:K07166	bbre:B12L_0412
ko:K09157	bbre:B12L_0413
ko:K03216	bbre:B12L_0414
ko:K03575	bbre:B12L_0415
ko:K03043	bbre:B12L_0417
ko:K03046	bbre:B12L_0418
ko:K03657	bbre:B12L_0424
ko:K00215	bbre:B12L_0426
ko:K01714	bbre:B12L_0427
ko:K12574	bbre:B12L_0428
ko:K01256	bbre:B12L_0429
ko:K03431	bbre:B12L_0430
ko:K01462	bbre:B12L_0431
ko:K02836	bbre:B12L_0433
ko:K09812	bbre:B12L_0434
ko:K09811	bbre:B12L_0435
ko:K03664	bbre:B12L_0437
ko:K02030	bbre:B12L_0438
ko:K02030	bbre:B12L_0439
ko:K02029	bbre:B12L_0440
ko:K06895	bbre:B12L_1282
ko:K10007	bbre:B12L_1284
ko:K10006	bbre:B12L_1285
ko:K10005	bbre:B12L_1286
ko:K10008	bbre:B12L_1287
ko:K01876	bbre:B12L_1289
ko:K01892	bbre:B12L_1290
ko:K01470	bbre:B12L_1293
ko:K03762	bbre:B12L_1294
ko:K01485	bbre:B12L_1297
ko:K03696	bbre:B12L_1298
ko:K03704	bbre:B12L_1301
ko:K02484	bbre:B12L_1302
ko:K04077	bbre:B12L_1306
ko:K03704	bbre:B12L_1307
ko:K03648	bbre:B12L_1309
ko:K03924	bbre:B12L_1310
ko:K07114	bbre:B12L_1314
ko:K01756	bbre:B12L_1318
ko:K03530	bbre:B12L_1320
ko:K13571	bbre:B12L_1321
ko:K13570	bbre:B12L_1322
ko:K01092	bbre:B12L_1323
ko:K17195	bbre:B12L_1325
ko:K02770	bbre:B12L_1326
ko:K02769	bbre:B12L_1327
ko:K02768	bbre:B12L_1328
ko:K13527	bbre:B12L_1332
ko:K01079	bbre:B12L_1334
ko:K04066	bbre:B12L_1335
ko:K03149	bbre:B12L_0613
ko:K06950	bbre:B12L_0616
ko:K01866	bbre:B12L_0619
ko:K06442	bbre:B12L_0623
ko:K00858	bbre:B12L_0628
ko:K03631	bbre:B12L_0629
ko:K07979	bbre:B12L_0633
ko:K01990	bbre:B12L_0634
ko:K01733	bbre:B12L_0638
ko:K00147	bbre:B12L_0639
ko:K00969	bbre:B12L_0641
ko:K01207	bbre:B12L_0642
ko:K09118	bbre:B12L_0643
ko:K03823	bbre:B12L_0644
ko:K01056	bbre:B12L_0645
ko:K03723	bbre:B12L_0646
ko:K01689	bbre:B12L_0648
ko:K09009	bbre:B12L_0650
ko:K01524	bbre:B12L_0651
ko:K01752	bbre:B12L_0653
ko:K03624	bbre:B12L_0655
ko:K11068	bbre:B12L_0656
ko:K03466	bbre:B12L_0659
ko:K00700	bbre:B12L_0669
ko:K07736	bbre:B12L_0670
ko:K01770	bbre:B12L_0671
ko:K00831	bbre:B12L_1498
ko:K02039	bbre:B12L_1501
ko:K01834	bbre:B12L_1502
ko:K02548	bbre:B12L_1503
ko:K04567	bbre:B12L_1504
ko:K01784	bbre:B12L_1513
ko:K15533	bbre:B12L_1515
ko:K02026	bbre:B12L_1516
ko:K02025	bbre:B12L_1517
ko:K02027	bbre:B12L_1518
ko:K01875	bbre:B12L_1519
ko:K03488	bbre:B12L_1521
ko:K02755	bbre:B12L_1522
ko:K02756	bbre:B12L_1522
ko:K02757	bbre:B12L_1522
ko:K01835	bbre:B12L_1523
ko:K03469	bbre:B12L_1527
ko:K01807	bbre:B12L_1528
ko:K04485	bbre:B12L_1531
ko:K11753	bbre:B12L_1532
ko:K03177	bbre:B12L_1533
ko:K02834	bbre:B12L_1534
ko:K02519	bbre:B12L_1535
ko:K02600	bbre:B12L_1536
ko:K06173	bbre:B12L_1541
ko:K02879	bbre:B12L_1542
ko:K03040	bbre:B12L_1543
ko:K02948	bbre:B12L_1544
ko:K02952	bbre:B12L_1545
ko:K02919	bbre:B12L_1546
ko:K02518	bbre:B12L_1547
ko:K02313	bbre:B12L_0001
ko:K02338	bbre:B12L_0002
ko:K03629	bbre:B12L_0003
ko:K02470	bbre:B12L_0005
ko:K02469	bbre:B12L_0006
ko:K02529	bbre:B12L_0008
ko:K01190	bbre:B12L_0010
ko:K00262	bbre:B12L_0012
ko:K03466	bbre:B12L_0017
ko:K07043	bbre:B12L_0023
ko:K07133	bbre:B12L_0024
ko:K04047	bbre:B12L_0025
ko:K03699	bbre:B12L_0026
ko:K01673	bbre:B12L_0028
ko:K03386	bbre:B12L_0029
ko:K00384	bbre:B12L_0030
ko:K01784	bbre:B12L_0031
ko:K06330	bbre:B12L_0036
ko:K07133	bbre:B12L_0040
ko:K03655	bbre:B12L_0041
ko:K01595	bbre:B12L_0042
ko:K11928	bbre:B12L_0044
ko:K17828	bbre:B12L_0897
ko:K00762	bbre:B12L_0898
ko:K16926	bbre:B12L_0907
ko:K11358	bbre:B12L_0908
ko:K03701	bbre:B12L_0909
ko:K03703	bbre:B12L_0910
ko:K00014	bbre:B12L_0911
ko:K06958	bbre:B12L_0912
ko:K09762	bbre:B12L_0913
ko:K00927	bbre:B12L_0914
ko:K01803	bbre:B12L_0915
ko:K03075	bbre:B12L_0916
ko:K00016	bbre:B12L_0917
ko:K14260	bbre:B12L_0919
ko:K03311	bbre:B12L_0921
ko:K00616	bbre:B12L_0922
ko:K00615	bbre:B12L_0923
ko:K03705	bbre:B12L_0924
ko:K03686	bbre:B12L_0925
ko:K06153	bbre:B12L_0927
ko:K01868	bbre:B12L_0929
ko:K01159	bbre:B12L_0932
ko:K03550	bbre:B12L_0933
ko:K03551	bbre:B12L_0934
ko:K03210	bbre:B12L_0935
ko:K00759	bbre:B12L_0936
ko:K01903	bbre:B12L_0937
ko:K01902	bbre:B12L_0938
ko:K00602	bbre:B12L_0940
ko:K06188	bbre:B12L_0942
ko:K06178	bbre:B12L_0943
ko:K03977	bbre:B12L_0944
ko:K00963	bbre:B12L_0946
ko:K03727	bbre:B12L_0949
ko:K02035	bbre:B12L_1761
ko:K02031	bbre:B12L_1762
ko:K02032	bbre:B12L_1762
ko:K02034	bbre:B12L_1763
ko:K02033	bbre:B12L_1764
ko:K01372	bbre:B12L_1765
ko:K01874	bbre:B12L_1767
ko:K07056	bbre:B12L_1769
ko:K03734	bbre:B12L_1771
ko:K06147	bbre:B12L_1772
ko:K02004	bbre:B12L_1776
ko:K02003	bbre:B12L_1777
ko:K10119	bbre:B12L_1780
ko:K10118	bbre:B12L_1781
ko:K10117	bbre:B12L_1783
ko:K01421	bbre:B12L_1787
ko:K01421	bbre:B12L_1788
ko:K12410	bbre:B12L_1791
ko:K01754	bbre:B12L_1792
ko:K01182	bbre:B12L_1793
ko:K01187	bbre:B12L_1795
ko:K10119	bbre:B12L_1796
ko:K10118	bbre:B12L_1797
ko:K10117	bbre:B12L_1798
ko:K10117	bbre:B12L_1800
ko:K10119	bbre:B12L_1803
ko:K10118	bbre:B12L_1804
ko:K10117	bbre:B12L_1805
ko:K07407	bbre:B12L_1807
ko:K11991	bbre:B12L_1808
ko:K03316	bbre:B12L_1809
ko:K07090	bbre:B12L_1810
ko:K02963	bbre:B12L_0218
ko:K02939	bbre:B12L_0219
ko:K02440	bbre:B12L_0220
ko:K17686	bbre:B12L_0221
ko:K09760	bbre:B12L_0223
ko:K01990	bbre:B12L_0226
ko:K02435	bbre:B12L_0229
ko:K02433	bbre:B12L_0230
ko:K02434	bbre:B12L_0231
ko:K03628	bbre:B12L_0235
ko:K10188	bbre:B12L_0240
ko:K10189	bbre:B12L_0241
ko:K10190	bbre:B12L_0242
ko:K07407	bbre:B12L_0243
ko:K04092	bbre:B12L_0244
