ko:K02409	ctl:CTLon_0088
ko:K03856	ctl:CTLon_0634
ko:K06966	ctl:CTLon_0640
ko:K09131	ctl:CTLon_0641
ko:K01881	ctl:CTLon_0646
ko:K03705	ctl:CTLon_0647
ko:K03687	ctl:CTLon_0648
ko:K04043	ctl:CTLon_0649
ko:K07164	ctl:CTLon_0651
ko:K06041	ctl:CTLon_0652
ko:K00658	ctl:CTLon_0653
ko:K00912	ctl:CTLon_0655
ko:K03437	ctl:CTLon_0656
ko:K06969	ctl:CTLon_0657
ko:K00793	ctl:CTLon_0658
ko:K07738	ctl:CTLon_0659
ko:K06204	ctl:CTLon_0660
ko:K03101	ctl:CTLon_0661
ko:K03310	ctl:CTLon_0662
ko:K00700	ctl:CTLon_0241
ko:K09779	ctl:CTLon_0251
ko:K02435	ctl:CTLon_0252
ko:K02433	ctl:CTLon_0253
ko:K02434	ctl:CTLon_0254
ko:K03471	ctl:CTLon_0258
ko:K02517	ctl:CTLon_0260
ko:K00426	ctl:CTLon_0264
ko:K07175	ctl:CTLon_0265
ko:K01870	ctl:CTLon_0269
ko:K03100	ctl:CTLon_0270
ko:K02909	ctl:CTLon_0272
ko:K02835	ctl:CTLon_0273
ko:K02493	ctl:CTLon_0274
ko:K03106	ctl:CTLon_0275
ko:K02959	ctl:CTLon_0276
ko:K00554	ctl:CTLon_0277
ko:K02884	ctl:CTLon_0278
ko:K03470	ctl:CTLon_0279
ko:K00942	ctl:CTLon_0280
ko:K00525	ctl:CTLon_0199
ko:K00648	ctl:CTLon_0487
ko:K03641	ctl:CTLon_0856
ko:K00820	ctl:CTLon_0188
ko:K01845	ctl:CTLon_0457
ko:K02160	ctl:CTLon_0374
ko:K01972	ctl:CTLon_0397
ko:K02986	ctl:CTLon_0884
ko:K02945	ctl:CTLon_0349
ko:K07447	ctl:CTLon_0431
ko:K00526	ctl:CTLon_0200
ko:K07083	ctl:CTLon_0510
ko:K02470	ctl:CTLon_0437
ko:K02338	ctl:CTLon_0326
ko:K00970	ctl:CTLon_0663
ko:K01963	ctl:CTLon_0541
ko:K02902	ctl:CTLon_0337
ko:K06942	ctl:CTLon_0343
ko:K03177	ctl:CTLon_0345
ko:K02834	ctl:CTLon_0346
ko:K02519	ctl:CTLon_0347
ko:K00384	ctl:CTLon_0350
ko:K00997	ctl:CTLon_0351
ko:K02342	ctl:CTLon_0509
ko:K01928	ctl:CTLon_0517
ko:K03438	ctl:CTLon_0520
ko:K06142	ctl:CTLon_0490
ko:K02536	ctl:CTLon_0491
ko:K00627	ctl:CTLon_0495
ko:K00688	ctl:CTLon_0496
ko:K03217	ctl:CTLon_0499
ko:K03070	ctl:CTLon_0070
ko:K01770	ctl:CTLon_0689
ko:K00380	ctl:CTLon_0690
ko:K02946	ctl:CTLon_0691
ko:K02355	ctl:CTLon_0692
ko:K02992	ctl:CTLon_0693
ko:K02950	ctl:CTLon_0694
ko:K03797	ctl:CTLon_0696
ko:K01885	ctl:CTLon_0701
ko:K07462	ctl:CTLon_0703
ko:K00806	ctl:CTLon_0706
ko:K00981	ctl:CTLon_0707
ko:K00945	ctl:CTLon_0708
ko:K00655	ctl:CTLon_0709
ko:K01887	ctl:CTLon_0710
ko:K00790	ctl:CTLon_0711
ko:K02836	ctl:CTLon_0715
ko:K00991	ctl:CTLon_0718
ko:K06173	ctl:CTLon_0719
ko:K04077	ctl:CTLon_0361
ko:K04078	ctl:CTLon_0362
ko:K08602	ctl:CTLon_0363
ko:K03695	ctl:CTLon_0364
ko:K01783	ctl:CTLon_0372
ko:K02356	ctl:CTLon_0373
ko:K02871	ctl:CTLon_0376
ko:K02996	ctl:CTLon_0377
ko:K00939	ctl:CTLon_0379
ko:K07058	ctl:CTLon_0383
ko:K06999	ctl:CTLon_0387
ko:K07566	ctl:CTLon_0388
ko:K02035	ctl:CTLon_0390
ko:K09125	ctl:CTLon_0391
ko:K07039	ctl:CTLon_0392
ko:K00099	ctl:CTLon_0322
ko:K03664	ctl:CTLon_0327
ko:K03734	ctl:CTLon_0328
ko:K06178	ctl:CTLon_0092
ko:K05837	ctl:CTLon_0095
ko:K01875	ctl:CTLon_0098
ko:K00794	ctl:CTLon_0101
ko:K03310	ctl:CTLon_0104
ko:K06910	ctl:CTLon_0105
ko:K00351	ctl:CTLon_0109
ko:K03210	ctl:CTLon_0110
ko:K00231	ctl:CTLon_0114
ko:K01599	ctl:CTLon_0116
ko:K02078	ctl:CTLon_0484
ko:K00645	ctl:CTLon_0486
ko:K06187	ctl:CTLon_0488
ko:K07277	ctl:CTLon_0489
ko:K02492	ctl:CTLon_0031
ko:K03219	ctl:CTLon_0043
ko:K02838	ctl:CTLon_0046
ko:K09903	ctl:CTLon_0047
ko:K02357	ctl:CTLon_0048
ko:K02967	ctl:CTLon_0049
ko:K09013	ctl:CTLon_0054
ko:K02032	ctl:CTLon_0058
ko:K02031	ctl:CTLon_0059
ko:K02049	ctl:CTLon_0427
ko:K00979	ctl:CTLon_0429
ko:K01937	ctl:CTLon_0430
ko:K00036	ctl:CTLon_0432
ko:K01057	ctl:CTLon_0433
ko:K02343	ctl:CTLon_0434
ko:K00943	ctl:CTLon_0435
ko:K00773	ctl:CTLon_0440
ko:K06213	ctl:CTLon_0441
ko:K01409	ctl:CTLon_0444
ko:K03319	ctl:CTLon_0451
ko:K02527	ctl:CTLon_0455
ko:K01869	ctl:CTLon_0456
ko:K07735	ctl:CTLon_0458
ko:K08999	ctl:CTLon_0459
ko:K01807	ctl:CTLon_0460
ko:K03179	ctl:CTLon_0466
ko:K03308	ctl:CTLon_0479
ko:K03584	ctl:CTLon_0726
ko:K08998	ctl:CTLon_0729
ko:K02034	ctl:CTLon_0734
ko:K02033	ctl:CTLon_0735
ko:K02035	ctl:CTLon_0736
ko:K01772	ctl:CTLon_0741
ko:K00975	ctl:CTLon_0745
ko:K03628	ctl:CTLon_0747
ko:K00859	ctl:CTLon_0748
ko:K02335	ctl:CTLon_0749
ko:K03301	ctl:CTLon_0751
ko:K00995	ctl:CTLon_0752
ko:K02314	ctl:CTLon_0754
ko:K03495	ctl:CTLon_0755
ko:K03800	ctl:CTLon_0756
ko:K02913	ctl:CTLon_0401
ko:K09808	ctl:CTLon_0402
ko:K03720	ctl:CTLon_0416
ko:K02035	ctl:CTLon_0422
ko:K01698	ctl:CTLon_0001
ko:K03583	ctl:CTLon_0008
ko:K02221	ctl:CTLon_0013
ko:K03553	ctl:CTLon_0018
ko:K03581	ctl:CTLon_0020
ko:K06861	ctl:CTLon_0022
ko:K01627	ctl:CTLon_0024
ko:K06180	ctl:CTLon_0027
ko:K06960	ctl:CTLon_0028
ko:K02469	ctl:CTLon_0029
ko:K02437	ctl:CTLon_0530
ko:K03800	ctl:CTLon_0533
ko:K03696	ctl:CTLon_0534
ko:K00566	ctl:CTLon_0535
ko:K01494	ctl:CTLon_0289
ko:K03551	ctl:CTLon_0291
ko:K03111	ctl:CTLon_0295
ko:K01255	ctl:CTLon_0296
ko:K02340	ctl:CTLon_0298
ko:K09815	ctl:CTLon_0668
ko:K09817	ctl:CTLon_0669
ko:K09816	ctl:CTLon_0670
ko:K03979	ctl:CTLon_0671
ko:K02899	ctl:CTLon_0672
ko:K02888	ctl:CTLon_0673
ko:K07042	ctl:CTLon_0677
ko:K03183	ctl:CTLon_0683
ko:K01778	ctl:CTLon_0685
ko:K00600	ctl:CTLon_0687
ko:K00940	ctl:CTLon_0757
ko:K03550	ctl:CTLon_0758
ko:K01159	ctl:CTLon_0759
ko:K00134	ctl:CTLon_0762
ko:K02879	ctl:CTLon_0763
ko:K03040	ctl:CTLon_0764
ko:K02948	ctl:CTLon_0765
ko:K02952	ctl:CTLon_0766
ko:K02876	ctl:CTLon_0768
ko:K02988	ctl:CTLon_0769
ko:K02881	ctl:CTLon_0770
ko:K02933	ctl:CTLon_0771
ko:K02994	ctl:CTLon_0772
ko:K02931	ctl:CTLon_0773
ko:K02895	ctl:CTLon_0774
ko:K02874	ctl:CTLon_0775
ko:K02961	ctl:CTLon_0776
ko:K02904	ctl:CTLon_0777
ko:K02878	ctl:CTLon_0778
ko:K02982	ctl:CTLon_0779
ko:K02890	ctl:CTLon_0780
ko:K07220	ctl:CTLon_0060
ko:K03306	ctl:CTLon_0061
ko:K00927	ctl:CTLon_0062
ko:K03650	ctl:CTLon_0067
ko:K01613	ctl:CTLon_0068
ko:K03977	ctl:CTLon_0072
ko:K03544	ctl:CTLon_0074
ko:K03545	ctl:CTLon_0076
ko:K00057	ctl:CTLon_0083
ko:K07146	ctl:CTLon_0885
ko:K02911	ctl:CTLon_0181
ko:K03621	ctl:CTLon_0182
ko:K03431	ctl:CTLon_0187
ko:K03834	ctl:CTLon_0189
ko:K03834	ctl:CTLon_0190
ko:K06890	ctl:CTLon_0191
ko:K03110	ctl:CTLon_0192
ko:K09760	ctl:CTLon_0197
ko:K03439	ctl:CTLon_0201
ko:K00075	ctl:CTLon_0203
ko:K03625	ctl:CTLon_0204
ko:K02520	ctl:CTLon_0205
ko:K02916	ctl:CTLon_0206
ko:K02887	ctl:CTLon_0207
ko:K01889	ctl:CTLon_0208
ko:K07091	ctl:CTLon_0211
ko:K03798	ctl:CTLon_0213
ko:K00962	ctl:CTLon_0214
ko:K02956	ctl:CTLon_0215
ko:K01265	ctl:CTLon_0224
ko:K03527	ctl:CTLon_0234
ko:K10773	ctl:CTLon_0066
ko:K02600	ctl:CTLon_0348
ko:K02470	ctl:CTLon_0030
ko:K03601	ctl:CTLon_0579
ko:K02563	ctl:CTLon_0130
ko:K02313	ctl:CTLon_0523
ko:K02313	ctl:CTLon_0498
ko:K01903	ctl:CTLon_0193
ko:K02343	ctl:CTLon_0585
ko:K03581	ctl:CTLon_0283
ko:K01902	ctl:CTLon_0194
ko:K03582	ctl:CTLon_0007
ko:K03223	ctl:CTLon_0818
ko:K07710	ctl:CTLon_0723
ko:K03602	ctl:CTLon_0580
ko:K03230	ctl:CTLon_0341
ko:K04058	ctl:CTLon_0340
ko:K01056	ctl:CTLon_0170
ko:K01874	ctl:CTLon_0282
ko:K00658	ctl:CTLon_0306
ko:K02121	ctl:CTLon_0558
ko:K00703	ctl:CTLon_0168
ko:K06137	ctl:CTLon_0868
ko:K03820	ctl:CTLon_0791
ko:K03186	ctl:CTLon_0467
ko:K08301	ctl:CTLon_0178
ko:K01834	ctl:CTLon_0091
ko:K11720	ctl:CTLon_0210
ko:K03733	ctl:CTLon_0599
ko:K02417	ctl:CTLon_0041
ko:K00813	ctl:CTLon_0005
ko:K00567	ctl:CTLon_0733
ko:K10206	ctl:CTLon_0643
ko:K01448	ctl:CTLon_0516
ko:K03569	ctl:CTLon_0078
ko:K01892	ctl:CTLon_0800
ko:K03496	ctl:CTLon_0839
ko:K03226	ctl:CTLon_0819
ko:K03555	ctl:CTLon_0161
ko:K04075	ctl:CTLon_0212
ko:K03466	ctl:CTLon_0108
ko:K04564	ctl:CTLon_0542
ko:K03227	ctl:CTLon_0820
ko:K03228	ctl:CTLon_0821
ko:K01338	ctl:CTLon_0596
ko:K00425	ctl:CTLon_0263
ko:K03076	ctl:CTLon_0767
ko:K03222	ctl:CTLon_0816
ko:K03224	ctl:CTLon_0038
ko:K03229	ctl:CTLon_0342
ko:K04763	ctl:CTLon_0239
ko:K02455	ctl:CTLon_0827
ko:K01082	ctl:CTLon_0143
ko:K01719	ctl:CTLon_0688
ko:K00972	ctl:CTLon_0084
ko:K07714	ctl:CTLon_0724
ko:K00059	ctl:CTLon_0485
ko:K07315	ctl:CTLon_0845
ko:K07099	ctl:CTLon_0744
ko:K11753	ctl:CTLon_0344
ko:K00748	ctl:CTLon_0664
ko:K01890	ctl:CTLon_0731
ko:K06889	ctl:CTLon_0400
ko:K06889	ctl:CTLon_0453
ko:K00630	ctl:CTLon_0177
ko:K03524	ctl:CTLon_0094
ko:K09015	ctl:CTLon_0055
ko:K11717	ctl:CTLon_0056
ko:K04487	ctl:CTLon_0506
ko:K04487	ctl:CTLon_0090
ko:K01358	ctl:CTLon_0686
ko:K01358	ctl:CTLon_0075
ko:K01408	ctl:CTLon_0176
ko:K11752	ctl:CTLon_0099
ko:K07098	ctl:CTLon_0717
ko:K13941	ctl:CTLon_0871
ko:K12573	ctl:CTLon_0650
ko:K02028	ctl:CTLon_0381
ko:K01961	ctl:CTLon_0375
ko:K13832	ctl:CTLon_0622
ko:K00895	ctl:CTLon_0454
ko:K01840	ctl:CTLon_0543
ko:K11189	ctl:CTLon_0588
ko:K03309	ctl:CTLon_0654
ko:K02030	ctl:CTLon_0742
ko:K03386	ctl:CTLon_0860
ko:K01934	ctl:CTLon_0017
ko:K00970	ctl:CTLon_0073
ko:K07117	ctl:CTLon_0106
ko:K01909	ctl:CTLon_0145
ko:K01829	ctl:CTLon_0149
ko:K01829	ctl:CTLon_0152
ko:K06972	ctl:CTLon_0196
ko:K02050	ctl:CTLon_0227
ko:K02051	ctl:CTLon_0227
ko:K03321	ctl:CTLon_0229
ko:K19405	ctl:CTLon_0044
ko:K13819	ctl:CTLon_0089
ko:K08275	ctl:CTLon_0331
ko:K08274	ctl:CTLon_0629
ko:K02029	ctl:CTLon_0380
ko:K01921	ctl:CTLon_0131
ko:K01924	ctl:CTLon_0131
ko:K01491	ctl:CTLon_0329
ko:K09810	ctl:CTLon_0403
ko:K00024	ctl:CTLon_0628
ko:K13789	ctl:CTLon_0886
ko:K00652	ctl:CTLon_0146
ko:K00215	ctl:CTLon_0616
ko:K07052	ctl:CTLon_0502
ko:K14164	ctl:CTLon_0166
ko:K01802	ctl:CTLon_0798
ko:K03162	ctl:CTLon_0050
ko:K07033	ctl:CTLon_0053
ko:K07125	ctl:CTLon_0573
ko:K08719	ctl:CTLon_0082
ko:K14652	ctl:CTLon_0100
ko:K15582	ctl:CTLon_0447
ko:K03611	ctl:CTLon_0423
ko:K15580	ctl:CTLon_0445
ko:K15581	ctl:CTLon_0446
ko:K10823	ctl:CTLon_0448
ko:K15583	ctl:CTLon_0449
ko:K02428	ctl:CTLon_0863
ko:K11645	ctl:CTLon_0462
ko:K00850	ctl:CTLon_0452
ko:K11709	ctl:CTLon_0321
ko:K11708	ctl:CTLon_0320
ko:K11710	ctl:CTLon_0319
ko:K01214	ctl:CTLon_0293
ko:K17103	ctl:CTLon_0198
ko:K04084	ctl:CTLon_0852
ko:K07081	ctl:CTLon_0682
ko:K22100	ctl:CTLon_0577
ko:K03825	ctl:CTLon_0714
ko:K11991	ctl:CTLon_0216
ko:K04771	ctl:CTLon_0195
ko:K19411	ctl:CTLon_0045
ko:K12132	ctl:CTLon_0549
ko:K20265	ctl:CTLon_0463
ko:K20074	ctl:CTLon_0507
ko:K22099	ctl:CTLon_0869
ko:K01534	ctl:CTLon_0096
ko:K16239	ctl:CTLon_0336
