ko:K18923	lpo:LPO_3236
ko:K00241	lpo:LPO_0603
ko:K00652	lpo:LPO_1473
ko:K07258	lpo:LPO_1522
ko:K00219	lpo:LPO_2426
ko:K03386	lpo:LPO_2429
ko:K01426	lpo:LPO_2434
ko:K01409	lpo:LPO_2437
ko:K04763	lpo:LPO_p0007
ko:K01297	lpo:LPO_p0021
ko:K10563	lpo:LPO_0628
ko:K00383	lpo:LPO_0650
ko:K01488	lpo:LPO_0651
ko:K09806	lpo:LPO_0662
ko:K01934	lpo:LPO_0664
ko:K02653	lpo:LPO_1536
ko:K00970	lpo:LPO_1552
ko:K03830	lpo:LPO_p0054
ko:K07017	lpo:LPO_p0060
ko:K04488	lpo:LPO_0677
ko:K02238	lpo:LPO_0704
ko:K02674	lpo:LPO_0706
ko:K03153	lpo:LPO_1584
ko:K03560	lpo:LPO_1592
ko:K00135	lpo:LPO_1603
ko:K01782	lpo:LPO_1616
ko:K00626	lpo:LPO_1617
ko:K01992	lpo:LPO_p0101
ko:K02030	lpo:LPO_0758
ko:K01992	lpo:LPO_0763
ko:K00639	lpo:LPO_0782
ko:K07019	lpo:LPO_1651
ko:K00010	lpo:LPO_1688
ko:K01482	lpo:LPO_1692
ko:K03574	lpo:LPO_2588
ko:K07393	lpo:LPO_2631
ko:K04750	lpo:LPO_2633
ko:K01259	lpo:LPO_p0160
ko:K02619	lpo:LPO_0666
ko:K03417	lpo:LPO_0061
ko:K06075	lpo:LPO_1224
ko:K17713	lpo:LPO_1556
ko:K06075	lpo:LPO_p0095
ko:K11070	lpo:LPO_1153
ko:K00951	lpo:LPO_1457
ko:K01897	lpo:LPO_1138
ko:K01897	lpo:LPO_2299
ko:K01897	lpo:LPO_1568
ko:K14225	lpo:LPO_tRNA4
ko:K14225	lpo:LPO_tRNA7
ko:K14225	lpo:LPO_tRNA24
ko:K14232	lpo:LPO_tRNA31
ko:K14232	lpo:LPO_tRNA22
ko:K14228	lpo:LPO_tRNA41
ko:K14228	lpo:LPO_tRNA34
ko:K14228	lpo:LPO_tRNA26
ko:K14228	lpo:LPO_tRNA18
ko:K14228	lpo:LPO_tRNA17
ko:K14233	lpo:LPO_tRNA10
ko:K14219	lpo:LPO_tRNA11
ko:K14237	lpo:LPO_tRNA21
ko:K14226	lpo:LPO_tRNA33
ko:K14230	lpo:LPO_tRNA19
ko:K14234	lpo:LPO_tRNA9
ko:K14219	lpo:LPO_tRNA38
ko:K08316	lpo:LPO_2952
ko:K14220	lpo:LPO_tRNA44
ko:K01977	lpo:LPO_16S_2
ko:K01977	lpo:LPO_16S_3
ko:K01977	lpo:LPO_16S_1
ko:K14218	lpo:LPO_tRNA1
ko:K14218	lpo:LPO_tRNA8
ko:K14218	lpo:LPO_tRNA28
ko:K01980	lpo:LPO_23S_3
ko:K01980	lpo:LPO_23S_2
ko:K01980	lpo:LPO_23S_1
ko:K01985	lpo:LPO_5S_1
ko:K01985	lpo:LPO_5S_2
ko:K01985	lpo:LPO_5S_3
ko:K14234	lpo:LPO_tRNA2
ko:K14234	lpo:LPO_tRNA5
ko:K14236	lpo:LPO_tRNA3
ko:K14235	lpo:LPO_tRNA6
ko:K14232	lpo:LPO_tRNA43
ko:K14223	lpo:LPO_tRNA42
ko:K14233	lpo:LPO_tRNA40
ko:K14233	lpo:LPO_tRNA39
ko:K14219	lpo:LPO_tRNA32
ko:K14219	lpo:LPO_tRNA15
ko:K14230	lpo:LPO_tRNA37
ko:K14230	lpo:LPO_tRNA16
ko:K14221	lpo:LPO_tRNA36
ko:K14237	lpo:LPO_tRNA35
ko:K14229	lpo:LPO_tRNA13
ko:K14229	lpo:LPO_tRNA14
ko:K00122	lpo:LPO_0339
ko:K00821	lpo:LPO_3303
ko:K03694	lpo:LPO_0897
ko:K03601	lpo:LPO_0903
ko:K12543	lpo:LPO_0904
ko:K01609	lpo:LPO_0911
ko:K00766	lpo:LPO_0912
ko:K06861	lpo:LPO_0914
ko:K09774	lpo:LPO_0915
ko:K11719	lpo:LPO_0916
ko:K03270	lpo:LPO_0917
ko:K06041	lpo:LPO_0918
ko:K02065	lpo:LPO_0919
ko:K02066	lpo:LPO_0920
ko:K07323	lpo:LPO_0922
ko:K07122	lpo:LPO_0923
ko:K00790	lpo:LPO_0925
ko:K09810	lpo:LPO_0927
ko:K09808	lpo:LPO_0928
ko:K10941	lpo:LPO_0931
ko:K02194	lpo:LPO_0935
ko:K02195	lpo:LPO_0937
ko:K02196	lpo:LPO_0938
ko:K02197	lpo:LPO_0939
ko:K02198	lpo:LPO_0940
ko:K02199	lpo:LPO_0941
ko:K09165	lpo:LPO_0944
ko:K03652	lpo:LPO_0946
ko:K03654	lpo:LPO_0947
ko:K03466	lpo:LPO_1811
ko:K00384	lpo:LPO_1812
ko:K00684	lpo:LPO_1813
ko:K02518	lpo:LPO_1815
ko:K03592	lpo:LPO_1816
ko:K04567	lpo:LPO_1822
ko:K02836	lpo:LPO_1823
ko:K02557	lpo:LPO_1825
ko:K02556	lpo:LPO_1826
ko:K02405	lpo:LPO_1827
ko:K04562	lpo:LPO_1828
ko:K02404	lpo:LPO_1829
ko:K02400	lpo:LPO_1830
ko:K02401	lpo:LPO_1831
ko:K02421	lpo:LPO_1832
ko:K02420	lpo:LPO_1834
ko:K02419	lpo:LPO_1835
ko:K02418	lpo:LPO_1836
ko:K02417	lpo:LPO_1837
ko:K02416	lpo:LPO_1838
ko:K01872	lpo:LPO_1845
ko:K03565	lpo:LPO_1846
ko:K03555	lpo:LPO_1856
ko:K07278	lpo:LPO_1857
ko:K09800	lpo:LPO_1858
ko:K01698	lpo:LPO_1859
ko:K06076	lpo:LPO_1861
ko:K12526	lpo:LPO_1862
ko:K04761	lpo:LPO_1866
ko:K06878	lpo:LPO_2754
ko:K07783	lpo:LPO_2762
ko:K03642	lpo:LPO_2763
ko:K07733	lpo:LPO_2771
ko:K01462	lpo:LPO_2775
ko:K03762	lpo:LPO_2776
ko:K03563	lpo:LPO_2781
ko:K07798	lpo:LPO_2805
ko:K07787	lpo:LPO_2806
ko:K07576	lpo:LPO_2807
ko:K00948	lpo:LPO_2809
ko:K15726	lpo:LPO_2815
ko:K03666	lpo:LPO_0010
ko:K03665	lpo:LPO_0011
ko:K06911	lpo:LPO_0014
ko:K09889	lpo:LPO_0022
ko:K12297	lpo:LPO_0023
ko:K12973	lpo:LPO_0026
ko:K03306	lpo:LPO_0028
ko:K06134	lpo:LPO_0029
ko:K09996	lpo:LPO_0041
ko:K07038	lpo:LPO_0044
ko:K07154	lpo:LPO_0072
ko:K02837	lpo:LPO_0954
ko:K00325	lpo:LPO_0956
ko:K00324	lpo:LPO_0957
ko:K00324	lpo:LPO_0958
ko:K01207	lpo:LPO_0966
ko:K02452	lpo:LPO_0977
ko:K07301	lpo:LPO_0979
ko:K03575	lpo:LPO_0981
ko:K02399	lpo:LPO_0990
ko:K02398	lpo:LPO_0991
ko:K02386	lpo:LPO_0992
ko:K03525	lpo:LPO_0995
ko:K03925	lpo:LPO_0997
ko:K03438	lpo:LPO_0998
ko:K03586	lpo:LPO_0999
ko:K03587	lpo:LPO_1000
ko:K01928	lpo:LPO_1001
ko:K03473	lpo:LPO_1002
ko:K00912	lpo:LPO_1872
ko:K00253	lpo:LPO_1885
ko:K01969	lpo:LPO_1888
ko:K13766	lpo:LPO_1889
ko:K01968	lpo:LPO_1890
ko:K01640	lpo:LPO_1891
ko:K02071	lpo:LPO_1894
ko:K02072	lpo:LPO_1895
ko:K02073	lpo:LPO_1896
ko:K15984	lpo:LPO_1901
ko:K03273	lpo:LPO_1902
ko:K01879	lpo:LPO_1903
ko:K01878	lpo:LPO_1904
ko:K03657	lpo:LPO_1907
ko:K07560	lpo:LPO_1909
ko:K04754	lpo:LPO_1911
ko:K01920	lpo:LPO_1912
ko:K01919	lpo:LPO_1913
ko:K00876	lpo:LPO_1919
ko:K00208	lpo:LPO_1920
ko:K03770	lpo:LPO_1921
ko:K01534	lpo:LPO_2817
ko:K03821	lpo:LPO_2821
ko:K00925	lpo:LPO_2823
ko:K00208	lpo:LPO_2824
ko:K00023	lpo:LPO_2825
ko:K00252	lpo:LPO_2845
ko:K11381	lpo:LPO_2846
ko:K04061	lpo:LPO_2849
ko:K08641	lpo:LPO_2852
ko:K07259	lpo:LPO_2863
ko:K03500	lpo:LPO_2868
ko:K00604	lpo:LPO_2869
ko:K01462	lpo:LPO_2870
ko:K04096	lpo:LPO_2872
ko:K03168	lpo:LPO_2874
ko:K00812	lpo:LPO_0079
ko:K03702	lpo:LPO_0080
ko:K09888	lpo:LPO_0083
ko:K09895	lpo:LPO_0084
ko:K03185	lpo:LPO_0086
ko:K09768	lpo:LPO_0097
ko:K12573	lpo:LPO_0100
ko:K03218	lpo:LPO_0101
ko:K01807	lpo:LPO_0102
ko:K02536	lpo:LPO_0108
ko:K06901	lpo:LPO_0114
ko:K00283	lpo:LPO_0121
ko:K00282	lpo:LPO_0123
ko:K02437	lpo:LPO_0124
ko:K00605	lpo:LPO_0125
ko:K03521	lpo:LPO_1006
ko:K03522	lpo:LPO_1007
ko:K00259	lpo:LPO_1008
ko:K05366	lpo:LPO_1009
ko:K02662	lpo:LPO_1011
ko:K02666	lpo:LPO_1015
ko:K00891	lpo:LPO_1016
ko:K01735	lpo:LPO_1017
ko:K11753	lpo:LPO_1020
ko:K01870	lpo:LPO_1021
ko:K03101	lpo:LPO_1022
ko:K03584	lpo:LPO_1027
ko:K03474	lpo:LPO_1030
ko:K00174	lpo:LPO_1031
ko:K00175	lpo:LPO_1032
ko:K03568	lpo:LPO_1035
ko:K07001	lpo:LPO_1036
ko:K03723	lpo:LPO_1038
ko:K09760	lpo:LPO_1039
ko:K01972	lpo:LPO_1042
ko:K02034	lpo:LPO_1045
ko:K02337	lpo:LPO_1046
ko:K03530	lpo:LPO_1922
ko:K01338	lpo:LPO_1923
ko:K03544	lpo:LPO_1924
ko:K01358	lpo:LPO_1925
ko:K03545	lpo:LPO_1926
ko:K06158	lpo:LPO_1929
ko:K03685	lpo:LPO_1930
ko:K03100	lpo:LPO_1932
ko:K03596	lpo:LPO_1933
ko:K02461	lpo:LPO_1935
ko:K02462	lpo:LPO_1936
ko:K01129	lpo:LPO_1938
ko:K01194	lpo:LPO_1939
ko:K01512	lpo:LPO_1954
ko:K06131	lpo:LPO_1956
ko:K09858	lpo:LPO_1966
ko:K03924	lpo:LPO_1968
ko:K02535	lpo:LPO_2884
ko:K03531	lpo:LPO_2885
ko:K03590	lpo:LPO_2886
ko:K03589	lpo:LPO_2887
ko:K01921	lpo:LPO_2888
ko:K00075	lpo:LPO_2889
ko:K01924	lpo:LPO_2890
ko:K03588	lpo:LPO_2891
ko:K01925	lpo:LPO_2892
ko:K01000	lpo:LPO_2893
ko:K01929	lpo:LPO_2894
ko:K03528	lpo:LPO_2895
ko:K03529	lpo:LPO_2896
ko:K03624	lpo:LPO_2900
ko:K01955	lpo:LPO_2901
ko:K07007	lpo:LPO_2903
ko:K11720	lpo:LPO_2906
ko:K07091	lpo:LPO_2907
ko:K01255	lpo:LPO_2908
ko:K02339	lpo:LPO_2909
ko:K01255	lpo:LPO_2912
ko:K03980	lpo:LPO_2913
ko:K02968	lpo:LPO_2914
ko:K03703	lpo:LPO_2923
ko:K07689	lpo:LPO_2924
ko:K00500	lpo:LPO_2925
ko:K03979	lpo:LPO_2927
ko:K02899	lpo:LPO_2928
ko:K02888	lpo:LPO_2929
ko:K02897	lpo:LPO_2930
ko:K01056	lpo:LPO_2931
ko:K06942	lpo:LPO_2932
ko:K03673	lpo:LPO_0131
ko:K03978	lpo:LPO_0133
ko:K01895	lpo:LPO_0135
ko:K00140	lpo:LPO_0137
ko:K00215	lpo:LPO_0141
ko:K03607	lpo:LPO_0146
ko:K00873	lpo:LPO_0149
ko:K00927	lpo:LPO_0150
ko:K00134	lpo:LPO_0151
ko:K00615	lpo:LPO_0152
ko:K01414	lpo:LPO_0154
ko:K07133	lpo:LPO_0169
ko:K01265	lpo:LPO_0187
ko:K09781	lpo:LPO_0196
ko:K07154	lpo:LPO_1084
ko:K08482	lpo:LPO_1116
ko:K09906	lpo:LPO_1976
ko:K07678	lpo:LPO_1988
ko:K05527	lpo:LPO_1992
ko:K00979	lpo:LPO_1995
ko:K09791	lpo:LPO_1996
ko:K00074	lpo:LPO_2022
ko:K02523	lpo:LPO_2934
ko:K04759	lpo:LPO_2936
ko:K04758	lpo:LPO_2937
ko:K06916	lpo:LPO_2938
ko:K07018	lpo:LPO_2939
ko:K00606	lpo:LPO_2940
ko:K01918	lpo:LPO_2941
ko:K03089	lpo:LPO_2946
ko:K09811	lpo:LPO_2947
ko:K09812	lpo:LPO_2948
ko:K03110	lpo:LPO_2949
ko:K01666	lpo:LPO_2962
ko:K12982	lpo:LPO_2976
ko:K00791	lpo:LPO_2978
ko:K03572	lpo:LPO_2979
ko:K01448	lpo:LPO_2980
ko:K06925	lpo:LPO_2981
ko:K03600	lpo:LPO_2983
ko:K03599	lpo:LPO_2984
ko:K00413	lpo:LPO_2987
ko:K00412	lpo:LPO_2988
ko:K09857	lpo:LPO_0199
ko:K03799	lpo:LPO_0212
ko:K02057	lpo:LPO_0224
ko:K03782	lpo:LPO_0229
ko:K00425	lpo:LPO_0234
ko:K00426	lpo:LPO_0235
ko:K06876	lpo:LPO_0240
ko:K01669	lpo:LPO_0245
ko:K09862	lpo:LPO_0250
ko:K01589	lpo:LPO_0251
ko:K01588	lpo:LPO_0252
ko:K09822	lpo:LPO_0255
ko:K05577	lpo:LPO_0256
ko:K00574	lpo:LPO_1144
ko:K01299	lpo:LPO_1159
ko:K10778	lpo:LPO_1163
ko:K01438	lpo:LPO_1179
ko:K00876	lpo:LPO_1180
ko:K09767	lpo:LPO_1182
ko:K04069	lpo:LPO_1185
ko:K02668	lpo:LPO_1188
ko:K02667	lpo:LPO_1189
ko:K16137	lpo:LPO_2057
ko:K15735	lpo:LPO_2063
ko:K01874	lpo:LPO_2064
ko:K03897	lpo:LPO_2065
ko:K08296	lpo:LPO_2081
ko:K07136	lpo:LPO_2086
ko:K08304	lpo:LPO_2091
ko:K00411	lpo:LPO_2989
ko:K02996	lpo:LPO_2990
ko:K02871	lpo:LPO_2991
ko:K04764	lpo:LPO_2993
ko:K01890	lpo:LPO_2994
ko:K01889	lpo:LPO_2995
ko:K02887	lpo:LPO_2996
ko:K02916	lpo:LPO_2997
ko:K02520	lpo:LPO_2998
ko:K01868	lpo:LPO_2999
ko:K09131	lpo:LPO_3001
ko:K06048	lpo:LPO_3006
ko:K00773	lpo:LPO_3014
ko:K03611	lpo:LPO_3015
ko:K01749	lpo:LPO_3022
ko:K02496	lpo:LPO_3024
ko:K02498	lpo:LPO_3025
ko:K16264	lpo:LPO_3026
ko:K09765	lpo:LPO_3027
ko:K13288	lpo:LPO_3028
ko:K06949	lpo:LPO_3030
ko:K09823	lpo:LPO_0271
ko:K01576	lpo:LPO_0272
ko:K01425	lpo:LPO_0281
ko:K15371	lpo:LPO_0285
ko:K11927	lpo:LPO_0290
ko:K09125	lpo:LPO_0292
ko:K07023	lpo:LPO_0317
ko:K06915	lpo:LPO_0318
ko:K00763	lpo:LPO_0319
ko:K08281	lpo:LPO_0320
ko:K11752	lpo:LPO_1193
ko:K00793	lpo:LPO_1194
ko:K14652	lpo:LPO_1195
ko:K00794	lpo:LPO_1196
ko:K01937	lpo:LPO_1197
ko:K01627	lpo:LPO_1198
ko:K05807	lpo:LPO_1201
ko:K03554	lpo:LPO_1202
ko:K03549	lpo:LPO_1203
ko:K06969	lpo:LPO_1205
ko:K01207	lpo:LPO_1206
ko:K11755	lpo:LPO_1208
ko:K02500	lpo:LPO_1209
ko:K01814	lpo:LPO_1210
ko:K02501	lpo:LPO_1211
ko:K01089	lpo:LPO_1212
ko:K00817	lpo:LPO_1213
ko:K00013	lpo:LPO_1214
ko:K00765	lpo:LPO_1215
ko:K00425	lpo:LPO_1218
ko:K00426	lpo:LPO_1219
ko:K00762	lpo:LPO_1220
ko:K03704	lpo:LPO_1221
ko:K03192	lpo:LPO_1235
ko:K00228	lpo:LPO_1240
ko:K02387	lpo:LPO_1241
ko:K00817	lpo:LPO_2096
ko:K03074	lpo:LPO_2098
ko:K03072	lpo:LPO_2099
ko:K03210	lpo:LPO_2100
ko:K00773	lpo:LPO_2101
ko:K07568	lpo:LPO_2102
ko:K15738	lpo:LPO_2104
ko:K06985	lpo:LPO_2105
ko:K03060	lpo:LPO_2108
ko:K00942	lpo:LPO_2109
ko:K00989	lpo:LPO_2111
ko:K02669	lpo:LPO_2112
ko:K06997	lpo:LPO_2113
ko:K00286	lpo:LPO_2114
ko:K02221	lpo:LPO_2115
ko:K14645	lpo:LPO_2119
ko:K01251	lpo:LPO_2121
ko:K00789	lpo:LPO_2122
ko:K01956	lpo:LPO_2123
ko:K03686	lpo:LPO_2124
ko:K04043	lpo:LPO_2125
ko:K03687	lpo:LPO_2126
ko:K01626	lpo:LPO_2127
ko:K01599	lpo:LPO_2128
ko:K01633	lpo:LPO_2129
ko:K03591	lpo:LPO_2130
ko:K01887	lpo:LPO_2131
ko:K03655	lpo:LPO_2133
ko:K06287	lpo:LPO_2139
ko:K01689	lpo:LPO_2140
ko:K05589	lpo:LPO_2141
ko:K10026	lpo:LPO_2144
ko:K03640	lpo:LPO_2146
ko:K02343	lpo:LPO_3045
ko:K09747	lpo:LPO_3046
ko:K06187	lpo:LPO_3047
ko:K02503	lpo:LPO_3056
ko:K01495	lpo:LPO_3057
ko:K00962	lpo:LPO_3059
ko:K02956	lpo:LPO_3060
ko:K02834	lpo:LPO_3062
ko:K02519	lpo:LPO_3063
ko:K02600	lpo:LPO_3064
ko:K09748	lpo:LPO_3065
ko:K00343	lpo:LPO_3066
ko:K00342	lpo:LPO_3067
ko:K00341	lpo:LPO_3068
ko:K00340	lpo:LPO_3069
ko:K00339	lpo:LPO_3070
ko:K00338	lpo:LPO_3071
ko:K00337	lpo:LPO_3072
ko:K00334	lpo:LPO_3075
ko:K00333	lpo:LPO_3076
ko:K00332	lpo:LPO_3077
ko:K00331	lpo:LPO_3078
ko:K00330	lpo:LPO_3079
ko:K03075	lpo:LPO_3081
ko:K01803	lpo:LPO_3082
ko:K03431	lpo:LPO_3084
ko:K00796	lpo:LPO_3085
ko:K03798	lpo:LPO_3086
ko:K07574	lpo:LPO_3088
ko:K10763	lpo:LPO_3093
ko:K02356	lpo:LPO_0344
ko:K00937	lpo:LPO_0346
ko:K07240	lpo:LPO_0348
ko:K07102	lpo:LPO_0353
ko:K04744	lpo:LPO_0354
ko:K03771	lpo:LPO_0355
ko:K00097	lpo:LPO_0356
ko:K02358	lpo:LPO_0365
ko:K03073	lpo:LPO_0366
ko:K02601	lpo:LPO_0367
ko:K02867	lpo:LPO_0368
ko:K02863	lpo:LPO_0369
ko:K02864	lpo:LPO_0370
ko:K02935	lpo:LPO_0371
ko:K03043	lpo:LPO_0372
ko:K03046	lpo:LPO_0373
ko:K02950	lpo:LPO_0374
ko:K02992	lpo:LPO_0375
ko:K02355	lpo:LPO_0376
ko:K02358	lpo:LPO_0377
ko:K02946	lpo:LPO_0378
ko:K02388	lpo:LPO_1242
ko:K02389	lpo:LPO_1243
ko:K02390	lpo:LPO_1244
ko:K02391	lpo:LPO_1245
ko:K02392	lpo:LPO_1246
ko:K02393	lpo:LPO_1247
ko:K02394	lpo:LPO_1248
ko:K02395	lpo:LPO_1249
ko:K02396	lpo:LPO_1250
ko:K02397	lpo:LPO_1251
ko:K00311	lpo:LPO_1256
ko:K03787	lpo:LPO_1267
ko:K06194	lpo:LPO_1268
ko:K00451	lpo:LPO_1270
ko:K01159	lpo:LPO_1272
ko:K03550	lpo:LPO_1273
ko:K06190	lpo:LPO_1277
ko:K08307	lpo:LPO_1278
ko:K07115	lpo:LPO_1281
ko:K01491	lpo:LPO_1283
ko:K06173	lpo:LPO_1288
ko:K01817	lpo:LPO_1289
ko:K01696	lpo:LPO_1290
ko:K01695	lpo:LPO_1291
ko:K01886	lpo:LPO_1292
ko:K01883	lpo:LPO_1293
ko:K07014	lpo:LPO_1294
ko:K02065	lpo:LPO_2149
ko:K02066	lpo:LPO_2150
ko:K03704	lpo:LPO_2162
ko:K05591	lpo:LPO_2163
ko:K07267	lpo:LPO_2169
ko:K07461	lpo:LPO_2177
ko:K03549	lpo:LPO_2188
ko:K03762	lpo:LPO_2197
ko:K00275	lpo:LPO_2203
ko:K03305	lpo:LPO_3097
ko:K07001	lpo:LPO_3099
ko:K00014	lpo:LPO_3100
ko:K01256	lpo:LPO_3101
ko:K07180	lpo:LPO_3102
ko:K09786	lpo:LPO_3103
ko:K03656	lpo:LPO_3108
ko:K04083	lpo:LPO_3110
ko:K06207	lpo:LPO_3115
ko:K00858	lpo:LPO_3116
ko:K03631	lpo:LPO_3117
ko:K03704	lpo:LPO_3118
ko:K10806	lpo:LPO_3128
ko:K06959	lpo:LPO_3129
ko:K00820	lpo:LPO_3132
ko:K07146	lpo:LPO_3139
ko:K03664	lpo:LPO_3140
ko:K03564	lpo:LPO_3141
ko:K07175	lpo:LPO_3143
ko:K03928	lpo:LPO_3147
ko:K01166	lpo:LPO_3150
ko:K03704	lpo:LPO_3152
ko:K02906	lpo:LPO_0379
ko:K02926	lpo:LPO_0380
ko:K02892	lpo:LPO_0381
ko:K02886	lpo:LPO_0382
ko:K02965	lpo:LPO_0383
ko:K02890	lpo:LPO_0384
ko:K02982	lpo:LPO_0385
ko:K02878	lpo:LPO_0386
ko:K02904	lpo:LPO_0387
ko:K02961	lpo:LPO_0388
ko:K02874	lpo:LPO_0389
ko:K02895	lpo:LPO_0390
ko:K02931	lpo:LPO_0391
ko:K02954	lpo:LPO_0392
ko:K02994	lpo:LPO_0393
ko:K02933	lpo:LPO_0394
ko:K02881	lpo:LPO_0395
ko:K02988	lpo:LPO_0396
ko:K02907	lpo:LPO_0397
ko:K02876	lpo:LPO_0398
ko:K03076	lpo:LPO_0399
ko:K02919	lpo:LPO_CDS416712D
ko:K02952	lpo:LPO_0400
