ko:K13613	bamf:U722_09010
ko:K09167	bamf:U722_02490
ko:K08981	bamf:U722_02495
ko:K00997	bamf:U722_02505
ko:K01775	bamf:U722_02515
ko:K07723	bamf:U722_02520
ko:K17763	bamf:U722_02530
ko:K17762	bamf:U722_02535
ko:K17752	bamf:U722_02540
ko:K07315	bamf:U722_02545
ko:K04757	bamf:U722_02555
ko:K03090	bamf:U722_02560
ko:K05518	bamf:U722_02565
ko:K06959	bamf:U722_02570
ko:K03095	bamf:U722_02580
ko:K03762	bamf:U722_02630
ko:K07118	bamf:U722_02660
ko:K03704	bamf:U722_02665
ko:K07736	bamf:U722_02670
ko:K07090	bamf:U722_02705
ko:K01779	bamf:U722_02710
ko:K01751	bamf:U722_02740
ko:K03837	bamf:U722_02755
ko:K06016	bamf:U722_02770
ko:K16264	bamf:U722_02815
ko:K01714	bamf:U722_02840
ko:K13979	bamf:U722_02865
ko:K00375	bamf:U722_02880
ko:K07734	bamf:U722_02885
ko:K06439	bamf:U722_02905
ko:K00121	bamf:U722_02915
ko:K11623	bamf:U722_02930
ko:K07010	bamf:U722_02945
ko:K00005	bamf:U722_02965
ko:K07552	bamf:U722_02970
ko:K09458	bamf:U722_02975
ko:K07090	bamf:U722_02985
ko:K00657	bamf:U722_02990
ko:K07246	bamf:U722_03015
ko:K11440	bamf:U722_15180
ko:K03499	bamf:U722_15200
ko:K05916	bamf:U722_15210
ko:K06153	bamf:U722_15230
ko:K05520	bamf:U722_15245
ko:K03406	bamf:U722_15250
ko:K03406	bamf:U722_15255
ko:K03406	bamf:U722_15260
ko:K03406	bamf:U722_15265
ko:K00686	bamf:U722_15270
ko:K00459	bamf:U722_15280
ko:K01187	bamf:U722_15290
ko:K06973	bamf:U722_15300
ko:K10716	bamf:U722_15315
ko:K01810	bamf:U722_15330
ko:K09779	bamf:U722_15355
ko:K02363	bamf:U722_15645
ko:K02361	bamf:U722_15650
ko:K00216	bamf:U722_15655
ko:K07017	bamf:U722_15660
ko:K03523	bamf:U722_15670
ko:K07084	bamf:U722_15675
ko:K01255	bamf:U722_15680
ko:K09775	bamf:U722_15685
ko:K03885	bamf:U722_15705
ko:K00364	bamf:U722_15725
ko:K01990	bamf:U722_15740
ko:K01992	bamf:U722_15745
ko:K14189	bamf:U722_15770
ko:K13628	bamf:U722_15775
ko:K01778	bamf:U722_15780
ko:K03317	bamf:U722_15785
ko:K03885	bamf:U722_15795
ko:K00872	bamf:U722_15815
ko:K01733	bamf:U722_15820
ko:K00003	bamf:U722_15825
ko:K03644	bamf:U722_15855
ko:K07090	bamf:U722_15875
ko:K01466	bamf:U722_15890
ko:K09684	bamf:U722_15895
ko:K08153	bamf:U722_15915
ko:K01679	bamf:U722_16210
ko:K06290	bamf:U722_16230
ko:K11617	bamf:U722_16240
ko:K11622	bamf:U722_16245
ko:K11621	bamf:U722_16250
ko:K11619	bamf:U722_16260
ko:K02013	bamf:U722_16275
ko:K02015	bamf:U722_16280
ko:K02016	bamf:U722_16285
ko:K01569	bamf:U722_16325
ko:K02013	bamf:U722_16335
ko:K02015	bamf:U722_16340
ko:K02015	bamf:U722_16345
ko:K02016	bamf:U722_16350
ko:K03758	bamf:U722_16360
ko:K06427	bamf:U722_16365
ko:K07038	bamf:U722_16375
ko:K07219	bamf:U722_16385
ko:K02020	bamf:U722_16390
ko:K02018	bamf:U722_16395
ko:K01992	bamf:U722_16415
ko:K03316	bamf:U722_16435
ko:K00381	bamf:U722_16445
ko:K00380	bamf:U722_16450
ko:K03657	bamf:U722_16455
ko:K03611	bamf:U722_16475
ko:K01534	bamf:U722_16485
ko:K07213	bamf:U722_16495
ko:K01118	bamf:U722_16510
ko:K01607	bamf:U722_16525
ko:K16959	bamf:U722_16555
ko:K16958	bamf:U722_16560
ko:K16957	bamf:U722_16565
ko:K00059	bamf:U722_16585
ko:K03623	bamf:U722_16590
ko:K03664	bamf:U722_16595
ko:K12573	bamf:U722_16600
ko:K03928	bamf:U722_16605
ko:K03075	bamf:U722_16610
ko:K05846	bamf:U722_16660
ko:K05845	bamf:U722_16665
ko:K05846	bamf:U722_16670
ko:K05847	bamf:U722_16675
ko:K05846	bamf:U722_16685
ko:K05845	bamf:U722_16690
ko:K05846	bamf:U722_16695
ko:K05847	bamf:U722_16700
ko:K05595	bamf:U722_16710
ko:K01784	bamf:U722_16760
ko:K01193	bamf:U722_17070
ko:K02532	bamf:U722_17075
ko:K03484	bamf:U722_17080
ko:K01358	bamf:U722_17085
ko:K06966	bamf:U722_17105
ko:K03321	bamf:U722_17115
ko:K01673	bamf:U722_17120
ko:K00090	bamf:U722_17130
ko:K00675	bamf:U722_17140
ko:K11184	bamf:U722_17145
ko:K09762	bamf:U722_17150
ko:K06958	bamf:U722_17160
ko:K03574	bamf:U722_17165
ko:K00384	bamf:U722_17175
ko:K03492	bamf:U722_03060
ko:K03449	bamf:U722_03070
ko:K07217	bamf:U722_03095
ko:K00946	bamf:U722_03155
ko:K06925	bamf:U722_03160
ko:K03789	bamf:U722_03170
ko:K01409	bamf:U722_03175
ko:K06158	bamf:U722_03180
ko:K03637	bamf:U722_03185
ko:K01926	bamf:U722_03190
ko:K03116	bamf:U722_03195
ko:K03118	bamf:U722_03200
ko:K07052	bamf:U722_03210
ko:K04078	bamf:U722_03215
ko:K04077	bamf:U722_03220
ko:K00847	bamf:U722_03250
ko:K03969	bamf:U722_03260
ko:K06872	bamf:U722_03270
ko:K03088	bamf:U722_03295
ko:K06324	bamf:U722_03325
ko:K11735	bamf:U722_03330
ko:K03924	bamf:U722_03335
ko:K01951	bamf:U722_03350
ko:K03088	bamf:U722_03355
ko:K06901	bamf:U722_03365
ko:K01588	bamf:U722_03390
ko:K01589	bamf:U722_03395
ko:K01756	bamf:U722_03400
ko:K01923	bamf:U722_03405
ko:K01952	bamf:U722_03410
ko:K01952	bamf:U722_03415
ko:K01952	bamf:U722_03420
ko:K00764	bamf:U722_03425
ko:K01933	bamf:U722_03430
ko:K11175	bamf:U722_03435
ko:K00602	bamf:U722_03440
ko:K01945	bamf:U722_03445
ko:K01486	bamf:U722_03455
ko:K07094	bamf:U722_03480
ko:K03657	bamf:U722_03485
ko:K01972	bamf:U722_03490
ko:K07507	bamf:U722_03505
ko:K03307	bamf:U722_03510
ko:K02435	bamf:U722_03515
ko:K02433	bamf:U722_03520
ko:K02434	bamf:U722_03525
ko:K03215	bamf:U722_03545
ko:K11050	bamf:U722_03555
ko:K11051	bamf:U722_03560
ko:K06332	bamf:U722_03600
ko:K06333	bamf:U722_03605
ko:K06334	bamf:U722_03610
ko:K17763	bamf:U722_03640
ko:K06890	bamf:U722_03660
ko:K14338	bamf:U722_03680
ko:K00978	bamf:U722_03695
ko:K01709	bamf:U722_03700
ko:K08223	bamf:U722_03720
ko:K03294	bamf:U722_03725
ko:K15738	bamf:U722_03750
ko:K01728	bamf:U722_03795
ko:K03319	bamf:U722_03800
ko:K07284	bamf:U722_03880
ko:K11637	bamf:U722_03885
ko:K00491	bamf:U722_03910
ko:K01512	bamf:U722_03915
ko:K01265	bamf:U722_03940
ko:K02803	bamf:U722_03945
ko:K02804	bamf:U722_03945
ko:K13993	bamf:U722_03965
ko:K02818	bamf:U722_03980
ko:K02819	bamf:U722_03980
ko:K01226	bamf:U722_03985
ko:K03486	bamf:U722_03990
ko:K05520	bamf:U722_04015
ko:K02529	bamf:U722_04020
ko:K00014	bamf:U722_04025
ko:K03785	bamf:U722_04030
ko:K01104	bamf:U722_04045
ko:K07058	bamf:U722_04055
ko:K07300	bamf:U722_04070
ko:K03284	bamf:U722_04110
ko:K01247	bamf:U722_04115
ko:K03215	bamf:U722_04120
ko:K00627	bamf:U722_04150
ko:K00382	bamf:U722_04155
ko:K06425	bamf:U722_04165
ko:K01232	bamf:U722_04170
ko:K03481	bamf:U722_04175
ko:K02749	bamf:U722_04180
ko:K02750	bamf:U722_04180
ko:K07104	bamf:U722_04200
ko:K00355	bamf:U722_04220
ko:K03623	bamf:U722_04235
ko:K14205	bamf:U722_04255
ko:K07071	bamf:U722_04280
ko:K03565	bamf:U722_04285
ko:K06428	bamf:U722_04310
ko:K07038	bamf:U722_04345
ko:K03575	bamf:U722_04350
ko:K10780	bamf:U722_04360
ko:K06422	bamf:U722_04365
ko:K07586	bamf:U722_04375
ko:K11085	bamf:U722_04380
ko:K01845	bamf:U722_04390
ko:K03564	bamf:U722_04395
ko:K09825	bamf:U722_04400
ko:K03147	bamf:U722_04530
ko:K02035	bamf:U722_04545
ko:K02033	bamf:U722_04550
ko:K02034	bamf:U722_04555
ko:K03781	bamf:U722_04570
ko:K11755	bamf:U722_17210
ko:K02500	bamf:U722_17215
ko:K01814	bamf:U722_17220
ko:K02501	bamf:U722_17225
ko:K01693	bamf:U722_17230
ko:K00013	bamf:U722_17235
ko:K00765	bamf:U722_17240
ko:K02502	bamf:U722_17245
ko:K06019	bamf:U722_17260
ko:K13292	bamf:U722_17265
ko:K06023	bamf:U722_17270
ko:K01443	bamf:U722_17275
ko:K02564	bamf:U722_17280
ko:K03710	bamf:U722_17285
ko:K08972	bamf:U722_17300
ko:K01791	bamf:U722_17595
ko:K00963	bamf:U722_17600
ko:K09693	bamf:U722_17605
ko:K05946	bamf:U722_17630
ko:K01809	bamf:U722_17645
ko:K07282	bamf:U722_17705
ko:K06295	bamf:U722_17720
ko:K02529	bamf:U722_17735
ko:K00852	bamf:U722_17740
ko:K06726	bamf:U722_17745
ko:K10441	bamf:U722_17750
ko:K10440	bamf:U722_17755
ko:K10439	bamf:U722_17760
ko:K01575	bamf:U722_17775
ko:K01652	bamf:U722_17780
ko:K03893	bamf:U722_17795
ko:K06325	bamf:U722_17805
ko:K06330	bamf:U722_17810
ko:K07240	bamf:U722_17850
ko:K07240	bamf:U722_17855
ko:K01428	bamf:U722_18150
ko:K01429	bamf:U722_18155
ko:K01430	bamf:U722_18160
ko:K03639	bamf:U722_18180
ko:K02379	bamf:U722_18185
ko:K07114	bamf:U722_18195
ko:K07114	bamf:U722_18205
ko:K06381	bamf:U722_18210
ko:K00790	bamf:U722_18220
ko:K02114	bamf:U722_18240
ko:K02112	bamf:U722_18245
ko:K02115	bamf:U722_18250
ko:K02111	bamf:U722_18255
ko:K02113	bamf:U722_18260
ko:K02109	bamf:U722_18265
ko:K02110	bamf:U722_18270
ko:K02108	bamf:U722_18275
ko:K02116	bamf:U722_18280
ko:K00761	bamf:U722_18285
ko:K00600	bamf:U722_18290
ko:K01808	bamf:U722_18300
ko:K07566	bamf:U722_18315
ko:K06387	bamf:U722_18325
ko:K02493	bamf:U722_18340
ko:K02835	bamf:U722_18345
ko:K08234	bamf:U722_18350
ko:K11686	bamf:U722_18355
ko:K07088	bamf:U722_18360
ko:K00027	bamf:U722_18365
ko:K02909	bamf:U722_18375
ko:K03628	bamf:U722_18380
ko:K02446	bamf:U722_18385
ko:K00790	bamf:U722_18390
ko:K00616	bamf:U722_18395
ko:K01624	bamf:U722_18400
ko:K02490	bamf:U722_18405
ko:K01790	bamf:U722_18700
ko:K00067	bamf:U722_18705
ko:K00973	bamf:U722_18715
ko:K07257	bamf:U722_18725
ko:K06305	bamf:U722_18755
ko:K03648	bamf:U722_18775
ko:K00868	bamf:U722_18800
ko:K01193	bamf:U722_18810
ko:K03488	bamf:U722_18820
ko:K14647	bamf:U722_18830
ko:K05837	bamf:U722_18845
ko:K03829	bamf:U722_18850
ko:K02829	bamf:U722_18860
ko:K02828	bamf:U722_18865
ko:K02827	bamf:U722_18870
ko:K02826	bamf:U722_18875
ko:K00965	bamf:U722_18885
ko:K16301	bamf:U722_18925
ko:K00788	bamf:U722_18935
ko:K00878	bamf:U722_18940
ko:K06518	bamf:U722_18950
ko:K06969	bamf:U722_18975
ko:K01759	bamf:U722_18980
ko:K02761	bamf:U722_18985
ko:K02548	bamf:U722_19005
ko:K03367	bamf:U722_19015
ko:K03739	bamf:U722_19020
ko:K14188	bamf:U722_19025
ko:K03740	bamf:U722_19030
ko:K00826	bamf:U722_19035
ko:K01222	bamf:U722_19040
ko:K02759	bamf:U722_19045
ko:K02761	bamf:U722_19050
ko:K02760	bamf:U722_19055
ko:K03491	bamf:U722_19060
ko:K03652	bamf:U722_19070
ko:K02015	bamf:U722_19075
ko:K02015	bamf:U722_19080
ko:K02016	bamf:U722_19085
ko:K03893	bamf:U722_19095
ko:K02760	bamf:U722_19100
ko:K02759	bamf:U722_19105
ko:K02761	bamf:U722_19110
ko:K01223	bamf:U722_19115
ko:K00847	bamf:U722_19120
ko:K01809	bamf:U722_19125
ko:K01218	bamf:U722_19130
ko:K03781	bamf:U722_19135
ko:K01442	bamf:U722_19140
ko:K03457	bamf:U722_19145
ko:K17758	bamf:U722_19150
ko:K16012	bamf:U722_19155
ko:K16013	bamf:U722_19160
ko:K00426	bamf:U722_19165
ko:K00425	bamf:U722_19170
ko:K10112	bamf:U722_19185
ko:K01784	bamf:U722_19205
ko:K01258	bamf:U722_19210
ko:K00549	bamf:U722_19235
ko:K00563	bamf:U722_19240
ko:K16323	bamf:U722_19250
ko:K03781	bamf:U722_19270
ko:K03300	bamf:U722_19275
ko:K06902	bamf:U722_19290
ko:K07458	bamf:U722_19410
ko:K06113	bamf:U722_19430
ko:K09683	bamf:U722_19435
ko:K01745	bamf:U722_19440
ko:K01712	bamf:U722_19445
ko:K01468	bamf:U722_19450
ko:K01479	bamf:U722_19455
ko:K00756	bamf:U722_19465
ko:K11535	bamf:U722_19470
ko:K01619	bamf:U722_19475
ko:K05346	bamf:U722_19480
ko:K02016	bamf:U722_19515
ko:K11636	bamf:U722_19525
ko:K11635	bamf:U722_19530
ko:K06606	bamf:U722_19550
ko:K06605	bamf:U722_19555
ko:K00010	bamf:U722_19560
ko:K06610	bamf:U722_19565
ko:K03335	bamf:U722_19570
ko:K03336	bamf:U722_19575
ko:K03338	bamf:U722_19580
ko:K03337	bamf:U722_19585
ko:K00140	bamf:U722_19590
ko:K06608	bamf:U722_19595
ko:K04079	bamf:U722_19610
ko:K07778	bamf:U722_19630
ko:K10255	bamf:U722_19635
ko:K00128	bamf:U722_19650
ko:K03386	bamf:U722_19685
ko:K03387	bamf:U722_19690
ko:K11737	bamf:U722_19695
ko:K04041	bamf:U722_19700
ko:K03518	bamf:U722_19705
ko:K07141	bamf:U722_19720
ko:K00783	bamf:U722_19745
ko:K01476	bamf:U722_19800
ko:K02205	bamf:U722_19805
ko:K00819	bamf:U722_19810
ko:K06714	bamf:U722_19815
ko:K02484	bamf:U722_19845
ko:K07652	bamf:U722_19880
ko:K07668	bamf:U722_19885
ko:K01939	bamf:U722_19915
ko:K02939	bamf:U722_19980
ko:K06329	bamf:U722_20005
ko:K15986	bamf:U722_20015
ko:K00692	bamf:U722_20025
ko:K08987	bamf:U722_20050
ko:K01607	bamf:U722_20085
ko:K00019	bamf:U722_20095
ko:K01118	bamf:U722_20110
ko:K06888	bamf:U722_20140
ko:K07052	bamf:U722_20145
ko:K08369	bamf:U722_20150
ko:K01759	bamf:U722_20155
ko:K01142	bamf:U722_20165
ko:K13531	bamf:U722_20170
ko:K13530	bamf:U722_20175
ko:K02963	bamf:U722_20180
ko:K02990	bamf:U722_20190
ko:K06942	bamf:U722_20195
ko:K03501	bamf:U722_20240
ko:K03495	bamf:U722_20245
ko:K03650	bamf:U722_20250
ko:K06346	bamf:U722_20255
ko:K03217	bamf:U722_20260
ko:K03536	bamf:U722_20265
ko:K02530	bamf:U722_06330
ko:K07507	bamf:U722_06345
ko:K00123	bamf:U722_06365
ko:K01719	bamf:U722_06390
ko:K02069	bamf:U722_06395
ko:K02068	bamf:U722_06400
ko:K03885	bamf:U722_06425
ko:K01812	bamf:U722_06430
ko:K03292	bamf:U722_06435
ko:K02529	bamf:U722_06440
ko:K00041	bamf:U722_06445
ko:K01685	bamf:U722_06450
ko:K01992	bamf:U722_06470
ko:K07691	bamf:U722_06485
ko:K07090	bamf:U722_06520
ko:K06359	bamf:U722_06530
ko:K03088	bamf:U722_06600
ko:K06388	bamf:U722_06765
ko:K03306	bamf:U722_06770
ko:K07220	bamf:U722_06775
ko:K03294	bamf:U722_06785
ko:K15975	bamf:U722_06790
ko:K16203	bamf:U722_06820
ko:K16200	bamf:U722_06825
ko:K16201	bamf:U722_06830
ko:K16202	bamf:U722_06835
ko:K16199	bamf:U722_06840
ko:K01297	bamf:U722_06845
ko:K07404	bamf:U722_06865
ko:K01433	bamf:U722_06900
ko:K00931	bamf:U722_06905
ko:K00147	bamf:U722_06910
ko:K15555	bamf:U722_04580
ko:K15553	bamf:U722_04585
ko:K15554	bamf:U722_04590
ko:K04091	bamf:U722_04595
ko:K02954	bamf:U722_04605
ko:K03216	bamf:U722_04640
ko:K07180	bamf:U722_04665
ko:K09786	bamf:U722_04670
ko:K03809	bamf:U722_04690
ko:K01990	bamf:U722_04710
ko:K03704	bamf:U722_04725
ko:K02073	bamf:U722_04730
ko:K06956	bamf:U722_04740
ko:K01081	bamf:U722_04765
ko:K07284	bamf:U722_04770
ko:K06180	bamf:U722_04775
ko:K02443	bamf:U722_04805
ko:K02440	bamf:U722_04810
ko:K00864	bamf:U722_04815
ko:K00111	bamf:U722_04820
ko:K01835	bamf:U722_04825
ko:K02480	bamf:U722_04830
ko:K13771	bamf:U722_04860
ko:K01077	bamf:U722_04880
ko:K01647	bamf:U722_04895
ko:K03294	bamf:U722_04905
ko:K03308	bamf:U722_04910
ko:K03088	bamf:U722_04925
ko:K00655	bamf:U722_04930
ko:K11358	bamf:U722_04945
ko:K00646	bamf:U722_04950
ko:K06199	bamf:U722_04960
ko:K06199	bamf:U722_04965
ko:K01126	bamf:U722_04970
ko:K16052	bamf:U722_04980
ko:K12410	bamf:U722_04985
ko:K00824	bamf:U722_04995
ko:K03897	bamf:U722_05090
ko:K03455	bamf:U722_05095
ko:K07228	bamf:U722_05100
ko:K01990	bamf:U722_05120
ko:K01992	bamf:U722_05125
ko:K03698	bamf:U722_05140
ko:K07533	bamf:U722_05150
ko:K09682	bamf:U722_05185
ko:K00831	bamf:U722_05205
ko:K02503	bamf:U722_05210
ko:K01990	bamf:U722_05215
ko:K01992	bamf:U722_05220
ko:K01599	bamf:U722_05250
ko:K01772	bamf:U722_05255
ko:K00231	bamf:U722_05260
ko:K01421	bamf:U722_05270
ko:K00648	bamf:U722_05275
ko:K11102	bamf:U722_05290
ko:K03800	bamf:U722_05305
ko:K01897	bamf:U722_05315
ko:K02016	bamf:U722_05340
ko:K00626	bamf:U722_05350
ko:K03523	bamf:U722_05360
ko:K02250	bamf:U722_05385
ko:K05937	bamf:U722_05395
ko:K03307	bamf:U722_05415
ko:K03100	bamf:U722_05435
ko:K07120	bamf:U722_05455
ko:K16899	bamf:U722_05480
ko:K16898	bamf:U722_05485
ko:K03547	bamf:U722_05490
ko:K06304	bamf:U722_05505
ko:K06303	bamf:U722_05510
ko:K06302	bamf:U722_05515
ko:K06301	bamf:U722_05520
ko:K06300	bamf:U722_05525
ko:K06299	bamf:U722_05530
ko:K01953	bamf:U722_05560
ko:K02291	bamf:U722_05565
ko:K16043	bamf:U722_05590
ko:K09767	bamf:U722_05615
ko:K00243	bamf:U722_05620
ko:K07335	bamf:U722_05625
ko:K06889	bamf:U722_05670
