ko:K00887	saug:SA268_1527
ko:K02500	saug:SA268_2612
ko:K01814	saug:SA268_2613
ko:K02501	saug:SA268_2614
ko:K01693	saug:SA268_2615
ko:K00817	saug:SA268_2616
ko:K00013	saug:SA268_2617
ko:K00765	saug:SA268_2618
ko:K16785	saug:SA268_2622
ko:K16786	saug:SA268_2623
ko:K16787	saug:SA268_2623
ko:K16924	saug:SA268_2624
ko:K02352	saug:SA268_2627
ko:K07146	saug:SA268_2628
ko:K01304	saug:SA268_2629
ko:K10947	saug:SA268_2631
ko:K03319	saug:SA268_2633
ko:K05786	saug:SA268_2634
ko:K07241	saug:SA268_2636
ko:K11631	saug:SA268_2640
ko:K11632	saug:SA268_2641
ko:K03704	saug:SA268_2647
ko:K03497	saug:SA268_2651
ko:K03501	saug:SA268_2652
ko:K16301	saug:SA268_0313
ko:K07243	saug:SA268_0314
ko:K03118	saug:SA268_0315
ko:K03116	saug:SA268_0316
ko:K07729	saug:SA268_0318
ko:K01990	saug:SA268_0320
ko:K00626	saug:SA268_0323
ko:K00549	saug:SA268_0325
ko:K01760	saug:SA268_0327
ko:K01739	saug:SA268_0328
ko:K03497	saug:SA268_0329
ko:K06942	saug:SA268_0332
ko:K02990	saug:SA268_0336
ko:K03111	saug:SA268_0337
ko:K02963	saug:SA268_0338
ko:K01834	saug:SA268_0346
ko:K03387	saug:SA268_0351
ko:K03386	saug:SA268_0352
ko:K06956	saug:SA268_0354
ko:K03816	saug:SA268_0358
ko:K16169	saug:SA268_0359
ko:K00088	saug:SA268_0360
ko:K01951	saug:SA268_0361
ko:K00791	saug:SA268_1195
ko:K03666	saug:SA268_1196
ko:K00432	saug:SA268_1197
ko:K03665	saug:SA268_1198
ko:K03713	saug:SA268_1200
ko:K01915	saug:SA268_1201
ko:K01620	saug:SA268_1219
ko:K06131	saug:SA268_1221
ko:K00928	saug:SA268_1226
ko:K00003	saug:SA268_1227
ko:K01733	saug:SA268_1228
ko:K00872	saug:SA268_1229
ko:K03781	saug:SA268_1233
ko:K02913	saug:SA268_1234
ko:K02954	saug:SA268_1235
ko:K00364	saug:SA268_1236
ko:K01356	saug:SA268_1238
ko:K00615	saug:SA268_1241
ko:K09976	saug:SA268_1242
ko:K03547	saug:SA268_1244
ko:K03282	saug:SA268_1246
ko:K05020	saug:SA268_1247
ko:K01681	saug:SA268_1248
ko:K07107	saug:SA268_1249
ko:K08591	saug:SA268_1251
ko:K02622	saug:SA268_1252
ko:K00600	saug:SA268_2026
ko:K01104	saug:SA268_2028
ko:K07566	saug:SA268_2029
ko:K02493	saug:SA268_2030
ko:K02835	saug:SA268_2031
ko:K02909	saug:SA268_2033
ko:K03628	saug:SA268_2034
ko:K00128	saug:SA268_2035
ko:K00790	saug:SA268_2037
ko:K01624	saug:SA268_2038
ko:K01937	saug:SA268_2040
ko:K03048	saug:SA268_2041
ko:K09680	saug:SA268_2043
ko:K07173	saug:SA268_2047
ko:K00756	saug:SA268_2049
ko:K01619	saug:SA268_2051
ko:K03784	saug:SA268_2052
ko:K04047	saug:SA268_2053
ko:K01809	saug:SA268_2057
ko:K16264	saug:SA268_2060
ko:K02013	saug:SA268_2065
ko:K00820	saug:SA268_2066
ko:K02799	saug:SA268_2067
ko:K02800	saug:SA268_2067
ko:K02798	saug:SA268_2069
ko:K00009	saug:SA268_2070
ko:K03431	saug:SA268_2072
ko:K18672	saug:SA268_2074
ko:K01476	saug:SA268_2075
ko:K02851	saug:SA268_0698
ko:K02240	saug:SA268_0701
ko:K02242	saug:SA268_0702
ko:K03070	saug:SA268_0704
ko:K02836	saug:SA268_0705
ko:K07023	saug:SA268_0707
ko:K03702	saug:SA268_0709
ko:K03701	saug:SA268_0710
ko:K06023	saug:SA268_0711
ko:K13292	saug:SA268_0712
ko:K00384	saug:SA268_0715
ko:K09762	saug:SA268_0718
ko:K09762	saug:SA268_0719
ko:K01358	saug:SA268_0720
ko:K07071	saug:SA268_0722
ko:K05311	saug:SA268_0725
ko:K00134	saug:SA268_0726
ko:K00927	saug:SA268_0727
ko:K01803	saug:SA268_0728
ko:K15633	saug:SA268_0729
ko:K01689	saug:SA268_0730
ko:K03075	saug:SA268_0732
ko:K03928	saug:SA268_0733
ko:K12573	saug:SA268_0734
ko:K03664	saug:SA268_0735
ko:K14201	saug:SA268_0740
ko:K03704	saug:SA268_0745
ko:K03581	saug:SA268_1576
ko:K00566	saug:SA268_1578
ko:K04487	saug:SA268_1579
ko:K17472	saug:SA268_1583
ko:K07478	saug:SA268_1584
ko:K01876	saug:SA268_1586
ko:K01892	saug:SA268_1587
ko:K01448	saug:SA268_1588
ko:K07560	saug:SA268_1589
ko:K00951	saug:SA268_1590
ko:K00759	saug:SA268_1591
ko:K07462	saug:SA268_1592
ko:K12257	saug:SA268_1593
ko:K03210	saug:SA268_1594
ko:K00773	saug:SA268_1595
ko:K07568	saug:SA268_1596
ko:K03551	saug:SA268_1597
ko:K03550	saug:SA268_1598
ko:K06209	saug:SA268_1599
ko:K03979	saug:SA268_1600
ko:K02899	saug:SA268_1601
ko:K07584	saug:SA268_1602
ko:K02888	saug:SA268_1603
ko:K03571	saug:SA268_1604
ko:K03570	saug:SA268_1605
ko:K03570	saug:SA268_1606
ko:K03630	saug:SA268_1609
ko:K02236	saug:SA268_1610
ko:K11754	saug:SA268_1611
ko:K01873	saug:SA268_1612
ko:K01246	saug:SA268_1613
ko:K07120	saug:SA268_1614
ko:K01845	saug:SA268_1616
ko:K01698	saug:SA268_1617
ko:K01719	saug:SA268_1618
ko:K01749	saug:SA268_1619
ko:K02497	saug:SA268_1620
ko:K02492	saug:SA268_1621
ko:K03978	saug:SA268_1622
ko:K03544	saug:SA268_1623
ko:K03545	saug:SA268_1624
ko:K02887	saug:SA268_1627
ko:K02916	saug:SA268_1628
ko:K03574	saug:SA268_2396
ko:K01835	saug:SA268_2398
ko:K14195	saug:SA268_2403
ko:K14195	saug:SA268_2404
ko:K14195	saug:SA268_2405
ko:K14195	saug:SA268_2406
ko:K00963	saug:SA268_2409
ko:K13733	saug:SA268_2410
ko:K13732	saug:SA268_2411
ko:K03299	saug:SA268_2412
ko:K00851	saug:SA268_2413
ko:K11476	saug:SA268_2414
ko:K07816	saug:SA268_2416
ko:K03535	saug:SA268_2419
ko:K01990	saug:SA268_2421
ko:K06889	saug:SA268_2423
ko:K06889	saug:SA268_2425
ko:K04041	saug:SA268_2429
ko:K06999	saug:SA268_2431
ko:K15975	saug:SA268_2432
ko:K15973	saug:SA268_2433
ko:K06975	saug:SA268_2434
ko:K07491	saug:SA268_2435
ko:K07104	saug:SA268_2436
ko:K03778	saug:SA268_2438
ko:K07516	saug:SA268_0201
ko:K00252	saug:SA268_0202
ko:K01897	saug:SA268_0203
ko:K02035	saug:SA268_0206
ko:K05916	saug:SA268_0209
ko:K00016	saug:SA268_0210
ko:K02773	saug:SA268_0215
ko:K02774	saug:SA268_0216
ko:K02775	saug:SA268_0217
ko:K00008	saug:SA268_0218
ko:K00008	saug:SA268_0220
ko:K05352	saug:SA268_0222
ko:K07322	saug:SA268_0229
ko:K07704	saug:SA268_0230
ko:K07705	saug:SA268_0231
ko:K03709	saug:SA268_0588
ko:K05946	saug:SA268_0590
ko:K09693	saug:SA268_0591
ko:K09692	saug:SA268_0592
ko:K07258	saug:SA268_0596
ko:K18104	saug:SA268_0597
ko:K16323	saug:SA268_0598
ko:K02013	saug:SA268_0600
ko:K02015	saug:SA268_0601
ko:K02015	saug:SA268_0602
ko:K05878	saug:SA268_0603
ko:K05879	saug:SA268_0604
ko:K19078	saug:SA268_0612
ko:K19077	saug:SA268_0613
ko:K19079	saug:SA268_0614
ko:K19080	saug:SA268_0615
ko:K07220	saug:SA268_0616
ko:K03306	saug:SA268_0617
ko:K06890	saug:SA268_0619
ko:K09705	saug:SA268_0623
ko:K09145	saug:SA268_0624
ko:K09793	saug:SA268_0627
ko:K06966	saug:SA268_0633
ko:K09768	saug:SA268_0634
ko:K06153	saug:SA268_0636
ko:K16013	saug:SA268_0637
ko:K16012	saug:SA268_0638
ko:K18906	saug:SA268_0639
ko:K09699	saug:SA268_1474
ko:K00167	saug:SA268_1475
ko:K00166	saug:SA268_1476
ko:K00382	saug:SA268_1477
ko:K03631	saug:SA268_1478
ko:K03402	saug:SA268_1479
ko:K13789	saug:SA268_1480
ko:K03602	saug:SA268_1481
ko:K03601	saug:SA268_1482
ko:K03625	saug:SA268_1483
ko:K01961	saug:SA268_1485
ko:K02160	saug:SA268_1486
ko:K02356	saug:SA268_1487
ko:K01262	saug:SA268_1488
ko:K03800	saug:SA268_1491
ko:K00283	saug:SA268_1493
ko:K00282	saug:SA268_1494
ko:K00605	saug:SA268_1495
ko:K00891	saug:SA268_1496
ko:K02246	saug:SA268_1499
ko:K02245	saug:SA268_1500
ko:K02244	saug:SA268_1501
ko:K02243	saug:SA268_1502
ko:K00845	saug:SA268_1505
ko:K19225	saug:SA268_1507
ko:K02913	saug:SA268_1509
ko:K12553	saug:SA268_1510
ko:K04564	saug:SA268_1511
ko:K02076	saug:SA268_1512
ko:K09816	saug:SA268_1513
ko:K09817	saug:SA268_1514
ko:K01151	saug:SA268_1515
ko:K18692	saug:SA268_1516
ko:K06967	saug:SA268_1518
ko:K03086	saug:SA268_1519
ko:K09773	saug:SA268_1521
ko:K02809	saug:SA268_2284
ko:K02810	saug:SA268_2284
ko:K11102	saug:SA268_2289
ko:K10850	saug:SA268_2293
ko:K07696	saug:SA268_2297
ko:K07683	saug:SA268_2298
ko:K10851	saug:SA268_2299
ko:K00374	saug:SA268_2300
ko:K00373	saug:SA268_2301
ko:K00371	saug:SA268_2302
ko:K00370	saug:SA268_2303
ko:K02303	saug:SA268_2304
ko:K00363	saug:SA268_2305
ko:K00362	saug:SA268_2306
ko:K09815	saug:SA268_2312
ko:K19158	saug:SA268_2313
ko:K19159	saug:SA268_2314
ko:K10010	saug:SA268_2318
ko:K10009	saug:SA268_2319
ko:K02424	saug:SA268_2320
ko:K18936	saug:SA268_2321
ko:K01834	saug:SA268_2322
ko:K14197	saug:SA268_2324
ko:K00652	saug:SA268_2331
ko:K01012	saug:SA268_2332
ko:K00833	saug:SA268_2333
ko:K01935	saug:SA268_2334
ko:K05338	saug:SA268_0232
ko:K05339	saug:SA268_0233
ko:K03489	saug:SA268_0234
ko:K01223	saug:SA268_0236
ko:K00852	saug:SA268_0238
ko:K06726	saug:SA268_0239
ko:K06216	saug:SA268_0240
ko:K02529	saug:SA268_0241
ko:K01442	saug:SA268_0245
ko:K01990	saug:SA268_0247
ko:K01992	saug:SA268_0248
ko:K01992	saug:SA268_0249
ko:K01870	saug:SA268_1083
ko:K07104	saug:SA268_1084
ko:K03101	saug:SA268_1087
ko:K06180	saug:SA268_1088
ko:K02825	saug:SA268_1089
ko:K02824	saug:SA268_1090
ko:K00609	saug:SA268_1091
ko:K01465	saug:SA268_1092
ko:K01956	saug:SA268_1093
ko:K01955	saug:SA268_1094
ko:K01591	saug:SA268_1095
ko:K00762	saug:SA268_1096
ko:K00942	saug:SA268_1101
ko:K03060	saug:SA268_1102
ko:K13038	saug:SA268_1103
ko:K04066	saug:SA268_1104
ko:K01462	saug:SA268_1107
ko:K00604	saug:SA268_1108
ko:K03500	saug:SA268_1109
ko:K06941	saug:SA268_1110
ko:K06949	saug:SA268_1113
ko:K01783	saug:SA268_1114
ko:K00949	saug:SA268_1115
ko:K02902	saug:SA268_1116
ko:K07030	saug:SA268_1118
ko:K03655	saug:SA268_1119
ko:K03621	saug:SA268_1121
ko:K00645	saug:SA268_1122
ko:K00059	saug:SA268_1123
ko:K02078	saug:SA268_1124
ko:K03685	saug:SA268_1125
ko:K03529	saug:SA268_1126
ko:K03110	saug:SA268_1127
ko:K09787	saug:SA268_1128
ko:K03106	saug:SA268_1129
ko:K02959	saug:SA268_1130
ko:K02860	saug:SA268_1131
ko:K00554	saug:SA268_1132
ko:K02884	saug:SA268_1133
ko:K14540	saug:SA268_1135
ko:K03470	saug:SA268_1136
ko:K01903	saug:SA268_1137
ko:K01992	saug:SA268_1927
ko:K01990	saug:SA268_1928
ko:K01990	saug:SA268_1930
ko:K07979	saug:SA268_1931
ko:K01114	saug:SA268_1935
ko:K01439	saug:SA268_1938
ko:K03498	saug:SA268_1939
ko:K04077	saug:SA268_1940
ko:K04078	saug:SA268_1941
ko:K07052	saug:SA268_1942
ko:K07078	saug:SA268_1944
ko:K11039	saug:SA268_1946
ko:K07813	saug:SA268_1947
ko:K07800	saug:SA268_1948
ko:K07706	saug:SA268_1949
ko:K07707	saug:SA268_1950
ko:K00847	saug:SA268_1951
ko:K01193	saug:SA268_1952
ko:K03484	saug:SA268_1953
ko:K03320	saug:SA268_1954
ko:K07112	saug:SA268_1956
ko:K01926	saug:SA268_1957
ko:K06158	saug:SA268_1958
ko:K01409	saug:SA268_1961
ko:K03789	saug:SA268_1962
ko:K06925	saug:SA268_1964
ko:K01687	saug:SA268_1965
ko:K01652	saug:SA268_1966
ko:K01653	saug:SA268_1967
ko:K00053	saug:SA268_1968
ko:K01649	saug:SA268_1969
ko:K00052	saug:SA268_1970
ko:K01703	saug:SA268_1971
ko:K01704	saug:SA268_1972
ko:K01754	saug:SA268_1973
ko:K06215	saug:SA268_0471
ko:K08681	saug:SA268_0472
ko:K11535	saug:SA268_0473
ko:K03708	saug:SA268_0474
ko:K03696	saug:SA268_0477
ko:K04485	saug:SA268_0478
ko:K09698	saug:SA268_0480
ko:K00640	saug:SA268_0481
ko:K01883	saug:SA268_0482
ko:K11145	saug:SA268_0483
ko:K03218	saug:SA268_0484
ko:K06962	saug:SA268_0485
ko:K03091	saug:SA268_0486
ko:K02913	saug:SA268_0487
ko:K03073	saug:SA268_0488
ko:K02601	saug:SA268_0489
ko:K02867	saug:SA268_0490
ko:K02863	saug:SA268_0491
ko:K02864	saug:SA268_0492
ko:K02935	saug:SA268_0493
ko:K03043	saug:SA268_0495
ko:K03046	saug:SA268_0496
ko:K07590	saug:SA268_0497
ko:K02950	saug:SA268_0498
ko:K02992	saug:SA268_0499
ko:K02355	saug:SA268_0500
ko:K02358	saug:SA268_0501
ko:K00639	saug:SA268_0503
ko:K05523	saug:SA268_0504
ko:K00853	saug:SA268_0505
ko:K00826	saug:SA268_0507
ko:K01091	saug:SA268_0508
ko:K15519	saug:SA268_0509
ko:K15518	saug:SA268_0510
ko:K11991	saug:SA268_0511
ko:K14194	saug:SA268_0514
ko:K14194	saug:SA268_0515
ko:K14194	saug:SA268_0516
ko:K00712	saug:SA268_0517
ko:K00712	saug:SA268_0518
ko:K09007	saug:SA268_0520
ko:K02564	saug:SA268_0523
ko:K08093	saug:SA268_0524
ko:K08094	saug:SA268_0525
ko:K01735	saug:SA268_1359
ko:K01736	saug:SA268_1360
ko:K00940	saug:SA268_1362
ko:K00805	saug:SA268_1363
ko:K03183	saug:SA268_1364
ko:K03530	saug:SA268_1366
ko:K00057	saug:SA268_1367
ko:K03977	saug:SA268_1368
ko:K02945	saug:SA268_1369
ko:K00945	saug:SA268_1370
ko:K01424	saug:SA268_1371
ko:K03654	saug:SA268_1375
ko:K05337	saug:SA268_1377
ko:K03637	saug:SA268_2175
ko:K03638	saug:SA268_2176
ko:K02017	saug:SA268_2178
ko:K02018	saug:SA268_2179
ko:K02020	saug:SA268_2180
ko:K02379	saug:SA268_2181
ko:K03523	saug:SA268_2183
ko:K01239	saug:SA268_2184
ko:K02016	saug:SA268_2186
ko:K08717	saug:SA268_2188
ko:K01430	saug:SA268_2189
ko:K01429	saug:SA268_2190
ko:K01428	saug:SA268_2191
ko:K03187	saug:SA268_2192
ko:K03188	saug:SA268_2193
ko:K03189	saug:SA268_2194
ko:K03190	saug:SA268_2195
ko:K03315	saug:SA268_2201
ko:K04940	saug:SA268_2202
ko:K09940	saug:SA268_2203
ko:K00123	saug:SA268_2211
ko:K07052	saug:SA268_2215
ko:K03453	saug:SA268_2223
ko:K02749	saug:SA268_2225
ko:K02750	saug:SA268_2225
ko:K02749	saug:SA268_2226
ko:K02750	saug:SA268_2226
ko:K03481	saug:SA268_2227
ko:K02015	saug:SA268_0092
ko:K02015	saug:SA268_0093
ko:K02016	saug:SA268_0094
ko:K01586	saug:SA268_0102
ko:K03366	saug:SA268_0106
ko:K01784	saug:SA268_0107
ko:K04564	saug:SA268_0112
ko:K03784	saug:SA268_0115
ko:K08168	saug:SA268_0116
ko:K01619	saug:SA268_0117
ko:K01839	saug:SA268_0118
ko:K02042	saug:SA268_0119
ko:K02042	saug:SA268_0120
ko:K02041	saug:SA268_0121
ko:K02044	saug:SA268_0122
ko:K04072	saug:SA268_0127
ko:K01104	saug:SA268_0130
ko:K17716	saug:SA268_0132
ko:K19068	saug:SA268_0133
ko:K01791	saug:SA268_0134
ko:K13012	saug:SA268_0140
ko:K01784	saug:SA268_0141
ko:K02472	saug:SA268_0142
ko:K01791	saug:SA268_0143
ko:K07145	saug:SA268_0144
ko:K09790	saug:SA268_0145
ko:K08483	saug:SA268_0972
ko:K00425	saug:SA268_0974
ko:K00426	saug:SA268_0975
ko:K03499	saug:SA268_0976
ko:K12574	saug:SA268_0977
ko:K01462	saug:SA268_0979
ko:K00161	saug:SA268_0981
ko:K00162	saug:SA268_0982
ko:K00627	saug:SA268_0983
ko:K00382	saug:SA268_0984
ko:K11072	saug:SA268_0987
ko:K11071	saug:SA268_0988
ko:K11070	saug:SA268_0989
ko:K11069	saug:SA268_0990
ko:K03322	saug:SA268_0993
ko:K01092	saug:SA268_0995
ko:K06207	saug:SA268_0997
ko:K03588	saug:SA268_1001
ko:K01958	saug:SA268_1002
ko:K02259	saug:SA268_1003
ko:K08976	saug:SA268_1005
ko:K01126	saug:SA268_1008
ko:K00954	saug:SA268_1012
ko:K07040	saug:SA268_1014
ko:K02911	saug:SA268_1015
ko:K14193	saug:SA268_1017
ko:K02016	saug:SA268_1021
ko:K02015	saug:SA268_1022
ko:K08600	saug:SA268_1023
ko:K07145	saug:SA268_1024
ko:K03437	saug:SA268_1025
ko:K01889	saug:SA268_1026
ko:K06180	saug:SA268_1847
ko:K01679	saug:SA268_1848
ko:K03216	saug:SA268_1852
ko:K18979	saug:SA268_1853
ko:K02028	saug:SA268_1854
ko:K02029	saug:SA268_1855
ko:K02030	saug:SA268_1855
ko:K07035	saug:SA268_1856
ko:K09825	saug:SA268_1857
ko:K03564	saug:SA268_1859
ko:K01845	saug:SA268_1860
ko:K11085	saug:SA268_1862
ko:K07586	saug:SA268_1863
ko:K03575	saug:SA268_1864
ko:K07038	saug:SA268_1865
ko:K09692	saug:SA268_1866
ko:K09693	saug:SA268_1867
ko:K03495	saug:SA268_2653
ko:K03650	saug:SA268_2654
ko:K03536	saug:SA268_2655
ko:K02914	saug:SA268_2656
ko:K08987	saug:SA268_0371
ko:K11042	saug:SA268_0373
ko:K07491	saug:SA268_0374
ko:K03427	saug:SA268_0383
ko:K01154	saug:SA268_0384
ko:K05577	saug:SA268_0403
ko:K09822	saug:SA268_0404
ko:K03928	saug:SA268_0408
ko:K03308	saug:SA268_0410
ko:K17216	saug:SA268_0411
ko:K17217	saug:SA268_0412
ko:K02071	saug:SA268_0413
ko:K02072	saug:SA268_0414
ko:K02073	saug:SA268_0415
ko:K00265	saug:SA268_0423
ko:K00266	saug:SA268_0424
ko:K02818	saug:SA268_0425
ko:K02819	saug:SA268_0425
ko:K01226	saug:SA268_0426
ko:K03486	saug:SA268_0427
ko:K02621	saug:SA268_1253
ko:K03310	saug:SA268_1254
ko:K03480	saug:SA268_1255
ko:K14205	saug:SA268_1257
ko:K07304	saug:SA268_1258
ko:K01821	saug:SA268_1260
ko:K03502	saug:SA268_1261
ko:K04517	saug:SA268_1262
ko:K01657	saug:SA268_1264
ko:K01658	saug:SA268_1265
ko:K00766	saug:SA268_1266
ko:K01609	saug:SA268_1267
ko:K01817	saug:SA268_1268
ko:K01696	saug:SA268_1269
ko:K01695	saug:SA268_1270
ko:K11694	saug:SA268_1271
ko:K11695	saug:SA268_1272
ko:K02034	saug:SA268_1277
ko:K02033	saug:SA268_1278
ko:K02039	saug:SA268_1281
ko:K02036	saug:SA268_1282
ko:K02038	saug:SA268_1283
ko:K02037	saug:SA268_1284
ko:K02040	saug:SA268_1285
ko:K00243	saug:SA268_1286
ko:K00928	saug:SA268_1288
ko:K00133	saug:SA268_1289
ko:K01714	saug:SA268_1290
ko:K00215	saug:SA268_1291
ko:K05822	saug:SA268_1292
ko:K01775	saug:SA268_1294
ko:K01586	saug:SA268_1295
ko:K07734	saug:SA268_1296
ko:K03704	saug:SA268_1298
ko:K01512	saug:SA268_1300
ko:K03311	saug:SA268_1303
ko:K03593	saug:SA268_2076
ko:K18934	saug:SA268_2077
ko:K18935	saug:SA268_2079
ko:K11068	saug:SA268_2080
ko:K07038	saug:SA268_2082
ko:K02015	saug:SA268_2085
ko:K02015	saug:SA268_2086
ko:K02016	saug:SA268_2087
ko:K01220	saug:SA268_2099
ko:K02787	saug:SA268_2100
ko:K02788	saug:SA268_2100
ko:K02786	saug:SA268_2101
ko:K01635	saug:SA268_2102
ko:K00917	saug:SA268_2103
ko:K01819	saug:SA268_2104
ko:K01819	saug:SA268_2105
ko:K02530	saug:SA268_2106
ko:K12410	saug:SA268_2107
ko:K01727	saug:SA268_2111
ko:K01575	saug:SA268_2115
ko:K01652	saug:SA268_2116
ko:K03655	saug:SA268_2118
ko:K02996	saug:SA268_2119
ko:K02871	saug:SA268_2120
ko:K06173	saug:SA268_2121
ko:K16785	saug:SA268_2122
ko:K16787	saug:SA268_2123
ko:K06895	saug:SA268_0753
ko:K03785	saug:SA268_0756
ko:K02437	saug:SA268_0760
ko:K07476	saug:SA268_0763
ko:K02071	saug:SA268_0765
ko:K02072	saug:SA268_0766
ko:K02073	saug:SA268_0767
ko:K11040	saug:SA268_0769
ko:K11040	saug:SA268_0770
ko:K11040	saug:SA268_0790
ko:K08974	saug:SA268_0795
ko:K09013	saug:SA268_0796
ko:K09015	saug:SA268_0797
ko:K11717	saug:SA268_0798
ko:K04488	saug:SA268_0799
ko:K09014	saug:SA268_0800
ko:K00459	saug:SA268_0803
ko:K07090	saug:SA268_0805
ko:K03644	saug:SA268_0807
ko:K02520	saug:SA268_1629
ko:K11733	saug:SA268_1630
ko:K01868	saug:SA268_1631
ko:K11144	saug:SA268_1632
ko:K03346	saug:SA268_1633
ko:K07738	saug:SA268_1634
ko:K00134	saug:SA268_1635
ko:K00859	saug:SA268_1636
ko:K10563	saug:SA268_1637
ko:K07636	saug:SA268_1640
ko:K07658	saug:SA268_1641
ko:K00031	saug:SA268_1642
ko:K01647	saug:SA268_1643
ko:K11737	saug:SA268_1644
ko:K00873	saug:SA268_1645
ko:K00850	saug:SA268_1646
ko:K01962	saug:SA268_1647
ko:K01963	saug:SA268_1648
ko:K00027	saug:SA268_1649
ko:K02337	saug:SA268_1650
ko:K00259	saug:SA268_1657
ko:K00925	saug:SA268_1659
ko:K11065	saug:SA268_1661
ko:K07090	saug:SA268_1662
ko:K03151	saug:SA268_1663
ko:K04487	saug:SA268_1664
ko:K06286	saug:SA268_1665
ko:K02986	saug:SA268_1667
ko:K01126	saug:SA268_1668
ko:K00058	saug:SA268_1671
ko:K02803	saug:SA268_1675
ko:K02804	saug:SA268_1675
ko:K00655	saug:SA268_1676
ko:K01866	saug:SA268_1678
ko:K12551	saug:SA268_1679
ko:K16917	saug:SA268_2440
ko:K16916	saug:SA268_2441
ko:K07284	saug:SA268_2442
ko:K03823	saug:SA268_2443
ko:K01752	saug:SA268_2444
ko:K01752	saug:SA268_2445
ko:K07107	saug:SA268_2451
ko:K00158	saug:SA268_2453
ko:K06518	saug:SA268_2455
ko:K00054	saug:SA268_2459
ko:K01641	saug:SA268_2460
ko:K11040	saug:SA268_2461
ko:K00567	saug:SA268_2462
ko:K04086	saug:SA268_2463
ko:K04759	saug:SA268_2465
ko:K04758	saug:SA268_2466
ko:K06994	saug:SA268_2467
ko:K00294	saug:SA268_2470
ko:K17686	saug:SA268_2473
ko:K07213	saug:SA268_2474
ko:K03778	saug:SA268_2475
ko:K10209	saug:SA268_2477
ko:K10208	saug:SA268_2478
ko:K10211	saug:SA268_2479
ko:K10210	saug:SA268_2480
ko:K10212	saug:SA268_2481
ko:K07035	saug:SA268_2486
ko:K07032	saug:SA268_2491
ko:K02313	saug:SA268_0001
ko:K02338	saug:SA268_0002
ko:K07491	saug:SA268_0003
ko:K03629	saug:SA268_0005
ko:K02470	saug:SA268_0006
ko:K02469	saug:SA268_0007
ko:K01745	saug:SA268_0009
ko:K01875	saug:SA268_0010
ko:K00641	saug:SA268_0013
ko:K02939	saug:SA268_0016
ko:K01939	saug:SA268_0018
ko:K07668	saug:SA268_0019
ko:K07652	saug:SA268_0020
ko:K00783	saug:SA268_0026
ko:K09968	saug:SA268_0028
ko:K00648	saug:SA268_0867
ko:K09458	saug:SA268_0868
ko:K15581	saug:SA268_0870
ko:K15582	saug:SA268_0871
ko:K15583	saug:SA268_0872
ko:K10823	saug:SA268_0873
ko:K15580	saug:SA268_0874
ko:K02035	saug:SA268_0875
ko:K02033	saug:SA268_0878
ko:K02034	saug:SA268_0879
ko:K01867	saug:SA268_0881
ko:K16509	saug:SA268_0882
ko:K16511	saug:SA268_0883
ko:K06198	saug:SA268_0884
ko:K08602	saug:SA268_0885
ko:K06886	saug:SA268_0887
ko:K07816	saug:SA268_0890
ko:K00858	saug:SA268_0891
ko:K06180	saug:SA268_0892
ko:K06213	saug:SA268_0893
ko:K03455	saug:SA268_0894
ko:K00208	saug:SA268_0895
ko:K03310	saug:SA268_0897
