ko:K19416	amal:I607_10355
ko:K02992	amal:I607_17465
ko:K02950	amal:I607_17470
ko:K03046	amal:I607_17475
ko:K03043	amal:I607_17480
ko:K02935	amal:I607_17485
ko:K02864	amal:I607_17490
ko:K02863	amal:I607_17495
ko:K02867	amal:I607_17500
ko:K02601	amal:I607_17525
ko:K03073	amal:I607_17530
ko:K09964	amal:I607_17550
ko:K05591	amal:I607_17555
ko:K01465	amal:I607_17560
ko:K03098	amal:I607_17565
ko:K08484	amal:I607_02960
ko:K13292	amal:I607_02970
ko:K08218	amal:I607_02990
ko:K03580	amal:I607_03010
ko:K07175	amal:I607_03025
ko:K02302	amal:I607_03035
ko:K05592	amal:I607_03040
ko:K03531	amal:I607_07185
ko:K07302	amal:I607_07230
ko:K07127	amal:I607_07255
ko:K16840	amal:I607_07260
ko:K07402	amal:I607_07265
ko:K13482	amal:I607_07270
ko:K13481	amal:I607_07275
ko:K06901	amal:I607_07300
ko:K16345	amal:I607_07345
ko:K02083	amal:I607_07355
ko:K01868	amal:I607_07420
ko:K02520	amal:I607_07425
ko:K02916	amal:I607_07430
ko:K02887	amal:I607_07435
ko:K09897	amal:I607_11300
ko:K09916	amal:I607_11400
ko:K03310	amal:I607_11415
ko:K00134	amal:I607_11425
ko:K00705	amal:I607_11455
ko:K00134	amal:I607_11460
ko:K01792	amal:I607_11465
ko:K01625	amal:I607_11470
ko:K01690	amal:I607_11480
ko:K01057	amal:I607_11485
ko:K00036	amal:I607_11490
ko:K00873	amal:I607_11500
ko:K07552	amal:I607_04210
ko:K05590	amal:I607_04295
ko:K02451	amal:I607_04310
ko:K01704	amal:I607_04320
ko:K01703	amal:I607_04325
ko:K00052	amal:I607_04330
ko:K01649	amal:I607_04335
ko:K01689	amal:I607_04345
ko:K01937	amal:I607_04350
ko:K03555	amal:I607_04355
ko:K04061	amal:I607_04380
ko:K02194	amal:I607_04395
ko:K02195	amal:I607_04400
ko:K02196	amal:I607_04405
ko:K02197	amal:I607_04410
ko:K02198	amal:I607_04415
ko:K02199	amal:I607_04420
ko:K04754	amal:I607_04435
ko:K03305	amal:I607_04450
ko:K10107	amal:I607_04455
ko:K06134	amal:I607_08285
ko:K05777	amal:I607_08335
ko:K05778	amal:I607_08340
ko:K05779	amal:I607_08345
ko:K03664	amal:I607_08405
ko:K09801	amal:I607_08415
ko:K02168	amal:I607_08425
ko:K09773	amal:I607_08445
ko:K07303	amal:I607_08460
ko:K07302	amal:I607_08465
ko:K01756	amal:I607_08500
ko:K07153	amal:I607_08505
ko:K00566	amal:I607_08510
ko:K06181	amal:I607_08515
ko:K00031	amal:I607_08520
ko:K03704	amal:I607_08525
ko:K06891	amal:I607_08530
ko:K03694	amal:I607_08535
ko:K02518	amal:I607_08540
ko:K07136	amal:I607_12370
ko:K04079	amal:I607_12380
ko:K06187	amal:I607_12385
ko:K09747	amal:I607_12400
ko:K02343	amal:I607_12405
ko:K00759	amal:I607_12410
ko:K09929	amal:I607_12415
ko:K09930	amal:I607_12420
ko:K03777	amal:I607_12460
ko:K03695	amal:I607_12465
ko:K05810	amal:I607_12470
ko:K06180	amal:I607_12475
ko:K05807	amal:I607_12480
ko:K03088	amal:I607_12490
ko:K07157	amal:I607_12495
ko:K09701	amal:I607_12515
ko:K00574	amal:I607_12520
ko:K02557	amal:I607_12525
ko:K02556	amal:I607_12530
ko:K03602	amal:I607_12535
ko:K00795	amal:I607_12540
ko:K01662	amal:I607_12545
ko:K01095	amal:I607_12550
ko:K00946	amal:I607_12555
ko:K03625	amal:I607_12560
ko:K00794	amal:I607_12565
ko:K14652	amal:I607_12570
ko:K00793	amal:I607_12575
ko:K11752	amal:I607_12580
ko:K09190	amal:I607_11550
ko:K05970	amal:I607_15375
ko:K08323	amal:I607_15380
ko:K01235	amal:I607_15385
ko:K01198	amal:I607_15390
ko:K01209	amal:I607_15390
ko:K07226	amal:I607_15445
ko:K02013	amal:I607_15450
ko:K02015	amal:I607_15455
ko:K02016	amal:I607_15460
ko:K16089	amal:I607_15470
ko:K02440	amal:I607_15480
ko:K03324	amal:I607_15520
ko:K01251	amal:I607_15535
ko:K06136	amal:I607_15605
ko:K06137	amal:I607_15610
ko:K01495	amal:I607_17600
ko:K13938	amal:I607_17605
ko:K12251	amal:I607_17615
ko:K06953	amal:I607_17620
ko:K03724	amal:I607_17625
ko:K02356	amal:I607_17640
ko:K00847	amal:I607_17645
ko:K01652	amal:I607_17695
ko:K01772	amal:I607_17705
ko:K04087	amal:I607_17715
ko:K04088	amal:I607_17720
ko:K03665	amal:I607_17725
ko:K03666	amal:I607_17730
ko:K00791	amal:I607_17735
ko:K03572	amal:I607_17740
ko:K01448	amal:I607_17745
ko:K06925	amal:I607_17750
ko:K01599	amal:I607_17770
ko:K03426	amal:I607_17775
ko:K07740	amal:I607_17780
ko:K09823	amal:I607_17785
ko:K03088	amal:I607_17820
ko:K02939	amal:I607_17840
ko:K02963	amal:I607_17845
ko:K02990	amal:I607_17850
ko:K09918	amal:I607_17860
ko:K02003	amal:I607_17865
ko:K08714	amal:I607_03050
ko:K12340	amal:I607_03060
ko:K09920	amal:I607_03070
ko:K03651	amal:I607_03075
ko:K07000	amal:I607_03080
ko:K02622	amal:I607_03085
ko:K02356	amal:I607_03125
ko:K04568	amal:I607_03130
ko:K07738	amal:I607_12585
ko:K00600	amal:I607_12590
ko:K02536	amal:I607_12595
ko:K04485	amal:I607_12610
ko:K03773	amal:I607_16420
ko:K01595	amal:I607_16425
ko:K03782	amal:I607_16430
ko:K00024	amal:I607_16440
ko:K03402	amal:I607_16445
ko:K00876	amal:I607_16470
ko:K14393	amal:I607_16510
ko:K06987	amal:I607_16535
ko:K01895	amal:I607_16555
ko:K07093	amal:I607_16585
ko:K03525	amal:I607_16595
ko:K03524	amal:I607_16600
ko:K00075	amal:I607_16605
ko:K03717	amal:I607_16635
ko:K00012	amal:I607_16655
ko:K00067	amal:I607_16670
ko:K01790	amal:I607_16675
ko:K00973	amal:I607_16680
ko:K03327	amal:I607_18715
ko:K07152	amal:I607_18730
ko:K02259	amal:I607_18740
ko:K02276	amal:I607_18760
ko:K02275	amal:I607_18775
ko:K01356	amal:I607_18780
ko:K00631	amal:I607_18790
ko:K01754	amal:I607_18795
ko:K01687	amal:I607_18800
ko:K07391	amal:I607_18815
ko:K02521	amal:I607_18820
ko:K00053	amal:I607_18825
ko:K07552	amal:I607_18830
ko:K07278	amal:I607_18840
ko:K09800	amal:I607_18845
ko:K03088	amal:I607_18855
ko:K07107	amal:I607_18875
ko:K00931	amal:I607_18880
ko:K09986	amal:I607_18915
ko:K00762	amal:I607_18950
ko:K00989	amal:I607_18955
ko:K07154	amal:I607_18975
ko:K09689	amal:I607_04460
ko:K01273	amal:I607_03155
ko:K05527	amal:I607_03175
ko:K09962	amal:I607_03185
ko:K03321	amal:I607_03205
ko:K00362	amal:I607_03210
ko:K00363	amal:I607_03215
ko:K00372	amal:I607_03220
ko:K07023	amal:I607_03260
ko:K03673	amal:I607_03265
ko:K16092	amal:I607_03270
ko:K00790	amal:I607_07535
ko:K00075	amal:I607_07540
ko:K16703	amal:I607_07545
ko:K01889	amal:I607_07580
ko:K01890	amal:I607_07585
ko:K04764	amal:I607_07590
ko:K01434	amal:I607_07605
ko:K01207	amal:I607_07610
ko:K03723	amal:I607_07625
ko:K09808	amal:I607_07635
ko:K07101	amal:I607_07640
ko:K01142	amal:I607_07660
ko:K02426	amal:I607_07675
ko:K00975	amal:I607_07705
ko:K01640	amal:I607_07730
ko:K09967	amal:I607_11555
ko:K07093	amal:I607_11565
ko:K01815	amal:I607_11585
ko:K02529	amal:I607_11605
ko:K01685	amal:I607_11610
ko:K01812	amal:I607_11615
ko:K00874	amal:I607_11630
ko:K15532	amal:I607_11650
ko:K01051	amal:I607_11660
ko:K08325	amal:I607_11705
ko:K14445	amal:I607_11735
ko:K01494	amal:I607_11740
ko:K01874	amal:I607_11750
ko:K08307	amal:I607_11770
ko:K01883	amal:I607_11795
ko:K03269	amal:I607_11805
ko:K06139	amal:I607_15620
ko:K07675	amal:I607_15675
ko:K00140	amal:I607_15690
ko:K02168	amal:I607_15700
ko:K03088	amal:I607_15705
ko:K03777	amal:I607_15735
ko:K06214	amal:I607_15745
ko:K04338	amal:I607_15750
ko:K04337	amal:I607_15755
ko:K04335	amal:I607_15765
ko:K11927	amal:I607_15800
ko:K01625	amal:I607_15830
ko:K00874	amal:I607_15835
ko:K00874	amal:I607_15840
ko:K03782	amal:I607_15865
ko:K16264	amal:I607_17895
ko:K03315	amal:I607_17910
ko:K05349	amal:I607_17915
ko:K02429	amal:I607_17920
ko:K02529	amal:I607_17930
ko:K00426	amal:I607_17955
ko:K00425	amal:I607_17960
ko:K15034	amal:I607_18040
ko:K12262	amal:I607_18065
ko:K03885	amal:I607_18075
ko:K06076	amal:I607_18095
ko:K00820	amal:I607_18130
ko:K04042	amal:I607_18145
ko:K00684	amal:I607_08550
ko:K03086	amal:I607_03350
ko:K09117	amal:I607_03360
ko:K02970	amal:I607_03370
ko:K08591	amal:I607_03385
ko:K01633	amal:I607_03390
ko:K00950	amal:I607_03395
ko:K06153	amal:I607_03400
ko:K02503	amal:I607_03405
ko:K05782	amal:I607_03420
ko:K03554	amal:I607_03430
ko:K07636	amal:I607_03445
ko:K02040	amal:I607_03450
ko:K03561	amal:I607_03470
ko:K03561	amal:I607_03475
ko:K03832	amal:I607_03485
ko:K01682	amal:I607_03520
ko:K01682	amal:I607_03550
ko:K09005	amal:I607_03555
ko:K00928	amal:I607_03560
ko:K06195	amal:I607_03575
ko:K02528	amal:I607_03580
ko:K00097	amal:I607_03585
ko:K03771	amal:I607_03590
ko:K04744	amal:I607_03595
ko:K05801	amal:I607_03600
ko:K01968	amal:I607_07735
ko:K13766	amal:I607_07740
ko:K01969	amal:I607_07745
ko:K00253	amal:I607_07750
ko:K01556	amal:I607_07770
ko:K01141	amal:I607_07785
ko:K13051	amal:I607_07795
ko:K01083	amal:I607_07805
ko:K03578	amal:I607_07840
ko:K06969	amal:I607_07855
ko:K09810	amal:I607_07885
ko:K09808	amal:I607_07890
ko:K01484	amal:I607_07905
ko:K03168	amal:I607_07915
ko:K09912	amal:I607_07920
ko:K03752	amal:I607_07940
ko:K02379	amal:I607_07945
ko:K08300	amal:I607_07970
ko:K01091	amal:I607_07980
ko:K07040	amal:I607_07990
ko:K02911	amal:I607_07995
ko:K03621	amal:I607_08000
ko:K00648	amal:I607_08005
ko:K00690	amal:I607_11850
ko:K03781	amal:I607_11865
ko:K06169	amal:I607_11890
ko:K00764	amal:I607_11900
ko:K03558	amal:I607_11905
ko:K03749	amal:I607_11910
ko:K11754	amal:I607_11915
ko:K01963	amal:I607_11920
ko:K06173	amal:I607_11930
ko:K00133	amal:I607_11940
ko:K03473	amal:I607_11945
ko:K15461	amal:I607_11985
ko:K05776	amal:I607_12040
ko:K02106	amal:I607_12045
ko:K09906	amal:I607_12075
ko:K07107	amal:I607_12085
ko:K00817	amal:I607_15905
ko:K03410	amal:I607_15915
ko:K02336	amal:I607_15930
ko:K00322	amal:I607_15965
ko:K00390	amal:I607_15990
ko:K00381	amal:I607_15995
ko:K03969	amal:I607_16025
ko:K05539	amal:I607_16035
ko:K01070	amal:I607_16080
ko:K16053	amal:I607_16095
ko:K03308	amal:I607_16115
ko:K02313	amal:I607_00005
ko:K02338	amal:I607_00010
ko:K03629	amal:I607_00015
ko:K02470	amal:I607_00020
ko:K01879	amal:I607_00030
ko:K01878	amal:I607_00035
ko:K01246	amal:I607_00040
ko:K09894	amal:I607_00050
ko:K03978	amal:I607_00065
ko:K03500	amal:I607_00090
ko:K00604	amal:I607_00095
ko:K01462	amal:I607_00100
ko:K04096	amal:I607_00110
ko:K07479	amal:I607_00120
ko:K07566	amal:I607_00125
ko:K00228	amal:I607_00130
