ko:K01006	lmos:LMOSLCC7179_1840
ko:K04047	lmos:LMOSLCC7179_0923
ko:K03449	lmos:LMOSLCC7179_0927
ko:K01443	lmos:LMOSLCC7179_0936
ko:K03710	lmos:LMOSLCC7179_0938
ko:K08303	lmos:LMOSLCC7179_0941
ko:K03744	lmos:LMOSLCC7179_0942
ko:K03799	lmos:LMOSLCC7179_0943
ko:K00858	lmos:LMOSLCC7179_0948
ko:K06180	lmos:LMOSLCC7179_0949
ko:K00208	lmos:LMOSLCC7179_0950
ko:K03740	lmos:LMOSLCC7179_0951
ko:K14188	lmos:LMOSLCC7179_0952
ko:K03739	lmos:LMOSLCC7179_0953
ko:K03367	lmos:LMOSLCC7179_0954
ko:K01807	lmos:LMOSLCC7179_0956
ko:K00826	lmos:LMOSLCC7179_0959
ko:K05847	lmos:LMOSLCC7179_1400
ko:K01714	lmos:LMOSLCC7179_1407
ko:K00928	lmos:LMOSLCC7179_1408
ko:K00133	lmos:LMOSLCC7179_1409
ko:K04564	lmos:LMOSLCC7179_1411
ko:K09816	lmos:LMOSLCC7179_1418
ko:K09817	lmos:LMOSLCC7179_1419
ko:K01151	lmos:LMOSLCC7179_1421
ko:K03527	lmos:LMOSLCC7179_1423
ko:K06967	lmos:LMOSLCC7179_1425
ko:K03086	lmos:LMOSLCC7179_1426
ko:K09768	lmos:LMOSLCC7179_1428
ko:K09773	lmos:LMOSLCC7179_1429
ko:K01879	lmos:LMOSLCC7179_1430
ko:K01878	lmos:LMOSLCC7179_1431
ko:K03584	lmos:LMOSLCC7179_1432
ko:K07042	lmos:LMOSLCC7179_1437
ko:K07037	lmos:LMOSLCC7179_1438
ko:K09117	lmos:LMOSLCC7179_1441
ko:K02970	lmos:LMOSLCC7179_1442
ko:K09761	lmos:LMOSLCC7179_1443
ko:K02687	lmos:LMOSLCC7179_1444
ko:K03789	lmos:LMOSLCC7179_2048
ko:K06925	lmos:LMOSLCC7179_2050
ko:K06199	lmos:LMOSLCC7179_2054
ko:K06199	lmos:LMOSLCC7179_2055
ko:K01940	lmos:LMOSLCC7179_2063
ko:K01755	lmos:LMOSLCC7179_2064
ko:K01628	lmos:LMOSLCC7179_2067
ko:K02774	lmos:LMOSLCC7179_2070
ko:K07023	lmos:LMOSLCC7179_2402
ko:K02039	lmos:LMOSLCC7179_2405
ko:K02036	lmos:LMOSLCC7179_2406
ko:K02036	lmos:LMOSLCC7179_2407
ko:K02038	lmos:LMOSLCC7179_2408
ko:K02037	lmos:LMOSLCC7179_2409
ko:K02040	lmos:LMOSLCC7179_2410
ko:K07636	lmos:LMOSLCC7179_2411
ko:K06131	lmos:LMOSLCC7179_2414
ko:K09811	lmos:LMOSLCC7179_2417
ko:K09812	lmos:LMOSLCC7179_2418
ko:K02836	lmos:LMOSLCC7179_2420
ko:K03070	lmos:LMOSLCC7179_2422
ko:K03650	lmos:LMOSLCC7179_2781
ko:K08170	lmos:LMOSLCC7179_2788
ko:K00831	lmos:LMOSLCC7179_2795
ko:K07078	lmos:LMOSLCC7179_2799
ko:K00865	lmos:LMOSLCC7179_2802
ko:K03686	lmos:LMOSLCC7179_1445
ko:K04043	lmos:LMOSLCC7179_1446
ko:K03687	lmos:LMOSLCC7179_1447
ko:K03705	lmos:LMOSLCC7179_1448
ko:K03596	lmos:LMOSLCC7179_1452
ko:K02968	lmos:LMOSLCC7179_1453
ko:K02340	lmos:LMOSLCC7179_1454
ko:K02237	lmos:LMOSLCC7179_1457
ko:K09710	lmos:LMOSLCC7179_1459
ko:K00969	lmos:LMOSLCC7179_1461
ko:K07574	lmos:LMOSLCC7179_1462
ko:K00014	lmos:LMOSLCC7179_1463
ko:K07015	lmos:LMOSLCC7179_1465
ko:K03624	lmos:LMOSLCC7179_1469
ko:K00876	lmos:LMOSLCC7179_1470
ko:K07082	lmos:LMOSLCC7179_1472
ko:K07447	lmos:LMOSLCC7179_1475
ko:K01872	lmos:LMOSLCC7179_1477
ko:K02003	lmos:LMOSLCC7179_1478
ko:K03581	lmos:LMOSLCC7179_1482
ko:K00566	lmos:LMOSLCC7179_1485
ko:K04487	lmos:LMOSLCC7179_1486
ko:K07478	lmos:LMOSLCC7179_1487
ko:K03320	lmos:LMOSLCC7179_1489
ko:K04751	lmos:LMOSLCC7179_1490
ko:K02773	lmos:LMOSLCC7179_2071
ko:K06215	lmos:LMOSLCC7179_2074
ko:K08681	lmos:LMOSLCC7179_2075
ko:K04758	lmos:LMOSLCC7179_2079
ko:K04759	lmos:LMOSLCC7179_2080
ko:K01443	lmos:LMOSLCC7179_2084
ko:K01809	lmos:LMOSLCC7179_2086
ko:K02003	lmos:LMOSLCC7179_2090
ko:K05946	lmos:LMOSLCC7179_2433
ko:K02372	lmos:LMOSLCC7179_2436
ko:K03569	lmos:LMOSLCC7179_2437
ko:K00790	lmos:LMOSLCC7179_2438
ko:K02114	lmos:LMOSLCC7179_2440
ko:K02112	lmos:LMOSLCC7179_2441
ko:K02115	lmos:LMOSLCC7179_2442
ko:K02111	lmos:LMOSLCC7179_2443
ko:K02109	lmos:LMOSLCC7179_2445
ko:K02110	lmos:LMOSLCC7179_2446
ko:K02108	lmos:LMOSLCC7179_2447
ko:K03534	lmos:LMOSLCC7179_2815
ko:K00848	lmos:LMOSLCC7179_2818
ko:K03217	lmos:LMOSLCC7179_2823
ko:K03536	lmos:LMOSLCC7179_2824
ko:K02914	lmos:LMOSLCC7179_2825
ko:K00432	lmos:LMOSLCC7179_0964
ko:K02837	lmos:LMOSLCC7179_0969
ko:K05823	lmos:LMOSLCC7179_0993
ko:K02000	lmos:LMOSLCC7179_0995
ko:K02001	lmos:LMOSLCC7179_0996
ko:K02002	lmos:LMOSLCC7179_0997
ko:K00243	lmos:LMOSLCC7179_1000
ko:K11622	lmos:LMOSLCC7179_1001
ko:K02529	lmos:LMOSLCC7179_1011
ko:K00615	lmos:LMOSLCC7179_1013
ko:K00615	lmos:LMOSLCC7179_1014
ko:K00864	lmos:LMOSLCC7179_1015
ko:K03752	lmos:LMOSLCC7179_1019
ko:K02018	lmos:LMOSLCC7179_1021
ko:K02020	lmos:LMOSLCC7179_1022
ko:K03750	lmos:LMOSLCC7179_1023
ko:K03753	lmos:LMOSLCC7179_1024
ko:K03636	lmos:LMOSLCC7179_1026
ko:K03637	lmos:LMOSLCC7179_1027
ko:K03639	lmos:LMOSLCC7179_1028
ko:K03638	lmos:LMOSLCC7179_1029
ko:K01118	lmos:LMOSLCC7179_0763
ko:K11737	lmos:LMOSLCC7179_0764
ko:K07150	lmos:LMOSLCC7179_0770
ko:K07118	lmos:LMOSLCC7179_0771
ko:K05786	lmos:LMOSLCC7179_0772
ko:K11733	lmos:LMOSLCC7179_0775
ko:K00847	lmos:LMOSLCC7179_0790
ko:K03324	lmos:LMOSLCC7179_0804
ko:K03737	lmos:LMOSLCC7179_0805
ko:K04041	lmos:LMOSLCC7179_0806
ko:K07088	lmos:LMOSLCC7179_0807
ko:K13256	lmos:LMOSLCC7179_0812
ko:K01921	lmos:LMOSLCC7179_0832
ko:K01929	lmos:LMOSLCC7179_0833
ko:K02529	lmos:LMOSLCC7179_0835
ko:K01808	lmos:LMOSLCC7179_0471
ko:K01783	lmos:LMOSLCC7179_0472
ko:K02773	lmos:LMOSLCC7179_0476
ko:K01783	lmos:LMOSLCC7179_0478
ko:K02774	lmos:LMOSLCC7179_0480
ko:K00948	lmos:LMOSLCC7179_0482
ko:K07282	lmos:LMOSLCC7179_0491
ko:K08987	lmos:LMOSLCC7179_0493
ko:K07166	lmos:LMOSLCC7179_0508
ko:K09157	lmos:LMOSLCC7179_0509
ko:K02083	lmos:LMOSLCC7179_0512
ko:K02016	lmos:LMOSLCC7179_0516
ko:K02781	lmos:LMOSLCC7179_0518
ko:K08325	lmos:LMOSLCC7179_0530
ko:K03305	lmos:LMOSLCC7179_0531
ko:K00262	lmos:LMOSLCC7179_0536
ko:K02500	lmos:LMOSLCC7179_0539
ko:K01814	lmos:LMOSLCC7179_0540
ko:K02501	lmos:LMOSLCC7179_0541
ko:K01693	lmos:LMOSLCC7179_0542
ko:K00013	lmos:LMOSLCC7179_0543
ko:K00765	lmos:LMOSLCC7179_0544
ko:K02502	lmos:LMOSLCC7179_0545
ko:K04486	lmos:LMOSLCC7179_0546
ko:K07443	lmos:LMOSLCC7179_0547
ko:K06901	lmos:LMOSLCC7179_0549
ko:K01223	lmos:LMOSLCC7179_0550
ko:K06999	lmos:LMOSLCC7179_0556
ko:K06969	lmos:LMOSLCC7179_0557
ko:K03070	lmos:LMOSLCC7179_0559
ko:K01669	lmos:LMOSLCC7179_0564
ko:K00641	lmos:LMOSLCC7179_0570
ko:K01740	lmos:LMOSLCC7179_0571
ko:K03523	lmos:LMOSLCC7179_0574
ko:K01118	lmos:LMOSLCC7179_0587
ko:K01126	lmos:LMOSLCC7179_0592
ko:K07090	lmos:LMOSLCC7179_0597
ko:K11203	lmos:LMOSLCC7179_0608
ko:K11202	lmos:LMOSLCC7179_0609
ko:K01534	lmos:LMOSLCC7179_0617
ko:K03284	lmos:LMOSLCC7179_0625
ko:K01421	lmos:LMOSLCC7179_0627
ko:K08976	lmos:LMOSLCC7179_0633
ko:K00868	lmos:LMOSLCC7179_0639
ko:K02419	lmos:LMOSLCC7179_0656
ko:K02420	lmos:LMOSLCC7179_0657
ko:K02421	lmos:LMOSLCC7179_0658
ko:K02401	lmos:LMOSLCC7179_0659
ko:K02400	lmos:LMOSLCC7179_0660
ko:K02404	lmos:LMOSLCC7179_0661
ko:K02392	lmos:LMOSLCC7179_0662
ko:K02556	lmos:LMOSLCC7179_0665
ko:K02557	lmos:LMOSLCC7179_0666
ko:K03415	lmos:LMOSLCC7179_0669
ko:K02406	lmos:LMOSLCC7179_0670
ko:K03413	lmos:LMOSLCC7179_0671
ko:K03407	lmos:LMOSLCC7179_0672
ko:K02417	lmos:LMOSLCC7179_0673
ko:K02389	lmos:LMOSLCC7179_0676
ko:K02390	lmos:LMOSLCC7179_0677
ko:K02417	lmos:LMOSLCC7179_0678
ko:K02416	lmos:LMOSLCC7179_0679
ko:K02417	lmos:LMOSLCC7179_0680
ko:K09770	lmos:LMOSLCC7179_0683
ko:K02396	lmos:LMOSLCC7179_0685
ko:K02397	lmos:LMOSLCC7179_0686
ko:K02407	lmos:LMOSLCC7179_0687
ko:K02422	lmos:LMOSLCC7179_0688
ko:K02387	lmos:LMOSLCC7179_0690
ko:K02388	lmos:LMOSLCC7179_0691
ko:K02408	lmos:LMOSLCC7179_0692
ko:K02409	lmos:LMOSLCC7179_0693
ko:K02410	lmos:LMOSLCC7179_0694
ko:K02411	lmos:LMOSLCC7179_0695
ko:K02412	lmos:LMOSLCC7179_0696
ko:K00820	lmos:LMOSLCC7179_0706
ko:K02529	lmos:LMOSLCC7179_1699
ko:K05349	lmos:LMOSLCC7179_1701
ko:K00266	lmos:LMOSLCC7179_1705
ko:K08317	lmos:LMOSLCC7179_1709
ko:K02029	lmos:LMOSLCC7179_1712
ko:K01486	lmos:LMOSLCC7179_1714
ko:K02003	lmos:LMOSLCC7179_1719
ko:K00891	lmos:LMOSLCC7179_1721
ko:K03215	lmos:LMOSLCC7179_1723
ko:K02434	lmos:LMOSLCC7179_1726
ko:K02435	lmos:LMOSLCC7179_1728
ko:K01972	lmos:LMOSLCC7179_1730
ko:K03657	lmos:LMOSLCC7179_1731
ko:K03308	lmos:LMOSLCC7179_1733
ko:K01945	lmos:LMOSLCC7179_1736
ko:K00602	lmos:LMOSLCC7179_1737
ko:K11175	lmos:LMOSLCC7179_1738
ko:K01933	lmos:LMOSLCC7179_1739
ko:K00764	lmos:LMOSLCC7179_1740
ko:K05592	lmos:LMOSLCC7179_0844
ko:K02759	lmos:LMOSLCC7179_0852
ko:K02760	lmos:LMOSLCC7179_0853
ko:K02761	lmos:LMOSLCC7179_0854
ko:K00231	lmos:LMOSLCC7179_0862
ko:K00997	lmos:LMOSLCC7179_0863
ko:K01775	lmos:LMOSLCC7179_0864
ko:K07723	lmos:LMOSLCC7179_0865
ko:K03321	lmos:LMOSLCC7179_0875
ko:K06959	lmos:LMOSLCC7179_0876
ko:K02761	lmos:LMOSLCC7179_0881
ko:K02003	lmos:LMOSLCC7179_0188
ko:K06412	lmos:LMOSLCC7179_0190
ko:K06412	lmos:LMOSLCC7179_0191
ko:K04042	lmos:LMOSLCC7179_0192
ko:K00948	lmos:LMOSLCC7179_0193
ko:K01114	lmos:LMOSLCC7179_0199
ko:K02897	lmos:LMOSLCC7179_0205
ko:K01056	lmos:LMOSLCC7179_0207
ko:K03723	lmos:LMOSLCC7179_0208
ko:K07571	lmos:LMOSLCC7179_0212
ko:K03798	lmos:LMOSLCC7179_0214
ko:K03525	lmos:LMOSLCC7179_0215
ko:K04083	lmos:LMOSLCC7179_0216
ko:K01738	lmos:LMOSLCC7179_0217
ko:K00796	lmos:LMOSLCC7179_0219
ko:K01633	lmos:LMOSLCC7179_0220
ko:K00950	lmos:LMOSLCC7179_0221
ko:K04567	lmos:LMOSLCC7179_0223
ko:K03696	lmos:LMOSLCC7179_0227
ko:K04485	lmos:LMOSLCC7179_0228
ko:K00991	lmos:LMOSLCC7179_0230
ko:K01770	lmos:LMOSLCC7179_0231
ko:K00640	lmos:LMOSLCC7179_0233
ko:K01883	lmos:LMOSLCC7179_0234
ko:K11145	lmos:LMOSLCC7179_0235
ko:K03218	lmos:LMOSLCC7179_0236
ko:K06962	lmos:LMOSLCC7179_0237
ko:K03091	lmos:LMOSLCC7179_0238
ko:K03073	lmos:LMOSLCC7179_0239
ko:K02601	lmos:LMOSLCC7179_0240
ko:K02867	lmos:LMOSLCC7179_0242
ko:K02863	lmos:LMOSLCC7179_0243
ko:K02864	lmos:LMOSLCC7179_0244
ko:K02935	lmos:LMOSLCC7179_0245
ko:K03043	lmos:LMOSLCC7179_0249
ko:K03046	lmos:LMOSLCC7179_0250
ko:K01223	lmos:LMOSLCC7179_0252
ko:K15975	lmos:LMOSLCC7179_0259
ko:K02034	lmos:LMOSLCC7179_0261
ko:K01223	lmos:LMOSLCC7179_0263
ko:K02072	lmos:LMOSLCC7179_0276
ko:K02071	lmos:LMOSLCC7179_0277
ko:K02073	lmos:LMOSLCC7179_0278
ko:K00783	lmos:LMOSLCC7179_0286
ko:K02761	lmos:LMOSLCC7179_0291
ko:K02760	lmos:LMOSLCC7179_0292
ko:K02759	lmos:LMOSLCC7179_0294
ko:K03707	lmos:LMOSLCC7179_0302
ko:K00878	lmos:LMOSLCC7179_0303
ko:K00941	lmos:LMOSLCC7179_0304
ko:K00788	lmos:LMOSLCC7179_0305
ko:K01223	lmos:LMOSLCC7179_0306
ko:K00615	lmos:LMOSLCC7179_0328
ko:K01808	lmos:LMOSLCC7179_0331
ko:K01803	lmos:LMOSLCC7179_0332
ko:K05879	lmos:LMOSLCC7179_0333
ko:K05878	lmos:LMOSLCC7179_0334
ko:K02769	lmos:LMOSLCC7179_0345
ko:K02770	lmos:LMOSLCC7179_0345
ko:K01624	lmos:LMOSLCC7179_0346
ko:K03118	lmos:LMOSLCC7179_0348
ko:K03116	lmos:LMOSLCC7179_0349
ko:K05995	lmos:LMOSLCC7179_0350
ko:K07243	lmos:LMOSLCC7179_0352
ko:K07224	lmos:LMOSLCC7179_0353
ko:K16301	lmos:LMOSLCC7179_0354
ko:K06193	lmos:LMOSLCC7179_0357
ko:K02761	lmos:LMOSLCC7179_0360
ko:K02760	lmos:LMOSLCC7179_0361
ko:K06608	lmos:LMOSLCC7179_0370
ko:K00140	lmos:LMOSLCC7179_0371
ko:K03337	lmos:LMOSLCC7179_0372
ko:K03338	lmos:LMOSLCC7179_0373
ko:K03336	lmos:LMOSLCC7179_0374
ko:K03648	lmos:LMOSLCC7179_0378
ko:K00286	lmos:LMOSLCC7179_0384
ko:K03306	lmos:LMOSLCC7179_0393
ko:K07238	lmos:LMOSLCC7179_0402
ko:K03088	lmos:LMOSLCC7179_0411
ko:K05340	lmos:LMOSLCC7179_0412
ko:K00014	lmos:LMOSLCC7179_2214
ko:K13531	lmos:LMOSLCC7179_2220
ko:K13530	lmos:LMOSLCC7179_2221
ko:K06180	lmos:LMOSLCC7179_2222
ko:K07220	lmos:LMOSLCC7179_2226
ko:K02996	lmos:LMOSLCC7179_2566
ko:K02871	lmos:LMOSLCC7179_2567
ko:K06173	lmos:LMOSLCC7179_2568
ko:K07507	lmos:LMOSLCC7179_2572
ko:K02879	lmos:LMOSLCC7179_2575
ko:K03040	lmos:LMOSLCC7179_2576
ko:K02948	lmos:LMOSLCC7179_2577
ko:K02952	lmos:LMOSLCC7179_2578
ko:K02919	lmos:LMOSLCC7179_2579
ko:K02518	lmos:LMOSLCC7179_2580
ko:K03076	lmos:LMOSLCC7179_2582
ko:K02876	lmos:LMOSLCC7179_2583
ko:K02907	lmos:LMOSLCC7179_2584
ko:K02988	lmos:LMOSLCC7179_2585
ko:K02881	lmos:LMOSLCC7179_2586
ko:K02933	lmos:LMOSLCC7179_2587
ko:K02994	lmos:LMOSLCC7179_2588
ko:K02954	lmos:LMOSLCC7179_2589
ko:K02313	lmos:LMOSLCC7179_0001
ko:K03629	lmos:LMOSLCC7179_0005
ko:K02470	lmos:LMOSLCC7179_0006
ko:K02469	lmos:LMOSLCC7179_0007
ko:K06131	lmos:LMOSLCC7179_0008
ko:K02826	lmos:LMOSLCC7179_0013
ko:K02827	lmos:LMOSLCC7179_0014
ko:K02828	lmos:LMOSLCC7179_0015
ko:K02829	lmos:LMOSLCC7179_0016
ko:K07282	lmos:LMOSLCC7179_0017
ko:K01223	lmos:LMOSLCC7179_0018
ko:K02529	lmos:LMOSLCC7179_0037
ko:K02761	lmos:LMOSLCC7179_0040
ko:K13252	lmos:LMOSLCC7179_0042
ko:K10536	lmos:LMOSLCC7179_0044
ko:K00926	lmos:LMOSLCC7179_0045
ko:K10536	lmos:LMOSLCC7179_0046
ko:K03481	lmos:LMOSLCC7179_0047
ko:K03975	lmos:LMOSLCC7179_0048
ko:K02990	lmos:LMOSLCC7179_0050
ko:K02963	lmos:LMOSLCC7179_0052
ko:K07813	lmos:LMOSLCC7179_0054
ko:K07707	lmos:LMOSLCC7179_0057
ko:K02939	lmos:LMOSLCC7179_0059
ko:K01939	lmos:LMOSLCC7179_0061
ko:K03466	lmos:LMOSLCC7179_0067
ko:K10778	lmos:LMOSLCC7179_0078
ko:K02110	lmos:LMOSLCC7179_0086
ko:K02113	lmos:LMOSLCC7179_0087
ko:K02111	lmos:LMOSLCC7179_0088
ko:K02115	lmos:LMOSLCC7179_0089
ko:K02112	lmos:LMOSLCC7179_0090
ko:K02114	lmos:LMOSLCC7179_0091
ko:K01448	lmos:LMOSLCC7179_0127
ko:K06975	lmos:LMOSLCC7179_0132
ko:K02034	lmos:LMOSLCC7179_0135
ko:K09817	lmos:LMOSLCC7179_0148
ko:K09816	lmos:LMOSLCC7179_0149
ko:K02341	lmos:LMOSLCC7179_0156
ko:K07461	lmos:LMOSLCC7179_0160
ko:K07056	lmos:LMOSLCC7179_0161
ko:K06284	lmos:LMOSLCC7179_0162
ko:K05340	lmos:LMOSLCC7179_0163
ko:K01874	lmos:LMOSLCC7179_0171
ko:K03424	lmos:LMOSLCC7179_0179
ko:K05985	lmos:LMOSLCC7179_0181
ko:K02528	lmos:LMOSLCC7179_0182
ko:K00919	lmos:LMOSLCC7179_0184
ko:K01462	lmos:LMOSLCC7179_1032
ko:K00161	lmos:LMOSLCC7179_1033
ko:K00162	lmos:LMOSLCC7179_1034
ko:K00627	lmos:LMOSLCC7179_1035
ko:K00382	lmos:LMOSLCC7179_1036
ko:K02003	lmos:LMOSLCC7179_1044
ko:K03284	lmos:LMOSLCC7179_1045
ko:K06207	lmos:LMOSLCC7179_1048
ko:K03588	lmos:LMOSLCC7179_1052
ko:K02016	lmos:LMOSLCC7179_1054
ko:K00963	lmos:LMOSLCC7179_1059
ko:K00973	lmos:LMOSLCC7179_1062
ko:K01790	lmos:LMOSLCC7179_1063
ko:K01952	lmos:LMOSLCC7179_1741
ko:K01952	lmos:LMOSLCC7179_1742
ko:K01952	lmos:LMOSLCC7179_1743
ko:K01923	lmos:LMOSLCC7179_1744
ko:K01756	lmos:LMOSLCC7179_1745
ko:K01589	lmos:LMOSLCC7179_1746
ko:K01588	lmos:LMOSLCC7179_1747
ko:K06950	lmos:LMOSLCC7179_1749
ko:K02013	lmos:LMOSLCC7179_1750
ko:K01142	lmos:LMOSLCC7179_1754
ko:K02887	lmos:LMOSLCC7179_1755
ko:K02916	lmos:LMOSLCC7179_1756
ko:K02520	lmos:LMOSLCC7179_1757
ko:K02884	lmos:LMOSLCC7179_1759
ko:K00554	lmos:LMOSLCC7179_1764
ko:K02860	lmos:LMOSLCC7179_1765
ko:K07010	lmos:LMOSLCC7179_1767
ko:K06960	lmos:LMOSLCC7179_1768
ko:K02959	lmos:LMOSLCC7179_1769
ko:K03106	lmos:LMOSLCC7179_1774
ko:K03110	lmos:LMOSLCC7179_1776
ko:K03529	lmos:LMOSLCC7179_1777
ko:K03685	lmos:LMOSLCC7179_1778
ko:K02078	lmos:LMOSLCC7179_1779
ko:K00645	lmos:LMOSLCC7179_1781
ko:K03621	lmos:LMOSLCC7179_1782
ko:K03306	lmos:LMOSLCC7179_2227
ko:K06901	lmos:LMOSLCC7179_2232
ko:K05520	lmos:LMOSLCC7179_2234
ko:K02759	lmos:LMOSLCC7179_2236
ko:K02250	lmos:LMOSLCC7179_2247
ko:K02768	lmos:LMOSLCC7179_2249
ko:K02769	lmos:LMOSLCC7179_2249
ko:K02770	lmos:LMOSLCC7179_2249
ko:K02931	lmos:LMOSLCC7179_2590
ko:K02895	lmos:LMOSLCC7179_2591
ko:K02874	lmos:LMOSLCC7179_2592
ko:K02961	lmos:LMOSLCC7179_2593
ko:K02904	lmos:LMOSLCC7179_2594
ko:K02878	lmos:LMOSLCC7179_2595
ko:K02982	lmos:LMOSLCC7179_2596
ko:K02890	lmos:LMOSLCC7179_2597
ko:K02965	lmos:LMOSLCC7179_2598
ko:K02886	lmos:LMOSLCC7179_2599
ko:K02892	lmos:LMOSLCC7179_2600
ko:K02926	lmos:LMOSLCC7179_2601
ko:K02906	lmos:LMOSLCC7179_2602
ko:K02946	lmos:LMOSLCC7179_2603
ko:K03734	lmos:LMOSLCC7179_2606
ko:K03885	lmos:LMOSLCC7179_2608
ko:K02818	lmos:LMOSLCC7179_1225
ko:K02819	lmos:LMOSLCC7179_1225
ko:K00147	lmos:LMOSLCC7179_1229
ko:K00931	lmos:LMOSLCC7179_1230
ko:K03545	lmos:LMOSLCC7179_1237
ko:K03544	lmos:LMOSLCC7179_1238
ko:K03100	lmos:LMOSLCC7179_1239
ko:K03100	lmos:LMOSLCC7179_1240
ko:K03100	lmos:LMOSLCC7179_1241
ko:K14540	lmos:LMOSLCC7179_1242
ko:K03470	lmos:LMOSLCC7179_1243
ko:K04096	lmos:LMOSLCC7179_1244
ko:K03168	lmos:LMOSLCC7179_1245
ko:K04094	lmos:LMOSLCC7179_1246
ko:K03733	lmos:LMOSLCC7179_1247
ko:K01419	lmos:LMOSLCC7179_1248
ko:K01876	lmos:LMOSLCC7179_1492
ko:K01892	lmos:LMOSLCC7179_1493
ko:K01448	lmos:LMOSLCC7179_1494
ko:K07560	lmos:LMOSLCC7179_1495
ko:K00759	lmos:LMOSLCC7179_1497
ko:K07462	lmos:LMOSLCC7179_1498
ko:K12257	lmos:LMOSLCC7179_1500
ko:K03210	lmos:LMOSLCC7179_1502
ko:K00773	lmos:LMOSLCC7179_1503
ko:K07568	lmos:LMOSLCC7179_1504
ko:K03551	lmos:LMOSLCC7179_1505
ko:K03550	lmos:LMOSLCC7179_1506
ko:K03979	lmos:LMOSLCC7179_1510
ko:K00864	lmos:LMOSLCC7179_1511
ko:K02440	lmos:LMOSLCC7179_1512
ko:K02899	lmos:LMOSLCC7179_1513
ko:K02888	lmos:LMOSLCC7179_1515
ko:K08301	lmos:LMOSLCC7179_1516
ko:K03609	lmos:LMOSLCC7179_1517
ko:K03610	lmos:LMOSLCC7179_1518
ko:K03571	lmos:LMOSLCC7179_1519
ko:K03570	lmos:LMOSLCC7179_1520
ko:K03569	lmos:LMOSLCC7179_1521
ko:K03630	lmos:LMOSLCC7179_1522
ko:K11754	lmos:LMOSLCC7179_1525
ko:K01873	lmos:LMOSLCC7179_1526
ko:K01845	lmos:LMOSLCC7179_1527
ko:K01698	lmos:LMOSLCC7179_1528
ko:K01749	lmos:LMOSLCC7179_1530
ko:K02492	lmos:LMOSLCC7179_1531
ko:K03978	lmos:LMOSLCC7179_1532
ko:K01868	lmos:LMOSLCC7179_1533
ko:K07738	lmos:LMOSLCC7179_1536
ko:K03431	lmos:LMOSLCC7179_2094
ko:K01624	lmos:LMOSLCC7179_2109
ko:K01624	lmos:LMOSLCC7179_2110
ko:K02113	lmos:LMOSLCC7179_2444
