ko:K18929	hpn:HPIN_00665
ko:K02895	hpn:HPIN_06890
ko:K02874	hpn:HPIN_06895
ko:K02961	hpn:HPIN_06900
ko:K02904	hpn:HPIN_06905
ko:K02878	hpn:HPIN_06910
ko:K02982	hpn:HPIN_06915
ko:K02890	hpn:HPIN_06920
ko:K02965	hpn:HPIN_06925
ko:K02886	hpn:HPIN_06930
ko:K02892	hpn:HPIN_06935
ko:K02926	hpn:HPIN_06940
ko:K02906	hpn:HPIN_06945
ko:K02946	hpn:HPIN_06950
ko:K07133	hpn:HPIN_06955
ko:K07270	hpn:HPIN_03570
ko:K01876	hpn:HPIN_03580
ko:K03415	hpn:HPIN_03585
ko:K01972	hpn:HPIN_03590
ko:K01599	hpn:HPIN_03645
ko:K02406	hpn:HPIN_03660
ko:K03611	hpn:HPIN_03695
ko:K03168	hpn:HPIN_03810
ko:K02357	hpn:HPIN_08165
ko:K02967	hpn:HPIN_08170
ko:K03313	hpn:HPIN_08180
ko:K03210	hpn:HPIN_08185
ko:K03072	hpn:HPIN_08190
ko:K03074	hpn:HPIN_08195
ko:K01869	hpn:HPIN_08205
ko:K11754	hpn:HPIN_08215
ko:K03723	hpn:HPIN_08235
ko:K00411	hpn:HPIN_08240
ko:K00412	hpn:HPIN_08245
ko:K00413	hpn:HPIN_08250
ko:K03587	hpn:HPIN_08260
ko:K02408	hpn:HPIN_08265
ko:K02388	hpn:HPIN_08270
ko:K02387	hpn:HPIN_08275
ko:K03588	hpn:HPIN_08280
ko:K02016	hpn:HPIN_08285
ko:K02073	hpn:HPIN_08295
ko:K05515	hpn:HPIN_08300
ko:K03978	hpn:HPIN_08310
ko:K09774	hpn:HPIN_08315
ko:K03270	hpn:HPIN_08325
ko:K03642	hpn:HPIN_08330
ko:K08307	hpn:HPIN_08335
ko:K03424	hpn:HPIN_08340
ko:K00793	hpn:HPIN_08345
ko:K04061	hpn:HPIN_08350
ko:K02071	hpn:HPIN_08355
ko:K02072	hpn:HPIN_08360
ko:K03474	hpn:HPIN_08380
ko:K00097	hpn:HPIN_08385
ko:K02392	hpn:HPIN_08395
ko:K00116	hpn:HPIN_00405
ko:K03086	hpn:HPIN_00415
ko:K00645	hpn:HPIN_00425
ko:K01733	hpn:HPIN_00470
ko:K09765	hpn:HPIN_00480
ko:K07173	hpn:HPIN_00510
ko:K04043	hpn:HPIN_00530
ko:K03687	hpn:HPIN_00535
ko:K03705	hpn:HPIN_00540
ko:K01628	hpn:HPIN_00545
ko:K02406	hpn:HPIN_00560
ko:K03168	hpn:HPIN_00565
ko:K01868	hpn:HPIN_00590
ko:K02520	hpn:HPIN_00595
ko:K02916	hpn:HPIN_00600
ko:K02887	hpn:HPIN_00605
ko:K01752	hpn:HPIN_00630
ko:K03837	hpn:HPIN_00635
ko:K01626	hpn:HPIN_00640
ko:K03564	hpn:HPIN_00655
ko:K00782	hpn:HPIN_00660
ko:K03303	hpn:HPIN_00675
ko:K03303	hpn:HPIN_00680
ko:K03575	hpn:HPIN_00685
ko:K15257	hpn:HPIN_05100
ko:K01772	hpn:HPIN_05105
ko:K01874	hpn:HPIN_05110
ko:K00574	hpn:HPIN_05115
ko:K15846	hpn:HPIN_05135
ko:K01951	hpn:HPIN_05145
ko:K02503	hpn:HPIN_05175
ko:K01889	hpn:HPIN_05180
ko:K01890	hpn:HPIN_05185
ko:K00800	hpn:HPIN_05190
ko:K03527	hpn:HPIN_05195
ko:K02945	hpn:HPIN_05200
ko:K03182	hpn:HPIN_05215
ko:K06997	hpn:HPIN_05220
ko:K03269	hpn:HPIN_05225
ko:K03415	hpn:HPIN_05230
ko:K03407	hpn:HPIN_05235
ko:K03408	hpn:HPIN_05240
ko:K11065	hpn:HPIN_05245
ko:K04564	hpn:HPIN_05250
ko:K15256	hpn:HPIN_05255
ko:K04066	hpn:HPIN_05260
ko:K02493	hpn:HPIN_05290
ko:K00262	hpn:HPIN_05295
ko:K06180	hpn:HPIN_01560
ko:K07462	hpn:HPIN_01565
ko:K01937	hpn:HPIN_01570
ko:K02409	hpn:HPIN_01580
ko:K02410	hpn:HPIN_01585
ko:K02411	hpn:HPIN_01590
ko:K01662	hpn:HPIN_01595
ko:K03596	hpn:HPIN_01600
ko:K02392	hpn:HPIN_01625
ko:K03466	hpn:HPIN_01640
ko:K00615	hpn:HPIN_01650
ko:K11753	hpn:HPIN_01655
ko:K06442	hpn:HPIN_01660
ko:K00609	hpn:HPIN_01670
ko:K07241	hpn:HPIN_01710
ko:K03798	hpn:HPIN_01750
ko:K02687	hpn:HPIN_01755
ko:K03413	hpn:HPIN_01760
ko:K06950	hpn:HPIN_01775
ko:K03501	hpn:HPIN_01780
ko:K07568	hpn:HPIN_01785
ko:K03118	hpn:HPIN_01790
ko:K03117	hpn:HPIN_01795
ko:K03551	hpn:HPIN_01800
ko:K00606	hpn:HPIN_01805
ko:K00246	hpn:HPIN_06175
ko:K00600	hpn:HPIN_06220
ko:K04567	hpn:HPIN_06225
ko:K03558	hpn:HPIN_06230
ko:K03820	hpn:HPIN_06240
ko:K00133	hpn:HPIN_06265
ko:K01892	hpn:HPIN_06270
ko:K02355	hpn:HPIN_06290
ko:K02992	hpn:HPIN_06295
ko:K02950	hpn:HPIN_06300
ko:K02935	hpn:HPIN_06315
ko:K02864	hpn:HPIN_06320
ko:K02863	hpn:HPIN_06325
ko:K02867	hpn:HPIN_06330
ko:K02601	hpn:HPIN_06335
ko:K03073	hpn:HPIN_06340
ko:K02913	hpn:HPIN_06350
ko:K02358	hpn:HPIN_06355
ko:K00640	hpn:HPIN_06380
ko:K02110	hpn:HPIN_06385
ko:K00962	hpn:HPIN_06390
ko:K04744	hpn:HPIN_06400
ko:K01945	hpn:HPIN_06410
ko:K04075	hpn:HPIN_03000
ko:K07791	hpn:HPIN_03020
ko:K02343	hpn:HPIN_03060
ko:K06925	hpn:HPIN_03065
ko:K06861	hpn:HPIN_03070
ko:K03092	hpn:HPIN_03075
ko:K07023	hpn:HPIN_03080
ko:K03438	hpn:HPIN_03100
ko:K03701	hpn:HPIN_03110
ko:K02469	hpn:HPIN_03135
ko:K00901	hpn:HPIN_03140
ko:K10856	hpn:HPIN_03160
ko:K02106	hpn:HPIN_03180
ko:K01029	hpn:HPIN_03185
ko:K01028	hpn:HPIN_03190
ko:K07501	hpn:HPIN_03215
ko:K04759	hpn:HPIN_03220
ko:K02419	hpn:HPIN_03230
ko:K04042	hpn:HPIN_03235
ko:K03625	hpn:HPIN_00005
ko:K00794	hpn:HPIN_00010
ko:K01627	hpn:HPIN_00015
ko:K01673	hpn:HPIN_00020
ko:K01591	hpn:HPIN_00025
ko:K01918	hpn:HPIN_00030
ko:K04077	hpn:HPIN_00040
ko:K04078	hpn:HPIN_00045
ko:K00566	hpn:HPIN_00055
ko:K09859	hpn:HPIN_00080
ko:K03415	hpn:HPIN_00085
ko:K13747	hpn:HPIN_00090
ko:K03760	hpn:HPIN_00100
ko:K03550	hpn:HPIN_04470
ko:K03980	hpn:HPIN_04480
ko:K01883	hpn:HPIN_04485
ko:K02013	hpn:HPIN_04505
ko:K02015	hpn:HPIN_04510
ko:K04654	hpn:HPIN_04570
ko:K04653	hpn:HPIN_04575
ko:K00925	hpn:HPIN_04595
ko:K13788	hpn:HPIN_04600
ko:K02389	hpn:HPIN_04615
ko:K02390	hpn:HPIN_04620
ko:K03657	hpn:HPIN_04635
ko:K01955	hpn:HPIN_04680
ko:K00134	hpn:HPIN_04690
ko:K01821	hpn:HPIN_04705
ko:K06187	hpn:HPIN_04710
ko:K06176	hpn:HPIN_04715
ko:K03799	hpn:HPIN_04720
ko:K01495	hpn:HPIN_04725
ko:K12267	hpn:HPIN_00985
ko:K07090	hpn:HPIN_00995
ko:K00979	hpn:HPIN_01020
ko:K03981	hpn:HPIN_01025
ko:K01749	hpn:HPIN_01060
ko:K01881	hpn:HPIN_01065
ko:K02492	hpn:HPIN_01070
ko:K02523	hpn:HPIN_01075
ko:K04047	hpn:HPIN_01090
ko:K07710	hpn:HPIN_01095
ko:K02394	hpn:HPIN_01105
ko:K05592	hpn:HPIN_01110
ko:K13896	hpn:HPIN_01125
ko:K13895	hpn:HPIN_01130
ko:K01939	hpn:HPIN_01145
ko:K11749	hpn:HPIN_01160
ko:K03601	hpn:HPIN_01165
ko:K03695	hpn:HPIN_01190
ko:K01465	hpn:HPIN_01200
ko:K06168	hpn:HPIN_01215
ko:K09778	hpn:HPIN_01220
ko:K06940	hpn:HPIN_01240
ko:K01609	hpn:HPIN_01250
ko:K01524	hpn:HPIN_01260
ko:K03641	hpn:HPIN_05590
ko:K02114	hpn:HPIN_05610
ko:K02112	hpn:HPIN_05615
ko:K02115	hpn:HPIN_05620
ko:K02111	hpn:HPIN_05625
ko:K02113	hpn:HPIN_05630
ko:K02109	hpn:HPIN_05635
ko:K02109	hpn:HPIN_05640
ko:K03524	hpn:HPIN_05655
ko:K00604	hpn:HPIN_05660
ko:K02884	hpn:HPIN_05705
ko:K00554	hpn:HPIN_05710
ko:K02860	hpn:HPIN_05715
ko:K06960	hpn:HPIN_05720
ko:K02959	hpn:HPIN_05725
ko:K03106	hpn:HPIN_05730
ko:K01873	hpn:HPIN_05735
ko:K02563	hpn:HPIN_05745
ko:K00286	hpn:HPIN_05760
ko:K04095	hpn:HPIN_05765
ko:K07042	hpn:HPIN_05770
ko:K03839	hpn:HPIN_05775
ko:K00384	hpn:HPIN_05790
ko:K01810	hpn:HPIN_05800
ko:K06200	hpn:HPIN_05810
ko:K02029	hpn:HPIN_05815
ko:K02429	hpn:HPIN_05840
ko:K06901	hpn:HPIN_05845
ko:K07090	hpn:HPIN_03260
ko:K02600	hpn:HPIN_07540
ko:K01042	hpn:HPIN_07545
ko:K01633	hpn:HPIN_07560
ko:K08591	hpn:HPIN_07565
ko:K03312	hpn:HPIN_07580
ko:K11752	hpn:HPIN_07585
ko:K09943	hpn:HPIN_07600
ko:K11720	hpn:HPIN_07620
ko:K01056	hpn:HPIN_07625
ko:K02897	hpn:HPIN_07630
ko:K01928	hpn:HPIN_07640
ko:K03306	hpn:HPIN_07655
ko:K01993	hpn:HPIN_07670
ko:K08973	hpn:HPIN_07690
ko:K03183	hpn:HPIN_07695
ko:K03602	hpn:HPIN_07700
ko:K01875	hpn:HPIN_07710
ko:K03657	hpn:HPIN_07720
ko:K02386	hpn:HPIN_07725
ko:K03186	hpn:HPIN_07730
ko:K00954	hpn:HPIN_07735
ko:K00943	hpn:HPIN_07740
ko:K00826	hpn:HPIN_07770
ko:K02066	hpn:HPIN_07785
ko:K02065	hpn:HPIN_07790
ko:K13038	hpn:HPIN_02395
ko:K15894	hpn:HPIN_02400
ko:K09860	hpn:HPIN_02415
ko:K03530	hpn:HPIN_02420
ko:K03977	hpn:HPIN_02425
ko:K00797	hpn:HPIN_02435
ko:K00859	hpn:HPIN_02440
ko:K02108	hpn:HPIN_02455
ko:K07270	hpn:HPIN_02465
ko:K00384	hpn:HPIN_02470
ko:K03671	hpn:HPIN_02475
ko:K07460	hpn:HPIN_02480
ko:K00003	hpn:HPIN_02485
ko:K03703	hpn:HPIN_02490
ko:K05847	hpn:HPIN_02505
ko:K02557	hpn:HPIN_02520
ko:K02556	hpn:HPIN_02525
ko:K02415	hpn:HPIN_02555
ko:K00997	hpn:HPIN_02560
ko:K07043	hpn:HPIN_02570
ko:K07270	hpn:HPIN_02575
ko:K14652	hpn:HPIN_02580
ko:K03636	hpn:HPIN_02595
ko:K03831	hpn:HPIN_02605
ko:K03637	hpn:HPIN_02610
ko:K15846	hpn:HPIN_02615
ko:K03545	hpn:HPIN_02625
ko:K01358	hpn:HPIN_02630
ko:K01462	hpn:HPIN_02635
ko:K07391	hpn:HPIN_02640
ko:K01534	hpn:HPIN_02645
ko:K01154	hpn:HPIN_02650
ko:K03470	hpn:HPIN_06965
ko:K07787	hpn:HPIN_06990
ko:K03686	hpn:HPIN_07005
ko:K00566	hpn:HPIN_07025
ko:K00969	hpn:HPIN_07035
ko:K07722	hpn:HPIN_07040
ko:K03561	hpn:HPIN_07045
ko:K03832	hpn:HPIN_07055
ko:K03284	hpn:HPIN_07070
ko:K00927	hpn:HPIN_07075
ko:K00134	hpn:HPIN_07080
ko:K03648	hpn:HPIN_07085
ko:K00655	hpn:HPIN_07090
ko:K03797	hpn:HPIN_07100
ko:K00767	hpn:HPIN_07120
ko:K03517	hpn:HPIN_07125
ko:K01613	hpn:HPIN_07130
ko:K03179	hpn:HPIN_07145
ko:K03570	hpn:HPIN_07205
ko:K03569	hpn:HPIN_07210
ko:K03544	hpn:HPIN_07215
ko:K00677	hpn:HPIN_07220
ko:K02372	hpn:HPIN_07225
ko:K13626	hpn:HPIN_07230
ko:K05807	hpn:HPIN_07240
ko:K01338	hpn:HPIN_07245
ko:K00177	hpn:HPIN_03910
ko:K00175	hpn:HPIN_03915
ko:K00174	hpn:HPIN_03920
ko:K00176	hpn:HPIN_03925
ko:K07082	hpn:HPIN_03930
ko:K10773	hpn:HPIN_03945
ko:K02417	hpn:HPIN_03950
ko:K01465	hpn:HPIN_03970
ko:K01491	hpn:HPIN_03990
ko:K03100	hpn:HPIN_03995
ko:K01808	hpn:HPIN_04005
ko:K00759	hpn:HPIN_04015
ko:K01255	hpn:HPIN_04025
ko:K06942	hpn:HPIN_04030
ko:K01778	hpn:HPIN_04045
ko:K02970	hpn:HPIN_04065
ko:K02078	hpn:HPIN_04075
ko:K09458	hpn:HPIN_04080
ko:K01962	hpn:HPIN_04085
ko:K03218	hpn:HPIN_04115
ko:K07056	hpn:HPIN_04120
ko:K02909	hpn:HPIN_04125
ko:K03628	hpn:HPIN_04130
ko:K01776	hpn:HPIN_04135
ko:K00404	hpn:HPIN_00695
ko:K00405	hpn:HPIN_00700
ko:K00407	hpn:HPIN_00705
ko:K00406	hpn:HPIN_00710
ko:K01689	hpn:HPIN_00750
ko:K00891	hpn:HPIN_00765
ko:K01698	hpn:HPIN_00790
ko:K08303	hpn:HPIN_00815
ko:K02836	hpn:HPIN_00825
ko:K03750	hpn:HPIN_00830
ko:K02421	hpn:HPIN_00835
ko:K01624	hpn:HPIN_00855
ko:K02356	hpn:HPIN_00860
ko:K01821	hpn:HPIN_00875
ko:K04079	hpn:HPIN_00915
ko:K03495	hpn:HPIN_00930
ko:K14445	hpn:HPIN_00935
ko:K00981	hpn:HPIN_00940
ko:K00099	hpn:HPIN_00945
ko:K04487	hpn:HPIN_00960
ko:K13819	hpn:HPIN_00965
ko:K04485	hpn:HPIN_00980
ko:K01772	hpn:HPIN_05315
ko:K09761	hpn:HPIN_05325
ko:K01494	hpn:HPIN_05340
ko:K02160	hpn:HPIN_05345
ko:K01961	hpn:HPIN_05350
ko:K00573	hpn:HPIN_05380
ko:K07091	hpn:HPIN_05385
ko:K06173	hpn:HPIN_05390
ko:K01625	hpn:HPIN_05420
ko:K01690	hpn:HPIN_05425
ko:K00036	hpn:HPIN_05430
ko:K01057	hpn:HPIN_05435
ko:K13979	hpn:HPIN_05445
ko:K00172	hpn:HPIN_05475
ko:K00171	hpn:HPIN_05480
ko:K00169	hpn:HPIN_05485
ko:K00170	hpn:HPIN_05490
ko:K01756	hpn:HPIN_05495
ko:K03702	hpn:HPIN_05505
ko:K02396	hpn:HPIN_05550
ko:K03775	hpn:HPIN_05575
ko:K03640	hpn:HPIN_05585
ko:K03610	hpn:HPIN_01835
ko:K02535	hpn:HPIN_01840
ko:K00872	hpn:HPIN_01850
ko:K02519	hpn:HPIN_01860
ko:K02834	hpn:HPIN_01865
ko:K09748	hpn:HPIN_01870
ko:K01895	hpn:HPIN_01875
ko:K02400	hpn:HPIN_01895
ko:K02956	hpn:HPIN_01900
ko:K03786	hpn:HPIN_01910
ko:K00950	hpn:HPIN_01920
ko:K02404	hpn:HPIN_01925
ko:K04562	hpn:HPIN_01930
ko:K02405	hpn:HPIN_01940
ko:K02416	hpn:HPIN_01945
ko:K02417	hpn:HPIN_01950
ko:K07478	hpn:HPIN_01970
ko:K05516	hpn:HPIN_01980
ko:K12506	hpn:HPIN_02000
ko:K00995	hpn:HPIN_02015
ko:K01714	hpn:HPIN_02035
ko:K00937	hpn:HPIN_02050
ko:K01154	hpn:HPIN_02060
ko:K03427	hpn:HPIN_02065
ko:K01153	hpn:HPIN_02070
ko:K00806	hpn:HPIN_06440
ko:K06199	hpn:HPIN_06460
ko:K08311	hpn:HPIN_06480
ko:K00928	hpn:HPIN_06485
ko:K02341	hpn:HPIN_06495
ko:K00796	hpn:HPIN_06500
ko:K09804	hpn:HPIN_06525
ko:K01956	hpn:HPIN_06530
ko:K06287	hpn:HPIN_06545
ko:K01872	hpn:HPIN_06550
ko:K09794	hpn:HPIN_06555
ko:K02963	hpn:HPIN_06575
ko:K02990	hpn:HPIN_06585
ko:K02340	hpn:HPIN_06590
ko:K12573	hpn:HPIN_06595
ko:K00014	hpn:HPIN_06600
ko:K13894	hpn:HPIN_06610
ko:K13893	hpn:HPIN_06615
ko:K01867	hpn:HPIN_06620
ko:K02169	hpn:HPIN_06625
ko:K03075	hpn:HPIN_06630
ko:K02838	hpn:HPIN_06635
ko:K00762	hpn:HPIN_06640
ko:K12410	hpn:HPIN_06650
ko:K00330	hpn:HPIN_06655
ko:K00331	hpn:HPIN_06660
ko:K00332	hpn:HPIN_06665
ko:K00333	hpn:HPIN_06670
ko:K00334	hpn:HPIN_06675
ko:K00337	hpn:HPIN_06690
ko:K01647	hpn:HPIN_00115
ko:K00031	hpn:HPIN_00120
ko:K01935	hpn:HPIN_00130
ko:K06891	hpn:HPIN_00145
ko:K03694	hpn:HPIN_00150
ko:K01579	hpn:HPIN_00155
ko:K09747	hpn:HPIN_00160
ko:K01711	hpn:HPIN_00195
ko:K02377	hpn:HPIN_00200
ko:K04656	hpn:HPIN_00215
ko:K13821	hpn:HPIN_00245
ko:K03190	hpn:HPIN_00295
ko:K03189	hpn:HPIN_00300
ko:K03188	hpn:HPIN_00305
ko:K03187	hpn:HPIN_00310
ko:K01428	hpn:HPIN_00325
ko:K03101	hpn:HPIN_00335
ko:K03431	hpn:HPIN_00340
ko:K02968	hpn:HPIN_00345
ko:K02835	hpn:HPIN_00350
ko:K02996	hpn:HPIN_00390
ko:K02871	hpn:HPIN_00395
ko:K00795	hpn:HPIN_04730
ko:K03787	hpn:HPIN_04735
ko:K01737	hpn:HPIN_04745
ko:K01775	hpn:HPIN_04805
ko:K03310	hpn:HPIN_04810
ko:K00285	hpn:HPIN_04815
ko:K00783	hpn:HPIN_04845
ko:K01963	hpn:HPIN_04850
ko:K13292	hpn:HPIN_04880
ko:K02527	hpn:HPIN_04890
ko:K07164	hpn:HPIN_04895
ko:K01878	hpn:HPIN_04905
ko:K00057	hpn:HPIN_04910
ko:K01879	hpn:HPIN_04960
ko:K15633	hpn:HPIN_04970
ko:K02435	hpn:HPIN_04975
ko:K00812	hpn:HPIN_03280
ko:K11473	hpn:HPIN_03310
ko:K01736	hpn:HPIN_03325
ko:K03685	hpn:HPIN_03330
ko:K02434	hpn:HPIN_03350
ko:K07277	hpn:HPIN_03365
ko:K02217	hpn:HPIN_03375
ko:K01079	hpn:HPIN_03380
ko:K01744	hpn:HPIN_03395
ko:K00790	hpn:HPIN_03400
ko:K00963	hpn:HPIN_03410
ko:K08309	hpn:HPIN_03415
ko:K02221	hpn:HPIN_03420
ko:K06920	hpn:HPIN_03450
ko:K03620	hpn:HPIN_03480
ko:K03923	hpn:HPIN_03500
ko:K01924	hpn:HPIN_03530
ko:K07456	hpn:HPIN_03540
ko:K00428	hpn:HPIN_07810
ko:K02337	hpn:HPIN_07815
ko:K06178	hpn:HPIN_07820
ko:K07337	hpn:HPIN_07830
ko:K03650	hpn:HPIN_07860
ko:K03217	hpn:HPIN_07870
ko:K03536	hpn:HPIN_07880
ko:K02914	hpn:HPIN_07885
ko:K03561	hpn:HPIN_07895
ko:K03664	hpn:HPIN_07900
ko:K00919	hpn:HPIN_07905
ko:K03563	hpn:HPIN_07910
ko:K16091	hpn:HPIN_03225
ko:K16091	hpn:HPIN_02565
ko:K16091	hpn:HPIN_07425
ko:K14233	hpn:HPIN_t08444
ko:K14219	hpn:HPIN_t08474
ko:K14226	hpn:HPIN_t08476
ko:K15726	hpn:HPIN_04945
ko:K14230	hpn:HPIN_t08486
ko:K14234	hpn:HPIN_t08490
ko:K14225	hpn:HPIN_t08492
ko:K14236	hpn:HPIN_t08494
ko:K14234	hpn:HPIN_t08496
ko:K14228	hpn:HPIN_t08498
ko:K14228	hpn:HPIN_t08500
ko:K14231	hpn:HPIN_t08502
ko:K10716	hpn:HPIN_04450
ko:K14218	hpn:HPIN_t08448
ko:K14233	hpn:HPIN_t08470
ko:K14218	hpn:HPIN_t08484
ko:K02014	hpn:HPIN_02230
ko:K02014	hpn:HPIN_07550
ko:K03496	hpn:HPIN_03785
ko:K02028	hpn:HPIN_05825
ko:K02030	hpn:HPIN_05830
ko:K15898	hpn:HPIN_06250
ko:K01674	hpn:HPIN_06255
ko:K02843	hpn:HPIN_06275
ko:K02433	hpn:HPIN_02445
ko:K00088	hpn:HPIN_02450
ko:K05845	hpn:HPIN_02510
ko:K05846	hpn:HPIN_02510
ko:K03635	hpn:HPIN_02600
