ko:K18928	btd:BTI_4410
ko:K01734	btd:BTI_2681
ko:K00761	btd:BTI_2683
ko:K01945	btd:BTI_2685
ko:K00228	btd:BTI_2686
ko:K00969	btd:BTI_2687
ko:K09710	btd:BTI_2688
ko:K00783	btd:BTI_2689
ko:K06287	btd:BTI_2690
ko:K08301	btd:BTI_2691
ko:K16345	btd:BTI_2695
ko:K03088	btd:BTI_2705
ko:K02337	btd:BTI_2718
ko:K07146	btd:BTI_2719
ko:K01894	btd:BTI_2720
ko:K08289	btd:BTI_2725
ko:K03466	btd:BTI_2727
ko:K08191	btd:BTI_3527
ko:K01706	btd:BTI_3531
ko:K01706	btd:BTI_3532
ko:K01707	btd:BTI_3535
ko:K08224	btd:BTI_3539
ko:K00789	btd:BTI_3546
ko:K02517	btd:BTI_3547
ko:K01778	btd:BTI_3548
ko:K09921	btd:BTI_3549
ko:K03733	btd:BTI_3550
ko:K06969	btd:BTI_3551
ko:K06204	btd:BTI_3553
ko:K01419	btd:BTI_3554
ko:K03667	btd:BTI_3555
ko:K15012	btd:BTI_3556
ko:K15011	btd:BTI_3557
ko:K00930	btd:BTI_3559
ko:K05501	btd:BTI_3561
ko:K00641	btd:BTI_3562
ko:K08218	btd:BTI_3564
ko:K13979	btd:BTI_3567
ko:K01142	btd:BTI_3568
ko:K02434	btd:BTI_3570
ko:K02435	btd:BTI_3572
ko:K03569	btd:BTI_3573
ko:K03570	btd:BTI_3574
ko:K03571	btd:BTI_3575
ko:K05515	btd:BTI_3576
ko:K05837	btd:BTI_3577
ko:K12658	btd:BTI_4399
ko:K15977	btd:BTI_4406
ko:K03303	btd:BTI_4407
ko:K00782	btd:BTI_4408
ko:K02072	btd:BTI_4415
ko:K02071	btd:BTI_4416
ko:K02073	btd:BTI_4418
ko:K00137	btd:BTI_4424
ko:K00053	btd:BTI_4426
ko:K01586	btd:BTI_4428
ko:K00645	btd:BTI_4432
ko:K07088	btd:BTI_4434
ko:K01008	btd:BTI_4445
ko:K00375	btd:BTI_4447
ko:K00823	btd:BTI_4448
ko:K00826	btd:BTI_5183
ko:K01666	btd:BTI_5186
ko:K15256	btd:BTI_5191
ko:K00788	btd:BTI_5193
ko:K01821	btd:BTI_5198
ko:K02019	btd:BTI_5200
ko:K02018	btd:BTI_5202
ko:K02020	btd:BTI_5203
ko:K03534	btd:BTI_5613
ko:K01999	btd:BTI_5614
ko:K11068	btd:BTI_5615
ko:K11734	btd:BTI_5617
ko:K00832	btd:BTI_5618
ko:K01993	btd:BTI_5626
ko:K05367	btd:BTI_5631
ko:K06894	btd:BTI_5632
ko:K01869	btd:BTI_5636
ko:K02935	btd:BTI_343
ko:K03043	btd:BTI_344
ko:K03046	btd:BTI_345
ko:K03654	btd:BTI_346
ko:K02950	btd:BTI_347
ko:K02992	btd:BTI_348
ko:K02355	btd:BTI_349
ko:K02358	btd:BTI_350
ko:K02946	btd:BTI_351
ko:K02906	btd:BTI_352
ko:K02926	btd:BTI_353
ko:K02892	btd:BTI_354
ko:K02886	btd:BTI_355
ko:K02965	btd:BTI_356
ko:K02890	btd:BTI_357
ko:K02982	btd:BTI_358
ko:K02878	btd:BTI_359
ko:K02904	btd:BTI_360
ko:K02961	btd:BTI_361
ko:K02874	btd:BTI_362
ko:K02895	btd:BTI_363
ko:K02931	btd:BTI_364
ko:K02954	btd:BTI_365
ko:K02994	btd:BTI_366
ko:K02933	btd:BTI_367
ko:K02881	btd:BTI_368
ko:K02988	btd:BTI_369
ko:K02907	btd:BTI_370
ko:K02876	btd:BTI_371
ko:K03076	btd:BTI_372
ko:K02518	btd:BTI_373
ko:K02919	btd:BTI_374
ko:K02952	btd:BTI_375
ko:K02948	btd:BTI_376
ko:K02986	btd:BTI_377
ko:K03040	btd:BTI_378
ko:K02879	btd:BTI_379
ko:K03926	btd:BTI_380
ko:K04084	btd:BTI_381
ko:K01698	btd:BTI_382
ko:K03978	btd:BTI_383
ko:K07399	btd:BTI_385
ko:K01586	btd:BTI_389
ko:K06202	btd:BTI_391
ko:K05366	btd:BTI_392
ko:K02666	btd:BTI_396
ko:K00891	btd:BTI_397
ko:K01735	btd:BTI_398
ko:K01129	btd:BTI_399
ko:K05813	btd:BTI_400
ko:K07152	btd:BTI_1221
ko:K01087	btd:BTI_1222
ko:K00697	btd:BTI_1223
ko:K08983	btd:BTI_1227
ko:K01999	btd:BTI_1229
ko:K01114	btd:BTI_1230
ko:K00868	btd:BTI_1231
ko:K00720	btd:BTI_1234
ko:K10016	btd:BTI_1239
ko:K10015	btd:BTI_1240
ko:K00673	btd:BTI_1245
ko:K00673	btd:BTI_1246
ko:K06447	btd:BTI_1247
ko:K01484	btd:BTI_1248
ko:K05526	btd:BTI_1249
ko:K10013	btd:BTI_1252
ko:K10255	btd:BTI_1253
ko:K02300	btd:BTI_1254
ko:K02299	btd:BTI_1255
ko:K02298	btd:BTI_1256
ko:K02297	btd:BTI_1257
ko:K13771	btd:BTI_1259
ko:K11717	btd:BTI_1263
ko:K09015	btd:BTI_1264
ko:K09013	btd:BTI_1265
ko:K09014	btd:BTI_1266
ko:K07234	btd:BTI_1267
ko:K02029	btd:BTI_2088
ko:K12511	btd:BTI_2093
ko:K02283	btd:BTI_2095
ko:K02282	btd:BTI_2096
ko:K02278	btd:BTI_2099
ko:K02651	btd:BTI_2100
ko:K09786	btd:BTI_2105
ko:K07180	btd:BTI_2106
ko:K02529	btd:BTI_2109
ko:K10441	btd:BTI_2111
ko:K13635	btd:BTI_2113
ko:K02045	btd:BTI_2114
ko:K02047	btd:BTI_2115
ko:K02046	btd:BTI_2116
ko:K02048	btd:BTI_2117
ko:K01356	btd:BTI_2118
ko:K09695	btd:BTI_2122
ko:K09694	btd:BTI_2123
ko:K07089	btd:BTI_2125
ko:K05539	btd:BTI_2130
ko:K15554	btd:BTI_2136
ko:K00912	btd:BTI_2943
ko:K09791	btd:BTI_2944
ko:K00979	btd:BTI_2945
ko:K03980	btd:BTI_2949
ko:K02968	btd:BTI_2950
ko:K00075	btd:BTI_2953
ko:K09767	btd:BTI_2954
ko:K08591	btd:BTI_2955
ko:K06925	btd:BTI_2961
ko:K01448	btd:BTI_2962
ko:K15268	btd:BTI_2963
ko:K06911	btd:BTI_2964
ko:K05838	btd:BTI_2965
ko:K00275	btd:BTI_2967
ko:K00574	btd:BTI_2968
ko:K07130	btd:BTI_2973
ko:K01556	btd:BTI_2974
ko:K00453	btd:BTI_2975
ko:K08195	btd:BTI_2976
ko:K00141	btd:BTI_2978
ko:K01576	btd:BTI_2979
ko:K00007	btd:BTI_2981
ko:K10229	btd:BTI_2990
ko:K10228	btd:BTI_2991
ko:K10227	btd:BTI_2992
ko:K16371	btd:BTI_2993
ko:K00847	btd:BTI_2994
ko:K13889	btd:BTI_3800
ko:K13892	btd:BTI_3801
ko:K13051	btd:BTI_3802
ko:K02168	btd:BTI_3804
ko:K01114	btd:BTI_3808
ko:K02034	btd:BTI_3814
ko:K01870	btd:BTI_3818
ko:K03710	btd:BTI_3831
ko:K07112	btd:BTI_3842
ko:K07112	btd:BTI_3843
ko:K11717	btd:BTI_3847
ko:K00640	btd:BTI_3850
ko:K03543	btd:BTI_3853
ko:K00865	btd:BTI_4662
ko:K02336	btd:BTI_4664
ko:K03671	btd:BTI_4667
ko:K01114	btd:BTI_4669
ko:K13993	btd:BTI_4672
ko:K00259	btd:BTI_4674
ko:K01950	btd:BTI_4676
ko:K00948	btd:BTI_4678
ko:K03781	btd:BTI_4693
ko:K03701	btd:BTI_4697
ko:K08195	btd:BTI_4704
ko:K01055	btd:BTI_4706
ko:K01857	btd:BTI_4707
ko:K01032	btd:BTI_4708
ko:K01031	btd:BTI_4709
ko:K00481	btd:BTI_4710
ko:K01495	btd:BTI_4712
ko:K00640	btd:BTI_4714
ko:K00375	btd:BTI_5329
ko:K07552	btd:BTI_5331
ko:K03430	btd:BTI_5336
ko:K01841	btd:BTI_5338
ko:K10716	btd:BTI_5751
ko:K06194	btd:BTI_5760
ko:K02034	btd:BTI_5765
ko:K08641	btd:BTI_5768
ko:K14219	btd:BTI_213
ko:K14219	btd:BTI_1047
ko:K14219	btd:BTI_1048
ko:K14219	btd:BTI_2449
ko:K14219	btd:BTI_2778
ko:K14227	btd:BTI_327
ko:K14227	btd:BTI_2600
ko:K14227	btd:BTI_563
ko:K14227	btd:BTI_4378
ko:K14218	btd:BTI_328
ko:K14218	btd:BTI_2599
ko:K14218	btd:BTI_4377
ko:K14218	btd:BTI_564
ko:K14218	btd:BTI_1430
ko:K14236	btd:BTI_332
ko:K14225	btd:BTI_979
ko:K14225	btd:BTI_1212
ko:K14225	btd:BTI_1213
ko:K14235	btd:BTI_337
ko:K14234	btd:BTI_452
ko:K14234	btd:BTI_1061
ko:K14232	btd:BTI_601
ko:K14232	btd:BTI_2331
ko:K14229	btd:BTI_837
ko:K14233	btd:BTI_1022
ko:K14233	btd:BTI_1039
ko:K14233	btd:BTI_1401
ko:K14220	btd:BTI_1165
ko:K14220	btd:BTI_1166
ko:K14237	btd:BTI_1302
ko:K14237	btd:BTI_1614
ko:K14237	btd:BTI_2343
ko:K14237	btd:BTI_4978
ko:K14230	btd:BTI_1328
ko:K14230	btd:BTI_2142
ko:K14221	btd:BTI_1432
ko:K14221	btd:BTI_1619
ko:K14221	btd:BTI_1434
ko:K14228	btd:BTI_1550
ko:K14228	btd:BTI_2158
ko:K14228	btd:BTI_2159
ko:K14228	btd:BTI_2637
ko:K14228	btd:BTI_2874
ko:K14226	btd:BTI_2131
ko:K14232	btd:BTI_2461
ko:K14223	btd:BTI_3226
ko:K14231	btd:BTI_3583
ko:K14233	btd:BTI_4344
ko:K03808	btd:BTI_730
ko:K03808	btd:BTI_731
ko:K12262	btd:BTI_732
ko:K03762	btd:BTI_735
ko:K03074	btd:BTI_736
ko:K03072	btd:BTI_737
ko:K03210	btd:BTI_738
ko:K00773	btd:BTI_739
ko:K07568	btd:BTI_740
ko:K03655	btd:BTI_741
ko:K04761	btd:BTI_742
ko:K03782	btd:BTI_744
ko:K04047	btd:BTI_746
ko:K03179	btd:BTI_747
ko:K05774	btd:BTI_748
ko:K01961	btd:BTI_624
ko:K02160	btd:BTI_625
ko:K03786	btd:BTI_626
ko:K02558	btd:BTI_629
ko:K07000	btd:BTI_630
ko:K01147	btd:BTI_631
ko:K00014	btd:BTI_632
ko:K03814	btd:BTI_633
ko:K00883	btd:BTI_637
ko:K01631	btd:BTI_638
ko:K10537	btd:BTI_640
ko:K10539	btd:BTI_641
ko:K10538	btd:BTI_642
ko:K01591	btd:BTI_645
ko:K01095	btd:BTI_647
ko:K00946	btd:BTI_648
ko:K00029	btd:BTI_649
ko:K09761	btd:BTI_652
ko:K00797	btd:BTI_654
ko:K00615	btd:BTI_655
ko:K00134	btd:BTI_656
ko:K01725	btd:BTI_658
ko:K01673	btd:BTI_659
ko:K11921	btd:BTI_660
ko:K11103	btd:BTI_662
ko:K01477	btd:BTI_663
ko:K01483	btd:BTI_664
ko:K06186	btd:BTI_666
ko:K00215	btd:BTI_667
ko:K03561	btd:BTI_668
ko:K01869	btd:BTI_670
ko:K03643	btd:BTI_671
ko:K02340	btd:BTI_672
ko:K00147	btd:BTI_673
ko:K08973	btd:BTI_674
ko:K07136	btd:BTI_675
ko:K01690	btd:BTI_677
ko:K09773	btd:BTI_1487
ko:K03664	btd:BTI_1492
ko:K09801	btd:BTI_1494
ko:K01951	btd:BTI_1502
ko:K11991	btd:BTI_1512
ko:K16841	btd:BTI_1516
ko:K13485	btd:BTI_1518
ko:K01477	btd:BTI_1519
ko:K01483	btd:BTI_1520
ko:K07127	btd:BTI_1524
ko:K09165	btd:BTI_1527
ko:K03282	btd:BTI_1530
ko:K03969	btd:BTI_1532
ko:K05366	btd:BTI_1533
ko:K01754	btd:BTI_1535
ko:K01438	btd:BTI_1536
ko:K03723	btd:BTI_1538
ko:K00991	btd:BTI_1539
ko:K03809	btd:BTI_2360
ko:K08223	btd:BTI_2371
ko:K03657	btd:BTI_2373
ko:K01873	btd:BTI_2374
ko:K00963	btd:BTI_2375
ko:K02057	btd:BTI_2388
ko:K03338	btd:BTI_2390
ko:K03336	btd:BTI_2391
ko:K03335	btd:BTI_2392
ko:K03337	btd:BTI_2393
ko:K01996	btd:BTI_2394
ko:K01995	btd:BTI_2395
ko:K01998	btd:BTI_2395
ko:K01997	btd:BTI_2396
ko:K07107	btd:BTI_2397
ko:K01872	btd:BTI_2404
ko:K04062	btd:BTI_2407
ko:K01886	btd:BTI_2408
ko:K01207	btd:BTI_2411
ko:K06041	btd:BTI_3209
ko:K03270	btd:BTI_3210
ko:K11719	btd:BTI_3211
ko:K09774	btd:BTI_3212
ko:K06861	btd:BTI_3213
ko:K03092	btd:BTI_3215
ko:K05808	btd:BTI_3216
ko:K06958	btd:BTI_3219
ko:K07157	btd:BTI_3220
ko:K03575	btd:BTI_3221
ko:K02494	btd:BTI_3224
ko:K00919	btd:BTI_3225
ko:K00948	btd:BTI_3227
ko:K02897	btd:BTI_3228
ko:K01056	btd:BTI_3229
ko:K00817	btd:BTI_3230
ko:K00954	btd:BTI_3232
ko:K03110	btd:BTI_3234
ko:K00362	btd:BTI_3236
ko:K00363	btd:BTI_3237
ko:K00372	btd:BTI_3238
ko:K01649	btd:BTI_3240
ko:K03089	btd:BTI_3243
ko:K00425	btd:BTI_3245
ko:K00426	btd:BTI_3247
ko:K02803	btd:BTI_3250
ko:K02804	btd:BTI_3250
ko:K01443	btd:BTI_3253
ko:K03710	btd:BTI_3254
ko:K14161	btd:BTI_3256
ko:K14160	btd:BTI_3257
ko:K03219	btd:BTI_4077
ko:K02669	btd:BTI_4087
ko:K03220	btd:BTI_4098
ko:K03226	btd:BTI_4101
ko:K03225	btd:BTI_4102
ko:K03230	btd:BTI_4104
ko:K03229	btd:BTI_4105
ko:K03222	btd:BTI_4108
ko:K03223	btd:BTI_4114
ko:K03224	btd:BTI_4115
ko:K03228	btd:BTI_4117
ko:K01858	btd:BTI_4937
ko:K00574	btd:BTI_4943
ko:K13777	btd:BTI_4952
ko:K13779	btd:BTI_4953
ko:K11731	btd:BTI_4954
ko:K13778	btd:BTI_4955
ko:K13774	btd:BTI_4956
ko:K03717	btd:BTI_4977
ko:K00820	btd:BTI_4987
ko:K05591	btd:BTI_4988
ko:K07001	btd:BTI_5452
ko:K03569	btd:BTI_5453
ko:K07023	btd:BTI_5459
ko:K07771	btd:BTI_5466
ko:K13633	btd:BTI_5471
ko:K09927	btd:BTI_5478
ko:K02030	btd:BTI_5268
ko:K02043	btd:BTI_750
ko:K06166	btd:BTI_751
ko:K06165	btd:BTI_752
ko:K06164	btd:BTI_753
ko:K06163	btd:BTI_754
ko:K05781	btd:BTI_755
ko:K05780	btd:BTI_756
ko:K06162	btd:BTI_757
ko:K02041	btd:BTI_758
ko:K02044	btd:BTI_759
ko:K02042	btd:BTI_760
ko:K00286	btd:BTI_761
ko:K06997	btd:BTI_762
ko:K11473	btd:BTI_763
ko:K11472	btd:BTI_764
ko:K00798	btd:BTI_767
ko:K05916	btd:BTI_768
ko:K01626	btd:BTI_769
ko:K03568	btd:BTI_770
ko:K00982	btd:BTI_773
ko:K03631	btd:BTI_774
ko:K00858	btd:BTI_775
ko:K03705	btd:BTI_776
ko:K01772	btd:BTI_777
ko:K04762	btd:BTI_778
ko:K03687	btd:BTI_779
ko:K04043	btd:BTI_780
ko:K03686	btd:BTI_781
ko:K00606	btd:BTI_783
ko:K00077	btd:BTI_1607
ko:K00865	btd:BTI_1609
ko:K03545	btd:BTI_1610
ko:K01358	btd:BTI_1611
ko:K03544	btd:BTI_1612
ko:K01338	btd:BTI_1613
ko:K03770	btd:BTI_1620
ko:K10804	btd:BTI_1621
ko:K02003	btd:BTI_1622
ko:K01810	btd:BTI_1623
ko:K00285	btd:BTI_1625
ko:K01952	btd:BTI_1626
ko:K05527	btd:BTI_1628
ko:K06190	btd:BTI_1629
ko:K07516	btd:BTI_1633
ko:K08281	btd:BTI_1634
ko:K06980	btd:BTI_1643
ko:K07082	btd:BTI_1644
ko:K00943	btd:BTI_1645
ko:K02341	btd:BTI_1646
ko:K03823	btd:BTI_1647
ko:K03424	btd:BTI_1648
ko:K00937	btd:BTI_2467
ko:K07636	btd:BTI_2468
ko:K02039	btd:BTI_2470
ko:K02036	btd:BTI_2471
ko:K02038	btd:BTI_2472
ko:K02037	btd:BTI_2473
ko:K02040	btd:BTI_2474
ko:K03431	btd:BTI_2475
ko:K00796	btd:BTI_2476
ko:K03798	btd:BTI_2477
ko:K03624	btd:BTI_2481
ko:K01955	btd:BTI_2482
ko:K11250	btd:BTI_2483
ko:K01956	btd:BTI_2484
ko:K08307	btd:BTI_2486
ko:K09771	btd:BTI_2491
ko:K03762	btd:BTI_2492
ko:K00645	btd:BTI_2495
ko:K13930	btd:BTI_2496
ko:K13934	btd:BTI_2497
ko:K13933	btd:BTI_2498
ko:K13932	btd:BTI_2499
ko:K13931	btd:BTI_2500
ko:K13929	btd:BTI_2501
ko:K09965	btd:BTI_2516
ko:K03644	btd:BTI_3320
ko:K03801	btd:BTI_3321
ko:K09158	btd:BTI_3324
ko:K00824	btd:BTI_3325
ko:K07018	btd:BTI_3327
ko:K02065	btd:BTI_3332
ko:K02066	btd:BTI_3333
ko:K03524	btd:BTI_3336
ko:K03525	btd:BTI_3337
ko:K07001	btd:BTI_3341
ko:K16171	btd:BTI_3344
ko:K01887	btd:BTI_3351
ko:K03673	btd:BTI_3353
ko:K12368	btd:BTI_3357
ko:K00906	btd:BTI_3359
ko:K01673	btd:BTI_3360
ko:K09858	btd:BTI_3363
ko:K00833	btd:BTI_3365
ko:K06987	btd:BTI_4187
ko:K07058	btd:BTI_4189
ko:K00963	btd:BTI_4193
ko:K01711	btd:BTI_4200
ko:K10764	btd:BTI_4203
ko:K00764	btd:BTI_4204
ko:K03558	btd:BTI_4205
ko:K03749	btd:BTI_4206
ko:K11754	btd:BTI_4207
ko:K01963	btd:BTI_4208
ko:K01695	btd:BTI_4209
ko:K01696	btd:BTI_4211
ko:K01817	btd:BTI_4212
ko:K06173	btd:BTI_4213
ko:K00133	btd:BTI_4215
ko:K00052	btd:BTI_4217
ko:K01704	btd:BTI_4218
ko:K01703	btd:BTI_4220
ko:K00163	btd:BTI_4222
ko:K01647	btd:BTI_4226
ko:K09159	btd:BTI_4227
ko:K00240	btd:BTI_4228
ko:K00239	btd:BTI_4229
ko:K00242	btd:BTI_4230
ko:K03710	btd:BTI_4232
ko:K00024	btd:BTI_4233
ko:K01644	btd:BTI_4234
ko:K02108	btd:BTI_5044
ko:K02110	btd:BTI_5045
ko:K02109	btd:BTI_5046
ko:K02111	btd:BTI_5047
ko:K02115	btd:BTI_5048
ko:K13926	btd:BTI_5052
ko:K01993	btd:BTI_5053
ko:K02003	btd:BTI_5059
ko:K06966	btd:BTI_5067
ko:K00023	btd:BTI_5074
ko:K07044	btd:BTI_5076
ko:K11733	btd:BTI_5077
ko:K05783	btd:BTI_5084
ko:K05784	btd:BTI_5085
ko:K05550	btd:BTI_5086
ko:K05549	btd:BTI_5087
ko:K02509	btd:BTI_5506
ko:K02011	btd:BTI_5510
ko:K02012	btd:BTI_5511
ko:K07774	btd:BTI_5512
ko:K07649	btd:BTI_5513
ko:K07140	btd:BTI_5514
ko:K15553	btd:BTI_5515
ko:K01775	btd:BTI_5530
ko:K02457	btd:BTI_115
ko:K02456	btd:BTI_116
ko:K02452	btd:BTI_117
ko:K02455	btd:BTI_118
ko:K02453	btd:BTI_120
ko:K03530	btd:BTI_123
ko:K15461	btd:BTI_124
ko:K06048	btd:BTI_126
ko:K01951	btd:BTI_128
ko:K00500	btd:BTI_135
ko:K00140	btd:BTI_139
ko:K01995	btd:BTI_141
ko:K01996	btd:BTI_142
ko:K01999	btd:BTI_144
ko:K01997	btd:BTI_145
ko:K01998	btd:BTI_146
ko:K01999	btd:BTI_148
ko:K01997	btd:BTI_149
ko:K01995	btd:BTI_150
ko:K01998	btd:BTI_150
ko:K01996	btd:BTI_151
ko:K03495	btd:BTI_152
ko:K03501	btd:BTI_153
ko:K02108	btd:BTI_158
ko:K02110	btd:BTI_159
ko:K02109	btd:BTI_160
ko:K02113	btd:BTI_161
ko:K02111	btd:BTI_162
ko:K02115	btd:BTI_163
ko:K02112	btd:BTI_164
ko:K02114	btd:BTI_165
ko:K06929	btd:BTI_168
ko:K01713	btd:BTI_167
ko:K11752	btd:BTI_1000
ko:K01845	btd:BTI_1001
ko:K07552	btd:BTI_1003
ko:K10009	btd:BTI_1005
