ko:K01154	saw:SAHV_0430
ko:K04766	saw:SAHV_1720
ko:K04768	saw:SAHV_1721
ko:K01924	saw:SAHV_1726
ko:K06878	saw:SAHV_1728
ko:K03439	saw:SAHV_1734
ko:K00824	saw:SAHV_1736
ko:K01439	saw:SAHV_1737
ko:K07007	saw:SAHV_1741
ko:K01869	saw:SAHV_1746
ko:K07139	saw:SAHV_1748
ko:K03893	saw:SAHV_1759
ko:K03588	saw:SAHV_1105
ko:K02259	saw:SAHV_1107
ko:K08976	saw:SAHV_1109
ko:K01126	saw:SAHV_1112
ko:K07040	saw:SAHV_1118
ko:K02911	saw:SAHV_1119
ko:K02016	saw:SAHV_1124
ko:K02015	saw:SAHV_1125
ko:K08600	saw:SAHV_1126
ko:K03437	saw:SAHV_1128
ko:K09888	saw:SAHV_1132
ko:K03703	saw:SAHV_1137
ko:K04078	saw:SAHV_2015
ko:K07078	saw:SAHV_2018
ko:K07813	saw:SAHV_2021
ko:K07706	saw:SAHV_2023
ko:K07707	saw:SAHV_2024
ko:K00847	saw:SAHV_2025
ko:K03320	saw:SAHV_2028
ko:K07112	saw:SAHV_2030
ko:K01926	saw:SAHV_2031
ko:K06158	saw:SAHV_2032
ko:K02777	saw:SAHV_1410
ko:K00287	saw:SAHV_1414
ko:K00560	saw:SAHV_1415
ko:K09125	saw:SAHV_1420
ko:K03469	saw:SAHV_1421
ko:K08170	saw:SAHV_1424
ko:K01754	saw:SAHV_1426
ko:K00259	saw:SAHV_1427
ko:K07444	saw:SAHV_1432
ko:K02086	saw:SAHV_1441
ko:K06973	saw:SAHV_1448
ko:K00800	saw:SAHV_1452
ko:K01735	saw:SAHV_1453
ko:K01736	saw:SAHV_1454
ko:K00940	saw:SAHV_1457
ko:K03183	saw:SAHV_1459
ko:K00057	saw:SAHV_1462
ko:K03977	saw:SAHV_1463
ko:K02945	saw:SAHV_1464
ko:K00945	saw:SAHV_1466
ko:K07590	saw:SAHV_0542
ko:K02950	saw:SAHV_0543
ko:K02992	saw:SAHV_0544
ko:K02355	saw:SAHV_0545
ko:K02358	saw:SAHV_0546
ko:K00639	saw:SAHV_0548
ko:K05523	saw:SAHV_0549
ko:K02564	saw:SAHV_0567
ko:K07002	saw:SAHV_1816
ko:K01772	saw:SAHV_1818
ko:K01599	saw:SAHV_1819
ko:K07533	saw:SAHV_1826
ko:K03698	saw:SAHV_1827
ko:K01814	saw:SAHV_2658
ko:K01693	saw:SAHV_2660
ko:K00817	saw:SAHV_2661
ko:K00788	saw:SAHV_2076
ko:K00878	saw:SAHV_2077
ko:K02372	saw:SAHV_2083
ko:K02112	saw:SAHV_2087
ko:K02111	saw:SAHV_2089
ko:K02113	saw:SAHV_2090
ko:K02109	saw:SAHV_2091
ko:K00761	saw:SAHV_2096
ko:K00600	saw:SAHV_2097
ko:K07566	saw:SAHV_2100
ko:K02493	saw:SAHV_2101
ko:K02909	saw:SAHV_2104
ko:K03628	saw:SAHV_2105
ko:K00790	saw:SAHV_2108
ko:K01624	saw:SAHV_2109
ko:K01937	saw:SAHV_2111
ko:K09680	saw:SAHV_2114
ko:K01619	saw:SAHV_2121
ko:K04047	saw:SAHV_2123
ko:K07243	saw:SAHV_0342
ko:K03118	saw:SAHV_0343
ko:K03116	saw:SAHV_0344
ko:K03625	saw:SAHV_1512
ko:K01262	saw:SAHV_1517
ko:K03800	saw:SAHV_1520
ko:K00283	saw:SAHV_1522
ko:K00282	saw:SAHV_1523
ko:K00605	saw:SAHV_1524
ko:K00891	saw:SAHV_1525
ko:K08998	saw:SAHV_1780
ko:K02549	saw:SAHV_1781
ko:K00611	saw:SAHV_1159
ko:K00926	saw:SAHV_1160
ko:K03925	saw:SAHV_1168
ko:K03438	saw:SAHV_1169
ko:K01000	saw:SAHV_1172
ko:K01925	saw:SAHV_1173
ko:K03589	saw:SAHV_1174
ko:K03590	saw:SAHV_1175
ko:K03531	saw:SAHV_1176
ko:K05810	saw:SAHV_1177
ko:K06997	saw:SAHV_1178
ko:K09772	saw:SAHV_1179
ko:K02221	saw:SAHV_1180
ko:K04074	saw:SAHV_1182
ko:K01870	saw:SAHV_1183
ko:K07104	saw:SAHV_1184
ko:K03101	saw:SAHV_1186
ko:K01955	saw:SAHV_1193
ko:K01591	saw:SAHV_1194
ko:K00942	saw:SAHV_1199
ko:K01929	saw:SAHV_2067
ko:K01921	saw:SAHV_2068
ko:K05837	saw:SAHV_2069
ko:K06950	saw:SAHV_2074
ko:K03217	saw:SAHV_2075
ko:K00869	saw:SAHV_0588
ko:K01597	saw:SAHV_0589
ko:K00938	saw:SAHV_0590
ko:K03654	saw:SAHV_1470
ko:K07775	saw:SAHV_1480
ko:K09763	saw:SAHV_1484
ko:K00286	saw:SAHV_1491
ko:K00784	saw:SAHV_1492
ko:K00036	saw:SAHV_1493
ko:K00033	saw:SAHV_1499
ko:K00382	saw:SAHV_1506
ko:K03402	saw:SAHV_1508
ko:K00656	saw:SAHV_0225
ko:K02939	saw:SAHV_0015
ko:K02314	saw:SAHV_0016
ko:K01939	saw:SAHV_0017
ko:K07668	saw:SAHV_0018
ko:K07652	saw:SAHV_0019
ko:K00783	saw:SAHV_0024
ko:K01126	saw:SAHV_0038
ko:K05568	saw:SAHV_0944
ko:K05567	saw:SAHV_0945
ko:K05566	saw:SAHV_0946
ko:K01220	saw:SAHV_2173
ko:K02530	saw:SAHV_2180
ko:K03311	saw:SAHV_0303
ko:K02003	saw:SAHV_0306
ko:K01639	saw:SAHV_0312
ko:K01788	saw:SAHV_0315
ko:K07146	saw:SAHV_2673
ko:K01304	saw:SAHV_2674
ko:K03319	saw:SAHV_2678
ko:K05786	saw:SAHV_2680
ko:K07241	saw:SAHV_2682
ko:K03704	saw:SAHV_2688
ko:K03495	saw:SAHV_2695
ko:K03650	saw:SAHV_2696
ko:K03536	saw:SAHV_2697
ko:K02914	saw:SAHV_2698
ko:K02749	saw:SAHV_2307
ko:K00826	saw:SAHV_0552
ko:K02750	saw:SAHV_2307
ko:K03976	saw:SAHV_0694
ko:K00882	saw:SAHV_0696
ko:K01443	saw:SAHV_0698
ko:K01737	saw:SAHV_0708
ko:K06920	saw:SAHV_0709
ko:K03654	saw:SAHV_0718
ko:K05845	saw:SAHV_0720
ko:K05846	saw:SAHV_0720
ko:K03305	saw:SAHV_0724
ko:K02015	saw:SAHV_0730
ko:K02015	saw:SAHV_0731
ko:K02013	saw:SAHV_0732
ko:K02016	saw:SAHV_0733
ko:K07160	saw:SAHV_1592
ko:K02160	saw:SAHV_1594
ko:K07447	saw:SAHV_1603
ko:K01872	saw:SAHV_1605
ko:K03581	saw:SAHV_1606
ko:K00566	saw:SAHV_1608
ko:K01126	saw:SAHV_0954
ko:K01940	saw:SAHV_0956
ko:K03100	saw:SAHV_0959
ko:K03100	saw:SAHV_0960
ko:K03695	saw:SAHV_0970
ko:K06910	saw:SAHV_0975
ko:K09458	saw:SAHV_0979
ko:K02035	saw:SAHV_0986
ko:K02031	saw:SAHV_0987
ko:K02034	saw:SAHV_0990
ko:K01867	saw:SAHV_0991
ko:K08602	saw:SAHV_0995
ko:K06886	saw:SAHV_0997
ko:K07816	saw:SAHV_1000
ko:K00858	saw:SAHV_1001
ko:K06180	saw:SAHV_1002
ko:K06213	saw:SAHV_1003
ko:K03455	saw:SAHV_1004
ko:K00208	saw:SAHV_1005
ko:K03310	saw:SAHV_1007
ko:K03800	saw:SAHV_0324
ko:K02822	saw:SAHV_0327
ko:K02821	saw:SAHV_0328
ko:K02445	saw:SAHV_0333
ko:K02445	saw:SAHV_0334
ko:K07224	saw:SAHV_0340
ko:K00995	saw:SAHV_1273
ko:K03553	saw:SAHV_1275
ko:K00791	saw:SAHV_1293
ko:K00432	saw:SAHV_1295
ko:K04077	saw:SAHV_2014
ko:K00851	saw:SAHV_2490
ko:K03535	saw:SAHV_2496
ko:K06999	saw:SAHV_2502
ko:K06975	saw:SAHV_2505
ko:K07104	saw:SAHV_2506
ko:K06885	saw:SAHV_0601
ko:K01887	saw:SAHV_0605
ko:K07457	saw:SAHV_0606
ko:K02016	saw:SAHV_0607
ko:K02015	saw:SAHV_0608
ko:K07667	saw:SAHV_0069
ko:K07646	saw:SAHV_0070
ko:K08170	saw:SAHV_0102
ko:K10254	saw:SAHV_0105
ko:K02015	saw:SAHV_0112
ko:K02015	saw:SAHV_0113
ko:K02016	saw:SAHV_0114
ko:K01586	saw:SAHV_0122
ko:K02881	saw:SAHV_2218
ko:K02933	saw:SAHV_2219
ko:K02994	saw:SAHV_2220
ko:K02954	saw:SAHV_2221
ko:K02895	saw:SAHV_2223
ko:K02874	saw:SAHV_2224
ko:K02961	saw:SAHV_2225
ko:K02878	saw:SAHV_2227
ko:K02982	saw:SAHV_2228
ko:K02890	saw:SAHV_2229
ko:K02965	saw:SAHV_2230
ko:K02886	saw:SAHV_2231
ko:K02892	saw:SAHV_2232
ko:K02926	saw:SAHV_2233
ko:K02906	saw:SAHV_2234
ko:K02946	saw:SAHV_2235
ko:K06901	saw:SAHV_2237
ko:K05340	saw:SAHV_2240
ko:K07088	saw:SAHV_2242
ko:K08987	saw:SAHV_0417
ko:K03427	saw:SAHV_0429
ko:K05566	saw:SAHV_0620
ko:K05567	saw:SAHV_0621
ko:K05568	saw:SAHV_0622
ko:K05569	saw:SAHV_0623
ko:K05570	saw:SAHV_0624
ko:K05571	saw:SAHV_0625
ko:K07258	saw:SAHV_0639
ko:K02013	saw:SAHV_0644
ko:K02015	saw:SAHV_0645
ko:K02015	saw:SAHV_0646
ko:K05878	saw:SAHV_0647
ko:K05879	saw:SAHV_0648
ko:K07220	saw:SAHV_0660
ko:K03306	saw:SAHV_0661
ko:K06890	saw:SAHV_0663
ko:K01698	saw:SAHV_1655
ko:K01719	saw:SAHV_1656
ko:K01749	saw:SAHV_1657
ko:K01619	saw:SAHV_0137
ko:K02837	saw:SAHV_1014
ko:K02250	saw:SAHV_1019
ko:K03800	saw:SAHV_1021
ko:K02003	saw:SAHV_1028
ko:K02016	saw:SAHV_1031
ko:K02548	saw:SAHV_1034
ko:K02552	saw:SAHV_1035
ko:K08680	saw:SAHV_1037
ko:K01661	saw:SAHV_1038
ko:K02829	saw:SAHV_1050
ko:K02828	saw:SAHV_1051
ko:K01588	saw:SAHV_1056
ko:K05577	saw:SAHV_0450
ko:K09822	saw:SAHV_0451
ko:K03928	saw:SAHV_0455
ko:K03308	saw:SAHV_0456
ko:K02071	saw:SAHV_0459
ko:K02072	saw:SAHV_0460
ko:K02073	saw:SAHV_0461
ko:K00266	saw:SAHV_0470
ko:K01226	saw:SAHV_0472
ko:K03486	saw:SAHV_0473
ko:K08591	saw:SAHV_1341
ko:K03310	saw:SAHV_1344
ko:K03502	saw:SAHV_1352
ko:K00766	saw:SAHV_1357
ko:K01609	saw:SAHV_1358
ko:K01817	saw:SAHV_1359
ko:K07646	saw:SAHV_2063
ko:K04069	saw:SAHV_0226
ko:K01153	saw:SAHV_0194
ko:K01126	saw:SAHV_0227
ko:K00252	saw:SAHV_0232
ko:K02035	saw:SAHV_0236
ko:K05916	saw:SAHV_0239
ko:K07322	saw:SAHV_0258
ko:K00852	saw:SAHV_0267
ko:K06726	saw:SAHV_0268
ko:K00240	saw:SAHV_1140
ko:K01776	saw:SAHV_1141
ko:K07095	saw:SAHV_1143
ko:K00374	saw:SAHV_2378
ko:K06962	saw:SAHV_0530
ko:K03091	saw:SAHV_0531
ko:K03073	saw:SAHV_0532
ko:K02935	saw:SAHV_0538
ko:K06024	saw:SAHV_1482
ko:K09976	saw:SAHV_1332
ko:K03547	saw:SAHV_1334
ko:K03546	saw:SAHV_1335
ko:K03282	saw:SAHV_1336
ko:K07107	saw:SAHV_1339
ko:K01727	saw:SAHV_2186
ko:K01575	saw:SAHV_2190
ko:K02996	saw:SAHV_2201
ko:K02871	saw:SAHV_2202
ko:K02879	saw:SAHV_2207
ko:K02948	saw:SAHV_2209
ko:K02952	saw:SAHV_2210
ko:K02919	saw:SAHV_2211
ko:K00939	saw:SAHV_2213
ko:K02907	saw:SAHV_2216
ko:K02988	saw:SAHV_2217
ko:K07651	saw:SAHV_1479
ko:K08303	saw:SAHV_1599
ko:K04485	saw:SAHV_0523
ko:K02787	saw:SAHV_2174
ko:K02788	saw:SAHV_2174
ko:K02799	saw:SAHV_2140
ko:K02800	saw:SAHV_2140
ko:K01791	saw:SAHV_0154
ko:K01791	saw:SAHV_2095
ko:K09007	saw:SAHV_0564
ko:K01465	saw:SAHV_1191
ko:K03303	saw:SAHV_0109
ko:K03686	saw:SAHV_1566
ko:K02563	saw:SAHV_1406
ko:K02600	saw:SAHV_1256
ko:K11085	saw:SAHV_1851
ko:K06178	saw:SAHV_1481
ko:K02337	saw:SAHV_1689
ko:K02115	saw:SAHV_2088
ko:K01933	saw:SAHV_1063
ko:K00362	saw:SAHV_2384
ko:K09769	saw:SAHV_1278
ko:K01889	saw:SAHV_1129
ko:K02343	saw:SAHV_0475
ko:K10947	saw:SAHV_2676
ko:K03060	saw:SAHV_1200
ko:K02346	saw:SAHV_1880
ko:K01883	saw:SAHV_0527
ko:K01903	saw:SAHV_1235
ko:K02428	saw:SAHV_1142
ko:K03424	saw:SAHV_0488
ko:K03657	saw:SAHV_1890
ko:K07173	saw:SAHV_2118
ko:K00793	saw:SAHV_1755
ko:K03043	saw:SAHV_0540
ko:K02341	saw:SAHV_0481
ko:K02340	saw:SAHV_1574
ko:K03040	saw:SAHV_2208
ko:K01658	saw:SAHV_1356
ko:K00294	saw:SAHV_2538
ko:K01447	saw:SAHV_0908
ko:K01448	saw:SAHV_1619
ko:K02499	saw:SAHV_0502
ko:K07704	saw:SAHV_0259
ko:K00864	saw:SAHV_1290
ko:K03671	saw:SAHV_1136
ko:K10563	saw:SAHV_1675
ko:K03631	saw:SAHV_1507
ko:K01893	saw:SAHV_1442
ko:K07636	saw:SAHV_1678
ko:K02245	saw:SAHV_1529
ko:K02244	saw:SAHV_1530
ko:K02243	saw:SAHV_1531
ko:K00845	saw:SAHV_1534
ko:K02913	saw:SAHV_1538
ko:K02076	saw:SAHV_1541
ko:K09816	saw:SAHV_1542
ko:K09817	saw:SAHV_1543
ko:K01151	saw:SAHV_1544
ko:K03086	saw:SAHV_1548
ko:K02316	saw:SAHV_1549
ko:K09773	saw:SAHV_1550
ko:K03584	saw:SAHV_1553
ko:K03595	saw:SAHV_1554
ko:K01489	saw:SAHV_1555
ko:K06217	saw:SAHV_1558
ko:K02970	saw:SAHV_1562
ko:K09761	saw:SAHV_1564
ko:K03367	saw:SAHV_0927
ko:K03739	saw:SAHV_0928
ko:K03740	saw:SAHV_0930
ko:K03885	saw:SAHV_0933
ko:K03885	saw:SAHV_0936
ko:K01255	saw:SAHV_0937
ko:K05571	saw:SAHV_0941
ko:K05570	saw:SAHV_0942
ko:K05569	saw:SAHV_0943
ko:K03216	saw:SAHV_1840
ko:K07035	saw:SAHV_1844
ko:K01462	saw:SAHV_1205
ko:K06949	saw:SAHV_1211
ko:K01783	saw:SAHV_1212
ko:K02902	saw:SAHV_1214
ko:K07030	saw:SAHV_1216
ko:K03621	saw:SAHV_1219
ko:K00645	saw:SAHV_1220
ko:K09787	saw:SAHV_1226
ko:K03106	saw:SAHV_1227
ko:K02959	saw:SAHV_1228
ko:K02860	saw:SAHV_1229
ko:K00554	saw:SAHV_1230
ko:K02884	saw:SAHV_1231
ko:K04096	saw:SAHV_1239
ko:K04094	saw:SAHV_1241
ko:K03706	saw:SAHV_1245
ko:K02967	saw:SAHV_1246
ko:K02357	saw:SAHV_1247
ko:K09903	saw:SAHV_1248
ko:K02838	saw:SAHV_1249
ko:K00806	saw:SAHV_1250
ko:K00981	saw:SAHV_1251
ko:K01881	saw:SAHV_1253
ko:K09748	saw:SAHV_1255
ko:K07742	saw:SAHV_1257
ko:K02834	saw:SAHV_1260
ko:K03789	saw:SAHV_2035
ko:K03753	saw:SAHV_2256
ko:K03750	saw:SAHV_2257
ko:K03637	saw:SAHV_2258
ko:K03638	saw:SAHV_2259
ko:K02018	saw:SAHV_2262
ko:K03778	saw:SAHV_2508
ko:K03823	saw:SAHV_2513
ko:K01752	saw:SAHV_2514
ko:K01752	saw:SAHV_2515
ko:K07107	saw:SAHV_2521
ko:K00158	saw:SAHV_2523
ko:K01641	saw:SAHV_2530
ko:K04086	saw:SAHV_2532
ko:K04759	saw:SAHV_2534
ko:K04758	saw:SAHV_2535
ko:K06994	saw:SAHV_2536
ko:K03778	saw:SAHV_2543
ko:K07035	saw:SAHV_2554
ko:K07032	saw:SAHV_2559
ko:K01439	saw:SAHV_1992
ko:K01839	saw:SAHV_0138
ko:K02042	saw:SAHV_0139
ko:K02042	saw:SAHV_0140
ko:K02041	saw:SAHV_0141
ko:K02044	saw:SAHV_0142
ko:K02687	saw:SAHV_1565
ko:K04043	saw:SAHV_1567
ko:K03687	saw:SAHV_1568
ko:K03705	saw:SAHV_1569
ko:K03596	saw:SAHV_1572
ko:K02968	saw:SAHV_1573
ko:K02238	saw:SAHV_1575
ko:K01493	saw:SAHV_1576
ko:K09710	saw:SAHV_1579
ko:K00969	saw:SAHV_1581
ko:K07574	saw:SAHV_1582
ko:K00014	saw:SAHV_1583
ko:K07015	saw:SAHV_1585
ko:K00363	saw:SAHV_2383
ko:K09815	saw:SAHV_2390
ko:K01012	saw:SAHV_2409
ko:K09825	saw:SAHV_1846
ko:K03564	saw:SAHV_1848
ko:K01845	saw:SAHV_1849
ko:K07586	saw:SAHV_1852
ko:K03575	saw:SAHV_1853
ko:K09692	saw:SAHV_1855
ko:K09693	saw:SAHV_1856
ko:K03565	saw:SAHV_1858
ko:K07058	saw:SAHV_1868
ko:K01265	saw:SAHV_1873
ko:K01745	saw:SAHV_0008
ko:K01875	saw:SAHV_0009
ko:K00641	saw:SAHV_0012
ko:K02956	saw:SAHV_1263
ko:K00009	saw:SAHV_2143
ko:K03431	saw:SAHV_2145
ko:K03593	saw:SAHV_2149
ko:K02015	saw:SAHV_2159
ko:K02015	saw:SAHV_2160
ko:K02016	saw:SAHV_2161
ko:K07119	saw:SAHV_2171
ko:K02529	saw:SAHV_1722
ko:K02529	saw:SAHV_0270
ko:K02824	saw:SAHV_1189
ko:K00013	saw:SAHV_2662
ko:K00241	saw:SAHV_1138
ko:K05337	saw:SAHV_1472
ko:K02503	saw:SAHV_1823
ko:K00819	saw:SAHV_0952
ko:K02242	saw:SAHV_0748
ko:K02775	saw:SAHV_0246
ko:K03466	saw:SAHV_1266
ko:K03466	saw:SAHV_1727
ko:K03602	saw:SAHV_1510
ko:K02335	saw:SAHV_1676
ko:K02497	saw:SAHV_1658
ko:K09790	saw:SAHV_0165
ko:K02049	saw:SAHV_0171
ko:K02051	saw:SAHV_0172
ko:K02050	saw:SAHV_0173
ko:K02020	saw:SAHV_2263
ko:K02379	saw:SAHV_2264
ko:K03523	saw:SAHV_2266
ko:K02016	saw:SAHV_2268
ko:K08717	saw:SAHV_2271
ko:K01429	saw:SAHV_2273
ko:K09940	saw:SAHV_2287
ko:K00123	saw:SAHV_2293
ko:K03453	saw:SAHV_2305
ko:K00943	saw:SAHV_0479
ko:K02773	saw:SAHV_0244
ko:K01476	saw:SAHV_2148
ko:K06173	saw:SAHV_2203
ko:K00231	saw:SAHV_1817
ko:K11928	saw:SAHV_1887
ko:K01874	saw:SAHV_0487
ko:K01890	saw:SAHV_1130
ko:K03111	saw:SAHV_0363
ko:K03111	saw:SAHV_0859
ko:K03111	saw:SAHV_1969
ko:K03111	saw:SAHV_2081
ko:K09698	saw:SAHV_0525
ko:K02619	saw:SAHV_0712
ko:K04518	saw:SAHV_1900
ko:K00008	saw:SAHV_0249
ko:K01421	saw:SAHV_2627
ko:K07090	saw:SAHV_1700
ko:K07090	saw:SAHV_0048
ko:K01104	saw:SAHV_2099
ko:K01104	saw:SAHV_2646
ko:K01104	saw:SAHV_1866
ko:K02017	saw:SAHV_2261
ko:K00658	saw:SAHV_1400
ko:K07052	saw:SAHV_1023
ko:K07052	saw:SAHV_2297
ko:K01834	saw:SAHV_0373
ko:K01834	saw:SAHV_2400
ko:K03709	saw:SAHV_0631
ko:K02116	saw:SAHV_2094
ko:K01091	saw:SAHV_0553
ko:K07694	saw:SAHV_1869
ko:K11442	saw:SAHV_2155
ko:K01911	saw:SAHV_1782
ko:K11535	saw:SAHV_0518
ko:K03177	saw:SAHV_1261
ko:K07304	saw:SAHV_1412
ko:K10026	saw:SAHV_0707
ko:K11753	saw:SAHV_1262
ko:K02236	saw:SAHV_1648
ko:K02443	saw:SAHV_1287
ko:K00108	saw:SAHV_2596
ko:K01784	saw:SAHV_0127
ko:K03733	saw:SAHV_1242
ko:K01579	saw:SAHV_2581
