ko:K13060	yef:FORC2_1632
ko:K02806	yef:FORC2_0447
ko:K02197	yef:FORC2_1316
ko:K02198	yef:FORC2_1317
ko:K02199	yef:FORC2_1318
ko:K02200	yef:FORC2_1319
ko:K04754	yef:FORC2_1321
ko:K07171	yef:FORC2_1323
ko:K06076	yef:FORC2_1324
ko:K01782	yef:FORC2_1327
ko:K08296	yef:FORC2_1328
ko:K07320	yef:FORC2_1330
ko:K01736	yef:FORC2_1331
ko:K07261	yef:FORC2_1332
ko:K07090	yef:FORC2_1333
ko:K09906	yef:FORC2_1334
ko:K15461	yef:FORC2_1336
ko:K00647	yef:FORC2_1337
ko:K01779	yef:FORC2_1339
ko:K02024	yef:FORC2_1340
ko:K02759	yef:FORC2_1341
ko:K01223	yef:FORC2_1342
ko:K02761	yef:FORC2_1343
ko:K02760	yef:FORC2_1344
ko:K01085	yef:FORC2_1346
ko:K08344	yef:FORC2_1350
ko:K03473	yef:FORC2_1357
ko:K06173	yef:FORC2_1359
ko:K03975	yef:FORC2_1360
ko:K01963	yef:FORC2_1361
ko:K11754	yef:FORC2_1362
ko:K03749	yef:FORC2_1363
ko:K03558	yef:FORC2_1364
ko:K00764	yef:FORC2_1365
ko:K03186	yef:FORC2_1366
ko:K10014	yef:FORC2_1367
ko:K10016	yef:FORC2_1368
ko:K02453	yef:FORC2_0804
ko:K02454	yef:FORC2_0805
ko:K02455	yef:FORC2_0806
ko:K02456	yef:FORC2_0807
ko:K02458	yef:FORC2_0808
ko:K02459	yef:FORC2_0809
ko:K02460	yef:FORC2_0810
ko:K02461	yef:FORC2_0811
ko:K02465	yef:FORC2_0814
ko:K07396	yef:FORC2_0818
ko:K01586	yef:FORC2_0823
ko:K02529	yef:FORC2_0824
ko:K08351	yef:FORC2_0825
ko:K05939	yef:FORC2_0826
ko:K08227	yef:FORC2_0827
ko:K03573	yef:FORC2_0830
ko:K08311	yef:FORC2_0832
ko:K08484	yef:FORC2_0833
ko:K13292	yef:FORC2_0834
ko:K02679	yef:FORC2_0836
ko:K02680	yef:FORC2_0837
ko:K02681	yef:FORC2_0839
ko:K03583	yef:FORC2_0840
ko:K01407	yef:FORC2_0841
ko:K03582	yef:FORC2_0842
ko:K03581	yef:FORC2_0843
ko:K14682	yef:FORC2_0844
ko:K01448	yef:FORC2_0845
ko:K08304	yef:FORC2_0846
ko:K02426	yef:FORC2_0848
ko:K01766	yef:FORC2_0849
ko:K03566	yef:FORC2_0851
ko:K06968	yef:FORC2_0853
ko:K01146	yef:FORC2_0854
ko:K06966	yef:FORC2_0855
ko:K06879	yef:FORC2_0856
ko:K15723	yef:FORC2_0857
ko:K06175	yef:FORC2_0859
ko:K01740	yef:FORC2_1717
ko:K19267	yef:FORC2_1718
ko:K02030	yef:FORC2_1721
ko:K06987	yef:FORC2_1722
ko:K02029	yef:FORC2_1723
ko:K02029	yef:FORC2_1724
ko:K02028	yef:FORC2_1725
ko:K01685	yef:FORC2_1726
ko:K00041	yef:FORC2_1727
ko:K18334	yef:FORC2_1730
ko:K07506	yef:FORC2_1734
ko:K07178	yef:FORC2_1741
ko:K06147	yef:FORC2_1742
ko:K03758	yef:FORC2_1744
ko:K11734	yef:FORC2_1754
ko:K12973	yef:FORC2_1755
ko:K03704	yef:FORC2_1757
ko:K03587	yef:FORC2_1759
ko:K00563	yef:FORC2_1760
ko:K10015	yef:FORC2_1369
ko:K10017	yef:FORC2_1370
ko:K07071	yef:FORC2_1371
ko:K07095	yef:FORC2_1373
ko:K05595	yef:FORC2_2233
ko:K08308	yef:FORC2_2234
ko:K11604	yef:FORC2_2235
ko:K11607	yef:FORC2_2236
ko:K11605	yef:FORC2_2237
ko:K11606	yef:FORC2_2238
ko:K01847	yef:FORC2_2240
ko:K07588	yef:FORC2_2241
ko:K11264	yef:FORC2_2242
ko:K19270	yef:FORC2_2246
ko:K01815	yef:FORC2_2248
ko:K00065	yef:FORC2_2249
ko:K01731	yef:FORC2_2250
ko:K01731	yef:FORC2_2251
ko:K10193	yef:FORC2_2252
ko:K10194	yef:FORC2_2253
ko:K10195	yef:FORC2_2254
ko:K10192	yef:FORC2_2255
ko:K07038	yef:FORC2_2258
ko:K06956	yef:FORC2_2259
ko:K11066	yef:FORC2_2260
ko:K19333	yef:FORC2_2261
ko:K01730	yef:FORC2_2262
ko:K08169	yef:FORC2_2263
ko:K03799	yef:FORC2_2268
ko:K03797	yef:FORC2_2269
ko:K03607	yef:FORC2_2270
ko:K03808	yef:FORC2_2272
ko:K07346	yef:FORC2_2279
ko:K07347	yef:FORC2_2280
ko:K16052	yef:FORC2_2288
ko:K03386	yef:FORC2_3130
ko:K00681	yef:FORC2_3131
ko:K01187	yef:FORC2_3133
ko:K11736	yef:FORC2_3134
ko:K03311	yef:FORC2_3135
ko:K02040	yef:FORC2_3136
ko:K07636	yef:FORC2_3137
ko:K07657	yef:FORC2_3138
ko:K03547	yef:FORC2_3139
ko:K00847	yef:FORC2_3141
ko:K03554	yef:FORC2_3142
ko:K09913	yef:FORC2_3143
ko:K00891	yef:FORC2_3144
ko:K02014	yef:FORC2_3145
ko:K02016	yef:FORC2_3146
ko:K13688	yef:FORC2_3152
ko:K01232	yef:FORC2_3154
ko:K02749	yef:FORC2_3155
ko:K02750	yef:FORC2_3155
ko:K03482	yef:FORC2_3156
ko:K00147	yef:FORC2_3157
ko:K00931	yef:FORC2_3158
ko:K11926	yef:FORC2_3159
ko:K11750	yef:FORC2_3160
ko:K00769	yef:FORC2_3161
ko:K01270	yef:FORC2_3162
ko:K02346	yef:FORC2_3163
ko:K01921	yef:FORC2_3167
ko:K05952	yef:FORC2_3169
ko:K03734	yef:FORC2_3170
ko:K00351	yef:FORC2_3171
ko:K00350	yef:FORC2_3172
ko:K00349	yef:FORC2_3173
ko:K00348	yef:FORC2_3174
ko:K00347	yef:FORC2_3175
ko:K00346	yef:FORC2_3176
ko:K03271	yef:FORC2_3179
ko:K06445	yef:FORC2_3180
ko:K00930	yef:FORC2_3981
ko:K00145	yef:FORC2_3982
ko:K01438	yef:FORC2_3983
ko:K01595	yef:FORC2_3984
ko:K00297	yef:FORC2_3985
ko:K12525	yef:FORC2_3986
ko:K01739	yef:FORC2_3987
ko:K03764	yef:FORC2_3988
ko:K02909	yef:FORC2_3989
ko:K04066	yef:FORC2_3990
ko:K05499	yef:FORC2_3991
ko:K03591	yef:FORC2_3992
ko:K01419	yef:FORC2_3993
ko:K03667	yef:FORC2_3994
ko:K02548	yef:FORC2_3995
ko:K02553	yef:FORC2_3996
ko:K09892	yef:FORC2_3997
ko:K02440	yef:FORC2_3999
ko:K00864	yef:FORC2_4000
ko:K02446	yef:FORC2_4001
ko:K08154	yef:FORC2_4002
ko:K00528	yef:FORC2_4003
ko:K01803	yef:FORC2_4006
ko:K02048	yef:FORC2_4008
ko:K00850	yef:FORC2_4009
ko:K13283	yef:FORC2_4010
ko:K06006	yef:FORC2_4011
ko:K07640	yef:FORC2_4013
ko:K10778	yef:FORC2_4014
ko:K03216	yef:FORC2_4015
ko:K00640	yef:FORC2_4016
ko:K00057	yef:FORC2_4017
ko:K03071	yef:FORC2_4018
ko:K15633	yef:FORC2_4021
ko:K09798	yef:FORC2_4023
ko:K00060	yef:FORC2_4024
ko:K00639	yef:FORC2_4025
ko:K03274	yef:FORC2_4026
ko:K02843	yef:FORC2_4027
ko:K02841	yef:FORC2_4028
ko:K02527	yef:FORC2_4029
ko:K12984	yef:FORC2_4030
ko:K00954	yef:FORC2_4031
ko:K10563	yef:FORC2_4032
ko:K02913	yef:FORC2_4033
ko:K02902	yef:FORC2_4034
ko:K03630	yef:FORC2_4035
ko:K13038	yef:FORC2_4036
ko:K02014	yef:FORC2_1763
ko:K02795	yef:FORC2_1767
ko:K02793	yef:FORC2_1768
ko:K02794	yef:FORC2_1768
ko:K01752	yef:FORC2_1770
ko:K01665	yef:FORC2_1772
ko:K09917	yef:FORC2_1773
ko:K08289	yef:FORC2_1774
ko:K07345	yef:FORC2_2632
ko:K07347	yef:FORC2_2634
ko:K00077	yef:FORC2_2637
ko:K00375	yef:FORC2_2639
ko:K10440	yef:FORC2_2642
ko:K10439	yef:FORC2_2643
ko:K10440	yef:FORC2_2644
ko:K07124	yef:FORC2_2648
ko:K16137	yef:FORC2_2649
ko:K03415	yef:FORC2_2650
ko:K01940	yef:FORC2_2657
ko:K11897	yef:FORC2_2658
ko:K11898	yef:FORC2_2659
ko:K11891	yef:FORC2_2662
ko:K11892	yef:FORC2_2663
ko:K11893	yef:FORC2_2664
ko:K11906	yef:FORC2_2665
ko:K11903	yef:FORC2_2666
ko:K11900	yef:FORC2_2667
ko:K11901	yef:FORC2_2668
ko:K07345	yef:FORC2_2671
ko:K11907	yef:FORC2_2672
ko:K11896	yef:FORC2_2673
ko:K11895	yef:FORC2_2674
ko:K11902	yef:FORC2_2675
ko:K11537	yef:FORC2_2682
ko:K03815	yef:FORC2_2683
ko:K00768	yef:FORC2_2686
ko:K02226	yef:FORC2_2687
ko:K04485	yef:FORC2_3515
ko:K01079	yef:FORC2_3516
ko:K07186	yef:FORC2_3517
ko:K03784	yef:FORC2_3518
ko:K01839	yef:FORC2_3519
ko:K00758	yef:FORC2_3520
ko:K01619	yef:FORC2_3521
ko:K03317	yef:FORC2_3522
ko:K03424	yef:FORC2_3523
ko:K04065	yef:FORC2_3525
ko:K02837	yef:FORC2_3526
ko:K03789	yef:FORC2_3527
ko:K02344	yef:FORC2_3528
ko:K00564	yef:FORC2_3529
ko:K16091	yef:FORC2_3534
ko:K02016	yef:FORC2_3535
ko:K00847	yef:FORC2_3536
ko:K16077	yef:FORC2_3537
ko:K02809	yef:FORC2_3538
ko:K02810	yef:FORC2_3538
ko:K01193	yef:FORC2_3539
ko:K03484	yef:FORC2_3540
ko:K05880	yef:FORC2_3541
ko:K01051	yef:FORC2_3542
ko:K00612	yef:FORC2_3547
ko:K05881	yef:FORC2_3549
ko:K05879	yef:FORC2_3550
ko:K05878	yef:FORC2_3551
ko:K00005	yef:FORC2_3552
ko:K01478	yef:FORC2_3555
ko:K03758	yef:FORC2_3556
ko:K02849	yef:FORC2_3558
ko:K11216	yef:FORC2_3559
ko:K11531	yef:FORC2_3560
ko:K10558	yef:FORC2_3561
