ko:K01139	kph:KPNIH24_25705
ko:K02430	kph:KPNIH24_15095
ko:K17195	kph:KPNIH24_15100
ko:K02429	kph:KPNIH24_15110
ko:K01759	kph:KPNIH24_15115
ko:K01026	kph:KPNIH24_15125
ko:K00059	kph:KPNIH24_15130
ko:K00626	kph:KPNIH24_15135
ko:K07090	kph:KPNIH24_15175
ko:K03482	kph:KPNIH24_15180
ko:K02749	kph:KPNIH24_15185
ko:K02750	kph:KPNIH24_15185
ko:K01232	kph:KPNIH24_15190
ko:K07017	kph:KPNIH24_15215
ko:K01265	kph:KPNIH24_15235
ko:K07154	kph:KPNIH24_15270
ko:K07127	kph:KPNIH24_15280
ko:K16840	kph:KPNIH24_15285
ko:K06016	kph:KPNIH24_19560
ko:K03837	kph:KPNIH24_19565
ko:K01751	kph:KPNIH24_19570
ko:K01893	kph:KPNIH24_19580
ko:K09476	kph:KPNIH24_19585
ko:K00813	kph:KPNIH24_19590
ko:K03632	kph:KPNIH24_19610
ko:K03804	kph:KPNIH24_19615
ko:K03633	kph:KPNIH24_19620
ko:K06219	kph:KPNIH24_19625
ko:K00979	kph:KPNIH24_19640
ko:K09791	kph:KPNIH24_19645
ko:K09927	kph:KPNIH24_19650
ko:K00912	kph:KPNIH24_19655
ko:K11085	kph:KPNIH24_19660
ko:K02238	kph:KPNIH24_19665
ko:K05788	kph:KPNIH24_19670
ko:K02945	kph:KPNIH24_19675
ko:K00945	kph:KPNIH24_19680
ko:K00800	kph:KPNIH24_19685
ko:K00831	kph:KPNIH24_19690
ko:K09136	kph:KPNIH24_19700
ko:K06212	kph:KPNIH24_19705
ko:K00656	kph:KPNIH24_19710
ko:K04069	kph:KPNIH24_19715
ko:K08219	kph:KPNIH24_19720
ko:K07308	kph:KPNIH24_19725
ko:K07307	kph:KPNIH24_19730
ko:K07306	kph:KPNIH24_19735
ko:K01875	kph:KPNIH24_19740
ko:K07478	kph:KPNIH24_19745
ko:K03634	kph:KPNIH24_19750
ko:K03466	kph:KPNIH24_19755
ko:K03719	kph:KPNIH24_19760
ko:K00384	kph:KPNIH24_19765
ko:K16013	kph:KPNIH24_19770
ko:K16012	kph:KPNIH24_19775
ko:K00684	kph:KPNIH24_19780
ko:K02518	kph:KPNIH24_19785
ko:K03694	kph:KPNIH24_19790
ko:K06891	kph:KPNIH24_19795
ko:K03704	kph:KPNIH24_19800
ko:K05685	kph:KPNIH24_19805
ko:K13888	kph:KPNIH24_19810
ko:K06222	kph:KPNIH24_24050
ko:K00014	kph:KPNIH24_24090
ko:K07566	kph:KPNIH24_24095
ko:K07479	kph:KPNIH24_24100
ko:K03747	kph:KPNIH24_24105
ko:K04096	kph:KPNIH24_24110
ko:K01462	kph:KPNIH24_24115
ko:K00604	kph:KPNIH24_24120
ko:K03500	kph:KPNIH24_24125
ko:K03499	kph:KPNIH24_24130
ko:K03282	kph:KPNIH24_24135
ko:K09890	kph:KPNIH24_24140
ko:K02879	kph:KPNIH24_24155
ko:K03040	kph:KPNIH24_24160
ko:K02986	kph:KPNIH24_24165
ko:K02948	kph:KPNIH24_24170
ko:K02952	kph:KPNIH24_24175
ko:K03076	kph:KPNIH24_24180
ko:K02876	kph:KPNIH24_24185
ko:K02907	kph:KPNIH24_24190
ko:K02988	kph:KPNIH24_24195
ko:K02881	kph:KPNIH24_24200
ko:K02933	kph:KPNIH24_24205
ko:K02994	kph:KPNIH24_24210
ko:K02954	kph:KPNIH24_24215
ko:K02931	kph:KPNIH24_24220
ko:K02895	kph:KPNIH24_24225
ko:K02874	kph:KPNIH24_24230
ko:K02961	kph:KPNIH24_24235
ko:K02904	kph:KPNIH24_24240
ko:K02878	kph:KPNIH24_24245
ko:K02982	kph:KPNIH24_24250
ko:K02890	kph:KPNIH24_24255
ko:K02965	kph:KPNIH24_24260
ko:K02886	kph:KPNIH24_24265
ko:K02892	kph:KPNIH24_24270
ko:K02926	kph:KPNIH24_24275
ko:K02906	kph:KPNIH24_24280
ko:K02946	kph:KPNIH24_24285
ko:K02506	kph:KPNIH24_24290
ko:K03594	kph:KPNIH24_24295
ko:K14237	kph:KPNIH24_09555
ko:K14237	kph:KPNIH24_09560
ko:K14237	kph:KPNIH24_09565
ko:K14237	kph:KPNIH24_20850
ko:K14237	kph:KPNIH24_20860
ko:K14225	kph:KPNIH24_01065
ko:K01980	kph:KPNIH24_00085
ko:K07713	kph:KPNIH24_01215
ko:K00433	kph:KPNIH24_11080
ko:K04753	kph:KPNIH24_06075
ko:K03293	kph:KPNIH24_00765
ko:K02483	kph:KPNIH24_14510
ko:K19587	kph:KPNIH24_08570
ko:K18829	kph:KPNIH24_26745
ko:K14225	kph:KPNIH24_02125
ko:K00984	kph:KPNIH24_17325
ko:K14225	kph:KPNIH24_02135
ko:K19504	kph:KPNIH24_03385
ko:K18698	kph:KPNIH24_26690
ko:K18697	kph:KPNIH24_08895
ko:K18699	kph:KPNIH24_27130
ko:K18142	kph:KPNIH24_04790
ko:K14234	kph:KPNIH24_01055
ko:K14229	kph:KPNIH24_09550
ko:K14229	kph:KPNIH24_20855
ko:K14229	kph:KPNIH24_20865
ko:K14229	kph:KPNIH24_20845
ko:K14229	kph:KPNIH24_20835
ko:K14229	kph:KPNIH24_20840
ko:K01980	kph:KPNIH24_01030
ko:K01980	kph:KPNIH24_08760
ko:K01980	kph:KPNIH24_00580
ko:K18691	kph:KPNIH24_08905
ko:K06889	kph:KPNIH24_02235
ko:K03477	kph:KPNIH24_02240
ko:K03476	kph:KPNIH24_02245
ko:K03475	kph:KPNIH24_02255
ko:K02822	kph:KPNIH24_02260
ko:K02821	kph:KPNIH24_02265
ko:K03078	kph:KPNIH24_02270
ko:K03079	kph:KPNIH24_02275
ko:K03077	kph:KPNIH24_02280
ko:K02990	kph:KPNIH24_02295
ko:K02686	kph:KPNIH24_02300
ko:K02963	kph:KPNIH24_02305
ko:K02939	kph:KPNIH24_02310
ko:K07269	kph:KPNIH24_02315
ko:K03773	kph:KPNIH24_02320
ko:K11737	kph:KPNIH24_02325
ko:K07322	kph:KPNIH24_02330
ko:K01119	kph:KPNIH24_02355
ko:K01082	kph:KPNIH24_02360
ko:K07109	kph:KPNIH24_02365
ko:K07304	kph:KPNIH24_02385
ko:K07278	kph:KPNIH24_02390
ko:K09800	kph:KPNIH24_02395
ko:K01507	kph:KPNIH24_02415
ko:K02058	kph:KPNIH24_02420
ko:K02056	kph:KPNIH24_02425
ko:K02057	kph:KPNIH24_02430
ko:K02057	kph:KPNIH24_02435
ko:K03841	kph:KPNIH24_02440
ko:K02558	kph:KPNIH24_02445
ko:K09889	kph:KPNIH24_02460
ko:K03592	kph:KPNIH24_02465
ko:K15536	kph:KPNIH24_02470
ko:K01465	kph:KPNIH24_02500
ko:K01042	kph:KPNIH24_02505
ko:K06989	kph:KPNIH24_06740
ko:K01652	kph:KPNIH24_06750
ko:K07387	kph:KPNIH24_06760
ko:K00615	kph:KPNIH24_06765
ko:K03472	kph:KPNIH24_06770
ko:K00927	kph:KPNIH24_06775
ko:K01624	kph:KPNIH24_06780
ko:K03442	kph:KPNIH24_06785
ko:K06895	kph:KPNIH24_06790
ko:K09807	kph:KPNIH24_06795
ko:K05596	kph:KPNIH24_06800
ko:K01807	kph:KPNIH24_06805
ko:K00058	kph:KPNIH24_06810
ko:K01934	kph:KPNIH24_06815
ko:K09888	kph:KPNIH24_06820
ko:K09895	kph:KPNIH24_06825
ko:K01262	kph:KPNIH24_06830
ko:K03185	kph:KPNIH24_06835
ko:K01978	kph:KPNIH24_26415
ko:K01985	kph:KPNIH24_00090
ko:K01985	kph:KPNIH24_24065
ko:K01985	kph:KPNIH24_04770
ko:K01985	kph:KPNIH24_08765
ko:K01985	kph:KPNIH24_01245
ko:K01985	kph:KPNIH24_03050
ko:K01985	kph:KPNIH24_01035
ko:K01985	kph:KPNIH24_00585
ko:K01985	kph:KPNIH24_04780
ko:K14218	kph:KPNIH24_00575
ko:K14218	kph:KPNIH24_04760
ko:K14218	kph:KPNIH24_01025
ko:K00605	kph:KPNIH24_06845
ko:K02437	kph:KPNIH24_06850
ko:K00281	kph:KPNIH24_06855
ko:K08344	kph:KPNIH24_06875
ko:K01223	kph:KPNIH24_06890
ko:K09900	kph:KPNIH24_06900
ko:K11068	kph:KPNIH24_06905
ko:K06980	kph:KPNIH24_06910
ko:K09159	kph:KPNIH24_06915
ko:K03840	kph:KPNIH24_06925
ko:K04763	kph:KPNIH24_06930
ko:K03981	kph:KPNIH24_06935
ko:K07462	kph:KPNIH24_06940
ko:K02836	kph:KPNIH24_06945
ko:K04567	kph:KPNIH24_06950
ko:K01823	kph:KPNIH24_06955
ko:K12943	kph:KPNIH24_06960
ko:K08169	kph:KPNIH24_06970
ko:K03566	kph:KPNIH24_11070
ko:K07733	kph:KPNIH24_11100
ko:K01156	kph:KPNIH24_11205
ko:K07316	kph:KPNIH24_11210
ko:K01241	kph:KPNIH24_11240
ko:K16137	kph:KPNIH24_11265
ko:K03316	kph:KPNIH24_11270
ko:K13635	kph:KPNIH24_11285
ko:K09933	kph:KPNIH24_11315
ko:K06950	kph:KPNIH24_11335
ko:K07458	kph:KPNIH24_11345
ko:K11962	kph:KPNIH24_15580
ko:K11961	kph:KPNIH24_15585
ko:K11960	kph:KPNIH24_15590
ko:K11959	kph:KPNIH24_15595
ko:K00549	kph:KPNIH24_15600
ko:K13633	kph:KPNIH24_15610
ko:K01190	kph:KPNIH24_15630
ko:K02532	kph:KPNIH24_15635
ko:K03299	kph:KPNIH24_15680
ko:K04080	kph:KPNIH24_15710
ko:K01284	kph:KPNIH24_15745
ko:K16066	kph:KPNIH24_15750
ko:K11932	kph:KPNIH24_15760
ko:K00040	kph:KPNIH24_15765
ko:K09771	kph:KPNIH24_15775
ko:K00657	kph:KPNIH24_15785
ko:K07309	kph:KPNIH24_15800
ko:K07307	kph:KPNIH24_15805
ko:K07312	kph:KPNIH24_15810
ko:K03281	kph:KPNIH24_15820
ko:K01935	kph:KPNIH24_15825
ko:K15545	kph:KPNIH24_15830
ko:K08224	kph:KPNIH24_15840
ko:K01299	kph:KPNIH24_15845
ko:K04775	kph:KPNIH24_15865
ko:K11742	kph:KPNIH24_15875
ko:K08160	kph:KPNIH24_20225
ko:K11534	kph:KPNIH24_20235
ko:K07258	kph:KPNIH24_20240
ko:K14441	kph:KPNIH24_20270
ko:K13891	kph:KPNIH24_20275
ko:K13890	kph:KPNIH24_20280
ko:K13889	kph:KPNIH24_20285
ko:K13051	kph:KPNIH24_20300
ko:K03750	kph:KPNIH24_20305
ko:K04069	kph:KPNIH24_20315
ko:K00656	kph:KPNIH24_20320
ko:K07757	kph:KPNIH24_20325
ko:K08191	kph:KPNIH24_20340
ko:K01187	kph:KPNIH24_20345
ko:K03492	kph:KPNIH24_20370
ko:K01223	kph:KPNIH24_20375
ko:K11924	kph:KPNIH24_20385
ko:K11934	kph:KPNIH24_20405
ko:K06959	kph:KPNIH24_24570
ko:K04758	kph:KPNIH24_24580
ko:K04759	kph:KPNIH24_24585
ko:K07490	kph:KPNIH24_24590
ko:K02170	kph:KPNIH24_24600
ko:K07400	kph:KPNIH24_24610
ko:K06155	kph:KPNIH24_24615
ko:K00705	kph:KPNIH24_24620
ko:K00688	kph:KPNIH24_24625
ko:K03556	kph:KPNIH24_24630
ko:K02444	kph:KPNIH24_24635
ko:K02441	kph:KPNIH24_24640
ko:K02439	kph:KPNIH24_24645
ko:K00111	kph:KPNIH24_24650
ko:K00688	kph:KPNIH24_24665
ko:K00703	kph:KPNIH24_24670
ko:K00975	kph:KPNIH24_24675
ko:K00700	kph:KPNIH24_24685
ko:K00133	kph:KPNIH24_24690
ko:K06156	kph:KPNIH24_24695
ko:K00851	kph:KPNIH24_24700
ko:K06145	kph:KPNIH24_24705
ko:K06911	kph:KPNIH24_24710
ko:K03825	kph:KPNIH24_24725
ko:K00681	kph:KPNIH24_24730
ko:K01126	kph:KPNIH24_24740
ko:K05816	kph:KPNIH24_24745
ko:K05815	kph:KPNIH24_24750
ko:K05814	kph:KPNIH24_24755
ko:K05813	kph:KPNIH24_24760
ko:K07341	kph:KPNIH24_24765
ko:K01996	kph:KPNIH24_24775
ko:K01995	kph:KPNIH24_24780
ko:K01998	kph:KPNIH24_24785
ko:K01997	kph:KPNIH24_24790
ko:K01999	kph:KPNIH24_24795
ko:K01999	kph:KPNIH24_24810
ko:K00823	kph:KPNIH24_24820
ko:K00375	kph:KPNIH24_24825
ko:K01673	kph:KPNIH24_02780
ko:K07733	kph:KPNIH24_02835
ko:K11903	kph:KPNIH24_02880
ko:K07454	kph:KPNIH24_02900
ko:K01198	kph:KPNIH24_02910
ko:K03292	kph:KPNIH24_02915
ko:K01805	kph:KPNIH24_02920
ko:K02024	kph:KPNIH24_02925
ko:K00574	kph:KPNIH24_02950
ko:K09701	kph:KPNIH24_02955
ko:K03098	kph:KPNIH24_02980
ko:K07787	kph:KPNIH24_02990
ko:K07798	kph:KPNIH24_02995
ko:K07665	kph:KPNIH24_03010
ko:K07644	kph:KPNIH24_03015
ko:K13926	kph:KPNIH24_03065
ko:K01993	kph:KPNIH24_03070
ko:K01867	kph:KPNIH24_03075
ko:K08227	kph:KPNIH24_07255
ko:K03573	kph:KPNIH24_07275
ko:K08311	kph:KPNIH24_07280
ko:K08484	kph:KPNIH24_07285
ko:K13292	kph:KPNIH24_07290
ko:K02679	kph:KPNIH24_07300
ko:K02680	kph:KPNIH24_07305
ko:K02681	kph:KPNIH24_07315
ko:K03583	kph:KPNIH24_07320
ko:K01407	kph:KPNIH24_07325
ko:K03582	kph:KPNIH24_07330
ko:K03581	kph:KPNIH24_07335
ko:K14682	kph:KPNIH24_07345
ko:K01448	kph:KPNIH24_07350
ko:K04720	kph:KPNIH24_07355
ko:K16651	kph:KPNIH24_07360
ko:K04029	kph:KPNIH24_07370
ko:K04031	kph:KPNIH24_07375
ko:K13921	kph:KPNIH24_07390
ko:K13922	kph:KPNIH24_07395
ko:K13923	kph:KPNIH24_07415
ko:K13920	kph:KPNIH24_07440
ko:K13919	kph:KPNIH24_07445
ko:K02224	kph:KPNIH24_07475
ko:K02227	kph:KPNIH24_07480
ko:K06042	kph:KPNIH24_07485
ko:K02188	kph:KPNIH24_07490
ko:K03399	kph:KPNIH24_07495
ko:K02191	kph:KPNIH24_07500
ko:K05936	kph:KPNIH24_07505
ko:K02189	kph:KPNIH24_07510
ko:K02560	kph:KPNIH24_11630
ko:K00873	kph:KPNIH24_11635
ko:K00036	kph:KPNIH24_11645
ko:K01690	kph:KPNIH24_11650
ko:K01625	kph:KPNIH24_11655
ko:K08289	kph:KPNIH24_11660
ko:K09918	kph:KPNIH24_11665
ko:K01354	kph:KPNIH24_11675
ko:K10857	kph:KPNIH24_11680
ko:K07156	kph:KPNIH24_11690
ko:K07245	kph:KPNIH24_11695
ko:K09824	kph:KPNIH24_11710
ko:K11392	kph:KPNIH24_11730
ko:K03808	kph:KPNIH24_11740
ko:K03607	kph:KPNIH24_11750
ko:K03797	kph:KPNIH24_11755
ko:K03799	kph:KPNIH24_11760
ko:K08169	kph:KPNIH24_11765
ko:K03704	kph:KPNIH24_11785
ko:K03587	kph:KPNIH24_11790
ko:K00563	kph:KPNIH24_11795
ko:K02795	kph:KPNIH24_11815
ko:K02793	kph:KPNIH24_11820
ko:K02794	kph:KPNIH24_11820
ko:K01752	kph:KPNIH24_11835
ko:K01665	kph:KPNIH24_11845
ko:K09917	kph:KPNIH24_11850
ko:K07285	kph:KPNIH24_11870
ko:K01897	kph:KPNIH24_11875
ko:K03684	kph:KPNIH24_11880
ko:K03608	kph:KPNIH24_11885
ko:K03609	kph:KPNIH24_11890
ko:K03610	kph:KPNIH24_11895
ko:K14155	kph:KPNIH24_16150
ko:K16074	kph:KPNIH24_16155
ko:K08987	kph:KPNIH24_16170
ko:K07112	kph:KPNIH24_16175
ko:K00134	kph:KPNIH24_16195
ko:K07248	kph:KPNIH24_16200
ko:K05526	kph:KPNIH24_16225
ko:K01484	kph:KPNIH24_16230
ko:K06447	kph:KPNIH24_16235
ko:K00673	kph:KPNIH24_16240
ko:K00840	kph:KPNIH24_16245
ko:K00261	kph:KPNIH24_16255
ko:K06075	kph:KPNIH24_16270
ko:K03578	kph:KPNIH24_16295
ko:K01118	kph:KPNIH24_16300
ko:K02617	kph:KPNIH24_16310
ko:K02616	kph:KPNIH24_16315
ko:K01912	kph:KPNIH24_16320
ko:K02614	kph:KPNIH24_16330
ko:K00074	kph:KPNIH24_16335
ko:K15866	kph:KPNIH24_16340
ko:K01692	kph:KPNIH24_16345
ko:K02613	kph:KPNIH24_16350
ko:K02612	kph:KPNIH24_16355
ko:K02611	kph:KPNIH24_16360
ko:K02610	kph:KPNIH24_16365
ko:K02609	kph:KPNIH24_16370
ko:K02618	kph:KPNIH24_16375
ko:K00276	kph:KPNIH24_16380
ko:K00077	kph:KPNIH24_16390
ko:K14063	kph:KPNIH24_16400
ko:K09978	kph:KPNIH24_16405
ko:K01051	kph:KPNIH24_20685
ko:K07404	kph:KPNIH24_20740
ko:K02017	kph:KPNIH24_20755
ko:K02018	kph:KPNIH24_20760
ko:K02020	kph:KPNIH24_20765
ko:K02019	kph:KPNIH24_20775
ko:K05776	kph:KPNIH24_20780
ko:K01784	kph:KPNIH24_20785
ko:K00965	kph:KPNIH24_20790
ko:K00849	kph:KPNIH24_20795
ko:K01785	kph:KPNIH24_20800
ko:K01834	kph:KPNIH24_20805
ko:K01626	kph:KPNIH24_20810
ko:K16264	kph:KPNIH24_20820
ko:K03811	kph:KPNIH24_20825
ko:K03517	kph:KPNIH24_20830
ko:K03640	kph:KPNIH24_20875
ko:K03641	kph:KPNIH24_20880
ko:K03560	kph:KPNIH24_20890
ko:K03562	kph:KPNIH24_20895
ko:K07107	kph:KPNIH24_20900
ko:K00426	kph:KPNIH24_20915
ko:K00425	kph:KPNIH24_20920
ko:K01902	kph:KPNIH24_20930
ko:K01903	kph:KPNIH24_20935
ko:K00658	kph:KPNIH24_20940
ko:K00164	kph:KPNIH24_20945
ko:K00694	kph:KPNIH24_25110
ko:K00694	kph:KPNIH24_25160
ko:K12372	kph:KPNIH24_25175
ko:K12371	kph:KPNIH24_25180
ko:K12370	kph:KPNIH24_25185
ko:K12369	kph:KPNIH24_25190
ko:K12368	kph:KPNIH24_25195
ko:K12975	kph:KPNIH24_25225
ko:K08177	kph:KPNIH24_25230
ko:K01246	kph:KPNIH24_25240
ko:K03826	kph:KPNIH24_25245
ko:K08351	kph:KPNIH24_25250
ko:K02525	kph:KPNIH24_25260
ko:K00874	kph:KPNIH24_25270
ko:K00090	kph:KPNIH24_25280
ko:K08195	kph:KPNIH24_25290
ko:K07726	kph:KPNIH24_25295
ko:K03704	kph:KPNIH24_25300
ko:K01879	kph:KPNIH24_25320
ko:K01878	kph:KPNIH24_25325
ko:K00854	kph:KPNIH24_25350
ko:K01805	kph:KPNIH24_25355
ko:K10543	kph:KPNIH24_25360
ko:K00041	kph:KPNIH24_03355
ko:K01002	kph:KPNIH24_03400
ko:K02317	kph:KPNIH24_03415
ko:K00481	kph:KPNIH24_03430
ko:K02761	kph:KPNIH24_03455
ko:K13255	kph:KPNIH24_03460
ko:K00564	kph:KPNIH24_03485
ko:K02344	kph:KPNIH24_03490
ko:K03789	kph:KPNIH24_03495
ko:K08723	kph:KPNIH24_03500
ko:K02837	kph:KPNIH24_03505
ko:K04065	kph:KPNIH24_03510
ko:K03424	kph:KPNIH24_03525
ko:K03317	kph:KPNIH24_03530
ko:K01619	kph:KPNIH24_03535
ko:K00758	kph:KPNIH24_03540
ko:K01839	kph:KPNIH24_03545
ko:K03784	kph:KPNIH24_03550
ko:K03800	kph:KPNIH24_03555
ko:K07186	kph:KPNIH24_03560
ko:K01079	kph:KPNIH24_03565
ko:K04485	kph:KPNIH24_03570
ko:K06211	kph:KPNIH24_03575
ko:K08309	kph:KPNIH24_03585
ko:K03720	kph:KPNIH24_03590
ko:K05804	kph:KPNIH24_03605
ko:K05805	kph:KPNIH24_03610
ko:K07663	kph:KPNIH24_03615
ko:K07641	kph:KPNIH24_03620
ko:K06143	kph:KPNIH24_03625
ko:K07773	kph:KPNIH24_03630
ko:K02533	kph:KPNIH24_03635
ko:K04765	kph:KPNIH24_07790
ko:K01937	kph:KPNIH24_07795
ko:K01689	kph:KPNIH24_07800
ko:K10026	kph:KPNIH24_07810
ko:K01737	kph:KPNIH24_07815
ko:K00380	kph:KPNIH24_07820
ko:K00381	kph:KPNIH24_07825
ko:K00390	kph:KPNIH24_07830
ko:K09612	kph:KPNIH24_07835
ko:K02302	kph:KPNIH24_07840
ko:K00957	kph:KPNIH24_07845
ko:K00956	kph:KPNIH24_07850
ko:K00860	kph:KPNIH24_07855
ko:K05589	kph:KPNIH24_07865
ko:K00991	kph:KPNIH24_07870
ko:K01770	kph:KPNIH24_07875
ko:K06176	kph:KPNIH24_07880
ko:K03787	kph:KPNIH24_07885
ko:K00573	kph:KPNIH24_07890
ko:K06194	kph:KPNIH24_07895
ko:K03087	kph:KPNIH24_07900
ko:K03186	kph:KPNIH24_07925
ko:K03555	kph:KPNIH24_07945
ko:K11903	kph:KPNIH24_07955
ko:K02013	kph:KPNIH24_07960
ko:K02015	kph:KPNIH24_07965
ko:K02016	kph:KPNIH24_07970
ko:K07225	kph:KPNIH24_07975
ko:K16087	kph:KPNIH24_07980
ko:K07401	kph:KPNIH24_07985
ko:K01652	kph:KPNIH24_07990
ko:K07088	kph:KPNIH24_07995
ko:K11606	kph:KPNIH24_08010
ko:K11605	kph:KPNIH24_08015
ko:K11607	kph:KPNIH24_08020
ko:K11604	kph:KPNIH24_08025
ko:K00847	kph:KPNIH24_08035
ko:K02759	kph:KPNIH24_08040
ko:K02761	kph:KPNIH24_08045
ko:K11891	kph:KPNIH24_12265
ko:K11896	kph:KPNIH24_12270
ko:K11895	kph:KPNIH24_12275
ko:K11906	kph:KPNIH24_12280
ko:K11905	kph:KPNIH24_12285
ko:K11911	kph:KPNIH24_12290
ko:K17213	kph:KPNIH24_12295
