ko:K00105	stz:SPYALAB49_001423
ko:K09014	stz:SPYALAB49_000279
ko:K15580	stz:SPYALAB49_000282
ko:K02834	stz:SPYALAB49_001452
ko:K02519	stz:SPYALAB49_001453
ko:K07742	stz:SPYALAB49_001455
ko:K02600	stz:SPYALAB49_001456
ko:K09748	stz:SPYALAB49_001457
ko:K03439	stz:SPYALAB49_001460
ko:K02503	stz:SPYALAB49_001464
ko:K01591	stz:SPYALAB49_000730
ko:K00762	stz:SPYALAB49_000731
ko:K03648	stz:SPYALAB49_000735
ko:K01465	stz:SPYALAB49_000736
ko:K08591	stz:SPYALAB49_000737
ko:K02622	stz:SPYALAB49_000738
ko:K02621	stz:SPYALAB49_000739
ko:K00826	stz:SPYALAB49_000740
ko:K02945	stz:SPYALAB49_000744
ko:K07146	stz:SPYALAB49_000747
ko:K00791	stz:SPYALAB49_000751
ko:K03665	stz:SPYALAB49_000752
ko:K07124	stz:SPYALAB49_000755
ko:K07462	stz:SPYALAB49_000756
ko:K00759	stz:SPYALAB49_000757
ko:K10773	stz:SPYALAB49_000759
ko:K06967	stz:SPYALAB49_000760
ko:K00973	stz:SPYALAB49_000763
ko:K01790	stz:SPYALAB49_000764
ko:K06158	stz:SPYALAB49_000777
ko:K00161	stz:SPYALAB49_000778
ko:K00162	stz:SPYALAB49_000779
ko:K02013	stz:SPYALAB49_001518
ko:K15581	stz:SPYALAB49_000283
ko:K07015	stz:SPYALAB49_000293
ko:K07574	stz:SPYALAB49_000295
ko:K00969	stz:SPYALAB49_000296
ko:K09710	stz:SPYALAB49_000298
ko:K02073	stz:SPYALAB49_000303
ko:K02071	stz:SPYALAB49_000304
ko:K02072	stz:SPYALAB49_000305
ko:K03311	stz:SPYALAB49_000306
ko:K07862	stz:SPYALAB49_000307
ko:K03501	stz:SPYALAB49_000310
ko:K03744	stz:SPYALAB49_000311
ko:K03799	stz:SPYALAB49_000312
ko:K07040	stz:SPYALAB49_000313
ko:K07738	stz:SPYALAB49_000316
ko:K03977	stz:SPYALAB49_000319
ko:K03979	stz:SPYALAB49_001079
ko:K03215	stz:SPYALAB49_001096
ko:K00891	stz:SPYALAB49_001098
ko:K00800	stz:SPYALAB49_001099
ko:K07058	stz:SPYALAB49_001100
ko:K01265	stz:SPYALAB49_001101
ko:K00790	stz:SPYALAB49_001105
ko:K00789	stz:SPYALAB49_001106
ko:K03524	stz:SPYALAB49_001108
ko:K02343	stz:SPYALAB49_001110
ko:K00876	stz:SPYALAB49_001114
ko:K03629	stz:SPYALAB49_001858
ko:K01867	stz:SPYALAB49_001861
ko:K00783	stz:SPYALAB49_001870
ko:K02015	stz:SPYALAB49_001519
ko:K02016	stz:SPYALAB49_001520
ko:K01775	stz:SPYALAB49_001525
ko:K00997	stz:SPYALAB49_001526
ko:K03070	stz:SPYALAB49_001527
ko:K01809	stz:SPYALAB49_001529
ko:K00847	stz:SPYALAB49_001530
ko:K01193	stz:SPYALAB49_001533
ko:K03484	stz:SPYALAB49_001534
ko:K03625	stz:SPYALAB49_001535
ko:K02356	stz:SPYALAB49_001537
ko:K03701	stz:SPYALAB49_001540
ko:K03284	stz:SPYALAB49_001541
ko:K02963	stz:SPYALAB49_001543
ko:K02990	stz:SPYALAB49_001545
ko:K03575	stz:SPYALAB49_001547
ko:K03671	stz:SPYALAB49_001549
ko:K07456	stz:SPYALAB49_001551
ko:K03100	stz:SPYALAB49_001555
ko:K03581	stz:SPYALAB49_001556
ko:K02346	stz:SPYALAB49_001558
ko:K00656	stz:SPYALAB49_001559
ko:K03685	stz:SPYALAB49_000479
ko:K03529	stz:SPYALAB49_000480
ko:K00014	stz:SPYALAB49_000482
ko:K00789	stz:SPYALAB49_000486
ko:K00012	stz:SPYALAB49_000489
ko:K03110	stz:SPYALAB49_000505
ko:K01223	stz:SPYALAB49_000509
ko:K07089	stz:SPYALAB49_000511
ko:K06959	stz:SPYALAB49_000513
ko:K13292	stz:SPYALAB49_000517
ko:K08303	stz:SPYALAB49_000522
ko:K04567	stz:SPYALAB49_000526
ko:K01735	stz:SPYALAB49_001276
ko:K00014	stz:SPYALAB49_001280
ko:K07718	stz:SPYALAB49_001284
ko:K03043	stz:SPYALAB49_000124
ko:K03046	stz:SPYALAB49_000125
ko:K00925	stz:SPYALAB49_000135
ko:K00286	stz:SPYALAB49_000137
ko:K06878	stz:SPYALAB49_000141
ko:K04083	stz:SPYALAB49_000145
ko:K03100	stz:SPYALAB49_000148
ko:K08600	stz:SPYALAB49_000150
ko:K02106	stz:SPYALAB49_000155
ko:K01034	stz:SPYALAB49_000158
ko:K02057	stz:SPYALAB49_000930
ko:K02057	stz:SPYALAB49_000931
ko:K07335	stz:SPYALAB49_000933
ko:K02968	stz:SPYALAB49_000937
ko:K01256	stz:SPYALAB49_000940
ko:K02039	stz:SPYALAB49_000941
ko:K02036	stz:SPYALAB49_000942
ko:K02036	stz:SPYALAB49_000943
ko:K02038	stz:SPYALAB49_000944
ko:K02037	stz:SPYALAB49_000945
ko:K02040	stz:SPYALAB49_000946
ko:K11753	stz:SPYALAB49_000951
ko:K02003	stz:SPYALAB49_000957
ko:K03657	stz:SPYALAB49_000966
ko:K03310	stz:SPYALAB49_000967
ko:K02029	stz:SPYALAB49_000972
ko:K06193	stz:SPYALAB49_000973
ko:K00820	stz:SPYALAB49_000974
ko:K03100	stz:SPYALAB49_000975
ko:K00873	stz:SPYALAB49_000976
ko:K02003	stz:SPYALAB49_001709
ko:K00005	stz:SPYALAB49_001723
ko:K00656	stz:SPYALAB49_001725
ko:K02761	stz:SPYALAB49_001726
ko:K02760	stz:SPYALAB49_001727
ko:K02759	stz:SPYALAB49_001728
ko:K04069	stz:SPYALAB49_001731
ko:K03073	stz:SPYALAB49_001733
ko:K06180	stz:SPYALAB49_001737
ko:K04077	stz:SPYALAB49_001742
ko:K04078	stz:SPYALAB49_001743
ko:K03696	stz:SPYALAB49_001744
ko:K03704	stz:SPYALAB49_001747
ko:K03387	stz:SPYALAB49_001750
ko:K01468	stz:SPYALAB49_001751
ko:K01712	stz:SPYALAB49_001752
ko:K01938	stz:SPYALAB49_001755
ko:K07006	stz:SPYALAB49_000680
ko:K02860	stz:SPYALAB49_000683
ko:K00554	stz:SPYALAB49_000684
ko:K00077	stz:SPYALAB49_000687
ko:K02768	stz:SPYALAB49_000690
ko:K02769	stz:SPYALAB49_000690
ko:K02770	stz:SPYALAB49_000690
ko:K00940	stz:SPYALAB49_000697
ko:K15738	stz:SPYALAB49_000701
ko:K01462	stz:SPYALAB49_000703
ko:K03544	stz:SPYALAB49_000717
ko:K03978	stz:SPYALAB49_000718
ko:K01807	stz:SPYALAB49_000721
ko:K01839	stz:SPYALAB49_000722
ko:K06925	stz:SPYALAB49_001468
ko:K06901	stz:SPYALAB49_001469
ko:K01875	stz:SPYALAB49_001476
ko:K01962	stz:SPYALAB49_001477
ko:K01963	stz:SPYALAB49_001478
ko:K01961	stz:SPYALAB49_001479
ko:K02372	stz:SPYALAB49_001480
ko:K02160	stz:SPYALAB49_001481
ko:K09458	stz:SPYALAB49_001482
ko:K00645	stz:SPYALAB49_001484
ko:K02078	stz:SPYALAB49_001486
ko:K00648	stz:SPYALAB49_001487
ko:K03686	stz:SPYALAB49_001490
ko:K04043	stz:SPYALAB49_001491
ko:K03687	stz:SPYALAB49_001492
ko:K03705	stz:SPYALAB49_001493
ko:K02434	stz:SPYALAB49_001499
ko:K02435	stz:SPYALAB49_001501
ko:K03706	stz:SPYALAB49_001505
ko:K14260	stz:SPYALAB49_001506
ko:K03655	stz:SPYALAB49_001512
ko:K01924	stz:SPYALAB49_000322
ko:K07082	stz:SPYALAB49_000324
ko:K03624	stz:SPYALAB49_000325
ko:K03217	stz:SPYALAB49_000326
ko:K01512	stz:SPYALAB49_000327
ko:K03437	stz:SPYALAB49_000328
ko:K06950	stz:SPYALAB49_000329
ko:K06890	stz:SPYALAB49_000330
ko:K01776	stz:SPYALAB49_000332
ko:K07095	stz:SPYALAB49_000334
ko:K05896	stz:SPYALAB49_000337
ko:K06024	stz:SPYALAB49_000338
ko:K06178	stz:SPYALAB49_000339
ko:K08998	stz:SPYALAB49_000340
ko:K03216	stz:SPYALAB49_000341
ko:K07139	stz:SPYALAB49_000344
ko:K04069	stz:SPYALAB49_000347
ko:K02015	stz:SPYALAB49_000350
ko:K02015	stz:SPYALAB49_000351
ko:K02016	stz:SPYALAB49_000352
ko:K02013	stz:SPYALAB49_000353
ko:K00761	stz:SPYALAB49_000356
ko:K01358	stz:SPYALAB49_000358
ko:K00943	stz:SPYALAB49_000361
ko:K02341	stz:SPYALAB49_000362
ko:K07056	stz:SPYALAB49_000366
ko:K01142	stz:SPYALAB49_000370
ko:K01872	stz:SPYALAB49_001131
ko:K08177	stz:SPYALAB49_001134
ko:K08602	stz:SPYALAB49_001135
ko:K07568	stz:SPYALAB49_001139
ko:K04564	stz:SPYALAB49_001144
ko:K02340	stz:SPYALAB49_001145
ko:K02237	stz:SPYALAB49_001147
ko:K00655	stz:SPYALAB49_001148
ko:K07461	stz:SPYALAB49_001150
ko:K03549	stz:SPYALAB49_001151
ko:K05592	stz:SPYALAB49_001152
ko:K02837	stz:SPYALAB49_001153
ko:K01929	stz:SPYALAB49_001155
ko:K01921	stz:SPYALAB49_001156
ko:K06187	stz:SPYALAB49_001157
ko:K01534	stz:SPYALAB49_001166
ko:K02313	stz:SPYALAB49_000001
ko:K02338	stz:SPYALAB49_000002
ko:K06942	stz:SPYALAB49_000005
ko:K01056	stz:SPYALAB49_000006
ko:K03723	stz:SPYALAB49_000007
ko:K04075	stz:SPYALAB49_000012
ko:K00760	stz:SPYALAB49_000013
ko:K00627	stz:SPYALAB49_000780
ko:K00382	stz:SPYALAB49_000781
ko:K03800	stz:SPYALAB49_000783
ko:K01928	stz:SPYALAB49_000785
ko:K03431	stz:SPYALAB49_000788
ko:K00940	stz:SPYALAB49_000796
ko:K03596	stz:SPYALAB49_000798
ko:K02012	stz:SPYALAB49_000808
ko:K03703	stz:SPYALAB49_000810
ko:K03650	stz:SPYALAB49_000813
ko:K02864	stz:SPYALAB49_000814
ko:K02935	stz:SPYALAB49_000815
ko:K11754	stz:SPYALAB49_000818
ko:K01495	stz:SPYALAB49_000819
ko:K00796	stz:SPYALAB49_000820
ko:K01633	stz:SPYALAB49_000821
ko:K00950	stz:SPYALAB49_000822
ko:K00075	stz:SPYALAB49_000823
ko:K02440	stz:SPYALAB49_001564
ko:K09747	stz:SPYALAB49_001571
ko:K07007	stz:SPYALAB49_001575
ko:K00757	stz:SPYALAB49_001578
ko:K02954	stz:SPYALAB49_001580
ko:K03789	stz:SPYALAB49_001582
ko:K01915	stz:SPYALAB49_001586
ko:K00927	stz:SPYALAB49_001589
ko:K02902	stz:SPYALAB49_001594
ko:K01624	stz:SPYALAB49_001595
ko:K01937	stz:SPYALAB49_001599
ko:K03545	stz:SPYALAB49_001601
ko:K00868	stz:SPYALAB49_001605
ko:K06173	stz:SPYALAB49_001606
ko:K00432	stz:SPYALAB49_000534
ko:K01595	stz:SPYALAB49_000536
ko:K03588	stz:SPYALAB49_000537
ko:K02358	stz:SPYALAB49_000539
ko:K01803	stz:SPYALAB49_000540
ko:K06885	stz:SPYALAB49_000546
ko:K02747	stz:SPYALAB49_000551
ko:K02746	stz:SPYALAB49_000552
ko:K00874	stz:SPYALAB49_000558
ko:K01625	stz:SPYALAB49_000559
ko:K02836	stz:SPYALAB49_000562
ko:K09812	stz:SPYALAB49_000563
ko:K09811	stz:SPYALAB49_000564
ko:K01893	stz:SPYALAB49_000570
ko:K06958	stz:SPYALAB49_000571
ko:K08659	stz:SPYALAB49_000574
ko:K03710	stz:SPYALAB49_000576
ko:K02082	stz:SPYALAB49_000577
ko:K03565	stz:SPYALAB49_001354
ko:K05808	stz:SPYALAB49_001366
ko:K01738	stz:SPYALAB49_001370
ko:K01939	stz:SPYALAB49_000175
ko:K07335	stz:SPYALAB49_000176
ko:K02601	stz:SPYALAB49_000177
ko:K01869	stz:SPYALAB49_000184
ko:K02000	stz:SPYALAB49_000193
ko:K06929	stz:SPYALAB49_000196
ko:K00767	stz:SPYALAB49_000206
ko:K00773	stz:SPYALAB49_000212
ko:K03523	stz:SPYALAB49_000214
ko:K11991	stz:SPYALAB49_000216
ko:K01810	stz:SPYALAB49_000221
ko:K00850	stz:SPYALAB49_000977
ko:K02337	stz:SPYALAB49_000978
ko:K01745	stz:SPYALAB49_001758
ko:K02967	stz:SPYALAB49_001761
ko:K02357	stz:SPYALAB49_001762
ko:K09861	stz:SPYALAB49_001771
ko:K07447	stz:SPYALAB49_001779
ko:K01246	stz:SPYALAB49_001784
ko:K03550	stz:SPYALAB49_001785
ko:K03572	stz:SPYALAB49_001787
ko:K01874	stz:SPYALAB49_000376
ko:K02445	stz:SPYALAB49_000391
ko:K04042	stz:SPYALAB49_000392
ko:K03466	stz:SPYALAB49_000402
ko:K02867	stz:SPYALAB49_000404
ko:K02863	stz:SPYALAB49_000405
ko:K09903	stz:SPYALAB49_000406
ko:K02838	stz:SPYALAB49_000407
ko:K00243	stz:SPYALAB49_000408
ko:K07042	stz:SPYALAB49_000415
ko:K03530	stz:SPYALAB49_001205
ko:K03631	stz:SPYALAB49_001210
ko:K03402	stz:SPYALAB49_001211
ko:K06442	stz:SPYALAB49_001212
ko:K13789	stz:SPYALAB49_001213
ko:K03602	stz:SPYALAB49_001214
ko:K03601	stz:SPYALAB49_001215
ko:K01491	stz:SPYALAB49_001216
ko:K01669	stz:SPYALAB49_001218
ko:K03798	stz:SPYALAB49_000014
ko:K00948	stz:SPYALAB49_000047
ko:K03584	stz:SPYALAB49_000048
ko:K03621	stz:SPYALAB49_000049
ko:K02078	stz:SPYALAB49_000050
ko:K01923	stz:SPYALAB49_000051
ko:K01952	stz:SPYALAB49_000052
ko:K00764	stz:SPYALAB49_000053
ko:K01933	stz:SPYALAB49_000054
ko:K11175	stz:SPYALAB49_000055
ko:K00602	stz:SPYALAB49_000056
ko:K01945	stz:SPYALAB49_000058
ko:K01588	stz:SPYALAB49_000059
ko:K01589	stz:SPYALAB49_000060
ko:K01756	stz:SPYALAB49_000063
ko:K03551	stz:SPYALAB49_000065
ko:K03788	stz:SPYALAB49_000834
ko:K03630	stz:SPYALAB49_000839
ko:K07010	stz:SPYALAB49_000840
ko:K01926	stz:SPYALAB49_000841
ko:K04487	stz:SPYALAB49_000843
ko:K00948	stz:SPYALAB49_000844
ko:K00858	stz:SPYALAB49_000847
ko:K06180	stz:SPYALAB49_000848
ko:K05847	stz:SPYALAB49_000852
ko:K00364	stz:SPYALAB49_000854
ko:K03816	stz:SPYALAB49_000855
ko:K03734	stz:SPYALAB49_000857
ko:K01821	stz:SPYALAB49_000858
ko:K02835	stz:SPYALAB49_000860
ko:K02493	stz:SPYALAB49_000861
ko:K07566	stz:SPYALAB49_000862
ko:K00600	stz:SPYALAB49_000864
ko:K02469	stz:SPYALAB49_000871
ko:K11068	stz:SPYALAB49_000877
ko:K14540	stz:SPYALAB49_000879
ko:K00865	stz:SPYALAB49_001611
ko:K01153	stz:SPYALAB49_001612
ko:K01154	stz:SPYALAB49_001613
ko:K03427	stz:SPYALAB49_001614
ko:K02787	stz:SPYALAB49_001622
ko:K02788	stz:SPYALAB49_001622
ko:K02996	stz:SPYALAB49_001634
ko:K02871	stz:SPYALAB49_001635
ko:K06962	stz:SPYALAB49_001639
ko:K03218	stz:SPYALAB49_001640
ko:K11145	stz:SPYALAB49_001642
ko:K01883	stz:SPYALAB49_001643
ko:K00640	stz:SPYALAB49_001646
ko:K00962	stz:SPYALAB49_001648
ko:K02956	stz:SPYALAB49_001653
ko:K01462	stz:SPYALAB49_001656
ko:K02909	stz:SPYALAB49_000578
ko:K02884	stz:SPYALAB49_000583
ko:K02470	stz:SPYALAB49_000586
ko:K01689	stz:SPYALAB49_000589
ko:K01972	stz:SPYALAB49_000601
ko:K02110	stz:SPYALAB49_000603
ko:K02108	stz:SPYALAB49_000604
ko:K02109	stz:SPYALAB49_000605
ko:K02113	stz:SPYALAB49_000606
ko:K02111	stz:SPYALAB49_000607
ko:K02115	stz:SPYALAB49_000608
ko:K02112	stz:SPYALAB49_000609
ko:K02114	stz:SPYALAB49_000610
ko:K00790	stz:SPYALAB49_000612
ko:K01889	stz:SPYALAB49_000616
ko:K01890	stz:SPYALAB49_000617
ko:K02003	stz:SPYALAB49_000621
ko:K02970	stz:SPYALAB49_000626
ko:K03282	stz:SPYALAB49_000627
ko:K03500	stz:SPYALAB49_001378
ko:K00604	stz:SPYALAB49_001379
ko:K04066	stz:SPYALAB49_001380
ko:K03060	stz:SPYALAB49_001381
ko:K00942	stz:SPYALAB49_001382
ko:K01034	stz:SPYALAB49_001386
ko:K07173	stz:SPYALAB49_001391
ko:K07444	stz:SPYALAB49_001393
ko:K05366	stz:SPYALAB49_001397
ko:K00763	stz:SPYALAB49_001400
ko:K00384	stz:SPYALAB49_001402
ko:K02029	stz:SPYALAB49_001405
ko:K01000	stz:SPYALAB49_001408
ko:K03438	stz:SPYALAB49_001411
ko:K00147	stz:SPYALAB49_001413
ko:K00931	stz:SPYALAB49_001414
ko:K00615	stz:SPYALAB49_001418
ko:K00963	stz:SPYALAB49_000226
ko:K00057	stz:SPYALAB49_000227
ko:K09765	stz:SPYALAB49_000231
ko:K04485	stz:SPYALAB49_000233
ko:K01673	stz:SPYALAB49_000234
ko:K07707	stz:SPYALAB49_000239
ko:K03536	stz:SPYALAB49_000240
ko:K03217	stz:SPYALAB49_000241
ko:K02914	stz:SPYALAB49_000244
ko:K03424	stz:SPYALAB49_000253
ko:K05985	stz:SPYALAB49_000254
ko:K02528	stz:SPYALAB49_000255
ko:K06949	stz:SPYALAB49_000256
ko:K01783	stz:SPYALAB49_000257
ko:K09760	stz:SPYALAB49_000259
ko:K02950	stz:SPYALAB49_000263
ko:K02992	stz:SPYALAB49_000264
ko:K02355	stz:SPYALAB49_000265
ko:K00134	stz:SPYALAB49_000266
ko:K06153	stz:SPYALAB49_000271
ko:K00688	stz:SPYALAB49_001052
ko:K00705	stz:SPYALAB49_001053
ko:K02529	stz:SPYALAB49_001054
ko:K03740	stz:SPYALAB49_001061
ko:K14188	stz:SPYALAB49_001062
ko:K03739	stz:SPYALAB49_001063
ko:K03367	stz:SPYALAB49_001064
ko:K03702	stz:SPYALAB49_001066
ko:K02761	stz:SPYALAB49_001070
ko:K02759	stz:SPYALAB49_001072
ko:K02760	stz:SPYALAB49_001073
ko:K03555	stz:SPYALAB49_001810
ko:K03402	stz:SPYALAB49_001812
ko:K01887	stz:SPYALAB49_001813
ko:K01876	stz:SPYALAB49_001818
ko:K01892	stz:SPYALAB49_001819
ko:K02911	stz:SPYALAB49_001820
ko:K02913	stz:SPYALAB49_001821
ko:K01421	stz:SPYALAB49_001832
ko:K02986	stz:SPYALAB49_001834
ko:K02939	stz:SPYALAB49_001838
ko:K03495	stz:SPYALAB49_001840
ko:K00566	stz:SPYALAB49_001842
ko:K01752	stz:SPYALAB49_001843
ko:K01752	stz:SPYALAB49_001844
ko:K00995	stz:SPYALAB49_001849
ko:K00012	stz:SPYALAB49_001854
ko:K00963	stz:SPYALAB49_001856
ko:K00799	stz:SPYALAB49_000748
ko:K11041	stz:SPYALAB49_000749
ko:K00784	stz:SPYALAB49_000754
ko:K02086	stz:SPYALAB49_000758
ko:K01834	stz:SPYALAB49_001162
ko:K01989	stz:SPYALAB49_000771
ko:K05832	stz:SPYALAB49_000772
ko:K05833	stz:SPYALAB49_000773
ko:K03930	stz:SPYALAB49_000775
ko:K02808	stz:SPYALAB49_001532
ko:K02809	stz:SPYALAB49_001532
ko:K02810	stz:SPYALAB49_001532
ko:K01262	stz:SPYALAB49_001539
ko:K03471	stz:SPYALAB49_001554
ko:K09976	stz:SPYALAB49_000331
ko:K02428	stz:SPYALAB49_000333
ko:K15986	stz:SPYALAB49_000348
ko:K05362	stz:SPYALAB49_000354
ko:K06201	stz:SPYALAB49_000368
ko:K07052	stz:SPYALAB49_001127
ko:K07729	stz:SPYALAB49_001129
ko:K07533	stz:SPYALAB49_001132
ko:K06198	stz:SPYALAB49_001136
ko:K06183	stz:SPYALAB49_001137
ko:K02564	stz:SPYALAB49_001138
ko:K02238	stz:SPYALAB49_001146
ko:K07105	stz:SPYALAB49_001161
ko:K15051	stz:SPYALAB49_001168
ko:K03294	stz:SPYALAB49_000015
ko:K01104	stz:SPYALAB49_000066
ko:K00027	stz:SPYALAB49_000831
ko:K07816	stz:SPYALAB49_000846
ko:K00625	stz:SPYALAB49_000849
ko:K05845	stz:SPYALAB49_000853
ko:K05846	stz:SPYALAB49_000853
ko:K06147	stz:SPYALAB49_000868
ko:K00016	stz:SPYALAB49_000870
ko:K08234	stz:SPYALAB49_000873
ko:K01220	stz:SPYALAB49_001621
ko:K02786	stz:SPYALAB49_001623
ko:K01635	stz:SPYALAB49_001624
ko:K00917	stz:SPYALAB49_001625
ko:K01819	stz:SPYALAB49_001626
ko:K01819	stz:SPYALAB49_001627
ko:K02530	stz:SPYALAB49_001628
ko:K07729	stz:SPYALAB49_001636
ko:K00616	stz:SPYALAB49_001649
ko:K03475	stz:SPYALAB49_001650
ko:K02822	stz:SPYALAB49_001651
ko:K02821	stz:SPYALAB49_001652
ko:K09698	stz:SPYALAB49_000236
ko:K07706	stz:SPYALAB49_000237
ko:K06346	stz:SPYALAB49_000242
ko:K01788	stz:SPYALAB49_000245
ko:K02025	stz:SPYALAB49_000247
ko:K01639	stz:SPYALAB49_000250
ko:K00949	stz:SPYALAB49_000258
ko:K03698	stz:SPYALAB49_000260
ko:K09685	stz:SPYALAB49_000261
ko:K03491	stz:SPYALAB49_001074
ko:K09963	stz:SPYALAB49_001075
ko:K08974	stz:SPYALAB49_001827
ko:K00752	stz:SPYALAB49_001853
ko:K13953	stz:SPYALAB49_000070
ko:K00939	stz:SPYALAB49_000094
ko:K01571	stz:SPYALAB49_000885
ko:K05966	stz:SPYALAB49_000889
ko:K01572	stz:SPYALAB49_000894
ko:K01571	stz:SPYALAB49_000900
ko:K09787	stz:SPYALAB49_000906
