ko:K02058	mhae:F382_00370
ko:K09929	mhae:F382_02800
ko:K02931	mhae:F382_07050
ko:K02895	mhae:F382_07055
ko:K07733	mhae:F382_00585
ko:K05810	mhae:F382_00600
ko:K06899	mhae:F382_00610
ko:K06186	mhae:F382_00615
ko:K00262	mhae:F382_00620
ko:K01886	mhae:F382_00630
ko:K02356	mhae:F382_00650
ko:K01893	mhae:F382_00665
ko:K07173	mhae:F382_05140
ko:K02313	mhae:F382_05150
ko:K02338	mhae:F382_05155
ko:K01892	mhae:F382_05165
ko:K15539	mhae:F382_05175
ko:K01755	mhae:F382_05180
ko:K00566	mhae:F382_05185
ko:K05952	mhae:F382_05200
ko:K03734	mhae:F382_05205
ko:K00351	mhae:F382_05220
ko:K00350	mhae:F382_05225
ko:K00349	mhae:F382_05230
ko:K00348	mhae:F382_05235
ko:K00347	mhae:F382_05240
ko:K00346	mhae:F382_05245
ko:K07400	mhae:F382_05250
ko:K01937	mhae:F382_05255
ko:K13634	mhae:F382_05270
ko:K06949	mhae:F382_05285
ko:K03470	mhae:F382_05290
ko:K02503	mhae:F382_05295
ko:K03797	mhae:F382_05320
ko:K03607	mhae:F382_05325
ko:K03704	mhae:F382_05330
ko:K05820	mhae:F382_05335
ko:K00286	mhae:F382_05340
ko:K03554	mhae:F382_05345
ko:K01438	mhae:F382_05360
ko:K03271	mhae:F382_05380
ko:K07460	mhae:F382_05385
ko:K07121	mhae:F382_05390
ko:K07056	mhae:F382_05395
ko:K07391	mhae:F382_09330
ko:K02551	mhae:F382_09340
ko:K10542	mhae:F382_09375
ko:K13821	mhae:F382_09395
ko:K03315	mhae:F382_09400
ko:K02679	mhae:F382_09425
ko:K02680	mhae:F382_09430
ko:K02681	mhae:F382_09440
ko:K03583	mhae:F382_09445
ko:K01407	mhae:F382_09450
ko:K12368	mhae:F382_09455
ko:K16087	mhae:F382_09460
ko:K03524	mhae:F382_09475
ko:K00075	mhae:F382_09480
ko:K05501	mhae:F382_09495
ko:K13038	mhae:F382_09520
ko:K03630	mhae:F382_09525
ko:K02913	mhae:F382_09535
ko:K02526	mhae:F382_09550
ko:K00836	mhae:F382_09560
ko:K02874	mhae:F382_07060
ko:K00820	mhae:F382_07065
ko:K04062	mhae:F382_07075
ko:K02012	mhae:F382_07080
ko:K02011	mhae:F382_07085
ko:K02358	mhae:F382_07095
ko:K02199	mhae:F382_07125
ko:K03831	mhae:F382_07145
ko:K04751	mhae:F382_07150
ko:K03101	mhae:F382_07155
ko:K03527	mhae:F382_07160
ko:K09159	mhae:F382_07165
ko:K09897	mhae:F382_07180
ko:K09790	mhae:F382_07200
ko:K03733	mhae:F382_07205
ko:K01879	mhae:F382_07230
ko:K01878	mhae:F382_07250
ko:K03532	mhae:F382_07255
ko:K03106	mhae:F382_07310
ko:K02426	mhae:F382_11260
ko:K00766	mhae:F382_11275
ko:K01657	mhae:F382_11290
ko:K06178	mhae:F382_11300
ko:K03811	mhae:F382_11315
ko:K00705	mhae:F382_11320
ko:K01945	mhae:F382_11335
ko:K02990	mhae:F382_11340
ko:K02686	mhae:F382_11345
ko:K02963	mhae:F382_11350
ko:K02939	mhae:F382_11355
ko:K02560	mhae:F382_11430
ko:K00759	mhae:F382_11435
ko:K02020	mhae:F382_11450
ko:K02018	mhae:F382_11455
ko:K09801	mhae:F382_11470
ko:K00942	mhae:F382_11500
ko:K03457	mhae:F382_03135
ko:K01595	mhae:F382_03140
ko:K04744	mhae:F382_03145
ko:K09894	mhae:F382_03160
ko:K09910	mhae:F382_03165
ko:K03427	mhae:F382_03170
ko:K08306	mhae:F382_07335
ko:K03575	mhae:F382_07345
ko:K06206	mhae:F382_07360
ko:K01419	mhae:F382_07365
ko:K03667	mhae:F382_07370
ko:K01141	mhae:F382_01065
ko:K07053	mhae:F382_01075
ko:K16301	mhae:F382_01080
ko:K07224	mhae:F382_01085
ko:K03702	mhae:F382_01095
ko:K01589	mhae:F382_01105
ko:K01588	mhae:F382_01115
ko:K03599	mhae:F382_01120
ko:K03600	mhae:F382_01125
ko:K03168	mhae:F382_01145
ko:K09890	mhae:F382_01165
ko:K01935	mhae:F382_01170
ko:K15545	mhae:F382_01175
ko:K03684	mhae:F382_01180
ko:K09888	mhae:F382_05420
ko:K09895	mhae:F382_05425
ko:K01599	mhae:F382_05430
ko:K09891	mhae:F382_05435
ko:K05787	mhae:F382_05440
ko:K08300	mhae:F382_05450
ko:K03182	mhae:F382_05465
ko:K06193	mhae:F382_05475
ko:K12573	mhae:F382_05480
ko:K03925	mhae:F382_05490
ko:K03438	mhae:F382_05495
ko:K03586	mhae:F382_05500
ko:K03587	mhae:F382_05505
ko:K01928	mhae:F382_05510
ko:K01929	mhae:F382_05515
ko:K01000	mhae:F382_05520
ko:K01925	mhae:F382_05525
ko:K03588	mhae:F382_05530
ko:K02563	mhae:F382_05535
ko:K01924	mhae:F382_05540
ko:K01921	mhae:F382_05545
ko:K03589	mhae:F382_05550
ko:K03590	mhae:F382_05555
ko:K03531	mhae:F382_05560
ko:K02535	mhae:F382_05565
ko:K03631	mhae:F382_05570
ko:K02339	mhae:F382_05640
ko:K01873	mhae:F382_05665
ko:K13745	mhae:F382_09565
ko:K02572	mhae:F382_09580
ko:K02570	mhae:F382_09585
ko:K02567	mhae:F382_09590
ko:K02573	mhae:F382_09595
ko:K02568	mhae:F382_09605
ko:K03651	mhae:F382_09615
ko:K03532	mhae:F382_09625
ko:K07811	mhae:F382_09630
ko:K03533	mhae:F382_09635
ko:K13256	mhae:F382_09670
ko:K06133	mhae:F382_09675
ko:K03313	mhae:F382_09685
ko:K14392	mhae:F382_09690
ko:K03764	mhae:F382_09700
ko:K04754	mhae:F382_09705
ko:K02558	mhae:F382_09710
ko:K04761	mhae:F382_09755
ko:K01733	mhae:F382_09765
ko:K01734	mhae:F382_09770
ko:K03808	mhae:F382_09790
ko:K00053	mhae:F382_09795
ko:K01923	mhae:F382_09800
ko:K00765	mhae:F382_09805
ko:K00013	mhae:F382_09810
ko:K03621	mhae:F382_09815
ko:K02911	mhae:F382_09820
ko:K07040	mhae:F382_09825
ko:K03308	mhae:F382_09840
ko:K09824	mhae:F382_07375
ko:K09997	mhae:F382_07380
ko:K11004	mhae:F382_07395
ko:K11003	mhae:F382_07400
ko:K00864	mhae:F382_07425
ko:K02440	mhae:F382_07430
ko:K06199	mhae:F382_07435
ko:K01778	mhae:F382_07445
ko:K07002	mhae:F382_07450
ko:K01805	mhae:F382_07465
ko:K10543	mhae:F382_07470
ko:K10545	mhae:F382_07475
ko:K10544	mhae:F382_07480
ko:K02562	mhae:F382_07510
ko:K00009	mhae:F382_07515
ko:K06041	mhae:F382_07525
ko:K02468	mhae:F382_07530
ko:K02781	mhae:F382_07550
ko:K03088	mhae:F382_07595
ko:K17247	mhae:F382_07605
ko:K14058	mhae:F382_11560
ko:K02469	mhae:F382_11575
ko:K15738	mhae:F382_11580
ko:K06966	mhae:F382_11590
ko:K02071	mhae:F382_11600
ko:K02072	mhae:F382_11605
ko:K02073	mhae:F382_11610
ko:K02073	mhae:F382_11615
ko:K02073	mhae:F382_11620
ko:K00789	mhae:F382_11625
ko:K01166	mhae:F382_11640
ko:K02742	mhae:F382_11645
ko:K03885	mhae:F382_11650
ko:K02012	mhae:F382_11655
ko:K06901	mhae:F382_11670
ko:K03074	mhae:F382_11675
ko:K03072	mhae:F382_11680
ko:K03210	mhae:F382_11685
ko:K07109	mhae:F382_11690
ko:K00849	mhae:F382_11700
ko:K00965	mhae:F382_11705
ko:K07088	mhae:F382_11725
ko:K02836	mhae:F382_11730
ko:K01008	mhae:F382_11765
ko:K12152	mhae:F382_11770
ko:K03185	mhae:F382_11775
ko:K01689	mhae:F382_11795
ko:K03212	mhae:F382_11800
ko:K01207	mhae:F382_11805
ko:K03573	mhae:F382_11810
ko:K03466	mhae:F382_01190
ko:K01626	mhae:F382_01200
ko:K07090	mhae:F382_01210
ko:K06871	mhae:F382_01230
ko:K09892	mhae:F382_01240
ko:K09946	mhae:F382_01255
ko:K14682	mhae:F382_01260
ko:K01653	mhae:F382_01280
ko:K01652	mhae:F382_01285
ko:K01673	mhae:F382_01290
ko:K13788	mhae:F382_01295
ko:K00925	mhae:F382_01300
ko:K00215	mhae:F382_01375
ko:K06968	mhae:F382_01390
ko:K03321	mhae:F382_01400
ko:K01682	mhae:F382_01410
ko:K00031	mhae:F382_01415
ko:K01647	mhae:F382_01420
ko:K07821	mhae:F382_01440
ko:K03639	mhae:F382_01450
ko:K03637	mhae:F382_01455
ko:K03636	mhae:F382_01460
ko:K01057	mhae:F382_05690
ko:K00036	mhae:F382_05695
ko:K08312	mhae:F382_05705
ko:K04762	mhae:F382_05710
ko:K04083	mhae:F382_05720
ko:K11755	mhae:F382_05730
ko:K02500	mhae:F382_05740
ko:K01814	mhae:F382_05745
ko:K02501	mhae:F382_05755
ko:K01089	mhae:F382_05770
ko:K00817	mhae:F382_05775
ko:K02344	mhae:F382_05795
ko:K03789	mhae:F382_05800
ko:K06207	mhae:F382_05805
ko:K06997	mhae:F382_05810
ko:K03270	mhae:F382_05815
ko:K09803	mhae:F382_05820
ko:K03089	mhae:F382_05835
ko:K00640	mhae:F382_05885
ko:K00057	mhae:F382_05890
ko:K03071	mhae:F382_05895
ko:K03545	mhae:F382_05905
ko:K02358	mhae:F382_05910
ko:K02355	mhae:F382_05915
ko:K02992	mhae:F382_05920
ko:K02950	mhae:F382_05925
ko:K02841	mhae:F382_05930
ko:K02237	mhae:F382_05955
ko:K05590	mhae:F382_09855
ko:K03673	mhae:F382_09865
ko:K09896	mhae:F382_09870
ko:K01347	mhae:F382_09880
ko:K03841	mhae:F382_09885
ko:K01792	mhae:F382_09890
ko:K06911	mhae:F382_09895
ko:K09125	mhae:F382_09900
ko:K01265	mhae:F382_09905
ko:K01154	mhae:F382_03175
ko:K01153	mhae:F382_03180
ko:K00982	mhae:F382_03185
ko:K09780	mhae:F382_03190
ko:K10806	mhae:F382_03195
ko:K06190	mhae:F382_03200
ko:K09899	mhae:F382_03210
ko:K03750	mhae:F382_03225
ko:K07133	mhae:F382_03235
ko:K06158	mhae:F382_03240
ko:K08990	mhae:F382_03265
ko:K05541	mhae:F382_03270
ko:K08984	mhae:F382_03275
ko:K05801	mhae:F382_03280
ko:K03640	mhae:F382_03285
ko:K03641	mhae:F382_03290
ko:K03562	mhae:F382_03305
ko:K07107	mhae:F382_03310
ko:K00426	mhae:F382_03325
ko:K00425	mhae:F382_03330
ko:K04077	mhae:F382_03340
ko:K04078	mhae:F382_03345
ko:K03070	mhae:F382_03365
ko:K05527	mhae:F382_03390
ko:K07286	mhae:F382_03395
ko:K09761	mhae:F382_03410
ko:K07735	mhae:F382_03415
ko:K07447	mhae:F382_03420
ko:K03310	mhae:F382_03435
ko:K01952	mhae:F382_07645
ko:K16087	mhae:F382_07660
ko:K02430	mhae:F382_07665
ko:K01818	mhae:F382_07670
ko:K02431	mhae:F382_07680
ko:K01628	mhae:F382_07685
ko:K10441	mhae:F382_07690
ko:K00048	mhae:F382_07710
ko:K07248	mhae:F382_07715
ko:K08996	mhae:F382_07720
ko:K03500	mhae:F382_07730
ko:K07080	mhae:F382_07745
ko:K03833	mhae:F382_07750
ko:K00275	mhae:F382_07765
ko:K00885	mhae:F382_07785
ko:K06205	mhae:F382_07865
ko:K01914	mhae:F382_07880
ko:K02114	mhae:F382_07885
ko:K02112	mhae:F382_07890
ko:K02115	mhae:F382_07895
ko:K01356	mhae:F382_11815
ko:K00631	mhae:F382_11820
ko:K08289	mhae:F382_11850
ko:K01687	mhae:F382_11865
ko:K03703	mhae:F382_11880
ko:K02887	mhae:F382_11890
ko:K02916	mhae:F382_11895
ko:K02520	mhae:F382_11900
ko:K03654	mhae:F382_11905
ko:K06202	mhae:F382_11910
ko:K07270	mhae:F382_11915
ko:K05807	mhae:F382_11925
ko:K06180	mhae:F382_11930
ko:K16347	mhae:F382_11935
ko:K05809	mhae:F382_11940
ko:K02517	mhae:F382_11945
ko:K01714	mhae:F382_11950
ko:K03837	mhae:F382_11960
ko:K01752	mhae:F382_11965
ko:K00602	mhae:F382_11970
ko:K06975	mhae:F382_11975
ko:K07259	mhae:F382_11980
ko:K03624	mhae:F382_11985
ko:K00940	mhae:F382_11990
ko:K01874	mhae:F382_11995
ko:K07552	mhae:F382_12010
ko:K03215	mhae:F382_12015
ko:K01129	mhae:F382_12020
ko:K03580	mhae:F382_12030
ko:K09803	mhae:F382_12035
ko:K03806	mhae:F382_12050
ko:K07115	mhae:F382_12055
ko:K00762	mhae:F382_12060
ko:K03611	mhae:F382_12075
ko:K02062	mhae:F382_09910
ko:K02063	mhae:F382_09915
ko:K06168	mhae:F382_09935
ko:K00847	mhae:F382_09940
ko:K01193	mhae:F382_09945
ko:K03484	mhae:F382_09950
ko:K03060	mhae:F382_09960
ko:K01772	mhae:F382_09975
ko:K02914	mhae:F382_09980
ko:K03536	mhae:F382_09985
ko:K08998	mhae:F382_09990
ko:K15724	mhae:F382_09995
ko:K00785	mhae:F382_10005
ko:K02970	mhae:F382_10055
ko:K03086	mhae:F382_10065
ko:K02548	mhae:F382_10075
ko:K06188	mhae:F382_10090
ko:K03775	mhae:F382_10100
ko:K01754	mhae:F382_10105
ko:K03431	mhae:F382_10110
ko:K01807	mhae:F382_10115
ko:K01624	mhae:F382_04295
ko:K00927	mhae:F382_04300
ko:K03308	mhae:F382_04305
ko:K01735	mhae:F382_04315
ko:K00891	mhae:F382_04320
ko:K05366	mhae:F382_04325
ko:K02507	mhae:F382_04350
ko:K03625	mhae:F382_04355
ko:K00946	mhae:F382_04360
ko:K01095	mhae:F382_04365
ko:K03550	mhae:F382_04375
ko:K03551	mhae:F382_04380
ko:K09999	mhae:F382_04390
ko:K09997	mhae:F382_04395
ko:K04084	mhae:F382_04405
ko:K09906	mhae:F382_04410
ko:K00826	mhae:F382_04430
ko:K07390	mhae:F382_04435
ko:K06187	mhae:F382_04440
ko:K09747	mhae:F382_04445
ko:K03629	mhae:F382_04450
ko:K14187	mhae:F382_04455
ko:K01626	mhae:F382_04460
ko:K12982	mhae:F382_04465
ko:K00873	mhae:F382_04470
ko:K08296	mhae:F382_04475
ko:K03557	mhae:F382_04485
ko:K16087	mhae:F382_04490
ko:K03683	mhae:F382_04500
ko:K00950	mhae:F382_04520
ko:K06204	mhae:F382_04530
ko:K02064	mhae:F382_04535
ko:K00979	mhae:F382_04550
ko:K00384	mhae:F382_04555
ko:K05878	mhae:F382_04560
ko:K02168	mhae:F382_08455
ko:K05786	mhae:F382_08460
ko:K04568	mhae:F382_08465
ko:K00246	mhae:F382_08480
ko:K02687	mhae:F382_08530
ko:K03568	mhae:F382_08535
ko:K01586	mhae:F382_08545
ko:K02946	mhae:F382_08565
ko:K02906	mhae:F382_08570
ko:K02926	mhae:F382_08575
ko:K02892	mhae:F382_08580
ko:K02886	mhae:F382_08585
ko:K02965	mhae:F382_08590
ko:K02890	mhae:F382_08595
ko:K02982	mhae:F382_08600
ko:K02878	mhae:F382_08605
ko:K02904	mhae:F382_08610
ko:K02961	mhae:F382_08615
ko:K02647	mhae:F382_08645
ko:K00865	mhae:F382_08655
ko:K03078	mhae:F382_08660
ko:K03477	mhae:F382_08680
ko:K00868	mhae:F382_08705
ko:K01962	mhae:F382_08715
ko:K00655	mhae:F382_08725
ko:K11065	mhae:F382_08730
ko:K01613	mhae:F382_12630
ko:K03773	mhae:F382_12635
ko:K00931	mhae:F382_12640
ko:K07648	mhae:F382_12820
