ko:K21900	bsp:U712_18975
ko:K06213	bsp:U712_06950
ko:K07098	bsp:U712_06985
ko:K10979	bsp:U712_07005
ko:K03093	bsp:U712_07030
ko:K06421	bsp:U712_07040
ko:K03799	bsp:U712_07050
ko:K13533	bsp:U712_07075
ko:K00567	bsp:U712_07080
ko:K01448	bsp:U712_09135
ko:K06413	bsp:U712_09145
ko:K03665	bsp:U712_09150
ko:K03713	bsp:U712_09160
ko:K01915	bsp:U712_09165
ko:K01198	bsp:U712_09230
ko:K01805	bsp:U712_09240
ko:K00854	bsp:U712_09245
ko:K01775	bsp:U712_09265
ko:K03311	bsp:U712_13070
ko:K03623	bsp:U712_13090
ko:K00459	bsp:U712_13130
ko:K01776	bsp:U712_13145
ko:K09815	bsp:U712_13160
ko:K03088	bsp:U712_13165
ko:K03300	bsp:U712_13175
ko:K00121	bsp:U712_13235
ko:K06439	bsp:U712_13245
ko:K01607	bsp:U712_13255
ko:K13979	bsp:U712_13260
ko:K05520	bsp:U712_13265
ko:K11737	bsp:U712_13300
ko:K03088	bsp:U712_13315
ko:K03929	bsp:U712_17210
ko:K13727	bsp:U712_17220
ko:K01779	bsp:U712_17235
ko:K00692	bsp:U712_17245
ko:K01358	bsp:U712_17290
ko:K01182	bsp:U712_17300
ko:K00691	bsp:U712_17305
ko:K15772	bsp:U712_17315
ko:K15771	bsp:U712_17320
ko:K15770	bsp:U712_17325
ko:K06966	bsp:U712_17340
ko:K03321	bsp:U712_17350
ko:K01673	bsp:U712_17355
ko:K00090	bsp:U712_17360
ko:K02004	bsp:U712_17365
ko:K02003	bsp:U712_17370
ko:K02313	bsp:U712_00005
ko:K02338	bsp:U712_00010
ko:K03629	bsp:U712_00020
ko:K02470	bsp:U712_00030
ko:K02469	bsp:U712_00040
ko:K01104	bsp:U712_03995
ko:K07058	bsp:U712_04005
ko:K07300	bsp:U712_04020
ko:K03284	bsp:U712_04055
ko:K01247	bsp:U712_04060
ko:K03215	bsp:U712_04065
ko:K00627	bsp:U712_04095
ko:K00382	bsp:U712_04100
ko:K06425	bsp:U712_04110
ko:K09771	bsp:U712_04115
ko:K01232	bsp:U712_04145
ko:K03481	bsp:U712_04150
ko:K02749	bsp:U712_04155
ko:K02750	bsp:U712_04155
ko:K07104	bsp:U712_04175
ko:K01992	bsp:U712_04225
ko:K01992	bsp:U712_04230
ko:K02548	bsp:U712_19430
ko:K03367	bsp:U712_19450
ko:K03739	bsp:U712_19455
ko:K14188	bsp:U712_19460
ko:K03740	bsp:U712_19465
ko:K08963	bsp:U712_07090
ko:K00899	bsp:U712_07095
ko:K08969	bsp:U712_07105
ko:K08965	bsp:U712_07110
ko:K08967	bsp:U712_07120
ko:K13532	bsp:U712_07140
ko:K15973	bsp:U712_07145
ko:K02556	bsp:U712_07155
ko:K03697	bsp:U712_07160
ko:K06920	bsp:U712_07170
ko:K01737	bsp:U712_07175
ko:K10026	bsp:U712_07180
ko:K09457	bsp:U712_07185
ko:K03116	bsp:U712_09315
ko:K06310	bsp:U712_09340
ko:K06311	bsp:U712_09345
ko:K06312	bsp:U712_09350
ko:K11210	bsp:U712_09385
ko:K01356	bsp:U712_09395
ko:K14338	bsp:U712_13335
ko:K00123	bsp:U712_13380
ko:K17217	bsp:U712_13395
ko:K17216	bsp:U712_13400
ko:K01243	bsp:U712_13405
ko:K17462	bsp:U712_13410
ko:K03624	bsp:U712_13430
ko:K00876	bsp:U712_13435
ko:K08303	bsp:U712_13440
ko:K08303	bsp:U712_13445
ko:K07082	bsp:U712_13455
ko:K07447	bsp:U712_13465
ko:K01872	bsp:U712_13475
ko:K10041	bsp:U712_13485
ko:K10039	bsp:U712_13490
ko:K10040	bsp:U712_13495
ko:K10040	bsp:U712_13500
ko:K03581	bsp:U712_13520
ko:K00566	bsp:U712_13530
ko:K04487	bsp:U712_13535
ko:K17472	bsp:U712_13540
ko:K07478	bsp:U712_13545
ko:K01876	bsp:U712_13560
ko:K01892	bsp:U712_13565
ko:K01448	bsp:U712_13575
ko:K07560	bsp:U712_13580
ko:K00675	bsp:U712_17390
ko:K11184	bsp:U712_17395
ko:K09762	bsp:U712_17400
ko:K06958	bsp:U712_17410
ko:K03574	bsp:U712_17415
ko:K00384	bsp:U712_17420
ko:K11755	bsp:U712_17455
ko:K02500	bsp:U712_17460
ko:K01814	bsp:U712_17465
ko:K02501	bsp:U712_17470
ko:K01693	bsp:U712_17475
ko:K00013	bsp:U712_17480
ko:K00765	bsp:U712_17485
ko:K02502	bsp:U712_17490
ko:K06019	bsp:U712_17510
ko:K13292	bsp:U712_17520
ko:K06023	bsp:U712_17525
ko:K01443	bsp:U712_17530
ko:K02564	bsp:U712_17535
ko:K03710	bsp:U712_17540
ko:K08972	bsp:U712_17585
ko:K02406	bsp:U712_17610
ko:K03701	bsp:U712_17615
ko:K03702	bsp:U712_17620
ko:K00088	bsp:U712_00050
ko:K07258	bsp:U712_00055
ko:K06215	bsp:U712_00060
ko:K08681	bsp:U712_00065
ko:K01875	bsp:U712_00070
ko:K15519	bsp:U712_00075
ko:K06306	bsp:U712_00085
ko:K11991	bsp:U712_00095
ko:K02343	bsp:U712_00100
ko:K09747	bsp:U712_00105
ko:K06187	bsp:U712_00110
ko:K06317	bsp:U712_00120
ko:K00943	bsp:U712_00145
ko:K09770	bsp:U712_00155
ko:K02341	bsp:U712_00160
ko:K07461	bsp:U712_00180
ko:K07056	bsp:U712_00185
ko:K06284	bsp:U712_00190
ko:K01874	bsp:U712_00195
ko:K03424	bsp:U712_00200
ko:K05985	bsp:U712_00210
ko:K02528	bsp:U712_00215
ko:K06436	bsp:U712_00220
ko:K06423	bsp:U712_00230
ko:K00919	bsp:U712_00235
ko:K09685	bsp:U712_00240
ko:K06412	bsp:U712_00250
ko:K04042	bsp:U712_00260
ko:K00948	bsp:U712_00265
ko:K02897	bsp:U712_00270
ko:K01056	bsp:U712_00275
ko:K03723	bsp:U712_00285
ko:K04769	bsp:U712_00290
ko:K14205	bsp:U712_04280
ko:K02016	bsp:U712_04285
ko:K02015	bsp:U712_04295
ko:K02015	bsp:U712_04300
ko:K07071	bsp:U712_04325
ko:K03565	bsp:U712_04330
ko:K06428	bsp:U712_04345
ko:K07038	bsp:U712_04385
ko:K03575	bsp:U712_04390
ko:K10780	bsp:U712_04400
ko:K06422	bsp:U712_04405
ko:K07586	bsp:U712_04415
ko:K14233	bsp:U712_20860
ko:K14233	bsp:U712_21310
ko:K17838	bsp:U712_01060
ko:K14227	bsp:U712_20840
ko:K14227	bsp:U712_20870
ko:K14227	bsp:U712_21280
ko:K14237	bsp:U712_20915
ko:K14237	bsp:U712_21175
ko:K14237	bsp:U712_21365
ko:K14237	bsp:U712_21055
ko:K01977	bsp:U712_20865
ko:K01977	bsp:U712_21145
ko:K01977	bsp:U712_21020
ko:K01977	bsp:U712_21035
ko:K01977	bsp:U712_20975
ko:K01977	bsp:U712_20960
ko:K14228	bsp:U712_21105
ko:K14232	bsp:U712_20950
ko:K14232	bsp:U712_21330
ko:K14232	bsp:U712_21010
ko:K14234	bsp:U712_20995
ko:K14236	bsp:U712_21065
ko:K14236	bsp:U712_21200
ko:K14221	bsp:U712_21140
ko:K14221	bsp:U712_21400
ko:K14221	bsp:U712_21185
ko:K14221	bsp:U712_21300
ko:K02372	bsp:U712_18275
ko:K01190	bsp:U712_03575
ko:K14224	bsp:U712_20895
ko:K14224	bsp:U712_21265
ko:K14224	bsp:U712_21170
ko:K14224	bsp:U712_21405
ko:K14224	bsp:U712_21050
ko:K14224	bsp:U712_21085
ko:K17485	bsp:U712_17565
ko:K17474	bsp:U712_17560
ko:K16044	bsp:U712_16785
ko:K15657	bsp:U712_01820
ko:K06133	bsp:U712_01845
ko:K10010	bsp:U712_01860
ko:K10009	bsp:U712_01865
ko:K02424	bsp:U712_01870
ko:K03186	bsp:U712_01880
ko:K01259	bsp:U712_01895
ko:K03305	bsp:U712_01900
ko:K06295	bsp:U712_01915
ko:K06297	bsp:U712_01920
ko:K06296	bsp:U712_01925
ko:K02003	bsp:U712_01930
ko:K02004	bsp:U712_01935
ko:K00928	bsp:U712_01970
ko:K02015	bsp:U712_01975
ko:K02015	bsp:U712_01980
ko:K02013	bsp:U712_01985
ko:K02016	bsp:U712_01990
ko:K00375	bsp:U712_02020
ko:K07250	bsp:U712_02025
ko:K00135	bsp:U712_02030
ko:K05340	bsp:U712_02035
ko:K00034	bsp:U712_02040
ko:K14166	bsp:U712_02050
ko:K00009	bsp:U712_02070
ko:K07246	bsp:U712_02075
ko:K03657	bsp:U712_06100
ko:K01956	bsp:U712_08170
ko:K01955	bsp:U712_08175
ko:K02823	bsp:U712_08180
ko:K17828	bsp:U712_08185
ko:K01591	bsp:U712_08190
ko:K00762	bsp:U712_08195
ko:K16331	bsp:U712_08205
ko:K00958	bsp:U712_08210
ko:K00860	bsp:U712_08215
ko:K02303	bsp:U712_08220
ko:K03794	bsp:U712_08225
ko:K02304	bsp:U712_08230
ko:K01537	bsp:U712_08240
ko:K09777	bsp:U712_08250
ko:K03060	bsp:U712_08260
ko:K13038	bsp:U712_08265
ko:K04066	bsp:U712_08270
ko:K01462	bsp:U712_08275
ko:K00604	bsp:U712_08280
ko:K03500	bsp:U712_08285
ko:K06941	bsp:U712_08290
ko:K06949	bsp:U712_08305
ko:K07651	bsp:U712_11220
ko:K07775	bsp:U712_11225
ko:K07399	bsp:U712_11235
ko:K06178	bsp:U712_11250
ko:K06374	bsp:U712_11255
ko:K06373	bsp:U712_11260
ko:K06024	bsp:U712_11275
ko:K05896	bsp:U712_11280
ko:K09763	bsp:U712_11285
ko:K02859	bsp:U712_11290
ko:K00794	bsp:U712_11295
ko:K14652	bsp:U712_11300
ko:K00793	bsp:U712_11305
ko:K11752	bsp:U712_11310
ko:K03100	bsp:U712_11320
ko:K07069	bsp:U712_11325
ko:K03768	bsp:U712_11350
ko:K01586	bsp:U712_11365
ko:K06408	bsp:U712_11370
ko:K06406	bsp:U712_11380
ko:K06405	bsp:U712_11385
ko:K06404	bsp:U712_11390
ko:K06403	bsp:U712_11395
ko:K03091	bsp:U712_11400
ko:K06379	bsp:U712_11405
ko:K07258	bsp:U712_11415
ko:K03783	bsp:U712_11420
ko:K01839	bsp:U712_11425
ko:K04763	bsp:U712_11430
ko:K03711	bsp:U712_11445
ko:K00027	bsp:U712_11460
ko:K03315	bsp:U712_11465
ko:K01744	bsp:U712_11470
ko:K00700	bsp:U712_15390
ko:K16789	bsp:U712_15395
ko:K07192	bsp:U712_15405
ko:K11440	bsp:U712_15425
ko:K11085	bsp:U712_04420
ko:K01845	bsp:U712_04430
ko:K03564	bsp:U712_04435
ko:K09825	bsp:U712_04440
ko:K06377	bsp:U712_04455
ko:K02557	bsp:U712_07150
ko:K01449	bsp:U712_07255
ko:K01534	bsp:U712_07270
ko:K03480	bsp:U712_07295
ko:K11189	bsp:U712_07305
ko:K08483	bsp:U712_07310
ko:K06315	bsp:U712_07315
ko:K03716	bsp:U712_07320
ko:K03406	bsp:U712_07330
ko:K02491	bsp:U712_07350
ko:K00841	bsp:U712_07355
ko:K00615	bsp:U712_09415
ko:K09976	bsp:U712_09425
ko:K06196	bsp:U712_09435
ko:K03413	bsp:U712_09440
ko:K06335	bsp:U712_09455
ko:K06433	bsp:U712_09460
ko:K06432	bsp:U712_09465
ko:K01681	bsp:U712_09470
ko:K06431	bsp:U712_09485
ko:K06434	bsp:U712_09490
ko:K07107	bsp:U712_09495
ko:K08591	bsp:U712_09510
ko:K02622	bsp:U712_09525
ko:K02621	bsp:U712_09530
ko:K03310	bsp:U712_09545
ko:K15924	bsp:U712_09560
ko:K15921	bsp:U712_09565
ko:K00963	bsp:U712_09575
ko:K01640	bsp:U712_09600
ko:K02160	bsp:U712_09605
ko:K01961	bsp:U712_09610
ko:K00666	bsp:U712_09615
ko:K00951	bsp:U712_13585
ko:K00759	bsp:U712_13590
ko:K07462	bsp:U712_13595
ko:K07228	bsp:U712_13605
ko:K12257	bsp:U712_13610
ko:K06409	bsp:U712_13620
ko:K03210	bsp:U712_13635
ko:K00773	bsp:U712_13640
ko:K07568	bsp:U712_13645
ko:K03551	bsp:U712_13655
ko:K03550	bsp:U712_13660
ko:K06318	bsp:U712_13665
ko:K00010	bsp:U712_13675
ko:K03310	bsp:U712_13700
ko:K06370	bsp:U712_13715
ko:K03517	bsp:U712_13720
ko:K00767	bsp:U712_13725
ko:K00278	bsp:U712_13730
ko:K04487	bsp:U712_13735
ko:K07105	bsp:U712_13740
ko:K04518	bsp:U712_13745
ko:K06209	bsp:U712_13750
ko:K03979	bsp:U712_13755
ko:K06375	bsp:U712_13760
ko:K02899	bsp:U712_13770
ko:K07584	bsp:U712_13775
ko:K02888	bsp:U712_13780
ko:K06402	bsp:U712_13785
ko:K06401	bsp:U712_13790
ko:K03609	bsp:U712_13795
ko:K03610	bsp:U712_13800
ko:K03571	bsp:U712_13805
ko:K03570	bsp:U712_13810
ko:K03569	bsp:U712_13815
ko:K03630	bsp:U712_13820
ko:K06287	bsp:U712_13825
ko:K02236	bsp:U712_13835
ko:K03797	bsp:U712_17665
ko:K09811	bsp:U712_17670
ko:K09812	bsp:U712_17675
ko:K12263	bsp:U712_17680
ko:K02836	bsp:U712_17690
ko:K03070	bsp:U712_17695
ko:K02423	bsp:U712_17710
ko:K02422	bsp:U712_17715
ko:K02407	bsp:U712_17720
ko:K06603	bsp:U712_17725
ko:K02406	bsp:U712_17730
ko:K03563	bsp:U712_17735
ko:K13626	bsp:U712_17740
ko:K02397	bsp:U712_17750
ko:K02396	bsp:U712_17755
ko:K02398	bsp:U712_17765
ko:K02242	bsp:U712_17775
ko:K02241	bsp:U712_17780
ko:K02240	bsp:U712_17785
ko:K07692	bsp:U712_17795
ko:K07777	bsp:U712_17800
ko:K02851	bsp:U712_17815
ko:K16698	bsp:U712_17825
ko:K16705	bsp:U712_17835
ko:K00012	bsp:U712_17840
ko:K01448	bsp:U712_17860
ko:K01791	bsp:U712_17880
ko:K00963	bsp:U712_17890
ko:K03499	bsp:U712_15445
ko:K03498	bsp:U712_15450
ko:K06153	bsp:U712_15480
ko:K01813	bsp:U712_15495
ko:K03534	bsp:U712_15500
ko:K00848	bsp:U712_15505
ko:K03406	bsp:U712_15525
ko:K03406	bsp:U712_15530
ko:K03406	bsp:U712_15535
ko:K03406	bsp:U712_15540
ko:K00686	bsp:U712_15545
ko:K14189	bsp:U712_19470
ko:K00826	bsp:U712_19475
ko:K01222	bsp:U712_19480
ko:K02759	bsp:U712_19485
ko:K02761	bsp:U712_19490
ko:K02760	bsp:U712_19495
ko:K03491	bsp:U712_19500
ko:K03652	bsp:U712_19510
ko:K03781	bsp:U712_19515
ko:K01992	bsp:U712_19525
ko:K01990	bsp:U712_19530
ko:K03088	bsp:U712_19550
ko:K03457	bsp:U712_19555
ko:K17758	bsp:U712_19560
ko:K16012	bsp:U712_19565
ko:K16013	bsp:U712_19570
ko:K00426	bsp:U712_19575
ko:K00425	bsp:U712_19580
ko:K10112	bsp:U712_19605
ko:K01784	bsp:U712_19630
ko:K06910	bsp:U712_19635
ko:K01258	bsp:U712_19660
ko:K01029	bsp:U712_19695
ko:K01028	bsp:U712_19700
ko:K00563	bsp:U712_19715
ko:K16323	bsp:U712_19725
ko:K03100	bsp:U712_02085
ko:K07160	bsp:U712_02105
ko:K03817	bsp:U712_02185
ko:K07217	bsp:U712_02245
ko:K11692	bsp:U712_02260
ko:K11103	bsp:U712_02265
ko:K01990	bsp:U712_02280
ko:K01921	bsp:U712_02320
ko:K01929	bsp:U712_02325
ko:K05592	bsp:U712_02330
ko:K09167	bsp:U712_02335
ko:K08981	bsp:U712_02340
ko:K00997	bsp:U712_02350
ko:K01775	bsp:U712_02360
ko:K01739	bsp:U712_06130
ko:K03790	bsp:U712_06140
ko:K00059	bsp:U712_06200
ko:K02768	bsp:U712_06215
ko:K02769	bsp:U712_06215
ko:K02770	bsp:U712_06215
ko:K01809	bsp:U712_06220
ko:K03976	bsp:U712_06235
ko:K00942	bsp:U712_08255
ko:K01783	bsp:U712_08310
ko:K00949	bsp:U712_08315
ko:K02902	bsp:U712_08320
ko:K07030	bsp:U712_08330
ko:K01752	bsp:U712_08335
ko:K01752	bsp:U712_08340
ko:K03655	bsp:U712_08345
ko:K03621	bsp:U712_08355
ko:K00645	bsp:U712_08360
ko:K02078	bsp:U712_08370
ko:K03685	bsp:U712_08375
ko:K03529	bsp:U712_08380
ko:K03110	bsp:U712_08385
ko:K09787	bsp:U712_08395
ko:K03106	bsp:U712_08400
ko:K02959	bsp:U712_08405
ko:K06960	bsp:U712_08410
ko:K02860	bsp:U712_08420
ko:K00554	bsp:U712_08425
ko:K02884	bsp:U712_08430
ko:K14540	bsp:U712_08435
ko:K03470	bsp:U712_08440
ko:K01424	bsp:U712_11475
ko:K01515	bsp:U712_11490
ko:K06889	bsp:U712_11510
ko:K02346	bsp:U712_11545
ko:K00867	bsp:U712_11575
ko:K01753	bsp:U712_11580
ko:K02499	bsp:U712_00300
ko:K07571	bsp:U712_00325
ko:K06382	bsp:U712_00330
ko:K07114	bsp:U712_00335
ko:K04075	bsp:U712_00345
ko:K00760	bsp:U712_00350
ko:K03798	bsp:U712_00355
ko:K03525	bsp:U712_00360
ko:K04083	bsp:U712_00365
ko:K01738	bsp:U712_00375
ko:K01665	bsp:U712_00380
ko:K01664	bsp:U712_00385
ko:K02619	bsp:U712_00390
ko:K00796	bsp:U712_00395
ko:K01633	bsp:U712_00400
ko:K00950	bsp:U712_00405
ko:K04567	bsp:U712_00420
ko:K03708	bsp:U712_00425
ko:K03696	bsp:U712_00440
ko:K04485	bsp:U712_00445
ko:K07067	bsp:U712_00450
ko:K00991	bsp:U712_00460
ko:K01770	bsp:U712_00465
ko:K09698	bsp:U712_00470
ko:K00640	bsp:U712_00485
ko:K01883	bsp:U712_00490
ko:K11145	bsp:U712_00495
ko:K03218	bsp:U712_00500
ko:K06962	bsp:U712_00505
ko:K03091	bsp:U712_00510
ko:K03147	bsp:U712_04475
ko:K03781	bsp:U712_04490
ko:K15555	bsp:U712_04495
ko:K15553	bsp:U712_04500
ko:K15554	bsp:U712_04505
ko:K04091	bsp:U712_04510
ko:K02954	bsp:U712_04520
ko:K03216	bsp:U712_04550
ko:K07180	bsp:U712_04575
ko:K09786	bsp:U712_04580
ko:K03809	bsp:U712_04600
ko:K01990	bsp:U712_04625
ko:K01992	bsp:U712_04635
ko:K03704	bsp:U712_04640
ko:K02073	bsp:U712_04645
ko:K06956	bsp:U712_04655
ko:K07284	bsp:U712_04680
ko:K06180	bsp:U712_04685
ko:K02443	bsp:U712_04720
ko:K02440	bsp:U712_04725
ko:K00864	bsp:U712_04730
ko:K00111	bsp:U712_04735
ko:K03415	bsp:U712_07365
ko:K07098	bsp:U712_07385
ko:K09776	bsp:U712_07420
ko:K03839	bsp:U712_07440
ko:K03839	bsp:U712_07450
ko:K05822	bsp:U712_07455
ko:K05823	bsp:U712_07460
ko:K03752	bsp:U712_07495
ko:K03750	bsp:U712_07505
ko:K07259	bsp:U712_09660
ko:K13955	bsp:U712_09700
ko:K00266	bsp:U712_09705
ko:K00265	bsp:U712_09710
ko:K00931	bsp:U712_09720
ko:K00286	bsp:U712_09725
ko:K00059	bsp:U712_09740
ko:K11216	bsp:U712_09765
ko:K00058	bsp:U712_09770
ko:K03406	bsp:U712_09800
ko:K00483	bsp:U712_09805
ko:K01569	bsp:U712_09835
ko:K07727	bsp:U712_09870
ko:K11754	bsp:U712_13845
ko:K01873	bsp:U712_13850
ko:K06417	bsp:U712_13865
ko:K01845	bsp:U712_13870
ko:K01698	bsp:U712_13875
ko:K01719	bsp:U712_13880
ko:K01749	bsp:U712_13885
ko:K02497	bsp:U712_13890
ko:K02492	bsp:U712_13895
ko:K03978	bsp:U712_13905
ko:K01338	bsp:U712_13910
ko:K04076	bsp:U712_13915
ko:K03544	bsp:U712_13920
ko:K03545	bsp:U712_13925
ko:K01704	bsp:U712_13940
ko:K01703	bsp:U712_13945
ko:K00052	bsp:U712_13950
ko:K01649	bsp:U712_13955
ko:K00053	bsp:U712_13960
ko:K01653	bsp:U712_13965
ko:K01652	bsp:U712_13970
ko:K03829	bsp:U712_13985
ko:K07095	bsp:U712_14000
ko:K02428	bsp:U712_14005
ko:K00989	bsp:U712_14010
ko:K06298	bsp:U712_14015
ko:K01776	bsp:U712_14020
ko:K01994	bsp:U712_14035
ko:K07107	bsp:U712_14040
ko:K00240	bsp:U712_14045
ko:K00239	bsp:U712_14050
ko:K00241	bsp:U712_14055
ko:K00928	bsp:U712_14065
ko:K03703	bsp:U712_14070
ko:K03671	bsp:U712_14075
ko:K01209	bsp:U712_14090
ko:K09693	bsp:U712_17920
ko:K00712	bsp:U712_17935
ko:K05946	bsp:U712_17945
ko:K01809	bsp:U712_17965
ko:K07282	bsp:U712_18015
ko:K02529	bsp:U712_18035
ko:K00852	bsp:U712_18040
ko:K06726	bsp:U712_18045
ko:K10441	bsp:U712_18050
ko:K10439	bsp:U712_18055
ko:K01575	bsp:U712_18075
ko:K01652	bsp:U712_18080
ko:K03893	bsp:U712_18090
ko:K06325	bsp:U712_18100
ko:K06330	bsp:U712_18105
ko:K07240	bsp:U712_18130
ko:K07240	bsp:U712_18135
ko:K05982	bsp:U712_18155
ko:K14218	bsp:U712_20845
ko:K14218	bsp:U712_20955
ko:K14218	bsp:U712_20875
ko:K14218	bsp:U712_21325
ko:K14218	bsp:U712_21015
ko:K07124	bsp:U712_11585
ko:K00286	bsp:U712_11595
ko:K00784	bsp:U712_11615
ko:K00036	bsp:U712_11620
ko:K00033	bsp:U712_11625
ko:K02346	bsp:U712_11630
ko:K03217	bsp:U712_11640
ko:K09166	bsp:U712_11645
ko:K01966	bsp:U712_11655
ko:K05606	bsp:U712_11660
ko:K02028	bsp:U712_11675
ko:K02029	bsp:U712_11680
ko:K02030	bsp:U712_11685
ko:K09699	bsp:U712_11710
ko:K00167	bsp:U712_11715
ko:K00166	bsp:U712_11720
ko:K00382	bsp:U712_11725
ko:K00929	bsp:U712_11730
ko:K01187	bsp:U712_15570
ko:K06973	bsp:U712_15580
ko:K10716	bsp:U712_15595
ko:K01810	bsp:U712_15610
ko:K09779	bsp:U712_15625
ko:K07570	bsp:U712_15630
ko:K10907	bsp:U712_15635
ko:K14155	bsp:U712_15655
ko:K07697	bsp:U712_15660
ko:K06347	bsp:U712_15665
ko:K11614	bsp:U712_15700
ko:K07335	bsp:U712_15710
ko:K02056	bsp:U712_15715
ko:K02057	bsp:U712_15720
ko:K02057	bsp:U712_15725
ko:K11616	bsp:U712_15730
ko:K05565	bsp:U712_15740
ko:K05566	bsp:U712_15745
ko:K05567	bsp:U712_15750
ko:K05568	bsp:U712_15755
ko:K05569	bsp:U712_15760
ko:K05570	bsp:U712_15765
ko:K05571	bsp:U712_15770
ko:K07691	bsp:U712_15780
ko:K07680	bsp:U712_15785
ko:K02251	bsp:U712_15795
ko:K03781	bsp:U712_19740
ko:K03300	bsp:U712_19745
ko:K03488	bsp:U712_19755
ko:K06902	bsp:U712_19775
ko:K01223	bsp:U712_19855
ko:K02755	bsp:U712_19860
ko:K02756	bsp:U712_19860
ko:K02757	bsp:U712_19860
ko:K06113	bsp:U712_19890
ko:K09683	bsp:U712_19900
ko:K01745	bsp:U712_19905
ko:K01712	bsp:U712_19910
ko:K01468	bsp:U712_19915
ko:K01479	bsp:U712_19920
ko:K00756	bsp:U712_19930
ko:K11535	bsp:U712_19935
ko:K01619	bsp:U712_19940
ko:K05346	bsp:U712_19945
ko:K04023	bsp:U712_19955
ko:K16963	bsp:U712_19970
ko:K16962	bsp:U712_19975
ko:K16961	bsp:U712_19980
ko:K07723	bsp:U712_02365
ko:K17763	bsp:U712_02375
ko:K17762	bsp:U712_02380
ko:K17752	bsp:U712_02385
ko:K07315	bsp:U712_02390
ko:K04757	bsp:U712_02400
ko:K03090	bsp:U712_02405
ko:K05518	bsp:U712_02410
ko:K06959	bsp:U712_02440
ko:K03095	bsp:U712_02450
ko:K03704	bsp:U712_02505
ko:K07736	bsp:U712_02510
ko:K13653	bsp:U712_02535
ko:K00375	bsp:U712_02575
ko:K07002	bsp:U712_02585
ko:K00123	bsp:U712_06300
ko:K02913	bsp:U712_00515
ko:K03073	bsp:U712_00520
ko:K02601	bsp:U712_00525
ko:K02867	bsp:U712_00530
ko:K02863	bsp:U712_00535
ko:K02864	bsp:U712_00540
