ko:K03316	ypz:YPZ3_3119
ko:K01664	ypz:YPZ3_0148
ko:K01897	ypz:YPZ3_0518
ko:K00632	ypz:YPZ3_2557
ko:K01120	ypz:YPZ3_2377
ko:K01175	ypz:YPZ3_2329
ko:K00568	ypz:YPZ3_1119
ko:K07407	ypz:YPZ3_1444
ko:K03772	ypz:YPZ3_0168
ko:K13695	ypz:YPZ3_1472
ko:K05799	ypz:YPZ3_3017
ko:K13894	ypz:YPZ3_1165
ko:K13896	ypz:YPZ3_1163
ko:K13888	ypz:YPZ3_2642
ko:K07675	ypz:YPZ3_2160
ko:K13893	ypz:YPZ3_1166
ko:K11905	ypz:YPZ3_3267
ko:K08978	ypz:YPZ3_2369
ko:K14233	ypz:YPZ3_t18
ko:K14228	ypz:YPZ3_t50
ko:K13053	ypz:YPZ3_1310
ko:K14219	ypz:YPZ3_t36
ko:K07713	ypz:YPZ3_1067
ko:K00065	ypz:YPZ3_0874
ko:K14220	ypz:YPZ3_t19
ko:K14220	ypz:YPZ3_t29
ko:K14155	ypz:YPZ3_2647
ko:K02055	ypz:YPZ3_2480
ko:K01977	ypz:YPZ3_r14
ko:K01977	ypz:YPZ3_r20
ko:K01977	ypz:YPZ3_r4
ko:K01977	ypz:YPZ3_r17
ko:K01977	ypz:YPZ3_r1
ko:K01977	ypz:YPZ3_r10
ko:K14232	ypz:YPZ3_t30
ko:K14232	ypz:YPZ3_t61
ko:K02057	ypz:YPZ3_1907
ko:K02057	ypz:YPZ3_1910
ko:K02057	ypz:YPZ3_1184
ko:K02057	ypz:YPZ3_2933
ko:K02057	ypz:YPZ3_2934
ko:K02057	ypz:YPZ3_3110
ko:K02057	ypz:YPZ3_3124
ko:K02057	ypz:YPZ3_3125
ko:K02057	ypz:YPZ3_1417
ko:K14221	ypz:YPZ3_t11
ko:K14221	ypz:YPZ3_t66
ko:K14229	ypz:YPZ3_t13
ko:K14229	ypz:YPZ3_t14
ko:K14229	ypz:YPZ3_t38
ko:K14229	ypz:YPZ3_t28
ko:K14233	ypz:YPZ3_t48
ko:K14228	ypz:YPZ3_t34
ko:K14228	ypz:YPZ3_t49
ko:K12289	ypz:YPZ3_0126
ko:K12290	ypz:YPZ3_0127
ko:K02507	ypz:YPZ3_0129
ko:K00891	ypz:YPZ3_0130
ko:K01735	ypz:YPZ3_0131
ko:K03112	ypz:YPZ3_0132
ko:K06223	ypz:YPZ3_0133
ko:K01783	ypz:YPZ3_0134
ko:K01091	ypz:YPZ3_0135
ko:K01867	ypz:YPZ3_0136
ko:K02302	ypz:YPZ3_0137
ko:K02598	ypz:YPZ3_0138
ko:K00363	ypz:YPZ3_0139
ko:K00362	ypz:YPZ3_0140
ko:K06141	ypz:YPZ3_0142
ko:K02014	ypz:YPZ3_0143
ko:K01222	ypz:YPZ3_0145
ko:K06915	ypz:YPZ3_0147
ko:K10914	ypz:YPZ3_0151
ko:K07397	ypz:YPZ3_0152
ko:K00855	ypz:YPZ3_0154
ko:K07019	ypz:YPZ3_0155
ko:K03119	ypz:YPZ3_0160
ko:K06158	ypz:YPZ3_0163
ko:K11747	ypz:YPZ3_0166
ko:K03775	ypz:YPZ3_0167
ko:K07235	ypz:YPZ3_0170
ko:K07236	ypz:YPZ3_0171
ko:K02950	ypz:YPZ3_0172
ko:K02992	ypz:YPZ3_0173
ko:K02355	ypz:YPZ3_0174
ko:K02358	ypz:YPZ3_0175
ko:K03594	ypz:YPZ3_0177
ko:K02946	ypz:YPZ3_0178
ko:K02906	ypz:YPZ3_0179
ko:K02926	ypz:YPZ3_0180
ko:K02892	ypz:YPZ3_0181
ko:K02886	ypz:YPZ3_0182
ko:K02890	ypz:YPZ3_0183
ko:K02982	ypz:YPZ3_0184
ko:K02342	ypz:YPZ3_0988
ko:K03664	ypz:YPZ3_1000
ko:K06186	ypz:YPZ3_1002
ko:K03631	ypz:YPZ3_1003
ko:K00858	ypz:YPZ3_1004
ko:K03687	ypz:YPZ3_1005
ko:K01647	ypz:YPZ3_1006
ko:K00242	ypz:YPZ3_1007
ko:K00239	ypz:YPZ3_1008
ko:K00240	ypz:YPZ3_1009
ko:K00164	ypz:YPZ3_1010
ko:K00658	ypz:YPZ3_1011
ko:K01903	ypz:YPZ3_1012
ko:K01902	ypz:YPZ3_1013
ko:K00425	ypz:YPZ3_1014
ko:K00426	ypz:YPZ3_1015
ko:K03562	ypz:YPZ3_1016
ko:K03560	ypz:YPZ3_1017
ko:K03646	ypz:YPZ3_1018
ko:K03641	ypz:YPZ3_1019
ko:K03640	ypz:YPZ3_1020
ko:K03517	ypz:YPZ3_1022
ko:K03811	ypz:YPZ3_1023
ko:K01626	ypz:YPZ3_1025
ko:K01834	ypz:YPZ3_1028
ko:K01785	ypz:YPZ3_1030
ko:K00849	ypz:YPZ3_1031
ko:K05776	ypz:YPZ3_1035
ko:K02019	ypz:YPZ3_1036
ko:K02020	ypz:YPZ3_1037
ko:K02018	ypz:YPZ3_1038
ko:K06889	ypz:YPZ3_1816
ko:K07665	ypz:YPZ3_1817
ko:K07644	ypz:YPZ3_1818
ko:K07126	ypz:YPZ3_1829
ko:K00720	ypz:YPZ3_1835
ko:K00648	ypz:YPZ3_1840
ko:K00648	ypz:YPZ3_1841
ko:K09975	ypz:YPZ3_1843
ko:K05836	ypz:YPZ3_1845
ko:K01468	ypz:YPZ3_1846
ko:K01479	ypz:YPZ3_1847
ko:K02026	ypz:YPZ3_1851
ko:K02025	ypz:YPZ3_1852
ko:K03710	ypz:YPZ3_1855
ko:K00995	ypz:YPZ3_1865
ko:K03703	ypz:YPZ3_1866
ko:K07689	ypz:YPZ3_1867
ko:K06203	ypz:YPZ3_2635
ko:K01738	ypz:YPZ3_2636
ko:K08483	ypz:YPZ3_2637
ko:K02777	ypz:YPZ3_2638
ko:K07114	ypz:YPZ3_2648
ko:K12339	ypz:YPZ3_2652
ko:K02045	ypz:YPZ3_2653
ko:K02047	ypz:YPZ3_2654
ko:K02046	ypz:YPZ3_2655
ko:K02048	ypz:YPZ3_2656
ko:K03290	ypz:YPZ3_2657
ko:K00885	ypz:YPZ3_2660
ko:K01788	ypz:YPZ3_2663
ko:K01639	ypz:YPZ3_2664
ko:K07223	ypz:YPZ3_2665
ko:K00228	ypz:YPZ3_2671
ko:K09768	ypz:YPZ3_2672
ko:K00029	ypz:YPZ3_2673
ko:K02569	ypz:YPZ3_2675
ko:K02568	ypz:YPZ3_2676
ko:K02567	ypz:YPZ3_2677
ko:K02572	ypz:YPZ3_2678
ko:K07685	ypz:YPZ3_2679
ko:K07038	ypz:YPZ3_2682
ko:K06871	ypz:YPZ3_2683
ko:K02011	ypz:YPZ3_2686
ko:K02012	ypz:YPZ3_2687
ko:K01439	ypz:YPZ3_2690
ko:K00123	ypz:YPZ3_3480
ko:K00123	ypz:YPZ3_3481
ko:K02379	ypz:YPZ3_3482
ko:K04564	ypz:YPZ3_3483
ko:K02562	ypz:YPZ3_3488
ko:K00009	ypz:YPZ3_3489
ko:K02798	ypz:YPZ3_3490
ko:K02799	ypz:YPZ3_3490
ko:K02800	ypz:YPZ3_3490
ko:K01879	ypz:YPZ3_3492
ko:K01878	ypz:YPZ3_3493
ko:K01246	ypz:YPZ3_3494
ko:K03826	ypz:YPZ3_3495
ko:K07085	ypz:YPZ3_3502
ko:K04081	ypz:YPZ3_3503
ko:K04080	ypz:YPZ3_3504
ko:K01754	ypz:YPZ3_3508
ko:K01750	ypz:YPZ3_3509
ko:K02470	ypz:YPZ3_3513
ko:K03629	ypz:YPZ3_3514
ko:K02338	ypz:YPZ3_3515
ko:K02313	ypz:YPZ3_3516
ko:K03217	ypz:YPZ3_3517
ko:K03650	ypz:YPZ3_3518
ko:K06901	ypz:YPZ3_3521
ko:K02039	ypz:YPZ3_3527
ko:K02036	ypz:YPZ3_3528
ko:K02038	ypz:YPZ3_3529
ko:K02037	ypz:YPZ3_3530
ko:K02040	ypz:YPZ3_3531
ko:K00820	ypz:YPZ3_3532
ko:K04042	ypz:YPZ3_3533
ko:K02114	ypz:YPZ3_3534
ko:K03628	ypz:YPZ3_3421
ko:K03671	ypz:YPZ3_3422
ko:K03732	ypz:YPZ3_3423
ko:K03656	ypz:YPZ3_3425
ko:K07345	ypz:YPZ3_3428
ko:K07347	ypz:YPZ3_3430
ko:K13283	ypz:YPZ3_0070
ko:K00850	ypz:YPZ3_0071
ko:K02048	ypz:YPZ3_0072
ko:K02020	ypz:YPZ3_0073
ko:K03319	ypz:YPZ3_0074
ko:K01803	ypz:YPZ3_0078
ko:K00528	ypz:YPZ3_0081
ko:K02446	ypz:YPZ3_0082
ko:K00864	ypz:YPZ3_0083
ko:K02440	ypz:YPZ3_0084
ko:K02553	ypz:YPZ3_0089
ko:K02548	ypz:YPZ3_0090
ko:K03667	ypz:YPZ3_0091
ko:K01419	ypz:YPZ3_0092
ko:K03591	ypz:YPZ3_0093
ko:K04066	ypz:YPZ3_0095
ko:K03764	ypz:YPZ3_0097
ko:K12525	ypz:YPZ3_0099
ko:K02444	ypz:YPZ3_0103
ko:K02441	ypz:YPZ3_0104
ko:K02439	ypz:YPZ3_0105
ko:K03556	ypz:YPZ3_0106
ko:K00688	ypz:YPZ3_0108
ko:K00705	ypz:YPZ3_0109
ko:K07400	ypz:YPZ3_0110
ko:K02170	ypz:YPZ3_0112
ko:K04759	ypz:YPZ3_0113
ko:K06959	ypz:YPZ3_0114
ko:K04760	ypz:YPZ3_0115
ko:K07659	ypz:YPZ3_0116
ko:K07638	ypz:YPZ3_0117
ko:K01610	ypz:YPZ3_0118
ko:K04083	ypz:YPZ3_0119
ko:K04762	ypz:YPZ3_0120
ko:K08312	ypz:YPZ3_0123
ko:K05366	ypz:YPZ3_0124
ko:K12288	ypz:YPZ3_0125
ko:K02426	ypz:YPZ3_0934
ko:K06968	ypz:YPZ3_0938
ko:K06966	ypz:YPZ3_0940
ko:K06879	ypz:YPZ3_0941
ko:K06175	ypz:YPZ3_0945
ko:K00990	ypz:YPZ3_0949
ko:K01265	ypz:YPZ3_0950
ko:K02967	ypz:YPZ3_0951
ko:K02357	ypz:YPZ3_0952
ko:K09903	ypz:YPZ3_0953
ko:K02838	ypz:YPZ3_0954
ko:K00099	ypz:YPZ3_0955
ko:K00806	ypz:YPZ3_0956
ko:K00981	ypz:YPZ3_0957
ko:K11749	ypz:YPZ3_0958
ko:K07277	ypz:YPZ3_0959
ko:K06142	ypz:YPZ3_0960
ko:K02536	ypz:YPZ3_0961
ko:K02372	ypz:YPZ3_0962
ko:K00677	ypz:YPZ3_0963
ko:K00748	ypz:YPZ3_0964
ko:K03470	ypz:YPZ3_0965
ko:K02337	ypz:YPZ3_0966
ko:K01962	ypz:YPZ3_0967
ko:K04075	ypz:YPZ3_0969
ko:K06079	ypz:YPZ3_0973
ko:K01881	ypz:YPZ3_0974
ko:K06080	ypz:YPZ3_0976
ko:K02073	ypz:YPZ3_0977
ko:K02072	ypz:YPZ3_0978
ko:K02071	ypz:YPZ3_0979
ko:K03273	ypz:YPZ3_0980
ko:K06222	ypz:YPZ3_0981
ko:K08307	ypz:YPZ3_0984
ko:K03469	ypz:YPZ3_0987
ko:K00873	ypz:YPZ3_1760
ko:K02560	ypz:YPZ3_1761
ko:K09815	ypz:YPZ3_1763
ko:K09817	ypz:YPZ3_1764
ko:K09816	ypz:YPZ3_1765
ko:K03551	ypz:YPZ3_1766
ko:K03550	ypz:YPZ3_1767
ko:K01159	ypz:YPZ3_1768
ko:K08310	ypz:YPZ3_1770
ko:K01876	ypz:YPZ3_1771
ko:K07136	ypz:YPZ3_1773
ko:K06201	ypz:YPZ3_1776
ko:K09907	ypz:YPZ3_1777
ko:K01887	ypz:YPZ3_1778
ko:K11017	ypz:YPZ3_1780
ko:K03980	ypz:YPZ3_1781
ko:K03810	ypz:YPZ3_1782
ko:K03790	ypz:YPZ3_1783
ko:K08162	ypz:YPZ3_1784
ko:K04477	ypz:YPZ3_1787
ko:K03321	ypz:YPZ3_1797
ko:K01627	ypz:YPZ3_1798
ko:K02493	ypz:YPZ3_1801
ko:K02835	ypz:YPZ3_1802
ko:K02492	ypz:YPZ3_1803
ko:K02494	ypz:YPZ3_1804
ko:K00919	ypz:YPZ3_1805
ko:K00948	ypz:YPZ3_1806
ko:K01056	ypz:YPZ3_1807
ko:K06942	ypz:YPZ3_1808
ko:K11893	ypz:YPZ3_2583
ko:K11903	ypz:YPZ3_2585
ko:K11900	ypz:YPZ3_2586
ko:K11901	ypz:YPZ3_2587
ko:K07347	ypz:YPZ3_2591
ko:K07345	ypz:YPZ3_2593
ko:K11907	ypz:YPZ3_2594
ko:K11896	ypz:YPZ3_2595
ko:K11895	ypz:YPZ3_2596
ko:K02012	ypz:YPZ3_2605
ko:K02011	ypz:YPZ3_2606
ko:K07306	ypz:YPZ3_2610
ko:K01996	ypz:YPZ3_3360
ko:K01995	ypz:YPZ3_3361
ko:K01998	ypz:YPZ3_3362
ko:K01997	ypz:YPZ3_3363
ko:K01999	ypz:YPZ3_3364
ko:K03089	ypz:YPZ3_3367
ko:K09811	ypz:YPZ3_3368
ko:K09812	ypz:YPZ3_3369
ko:K03110	ypz:YPZ3_3370
ko:K01534	ypz:YPZ3_3375
ko:K09125	ypz:YPZ3_3377
ko:K00113	ypz:YPZ3_3379
ko:K00112	ypz:YPZ3_3380
ko:K03753	ypz:YPZ3_0012
ko:K03752	ypz:YPZ3_0013
ko:K03673	ypz:YPZ3_0015
ko:K02335	ypz:YPZ3_0016
ko:K03978	ypz:YPZ3_0018
ko:K09894	ypz:YPZ3_0019
ko:K07712	ypz:YPZ3_0021
ko:K07708	ypz:YPZ3_0022
ko:K01915	ypz:YPZ3_0023
ko:K06207	ypz:YPZ3_0024
ko:K07058	ypz:YPZ3_0026
ko:K07560	ypz:YPZ3_0027
ko:K03312	ypz:YPZ3_0033
ko:K03655	ypz:YPZ3_0034
ko:K00556	ypz:YPZ3_0035
ko:K00942	ypz:YPZ3_0037
ko:K01972	ypz:YPZ3_0038
ko:K00989	ypz:YPZ3_0041
ko:K00762	ypz:YPZ3_0042
ko:K05501	ypz:YPZ3_0043
ko:K01520	ypz:YPZ3_0044
ko:K13038	ypz:YPZ3_0045
ko:K03630	ypz:YPZ3_0046
ko:K10563	ypz:YPZ3_0047
ko:K00954	ypz:YPZ3_0048
ko:K12984	ypz:YPZ3_0049
ko:K02527	ypz:YPZ3_0050
ko:K02841	ypz:YPZ3_0051
ko:K02843	ypz:YPZ3_0052
ko:K03274	ypz:YPZ3_0053
ko:K00639	ypz:YPZ3_0054
ko:K00060	ypz:YPZ3_0055
ko:K09798	ypz:YPZ3_0057
ko:K03071	ypz:YPZ3_0061
ko:K00057	ypz:YPZ3_0062
ko:K00640	ypz:YPZ3_0063
ko:K03216	ypz:YPZ3_0064
ko:K10778	ypz:YPZ3_0065
ko:K07640	ypz:YPZ3_0066
ko:K07662	ypz:YPZ3_0067
ko:K06006	ypz:YPZ3_0068
ko:K02745	ypz:YPZ3_0879
ko:K02082	ypz:YPZ3_0880
ko:K01673	ypz:YPZ3_0890
ko:K02452	ypz:YPZ3_0892
ko:K02453	ypz:YPZ3_0893
ko:K02454	ypz:YPZ3_0894
ko:K02456	ypz:YPZ3_0896
ko:K02459	ypz:YPZ3_0897
ko:K02460	ypz:YPZ3_0898
ko:K02461	ypz:YPZ3_0899
ko:K07396	ypz:YPZ3_0904
ko:K01586	ypz:YPZ3_0909
ko:K02529	ypz:YPZ3_0910
ko:K05939	ypz:YPZ3_0912
ko:K07307	ypz:YPZ3_2611
ko:K00845	ypz:YPZ3_2622
ko:K03322	ypz:YPZ3_2627
ko:K01885	ypz:YPZ3_2629
ko:K09962	ypz:YPZ3_2631
ko:K01972	ypz:YPZ3_2633
ko:K03528	ypz:YPZ3_2634
ko:K00053	ypz:YPZ3_3434
ko:K02521	ypz:YPZ3_3435
ko:K01754	ypz:YPZ3_3439
ko:K01687	ypz:YPZ3_3440
ko:K00826	ypz:YPZ3_3441
ko:K01652	ypz:YPZ3_3442
ko:K07391	ypz:YPZ3_3443
ko:K09897	ypz:YPZ3_3444
ko:K01776	ypz:YPZ3_3450
ko:K00322	ypz:YPZ3_3455
ko:K04761	ypz:YPZ3_3456
ko:K00382	ypz:YPZ3_3458
ko:K03832	ypz:YPZ3_3459
ko:K01755	ypz:YPZ3_3464
ko:K00930	ypz:YPZ3_3465
ko:K00145	ypz:YPZ3_3466
ko:K01438	ypz:YPZ3_3467
ko:K01595	ypz:YPZ3_3468
ko:K08160	ypz:YPZ3_3471
ko:K03833	ypz:YPZ3_3475
ko:K01042	ypz:YPZ3_3476
ko:K02380	ypz:YPZ3_3477
ko:K00127	ypz:YPZ3_3478
ko:K08303	ypz:YPZ3_2469
ko:K09946	ypz:YPZ3_2470
ko:K07664	ypz:YPZ3_2471
ko:K07642	ypz:YPZ3_2472
ko:K07789	ypz:YPZ3_2474
ko:K01638	ypz:YPZ3_3288
ko:K00651	ypz:YPZ3_3289
ko:K00602	ypz:YPZ3_3290
ko:K01945	ypz:YPZ3_3291
ko:K09891	ypz:YPZ3_3293
ko:K05982	ypz:YPZ3_3294
ko:K01599	ypz:YPZ3_3295
ko:K03426	ypz:YPZ3_3297
ko:K07740	ypz:YPZ3_3298
ko:K03147	ypz:YPZ3_3299
ko:K00788	ypz:YPZ3_3300
ko:K03148	ypz:YPZ3_3301
ko:K03149	ypz:YPZ3_3302
ko:K03150	ypz:YPZ3_3303
ko:K03046	ypz:YPZ3_3305
ko:K03043	ypz:YPZ3_3306
ko:K02935	ypz:YPZ3_3307
ko:K02864	ypz:YPZ3_3308
ko:K02863	ypz:YPZ3_3309
ko:K02867	ypz:YPZ3_3310
ko:K02601	ypz:YPZ3_3311
ko:K03073	ypz:YPZ3_3312
ko:K02358	ypz:YPZ3_3313
ko:K00867	ypz:YPZ3_3317
ko:K03524	ypz:YPZ3_3318
ko:K00075	ypz:YPZ3_3319
ko:K03498	ypz:YPZ3_3320
ko:K01825	ypz:YPZ3_3324
ko:K05368	ypz:YPZ3_3326
ko:K03182	ypz:YPZ3_3327
ko:K05785	ypz:YPZ3_3328
ko:K06205	ypz:YPZ3_0001
ko:K03718	ypz:YPZ3_0002
ko:K01914	ypz:YPZ3_0003
ko:K03924	ypz:YPZ3_0005
ko:K03549	ypz:YPZ3_0006
ko:K06726	ypz:YPZ3_0007
ko:K00852	ypz:YPZ3_0008
ko:K11068	ypz:YPZ3_0823
ko:K06980	ypz:YPZ3_0825
ko:K08227	ypz:YPZ3_0913
ko:K03573	ypz:YPZ3_0915
ko:K08311	ypz:YPZ3_0916
ko:K08484	ypz:YPZ3_0917
ko:K13292	ypz:YPZ3_0918
ko:K00560	ypz:YPZ3_0919
ko:K02680	ypz:YPZ3_0923
ko:K03583	ypz:YPZ3_0926
ko:K01407	ypz:YPZ3_0927
ko:K03582	ypz:YPZ3_0928
ko:K03581	ypz:YPZ3_0929
ko:K01448	ypz:YPZ3_0931
ko:K08304	ypz:YPZ3_0932
ko:K04487	ypz:YPZ3_1703
ko:K06223	ypz:YPZ3_1740
ko:K09160	ypz:YPZ3_1744
ko:K03610	ypz:YPZ3_1747
ko:K03609	ypz:YPZ3_1748
ko:K03684	ypz:YPZ3_1749
ko:K07285	ypz:YPZ3_1751
ko:K11742	ypz:YPZ3_1755
ko:K11743	ypz:YPZ3_1756
ko:K01625	ypz:YPZ3_1757
ko:K00036	ypz:YPZ3_1758
ko:K10016	ypz:YPZ3_2530
ko:K10014	ypz:YPZ3_2531
ko:K03186	ypz:YPZ3_2532
ko:K00764	ypz:YPZ3_2533
ko:K03558	ypz:YPZ3_2534
ko:K03749	ypz:YPZ3_2535
ko:K01963	ypz:YPZ3_2537
ko:K03975	ypz:YPZ3_2538
ko:K06173	ypz:YPZ3_2539
ko:K03473	ypz:YPZ3_2541
ko:K01779	ypz:YPZ3_2546
ko:K00647	ypz:YPZ3_2547
ko:K09906	ypz:YPZ3_2549
ko:K07090	ypz:YPZ3_2550
ko:K07261	ypz:YPZ3_2551
ko:K01736	ypz:YPZ3_2552
ko:K07320	ypz:YPZ3_2553
ko:K08296	ypz:YPZ3_2555
ko:K01782	ypz:YPZ3_2556
ko:K06076	ypz:YPZ3_2558
ko:K04754	ypz:YPZ3_2559
ko:K02200	ypz:YPZ3_2561
ko:K02199	ypz:YPZ3_2562
ko:K02198	ypz:YPZ3_2563
ko:K02197	ypz:YPZ3_2564
ko:K02196	ypz:YPZ3_2565
ko:K02195	ypz:YPZ3_2566
ko:K02194	ypz:YPZ3_2567
ko:K02193	ypz:YPZ3_2568
ko:K03744	ypz:YPZ3_2570
ko:K06193	ypz:YPZ3_2572
ko:K11897	ypz:YPZ3_2574
ko:K11898	ypz:YPZ3_2575
ko:K11891	ypz:YPZ3_2578
ko:K11892	ypz:YPZ3_2579
ko:K00111	ypz:YPZ3_3381
ko:K01126	ypz:YPZ3_3382
ko:K05834	ypz:YPZ3_3386
ko:K03654	ypz:YPZ3_3388
ko:K01058	ypz:YPZ3_3389
ko:K05786	ypz:YPZ3_3391
ko:K03284	ypz:YPZ3_3392
ko:K03657	ypz:YPZ3_3396
ko:K03733	ypz:YPZ3_3398
ko:K09921	ypz:YPZ3_3399
ko:K01778	ypz:YPZ3_3400
ko:K06202	ypz:YPZ3_3401
ko:K05851	ypz:YPZ3_3402
ko:K01749	ypz:YPZ3_3403
ko:K01719	ypz:YPZ3_3404
ko:K02496	ypz:YPZ3_3405
ko:K02498	ypz:YPZ3_3406
ko:K02852	ypz:YPZ3_3409
ko:K02853	ypz:YPZ3_3410
ko:K12582	ypz:YPZ3_3411
ko:K02805	ypz:YPZ3_3413
ko:K00973	ypz:YPZ3_3415
ko:K01710	ypz:YPZ3_3416
ko:K02472	ypz:YPZ3_3417
ko:K01791	ypz:YPZ3_3418
ko:K05790	ypz:YPZ3_3419
ko:K02851	ypz:YPZ3_3420
ko:K04771	ypz:YPZ3_2979
ko:K11991	ypz:YPZ3_2410
ko:K01952	ypz:YPZ3_2412
ko:K07711	ypz:YPZ3_2416
ko:K07109	ypz:YPZ3_3236
ko:K07304	ypz:YPZ3_3238
ko:K07278	ypz:YPZ3_3239
ko:K09800	ypz:YPZ3_3240
ko:K01507	ypz:YPZ3_3242
ko:K03841	ypz:YPZ3_3243
ko:K02558	ypz:YPZ3_3244
ko:K03402	ypz:YPZ3_3245
ko:K00024	ypz:YPZ3_3246
ko:K02523	ypz:YPZ3_3248
ko:K02888	ypz:YPZ3_3249
ko:K03979	ypz:YPZ3_3251
ko:K07643	ypz:YPZ3_3252
ko:K07259	ypz:YPZ3_3254
ko:K03624	ypz:YPZ3_3255
ko:K02427	ypz:YPZ3_3256
ko:K03798	ypz:YPZ3_3257
ko:K00796	ypz:YPZ3_3258
ko:K03431	ypz:YPZ3_3259
ko:K09748	ypz:YPZ3_3260
ko:K02600	ypz:YPZ3_3261
ko:K02519	ypz:YPZ3_3262
ko:K02834	ypz:YPZ3_3263
ko:K03177	ypz:YPZ3_3264
ko:K11900	ypz:YPZ3_3268
ko:K11901	ypz:YPZ3_3269
ko:K11903	ypz:YPZ3_3270
ko:K05775	ypz:YPZ3_3271
ko:K02024	ypz:YPZ3_3272
ko:K10111	ypz:YPZ3_3273
