ko:K11707	cpsv:B600_0512
ko:K03040	cpsv:B600_0135
ko:K02879	cpsv:B600_0136
ko:K00134	cpsv:B600_0137
ko:K01159	cpsv:B600_0141
ko:K03550	cpsv:B600_0142
ko:K00940	cpsv:B600_0143
ko:K03800	cpsv:B600_0144
ko:K03495	cpsv:B600_0145
ko:K00995	cpsv:B600_0149
ko:K03301	cpsv:B600_0150
ko:K00859	cpsv:B600_0153
ko:K03628	cpsv:B600_0154
ko:K00762	cpsv:B600_0157
ko:K00975	cpsv:B600_0158
ko:K07099	cpsv:B600_0160
ko:K01772	cpsv:B600_0163
ko:K02563	cpsv:B600_0976
ko:K03588	cpsv:B600_0977
ko:K01925	cpsv:B600_0979
ko:K01000	cpsv:B600_0980
ko:K01929	cpsv:B600_0982
ko:K02356	cpsv:B600_0988
ko:K01241	cpsv:B600_0989
ko:K00615	cpsv:B600_0990
ko:K01872	cpsv:B600_0991
ko:K03723	cpsv:B600_0994
ko:K01599	cpsv:B600_0995
ko:K00231	cpsv:B600_0997
ko:K03210	cpsv:B600_1001
ko:K00351	cpsv:B600_1002
ko:K03466	cpsv:B600_1011
ko:K03310	cpsv:B600_1015
ko:K00794	cpsv:B600_1019
ko:K14652	cpsv:B600_1020
ko:K11752	cpsv:B600_1021
ko:K01875	cpsv:B600_1022
ko:K05837	cpsv:B600_1025
ko:K03524	cpsv:B600_1026
ko:K06178	cpsv:B600_1028
ko:K03438	cpsv:B600_0430
ko:K03587	cpsv:B600_0432
ko:K01928	cpsv:B600_0435
ko:K01448	cpsv:B600_0436
ko:K01962	cpsv:B600_0442
ko:K07083	cpsv:B600_0446
ko:K00208	cpsv:B600_0451
ko:K03575	cpsv:B600_0455
ko:K04487	cpsv:B600_0465
ko:K01494	cpsv:B600_0469
ko:K03551	cpsv:B600_0471
ko:K01255	cpsv:B600_0476
ko:K02340	cpsv:B600_0479
ko:K07056	cpsv:B600_0480
ko:K02034	cpsv:B600_0173
ko:K01890	cpsv:B600_0176
ko:K03584	cpsv:B600_0183
ko:K07714	cpsv:B600_0188
ko:K07710	cpsv:B600_0191
ko:K06173	cpsv:B600_0196
ko:K00991	cpsv:B600_0197
ko:K02836	cpsv:B600_0200
ko:K00790	cpsv:B600_0205
ko:K01887	cpsv:B600_0207
ko:K00655	cpsv:B600_0208
ko:K00945	cpsv:B600_0209
ko:K00981	cpsv:B600_0210
ko:K00806	cpsv:B600_0211
ko:K12257	cpsv:B600_0215
ko:K07462	cpsv:B600_0216
ko:K03797	cpsv:B600_0224
ko:K00164	cpsv:B600_0487
ko:K00658	cpsv:B600_0488
ko:K05810	cpsv:B600_0489
ko:K03526	cpsv:B600_0490
ko:K02400	cpsv:B600_0502
ko:K02405	cpsv:B600_0503
ko:K01866	cpsv:B600_0505
ko:K03596	cpsv:B600_0507
ko:K03301	cpsv:B600_0510
ko:K00099	cpsv:B600_0516
ko:K03629	cpsv:B600_0519
ko:K02338	cpsv:B600_0520
ko:K03664	cpsv:B600_0521
ko:K03734	cpsv:B600_0522
ko:K01491	cpsv:B600_0523
ko:K02902	cpsv:B600_0530
ko:K00705	cpsv:B600_0531
ko:K04058	cpsv:B600_0533
ko:K03230	cpsv:B600_0534
ko:K03229	cpsv:B600_0535
ko:K06942	cpsv:B600_0536
ko:K11753	cpsv:B600_0537
ko:K04487	cpsv:B600_1030
ko:K13819	cpsv:B600_1031
ko:K02409	cpsv:B600_1033
ko:K02411	cpsv:B600_1034
ko:K02412	cpsv:B600_1035
ko:K00057	cpsv:B600_1038
ko:K03569	cpsv:B600_1044
ko:K03545	cpsv:B600_1048
ko:K01358	cpsv:B600_1049
ko:K03544	cpsv:B600_1050
ko:K03977	cpsv:B600_1052
ko:K03070	cpsv:B600_1054
ko:K01613	cpsv:B600_1057
ko:K03650	cpsv:B600_1058
ko:K10773	cpsv:B600_1059
ko:K03311	cpsv:B600_1060
ko:K00382	cpsv:B600_1063
ko:K03644	cpsv:B600_1064
ko:K03222	cpsv:B600_1065
ko:K03223	cpsv:B600_1067
ko:K03226	cpsv:B600_1069
ko:K03228	cpsv:B600_1071
ko:K02455	cpsv:B600_1080
ko:K02950	cpsv:B600_0229
ko:K02992	cpsv:B600_0230
ko:K02355	cpsv:B600_0231
ko:K02946	cpsv:B600_0232
ko:K01770	cpsv:B600_0234
ko:K02888	cpsv:B600_0237
ko:K02899	cpsv:B600_0238
ko:K03979	cpsv:B600_0239
ko:K09817	cpsv:B600_0240
ko:K00788	cpsv:B600_0243
ko:K00878	cpsv:B600_0244
ko:K03310	cpsv:B600_0249
ko:K03101	cpsv:B600_0250
ko:K06204	cpsv:B600_0251
ko:K07738	cpsv:B600_0252
ko:K00793	cpsv:B600_0253
ko:K06969	cpsv:B600_0254
ko:K03437	cpsv:B600_0255
ko:K00912	cpsv:B600_0256
ko:K00658	cpsv:B600_0258
ko:K06041	cpsv:B600_0260
ko:K07164	cpsv:B600_0261
ko:K00600	cpsv:B600_0265
ko:K01358	cpsv:B600_0266
ko:K01778	cpsv:B600_0267
ko:K03183	cpsv:B600_0269
ko:K07042	cpsv:B600_0276
ko:K03652	cpsv:B600_0280
ko:K12573	cpsv:B600_0281
ko:K02453	cpsv:B600_1082
ko:K03572	cpsv:B600_1086
ko:K01868	cpsv:B600_1092
ko:K01867	cpsv:B600_1097
ko:K03702	cpsv:B600_1098
ko:K01689	cpsv:B600_1099
ko:K00240	cpsv:B600_1105
ko:K00239	cpsv:B600_1106
ko:K03424	cpsv:B600_1108
ko:K03562	cpsv:B600_1110
ko:K03641	cpsv:B600_1114
ko:K03640	cpsv:B600_1115
ko:K03648	cpsv:B600_1125
ko:K03657	cpsv:B600_1126
ko:K03092	cpsv:B600_1127
ko:K03168	cpsv:B600_1130
ko:K02834	cpsv:B600_0539
ko:K02519	cpsv:B600_0541
ko:K02600	cpsv:B600_0542
ko:K02945	cpsv:B600_0543
ko:K00384	cpsv:B600_0544
ko:K00997	cpsv:B600_0545
ko:K03217	cpsv:B600_0548
ko:K02313	cpsv:B600_0549
ko:K00688	cpsv:B600_0552
ko:K00627	cpsv:B600_0553
ko:K00162	cpsv:B600_0554
ko:K00161	cpsv:B600_0555
ko:K02536	cpsv:B600_0559
ko:K06142	cpsv:B600_0560
ko:K07277	cpsv:B600_0561
ko:K06187	cpsv:B600_0562
ko:K00648	cpsv:B600_0563
ko:K00645	cpsv:B600_0564
ko:K02078	cpsv:B600_0566
ko:K03308	cpsv:B600_0571
ko:K06213	cpsv:B600_0576
ko:K02071	cpsv:B600_0581
ko:K02072	cpsv:B600_0582
ko:K02073	cpsv:B600_0583
ko:K02470	cpsv:B600_0586
ko:K02469	cpsv:B600_0587
ko:K00943	cpsv:B600_0588
ko:K02343	cpsv:B600_0591
ko:K06999	cpsv:B600_0592
ko:K07566	cpsv:B600_0594
ko:K06966	cpsv:B600_0598
ko:K03179	cpsv:B600_0599
ko:K03186	cpsv:B600_0600
ko:K03787	cpsv:B600_0604
ko:K07039	cpsv:B600_0606
ko:K14441	cpsv:B600_0612
ko:K02913	cpsv:B600_0613
ko:K09808	cpsv:B600_0614
ko:K02871	cpsv:B600_0617
ko:K02996	cpsv:B600_0618
ko:K01057	cpsv:B600_0625
ko:K00036	cpsv:B600_0626
ko:K15580	cpsv:B600_0627
ko:K03402	cpsv:B600_0629
ko:K02029	cpsv:B600_0630
ko:K07058	cpsv:B600_0634
ko:K01783	cpsv:B600_0637
ko:K02356	cpsv:B600_0638
ko:K01961	cpsv:B600_0641
ko:K01951	cpsv:B600_0659
ko:K09125	cpsv:B600_0668
ko:K00773	cpsv:B600_0670
ko:K03611	cpsv:B600_0675
ko:K00979	cpsv:B600_0684
ko:K01937	cpsv:B600_0685
ko:K07447	cpsv:B600_0686
ko:K15581	cpsv:B600_0691
ko:K03319	cpsv:B600_0696
ko:K00850	cpsv:B600_0697
ko:K02527	cpsv:B600_0702
ko:K01869	cpsv:B600_0703
ko:K01972	cpsv:B600_0707
ko:K03695	cpsv:B600_0722
ko:K02065	cpsv:B600_0724
ko:K02066	cpsv:B600_0725
ko:K01845	cpsv:B600_0727
ko:K07735	cpsv:B600_0729
ko:K08999	cpsv:B600_0730
ko:K01807	cpsv:B600_0731
ko:K08602	cpsv:B600_0738
ko:K04078	cpsv:B600_0739
ko:K04077	cpsv:B600_0740
ko:K03581	cpsv:B600_0746
ko:K01874	cpsv:B600_0747
ko:K00942	cpsv:B600_0749
ko:K03470	cpsv:B600_0750
ko:K02884	cpsv:B600_0751
ko:K00554	cpsv:B600_0752
ko:K02959	cpsv:B600_0753
ko:K03106	cpsv:B600_0754
ko:K02493	cpsv:B600_0755
ko:K02835	cpsv:B600_0757
ko:K02909	cpsv:B600_0758
ko:K03100	cpsv:B600_0761
ko:K01870	cpsv:B600_0762
ko:K07175	cpsv:B600_0764
ko:K00426	cpsv:B600_0768
ko:K00425	cpsv:B600_0769
ko:K02517	cpsv:B600_0772
ko:K00873	cpsv:B600_0774
ko:K03701	cpsv:B600_0775
ko:K01873	cpsv:B600_0778
ko:K03046	cpsv:B600_0790
ko:K03043	cpsv:B600_0791
ko:K04043	cpsv:B600_0282
ko:K03687	cpsv:B600_0283
ko:K03705	cpsv:B600_0284
ko:K01881	cpsv:B600_0285
ko:K09131	cpsv:B600_0289
ko:K10206	cpsv:B600_0292
ko:K06966	cpsv:B600_0296
ko:K09996	cpsv:B600_0308
ko:K06167	cpsv:B600_0310
ko:K03665	cpsv:B600_0311
ko:K02435	cpsv:B600_0339
ko:K02434	cpsv:B600_0341
ko:K06888	cpsv:B600_0355
ko:K02528	cpsv:B600_0357
ko:K01662	cpsv:B600_0358
ko:K03602	cpsv:B600_0361
ko:K03601	cpsv:B600_0362
ko:K01803	cpsv:B600_0363
ko:K03075	cpsv:B600_0365
ko:K01462	cpsv:B600_0367
ko:K06287	cpsv:B600_0370
ko:K03733	cpsv:B600_0373
ko:K01338	cpsv:B600_0376
ko:K06137	cpsv:B600_1138
ko:K13941	cpsv:B600_1141
ko:K01633	cpsv:B600_1142
ko:K03086	cpsv:B600_1143
ko:K02968	cpsv:B600_1145
ko:K02935	cpsv:B600_0794
ko:K02864	cpsv:B600_0795
ko:K02863	cpsv:B600_0796
ko:K02867	cpsv:B600_0797
ko:K02601	cpsv:B600_0798
ko:K03073	cpsv:B600_0799
ko:K02358	cpsv:B600_0801
ko:K02518	cpsv:B600_0803
ko:K03523	cpsv:B600_0807
ko:K03581	cpsv:B600_1147
ko:K13789	cpsv:B600_1151
ko:K01714	cpsv:B600_0814
ko:K00928	cpsv:B600_0815
ko:K00133	cpsv:B600_0816
ko:K00215	cpsv:B600_0817
ko:K09125	cpsv:B600_0819
ko:K01012	cpsv:B600_0823
ko:K01935	cpsv:B600_0825
ko:K00833	cpsv:B600_0826
ko:K00800	cpsv:B600_0828
ko:K00891	cpsv:B600_0829
ko:K01736	cpsv:B600_0830
ko:K01735	cpsv:B600_0831
ko:K13832	cpsv:B600_0832
ko:K03758	cpsv:B600_0836
ko:K00024	cpsv:B600_0839
ko:K01810	cpsv:B600_0841
ko:K03527	cpsv:B600_0850
ko:K03321	cpsv:B600_0853
ko:K01265	cpsv:B600_0859
ko:K01265	cpsv:B600_0860
ko:K02067	cpsv:B600_0723
ko:K11709	cpsv:B600_0515
ko:K11708	cpsv:B600_0514
ko:K11710	cpsv:B600_0513
ko:K00652	cpsv:B600_0824
ko:K04763	cpsv:B600_0842
ko:K01679	cpsv:B600_0854
ko:K00970	cpsv:B600_0902
ko:K01408	cpsv:B600_0926
ko:K01909	cpsv:B600_0959
ko:K01082	cpsv:B600_0961
ko:K01507	cpsv:B600_0963
ko:K02030	cpsv:B600_0162
ko:K07117	cpsv:B600_1013
ko:K06910	cpsv:B600_1014
ko:K03307	cpsv:B600_0303
ko:K03856	cpsv:B600_0305
ko:K00700	cpsv:B600_0314
ko:K02035	cpsv:B600_0171
ko:K02033	cpsv:B600_0172
ko:K00567	cpsv:B600_0174
ko:K07098	cpsv:B600_0198
ko:K01885	cpsv:B600_0219
ko:K00972	cpsv:B600_1037
ko:K01596	cpsv:B600_1043
ko:K00970	cpsv:B600_1051
ko:K03227	cpsv:B600_1070
ko:K02454	cpsv:B600_1081
ko:K03471	cpsv:B600_0347
ko:K00784	cpsv:B600_0374
ko:K02433	cpsv:B600_0340
ko:K00380	cpsv:B600_0233
ko:K09815	cpsv:B600_0241
ko:K01719	cpsv:B600_0264
ko:K01262	cpsv:B600_1084
ko:K07315	cpsv:B600_1101
ko:K00241	cpsv:B600_1107
ko:K03386	cpsv:B600_1118
ko:K02428	cpsv:B600_1122
ko:K01934	cpsv:B600_1136
ko:K11189	cpsv:B600_0387
ko:K08483	cpsv:B600_0388
ko:K02806	cpsv:B600_0405
ko:K02806	cpsv:B600_0406
ko:K02342	cpsv:B600_0447
ko:K06179	cpsv:B600_0454
ko:K07052	cpsv:B600_0457
ko:K00033	cpsv:B600_0506
ko:K03177	cpsv:B600_0538
ko:K00059	cpsv:B600_0565
ko:K00939	cpsv:B600_0620
ko:K01409	cpsv:B600_0628
ko:K00088	cpsv:B600_0660
ko:K02049	cpsv:B600_0679
ko:K02035	cpsv:B600_0688
ko:K02035	cpsv:B600_0689
ko:K02035	cpsv:B600_0690
ko:K15582	cpsv:B600_0692
ko:K10823	cpsv:B600_0693
ko:K15583	cpsv:B600_0694
ko:K06889	cpsv:B600_0698
ko:K06889	cpsv:B600_0704
ko:K02124	cpsv:B600_0780
ko:K02123	cpsv:B600_0781
ko:K02120	cpsv:B600_0782
ko:K02118	cpsv:B600_0783
ko:K02117	cpsv:B600_0784
ko:K02121	cpsv:B600_0786
ko:K00616	cpsv:B600_0789
ko:K14226	cpsv:B600_1008
ko:K14233	cpsv:B600_0877
ko:K14232	cpsv:B600_0499
ko:K14234	cpsv:B600_0051
ko:K03559	cpsv:B600_1111
ko:K14219	cpsv:B600_0027
ko:K00895	cpsv:B600_0699
ko:K01834	cpsv:B600_1029
ko:K11645	cpsv:B600_0579
ko:K09810	cpsv:B600_0615
ko:K14234	cpsv:B600_0607
ko:K14223	cpsv:B600_0935
ko:K14220	cpsv:B600_0742
ko:K14227	cpsv:B600_0680
ko:K02028	cpsv:B600_0631
ko:K14233	cpsv:B600_0242
ko:K01980	cpsv:B600_1156
ko:K14224	cpsv:B600_0056
ko:K17103	cpsv:B600_0889
ko:K14219	cpsv:B600_0186
ko:K04084	cpsv:B600_1109
ko:K14218	cpsv:B600_0005
ko:K14218	cpsv:B600_0681
ko:K14229	cpsv:B600_0055
ko:K14225	cpsv:B600_0061
ko:K14228	cpsv:B600_0101
ko:K14228	cpsv:B600_0139
ko:K14228	cpsv:B600_0193
ko:K14228	cpsv:B600_0180
ko:K14228	cpsv:B600_0844
ko:K14233	cpsv:B600_0148
ko:K14233	cpsv:B600_0354
ko:K14219	cpsv:B600_0437
ko:K14219	cpsv:B600_1119
ko:K14231	cpsv:B600_0236
ko:K14232	cpsv:B600_1152
ko:K14221	cpsv:B600_0602
ko:K14237	cpsv:B600_0603
ko:K14236	cpsv:B600_0608
ko:K14230	cpsv:B600_0700
ko:K14230	cpsv:B600_0701
ko:K14230	cpsv:B600_0806
ko:K14235	cpsv:B600_0800
ko:K14222	cpsv:B600_0983
ko:K01977	cpsv:B600_1157
ko:K14225	cpsv:B600_1047
ko:K14234	cpsv:B600_0802
ko:K14237	cpsv:B600_0885
ko:K01840	cpsv:B600_0401
ko:K06972	cpsv:B600_0891
ko:K02886	cpsv:B600_0116
ko:K03582	cpsv:B600_0009
ko:K01876	cpsv:B600_0096
ko:K07081	cpsv:B600_0270
ko:K02434	cpsv:B600_0342
ko:K01662	cpsv:B600_0359
ko:K03733	cpsv:B600_0372
ko:K01338	cpsv:B600_0377
ko:K01840	cpsv:B600_0400
ko:K02400	cpsv:B600_0501
ko:K02519	cpsv:B600_0540
ko:K02160	cpsv:B600_0639
ko:K02160	cpsv:B600_0640
ko:K00773	cpsv:B600_0669
ko:K01972	cpsv:B600_0708
ko:K03695	cpsv:B600_0721
ko:K01845	cpsv:B600_0726
ko:K02835	cpsv:B600_0756
ko:K03701	cpsv:B600_0776
ko:K03043	cpsv:B600_0792
ko:K02935	cpsv:B600_0793
ko:K03834	cpsv:B600_0898
ko:K01000	cpsv:B600_0981
ko:K01872	cpsv:B600_0992
ko:K03572	cpsv:B600_1085
ko:K01689	cpsv:B600_1100
ko:K04077	cpsv:B600_1120
ko:K03648	cpsv:B600_1124
ko:K02050	cpsv:B600_0855
ko:K02051	cpsv:B600_0855
ko:K08275	cpsv:B600_0525
ko:K08274	cpsv:B600_0840
ko:K18707	cpsv:B600_0312
ko:K03497	cpsv:B600_0071
ko:K03825	cpsv:B600_0201
ko:K03496	cpsv:B600_p0004
ko:K03111	cpsv:B600_0475
ko:K03496	cpsv:B600_1093
ko:K02626	cpsv:B600_0835
ko:K11991	cpsv:B600_0869
ko:K04771	cpsv:B600_0893
ko:K11749	cpsv:B600_0517
ko:K19405	cpsv:B600_0053
ko:K19411	cpsv:B600_0054
ko:K00500	cpsv:B600_0818
ko:K07033	cpsv:B600_0064
ko:K01802	cpsv:B600_0097
ko:K03309	cpsv:B600_0257
ko:K12132	cpsv:B600_0777
ko:K20074	cpsv:B600_0464
ko:K20265	cpsv:B600_0578
ko:K07037	cpsv:B600_0391
ko:K01214	cpsv:B600_0473
ko:K22099	cpsv:B600_1139
ko:K00526	cpsv:B600_0887
ko:K03553	cpsv:B600_1137
ko:K00287	cpsv:B600_1140
ko:K02314	cpsv:B600_p0008
ko:K01520	cpsv:B600_0404
ko:K02316	cpsv:B600_0944
ko:K02316	cpsv:B600_0945
ko:K02314	cpsv:B600_0147
ko:K02335	cpsv:B600_0152
ko:K02031	cpsv:B600_0073
ko:K00525	cpsv:B600_0888
ko:K01829	cpsv:B600_0953
ko:K01534	cpsv:B600_1024
ko:K16239	cpsv:B600_0529
