ko:K19586	eclx:LI66_16110
ko:K01673	eclx:LI66_09470
ko:K11906	eclx:LI66_09485
ko:K11905	eclx:LI66_09490
ko:K04080	eclx:LI66_09505
ko:K03327	eclx:LI66_09520
ko:K00793	eclx:LI66_09525
ko:K00574	eclx:LI66_09530
ko:K03604	eclx:LI66_09545
ko:K07346	eclx:LI66_13785
ko:K03408	eclx:LI66_13805
ko:K03407	eclx:LI66_13810
ko:K02557	eclx:LI66_13815
ko:K02556	eclx:LI66_13820
ko:K02402	eclx:LI66_13825
ko:K02403	eclx:LI66_13830
ko:K14064	eclx:LI66_13835
ko:K00697	eclx:LI66_13840
ko:K01087	eclx:LI66_13845
ko:K10538	eclx:LI66_13850
ko:K10539	eclx:LI66_13855
ko:K10537	eclx:LI66_13860
ko:K02255	eclx:LI66_13870
ko:K07792	eclx:LI66_13875
ko:K02217	eclx:LI66_13900
ko:K03834	eclx:LI66_13910
ko:K07039	eclx:LI66_13915
ko:K01999	eclx:LI66_13920
ko:K01997	eclx:LI66_13925
ko:K01998	eclx:LI66_13930
ko:K01995	eclx:LI66_13935
ko:K01996	eclx:LI66_13940
ko:K00995	eclx:LI66_13975
ko:K03703	eclx:LI66_13980
ko:K07689	eclx:LI66_13985
ko:K07782	eclx:LI66_13995
ko:K10010	eclx:LI66_14000
ko:K10009	eclx:LI66_14005
ko:K05396	eclx:LI66_14010
ko:K02424	eclx:LI66_14015
ko:K02425	eclx:LI66_14020
ko:K02405	eclx:LI66_14025
ko:K02406	eclx:LI66_14030
ko:K02407	eclx:LI66_14035
ko:K02422	eclx:LI66_14040
ko:K02423	eclx:LI66_14045
ko:K05939	eclx:LI66_18180
ko:K02529	eclx:LI66_18185
ko:K13637	eclx:LI66_18195
ko:K05350	eclx:LI66_18200
ko:K02761	eclx:LI66_18205
ko:K01586	eclx:LI66_18215
ko:K10193	eclx:LI66_18240
ko:K10194	eclx:LI66_18245
ko:K10195	eclx:LI66_18250
ko:K10192	eclx:LI66_18255
ko:K02100	eclx:LI66_18260
ko:K00065	eclx:LI66_18265
ko:K01815	eclx:LI66_18270
ko:K01730	eclx:LI66_18275
ko:K00626	eclx:LI66_18285
ko:K06975	eclx:LI66_18305
ko:K07217	eclx:LI66_18330
ko:K00425	eclx:LI66_18335
ko:K00426	eclx:LI66_18340
ko:K05343	eclx:LI66_18345
ko:K03286	eclx:LI66_18390
ko:K06076	eclx:LI66_18400
ko:K12943	eclx:LI66_18430
ko:K01823	eclx:LI66_18435
ko:K04567	eclx:LI66_18440
ko:K02836	eclx:LI66_18445
ko:K07462	eclx:LI66_18455
ko:K09896	eclx:LI66_22605
ko:K03752	eclx:LI66_22610
ko:K03753	eclx:LI66_22615
ko:K02529	eclx:LI66_22650
ko:K00852	eclx:LI66_22655
ko:K10439	eclx:LI66_22660
ko:K10440	eclx:LI66_22665
ko:K10441	eclx:LI66_22670
ko:K06726	eclx:LI66_22675
ko:K03549	eclx:LI66_22680
ko:K03924	eclx:LI66_22685
ko:K01914	eclx:LI66_22695
ko:K03718	eclx:LI66_22700
ko:K06205	eclx:LI66_22705
ko:K03495	eclx:LI66_22710
ko:K03501	eclx:LI66_22715
ko:K02116	eclx:LI66_22720
ko:K02108	eclx:LI66_22725
ko:K02110	eclx:LI66_22730
ko:K02109	eclx:LI66_22735
ko:K02113	eclx:LI66_22740
ko:K02111	eclx:LI66_22745
ko:K02115	eclx:LI66_22750
ko:K02112	eclx:LI66_22755
ko:K02114	eclx:LI66_22760
ko:K04042	eclx:LI66_22765
ko:K00820	eclx:LI66_22770
ko:K07345	eclx:LI66_22775
ko:K07347	eclx:LI66_22785
ko:K02040	eclx:LI66_22795
ko:K02037	eclx:LI66_22800
ko:K02038	eclx:LI66_22805
ko:K02036	eclx:LI66_22810
ko:K02039	eclx:LI66_22815
ko:K06901	eclx:LI66_22825
ko:K08163	eclx:LI66_22845
ko:K03650	eclx:LI66_22850
ko:K03217	eclx:LI66_22855
ko:K03536	eclx:LI66_22860
ko:K06206	eclx:LI66_03965
ko:K01975	eclx:LI66_03970
ko:K03579	eclx:LI66_03975
ko:K05365	eclx:LI66_03980
ko:K02014	eclx:LI66_03985
ko:K02013	eclx:LI66_03990
ko:K02016	eclx:LI66_03995
ko:K02015	eclx:LI66_04000
ko:K01845	eclx:LI66_04005
ko:K03281	eclx:LI66_04010
ko:K15724	eclx:LI66_04015
ko:K06858	eclx:LI66_04025
ko:K01243	eclx:LI66_04030
ko:K01129	eclx:LI66_04035
ko:K02647	eclx:LI66_04045
ko:K00674	eclx:LI66_04055
ko:K00990	eclx:LI66_04060
ko:K01265	eclx:LI66_04065
ko:K02967	eclx:LI66_04070
ko:K02357	eclx:LI66_04075
ko:K09903	eclx:LI66_04080
ko:K02838	eclx:LI66_04085
ko:K00099	eclx:LI66_04090
ko:K00806	eclx:LI66_04095
ko:K00981	eclx:LI66_04100
ko:K01246	eclx:LI66_01155
ko:K08177	eclx:LI66_01165
ko:K12975	eclx:LI66_01170
ko:K12368	eclx:LI66_01180
ko:K12369	eclx:LI66_01185
ko:K12370	eclx:LI66_01190
ko:K12371	eclx:LI66_01195
ko:K12372	eclx:LI66_01200
ko:K00867	eclx:LI66_01205
ko:K02358	eclx:LI66_01230
ko:K03073	eclx:LI66_01240
ko:K02601	eclx:LI66_01245
ko:K02867	eclx:LI66_01250
ko:K02863	eclx:LI66_01255
ko:K02864	eclx:LI66_01260
ko:K02935	eclx:LI66_01265
ko:K03043	eclx:LI66_01270
ko:K03046	eclx:LI66_01275
ko:K02759	eclx:LI66_01280
ko:K02760	eclx:LI66_01285
ko:K03150	eclx:LI66_01295
ko:K03149	eclx:LI66_01300
ko:K03154	eclx:LI66_01305
ko:K03148	eclx:LI66_01310
ko:K00788	eclx:LI66_01315
ko:K03147	eclx:LI66_01320
ko:K07740	eclx:LI66_01325
ko:K03426	eclx:LI66_01330
ko:K01599	eclx:LI66_01335
ko:K05982	eclx:LI66_01340
ko:K09891	eclx:LI66_01345
ko:K05787	eclx:LI66_01350
ko:K01945	eclx:LI66_01360
ko:K00602	eclx:LI66_01365
ko:K00651	eclx:LI66_01385
ko:K01638	eclx:LI66_01390
ko:K01637	eclx:LI66_01395
ko:K00906	eclx:LI66_01400
ko:K13641	eclx:LI66_01405
ko:K00548	eclx:LI66_01410
ko:K03324	eclx:LI66_01415
ko:K06182	eclx:LI66_01430
ko:K02013	eclx:LI66_05645
ko:K02015	eclx:LI66_05650
ko:K02015	eclx:LI66_05655
ko:K08225	eclx:LI66_05660
ko:K02016	eclx:LI66_05665
ko:K02361	eclx:LI66_05670
ko:K02363	eclx:LI66_05675
ko:K01252	eclx:LI66_05680
ko:K00216	eclx:LI66_05685
ko:K06200	eclx:LI66_05695
ko:K08317	eclx:LI66_05720
ko:K02056	eclx:LI66_05725
ko:K02057	eclx:LI66_05730
ko:K02058	eclx:LI66_05735
ko:K00899	eclx:LI66_05745
ko:K08963	eclx:LI66_05750
ko:K08967	eclx:LI66_05760
ko:K09880	eclx:LI66_05765
ko:K08964	eclx:LI66_05770
ko:K14287	eclx:LI66_05775
ko:K03386	eclx:LI66_05795
ko:K03387	eclx:LI66_05800
ko:K11932	eclx:LI66_05805
ko:K06140	eclx:LI66_05815
ko:K08483	eclx:LI66_05830
ko:K11189	eclx:LI66_05830
ko:K11201	eclx:LI66_05830
ko:K08326	eclx:LI66_05840
ko:K11203	eclx:LI66_05845
ko:K11202	eclx:LI66_05850
ko:K01169	eclx:LI66_05855
ko:K03326	eclx:LI66_05860
ko:K07810	eclx:LI66_05870
ko:K07798	eclx:LI66_05880
ko:K07787	eclx:LI66_05885
ko:K12973	eclx:LI66_05890
ko:K03704	eclx:LI66_05895
ko:K06199	eclx:LI66_05900
ko:K03425	eclx:LI66_05910
ko:K03644	eclx:LI66_05915
ko:K11932	eclx:LI66_10110
ko:K16066	eclx:LI66_10120
ko:K01284	eclx:LI66_10125
ko:K07090	eclx:LI66_10130
ko:K03837	eclx:LI66_10155
ko:K00117	eclx:LI66_10165
ko:K08995	eclx:LI66_10170
ko:K03778	eclx:LI66_10190
ko:K09978	eclx:LI66_10205
ko:K14063	eclx:LI66_10210
ko:K00276	eclx:LI66_10230
ko:K02618	eclx:LI66_10240
ko:K02609	eclx:LI66_10245
ko:K02610	eclx:LI66_10250
ko:K02611	eclx:LI66_10255
ko:K02612	eclx:LI66_10260
ko:K02613	eclx:LI66_10265
ko:K01692	eclx:LI66_10270
ko:K15866	eclx:LI66_10275
ko:K00074	eclx:LI66_10280
ko:K02614	eclx:LI66_10285
ko:K02615	eclx:LI66_10290
ko:K01912	eclx:LI66_10295
ko:K02616	eclx:LI66_10300
ko:K02617	eclx:LI66_10305
ko:K09701	eclx:LI66_10345
ko:K00574	eclx:LI66_10350
ko:K11749	eclx:LI66_04105
ko:K07277	eclx:LI66_04110
ko:K06142	eclx:LI66_04115
ko:K02536	eclx:LI66_04120
ko:K02372	eclx:LI66_04125
ko:K00677	eclx:LI66_04130
ko:K00748	eclx:LI66_04135
ko:K03470	eclx:LI66_04140
ko:K02337	eclx:LI66_04145
ko:K01962	eclx:LI66_04150
ko:K08234	eclx:LI66_04160
ko:K04075	eclx:LI66_04165
ko:K19000	eclx:LI66_04170
ko:K15034	eclx:LI66_04185
ko:K06079	eclx:LI66_04190
ko:K01881	eclx:LI66_04195
ko:K06080	eclx:LI66_04205
ko:K02073	eclx:LI66_04210
ko:K02072	eclx:LI66_04215
ko:K02071	eclx:LI66_04220
ko:K03273	eclx:LI66_04225
ko:K11069	eclx:LI66_08420
ko:K11070	eclx:LI66_08425
ko:K11071	eclx:LI66_08430
ko:K11072	eclx:LI66_08435
ko:K01258	eclx:LI66_08445
ko:K18850	eclx:LI66_08450
ko:K07637	eclx:LI66_08455
ko:K07660	eclx:LI66_08460
ko:K01756	eclx:LI66_08470
ko:K07153	eclx:LI66_08475
ko:K00566	eclx:LI66_08480
ko:K12152	eclx:LI66_08485
ko:K06181	eclx:LI66_08490
ko:K00031	eclx:LI66_08495
ko:K13069	eclx:LI66_08520
ko:K09712	eclx:LI66_08525
ko:K03449	eclx:LI66_08545
ko:K01811	eclx:LI66_08560
ko:K19055	eclx:LI66_08570
ko:K07729	eclx:LI66_08640
ko:K01194	eclx:LI66_12925
ko:K02014	eclx:LI66_12930
ko:K08308	eclx:LI66_12940
ko:K01297	eclx:LI66_12945
ko:K11105	eclx:LI66_12950
ko:K01775	eclx:LI66_12955
ko:K00285	eclx:LI66_12960
ko:K03603	eclx:LI66_12975
ko:K03314	eclx:LI66_12980
ko:K03611	eclx:LI66_12985
ko:K09160	eclx:LI66_12990
ko:K09902	eclx:LI66_13000
ko:K03610	eclx:LI66_13005
ko:K03609	eclx:LI66_13010
ko:K03608	eclx:LI66_13015
ko:K03684	eclx:LI66_13020
ko:K01897	eclx:LI66_13025
ko:K07285	eclx:LI66_13030
ko:K14742	eclx:LI66_13035
ko:K09917	eclx:LI66_13050
ko:K01665	eclx:LI66_13055
ko:K01752	eclx:LI66_13065
ko:K02793	eclx:LI66_13080
ko:K02794	eclx:LI66_13080
ko:K02795	eclx:LI66_13085
ko:K00563	eclx:LI66_13105
ko:K03587	eclx:LI66_13110
ko:K03704	eclx:LI66_13115
ko:K08169	eclx:LI66_13145
ko:K03799	eclx:LI66_13150
ko:K03797	eclx:LI66_13155
ko:K03607	eclx:LI66_13160
ko:K03808	eclx:LI66_13170
ko:K11392	eclx:LI66_13180
ko:K09824	eclx:LI66_13195
ko:K06901	eclx:LI66_17370
ko:K11685	eclx:LI66_17410
ko:K03647	eclx:LI66_17435
ko:K02000	eclx:LI66_17450
ko:K02001	eclx:LI66_17455
ko:K02002	eclx:LI66_17460
ko:K15974	eclx:LI66_17470
ko:K03543	eclx:LI66_17475
ko:K03446	eclx:LI66_17480
ko:K01649	eclx:LI66_17485
ko:K07173	eclx:LI66_17495
ko:K01919	eclx:LI66_17500
ko:K03563	eclx:LI66_17540
ko:K01872	eclx:LI66_17545
ko:K03565	eclx:LI66_17550
ko:K03743	eclx:LI66_17560
ko:K02077	eclx:LI66_17565
ko:K02075	eclx:LI66_17570
ko:K02074	eclx:LI66_17575
ko:K08305	eclx:LI66_17580
ko:K02783	eclx:LI66_17585
ko:K02782	eclx:LI66_17590
ko:K02783	eclx:LI66_17590
ko:K02781	eclx:LI66_17595
ko:K00068	eclx:LI66_17600
ko:K02466	eclx:LI66_17605
ko:K02468	eclx:LI66_17610
ko:K02467	eclx:LI66_17615
ko:K12266	eclx:LI66_17620
ko:K12264	eclx:LI66_17625
ko:K12265	eclx:LI66_17630
ko:K07241	eclx:LI66_17635
ko:K04656	eclx:LI66_17640
ko:K00230	eclx:LI66_21780
ko:K03498	eclx:LI66_21785
ko:K01825	eclx:LI66_21800
ko:K01879	eclx:LI66_21810
ko:K01878	eclx:LI66_21815
ko:K00854	eclx:LI66_21830
ko:K01805	eclx:LI66_21835
ko:K10543	eclx:LI66_21840
ko:K10545	eclx:LI66_21845
ko:K10544	eclx:LI66_21850
ko:K02529	eclx:LI66_21855
ko:K03796	eclx:LI66_21860
ko:K01176	eclx:LI66_21865
ko:K00835	eclx:LI66_21870
ko:K08092	eclx:LI66_21885
ko:K00880	eclx:LI66_21905
ko:K09955	eclx:LI66_21935
ko:K00138	eclx:LI66_21940
ko:K03833	eclx:LI66_21950
ko:K01042	eclx:LI66_21955
ko:K02798	eclx:LI66_21965
ko:K02799	eclx:LI66_21965
ko:K02800	eclx:LI66_21965
ko:K00009	eclx:LI66_21970
ko:K02562	eclx:LI66_21975
ko:K14762	eclx:LI66_21980
ko:K07347	eclx:LI66_21990
ko:K00427	eclx:LI66_22005
ko:K14348	eclx:LI66_22010
ko:K00101	eclx:LI66_22015
ko:K08195	eclx:LI66_22020
ko:K03216	eclx:LI66_22025
ko:K00053	eclx:LI66_22030
ko:K02521	eclx:LI66_22035
ko:K01754	eclx:LI66_22040
ko:K09936	eclx:LI66_10370
ko:K09936	eclx:LI66_10375
ko:K00549	eclx:LI66_10385
ko:K01104	eclx:LI66_14595
ko:K01991	eclx:LI66_14600
ko:K07289	eclx:LI66_14610
ko:K01494	eclx:LI66_14615
ko:K00876	eclx:LI66_14620
ko:K01247	eclx:LI66_14630
ko:K04046	eclx:LI66_14635
ko:K07799	eclx:LI66_14640
ko:K07788	eclx:LI66_14645
ko:K07789	eclx:LI66_14650
ko:K18326	eclx:LI66_14655
ko:K07642	eclx:LI66_14660
ko:K07664	eclx:LI66_14665
ko:K08303	eclx:LI66_14670
ko:K00941	eclx:LI66_14715
ko:K00878	eclx:LI66_14720
ko:K00836	eclx:LI66_14740
ko:K13745	eclx:LI66_14745
ko:K16692	eclx:LI66_14750
ko:K01104	eclx:LI66_14755
ko:K01991	eclx:LI66_14760
ko:K03593	eclx:LI66_14775
ko:K01874	eclx:LI66_14780
ko:K02477	eclx:LI66_14790
ko:K02478	eclx:LI66_14795
ko:K05846	eclx:LI66_14805
ko:K05847	eclx:LI66_14810
ko:K05846	eclx:LI66_14815
ko:K05845	eclx:LI66_14820
ko:K05349	eclx:LI66_14825
ko:K03777	eclx:LI66_14830
ko:K03823	eclx:LI66_14835
ko:K07262	eclx:LI66_14840
ko:K05541	eclx:LI66_14865
ko:K06518	eclx:LI66_14870
ko:K06221	eclx:LI66_19015
ko:K15773	eclx:LI66_19035
ko:K07480	eclx:LI66_19045
ko:K00121	eclx:LI66_19055
ko:K01070	eclx:LI66_19065
ko:K07483	eclx:LI66_19085
ko:K10680	eclx:LI66_19100
ko:K03701	eclx:LI66_19145
ko:K00655	eclx:LI66_19205
ko:K02621	eclx:LI66_19210
ko:K07666	eclx:LI66_19220
ko:K07645	eclx:LI66_19225
ko:K03923	eclx:LI66_19230
ko:K18581	eclx:LI66_19250
ko:K02532	eclx:LI66_19255
ko:K02622	eclx:LI66_19270
ko:K07000	eclx:LI66_19275
ko:K03651	eclx:LI66_19280
ko:K09920	eclx:LI66_19285
ko:K01515	eclx:LI66_19290
ko:K12340	eclx:LI66_19295
ko:K12209	eclx:LI66_23415
ko:K12213	eclx:LI66_23420
ko:K12214	eclx:LI66_23425
ko:K02342	eclx:LI66_23610
ko:K17850	eclx:LI66_02005
ko:K00247	eclx:LI66_02010
ko:K00246	eclx:LI66_02015
ko:K00245	eclx:LI66_02020
ko:K00244	eclx:LI66_02025
ko:K04568	eclx:LI66_02030
ko:K01613	eclx:LI66_02045
ko:K06949	eclx:LI66_02050
ko:K13288	eclx:LI66_02055
ko:K18979	eclx:LI66_02075
ko:K17758	eclx:LI66_02080
ko:K17759	eclx:LI66_02080
ko:K06925	eclx:LI66_02085
ko:K01448	eclx:LI66_02090
ko:K03572	eclx:LI66_02095
ko:K00791	eclx:LI66_02100
ko:K03666	eclx:LI66_02105
ko:K03665	eclx:LI66_02110
ko:K04088	eclx:LI66_02115
ko:K04087	eclx:LI66_02120
ko:K09937	eclx:LI66_02125
ko:K01939	eclx:LI66_02130
ko:K13771	eclx:LI66_02135
ko:K12573	eclx:LI66_02140
ko:K03218	eclx:LI66_02145
ko:K09456	eclx:LI66_02155
ko:K06889	eclx:LI66_02175
ko:K03477	eclx:LI66_02180
ko:K03476	eclx:LI66_02185
ko:K03475	eclx:LI66_02190
ko:K02822	eclx:LI66_02195
ko:K02821	eclx:LI66_02200
ko:K03078	eclx:LI66_02205
ko:K03079	eclx:LI66_02210
ko:K03077	eclx:LI66_02215
ko:K02990	eclx:LI66_02225
ko:K02686	eclx:LI66_02230
ko:K02963	eclx:LI66_02235
ko:K02939	eclx:LI66_02240
ko:K07269	eclx:LI66_02250
ko:K03773	eclx:LI66_02255
ko:K11737	eclx:LI66_02260
ko:K07322	eclx:LI66_02265
ko:K01468	eclx:LI66_06465
ko:K01479	eclx:LI66_06470
ko:K05836	eclx:LI66_06475
ko:K01712	eclx:LI66_06480
ko:K01745	eclx:LI66_06485
ko:K06910	eclx:LI66_06490
ko:K00833	eclx:LI66_06495
ko:K01012	eclx:LI66_06500
ko:K00652	eclx:LI66_06505
ko:K02169	eclx:LI66_06510
ko:K01935	eclx:LI66_06515
ko:K03702	eclx:LI66_06525
ko:K03639	eclx:LI66_06535
ko:K03638	eclx:LI66_06540
ko:K03637	eclx:LI66_06545
ko:K03636	eclx:LI66_06550
ko:K03635	eclx:LI66_06555
ko:K06890	eclx:LI66_06560
ko:K07027	eclx:LI66_06565
ko:K01993	eclx:LI66_06600
ko:K11927	eclx:LI66_06610
ko:K07349	eclx:LI66_06620
ko:K07347	eclx:LI66_06630
ko:K07345	eclx:LI66_06640
ko:K13650	eclx:LI66_06660
ko:K06970	eclx:LI66_06670
ko:K10038	eclx:LI66_06680
ko:K10037	eclx:LI66_06685
ko:K10036	eclx:LI66_06690
ko:K04047	eclx:LI66_06695
ko:K11939	eclx:LI66_06700
ko:K11934	eclx:LI66_06705
ko:K03182	eclx:LI66_10980
ko:K03805	eclx:LI66_10995
ko:K01193	eclx:LI66_11020
ko:K02809	eclx:LI66_11025
ko:K02810	eclx:LI66_11025
ko:K16077	eclx:LI66_11030
ko:K00847	eclx:LI66_11035
ko:K08641	eclx:LI66_11055
ko:K02035	eclx:LI66_11060
ko:K02033	eclx:LI66_11065
ko:K02034	eclx:LI66_11070
ko:K04063	eclx:LI66_11095
ko:K02972	eclx:LI66_11120
ko:K00027	eclx:LI66_11125
ko:K13953	eclx:LI66_11135
ko:K03885	eclx:LI66_11145
ko:K08350	eclx:LI66_11160
ko:K08349	eclx:LI66_11165
ko:K16076	eclx:LI66_11185
ko:K08167	eclx:LI66_11190
ko:K00370	eclx:LI66_11205
ko:K00373	eclx:LI66_11215
ko:K00374	eclx:LI66_11220
ko:K00675	eclx:LI66_11225
ko:K03475	eclx:LI66_15415
ko:K02822	eclx:LI66_15420
ko:K02821	eclx:LI66_15425
ko:K07095	eclx:LI66_15440
ko:K07589	eclx:LI66_15455
ko:K07071	eclx:LI66_15460
ko:K10017	eclx:LI66_15470
ko:K10015	eclx:LI66_15475
ko:K10016	eclx:LI66_15480
ko:K10014	eclx:LI66_15485
ko:K10013	eclx:LI66_15490
ko:K03186	eclx:LI66_15495
ko:K00764	eclx:LI66_15500
ko:K03558	eclx:LI66_15505
ko:K03749	eclx:LI66_15510
ko:K11754	eclx:LI66_15515
ko:K01963	eclx:LI66_15520
ko:K03975	eclx:LI66_15525
ko:K06173	eclx:LI66_15530
ko:K03473	eclx:LI66_15540
ko:K00647	eclx:LI66_15555
ko:K15461	eclx:LI66_15560
ko:K09906	eclx:LI66_15570
ko:K07090	eclx:LI66_15575
ko:K07261	eclx:LI66_15580
ko:K01736	eclx:LI66_15585
ko:K07320	eclx:LI66_15590
ko:K08296	eclx:LI66_15600
ko:K01782	eclx:LI66_15605
ko:K06076	eclx:LI66_15620
ko:K04754	eclx:LI66_15625
ko:K13069	eclx:LI66_15640
ko:K12974	eclx:LI66_15645
ko:K14261	eclx:LI66_15655
ko:K02478	eclx:LI66_15660
ko:K02477	eclx:LI66_15665
ko:K00845	eclx:LI66_15670
ko:K05592	eclx:LI66_19870
ko:K05803	eclx:LI66_19875
ko:K00962	eclx:LI66_19880
ko:K02956	eclx:LI66_19885
ko:K03177	eclx:LI66_19890
ko:K02834	eclx:LI66_19895
ko:K02519	eclx:LI66_19900
ko:K02600	eclx:LI66_19905
ko:K09748	eclx:LI66_19910
ko:K01940	eclx:LI66_19920
ko:K03075	eclx:LI66_19930
ko:K03431	eclx:LI66_19935
ko:K00796	eclx:LI66_19940
ko:K03798	eclx:LI66_19945
ko:K02427	eclx:LI66_19950
ko:K07574	eclx:LI66_19955
ko:K03624	eclx:LI66_19960
ko:K07259	eclx:LI66_19965
ko:K07771	eclx:LI66_19970
ko:K07643	eclx:LI66_19975
ko:K03979	eclx:LI66_19980
ko:K02899	eclx:LI66_19990
ko:K02888	eclx:LI66_19995
ko:K02523	eclx:LI66_20000
ko:K07724	eclx:LI66_20005
ko:K00790	eclx:LI66_20010
ko:K07122	eclx:LI66_20020
ko:K07323	eclx:LI66_20025
ko:K02067	eclx:LI66_20030
ko:K02066	eclx:LI66_20035
ko:K02065	eclx:LI66_20040
ko:K07301	eclx:LI66_20045
ko:K06041	eclx:LI66_20050
ko:K03270	eclx:LI66_20055
ko:K11719	eclx:LI66_20060
ko:K09774	eclx:LI66_20065
ko:K06861	eclx:LI66_20070
ko:K03092	eclx:LI66_20075
ko:K05808	eclx:LI66_20080
ko:K02806	eclx:LI66_20085
ko:K06958	eclx:LI66_20090
ko:K08485	eclx:LI66_20095
ko:K03814	eclx:LI66_20100
ko:K07648	eclx:LI66_20110
ko:K11720	eclx:LI66_20115
ko:K07091	eclx:LI66_20120
ko:K01255	eclx:LI66_20125
ko:K03496	eclx:LI66_24200
ko:K19163	eclx:LI66_24225
ko:K19164	eclx:LI66_24230
ko:K03497	eclx:LI66_24260
ko:K02283	eclx:LI66_24275
ko:K03111	eclx:LI66_24345
ko:K18768	eclx:LI66_24385
ko:K01358	eclx:LI66_02880
ko:K18850	eclx:LI66_02885
ko:K02014	eclx:LI66_02905
ko:K00375	eclx:LI66_02920
ko:K00128	eclx:LI66_02935
ko:K00135	eclx:LI66_02980
