ko:K04047	rpr:RP806
ko:K02902	rpr:RP099
ko:K02909	rpr:RP100
ko:K03199	rpr:RP103
ko:K02884	rpr:RP112
ko:K03074	rpr:RP114
ko:K03100	rpr:RP116
ko:K02950	rpr:RP130
ko:K02992	rpr:RP131
ko:K02355	rpr:RP132
ko:K03073	rpr:RP134
ko:K02601	rpr:RP135
ko:K02867	rpr:RP136
ko:K02863	rpr:RP137
ko:K02864	rpr:RP138
ko:K02935	rpr:RP139
ko:K03043	rpr:RP140
ko:K03046	rpr:RP141
ko:K01255	rpr:RP142
ko:K02030	rpr:RP150
ko:K02434	rpr:RP151
ko:K02433	rpr:RP152
ko:K02435	rpr:RP153
ko:K02838	rpr:RP154
ko:K02427	rpr:RP163
ko:K02341	rpr:RP172
ko:K03106	rpr:RP173
ko:K02276	rpr:RP191
ko:K02469	rpr:RP206
ko:K02871	rpr:RP233
ko:K02996	rpr:RP234
ko:K02488	rpr:RP237
ko:K02356	rpr:RP238
ko:K02535	rpr:RP254
ko:K02259	rpr:RP257
ko:K00161	rpr:RP261
ko:K00162	rpr:RP262
ko:K02194	rpr:RP268
ko:K02836	rpr:RP274
ko:K03204	rpr:RP286
ko:K03203	rpr:RP287
ko:K03203	rpr:RP289
ko:K03204	rpr:RP290
ko:K03195	rpr:RP291
ko:K03196	rpr:RP292
ko:K03205	rpr:RP293
ko:K01808	rpr:RP299
ko:K03089	rpr:RP303
ko:K02258	rpr:RP304
ko:K01892	rpr:RP308
ko:K02022	rpr:RP314
ko:K00748	rpr:RP321
ko:K03168	rpr:RP326
ko:K02986	rpr:RP345
ko:K02860	rpr:RP348
ko:K00029	rpr:RP373
ko:K01937	rpr:RP378
ko:K02021	rpr:RP387
ko:K02274	rpr:RP405
ko:K02275	rpr:RP406
ko:K03101	rpr:RP408
ko:K02563	rpr:RP412
ko:K01889	rpr:RP417
ko:K02338	rpr:RP419
ko:K00806	rpr:RP425
ko:K01902	rpr:RP432
ko:K01903	rpr:RP433
ko:K02834	rpr:RP435
ko:K00858	rpr:RP440
ko:K00057	rpr:RP442
ko:K01823	rpr:RP452
ko:K02919	rpr:RP456
ko:K02523	rpr:RP479
ko:K00799	rpr:RP490
ko:K02956	rpr:RP503
ko:K00526	rpr:RP512
ko:K00525	rpr:RP513
ko:K02945	rpr:RP521
ko:K02835	rpr:RP529
ko:K02520	rpr:RP531
ko:K02899	rpr:RP752
ko:K02078	rpr:RP763
ko:K00648	rpr:RP772
ko:K02911	rpr:RP773
ko:K03110	rpr:RP775
ko:K02335	rpr:RP776
ko:K00012	rpr:RP779
ko:K03118	rpr:RP782
ko:K03199	rpr:RP784
ko:K02193	rpr:RP794
ko:K01681	rpr:RP799
ko:K02518	rpr:RP814
ko:K02195	rpr:RP830
ko:K03111	rpr:RP836
ko:K02493	rpr:RP847
ko:K01879	rpr:RP849
ko:K01878	rpr:RP850
ko:K03086	rpr:RP858
ko:K02316	rpr:RP859
ko:K00324	rpr:RP862
ko:K00324	rpr:RP863
ko:K02343	rpr:RP865
ko:K02028	rpr:RP868
ko:K02959	rpr:RP878
ko:K02913	rpr:RP879
ko:K02110	rpr:RP022
ko:K02340	rpr:RP189
ko:K02111	rpr:RP803
ko:K02113	rpr:RP804
ko:K03602	rpr:RP350
ko:K03182	rpr:RP821
ko:K03570	rpr:RP767
ko:K03569	rpr:RP768
ko:K01915	rpr:RP495
ko:K03686	rpr:RP184
ko:K06287	rpr:RP815
ko:K00384	rpr:RP445
ko:K00384	rpr:RP514
ko:K03601	rpr:RP675
ko:K01462	rpr:RP208
ko:K03455	rpr:RP810
ko:K06442	rpr:RP555
ko:K03294	rpr:RP483
ko:K02109	rpr:RP020
ko:K02109	rpr:RP021
ko:K02108	rpr:RP023
ko:K01754	rpr:RP449
ko:K02114	rpr:RP800
ko:K02112	rpr:RP801
ko:K02115	rpr:RP802
ko:K03536	rpr:RP611
ko:K03980	rpr:RP590
ko:K03684	rpr:RP462
ko:K06180	rpr:RP846
ko:K06207	rpr:RP263
ko:K02339	rpr:RP872
ko:K03501	rpr:RP057
ko:K03424	rpr:RP682
ko:K01647	rpr:RP844
ko:K04066	rpr:RP540
ko:K03667	rpr:RP320
ko:K03590	rpr:RP251
ko:K03531	rpr:RP666
ko:K03801	rpr:RP876
ko:K01627	rpr:RP062
ko:K03977	rpr:RP677
ko:K06187	rpr:RP438
ko:K03703	rpr:RP572
ko:K06204	rpr:RP816
ko:K04744	rpr:RP674
ko:K03762	rpr:RP852
ko:K03294	rpr:RP307
ko:K03589	rpr:RP250
ko:K03438	rpr:RP569
ko:K03629	rpr:RP029
ko:K03664	rpr:RP430
ko:K04087	rpr:RP123
ko:K04088	rpr:RP122
ko:K03650	rpr:RP759
ko:K03562	rpr:RP309
ko:K03588	rpr:RP411
ko:K03695	rpr:RP036
ko:K03551	rpr:RP386
ko:K03550	rpr:RP385
ko:K03655	rpr:RP593
ko:K03469	rpr:RP726
ko:K03470	rpr:RP202
ko:K03702	rpr:RP203
ko:K03701	rpr:RP835
ko:K03495	rpr:RP056
ko:K03676	rpr:RP204
ko:K03466	rpr:RP823
ko:K03596	rpr:RP275
ko:K03687	rpr:RP629
ko:K03631	rpr:RP182
ko:K03641	rpr:RP302
ko:K04079	rpr:RP840
ko:K03301	rpr:RP053
ko:K04077	rpr:RP626
ko:K04043	rpr:RP185
ko:K03465	rpr:RP301
ko:K01749	rpr:RP466
ko:K04763	rpr:RP361
ko:K04078	rpr:RP627
ko:K03704	rpr:RP670
ko:K00340	rpr:RP791
ko:K00341	rpr:RP792
ko:K03790	rpr:RP693
ko:K03625	rpr:RP162
ko:K00342	rpr:RP793
ko:K02337	rpr:RP778
ko:K06202	rpr:RP323
ko:K03544	rpr:RP692
ko:K03628	rpr:RP526
ko:K03657	rpr:RP447
ko:K03644	rpr:RP742
ko:K03523	rpr:RP324
ko:K03595	rpr:RP118
ko:K03978	rpr:RP102
ko:K03685	rpr:RP117
ko:K04488	rpr:RP485
ko:K03684	rpr:RP422
ko:K06213	rpr:RP583
ko:K03926	rpr:RP177
ko:K03798	rpr:RP043
ko:K03671	rpr:RP002
ko:K03925	rpr:RP570
ko:K03624	rpr:RP861
ko:K03553	rpr:RP761
ko:K03555	rpr:RP298
ko:K06190	rpr:RP392
ko:K03572	rpr:RP880
ko:K01159	rpr:RP119
ko:K03723	rpr:RP598
ko:K00425	rpr:RP216
ko:K00426	rpr:RP217
ko:K00338	rpr:RP795
ko:K04487	rpr:RP486
ko:K04773	rpr:RP525
ko:K03820	rpr:RP366
ko:K00334	rpr:RP353
ko:K00240	rpr:RP044
ko:K00411	rpr:RP270
ko:K00412	rpr:RP271
ko:K00241	rpr:RP126
ko:K06173	rpr:RP857
ko:K04754	rpr:RP093
ko:K03797	rpr:RP228
ko:K00330	rpr:RP357
ko:K00339	rpr:RP790
ko:K01056	rpr:RP605
ko:K00332	rpr:RP355
ko:K00333	rpr:RP354
ko:K00336	rpr:RP797
ko:K00337	rpr:RP796
ko:K00413	rpr:RP272
ko:K00343	rpr:RP537
ko:K00242	rpr:RP127
ko:K00239	rpr:RP128
ko:K03642	rpr:RP390
ko:K04487	rpr:RP487
ko:K03733	rpr:RP817
ko:K03177	rpr:RP501
ko:K06147	rpr:RP205
ko:K06147	rpr:RP696
ko:K02445	rpr:RP054
ko:K00331	rpr:RP356
ko:K00335	rpr:RP115
ko:K04485	rpr:RP546
ko:K04566	rpr:RP371
ko:K05366	rpr:RP807
ko:K03545	rpr:RP842
ko:K05524	rpr:RP829
ko:K03587	rpr:RP567
ko:K03497	rpr:RP059
ko:K03530	rpr:RP171
ko:K05807	rpr:RP183
ko:K04764	rpr:RP708
ko:K03821	rpr:RP738
ko:K03821	rpr:RP820
ko:K06178	rpr:RP544
ko:K01929	rpr:RP596
ko:K04564	rpr:RP535
ko:K03496	rpr:RP058
ko:K03201	rpr:RP104
ko:K03593	rpr:RP121
ko:K06179	rpr:RP258
ko:K06167	rpr:RP869
ko:K03762	rpr:RP881
ko:K05837	rpr:RP280
ko:K04082	rpr:RP201
ko:K01737	rpr:RP178
ko:K04044	rpr:RP200
ko:K03543	rpr:RP243
ko:K05810	rpr:RP494
ko:K05515	rpr:RP565
ko:K05833	rpr:RP369
ko:K06168	rpr:RP808
ko:K05566	rpr:RP267
ko:K03201	rpr:RP105
ko:K05567	rpr:RP285
ko:K05568	rpr:RP284
ko:K05571	rpr:RP266
ko:K06134	rpr:RP190
ko:K05832	rpr:RP368
ko:K06148	rpr:RP315
ko:K05568	rpr:RP283
ko:K05568	rpr:RP282
ko:K07058	rpr:RP496
ko:K05569	rpr:RP156
ko:K07082	rpr:RP322
ko:K07091	rpr:RP871
ko:K00228	rpr:RP882
ko:K05570	rpr:RP561a
ko:K06985	rpr:RP867
ko:K06147	rpr:RP388
ko:K07152	rpr:RP031
ko:K07152	rpr:RP587
ko:K07018	rpr:RP471
ko:K07146	rpr:RP125
ko:K06889	rpr:RP343
ko:K01977	rpr:RPr03
ko:K01985	rpr:RPr02
ko:K01980	rpr:RPr01
ko:K06916	rpr:RP212
ko:K07277	rpr:RP160
ko:K07638	rpr:RP426
ko:K03386	rpr:RP327
ko:K06999	rpr:RP744
ko:K07001	rpr:RP534
ko:K06980	rpr:RP464
ko:K07010	rpr:RP404
ko:K07010	rpr:RP713
ko:K07056	rpr:RP747
ko:K07042	rpr:RP741
ko:K07088	rpr:RP372
ko:K07088	rpr:RP443
ko:K06861	rpr:RP508
ko:K06894	rpr:RP558
ko:K06894	rpr:RP559
ko:K06900	rpr:RP602
ko:K07080	rpr:RP197
ko:K06867	rpr:RP714
ko:K06890	rpr:RP147
ko:K07447	rpr:RP330
ko:K06920	rpr:RP694
ko:K07275	rpr:RP075
ko:K07276	rpr:RP120
ko:K06925	rpr:RP013
ko:K06942	rpr:RP604
ko:K06867	rpr:RP226
ko:K05349	rpr:RP706
ko:K07243	rpr:RP393
ko:K07258	rpr:RP389
ko:K03296	rpr:RP170
ko:K03201	rpr:RP107
ko:K03201	rpr:RP106
ko:K09774	rpr:RP507
ko:K03201	rpr:RP108
ko:K09903	rpr:RP155
ko:K07462	rpr:RP528
ko:K07390	rpr:RP745
ko:K04075	rpr:RP042
ko:K09773	rpr:RP001
ko:K08998	rpr:RP351a
ko:K10773	rpr:RP746
ko:K01419	rpr:RP319
ko:K00507	rpr:RP038
ko:K08973	rpr:RP883
ko:K08218	rpr:RP475
ko:K09949	rpr:RP730
ko:K09987	rpr:RP073
ko:K09991	rpr:RP225
ko:K09748	rpr:RP554
ko:K09131	rpr:RP839
ko:K00208	rpr:RP365
ko:K00925	rpr:RP110
ko:K03652	rpr:RP351
ko:K09458	rpr:RP764
ko:K09747	rpr:RP866
ko:K09761	rpr:RP168
ko:K09778	rpr:RP090
ko:K09779	rpr:RP169
ko:K08311	rpr:RP236
ko:K09760	rpr:RP690
ko:K09765	rpr:RP851
ko:K08738	rpr:RP253
ko:K09808	rpr:RP699
ko:K09710	rpr:RP811
ko:K07735	rpr:RP032
ko:K09159	rpr:RP599
ko:K07736	rpr:RP026
ko:K07566	rpr:RP848
ko:K07568	rpr:RP213
ko:K07552	rpr:RP603
ko:K05973	rpr:RP681
ko:K03640	rpr:RP771
ko:K01142	rpr:RP676
ko:K03548	rpr:RP630
ko:K00812	rpr:RP091
ko:K00970	rpr:RP015
ko:K01923	rpr:RP220
ko:K01868	rpr:RP221
ko:K01613	rpr:RP241
ko:K01924	rpr:RP247
ko:K00075	rpr:RP248
ko:K01921	rpr:RP249
ko:K00566	rpr:RP306
ko:K00133	rpr:RP316
ko:K01885	rpr:RP325
ko:K00979	rpr:RP379
ko:K01495	rpr:RP383
ko:K01881	rpr:RP384
ko:K01520	rpr:RP399
ko:K01925	rpr:RP410
ko:K01778	rpr:RP415
ko:K01869	rpr:RP421
ko:K00826	rpr:RP428
ko:K01714	rpr:RP429
ko:K00382	rpr:RP460
ko:K01867	rpr:RP468
ko:K01006	rpr:RP492
ko:K00791	rpr:RP510
ko:K01358	rpr:RP520
ko:K00945	rpr:RP522
ko:K01698	rpr:RP539
ko:K01866	rpr:RP556
ko:K00790	rpr:RP579
ko:K01507	rpr:RP589
ko:K01000	rpr:RP595
ko:K01928	rpr:RP597
ko:K01870	rpr:RP617
ko:K01885	rpr:RP623
ko:K00989	rpr:RP628
ko:K00939	rpr:RP638
ko:K00943	rpr:RP684
ko:K01873	rpr:RP687
ko:K01972	rpr:RP720
ko:K00773	rpr:RP721
ko:K00626	rpr:RP737
ko:K00600	rpr:RP743
ko:K00928	rpr:RP753
ko:K00059	rpr:RP762
ko:K00942	rpr:RP765
ko:K01875	rpr:RP783
ko:K00382	rpr:RP805
ko:K01265	rpr:RP824
ko:K00643	rpr:RP841
ko:K01872	rpr:RP856
ko:K01772	rpr:RP884
ko:K01599	rpr:RP885
ko:K00677	rpr:RP007
ko:K00940	rpr:RP055
ko:K01887	rpr:RP065
ko:K01494	rpr:RP069
ko:K01775	rpr:RP095
ko:K00625	rpr:RP109
ko:K00554	rpr:RP111
ko:K01876	rpr:RP145
ko:K00215	rpr:RP148
ko:K00658	rpr:RP179
ko:K00164	rpr:RP180
ko:K00674	rpr:RP194
ko:K00604	rpr:RP209
ko:K09816	rpr:RP621
ko:K09815	rpr:RP014
ko:K09691	rpr:RP003
ko:K09985	rpr:RP727
ko:K09817	rpr:RP834
ko:K09690	rpr:RP004
ko:K05527	rpr:RP245
ko:K07716	rpr:RP229
ko:K01439	rpr:RP874
ko:K00627	rpr:RP530
ko:K01142	rpr:RP260
ko:K01322	rpr:RP174
ko:K12340	rpr:RP224
ko:K00962	rpr:RP504
ko:K03560	rpr:RP310
ko:K08300	rpr:RP256
ko:K02622	rpr:RP227
ko:K00645	rpr:RP735
ko:K01874	rpr:RP683
ko:K01890	rpr:RP418
ko:K05794	rpr:RP786
ko:K01338	rpr:RP450
ko:K01782	rpr:RP560
ko:K11754	rpr:RP536
ko:K07552	rpr:RP698
ko:K00655	rpr:RP469
ko:K06041	rpr:RP505
ko:K13292	rpr:RP046
ko:K03979	rpr:RP843
ko:K11720	rpr:RP769
ko:K00031	rpr:RP265
ko:K01491	rpr:RP515
ko:K11528	rpr:RP454
ko:K09810	rpr:RP700
ko:K07659	rpr:RP427
ko:K03524	rpr:RP533
ko:K02029	rpr:RP129
ko:K03688	rpr:RP678
ko:K11719	rpr:RP506
ko:K03185	rpr:RP561
ko:K00067	rpr:RP332
ko:K01354	rpr:RP281
ko:K00995	rpr:RP049
ko:K03584	rpr:RP548m
ko:K08309	rpr:RP400
ko:K01262	rpr:RP482
ko:K08316	rpr:RP545
ko:K06879	rpr:RP072
ko:K11749	rpr:RP161
ko:K00024	rpr:RP376
ko:K13599	rpr:RP562
ko:K01409	rpr:RP037
ko:K01791	rpr:RP334
ko:K14222	rpr:RPt09
ko:K14235	rpr:RPt05
ko:K14228	rpr:RPt26
ko:K14219	rpr:RPt31
ko:K14219	rpr:RPt14
ko:K14221	rpr:RPt16
ko:K14226	rpr:RPt27
ko:K14230	rpr:RPt07
ko:K14225	rpr:RPt22
ko:K14220	rpr:RPt08
ko:K14225	rpr:RPt24
ko:K13598	rpr:RP614
ko:K01129	rpr:RP064
ko:K13643	rpr:RP488
ko:K05939	rpr:RP620
ko:K01092	rpr:RP239
ko:K14233	rpr:RPt13
ko:K14230	rpr:RPt04
ko:K14230	rpr:RPt29a
ko:K14233	rpr:RPt28
ko:K14231	rpr:RPt01
ko:K14234	rpr:RPt06
ko:K14219	rpr:RPt19
ko:K01966	rpr:RP619
ko:K01524	rpr:RP294
ko:K14236	rpr:RPt25
ko:K14228	rpr:RPt32
ko:K14224	rpr:RPt02
ko:K14234	rpr:RPt33
ko:K14223	rpr:RPt15
ko:K14237	rpr:RPt23
ko:K14218	rpr:RPt17
ko:K14232	rpr:RPt30
ko:K14218	rpr:RPt20
ko:K14229	rpr:RPt10
ko:K14234	rpr:RPt03
ko:K13628	rpr:RP484
ko:K14227	rpr:RPt11
ko:K14228	rpr:RPt21
ko:K14233	rpr:RPt12
ko:K02116	rpr:RP024
ko:K01840	rpr:RP509
ko:K15371	rpr:RP758
ko:K01082	rpr:RP297
ko:K15270	rpr:RP076
ko:K03301	rpr:RP500
ko:K03301	rpr:RP739
ko:K16053	rpr:RP047
ko:K07323	rpr:RP094
ko:K01989	rpr:RP367
ko:K17717	rpr:RP819
ko:K17716	rpr:RP333
ko:K14998	rpr:RP733
ko:K01978	rpr:RP491
ko:K17103	rpr:RP242
ko:K12574	rpr:RP441
ko:K04771	rpr:RP124
ko:K00981	rpr:RP424
ko:K03198	rpr:RP102a
ko:K03446	rpr:RP157
ko:K18588	rpr:RP166
ko:K18587	rpr:RP616
ko:K05367	rpr:RP195
ko:K18707	rpr:RP416
ko:K06147	rpr:RP214
ko:K16898	rpr:RP734
ko:K16899	rpr:RP403
ko:K09796	rpr:RP573
ko:K10026	rpr:RP607
ko:K21929	rpr:RP845
ko:K11991	rpr:RP831
ko:K02257	rpr:RP346
