ko:K18923	vcq:EN18_00675
ko:K05966	vcq:EN18_07385
ko:K09964	vcq:EN18_07390
ko:K03437	vcq:EN18_07395
ko:K05524	vcq:EN18_07400
ko:K07137	vcq:EN18_07405
ko:K03088	vcq:EN18_08550
ko:K01782	vcq:EN18_08570
ko:K09790	vcq:EN18_08595
ko:K00759	vcq:EN18_08600
ko:K02343	vcq:EN18_08605
ko:K09747	vcq:EN18_08610
ko:K06187	vcq:EN18_08615
ko:K06940	vcq:EN18_08620
ko:K09160	vcq:EN18_08625
ko:K04774	vcq:EN18_08635
ko:K01738	vcq:EN18_08640
ko:K05800	vcq:EN18_08645
ko:K10805	vcq:EN18_08650
ko:K09914	vcq:EN18_08655
ko:K07443	vcq:EN18_08660
ko:K00134	vcq:EN18_08680
ko:K01089	vcq:EN18_08995
ko:K02501	vcq:EN18_09000
ko:K01814	vcq:EN18_09005
ko:K02500	vcq:EN18_09010
ko:K11755	vcq:EN18_09015
ko:K06181	vcq:EN18_09020
ko:K00031	vcq:EN18_09025
ko:K03704	vcq:EN18_09030
ko:K06891	vcq:EN18_09035
ko:K03694	vcq:EN18_09040
ko:K07085	vcq:EN18_09045
ko:K01580	vcq:EN18_09065
ko:K07343	vcq:EN18_09085
ko:K00831	vcq:EN18_09110
ko:K15257	vcq:EN18_09130
ko:K00568	vcq:EN18_09575
ko:K02469	vcq:EN18_09580
ko:K07146	vcq:EN18_09585
ko:K03291	vcq:EN18_09595
ko:K01497	vcq:EN18_09605
ko:K07231	vcq:EN18_09610
ko:K07338	vcq:EN18_09620
ko:K09947	vcq:EN18_09625
ko:K02480	vcq:EN18_09670
ko:K03451	vcq:EN18_09685
ko:K02760	vcq:EN18_09695
ko:K02761	vcq:EN18_09700
ko:K02759	vcq:EN18_09705
ko:K01299	vcq:EN18_10290
ko:K11903	vcq:EN18_10295
ko:K11904	vcq:EN18_10300
ko:K03310	vcq:EN18_10330
ko:K11069	vcq:EN18_10345
ko:K11069	vcq:EN18_10350
ko:K11070	vcq:EN18_10355
ko:K11071	vcq:EN18_10360
ko:K11072	vcq:EN18_10365
ko:K03796	vcq:EN18_10375
ko:K14058	vcq:EN18_10385
ko:K14055	vcq:EN18_10390
ko:K09792	vcq:EN18_10400
ko:K01533	vcq:EN18_10410
ko:K09926	vcq:EN18_10415
ko:K00406	vcq:EN18_10420
ko:K00407	vcq:EN18_10425
ko:K00405	vcq:EN18_10430
ko:K00425	vcq:EN18_11035
ko:K01785	vcq:EN18_11145
ko:K00849	vcq:EN18_11150
ko:K00965	vcq:EN18_11155
ko:K02030	vcq:EN18_11165
ko:K03415	vcq:EN18_11200
ko:K01993	vcq:EN18_11230
ko:K01992	vcq:EN18_11235
ko:K00651	vcq:EN18_11250
ko:K02656	vcq:EN18_11255
ko:K06970	vcq:EN18_11265
ko:K07043	vcq:EN18_11270
ko:K06946	vcq:EN18_12185
ko:K07733	vcq:EN18_12195
ko:K01150	vcq:EN18_06540
ko:K03630	vcq:EN18_06600
ko:K02388	vcq:EN18_14105
ko:K02387	vcq:EN18_14110
ko:K00575	vcq:EN18_14115
ko:K03415	vcq:EN18_14120
ko:K02386	vcq:EN18_14125
ko:K02398	vcq:EN18_14130
ko:K02399	vcq:EN18_14135
ko:K09860	vcq:EN18_14140
ko:K03286	vcq:EN18_14175
ko:K01885	vcq:EN18_14180
ko:K17686	vcq:EN18_14185
ko:K12373	vcq:EN18_14195
ko:K09973	vcq:EN18_14200
ko:K06182	vcq:EN18_14220
ko:K00761	vcq:EN18_14230
ko:K01933	vcq:EN18_14235
ko:K07154	vcq:EN18_07445
ko:K00138	vcq:EN18_07465
ko:K11065	vcq:EN18_07485
ko:K01669	vcq:EN18_12215
ko:K00138	vcq:EN18_12235
ko:K02768	vcq:EN18_12240
ko:K11202	vcq:EN18_12245
ko:K11203	vcq:EN18_12245
ko:K02769	vcq:EN18_12255
ko:K02806	vcq:EN18_12260
ko:K02768	vcq:EN18_12270
ko:K02769	vcq:EN18_12270
ko:K02770	vcq:EN18_12270
ko:K01809	vcq:EN18_12275
ko:K00133	vcq:EN18_13275
ko:K03315	vcq:EN18_13280
ko:K06899	vcq:EN18_13290
ko:K09904	vcq:EN18_13295
ko:K07014	vcq:EN18_13300
ko:K07390	vcq:EN18_13325
ko:K04564	vcq:EN18_13330
ko:K04754	vcq:EN18_13345
ko:K02200	vcq:EN18_13355
ko:K02199	vcq:EN18_13360
ko:K02198	vcq:EN18_13365
ko:K02197	vcq:EN18_13370
ko:K02196	vcq:EN18_13375
ko:K02195	vcq:EN18_13380
ko:K02194	vcq:EN18_13385
ko:K02193	vcq:EN18_13390
ko:K03408	vcq:EN18_13400
ko:K03408	vcq:EN18_13405
ko:K00147	vcq:EN18_14455
ko:K02346	vcq:EN18_14535
ko:K05952	vcq:EN18_14540
ko:K03734	vcq:EN18_14545
ko:K00351	vcq:EN18_14550
ko:K00350	vcq:EN18_14555
ko:K00349	vcq:EN18_14560
ko:K00348	vcq:EN18_14565
ko:K00347	vcq:EN18_14570
ko:K00346	vcq:EN18_14575
ko:K05527	vcq:EN18_14580
ko:K07286	vcq:EN18_14590
ko:K03767	vcq:EN18_14595
ko:K08218	vcq:EN18_14600
ko:K07167	vcq:EN18_14605
ko:K03088	vcq:EN18_14610
ko:K07157	vcq:EN18_14615
ko:K05517	vcq:EN18_14620
ko:K00077	vcq:EN18_14625
ko:K03152	vcq:EN18_14630
ko:K01766	vcq:EN18_14635
ko:K02003	vcq:EN18_15805
ko:K02879	vcq:EN18_15885
ko:K03040	vcq:EN18_15890
ko:K02986	vcq:EN18_15895
ko:K02948	vcq:EN18_15900
ko:K02952	vcq:EN18_15905
ko:K02919	vcq:EN18_15910
ko:K03076	vcq:EN18_15915
ko:K02876	vcq:EN18_15920
ko:K02907	vcq:EN18_15925
ko:K02988	vcq:EN18_15930
ko:K02881	vcq:EN18_15935
ko:K02933	vcq:EN18_15940
ko:K02994	vcq:EN18_15945
ko:K02954	vcq:EN18_15950
ko:K02931	vcq:EN18_15955
ko:K02895	vcq:EN18_15960
ko:K02874	vcq:EN18_15965
ko:K02961	vcq:EN18_15970
ko:K02904	vcq:EN18_15975
ko:K02878	vcq:EN18_15980
ko:K02982	vcq:EN18_15985
ko:K02890	vcq:EN18_15990
ko:K02965	vcq:EN18_15995
ko:K02886	vcq:EN18_16000
ko:K02892	vcq:EN18_16005
ko:K02926	vcq:EN18_16010
ko:K01462	vcq:EN18_17325
ko:K04085	vcq:EN18_17435
ko:K01878	vcq:EN18_17450
ko:K01879	vcq:EN18_17455
ko:K00835	vcq:EN18_17460
ko:K04080	vcq:EN18_17465
ko:K02470	vcq:EN18_17480
ko:K03629	vcq:EN18_17485
ko:K02338	vcq:EN18_17490
ko:K02313	vcq:EN18_17495
ko:K16961	vcq:EN18_17500
ko:K16962	vcq:EN18_17505
ko:K16963	vcq:EN18_17510
ko:K02914	vcq:EN18_17515
ko:K03536	vcq:EN18_17520
ko:K03217	vcq:EN18_17525
ko:K03650	vcq:EN18_17530
ko:K06205	vcq:EN18_17535
ko:K03495	vcq:EN18_17540
ko:K03501	vcq:EN18_17545
ko:K03685	vcq:EN18_15345
ko:K03100	vcq:EN18_15350
ko:K03596	vcq:EN18_15355
ko:K03803	vcq:EN18_15360
ko:K03598	vcq:EN18_15365
ko:K03597	vcq:EN18_15370
ko:K03088	vcq:EN18_15375
ko:K00278	vcq:EN18_15380
ko:K09159	vcq:EN18_15390
ko:K06980	vcq:EN18_15395
ko:K03185	vcq:EN18_15410
ko:K09888	vcq:EN18_15420
ko:K01934	vcq:EN18_15425
ko:K01807	vcq:EN18_15430
ko:K00058	vcq:EN18_15435
ko:K01653	vcq:EN18_15440
ko:K01652	vcq:EN18_15445
ko:K01897	vcq:EN18_15450
ko:K05798	vcq:EN18_15455
ko:K01649	vcq:EN18_15475
ko:K07560	vcq:EN18_16700
ko:K07058	vcq:EN18_16705
ko:K06207	vcq:EN18_16715
ko:K01915	vcq:EN18_16725
ko:K07708	vcq:EN18_16740
ko:K07712	vcq:EN18_16745
ko:K01488	vcq:EN18_16755
ko:K01776	vcq:EN18_16790
ko:K14645	vcq:EN18_16795
ko:K16092	vcq:EN18_16800
ko:K00322	vcq:EN18_16820
ko:K03089	vcq:EN18_16825
ko:K09811	vcq:EN18_16830
ko:K09812	vcq:EN18_16835
ko:K03110	vcq:EN18_16840
ko:K03406	vcq:EN18_18280
ko:K09939	vcq:EN18_18285
ko:K02014	vcq:EN18_18290
ko:K02014	vcq:EN18_18295
ko:K01625	vcq:EN18_18300
ko:K03299	vcq:EN18_18305
ko:K00851	vcq:EN18_18310
ko:K01690	vcq:EN18_18315
ko:K06145	vcq:EN18_18320
ko:K03557	vcq:EN18_18325
ko:K05540	vcq:EN18_18330
ko:K02687	vcq:EN18_18335
ko:K01961	vcq:EN18_18340
ko:K02160	vcq:EN18_18345
ko:K03786	vcq:EN18_18350
ko:K01895	vcq:EN18_18355
ko:K02342	vcq:EN18_18360
ko:K07182	vcq:EN18_18365
ko:K05820	vcq:EN18_18370
ko:K01524	vcq:EN18_18380
ko:K03732	vcq:EN18_18385
ko:K03671	vcq:EN18_18390
ko:K03628	vcq:EN18_18395
ko:K03182	vcq:EN18_18405
ko:K03575	vcq:EN18_19295
ko:K03439	vcq:EN18_19300
ko:K01425	vcq:EN18_19305
ko:K02428	vcq:EN18_19315
ko:K09131	vcq:EN18_19325
ko:K02221	vcq:EN18_19330
ko:K00286	vcq:EN18_19335
ko:K06997	vcq:EN18_19340
ko:K02669	vcq:EN18_19345
ko:K02670	vcq:EN18_19350
ko:K01866	vcq:EN18_19360
ko:K07447	vcq:EN18_19365
ko:K07735	vcq:EN18_19370
ko:K01920	vcq:EN18_19375
ko:K09761	vcq:EN18_19380
ko:K01150	vcq:EN18_19385
ko:K02742	vcq:EN18_19390
ko:K00789	vcq:EN18_19395
ko:K00615	vcq:EN18_19405
ko:K16089	vcq:EN18_19415
ko:K03472	vcq:EN18_19420
ko:K00927	vcq:EN18_19425
ko:K01624	vcq:EN18_19435
ko:K03442	vcq:EN18_19445
ko:K06895	vcq:EN18_19450
ko:K05596	vcq:EN18_19455
ko:K09807	vcq:EN18_19460
ko:K00873	vcq:EN18_19465
ko:K00820	vcq:EN18_19475
ko:K03406	vcq:EN18_19535
ko:K03086	vcq:EN18_19555
ko:K09117	vcq:EN18_19565
ko:K02970	vcq:EN18_19570
ko:K01409	vcq:EN18_19575
ko:K01573	vcq:EN18_19750
ko:K01571	vcq:EN18_19755
ko:K01572	vcq:EN18_19760
ko:K07263	vcq:EN18_19775
ko:K01919	vcq:EN18_19780
ko:K07173	vcq:EN18_19785
ko:K03106	vcq:EN18_19800
ko:K02959	vcq:EN18_19805
ko:K02860	vcq:EN18_19810
ko:K00554	vcq:EN18_19815
ko:K02884	vcq:EN18_19820
ko:K04691	vcq:EN18_19825
ko:K09908	vcq:EN18_19835
ko:K06916	vcq:EN18_19840
ko:K02871	vcq:EN18_19845
ko:K02996	vcq:EN18_19850
ko:K00411	vcq:EN18_19855
ko:K00412	vcq:EN18_19860
ko:K00413	vcq:EN18_19865
ko:K03599	vcq:EN18_19870
ko:K03600	vcq:EN18_19875
ko:K12961	vcq:EN18_19885
ko:K07460	vcq:EN18_19890
ko:K07121	vcq:EN18_19895
ko:K07056	vcq:EN18_19900
ko:K00760	vcq:EN18_19910
ko:K03151	vcq:EN18_07815
ko:K03566	vcq:EN18_07825
ko:K01146	vcq:EN18_07835
ko:K06966	vcq:EN18_07840
ko:K00950	vcq:EN18_05925
ko:K15256	vcq:EN18_09135
ko:K01876	vcq:EN18_09145
ko:K01673	vcq:EN18_19915
ko:K03321	vcq:EN18_19920
ko:K01990	vcq:EN18_19925
ko:K01992	vcq:EN18_19930
ko:K01918	vcq:EN18_19935
ko:K03098	vcq:EN18_00285
ko:K09803	vcq:EN18_00360
ko:K09962	vcq:EN18_00570
ko:K03823	vcq:EN18_00605
ko:K03098	vcq:EN18_00665
ko:K07491	vcq:EN18_00900
ko:K00813	vcq:EN18_00995
ko:K01081	vcq:EN18_01145
ko:K05794	vcq:EN18_01150
ko:K06193	vcq:EN18_01160
ko:K00681	vcq:EN18_01205
ko:K00324	vcq:EN18_01230
ko:K00325	vcq:EN18_01235
ko:K03113	vcq:EN18_01270
ko:K01921	vcq:EN18_01280
ko:K16087	vcq:EN18_01300
ko:K10939	vcq:EN18_07595
ko:K03664	vcq:EN18_07610
ko:K09801	vcq:EN18_07620
ko:K06186	vcq:EN18_07625
ko:K03631	vcq:EN18_07630
ko:K00858	vcq:EN18_07635
ko:K03687	vcq:EN18_07640
ko:K04043	vcq:EN18_07645
ko:K03686	vcq:EN18_07650
ko:K02655	vcq:EN18_07655
ko:K01695	vcq:EN18_09160
ko:K01696	vcq:EN18_09165
ko:K13498	vcq:EN18_09170
ko:K00766	vcq:EN18_09175
ko:K01658	vcq:EN18_09180
ko:K01657	vcq:EN18_09185
ko:K07053	vcq:EN18_09195
ko:K06178	vcq:EN18_09205
ko:K16012	vcq:EN18_09210
ko:K16013	vcq:EN18_09215
ko:K00384	vcq:EN18_09220
ko:K03748	vcq:EN18_09240
ko:K00027	vcq:EN18_09250
ko:K01923	vcq:EN18_09260
ko:K07126	vcq:EN18_09275
ko:K01222	vcq:EN18_09710
ko:K03478	vcq:EN18_09715
ko:K03669	vcq:EN18_09725
ko:K03670	vcq:EN18_09730
ko:K03406	vcq:EN18_09735
ko:K02342	vcq:EN18_09740
ko:K07182	vcq:EN18_09745
ko:K00832	vcq:EN18_09750
ko:K00941	vcq:EN18_09765
ko:K01893	vcq:EN18_09770
ko:K03406	vcq:EN18_09775
ko:K01737	vcq:EN18_09780
ko:K01752	vcq:EN18_09785
ko:K03837	vcq:EN18_09790
ko:K01665	vcq:EN18_09800
ko:K06918	vcq:EN18_09815
ko:K08990	vcq:EN18_09820
ko:K03721	vcq:EN18_09825
ko:K03790	vcq:EN18_09830
ko:K11939	vcq:EN18_09840
ko:K03406	vcq:EN18_09850
ko:K14445	vcq:EN18_09855
ko:K00404	vcq:EN18_10435
ko:K12531	vcq:EN18_10455
ko:K12532	vcq:EN18_10460
ko:K12530	vcq:EN18_10465
ko:K09941	vcq:EN18_11290
ko:K12543	vcq:EN18_11300
ko:K13747	vcq:EN18_11310
ko:K00836	vcq:EN18_11320
ko:K03313	vcq:EN18_11325
ko:K02004	vcq:EN18_11335
ko:K02003	vcq:EN18_11340
ko:K07552	vcq:EN18_11360
ko:K06183	vcq:EN18_11365
ko:K02897	vcq:EN18_11390
ko:K03406	vcq:EN18_11410
ko:K07025	vcq:EN18_11420
ko:K03517	vcq:EN18_12295
ko:K03640	vcq:EN18_12305
ko:K03641	vcq:EN18_12310
ko:K03560	vcq:EN18_12320
ko:K03562	vcq:EN18_12325
ko:K07107	vcq:EN18_12330
ko:K00426	vcq:EN18_12345
ko:K00425	vcq:EN18_12350
ko:K03551	vcq:EN18_12355
ko:K03550	vcq:EN18_12360
ko:K01159	vcq:EN18_12365
ko:K01883	vcq:EN18_12370
ko:K03768	vcq:EN18_12375
ko:K03269	vcq:EN18_12380
ko:K09858	vcq:EN18_12390
ko:K07090	vcq:EN18_12410
ko:K04067	vcq:EN18_12415
ko:K03412	vcq:EN18_13415
ko:K03407	vcq:EN18_13420
ko:K03414	vcq:EN18_13425
ko:K03413	vcq:EN18_13430
ko:K02405	vcq:EN18_13435
ko:K04562	vcq:EN18_13440
ko:K02404	vcq:EN18_13445
ko:K02400	vcq:EN18_13450
ko:K08296	vcq:EN18_13455
ko:K09907	vcq:EN18_13465
ko:K01887	vcq:EN18_13470
ko:K04759	vcq:EN18_13485
ko:K04758	vcq:EN18_13490
ko:K09815	vcq:EN18_13500
ko:K09817	vcq:EN18_13505
ko:K01902	vcq:EN18_13515
ko:K01903	vcq:EN18_13520
ko:K00658	vcq:EN18_13525
ko:K00164	vcq:EN18_13530
ko:K00240	vcq:EN18_13535
ko:K00239	vcq:EN18_13540
ko:K00242	vcq:EN18_13545
ko:K02426	vcq:EN18_14640
ko:K08304	vcq:EN18_14650
ko:K14682	vcq:EN18_14660
ko:K03581	vcq:EN18_14675
ko:K03582	vcq:EN18_14680
ko:K03583	vcq:EN18_14685
ko:K09918	vcq:EN18_14700
ko:K00674	vcq:EN18_14705
ko:K07234	vcq:EN18_14710
ko:K16074	vcq:EN18_14730
ko:K06878	vcq:EN18_14740
ko:K02529	vcq:EN18_14745
ko:K01190	vcq:EN18_14750
ko:K07240	vcq:EN18_14755
ko:K02355	vcq:EN18_14770
ko:K04485	vcq:EN18_14775
ko:K01079	vcq:EN18_14785
ko:K07186	vcq:EN18_14790
ko:K02906	vcq:EN18_16015
ko:K02946	vcq:EN18_16020
ko:K03218	vcq:EN18_16025
ko:K12573	vcq:EN18_16030
ko:K07014	vcq:EN18_16035
ko:K01939	vcq:EN18_16045
ko:K13051	vcq:EN18_16050
ko:K03775	vcq:EN18_16055
ko:K07070	vcq:EN18_16060
ko:K11747	vcq:EN18_16065
ko:K06158	vcq:EN18_16075
ko:K07019	vcq:EN18_16085
ko:K09898	vcq:EN18_16090
ko:K00855	vcq:EN18_16095
ko:K10914	vcq:EN18_16100
ko:K06447	vcq:EN18_16110
ko:K02402	vcq:EN18_06675
ko:K02403	vcq:EN18_06680
ko:K02837	vcq:EN18_06710
ko:K05590	vcq:EN18_06715
ko:K15460	vcq:EN18_06720
ko:K03311	vcq:EN18_06725
ko:K02836	vcq:EN18_06730
ko:K04567	vcq:EN18_06735
ko:K03573	vcq:EN18_06755
ko:K08311	vcq:EN18_06765
ko:K08484	vcq:EN18_06770
ko:K07090	vcq:EN18_06775
ko:K13292	vcq:EN18_06780
ko:K14683	vcq:EN18_06790
ko:K09895	vcq:EN18_15415
ko:K00052	vcq:EN18_15480
ko:K01703	vcq:EN18_15485
ko:K01704	vcq:EN18_15490
ko:K11720	vcq:EN18_15550
ko:K07091	vcq:EN18_15555
ko:K01255	vcq:EN18_15560
ko:K02339	vcq:EN18_15565
ko:K01873	vcq:EN18_15570
ko:K00018	vcq:EN18_15575
ko:K06177	vcq:EN18_15580
ko:K03580	vcq:EN18_15585
ko:K07175	vcq:EN18_15595
ko:K00611	vcq:EN18_15600
ko:K00609	vcq:EN18_15610
ko:K00610	vcq:EN18_15615
ko:K08316	vcq:EN18_16845
ko:K08993	vcq:EN18_16850
ko:K04047	vcq:EN18_16880
ko:K05834	vcq:EN18_16890
ko:K01048	vcq:EN18_16895
ko:K08985	vcq:EN18_16905
ko:K03733	vcq:EN18_16925
ko:K09921	vcq:EN18_16930
ko:K01778	vcq:EN18_16935
ko:K01586	vcq:EN18_16940
ko:K05851	vcq:EN18_16955
ko:K01749	vcq:EN18_16965
ko:K01719	vcq:EN18_16970
ko:K02496	vcq:EN18_16975
ko:K02498	vcq:EN18_16980
ko:K09894	vcq:EN18_16995
ko:K05368	vcq:EN18_18415
ko:K00998	vcq:EN18_18450
ko:K00075	vcq:EN18_18460
ko:K03524	vcq:EN18_18465
ko:K00867	vcq:EN18_18470
ko:K02358	vcq:EN18_18495
ko:K03073	vcq:EN18_18500
ko:K02601	vcq:EN18_18505
ko:K02867	vcq:EN18_18510
ko:K02863	vcq:EN18_18515
ko:K02864	vcq:EN18_18520
ko:K02935	vcq:EN18_18525
ko:K03043	vcq:EN18_18530
ko:K03046	vcq:EN18_18535
ko:K07740	vcq:EN18_18540
ko:K03426	vcq:EN18_18545
ko:K01599	vcq:EN18_18550
ko:K03406	vcq:EN18_00070
ko:K07258	vcq:EN18_00080
ko:K01674	vcq:EN18_00095
ko:K07491	vcq:EN18_00100
ko:K00281	vcq:EN18_00105
ko:K02437	vcq:EN18_00110
ko:K00600	vcq:EN18_00115
ko:K00605	vcq:EN18_00125
ko:K01868	vcq:EN18_00160
ko:K02520	vcq:EN18_00165
ko:K02916	vcq:EN18_00170
ko:K02887	vcq:EN18_00175
ko:K06996	vcq:EN18_00385
ko:K09702	vcq:EN18_00415
ko:K03098	vcq:EN18_00440
ko:K07726	vcq:EN18_00780
ko:K07341	vcq:EN18_00810
ko:K00673	vcq:EN18_16115
ko:K01664	vcq:EN18_16125
ko:K14441	vcq:EN18_16130
ko:K07004	vcq:EN18_16135
ko:K02030	vcq:EN18_16140
ko:K01867	vcq:EN18_16145
ko:K01091	vcq:EN18_16150
ko:K02116	vcq:EN18_17560
ko:K02108	vcq:EN18_17565
ko:K02110	vcq:EN18_17570
ko:K02109	vcq:EN18_17575
ko:K02113	vcq:EN18_17580
ko:K02111	vcq:EN18_17585
ko:K02115	vcq:EN18_17590
ko:K02112	vcq:EN18_17595
ko:K02114	vcq:EN18_17600
ko:K04042	vcq:EN18_17605
ko:K01825	vcq:EN18_17625
ko:K03498	vcq:EN18_17635
ko:K00230	vcq:EN18_17640
ko:K02521	vcq:EN18_17685
ko:K00053	vcq:EN18_17690
ko:K09806	vcq:EN18_17695
ko:K18138	vcq:EN18_17700
ko:K02769	vcq:EN18_01005
ko:K02770	vcq:EN18_01005
ko:K00882	vcq:EN18_01010
ko:K02768	vcq:EN18_01015
ko:K11183	vcq:EN18_01015
ko:K03435	vcq:EN18_01020
ko:K03547	vcq:EN18_01025
ko:K03281	vcq:EN18_01050
ko:K14540	vcq:EN18_01060
ko:K03549	vcq:EN18_01065
ko:K03737	vcq:EN18_01070
ko:K07646	vcq:EN18_01075
ko:K07667	vcq:EN18_01080
