ko:K11741	rag:B739_1543
ko:K06142	rag:B739_0832
ko:K07107	rag:B739_0833
ko:K00067	rag:B739_0834
ko:K00615	rag:B739_1704
ko:K07127	rag:B739_1705
ko:K00615	rag:B739_1721
ko:K12257	rag:B739_1724
ko:K01265	rag:B739_1726
ko:K08281	rag:B739_1729
ko:K01892	rag:B739_1730
ko:K02517	rag:B739_1733
ko:K00573	rag:B739_1746
ko:K00658	rag:B739_1747
ko:K01029	rag:B739_1748
ko:K01028	rag:B739_1749
ko:K00252	rag:B739_1751
ko:K02470	rag:B739_1758
ko:K02469	rag:B739_1760
ko:K05592	rag:B739_1765
ko:K03437	rag:B739_0493
ko:K03782	rag:B739_0495
ko:K06940	rag:B739_0496
ko:K11717	rag:B739_0498
ko:K01880	rag:B739_0499
ko:K01640	rag:B739_0500
ko:K01676	rag:B739_0503
ko:K02492	rag:B739_0511
ko:K00451	rag:B739_0325
ko:K01893	rag:B739_0327
ko:K03092	rag:B739_0328
ko:K02437	rag:B739_0340
ko:K01633	rag:B739_0341
ko:K03517	rag:B739_0342
ko:K00942	rag:B739_0343
ko:K15866	rag:B739_0345
ko:K00761	rag:B739_0346
ko:K15738	rag:B739_0348
ko:K03046	rag:B739_0351
ko:K03043	rag:B739_0352
ko:K02935	rag:B739_0357
ko:K02864	rag:B739_0358
ko:K02863	rag:B739_0359
ko:K02867	rag:B739_0360
ko:K02601	rag:B739_0361
ko:K02358	rag:B739_0363
ko:K05808	rag:B739_0365
ko:K03733	rag:B739_0366
ko:K02970	rag:B739_0367
ko:K06180	rag:B739_0370
ko:K00606	rag:B739_0372
ko:K02065	rag:B739_1241
ko:K02066	rag:B739_1242
ko:K02860	rag:B739_1245
ko:K02959	rag:B739_1246
ko:K01698	rag:B739_1248
ko:K01776	rag:B739_1249
ko:K00604	rag:B739_1250
ko:K03654	rag:B739_1251
ko:K00024	rag:B739_1252
ko:K00962	rag:B739_1254
ko:K02956	rag:B739_1255
ko:K02337	rag:B739_1256
ko:K01448	rag:B739_1283
ko:K03760	rag:B739_2169
ko:K06925	rag:B739_2173
ko:K00259	rag:B739_2174
ko:K07478	rag:B739_2182
ko:K08998	rag:B739_2183
ko:K03282	rag:B739_2185
ko:K06997	rag:B739_2186
ko:K03327	rag:B739_2188
ko:K02836	rag:B739_2189
ko:K03975	rag:B739_2190
ko:K01358	rag:B739_2192
ko:K01749	rag:B739_0512
ko:K01599	rag:B739_0514
ko:K07341	rag:B739_0520
ko:K06975	rag:B739_0521
ko:K16089	rag:B739_0523
ko:K02527	rag:B739_0524
ko:K02557	rag:B739_0528
ko:K05837	rag:B739_0529
ko:K05515	rag:B739_0530
ko:K03570	rag:B739_0532
ko:K03569	rag:B739_0533
ko:K03977	rag:B739_0534
ko:K03070	rag:B739_0543
ko:K05807	rag:B739_0546
ko:K13038	rag:B739_0548
ko:K01524	rag:B739_1414
ko:K16089	rag:B739_1416
ko:K01154	rag:B739_1419
ko:K09808	rag:B739_1432
ko:K02834	rag:B739_1433
ko:K03088	rag:B739_1450
ko:K03644	rag:B739_1451
ko:K01736	rag:B739_1457
ko:K07090	rag:B739_1462
ko:K03168	rag:B739_0662
ko:K03110	rag:B739_0664
ko:K01338	rag:B739_0837
ko:K03978	rag:B739_0840
ko:K03925	rag:B739_0842
ko:K03438	rag:B739_0843
ko:K03587	rag:B739_0845
ko:K01928	rag:B739_0846
ko:K01000	rag:B739_0847
ko:K01925	rag:B739_0848
ko:K03588	rag:B739_0849
ko:K02563	rag:B739_0850
ko:K01924	rag:B739_0851
ko:K03589	rag:B739_0852
ko:K03590	rag:B739_0853
ko:K03531	rag:B739_0854
ko:K03664	rag:B739_0860
ko:K07397	rag:B739_0863
ko:K02835	rag:B739_0864
ko:K06958	rag:B739_0865
ko:K01586	rag:B739_0867
ko:K02914	rag:B739_0880
ko:K09812	rag:B739_0881
ko:K00793	rag:B739_0884
ko:K00097	rag:B739_0885
ko:K02911	rag:B739_0887
ko:K02160	rag:B739_0888
ko:K01961	rag:B739_0889
ko:K01895	rag:B739_1769
ko:K07444	rag:B739_1770
ko:K03623	rag:B739_1772
ko:K01284	rag:B739_1773
ko:K02548	rag:B739_1779
ko:K01661	rag:B739_1780
ko:K07090	rag:B739_1782
ko:K15726	rag:B739_1785
ko:K03801	rag:B739_1789
ko:K07038	rag:B739_1795
ko:K02945	rag:B739_1801
ko:K03701	rag:B739_1803
ko:K00602	rag:B739_1804
ko:K09861	rag:B739_1808
ko:K02493	rag:B739_1809
ko:K00556	rag:B739_1810
ko:K03106	rag:B739_1811
ko:K01803	rag:B739_1823
ko:K02913	rag:B739_0666
ko:K02902	rag:B739_0667
ko:K01354	rag:B739_0668
ko:K00794	rag:B739_0674
ko:K00759	rag:B739_0676
ko:K00185	rag:B739_0681
ko:K05366	rag:B739_0692
ko:K03786	rag:B739_0695
ko:K03797	rag:B739_0700
ko:K03787	rag:B739_0702
ko:K02426	rag:B739_0705
ko:K03696	rag:B739_0707
ko:K01808	rag:B739_0711
ko:K12573	rag:B739_0712
ko:K07056	rag:B739_0718
ko:K01775	rag:B739_0721
ko:K03147	rag:B739_1588
ko:K03154	rag:B739_1589
ko:K01778	rag:B739_1590
ko:K07082	rag:B739_1591
ko:K03584	rag:B739_1597
ko:K02108	rag:B739_1602
ko:K02110	rag:B739_1603
ko:K02109	rag:B739_1604
ko:K02113	rag:B739_1605
ko:K02111	rag:B739_1606
ko:K02115	rag:B739_1607
ko:K06891	rag:B739_1609
ko:K00164	rag:B739_1611
ko:K00658	rag:B739_1612
ko:K03885	rag:B739_1613
ko:K00554	rag:B739_1614
ko:K03629	rag:B739_1617
ko:K07164	rag:B739_1621
ko:K10716	rag:B739_1623
ko:K02837	rag:B739_1624
ko:K08325	rag:B739_1627
ko:K11927	rag:B739_1629
ko:K01874	rag:B739_1631
ko:K01756	rag:B739_1633
ko:K02016	rag:B739_1634
ko:K15862	rag:B739_0376
ko:K00406	rag:B739_0378
ko:K09792	rag:B739_0381
ko:K00012	rag:B739_0382
ko:K07501	rag:B739_0384
ko:K02871	rag:B739_0386
ko:K02996	rag:B739_0387
ko:K02967	rag:B739_0388
ko:K01083	rag:B739_0390
ko:K03628	rag:B739_0394
ko:K00029	rag:B739_0401
ko:K00655	rag:B739_0408
ko:K02429	rag:B739_0409
ko:K03116	rag:B739_0420
ko:K00973	rag:B739_0424
ko:K00928	rag:B739_1317
ko:K03841	rag:B739_1318
ko:K06885	rag:B739_1320
ko:K02536	rag:B739_1321
ko:K16363	rag:B739_1322
ko:K00677	rag:B739_1323
ko:K02356	rag:B739_1324
ko:K02536	rag:B739_1325
ko:K01902	rag:B739_1326
ko:K01256	rag:B739_1328
ko:K01142	rag:B739_1338
ko:K03642	rag:B739_1339
ko:K03545	rag:B739_1340
ko:K00850	rag:B739_1344
ko:K00134	rag:B739_1345
ko:K00162	rag:B739_1350
ko:K06959	rag:B739_1351
ko:K07456	rag:B739_1352
ko:K06966	rag:B739_0550
ko:K03424	rag:B739_0553
ko:K03536	rag:B739_0555
ko:K06168	rag:B739_0560
ko:K07107	rag:B739_0563
ko:K00946	rag:B739_0564
ko:K01012	rag:B739_0566
ko:K03631	rag:B739_0569
ko:K06915	rag:B739_0571
ko:K07090	rag:B739_0573
ko:K03671	rag:B739_0578
ko:K00645	rag:B739_0579
ko:K02519	rag:B739_0585
ko:K02600	rag:B739_0586
ko:K09748	rag:B739_0587
ko:K11754	rag:B739_0589
ko:K00684	rag:B739_0593
ko:K04759	rag:B739_0594
ko:K04758	rag:B739_0595
ko:K00566	rag:B739_0597
ko:K03665	rag:B739_0598
ko:K07735	rag:B739_1479
ko:K00275	rag:B739_1480
ko:K03530	rag:B739_1483
ko:K01579	rag:B739_1484
ko:K00945	rag:B739_1487
ko:K00796	rag:B739_1488
ko:K03630	rag:B739_1494
ko:K02343	rag:B739_1498
ko:K03437	rag:B739_1502
ko:K00549	rag:B739_1504
ko:K07220	rag:B739_1506
ko:K03306	rag:B739_1507
ko:K02523	rag:B739_1513
ko:K06193	rag:B739_1518
ko:K03655	rag:B739_1520
ko:K04762	rag:B739_1522
ko:K00891	rag:B739_1523
ko:K00788	rag:B739_1530
ko:K13789	rag:B739_1532
ko:K01480	rag:B739_0160
ko:K01585	rag:B739_0161
ko:K00949	rag:B739_0162
ko:K00380	rag:B739_0177
ko:K01243	rag:B739_0194
ko:K07273	rag:B739_1069
ko:K03593	rag:B739_1073
ko:K02371	rag:B739_1083
ko:K09952	rag:B739_1085
ko:K02238	rag:B739_1095
ko:K00241	rag:B739_1096
ko:K01156	rag:B739_2007
ko:K07316	rag:B739_2008
ko:K03386	rag:B739_2018
ko:K00939	rag:B739_2049
ko:K07052	rag:B739_2052
ko:K02428	rag:B739_2053
ko:K01719	rag:B739_0669
ko:K07054	rag:B739_0673
ko:K00059	rag:B739_0717
ko:K00567	rag:B739_1593
ko:K01081	rag:B739_1595
ko:K13628	rag:B739_0759
ko:K03748	rag:B739_0761
ko:K02619	rag:B739_0773
ko:K02342	rag:B739_1647
ko:K01784	rag:B739_1690
ko:K02348	rag:B739_0839
ko:K01113	rag:B739_0874
ko:K15460	rag:B739_0882
ko:K00819	rag:B739_0890
ko:K15727	rag:B739_1783
ko:K08738	rag:B739_1788
ko:K01372	rag:B739_1791
ko:K07304	rag:B739_0838
ko:K01258	rag:B739_0501
ko:K01719	rag:B739_0513
ko:K00845	rag:B739_0535
ko:K02014	rag:B739_0541
ko:K02342	rag:B739_1426
ko:K07386	rag:B739_1428
ko:K01077	rag:B739_1430
ko:K02428	rag:B739_0206
ko:K07658	rag:B739_0215
ko:K01916	rag:B739_0242
ko:K03711	rag:B739_0252
ko:K02014	rag:B739_0262
ko:K01278	rag:B739_1146
ko:K00294	rag:B739_1179
ko:K00784	rag:B739_2054
ko:K00616	rag:B739_2068
ko:K07098	rag:B739_2077
ko:K03709	rag:B739_2096
ko:K01409	rag:B739_2107
ko:K03718	rag:B739_2109
ko:K11085	rag:B739_0396
ko:K00088	rag:B739_0397
ko:K02014	rag:B739_1343
ko:K02067	rag:B739_0898
ko:K00058	rag:B739_0299
ko:K00054	rag:B739_0303
ko:K00845	rag:B739_0320
ko:K01262	rag:B739_1183
ko:K00626	rag:B739_1184
ko:K06902	rag:B739_1185
ko:K00852	rag:B739_1188
ko:K03783	rag:B739_1220
ko:K03469	rag:B739_1222
ko:K08234	rag:B739_1235
ko:K01597	rag:B739_1236
ko:K01104	rag:B739_2113
ko:K03177	rag:B739_2123
ko:K02014	rag:B739_2148
ko:K01715	rag:B739_0452
ko:K04763	rag:B739_0454
ko:K03286	rag:B739_1396
ko:K03286	rag:B739_1397
ko:K02014	rag:B739_0329
ko:K02014	rag:B739_0349
ko:K03932	rag:B739_0356
ko:K03606	rag:B739_1243
ko:K04517	rag:B739_2176
ko:K03499	rag:B739_2178
ko:K07052	rag:B739_0001
ko:K06910	rag:B739_0005
ko:K00135	rag:B739_0915
ko:K01934	rag:B739_0924
ko:K05337	rag:B739_0925
ko:K07305	rag:B739_0803
ko:K04518	rag:B739_1725
ko:K01489	rag:B739_1738
ko:K01259	rag:B739_1742
ko:K05794	rag:B739_1744
ko:K00652	rag:B739_0058
ko:K00548	rag:B739_0061
ko:K00548	rag:B739_0063
ko:K05595	rag:B739_0075
ko:K07114	rag:B739_0078
ko:K07114	rag:B739_0079
ko:K01823	rag:B739_1912
ko:K00058	rag:B739_1925
ko:K03442	rag:B739_1927
ko:K00674	rag:B739_1934
ko:K01297	rag:B739_0620
ko:K07025	rag:B739_0623
ko:K00721	rag:B739_0649
ko:K00639	rag:B739_1546
ko:K01424	rag:B739_1567
ko:K03748	rag:B739_1577
ko:K00869	rag:B739_1578
ko:K03294	rag:B739_0106
ko:K01619	rag:B739_0111
ko:K01077	rag:B739_0117
ko:K01278	rag:B739_0143
ko:K01885	rag:B739_1030
ko:K01322	rag:B739_1036
ko:K02342	rag:B739_0570
ko:K01011	rag:B739_0602
ko:K01270	rag:B739_1478
ko:K07027	rag:B739_1485
ko:K01507	rag:B739_1497
ko:K04516	rag:B739_1500
ko:K00639	rag:B739_1517
ko:K19222	rag:B739_0167
ko:K01155	rag:B739_0012
ko:K11720	rag:B739_0646
ko:K14218	rag:B739_2260
ko:K14226	rag:B739_2241
ko:K14228	rag:B739_2267
ko:K14228	rag:B739_2265
ko:K14223	rag:B739_2235
ko:K01985	rag:B739_2216
ko:K01985	rag:B739_2230
ko:K01985	rag:B739_2233
ko:K14227	rag:B739_2239
ko:K14227	rag:B739_2245
ko:K14227	rag:B739_2273
ko:K01977	rag:B739_2218
ko:K01977	rag:B739_2219
ko:K01977	rag:B739_2231
ko:K14235	rag:B739_2272
ko:K14234	rag:B739_2271
ko:K14234	rag:B739_2268
ko:K14225	rag:B739_2270
ko:K14236	rag:B739_2269
ko:K14237	rag:B739_2237
ko:K14225	rag:B739_2266
ko:K14224	rag:B739_2242
ko:K14224	rag:B739_2243
ko:K14222	rag:B739_2244
ko:K14231	rag:B739_2264
ko:K14230	rag:B739_2250
ko:K14230	rag:B739_2261
ko:K14233	rag:B739_2247
ko:K14233	rag:B739_2262
ko:K14232	rag:B739_2248
ko:K14219	rag:B739_2257
ko:K14219	rag:B739_2259
ko:K14228	rag:B739_2253
ko:K14233	rag:B739_2258
ko:K14228	rag:B739_2234
ko:K14220	rag:B739_2238
ko:K14219	rag:B739_2249
ko:K14221	rag:B739_2255
ko:K14221	rag:B739_2256
ko:K09810	rag:B739_1493
ko:K07318	rag:B739_1180
ko:K03559	rag:B739_0951
ko:K00951	rag:B739_1862
ko:K14229	rag:B739_2252
ko:K14229	rag:B739_2254
ko:K07091	rag:B739_1947
ko:K17103	rag:B739_1427
ko:K00184	rag:B739_0682
ko:K10947	rag:B739_0170
ko:K01992	rag:B739_1213
ko:K01990	rag:B739_1212
