ko:K01991	bsv:BSVBI22_B0413
ko:K02007	bsv:BSVBI22_A1360
ko:K06199	bsv:BSVBI22_A1365
ko:K00053	bsv:BSVBI22_A1374
ko:K03549	bsv:BSVBI22_A1377
ko:K00789	bsv:BSVBI22_A2156
ko:K03439	bsv:BSVBI22_A2157
ko:K09748	bsv:BSVBI22_A2158
ko:K02600	bsv:BSVBI22_A2159
ko:K07742	bsv:BSVBI22_A2160
ko:K02519	bsv:BSVBI22_A2161
ko:K02834	bsv:BSVBI22_A2162
ko:K02956	bsv:BSVBI22_A2164
ko:K00962	bsv:BSVBI22_A2165
ko:K00208	bsv:BSVBI22_A2167
ko:K01716	bsv:BSVBI22_A2169
ko:K09826	bsv:BSVBI22_A2170
ko:K02073	bsv:BSVBI22_A2171
ko:K01255	bsv:BSVBI22_A2177
ko:K02968	bsv:BSVBI22_A2181
ko:K02057	bsv:BSVBI22_B0007
ko:K02057	bsv:BSVBI22_B0008
ko:K07335	bsv:BSVBI22_B0010
ko:K02362	bsv:BSVBI22_B0012
ko:K00216	bsv:BSVBI22_B0013
ko:K01252	bsv:BSVBI22_B0014
ko:K02363	bsv:BSVBI22_B0015
ko:K02361	bsv:BSVBI22_B0016
ko:K02364	bsv:BSVBI22_B0017
ko:K03088	bsv:BSVBI22_B0021
ko:K01999	bsv:BSVBI22_B0024
ko:K01997	bsv:BSVBI22_B0025
ko:K01998	bsv:BSVBI22_B0026
ko:K00036	bsv:BSVBI22_B0770
ko:K01057	bsv:BSVBI22_B0771
ko:K01491	bsv:BSVBI22_B0773
ko:K00286	bsv:BSVBI22_B0774
ko:K02034	bsv:BSVBI22_B0776
ko:K01673	bsv:BSVBI22_B0780
ko:K04566	bsv:BSVBI22_B0782
ko:K10824	bsv:BSVBI22_B0792
ko:K15587	bsv:BSVBI22_B0793
ko:K15586	bsv:BSVBI22_B0794
ko:K15585	bsv:BSVBI22_B0795
ko:K15584	bsv:BSVBI22_B0796
ko:K07722	bsv:BSVBI22_B0797
ko:K02053	bsv:BSVBI22_B0799
ko:K01812	bsv:BSVBI22_B0804
ko:K01686	bsv:BSVBI22_B0806
ko:K06199	bsv:BSVBI22_B0809
ko:K12995	bsv:BSVBI22_A0536
ko:K10441	bsv:BSVBI22_A0538
ko:K01805	bsv:BSVBI22_A0543
ko:K02529	bsv:BSVBI22_A0545
ko:K02167	bsv:BSVBI22_A0550
ko:K07341	bsv:BSVBI22_A0553
ko:K03284	bsv:BSVBI22_A0555
ko:K03449	bsv:BSVBI22_A0557
ko:K06915	bsv:BSVBI22_A0559
ko:K04564	bsv:BSVBI22_A0562
ko:K01354	bsv:BSVBI22_A0564
ko:K02426	bsv:BSVBI22_A0570
ko:K11357	bsv:BSVBI22_A0573
ko:K05366	bsv:BSVBI22_A0579
ko:K03474	bsv:BSVBI22_A1379
ko:K01653	bsv:BSVBI22_A1382
ko:K01652	bsv:BSVBI22_A1383
ko:K00791	bsv:BSVBI22_A1384
ko:K01079	bsv:BSVBI22_A1385
ko:K07007	bsv:BSVBI22_A1386
ko:K09937	bsv:BSVBI22_A1389
ko:K04087	bsv:BSVBI22_A1390
ko:K04088	bsv:BSVBI22_A1391
ko:K07552	bsv:BSVBI22_A1395
ko:K09985	bsv:BSVBI22_A1398
ko:K03657	bsv:BSVBI22_A1407
ko:K05805	bsv:BSVBI22_A1408
ko:K07152	bsv:BSVBI22_A1410
ko:K02687	bsv:BSVBI22_A1411
ko:K01972	bsv:BSVBI22_A1414
ko:K03631	bsv:BSVBI22_A1415
ko:K05807	bsv:BSVBI22_A1416
ko:K02535	bsv:BSVBI22_A1418
ko:K03531	bsv:BSVBI22_A1419
ko:K03590	bsv:BSVBI22_A1420
ko:K03589	bsv:BSVBI22_A1421
ko:K01921	bsv:BSVBI22_A1422
ko:K00075	bsv:BSVBI22_A1423
ko:K01924	bsv:BSVBI22_A1424
ko:K02563	bsv:BSVBI22_A1425
ko:K03588	bsv:BSVBI22_A1426
ko:K01925	bsv:BSVBI22_A1427
ko:K01000	bsv:BSVBI22_A1428
ko:K01995	bsv:BSVBI22_B0027
ko:K01996	bsv:BSVBI22_B0028
ko:K11381	bsv:BSVBI22_B0032
ko:K00627	bsv:BSVBI22_B0033
ko:K00014	bsv:BSVBI22_B0034
ko:K01531	bsv:BSVBI22_B0037
ko:K07507	bsv:BSVBI22_B0040
ko:K13589	bsv:BSVBI22_B0043
ko:K04080	bsv:BSVBI22_B0051
ko:K01620	bsv:BSVBI22_B0052
ko:K00266	bsv:BSVBI22_B0055
ko:K11737	bsv:BSVBI22_B0056
ko:K09795	bsv:BSVBI22_B0057
ko:K02299	bsv:BSVBI22_A0044
ko:K02300	bsv:BSVBI22_A0045
ko:K07278	bsv:BSVBI22_A0048
ko:K09800	bsv:BSVBI22_A0049
ko:K11068	bsv:BSVBI22_A0068
ko:K14161	bsv:BSVBI22_A0070
ko:K14160	bsv:BSVBI22_A0071
ko:K01940	bsv:BSVBI22_A0074
ko:K06941	bsv:BSVBI22_A0077
ko:K01975	bsv:BSVBI22_A0084
ko:K02003	bsv:BSVBI22_A0086
ko:K06890	bsv:BSVBI22_A0088
ko:K03823	bsv:BSVBI22_A0089
ko:K01681	bsv:BSVBI22_A0093
ko:K02194	bsv:BSVBI22_A0095
ko:K02195	bsv:BSVBI22_A0096
ko:K02199	bsv:BSVBI22_A0098
ko:K01687	bsv:BSVBI22_A0099
ko:K01448	bsv:BSVBI22_A0911
ko:K05366	bsv:BSVBI22_A0912
ko:K03564	bsv:BSVBI22_A0920
ko:K01866	bsv:BSVBI22_A0922
ko:K09001	bsv:BSVBI22_A0923
ko:K07018	bsv:BSVBI22_A0925
ko:K04487	bsv:BSVBI22_A0926
ko:K09014	bsv:BSVBI22_A0927
ko:K09013	bsv:BSVBI22_A0928
ko:K09015	bsv:BSVBI22_A0929
ko:K11717	bsv:BSVBI22_A0930
ko:K00858	bsv:BSVBI22_A0933
ko:K00573	bsv:BSVBI22_A0940
ko:K09991	bsv:BSVBI22_A0942
ko:K01873	bsv:BSVBI22_A0944
ko:K02029	bsv:BSVBI22_A0948
ko:K02029	bsv:BSVBI22_A0949
ko:K03753	bsv:BSVBI22_A0952
ko:K03752	bsv:BSVBI22_A0953
ko:K03639	bsv:BSVBI22_A0954
ko:K01676	bsv:BSVBI22_A0957
ko:K01589	bsv:BSVBI22_A1741
ko:K02919	bsv:BSVBI22_A1742
ko:K00873	bsv:BSVBI22_A1744
ko:K15738	bsv:BSVBI22_A1749
ko:K02064	bsv:BSVBI22_A1753
ko:K02063	bsv:BSVBI22_A1754
ko:K03089	bsv:BSVBI22_A1759
ko:K07736	bsv:BSVBI22_A1762
ko:K04762	bsv:BSVBI22_A1765
ko:K02911	bsv:BSVBI22_A1771
ko:K03814	bsv:BSVBI22_A1772
ko:K00795	bsv:BSVBI22_A1773
ko:K00019	bsv:BSVBI22_A1775
ko:K01999	bsv:BSVBI22_A1778
ko:K01999	bsv:BSVBI22_A1781
ko:K01995	bsv:BSVBI22_A1785
ko:K01998	bsv:BSVBI22_A1786
ko:K01997	bsv:BSVBI22_A1787
ko:K12658	bsv:BSVBI22_A1788
ko:K00925	bsv:BSVBI22_B0382
ko:K01999	bsv:BSVBI22_B0388
ko:K01997	bsv:BSVBI22_B0389
ko:K01996	bsv:BSVBI22_B0391
ko:K00014	bsv:BSVBI22_B0393
ko:K01999	bsv:BSVBI22_B0396
ko:K01714	bsv:BSVBI22_B0402
ko:K02034	bsv:BSVBI22_B0403
ko:K02377	bsv:BSVBI22_B0414
ko:K01711	bsv:BSVBI22_B0415
ko:K03818	bsv:BSVBI22_B0420
ko:K02509	bsv:BSVBI22_B1148
ko:K01999	bsv:BSVBI22_B1163
ko:K01997	bsv:BSVBI22_B1164
ko:K01995	bsv:BSVBI22_B1165
ko:K01998	bsv:BSVBI22_B1165
ko:K01996	bsv:BSVBI22_B1166
ko:K07090	bsv:BSVBI22_B1168
ko:K03710	bsv:BSVBI22_B1169
ko:K01999	bsv:BSVBI22_B1183
ko:K01997	bsv:BSVBI22_B1184
ko:K01995	bsv:BSVBI22_B1186
ko:K00963	bsv:BSVBI22_B0071
ko:K07340	bsv:BSVBI22_B0074
ko:K01772	bsv:BSVBI22_B0076
ko:K06199	bsv:BSVBI22_B0810
ko:K13582	bsv:BSVBI22_B0814
ko:K07090	bsv:BSVBI22_B0815
ko:K06953	bsv:BSVBI22_B0817
ko:K03724	bsv:BSVBI22_B0818
ko:K00459	bsv:BSVBI22_B0823
ko:K03427	bsv:BSVBI22_B0832
ko:K01154	bsv:BSVBI22_B0833
ko:K01153	bsv:BSVBI22_B0834
ko:K07043	bsv:BSVBI22_B0835
ko:K02048	bsv:BSVBI22_A0107
ko:K02046	bsv:BSVBI22_A0108
ko:K02047	bsv:BSVBI22_A0109
ko:K02045	bsv:BSVBI22_A0110
ko:K13688	bsv:BSVBI22_A0111
ko:K00763	bsv:BSVBI22_A0112
ko:K00847	bsv:BSVBI22_A0115
ko:K03684	bsv:BSVBI22_A0120
ko:K05592	bsv:BSVBI22_A0124
ko:K02470	bsv:BSVBI22_A0125
ko:K01070	bsv:BSVBI22_A0127
ko:K15011	bsv:BSVBI22_A0133
ko:K15012	bsv:BSVBI22_A0137
ko:K01867	bsv:BSVBI22_A0142
ko:K03980	bsv:BSVBI22_A0143
ko:K00990	bsv:BSVBI22_A0144
ko:K03555	bsv:BSVBI22_A0147
ko:K03101	bsv:BSVBI22_A0149
ko:K03437	bsv:BSVBI22_A0150
ko:K06969	bsv:BSVBI22_A0151
ko:K05788	bsv:BSVBI22_A0153
ko:K04773	bsv:BSVBI22_A0154
ko:K09803	bsv:BSVBI22_A0971
ko:K03642	bsv:BSVBI22_A0986
ko:K00943	bsv:BSVBI22_A0988
ko:K02341	bsv:BSVBI22_A0989
ko:K01874	bsv:BSVBI22_A0991
ko:K03424	bsv:BSVBI22_A0992
ko:K06167	bsv:BSVBI22_A0993
ko:K01091	bsv:BSVBI22_A0998
ko:K01915	bsv:BSVBI22_A1000
ko:K04751	bsv:BSVBI22_A1001
ko:K01091	bsv:BSVBI22_A1004
ko:K01807	bsv:BSVBI22_A1006
ko:K09924	bsv:BSVBI22_A1007
ko:K01626	bsv:BSVBI22_A1009
ko:K00901	bsv:BSVBI22_A1010
ko:K00029	bsv:BSVBI22_A1013
ko:K02066	bsv:BSVBI22_A1015
ko:K02065	bsv:BSVBI22_A1016
ko:K02114	bsv:BSVBI22_A1794
ko:K02112	bsv:BSVBI22_A1795
ko:K02115	bsv:BSVBI22_A1796
ko:K02111	bsv:BSVBI22_A1797
ko:K02113	bsv:BSVBI22_A1798
ko:K04066	bsv:BSVBI22_A1800
ko:K03643	bsv:BSVBI22_A1802
ko:K01869	bsv:BSVBI22_A1803
ko:K06997	bsv:BSVBI22_A1804
ko:K02197	bsv:BSVBI22_A0604
ko:K02198	bsv:BSVBI22_A0605
ko:K00982	bsv:BSVBI22_A0610
ko:K07716	bsv:BSVBI22_A0612
ko:K01256	bsv:BSVBI22_A0613
ko:K00311	bsv:BSVBI22_A0617
ko:K01241	bsv:BSVBI22_A0619
ko:K00817	bsv:BSVBI22_A0631
ko:K08309	bsv:BSVBI22_A0639
ko:K01714	bsv:BSVBI22_A0642
ko:K03664	bsv:BSVBI22_A0643
ko:K01929	bsv:BSVBI22_A1429
ko:K01928	bsv:BSVBI22_A1430
ko:K03587	bsv:BSVBI22_A1431
ko:K03438	bsv:BSVBI22_A1433
ko:K03322	bsv:BSVBI22_A1435
ko:K05801	bsv:BSVBI22_A1439
ko:K00297	bsv:BSVBI22_A1444
ko:K09988	bsv:BSVBI22_A1454
ko:K00479	bsv:BSVBI22_A1455
ko:K06193	bsv:BSVBI22_A1457
ko:K08281	bsv:BSVBI22_A1458
ko:K09799	bsv:BSVBI22_A1459
ko:K01442	bsv:BSVBI22_A1462
ko:K09807	bsv:BSVBI22_A1469
ko:K09160	bsv:BSVBI22_A1471
ko:K03086	bsv:BSVBI22_A1473
ko:K03324	bsv:BSVBI22_A1475
ko:K09117	bsv:BSVBI22_A1476
ko:K01956	bsv:BSVBI22_A1477
ko:K01665	bsv:BSVBI22_B0080
ko:K08602	bsv:BSVBI22_B0081
ko:K07146	bsv:BSVBI22_B0086
ko:K02020	bsv:BSVBI22_B0088
ko:K02018	bsv:BSVBI22_B0089
ko:K01581	bsv:BSVBI22_B0099
ko:K02053	bsv:BSVBI22_B0112
ko:K02401	bsv:BSVBI22_B0120
ko:K02417	bsv:BSVBI22_B0122
ko:K01624	bsv:BSVBI22_B0863
ko:K03841	bsv:BSVBI22_B0864
ko:K06207	bsv:BSVBI22_B0867
ko:K06213	bsv:BSVBI22_B0868
ko:K01284	bsv:BSVBI22_B0870
ko:K01704	bsv:BSVBI22_B0875
ko:K00133	bsv:BSVBI22_B0879
ko:K10778	bsv:BSVBI22_B0881
ko:K00052	bsv:BSVBI22_B0882
ko:K09791	bsv:BSVBI22_B0883
ko:K07157	bsv:BSVBI22_B0884
ko:K05838	bsv:BSVBI22_B0885
ko:K06886	bsv:BSVBI22_B0889
ko:K01476	bsv:BSVBI22_B0891
ko:K10680	bsv:BSVBI22_B0893
ko:K06959	bsv:BSVBI22_B0895
ko:K01433	bsv:BSVBI22_B0900
ko:K01443	bsv:BSVBI22_B0902
ko:K00820	bsv:BSVBI22_B0903
ko:K03710	bsv:BSVBI22_B0904
ko:K01895	bsv:BSVBI22_A1807
ko:K03799	bsv:BSVBI22_A1809
ko:K03500	bsv:BSVBI22_A1810
ko:K00602	bsv:BSVBI22_A1812
ko:K15371	bsv:BSVBI22_A1815
ko:K08988	bsv:BSVBI22_A1816
ko:K06872	bsv:BSVBI22_A1817
ko:K03744	bsv:BSVBI22_A1818
ko:K02959	bsv:BSVBI22_A1820
ko:K04092	bsv:BSVBI22_A1821
ko:K03106	bsv:BSVBI22_A1822
ko:K01673	bsv:BSVBI22_A1825
ko:K00868	bsv:BSVBI22_A1826
ko:K00140	bsv:BSVBI22_A1828
ko:K08311	bsv:BSVBI22_A1832
ko:K03797	bsv:BSVBI22_A1833
ko:K00783	bsv:BSVBI22_A1836
ko:K09710	bsv:BSVBI22_A1837
ko:K00969	bsv:BSVBI22_A1838
ko:K00147	bsv:BSVBI22_A1839
ko:K00931	bsv:BSVBI22_A1840
ko:K03979	bsv:BSVBI22_A1841
ko:K02899	bsv:BSVBI22_A1845
ko:K01845	bsv:BSVBI22_B0429
ko:K01790	bsv:BSVBI22_B0433
ko:K00978	bsv:BSVBI22_B0435
ko:K00864	bsv:BSVBI22_B0439
ko:K08224	bsv:BSVBI22_B0440
ko:K01895	bsv:BSVBI22_B0446
ko:K01462	bsv:BSVBI22_B0450
ko:K09781	bsv:BSVBI22_B0451
ko:K07112	bsv:BSVBI22_B0453
ko:K07112	bsv:BSVBI22_B0454
ko:K01993	bsv:BSVBI22_B0459
ko:K01996	bsv:BSVBI22_B1187
ko:K11719	bsv:BSVBI22_A0155
ko:K09774	bsv:BSVBI22_A0156
ko:K06861	bsv:BSVBI22_A0157
ko:K03092	bsv:BSVBI22_A0158
ko:K10773	bsv:BSVBI22_A0166
ko:K06203	bsv:BSVBI22_A0167
ko:K03687	bsv:BSVBI22_A0171
ko:K03705	bsv:BSVBI22_A0172
ko:K00989	bsv:BSVBI22_A0173
ko:K07056	bsv:BSVBI22_A0177
ko:K07460	bsv:BSVBI22_A0178
ko:K02302	bsv:BSVBI22_A0179
ko:K00381	bsv:BSVBI22_A0181
ko:K00390	bsv:BSVBI22_A0182
ko:K00957	bsv:BSVBI22_A0193
ko:K00955	bsv:BSVBI22_A0194
ko:K02444	bsv:BSVBI22_A0199
ko:K00111	bsv:BSVBI22_A0200
ko:K09959	bsv:BSVBI22_A0204
ko:K04755	bsv:BSVBI22_A1022
ko:K00796	bsv:BSVBI22_A1025
ko:K01633	bsv:BSVBI22_A1026
ko:K00950	bsv:BSVBI22_A1027
ko:K08990	bsv:BSVBI22_A1029
ko:K06918	bsv:BSVBI22_A1030
ko:K08296	bsv:BSVBI22_A1031
ko:K06204	bsv:BSVBI22_A1032
ko:K13587	bsv:BSVBI22_A1035
ko:K07007	bsv:BSVBI22_A1036
ko:K03809	bsv:BSVBI22_A1045
ko:K01754	bsv:BSVBI22_A1047
ko:K11927	bsv:BSVBI22_A1048
ko:K01738	bsv:BSVBI22_A1049
ko:K03446	bsv:BSVBI22_A1055
ko:K03543	bsv:BSVBI22_A1056
ko:K14347	bsv:BSVBI22_A1060
ko:K01868	bsv:BSVBI22_A1067
ko:K08998	bsv:BSVBI22_A1069
ko:K01495	bsv:BSVBI22_A1071
ko:K02888	bsv:BSVBI22_A1846
ko:K03695	bsv:BSVBI22_A1860
ko:K02493	bsv:BSVBI22_A1864
ko:K02835	bsv:BSVBI22_A1865
ko:K08484	bsv:BSVBI22_A1866
ko:K00928	bsv:BSVBI22_A1867
ko:K02498	bsv:BSVBI22_A1880
ko:K01749	bsv:BSVBI22_A1883
ko:K00057	bsv:BSVBI22_A1885
ko:K09780	bsv:BSVBI22_A1886
ko:K03466	bsv:BSVBI22_A1891
ko:K03320	bsv:BSVBI22_A1892
ko:K03885	bsv:BSVBI22_B0475
ko:K06996	bsv:BSVBI22_B0477
ko:K03310	bsv:BSVBI22_B0479
ko:K00651	bsv:BSVBI22_B0481
ko:K00648	bsv:BSVBI22_B0483
ko:K00833	bsv:BSVBI22_B0484
ko:K01935	bsv:BSVBI22_B0485
ko:K01012	bsv:BSVBI22_B0487
ko:K03831	bsv:BSVBI22_B0491
ko:K07078	bsv:BSVBI22_B0492
ko:K05559	bsv:BSVBI22_B0495
ko:K05560	bsv:BSVBI22_B0496
ko:K05561	bsv:BSVBI22_B0497
ko:K05562	bsv:BSVBI22_B0498
ko:K05563	bsv:BSVBI22_B0499
ko:K05564	bsv:BSVBI22_B0500
ko:K00425	bsv:BSVBI22_B0505
ko:K00426	bsv:BSVBI22_B0506
ko:K03710	bsv:BSVBI22_B0508
ko:K00166	bsv:BSVBI22_B0518
ko:K00167	bsv:BSVBI22_B0519
ko:K09699	bsv:BSVBI22_B0520
ko:K00382	bsv:BSVBI22_B0521
ko:K03466	bsv:BSVBI22_B0524
ko:K01266	bsv:BSVBI22_B0525
ko:K08369	bsv:BSVBI22_B0526
ko:K03060	bsv:BSVBI22_A0647
ko:K00762	bsv:BSVBI22_A0649
ko:K08223	bsv:BSVBI22_A0652
ko:K09928	bsv:BSVBI22_A0654
ko:K00997	bsv:BSVBI22_A0655
ko:K03100	bsv:BSVBI22_A0656
ko:K03685	bsv:BSVBI22_A0657
ko:K03584	bsv:BSVBI22_A0660
ko:K06980	bsv:BSVBI22_A0663
ko:K01465	bsv:BSVBI22_A0664
ko:K06895	bsv:BSVBI22_A0670
ko:K01883	bsv:BSVBI22_A0673
ko:K01649	bsv:BSVBI22_A0675
ko:K05786	bsv:BSVBI22_A0676
ko:K02528	bsv:BSVBI22_A0678
ko:K00097	bsv:BSVBI22_A0679
ko:K03771	bsv:BSVBI22_A0680
ko:K04744	bsv:BSVBI22_A0681
ko:K11720	bsv:BSVBI22_A0682
ko:K07091	bsv:BSVBI22_A0683
ko:K01255	bsv:BSVBI22_A0685
ko:K02339	bsv:BSVBI22_A0686
ko:K06158	bsv:BSVBI22_A0688
ko:K00940	bsv:BSVBI22_A0690
ko:K09914	bsv:BSVBI22_A0691
ko:K03636	bsv:BSVBI22_A0693
ko:K03703	bsv:BSVBI22_A0695
ko:K01955	bsv:BSVBI22_A1482
ko:K02471	bsv:BSVBI22_A1484
ko:K03704	bsv:BSVBI22_A1486
ko:K00812	bsv:BSVBI22_A1489
ko:K00384	bsv:BSVBI22_A1493
ko:K12989	bsv:BSVBI22_A1497
ko:K03624	bsv:BSVBI22_A1498
ko:K09922	bsv:BSVBI22_A1502
ko:K10806	bsv:BSVBI22_A1504
ko:K03702	bsv:BSVBI22_A1506
ko:K03704	bsv:BSVBI22_A1508
ko:K07659	bsv:BSVBI22_A1515
ko:K07638	bsv:BSVBI22_A1516
ko:K06878	bsv:BSVBI22_A1518
ko:K13292	bsv:BSVBI22_A1522
ko:K05810	bsv:BSVBI22_A1524
ko:K00948	bsv:BSVBI22_A1527
ko:K06915	bsv:BSVBI22_A1528
ko:K02897	bsv:BSVBI22_A1529
ko:K01056	bsv:BSVBI22_A1530
ko:K06942	bsv:BSVBI22_A1531
ko:K00759	bsv:BSVBI22_A1534
ko:K02416	bsv:BSVBI22_B0124
ko:K02556	bsv:BSVBI22_B0125
ko:K02391	bsv:BSVBI22_B0127
ko:K02412	bsv:BSVBI22_B0128
ko:K02387	bsv:BSVBI22_B0149
ko:K02388	bsv:BSVBI22_B0150
ko:K02408	bsv:BSVBI22_B0151
ko:K02392	bsv:BSVBI22_B0152
ko:K02386	bsv:BSVBI22_B0153
ko:K02394	bsv:BSVBI22_B0154
ko:K02393	bsv:BSVBI22_B0156
ko:K02415	bsv:BSVBI22_B0157
ko:K02419	bsv:BSVBI22_B0158
ko:K01644	bsv:BSVBI22_B0164
ko:K09794	bsv:BSVBI22_B0171
ko:K01775	bsv:BSVBI22_B0914
ko:K00285	bsv:BSVBI22_B0915
ko:K00822	bsv:BSVBI22_B0917
ko:K05836	bsv:BSVBI22_B0918
ko:K01468	bsv:BSVBI22_B0920
ko:K01745	bsv:BSVBI22_B0921
ko:K01712	bsv:BSVBI22_B0923
ko:K09975	bsv:BSVBI22_B0924
ko:K00824	bsv:BSVBI22_B0925
ko:K10547	bsv:BSVBI22_B0926
ko:K10548	bsv:BSVBI22_B0927
ko:K10546	bsv:BSVBI22_B0928
ko:K01631	bsv:BSVBI22_B0929
ko:K00883	bsv:BSVBI22_B0930
ko:K01687	bsv:BSVBI22_B0931
ko:K01652	bsv:BSVBI22_B0936
ko:K01266	bsv:BSVBI22_B0938
ko:K09969	bsv:BSVBI22_B0939
ko:K01999	bsv:BSVBI22_B0944
ko:K01995	bsv:BSVBI22_B0945
ko:K01996	bsv:BSVBI22_B0946
ko:K01997	bsv:BSVBI22_B0947
ko:K01998	bsv:BSVBI22_B0948
ko:K02073	bsv:BSVBI22_B0951
ko:K02071	bsv:BSVBI22_B0952
ko:K02072	bsv:BSVBI22_B0953
ko:K02970	bsv:BSVBI22_B0957
ko:K00325	bsv:BSVBI22_B0962
ko:K07115	bsv:BSVBI22_A0701
ko:K03707	bsv:BSVBI22_A0212
ko:K15598	bsv:BSVBI22_A0213
ko:K00788	bsv:BSVBI22_A0214
ko:K03149	bsv:BSVBI22_A0215
ko:K03154	bsv:BSVBI22_A0216
ko:K00941	bsv:BSVBI22_A0218
ko:K05846	bsv:BSVBI22_A0222
ko:K05847	bsv:BSVBI22_A0223
ko:K05846	bsv:BSVBI22_A0224
ko:K05845	bsv:BSVBI22_A0225
ko:K00262	bsv:BSVBI22_A0227
ko:K00303	bsv:BSVBI22_A0229
ko:K00305	bsv:BSVBI22_A0232
ko:K03534	bsv:BSVBI22_A0240
ko:K09862	bsv:BSVBI22_A0248
ko:K06287	bsv:BSVBI22_A0249
ko:K02518	bsv:BSVBI22_A0250
ko:K00013	bsv:BSVBI22_A0253
ko:K00790	bsv:BSVBI22_A0255
ko:K07001	bsv:BSVBI22_A1073
ko:K00252	bsv:BSVBI22_A1081
ko:K00773	bsv:BSVBI22_A1087
ko:K07568	bsv:BSVBI22_A1088
ko:K00954	bsv:BSVBI22_A1091
ko:K02469	bsv:BSVBI22_A1093
ko:K05774	bsv:BSVBI22_A1095
ko:K02043	bsv:BSVBI22_A1096
ko:K03701	bsv:BSVBI22_A1100
ko:K03530	bsv:BSVBI22_A1101
ko:K01338	bsv:BSVBI22_A1102
ko:K03544	bsv:BSVBI22_A1104
ko:K01358	bsv:BSVBI22_A1105
ko:K03665	bsv:BSVBI22_A1106
ko:K03666	bsv:BSVBI22_A1107
ko:K13599	bsv:BSVBI22_A1111
ko:K13598	bsv:BSVBI22_A1112
ko:K07712	bsv:BSVBI22_A1113
ko:K07708	bsv:BSVBI22_A1114
ko:K12506	bsv:BSVBI22_A1116
ko:K03644	bsv:BSVBI22_A1120
ko:K10805	bsv:BSVBI22_A1894
ko:K03185	bsv:BSVBI22_A1895
ko:K00240	bsv:BSVBI22_A1897
ko:K00239	bsv:BSVBI22_A1898
ko:K00242	bsv:BSVBI22_A1899
ko:K01703	bsv:BSVBI22_A1902
ko:K02884	bsv:BSVBI22_A1903
ko:K00554	bsv:BSVBI22_A1910
ko:K02860	bsv:BSVBI22_A1911
ko:K03733	bsv:BSVBI22_A1912
ko:K09973	bsv:BSVBI22_A1913
ko:K00382	bsv:BSVBI22_A1914
ko:K00658	bsv:BSVBI22_A1918
ko:K00164	bsv:BSVBI22_A1919
ko:K01902	bsv:BSVBI22_A1921
ko:K01903	bsv:BSVBI22_A1922
ko:K00024	bsv:BSVBI22_A1923
ko:K06916	bsv:BSVBI22_A1925
ko:K01778	bsv:BSVBI22_A1928
ko:K03110	bsv:BSVBI22_A1930
ko:K06190	bsv:BSVBI22_A1931
ko:K00620	bsv:BSVBI22_A1937
ko:K03070	bsv:BSVBI22_A1941
ko:K03760	bsv:BSVBI22_A1944
ko:K03919	bsv:BSVBI22_B0527
