ko:K01978	mhaq:WC39_13745
ko:K10439	mhaq:WC39_11480
ko:K10440	mhaq:WC39_11485
ko:K10441	mhaq:WC39_11490
ko:K06726	mhaq:WC39_11495
ko:K06980	mhaq:WC39_11505
ko:K00989	mhaq:WC39_11515
ko:K02014	mhaq:WC39_11525
ko:K00782	mhaq:WC39_11530
ko:K18929	mhaq:WC39_11535
ko:K18928	mhaq:WC39_11540
ko:K03303	mhaq:WC39_11545
ko:K06942	mhaq:WC39_11550
ko:K01056	mhaq:WC39_11555
ko:K07262	mhaq:WC39_11560
ko:K02837	mhaq:WC39_11565
ko:K02035	mhaq:WC39_11570
ko:K02033	mhaq:WC39_11575
ko:K02034	mhaq:WC39_11580
ko:K02031	mhaq:WC39_11585
ko:K09858	mhaq:WC39_00300
ko:K09689	mhaq:WC39_00310
ko:K09688	mhaq:WC39_00315
ko:K10107	mhaq:WC39_00320
ko:K01991	mhaq:WC39_00325
ko:K02472	mhaq:WC39_00350
ko:K01791	mhaq:WC39_00355
ko:K07266	mhaq:WC39_00360
ko:K07265	mhaq:WC39_00365
ko:K01840	mhaq:WC39_00375
ko:K03655	mhaq:WC39_00385
ko:K02032	mhaq:WC39_11585
ko:K03218	mhaq:WC39_11590
ko:K00998	mhaq:WC39_11595
ko:K08223	mhaq:WC39_00710
ko:K04079	mhaq:WC39_00400
ko:K01881	mhaq:WC39_00405
ko:K03788	mhaq:WC39_00415
ko:K00757	mhaq:WC39_00420
ko:K03181	mhaq:WC39_00430
ko:K01776	mhaq:WC39_00440
ko:K04763	mhaq:WC39_00480
ko:K04075	mhaq:WC39_00485
ko:K03650	mhaq:WC39_00490
ko:K03773	mhaq:WC39_00515
ko:K02237	mhaq:WC39_00520
ko:K03555	mhaq:WC39_00530
ko:K01625	mhaq:WC39_00540
ko:K00874	mhaq:WC39_00545
ko:K13637	mhaq:WC39_00575
ko:K01686	mhaq:WC39_00580
ko:K09710	mhaq:WC39_00590
ko:K10806	mhaq:WC39_04910
ko:K09780	mhaq:WC39_04915
ko:K00982	mhaq:WC39_04920
ko:K01153	mhaq:WC39_04925
ko:K01154	mhaq:WC39_04930
ko:K03427	mhaq:WC39_04935
ko:K09910	mhaq:WC39_04940
ko:K09894	mhaq:WC39_04945
ko:K04744	mhaq:WC39_04960
ko:K01595	mhaq:WC39_04965
ko:K03457	mhaq:WC39_04970
ko:K09929	mhaq:WC39_04980
ko:K09930	mhaq:WC39_04985
ko:K15977	mhaq:WC39_04995
ko:K03596	mhaq:WC39_05020
ko:K03100	mhaq:WC39_05025
ko:K03685	mhaq:WC39_05030
ko:K03584	mhaq:WC39_05040
ko:K03732	mhaq:WC39_05045
ko:K06915	mhaq:WC39_05050
ko:K02010	mhaq:WC39_05060
ko:K02011	mhaq:WC39_05065
ko:K02012	mhaq:WC39_05070
ko:K02967	mhaq:WC39_05075
ko:K02357	mhaq:WC39_05080
ko:K09903	mhaq:WC39_05090
ko:K02838	mhaq:WC39_05095
ko:K01834	mhaq:WC39_05100
ko:K09798	mhaq:WC39_05110
ko:K07278	mhaq:WC39_05115
ko:K09800	mhaq:WC39_05120
ko:K16013	mhaq:WC39_05125
ko:K16012	mhaq:WC39_05130
ko:K07153	mhaq:WC39_05135
ko:K01756	mhaq:WC39_05140
ko:K02444	mhaq:WC39_05145
ko:K03179	mhaq:WC39_05150
ko:K07316	mhaq:WC39_05155
ko:K01156	mhaq:WC39_05160
ko:K02470	mhaq:WC39_05165
ko:K15257	mhaq:WC39_05170
ko:K09136	mhaq:WC39_05175
ko:K07012	mhaq:WC39_05180
ko:K07491	mhaq:WC39_05190
ko:K01494	mhaq:WC39_08470
ko:K03604	mhaq:WC39_08485
ko:K15256	mhaq:WC39_08490
ko:K03645	mhaq:WC39_08500
ko:K01911	mhaq:WC39_08505
ko:K05802	mhaq:WC39_08510
ko:K01736	mhaq:WC39_08515
ko:K07261	mhaq:WC39_08520
ko:K03169	mhaq:WC39_08525
ko:K03075	mhaq:WC39_08530
ko:K00133	mhaq:WC39_08560
ko:K03576	mhaq:WC39_08565
ko:K00325	mhaq:WC39_08570
ko:K00324	mhaq:WC39_08575
ko:K15396	mhaq:WC39_08580
ko:K00688	mhaq:WC39_08585
ko:K00703	mhaq:WC39_08595
ko:K02015	mhaq:WC39_10560
ko:K02013	mhaq:WC39_10565
ko:K03427	mhaq:WC39_10585
ko:K00548	mhaq:WC39_10590
ko:K08218	mhaq:WC39_10595
ko:K02013	mhaq:WC39_10600
ko:K02016	mhaq:WC39_10605
ko:K02015	mhaq:WC39_10610
ko:K02015	mhaq:WC39_10615
ko:K16088	mhaq:WC39_10625
ko:K00939	mhaq:WC39_10630
ko:K09794	mhaq:WC39_10640
ko:K14170	mhaq:WC39_10645
ko:K01414	mhaq:WC39_10650
ko:K04069	mhaq:WC39_10655
ko:K00656	mhaq:WC39_10665
ko:K06212	mhaq:WC39_10670
ko:K18850	mhaq:WC39_12800
ko:K02884	mhaq:WC39_12820
ko:K00554	mhaq:WC39_12825
ko:K02860	mhaq:WC39_12830
ko:K02959	mhaq:WC39_12835
ko:K02761	mhaq:WC39_12855
ko:K01206	mhaq:WC39_12860
ko:K03338	mhaq:WC39_12865
ko:K03336	mhaq:WC39_12870
ko:K03335	mhaq:WC39_12875
ko:K00010	mhaq:WC39_12880
ko:K17209	mhaq:WC39_12900
ko:K17210	mhaq:WC39_12905
ko:K17208	mhaq:WC39_12910
ko:K00140	mhaq:WC39_12915
ko:K03337	mhaq:WC39_12920
ko:K00135	mhaq:WC39_12925
ko:K07791	mhaq:WC39_12930
ko:K01779	mhaq:WC39_12935
ko:K03299	mhaq:WC39_12945
ko:K00851	mhaq:WC39_12950
ko:K06145	mhaq:WC39_12955
ko:K02529	mhaq:WC39_12960
ko:K02879	mhaq:WC39_12965
ko:K03040	mhaq:WC39_12970
ko:K02986	mhaq:WC39_12975
ko:K02948	mhaq:WC39_12980
ko:K02952	mhaq:WC39_12985
ko:K02919	mhaq:WC39_12990
ko:K03076	mhaq:WC39_12995
ko:K02876	mhaq:WC39_13000
ko:K02907	mhaq:WC39_13005
ko:K02988	mhaq:WC39_13010
ko:K02881	mhaq:WC39_13015
ko:K02933	mhaq:WC39_13020
ko:K02994	mhaq:WC39_13025
ko:K02954	mhaq:WC39_13030
ko:K02931	mhaq:WC39_13035
ko:K02895	mhaq:WC39_13040
ko:K02874	mhaq:WC39_13045
ko:K00820	mhaq:WC39_13050
ko:K04062	mhaq:WC39_13060
ko:K12573	mhaq:WC39_02595
ko:K06193	mhaq:WC39_02600
ko:K09815	mhaq:WC39_02605
ko:K03182	mhaq:WC39_02610
ko:K08300	mhaq:WC39_02625
ko:K05787	mhaq:WC39_02635
ko:K09891	mhaq:WC39_02640
ko:K01599	mhaq:WC39_02645
ko:K09895	mhaq:WC39_02650
ko:K09888	mhaq:WC39_02655
ko:K01934	mhaq:WC39_02660
ko:K11928	mhaq:WC39_02670
ko:K07056	mhaq:WC39_02680
ko:K07121	mhaq:WC39_02685
ko:K07460	mhaq:WC39_02690
ko:K03271	mhaq:WC39_02695
ko:K01438	mhaq:WC39_02715
ko:K03554	mhaq:WC39_02730
ko:K00286	mhaq:WC39_02735
ko:K05820	mhaq:WC39_02740
ko:K03704	mhaq:WC39_02745
ko:K03607	mhaq:WC39_02750
ko:K03797	mhaq:WC39_02755
ko:K02503	mhaq:WC39_02780
ko:K03470	mhaq:WC39_02785
ko:K06949	mhaq:WC39_02790
ko:K03566	mhaq:WC39_02795
ko:K13634	mhaq:WC39_02815
ko:K01424	mhaq:WC39_02825
ko:K01937	mhaq:WC39_02830
ko:K07400	mhaq:WC39_02835
ko:K00346	mhaq:WC39_02840
ko:K00347	mhaq:WC39_02845
ko:K00348	mhaq:WC39_02850
ko:K00349	mhaq:WC39_02855
ko:K00350	mhaq:WC39_02860
ko:K00351	mhaq:WC39_02865
ko:K03734	mhaq:WC39_02880
ko:K01626	mhaq:WC39_07230
ko:K07054	mhaq:WC39_07235
ko:K03466	mhaq:WC39_07240
ko:K03719	mhaq:WC39_07245
ko:K03684	mhaq:WC39_07250
ko:K15545	mhaq:WC39_07255
ko:K01935	mhaq:WC39_07260
ko:K09890	mhaq:WC39_07265
ko:K03548	mhaq:WC39_07275
ko:K03168	mhaq:WC39_07285
ko:K01989	mhaq:WC39_07300
ko:K03600	mhaq:WC39_07305
ko:K03599	mhaq:WC39_07310
ko:K01588	mhaq:WC39_07315
ko:K01424	mhaq:WC39_07320
ko:K01589	mhaq:WC39_07325
ko:K03702	mhaq:WC39_07335
ko:K07746	mhaq:WC39_07340
ko:K07224	mhaq:WC39_07345
ko:K16301	mhaq:WC39_07350
ko:K07053	mhaq:WC39_07365
ko:K01141	mhaq:WC39_07375
ko:K01893	mhaq:WC39_07380
ko:K02356	mhaq:WC39_07395
ko:K01886	mhaq:WC39_07415
ko:K02529	mhaq:WC39_07420
ko:K00262	mhaq:WC39_07425
ko:K06186	mhaq:WC39_07430
ko:K06899	mhaq:WC39_07435
ko:K09022	mhaq:WC39_07440
ko:K05810	mhaq:WC39_07445
ko:K07733	mhaq:WC39_07460
ko:K03582	mhaq:WC39_09515
ko:K03327	mhaq:WC39_09520
ko:K11069	mhaq:WC39_09525
ko:K03687	mhaq:WC39_09530
ko:K03578	mhaq:WC39_09545
ko:K07340	mhaq:WC39_09555
ko:K03648	mhaq:WC39_09565
ko:K13694	mhaq:WC39_09580
ko:K01151	mhaq:WC39_09585
ko:K09909	mhaq:WC39_09600
ko:K06189	mhaq:WC39_09605
ko:K03820	mhaq:WC39_09610
ko:K00794	mhaq:WC39_09615
ko:K14652	mhaq:WC39_09620
ko:K00793	mhaq:WC39_09625
ko:K11752	mhaq:WC39_09630
ko:K01338	mhaq:WC39_09635
ko:K02521	mhaq:WC39_09640
ko:K01870	mhaq:WC39_11605
ko:K11753	mhaq:WC39_11610
ko:K07773	mhaq:WC39_11625
ko:K00058	mhaq:WC39_11635
ko:K01807	mhaq:WC39_11640
ko:K03431	mhaq:WC39_11645
ko:K01754	mhaq:WC39_11650
ko:K03775	mhaq:WC39_11655
ko:K06188	mhaq:WC39_11660
ko:K02548	mhaq:WC39_11675
ko:K03086	mhaq:WC39_11685
ko:K02970	mhaq:WC39_11695
ko:K02847	mhaq:WC39_11705
ko:K01710	mhaq:WC39_11710
ko:K04772	mhaq:WC39_11020
ko:K00783	mhaq:WC39_00595
ko:K05515	mhaq:WC39_00600
ko:K05837	mhaq:WC39_00605
ko:K03642	mhaq:WC39_00610
ko:K07258	mhaq:WC39_00615
ko:K09158	mhaq:WC39_00620
ko:K03801	mhaq:WC39_00625
ko:K03644	mhaq:WC39_00630
ko:K02013	mhaq:WC39_00640
ko:K02015	mhaq:WC39_00650
ko:K05776	mhaq:WC39_00660
ko:K00604	mhaq:WC39_00665
ko:K03498	mhaq:WC39_00675
ko:K00230	mhaq:WC39_00680
ko:K03282	mhaq:WC39_00685
ko:K02968	mhaq:WC39_00690
ko:K03980	mhaq:WC39_00695
ko:K02168	mhaq:WC39_00705
ko:K08223	mhaq:WC39_00715
ko:K08223	mhaq:WC39_00720
ko:K05786	mhaq:WC39_00725
ko:K04568	mhaq:WC39_00730
ko:K00244	mhaq:WC39_00735
ko:K00245	mhaq:WC39_00740
ko:K00246	mhaq:WC39_00745
ko:K00247	mhaq:WC39_00750
ko:K02687	mhaq:WC39_00790
ko:K03568	mhaq:WC39_00795
ko:K00799	mhaq:WC39_00800
ko:K01586	mhaq:WC39_00805
ko:K01679	mhaq:WC39_00815
ko:K07343	mhaq:WC39_00820
ko:K02946	mhaq:WC39_00825
ko:K02906	mhaq:WC39_00830
ko:K02926	mhaq:WC39_00835
ko:K02892	mhaq:WC39_00840
ko:K02886	mhaq:WC39_00845
ko:K02965	mhaq:WC39_00850
ko:K02890	mhaq:WC39_00855
ko:K02982	mhaq:WC39_00860
ko:K02878	mhaq:WC39_00865
ko:K02904	mhaq:WC39_00870
ko:K02961	mhaq:WC39_00875
ko:K00380	mhaq:WC39_00880
ko:K19119	mhaq:WC39_05210
ko:K19117	mhaq:WC39_05215
ko:K19118	mhaq:WC39_05220
ko:K07464	mhaq:WC39_05225
ko:K15342	mhaq:WC39_05235
ko:K09951	mhaq:WC39_05240
ko:K08301	mhaq:WC39_05245
ko:K04567	mhaq:WC39_05250
ko:K07729	mhaq:WC39_05445
ko:K00975	mhaq:WC39_08600
ko:K00700	mhaq:WC39_08610
ko:K02768	mhaq:WC39_08615
ko:K11183	mhaq:WC39_08615
ko:K00882	mhaq:WC39_08620
ko:K02769	mhaq:WC39_08625
ko:K02770	mhaq:WC39_08625
ko:K05786	mhaq:WC39_08635
ko:K03744	mhaq:WC39_08640
ko:K06872	mhaq:WC39_08650
ko:K01770	mhaq:WC39_08655
ko:K00991	mhaq:WC39_08660
ko:K05589	mhaq:WC39_08665
ko:K01610	mhaq:WC39_08670
ko:K01012	mhaq:WC39_08675
ko:K01069	mhaq:WC39_08680
ko:K00806	mhaq:WC39_08685
ko:K00981	mhaq:WC39_08690
ko:K11749	mhaq:WC39_08695
ko:K07277	mhaq:WC39_08700
ko:K02536	mhaq:WC39_08710
ko:K02372	mhaq:WC39_08715
ko:K00677	mhaq:WC39_08720
ko:K15461	mhaq:WC39_08725
ko:K03799	mhaq:WC39_10680
ko:K02346	mhaq:WC39_10685
ko:K01876	mhaq:WC39_10695
ko:K01347	mhaq:WC39_10700
