ko:K19744	pff:PFLUOLIPICF726490
ko:K02337	pff:PFLUOLIPICF701950
ko:K03470	pff:PFLUOLIPICF701955
ko:K00748	pff:PFLUOLIPICF701960
ko:K00677	pff:PFLUOLIPICF701965
ko:K02372	pff:PFLUOLIPICF701970
ko:K02536	pff:PFLUOLIPICF701975
ko:K06142	pff:PFLUOLIPICF701980
ko:K07277	pff:PFLUOLIPICF701985
ko:K11749	pff:PFLUOLIPICF701990
ko:K00099	pff:PFLUOLIPICF701995
ko:K00981	pff:PFLUOLIPICF702000
ko:K00806	pff:PFLUOLIPICF702005
ko:K02838	pff:PFLUOLIPICF702010
ko:K09903	pff:PFLUOLIPICF702015
ko:K02357	pff:PFLUOLIPICF702020
ko:K02967	pff:PFLUOLIPICF702025
ko:K01265	pff:PFLUOLIPICF702030
ko:K00990	pff:PFLUOLIPICF702035
ko:K14267	pff:PFLUOLIPICF702040
ko:K03316	pff:PFLUOLIPICF702045
ko:K00674	pff:PFLUOLIPICF702055
ko:K01766	pff:PFLUOLIPICF702060
ko:K02426	pff:PFLUOLIPICF702065
ko:K01439	pff:PFLUOLIPICF702080
ko:K00563	pff:PFLUOLIPICF702085
ko:K03704	pff:PFLUOLIPICF702095
ko:K00631	pff:PFLUOLIPICF702100
ko:K09914	pff:PFLUOLIPICF702105
ko:K18303	pff:PFLUOLIPICF702120
ko:K18302	pff:PFLUOLIPICF702125
ko:K18301	pff:PFLUOLIPICF702130
ko:K15984	pff:PFLUOLIPICF702135
ko:K00982	pff:PFLUOLIPICF706015
ko:K00163	pff:PFLUOLIPICF706020
ko:K00627	pff:PFLUOLIPICF706025
ko:K07304	pff:PFLUOLIPICF706035
ko:K07115	pff:PFLUOLIPICF706040
ko:K11904	pff:PFLUOLIPICF706055
ko:K11928	pff:PFLUOLIPICF706060
ko:K13821	pff:PFLUOLIPICF706065
ko:K03406	pff:PFLUOLIPICF706085
ko:K11105	pff:PFLUOLIPICF706090
ko:K05802	pff:PFLUOLIPICF706095
ko:K03672	pff:PFLUOLIPICF706105
ko:K03496	pff:PFLUOLIPICF706115
ko:K02078	pff:PFLUOLIPICF706130
ko:K02078	pff:PFLUOLIPICF706135
ko:K01745	pff:PFLUOLIPICF706160
ko:K07107	pff:PFLUOLIPICF706165
ko:K00647	pff:PFLUOLIPICF706195
ko:K00059	pff:PFLUOLIPICF706205
ko:K09458	pff:PFLUOLIPICF706210
ko:K08224	pff:PFLUOLIPICF706225
ko:K01599	pff:PFLUOLIPICF706230
ko:K00266	pff:PFLUOLIPICF706235
ko:K00265	pff:PFLUOLIPICF706240
ko:K03112	pff:PFLUOLIPICF706245
ko:K01735	pff:PFLUOLIPICF706250
ko:K00891	pff:PFLUOLIPICF706255
ko:K02666	pff:PFLUOLIPICF706260
ko:K02663	pff:PFLUOLIPICF706275
ko:K02662	pff:PFLUOLIPICF706280
ko:K02825	pff:PFLUOLIPICF710085
ko:K07447	pff:PFLUOLIPICF710090
ko:K07735	pff:PFLUOLIPICF710095
ko:K03832	pff:PFLUOLIPICF710100
ko:K01920	pff:PFLUOLIPICF710105
ko:K02657	pff:PFLUOLIPICF710110
ko:K02658	pff:PFLUOLIPICF710115
ko:K02659	pff:PFLUOLIPICF710120
ko:K02660	pff:PFLUOLIPICF710125
ko:K02487	pff:PFLUOLIPICF710130
ko:K06596	pff:PFLUOLIPICF710130
ko:K06598	pff:PFLUOLIPICF710135
ko:K13929	pff:PFLUOLIPICF710160
ko:K13930	pff:PFLUOLIPICF710165
ko:K13931	pff:PFLUOLIPICF710170
ko:K13932	pff:PFLUOLIPICF710175
ko:K13933	pff:PFLUOLIPICF710180
ko:K13934	pff:PFLUOLIPICF710185
ko:K13935	pff:PFLUOLIPICF710190
ko:K13928	pff:PFLUOLIPICF710205
ko:K11068	pff:PFLUOLIPICF710210
ko:K00285	pff:PFLUOLIPICF710220
ko:K10001	pff:PFLUOLIPICF710230
ko:K09761	pff:PFLUOLIPICF710235
ko:K00833	pff:PFLUOLIPICF710240
ko:K11927	pff:PFLUOLIPICF710255
ko:K02030	pff:PFLUOLIPICF710260
ko:K00297	pff:PFLUOLIPICF710270
ko:K01251	pff:PFLUOLIPICF710275
ko:K03316	pff:PFLUOLIPICF710300
ko:K08304	pff:PFLUOLIPICF710310
ko:K01972	pff:PFLUOLIPICF710325
ko:K00789	pff:PFLUOLIPICF710335
ko:K00281	pff:PFLUOLIPICF714190
ko:K02437	pff:PFLUOLIPICF714195
ko:K00926	pff:PFLUOLIPICF714210
ko:K00611	pff:PFLUOLIPICF714215
ko:K01478	pff:PFLUOLIPICF714220
ko:K03758	pff:PFLUOLIPICF714225
ko:K03758	pff:PFLUOLIPICF714230
ko:K01247	pff:PFLUOLIPICF714235
ko:K09780	pff:PFLUOLIPICF714265
ko:K06190	pff:PFLUOLIPICF714270
ko:K07053	pff:PFLUOLIPICF714275
ko:K05896	pff:PFLUOLIPICF714285
ko:K06024	pff:PFLUOLIPICF714290
ko:K06178	pff:PFLUOLIPICF714300
ko:K11734	pff:PFLUOLIPICF714320
ko:K15034	pff:PFLUOLIPICF714325
ko:K03498	pff:PFLUOLIPICF714350
ko:K07231	pff:PFLUOLIPICF714355
ko:K04564	pff:PFLUOLIPICF714370
ko:K06895	pff:PFLUOLIPICF714375
ko:K09964	pff:PFLUOLIPICF714380
ko:K05596	pff:PFLUOLIPICF714385
ko:K17315	pff:PFLUOLIPICF714405
ko:K17316	pff:PFLUOLIPICF714410
ko:K17317	pff:PFLUOLIPICF714415
ko:K10112	pff:PFLUOLIPICF714420
ko:K07267	pff:PFLUOLIPICF714425
ko:K00036	pff:PFLUOLIPICF714440
ko:K02068	pff:PFLUOLIPICF718355
ko:K02069	pff:PFLUOLIPICF718360
ko:K00799	pff:PFLUOLIPICF718370
ko:K07006	pff:PFLUOLIPICF718385
ko:K00059	pff:PFLUOLIPICF718450
ko:K06995	pff:PFLUOLIPICF718465
ko:K09471	pff:PFLUOLIPICF718470
ko:K02510	pff:PFLUOLIPICF718480
ko:K02509	pff:PFLUOLIPICF718485
ko:K01826	pff:PFLUOLIPICF718495
ko:K00455	pff:PFLUOLIPICF718500
ko:K00151	pff:PFLUOLIPICF718505
ko:K05921	pff:PFLUOLIPICF718510
ko:K05921	pff:PFLUOLIPICF718515
ko:K02508	pff:PFLUOLIPICF718520
ko:K07023	pff:PFLUOLIPICF718530
ko:K01992	pff:PFLUOLIPICF718550
ko:K01990	pff:PFLUOLIPICF718555
ko:K07264	pff:PFLUOLIPICF718560
ko:K02003	pff:PFLUOLIPICF718570
ko:K02004	pff:PFLUOLIPICF718575
ko:K03893	pff:PFLUOLIPICF722495
ko:K03168	pff:PFLUOLIPICF722535
ko:K02017	pff:PFLUOLIPICF722540
ko:K02018	pff:PFLUOLIPICF722545
ko:K02020	pff:PFLUOLIPICF722550
ko:K00459	pff:PFLUOLIPICF722555
ko:K10778	pff:PFLUOLIPICF722560
ko:K03919	pff:PFLUOLIPICF722565
ko:K00963	pff:PFLUOLIPICF722600
ko:K00383	pff:PFLUOLIPICF722605
ko:K03386	pff:PFLUOLIPICF722620
ko:K03387	pff:PFLUOLIPICF722625
ko:K01759	pff:PFLUOLIPICF722630
ko:K00457	pff:PFLUOLIPICF722660
ko:K05786	pff:PFLUOLIPICF722665
ko:K02647	pff:PFLUOLIPICF722690
ko:K00865	pff:PFLUOLIPICF722695
ko:K03825	pff:PFLUOLIPICF722720
ko:K01779	pff:PFLUOLIPICF722725
ko:K00404	pff:PFLUOLIPICF722735
ko:K00995	pff:PFLUOLIPICF726625
ko:K03703	pff:PFLUOLIPICF726630
ko:K01626	pff:PFLUOLIPICF726655
ko:K00355	pff:PFLUOLIPICF726660
ko:K15866	pff:PFLUOLIPICF726680
ko:K06222	pff:PFLUOLIPICF726690
ko:K07679	pff:PFLUOLIPICF726700
ko:K07690	pff:PFLUOLIPICF726705
ko:K07507	pff:PFLUOLIPICF726710
ko:K01531	pff:PFLUOLIPICF726715
ko:K01915	pff:PFLUOLIPICF726775
ko:K03169	pff:PFLUOLIPICF726805
ko:K17737	pff:PFLUOLIPICF726825
ko:K01028	pff:PFLUOLIPICF726830
ko:K01029	pff:PFLUOLIPICF726835
ko:K00626	pff:PFLUOLIPICF726840
ko:K01698	pff:PFLUOLIPICF726865
ko:K06077	pff:PFLUOLIPICF701650
ko:K00275	pff:PFLUOLIPICF701655
ko:K09858	pff:PFLUOLIPICF701705
ko:K14060	pff:PFLUOLIPICF701740
ko:K16090	pff:PFLUOLIPICF701775
ko:K02016	pff:PFLUOLIPICF701785
ko:K02015	pff:PFLUOLIPICF701790
ko:K02013	pff:PFLUOLIPICF701795
ko:K07116	pff:PFLUOLIPICF701805
ko:K07577	pff:PFLUOLIPICF701810
ko:K10014	pff:PFLUOLIPICF701820
ko:K10016	pff:PFLUOLIPICF701825
ko:K10015	pff:PFLUOLIPICF701830
ko:K06987	pff:PFLUOLIPICF701835
ko:K10017	pff:PFLUOLIPICF701840
ko:K03724	pff:PFLUOLIPICF701845
ko:K01494	pff:PFLUOLIPICF701860
ko:K03704	pff:PFLUOLIPICF701865
ko:K03087	pff:PFLUOLIPICF701870
ko:K06194	pff:PFLUOLIPICF701875
ko:K00573	pff:PFLUOLIPICF701880
ko:K03787	pff:PFLUOLIPICF701885
ko:K06176	pff:PFLUOLIPICF701890
ko:K01770	pff:PFLUOLIPICF701895
ko:K01070	pff:PFLUOLIPICF701900
ko:K00121	pff:PFLUOLIPICF701905
ko:K01448	pff:PFLUOLIPICF705765
ko:K06925	pff:PFLUOLIPICF705770
ko:K18979	pff:PFLUOLIPICF705780
ko:K13288	pff:PFLUOLIPICF705790
ko:K06949	pff:PFLUOLIPICF705795
ko:K02557	pff:PFLUOLIPICF705800
ko:K02556	pff:PFLUOLIPICF705805
ko:K01011	pff:PFLUOLIPICF705815
ko:K01613	pff:PFLUOLIPICF705820
ko:K01079	pff:PFLUOLIPICF705825
ko:K09857	pff:PFLUOLIPICF705835
ko:K02621	pff:PFLUOLIPICF705840
ko:K02622	pff:PFLUOLIPICF705850
ko:K07000	pff:PFLUOLIPICF705855
ko:K03651	pff:PFLUOLIPICF705860
ko:K09920	pff:PFLUOLIPICF705865
ko:K01515	pff:PFLUOLIPICF705870
ko:K03147	pff:PFLUOLIPICF705885
ko:K12340	pff:PFLUOLIPICF705890
ko:K02527	pff:PFLUOLIPICF705895
ko:K03297	pff:PFLUOLIPICF705905
ko:K01784	pff:PFLUOLIPICF705925
ko:K03272	pff:PFLUOLIPICF705930
ko:K11085	pff:PFLUOLIPICF705935
ko:K12988	pff:PFLUOLIPICF705945
ko:K00612	pff:PFLUOLIPICF705965
ko:K02014	pff:PFLUOLIPICF705975
ko:K02848	pff:PFLUOLIPICF705995
ko:K02844	pff:PFLUOLIPICF706000
ko:K02841	pff:PFLUOLIPICF706005
ko:K02843	pff:PFLUOLIPICF706010
ko:K01534	pff:PFLUOLIPICF709835
ko:K02010	pff:PFLUOLIPICF709845
ko:K02011	pff:PFLUOLIPICF709850
ko:K02012	pff:PFLUOLIPICF709855
ko:K06956	pff:PFLUOLIPICF709890
ko:K01687	pff:PFLUOLIPICF709900
ko:K06969	pff:PFLUOLIPICF709905
ko:K10563	pff:PFLUOLIPICF709915
ko:K00954	pff:PFLUOLIPICF709925
ko:K00154	pff:PFLUOLIPICF709940
ko:K01011	pff:PFLUOLIPICF709950
ko:K07019	pff:PFLUOLIPICF709955
ko:K08316	pff:PFLUOLIPICF709960
ko:K07263	pff:PFLUOLIPICF709965
ko:K07263	pff:PFLUOLIPICF709970
ko:K03110	pff:PFLUOLIPICF709975
ko:K09812	pff:PFLUOLIPICF709980
ko:K09811	pff:PFLUOLIPICF709985
ko:K03089	pff:PFLUOLIPICF709990
ko:K03814	pff:PFLUOLIPICF709995
ko:K03154	pff:PFLUOLIPICF710005
ko:K03149	pff:PFLUOLIPICF710010
ko:K03439	pff:PFLUOLIPICF710015
ko:K02428	pff:PFLUOLIPICF710030
ko:K00641	pff:PFLUOLIPICF710045
ko:K02221	pff:PFLUOLIPICF710050
ko:K00286	pff:PFLUOLIPICF710055
ko:K02669	pff:PFLUOLIPICF710060
ko:K01465	pff:PFLUOLIPICF710075
ko:K00609	pff:PFLUOLIPICF710080
ko:K01141	pff:PFLUOLIPICF713975
ko:K01433	pff:PFLUOLIPICF713985
ko:K03406	pff:PFLUOLIPICF713995
ko:K06915	pff:PFLUOLIPICF714000
ko:K03070	pff:PFLUOLIPICF714010
ko:K00620	pff:PFLUOLIPICF714015
ko:K03574	pff:PFLUOLIPICF714020
ko:K00798	pff:PFLUOLIPICF714025
ko:K00077	pff:PFLUOLIPICF714035
ko:K09767	pff:PFLUOLIPICF714040
ko:K03442	pff:PFLUOLIPICF714045
ko:K18093	pff:PFLUOLIPICF714050
ko:K03745	pff:PFLUOLIPICF714060
ko:K03704	pff:PFLUOLIPICF714065
ko:K04047	pff:PFLUOLIPICF714070
ko:K01876	pff:PFLUOLIPICF714085
ko:K01159	pff:PFLUOLIPICF714095
ko:K03550	pff:PFLUOLIPICF714100
ko:K03551	pff:PFLUOLIPICF714105
ko:K01075	pff:PFLUOLIPICF714110
ko:K03562	pff:PFLUOLIPICF714115
ko:K03560	pff:PFLUOLIPICF714120
ko:K03646	pff:PFLUOLIPICF714125
ko:K03641	pff:PFLUOLIPICF714130
ko:K03640	pff:PFLUOLIPICF714135
ko:K10026	pff:PFLUOLIPICF714145
ko:K06920	pff:PFLUOLIPICF714150
ko:K03517	pff:PFLUOLIPICF714165
ko:K03704	pff:PFLUOLIPICF714175
ko:K00605	pff:PFLUOLIPICF714180
ko:K01752	pff:PFLUOLIPICF714185
ko:K01721	pff:PFLUOLIPICF718110
ko:K01426	pff:PFLUOLIPICF718115
ko:K00128	pff:PFLUOLIPICF718140
ko:K05712	pff:PFLUOLIPICF718150
ko:K11159	pff:PFLUOLIPICF718165
ko:K07112	pff:PFLUOLIPICF718180
ko:K07112	pff:PFLUOLIPICF718185
ko:K07277	pff:PFLUOLIPICF718190
ko:K02030	pff:PFLUOLIPICF718215
ko:K02029	pff:PFLUOLIPICF718220
ko:K02028	pff:PFLUOLIPICF718225
ko:K00681	pff:PFLUOLIPICF718230
ko:K02014	pff:PFLUOLIPICF718235
ko:K02016	pff:PFLUOLIPICF718240
ko:K02015	pff:PFLUOLIPICF718245
ko:K02015	pff:PFLUOLIPICF718250
ko:K02013	pff:PFLUOLIPICF718255
ko:K02454	pff:PFLUOLIPICF718260
ko:K02455	pff:PFLUOLIPICF718265
ko:K02456	pff:PFLUOLIPICF718270
ko:K02457	pff:PFLUOLIPICF718275
ko:K02458	pff:PFLUOLIPICF718280
ko:K02459	pff:PFLUOLIPICF718285
ko:K02460	pff:PFLUOLIPICF718290
ko:K02461	pff:PFLUOLIPICF718295
ko:K02462	pff:PFLUOLIPICF718300
ko:K02463	pff:PFLUOLIPICF718305
ko:K02453	pff:PFLUOLIPICF718310
ko:K12262	pff:PFLUOLIPICF722270
ko:K03566	pff:PFLUOLIPICF722310
ko:K12658	pff:PFLUOLIPICF722350
ko:K02040	pff:PFLUOLIPICF722390
ko:K02037	pff:PFLUOLIPICF722395
ko:K02038	pff:PFLUOLIPICF722400
ko:K02036	pff:PFLUOLIPICF722405
ko:K01531	pff:PFLUOLIPICF722465
ko:K11811	pff:PFLUOLIPICF722485
ko:K10538	pff:PFLUOLIPICF726365
ko:K10539	pff:PFLUOLIPICF726370
ko:K10537	pff:PFLUOLIPICF726375
ko:K02014	pff:PFLUOLIPICF726410
ko:K03406	pff:PFLUOLIPICF726440
ko:K05358	pff:PFLUOLIPICF726445
ko:K07267	pff:PFLUOLIPICF726450
ko:K02529	pff:PFLUOLIPICF726455
ko:K01805	pff:PFLUOLIPICF726460
ko:K10543	pff:PFLUOLIPICF726465
ko:K10545	pff:PFLUOLIPICF726470
ko:K10544	pff:PFLUOLIPICF726475
ko:K00140	pff:PFLUOLIPICF726480
ko:K10022	pff:PFLUOLIPICF726505
ko:K01895	pff:PFLUOLIPICF726510
ko:K07302	pff:PFLUOLIPICF726515
ko:K07303	pff:PFLUOLIPICF726520
ko:K11735	pff:PFLUOLIPICF726535
ko:K02392	pff:PFLUOLIPICF726545
ko:K18144	pff:PFLUOLIPICF726550
ko:K18143	pff:PFLUOLIPICF726555
ko:K02002	pff:PFLUOLIPICF726585
ko:K01139	pff:PFLUOLIPICF708955
ko:K00525	pff:PFLUOLIPICF715005
ko:K22468	pff:PFLUOLIPICF722385
ko:K00564	pff:PFLUOLIPICF703710
ko:K03406	pff:PFLUOLIPICF703725
ko:K07286	pff:PFLUOLIPICF703760
ko:K00116	pff:PFLUOLIPICF703775
ko:K00760	pff:PFLUOLIPICF703795
ko:K00761	pff:PFLUOLIPICF703800
ko:K02824	pff:PFLUOLIPICF703805
ko:K00817	pff:PFLUOLIPICF703810
ko:K00013	pff:PFLUOLIPICF703815
ko:K00765	pff:PFLUOLIPICF703820
ko:K00790	pff:PFLUOLIPICF703830
ko:K07122	pff:PFLUOLIPICF703840
ko:K07323	pff:PFLUOLIPICF703845
ko:K02067	pff:PFLUOLIPICF703850
ko:K02066	pff:PFLUOLIPICF703855
ko:K02065	pff:PFLUOLIPICF703860
ko:K06041	pff:PFLUOLIPICF703865
ko:K03270	pff:PFLUOLIPICF703870
ko:K11719	pff:PFLUOLIPICF703875
ko:K09774	pff:PFLUOLIPICF703880
ko:K06861	pff:PFLUOLIPICF703885
ko:K03092	pff:PFLUOLIPICF703890
ko:K05808	pff:PFLUOLIPICF703895
ko:K02806	pff:PFLUOLIPICF703900
ko:K06958	pff:PFLUOLIPICF703905
ko:K11189	pff:PFLUOLIPICF703910
ko:K07238	pff:PFLUOLIPICF703915
ko:K04564	pff:PFLUOLIPICF703920
ko:K01679	pff:PFLUOLIPICF703930
ko:K03592	pff:PFLUOLIPICF703940
ko:K09889	pff:PFLUOLIPICF703945
ko:K03568	pff:PFLUOLIPICF703950
ko:K13590	pff:PFLUOLIPICF707815
ko:K03673	pff:PFLUOLIPICF707825
ko:K03978	pff:PFLUOLIPICF707840
ko:K02204	pff:PFLUOLIPICF707855
ko:K09815	pff:PFLUOLIPICF707860
ko:K09823	pff:PFLUOLIPICF707865
ko:K09817	pff:PFLUOLIPICF707870
ko:K09816	pff:PFLUOLIPICF707875
ko:K03781	pff:PFLUOLIPICF707885
ko:K02071	pff:PFLUOLIPICF707890
ko:K02072	pff:PFLUOLIPICF707895
ko:K02073	pff:PFLUOLIPICF707900
ko:K07152	pff:PFLUOLIPICF707905
ko:K02259	pff:PFLUOLIPICF707915
ko:K02276	pff:PFLUOLIPICF707935
ko:K02258	pff:PFLUOLIPICF707940
ko:K02274	pff:PFLUOLIPICF707945
ko:K02275	pff:PFLUOLIPICF707950
ko:K01673	pff:PFLUOLIPICF707965
ko:K21498	pff:PFLUOLIPICF710140
ko:K08195	pff:PFLUOLIPICF703205
ko:K01555	pff:PFLUOLIPICF703215
ko:K00451	pff:PFLUOLIPICF703220
ko:K02014	pff:PFLUOLIPICF703235
ko:K07461	pff:PFLUOLIPICF703245
ko:K07687	pff:PFLUOLIPICF703255
ko:K03449	pff:PFLUOLIPICF703310
ko:K09972	pff:PFLUOLIPICF703320
ko:K09971	pff:PFLUOLIPICF703325
ko:K09970	pff:PFLUOLIPICF703330
ko:K09969	pff:PFLUOLIPICF703335
ko:K06999	pff:PFLUOLIPICF703340
ko:K03732	pff:PFLUOLIPICF703345
ko:K03635	pff:PFLUOLIPICF703360
ko:K03636	pff:PFLUOLIPICF703365
ko:K03637	pff:PFLUOLIPICF703370
ko:K07175	pff:PFLUOLIPICF703375
ko:K09861	pff:PFLUOLIPICF703385
ko:K00066	pff:PFLUOLIPICF703390
ko:K16081	pff:PFLUOLIPICF703410
ko:K01729	pff:PFLUOLIPICF703425
ko:K16011	pff:PFLUOLIPICF703445
ko:K14268	pff:PFLUOLIPICF707305
ko:K00135	pff:PFLUOLIPICF707310
ko:K07448	pff:PFLUOLIPICF707335
ko:K03427	pff:PFLUOLIPICF707375
ko:K01154	pff:PFLUOLIPICF707380
ko:K01153	pff:PFLUOLIPICF707390
ko:K03088	pff:PFLUOLIPICF707400
ko:K07114	pff:PFLUOLIPICF707405
ko:K15125	pff:PFLUOLIPICF707445
ko:K07326	pff:PFLUOLIPICF707450
ko:K11937	pff:PFLUOLIPICF707455
ko:K11936	pff:PFLUOLIPICF707460
ko:K11931	pff:PFLUOLIPICF707465
ko:K11935	pff:PFLUOLIPICF707470
ko:K06075	pff:PFLUOLIPICF707505
ko:K02014	pff:PFLUOLIPICF707545
ko:K02994	pff:PFLUOLIPICF711350
ko:K02933	pff:PFLUOLIPICF711355
ko:K02881	pff:PFLUOLIPICF711360
ko:K02988	pff:PFLUOLIPICF711365
ko:K02907	pff:PFLUOLIPICF711370
ko:K02876	pff:PFLUOLIPICF711375
ko:K03076	pff:PFLUOLIPICF711380
ko:K02952	pff:PFLUOLIPICF711385
ko:K02948	pff:PFLUOLIPICF711390
ko:K02986	pff:PFLUOLIPICF711395
ko:K03040	pff:PFLUOLIPICF711400
ko:K02879	pff:PFLUOLIPICF711405
ko:K03781	pff:PFLUOLIPICF711410
ko:K03594	pff:PFLUOLIPICF711415
ko:K03701	pff:PFLUOLIPICF711420
ko:K03111	pff:PFLUOLIPICF711430
ko:K00598	pff:PFLUOLIPICF711440
ko:K06889	pff:PFLUOLIPICF711460
ko:K07027	pff:PFLUOLIPICF711465
ko:K00067	pff:PFLUOLIPICF711485
ko:K07275	pff:PFLUOLIPICF711490
ko:K09950	pff:PFLUOLIPICF711495
ko:K02004	pff:PFLUOLIPICF711500
ko:K02003	pff:PFLUOLIPICF711505
ko:K05838	pff:PFLUOLIPICF711520
ko:K07738	pff:PFLUOLIPICF711535
ko:K11752	pff:PFLUOLIPICF711540
ko:K00793	pff:PFLUOLIPICF711545
ko:K14652	pff:PFLUOLIPICF711550
ko:K00794	pff:PFLUOLIPICF711555
ko:K03625	pff:PFLUOLIPICF711560
ko:K00946	pff:PFLUOLIPICF711565
ko:K01497	pff:PFLUOLIPICF711575
ko:K06858	pff:PFLUOLIPICF711585
ko:K16092	pff:PFLUOLIPICF711590
ko:K01662	pff:PFLUOLIPICF711595
ko:K13789	pff:PFLUOLIPICF711600
ko:K01720	pff:PFLUOLIPICF715495
ko:K07050	pff:PFLUOLIPICF715500
ko:K00640	pff:PFLUOLIPICF715505
ko:K01738	pff:PFLUOLIPICF715510
ko:K09773	pff:PFLUOLIPICF715530
ko:K02553	pff:PFLUOLIPICF715545
ko:K16074	pff:PFLUOLIPICF715550
ko:K03088	pff:PFLUOLIPICF715565
ko:K03286	pff:PFLUOLIPICF715570
ko:K02303	pff:PFLUOLIPICF715575
ko:K02575	pff:PFLUOLIPICF715585
ko:K03225	pff:PFLUOLIPICF715605
ko:K00254	pff:PFLUOLIPICF715620
ko:K03812	pff:PFLUOLIPICF715625
ko:K12297	pff:PFLUOLIPICF715630
ko:K07259	pff:PFLUOLIPICF715640
ko:K09923	pff:PFLUOLIPICF715645
ko:K05782	pff:PFLUOLIPICF715650
ko:K07402	pff:PFLUOLIPICF715665
ko:K13482	pff:PFLUOLIPICF715670
ko:K13481	pff:PFLUOLIPICF715675
ko:K03529	pff:PFLUOLIPICF715685
ko:K03528	pff:PFLUOLIPICF715690
ko:K01972	pff:PFLUOLIPICF715695
ko:K02343	pff:PFLUOLIPICF715745
ko:K09747	pff:PFLUOLIPICF715750
ko:K07345	pff:PFLUOLIPICF719665
ko:K07687	pff:PFLUOLIPICF719670
ko:K07677	pff:PFLUOLIPICF719675
ko:K07677	pff:PFLUOLIPICF719685
ko:K03543	pff:PFLUOLIPICF719700
ko:K03446	pff:PFLUOLIPICF719705
ko:K03269	pff:PFLUOLIPICF719710
ko:K03768	pff:PFLUOLIPICF719715
ko:K01886	pff:PFLUOLIPICF719720
ko:K01883	pff:PFLUOLIPICF719725
ko:K06151	pff:PFLUOLIPICF707985
ko:K06152	pff:PFLUOLIPICF707990
ko:K07070	pff:PFLUOLIPICF708000
ko:K01414	pff:PFLUOLIPICF708005
ko:K01091	pff:PFLUOLIPICF708015
ko:K04063	pff:PFLUOLIPICF708035
ko:K09165	pff:PFLUOLIPICF708050
ko:K01696	pff:PFLUOLIPICF708065
ko:K07126	pff:PFLUOLIPICF711860
ko:K01845	pff:PFLUOLIPICF711865
ko:K00788	pff:PFLUOLIPICF711870
ko:K00941	pff:PFLUOLIPICF711875
ko:K09456	pff:PFLUOLIPICF711885
ko:K01241	pff:PFLUOLIPICF711890
ko:K06181	pff:PFLUOLIPICF711895
ko:K03719	pff:PFLUOLIPICF711905
ko:K03579	pff:PFLUOLIPICF711925
ko:K09945	pff:PFLUOLIPICF711945
ko:K02342	pff:PFLUOLIPICF711955
ko:K03719	pff:PFLUOLIPICF711965
ko:K07007	pff:PFLUOLIPICF711980
ko:K10805	pff:PFLUOLIPICF711995
ko:K07054	pff:PFLUOLIPICF712010
ko:K08191	pff:PFLUOLIPICF712025
ko:K00457	pff:PFLUOLIPICF712030
ko:K00014	pff:PFLUOLIPICF712040
ko:K03786	pff:PFLUOLIPICF712045
