ko:K00086	kpz:KPNIH27_22065
ko:K17213	kpz:KPNIH27_15490
ko:K11911	kpz:KPNIH27_15495
ko:K11905	kpz:KPNIH27_15500
ko:K11906	kpz:KPNIH27_15505
ko:K11895	kpz:KPNIH27_15510
ko:K11896	kpz:KPNIH27_15515
ko:K11904	kpz:KPNIH27_15560
ko:K11892	kpz:KPNIH27_15575
ko:K11893	kpz:KPNIH27_15580
ko:K09912	kpz:KPNIH27_15595
ko:K06177	kpz:KPNIH27_15600
ko:K03563	kpz:KPNIH27_19795
ko:K01872	kpz:KPNIH27_19800
ko:K03565	kpz:KPNIH27_19805
ko:K03743	kpz:KPNIH27_19815
ko:K02077	kpz:KPNIH27_19820
ko:K02075	kpz:KPNIH27_19825
ko:K02074	kpz:KPNIH27_19830
ko:K08305	kpz:KPNIH27_19835
ko:K02783	kpz:KPNIH27_19840
ko:K02782	kpz:KPNIH27_19845
ko:K02783	kpz:KPNIH27_19845
ko:K02781	kpz:KPNIH27_19850
ko:K00068	kpz:KPNIH27_19855
ko:K02466	kpz:KPNIH27_19860
ko:K02468	kpz:KPNIH27_19865
ko:K02467	kpz:KPNIH27_19870
ko:K12266	kpz:KPNIH27_19875
ko:K12264	kpz:KPNIH27_19880
ko:K12265	kpz:KPNIH27_19885
ko:K07241	kpz:KPNIH27_19890
ko:K04656	kpz:KPNIH27_19895
ko:K03487	kpz:KPNIH27_19905
ko:K05796	kpz:KPNIH27_19900
ko:K02752	kpz:KPNIH27_19910
ko:K02753	kpz:KPNIH27_19910
ko:K01223	kpz:KPNIH27_19915
ko:K08315	kpz:KPNIH27_19925
ko:K15834	kpz:KPNIH27_19930
ko:K15832	kpz:KPNIH27_19935
ko:K15831	kpz:KPNIH27_19940
ko:K15830	kpz:KPNIH27_19945
ko:K15829	kpz:KPNIH27_19950
ko:K15828	kpz:KPNIH27_19955
ko:K15827	kpz:KPNIH27_19960
ko:K15833	kpz:KPNIH27_19965
ko:K04651	kpz:KPNIH27_19970
ko:K04652	kpz:KPNIH27_19975
ko:K04653	kpz:KPNIH27_19980
ko:K04654	kpz:KPNIH27_19985
ko:K04655	kpz:KPNIH27_19990
ko:K15836	kpz:KPNIH27_19995
ko:K01223	kpz:KPNIH27_20000
ko:K16077	kpz:KPNIH27_20010
ko:K02761	kpz:KPNIH27_20015
ko:K02760	kpz:KPNIH27_20020
ko:K02761	kpz:KPNIH27_20025
ko:K02759	kpz:KPNIH27_20030
ko:K00847	kpz:KPNIH27_20035
ko:K12368	kpz:KPNIH27_24120
ko:K12975	kpz:KPNIH27_24140
ko:K08177	kpz:KPNIH27_24145
ko:K01246	kpz:KPNIH27_24155
ko:K03826	kpz:KPNIH27_24160
ko:K08351	kpz:KPNIH27_24165
ko:K02525	kpz:KPNIH27_24175
ko:K00874	kpz:KPNIH27_24185
ko:K00090	kpz:KPNIH27_24195
ko:K08195	kpz:KPNIH27_24205
ko:K07726	kpz:KPNIH27_24210
ko:K03704	kpz:KPNIH27_24215
ko:K01879	kpz:KPNIH27_24240
ko:K01878	kpz:KPNIH27_24245
ko:K00854	kpz:KPNIH27_24270
ko:K01805	kpz:KPNIH27_24275
ko:K10543	kpz:KPNIH27_24280
ko:K10545	kpz:KPNIH27_24285
ko:K10544	kpz:KPNIH27_24290
ko:K02529	kpz:KPNIH27_24295
ko:K03796	kpz:KPNIH27_24300
ko:K01176	kpz:KPNIH27_24305
ko:K00835	kpz:KPNIH27_24310
ko:K05796	kpz:KPNIH27_24315
ko:K03833	kpz:KPNIH27_24320
ko:K01042	kpz:KPNIH27_24325
ko:K02798	kpz:KPNIH27_24345
ko:K02799	kpz:KPNIH27_24345
ko:K02800	kpz:KPNIH27_24345
ko:K00009	kpz:KPNIH27_24350
ko:K02562	kpz:KPNIH27_24355
ko:K14762	kpz:KPNIH27_24365
ko:K00427	kpz:KPNIH27_24375
ko:K14237	kpz:KPNIH27_07420
ko:K14237	kpz:KPNIH27_18265
ko:K14237	kpz:KPNIH27_07430
ko:K14237	kpz:KPNIH27_18275
ko:K14237	kpz:KPNIH27_18270
ko:K18831	kpz:KPNIH27_29090
ko:K07713	kpz:KPNIH27_01240
ko:K19164	kpz:KPNIH27_27780
ko:K00433	kpz:KPNIH27_16790
ko:K04753	kpz:KPNIH27_21775
ko:K03293	kpz:KPNIH27_00780
ko:K02483	kpz:KPNIH27_13250
ko:K18829	kpz:KPNIH27_27785
ko:K19504	kpz:KPNIH27_03260
ko:K18698	kpz:KPNIH27_27280
ko:K01977	kpz:KPNIH27_00585
ko:K01977	kpz:KPNIH27_01260
ko:K01977	kpz:KPNIH27_01040
ko:K01977	kpz:KPNIH27_22990
ko:K18699	kpz:KPNIH27_26680
ko:K01977	kpz:KPNIH27_02905
ko:K01977	kpz:KPNIH27_00075
ko:K01977	kpz:KPNIH27_19360
ko:K01977	kpz:KPNIH27_04550
ko:K18697	kpz:KPNIH27_18935
ko:K18699	kpz:KPNIH27_27300
ko:K18142	kpz:KPNIH27_22960
ko:K02760	kpz:KPNIH27_02505
ko:K01222	kpz:KPNIH27_02510
ko:K02761	kpz:KPNIH27_02515
ko:K01226	kpz:KPNIH27_02520
ko:K02818	kpz:KPNIH27_02525
ko:K02819	kpz:KPNIH27_02525
ko:K03485	kpz:KPNIH27_02530
ko:K01531	kpz:KPNIH27_02535
ko:K09022	kpz:KPNIH27_02540
ko:K00610	kpz:KPNIH27_02545
ko:K00609	kpz:KPNIH27_02550
ko:K00611	kpz:KPNIH27_02560
ko:K09893	kpz:KPNIH27_02565
ko:K06169	kpz:KPNIH27_02570
ko:K03828	kpz:KPNIH27_02575
ko:K01873	kpz:KPNIH27_02580
ko:K02339	kpz:KPNIH27_02585
ko:K01255	kpz:KPNIH27_02590
ko:K07091	kpz:KPNIH27_02595
ko:K11720	kpz:KPNIH27_02600
ko:K06915	kpz:KPNIH27_02605
ko:K06606	kpz:KPNIH27_02610
ko:K00140	kpz:KPNIH27_02615
ko:K03337	kpz:KPNIH27_02620
ko:K03338	kpz:KPNIH27_02640
ko:K03336	kpz:KPNIH27_02645
ko:K00010	kpz:KPNIH27_02650
ko:K06605	kpz:KPNIH27_02655
ko:K03335	kpz:KPNIH27_02660
ko:K05813	kpz:KPNIH27_02665
ko:K05816	kpz:KPNIH27_02670
ko:K05815	kpz:KPNIH27_02680
ko:K05814	kpz:KPNIH27_02685
ko:K12957	kpz:KPNIH27_02690
ko:K01673	kpz:KPNIH27_02700
ko:K07733	kpz:KPNIH27_02735
ko:K06140	kpz:KPNIH27_06920
ko:K01169	kpz:KPNIH27_06925
ko:K03326	kpz:KPNIH27_06930
ko:K12973	kpz:KPNIH27_06935
ko:K03704	kpz:KPNIH27_06940
ko:K06199	kpz:KPNIH27_06945
ko:K03425	kpz:KPNIH27_06955
ko:K03644	kpz:KPNIH27_06960
ko:K03801	kpz:KPNIH27_06970
ko:K09158	kpz:KPNIH27_06975
ko:K07258	kpz:KPNIH27_06980
ko:K03642	kpz:KPNIH27_06985
ko:K05837	kpz:KPNIH27_06990
ko:K05515	kpz:KPNIH27_06995
ko:K00783	kpz:KPNIH27_07000
ko:K09710	kpz:KPNIH27_07005
ko:K02226	kpz:KPNIH27_07010
ko:K00969	kpz:KPNIH27_07015
ko:K02340	kpz:KPNIH27_07020
ko:K03643	kpz:KPNIH27_07025
ko:K01869	kpz:KPNIH27_07030
ko:K10004	kpz:KPNIH27_07050
ko:K10002	kpz:KPNIH27_07055
ko:K10003	kpz:KPNIH27_07060
ko:K10001	kpz:KPNIH27_07065
ko:K03820	kpz:KPNIH27_07070
ko:K06189	kpz:KPNIH27_07075
ko:K07042	kpz:KPNIH27_07080
ko:K06168	kpz:KPNIH27_07090
ko:K03184	kpz:KPNIH27_07095
ko:K01953	kpz:KPNIH27_07140
ko:K02566	kpz:KPNIH27_07145
ko:K02565	kpz:KPNIH27_07150
ko:K01443	kpz:KPNIH27_07155
ko:K02564	kpz:KPNIH27_07160
ko:K02802	kpz:KPNIH27_07165
ko:K02803	kpz:KPNIH27_07165
ko:K02804	kpz:KPNIH27_07165
ko:K01886	kpz:KPNIH27_07170
ko:K00077	kpz:KPNIH27_11480
ko:K02030	kpz:KPNIH27_11490
ko:K02028	kpz:KPNIH27_11500
ko:K02029	kpz:KPNIH27_11500
ko:K07222	kpz:KPNIH27_11510
ko:K01438	kpz:KPNIH27_11525
ko:K00276	kpz:KPNIH27_11540
ko:K02618	kpz:KPNIH27_11545
ko:K02609	kpz:KPNIH27_11550
ko:K02610	kpz:KPNIH27_11555
ko:K02611	kpz:KPNIH27_11560
ko:K02612	kpz:KPNIH27_11565
ko:K02613	kpz:KPNIH27_11570
ko:K01692	kpz:KPNIH27_11575
ko:K15866	kpz:KPNIH27_11580
ko:K00074	kpz:KPNIH27_11585
ko:K02614	kpz:KPNIH27_11590
ko:K01912	kpz:KPNIH27_11600
ko:K02616	kpz:KPNIH27_11605
ko:K02617	kpz:KPNIH27_11610
ko:K01118	kpz:KPNIH27_11620
ko:K03578	kpz:KPNIH27_11625
ko:K06075	kpz:KPNIH27_11650
ko:K00261	kpz:KPNIH27_11665
ko:K00840	kpz:KPNIH27_11675
ko:K00673	kpz:KPNIH27_11680
ko:K06447	kpz:KPNIH27_11685
ko:K01484	kpz:KPNIH27_11690
ko:K05526	kpz:KPNIH27_11695
ko:K07248	kpz:KPNIH27_11715
ko:K00134	kpz:KPNIH27_11720
ko:K07112	kpz:KPNIH27_11740
ko:K07395	kpz:KPNIH27_16000
ko:K01194	kpz:KPNIH27_16020
ko:K02014	kpz:KPNIH27_16025
ko:K08308	kpz:KPNIH27_16030
ko:K01297	kpz:KPNIH27_16035
ko:K11105	kpz:KPNIH27_16040
ko:K01775	kpz:KPNIH27_16045
ko:K00285	kpz:KPNIH27_16050
ko:K03603	kpz:KPNIH27_16060
ko:K03314	kpz:KPNIH27_16070
ko:K03611	kpz:KPNIH27_16075
ko:K09160	kpz:KPNIH27_16085
ko:K09902	kpz:KPNIH27_16095
ko:K03610	kpz:KPNIH27_16100
ko:K03609	kpz:KPNIH27_16105
ko:K03608	kpz:KPNIH27_16110
ko:K03684	kpz:KPNIH27_16115
ko:K01897	kpz:KPNIH27_16120
ko:K07285	kpz:KPNIH27_16125
ko:K09917	kpz:KPNIH27_16145
ko:K01665	kpz:KPNIH27_16150
ko:K01752	kpz:KPNIH27_16160
ko:K02793	kpz:KPNIH27_16175
ko:K02794	kpz:KPNIH27_16175
ko:K02795	kpz:KPNIH27_16180
ko:K00563	kpz:KPNIH27_16200
ko:K03587	kpz:KPNIH27_16205
ko:K03704	kpz:KPNIH27_16210
ko:K08169	kpz:KPNIH27_16230
ko:K03799	kpz:KPNIH27_16235
ko:K03797	kpz:KPNIH27_16240
ko:K03607	kpz:KPNIH27_16245
ko:K03808	kpz:KPNIH27_16255
ko:K01737	kpz:KPNIH27_20315
ko:K10026	kpz:KPNIH27_20320
ko:K01689	kpz:KPNIH27_20330
ko:K01937	kpz:KPNIH27_20335
ko:K04765	kpz:KPNIH27_20340
ko:K00951	kpz:KPNIH27_20345
ko:K03215	kpz:KPNIH27_20350
ko:K07678	kpz:KPNIH27_20355
ko:K00865	kpz:KPNIH27_20360
ko:K01706	kpz:KPNIH27_20365
ko:K13918	kpz:KPNIH27_20370
ko:K03535	kpz:KPNIH27_20375
ko:K06175	kpz:KPNIH27_20385
ko:K15723	kpz:KPNIH27_20395
ko:K06879	kpz:KPNIH27_20400
ko:K06966	kpz:KPNIH27_20405
ko:K03837	kpz:KPNIH27_20410
ko:K01752	kpz:KPNIH27_20415
ko:K15553	kpz:KPNIH27_20420
ko:K04091	kpz:KPNIH27_20460
ko:K01146	kpz:KPNIH27_20470
ko:K00048	kpz:KPNIH27_20475
ko:K01628	kpz:KPNIH27_20480
ko:K02429	kpz:KPNIH27_20485
ko:K01818	kpz:KPNIH27_20490
ko:K00879	kpz:KPNIH27_20495
ko:K02431	kpz:KPNIH27_20500
ko:K02430	kpz:KPNIH27_20505
ko:K06968	kpz:KPNIH27_20510
ko:K03566	kpz:KPNIH27_20520
ko:K01766	kpz:KPNIH27_20530
ko:K02426	kpz:KPNIH27_20535
ko:K08304	kpz:KPNIH27_20545
ko:K00768	kpz:KPNIH27_20565
ko:K02231	kpz:KPNIH27_20570
ko:K02232	kpz:KPNIH27_20575
ko:K01972	kpz:KPNIH27_24665
ko:K00942	kpz:KPNIH27_24670
ko:K03060	kpz:KPNIH27_24675
ko:K00556	kpz:KPNIH27_24685
ko:K03655	kpz:KPNIH27_24690
ko:K02446	kpz:KPNIH27_24695
ko:K00528	kpz:KPNIH27_24700
ko:K01803	kpz:KPNIH27_24715
ko:K01521	kpz:KPNIH27_24725
ko:K02048	kpz:KPNIH27_24730
ko:K09892	kpz:KPNIH27_24735
ko:K02440	kpz:KPNIH27_24740
ko:K00864	kpz:KPNIH27_24745
ko:K03312	kpz:KPNIH27_24750
ko:K16345	kpz:KPNIH27_24755
ko:K02749	kpz:KPNIH27_24775
ko:K02750	kpz:KPNIH27_24775
ko:K01222	kpz:KPNIH27_24780
ko:K01811	kpz:KPNIH27_24790
ko:K03292	kpz:KPNIH27_24795
ko:K13979	kpz:KPNIH27_24825
ko:K02073	kpz:KPNIH27_24850
ko:K09958	kpz:KPNIH27_24865
ko:K07006	kpz:KPNIH27_24870
ko:K07552	kpz:KPNIH27_24910
ko:K07106	kpz:KPNIH27_24915
ko:K00135	kpz:KPNIH27_03060
ko:K00484	kpz:KPNIH27_03095
ko:K00483	kpz:KPNIH27_03100
ko:K02508	kpz:KPNIH27_03105
ko:K02511	kpz:KPNIH27_03110
ko:K02510	kpz:KPNIH27_03115
ko:K02509	kpz:KPNIH27_03120
ko:K01826	kpz:KPNIH27_03125
ko:K00455	kpz:KPNIH27_03130
ko:K00151	kpz:KPNIH27_03135
ko:K05921	kpz:KPNIH27_03140
ko:K05921	kpz:KPNIH27_03145
ko:K06015	kpz:KPNIH27_03175
ko:K03307	kpz:KPNIH27_03185
ko:K00883	kpz:KPNIH27_03190
ko:K01631	kpz:KPNIH27_03195
ko:K00041	kpz:KPNIH27_03230
ko:K01002	kpz:KPNIH27_03275
ko:K02317	kpz:KPNIH27_03290
ko:K16264	kpz:KPNIH27_07460
ko:K01626	kpz:KPNIH27_07470
ko:K01834	kpz:KPNIH27_07475
ko:K01785	kpz:KPNIH27_07480
ko:K00849	kpz:KPNIH27_07485
ko:K00965	kpz:KPNIH27_07490
ko:K01784	kpz:KPNIH27_07495
ko:K05776	kpz:KPNIH27_07500
ko:K02019	kpz:KPNIH27_07505
ko:K02020	kpz:KPNIH27_07515
ko:K02018	kpz:KPNIH27_07520
ko:K02017	kpz:KPNIH27_07525
ko:K07404	kpz:KPNIH27_07540
ko:K11932	kpz:KPNIH27_07605
ko:K01051	kpz:KPNIH27_07615
ko:K01468	kpz:KPNIH27_07620
ko:K01479	kpz:KPNIH27_07625
ko:K05836	kpz:KPNIH27_07630
ko:K01712	kpz:KPNIH27_07635
ko:K01745	kpz:KPNIH27_07640
ko:K16234	kpz:KPNIH27_07645
ko:K06910	kpz:KPNIH27_07650
ko:K00833	kpz:KPNIH27_07655
ko:K01012	kpz:KPNIH27_07660
ko:K00652	kpz:KPNIH27_07665
ko:K02169	kpz:KPNIH27_07670
ko:K01935	kpz:KPNIH27_07675
ko:K03702	kpz:KPNIH27_07695
ko:K07643	kpz:KPNIH27_07705
ko:K07771	kpz:KPNIH27_07710
ko:K03760	kpz:KPNIH27_07715
ko:K03639	kpz:KPNIH27_07725
ko:K03638	kpz:KPNIH27_07730
ko:K03637	kpz:KPNIH27_07735
ko:K13932	kpz:KPNIH27_12010
ko:K13931	kpz:KPNIH27_12015
ko:K13930	kpz:KPNIH27_12020
ko:K13929	kpz:KPNIH27_12025
ko:K11744	kpz:KPNIH27_12030
ko:K11743	kpz:KPNIH27_12035
ko:K11742	kpz:KPNIH27_12040
ko:K04775	kpz:KPNIH27_12050
ko:K01299	kpz:KPNIH27_12075
ko:K08224	kpz:KPNIH27_12085
ko:K15545	kpz:KPNIH27_12095
ko:K01935	kpz:KPNIH27_12100
ko:K03281	kpz:KPNIH27_12105
ko:K07312	kpz:KPNIH27_12115
ko:K07307	kpz:KPNIH27_12120
ko:K07309	kpz:KPNIH27_12125
ko:K00657	kpz:KPNIH27_12145
ko:K09771	kpz:KPNIH27_12155
ko:K00040	kpz:KPNIH27_12165
ko:K11932	kpz:KPNIH27_12170
ko:K16066	kpz:KPNIH27_12180
ko:K01284	kpz:KPNIH27_12185
ko:K04080	kpz:KPNIH27_12225
ko:K03299	kpz:KPNIH27_12250
ko:K02532	kpz:KPNIH27_12295
ko:K01190	kpz:KPNIH27_12300
ko:K03834	kpz:KPNIH27_16535
ko:K07039	kpz:KPNIH27_16540
ko:K01714	kpz:KPNIH27_16545
ko:K00995	kpz:KPNIH27_16565
ko:K11191	kpz:KPNIH27_24920
ko:K03703	kpz:KPNIH27_16570
ko:K01980	kpz:KPNIH27_00600
ko:K01980	kpz:KPNIH27_00085
ko:K01980	kpz:KPNIH27_22985
ko:K18691	kpz:KPNIH27_18925
ko:K11192	kpz:KPNIH27_24920
ko:K07689	kpz:KPNIH27_16575
ko:K07782	kpz:KPNIH27_16585
ko:K10010	kpz:KPNIH27_16590
ko:K10009	kpz:KPNIH27_16595
ko:K02424	kpz:KPNIH27_16605
ko:K01176	kpz:KPNIH27_16610
ko:K07781	kpz:KPNIH27_16620
ko:K09781	kpz:KPNIH27_16640
ko:K07458	kpz:KPNIH27_16650
ko:K06950	kpz:KPNIH27_16660
ko:K09933	kpz:KPNIH27_16690
ko:K13635	kpz:KPNIH27_16715
ko:K03316	kpz:KPNIH27_16730
ko:K16137	kpz:KPNIH27_16735
ko:K01241	kpz:KPNIH27_16760
ko:K03566	kpz:KPNIH27_16800
ko:K13292	kpz:KPNIH27_20840
ko:K08484	kpz:KPNIH27_20845
ko:K08311	kpz:KPNIH27_20850
ko:K03573	kpz:KPNIH27_20855
ko:K08227	kpz:KPNIH27_20875
ko:K05939	kpz:KPNIH27_20880
ko:K02529	kpz:KPNIH27_20885
ko:K13637	kpz:KPNIH27_20895
ko:K05350	kpz:KPNIH27_20900
ko:K02761	kpz:KPNIH27_20905
ko:K01586	kpz:KPNIH27_20915
ko:K10193	kpz:KPNIH27_20940
ko:K10194	kpz:KPNIH27_20945
ko:K10195	kpz:KPNIH27_20950
ko:K10192	kpz:KPNIH27_20955
ko:K01193	kpz:KPNIH27_20965
ko:K02532	kpz:KPNIH27_20970
ko:K02100	kpz:KPNIH27_20980
ko:K00065	kpz:KPNIH27_20985
ko:K01730	kpz:KPNIH27_20990
ko:K00626	kpz:KPNIH27_21000
ko:K07347	kpz:KPNIH27_21050
ko:K07345	kpz:KPNIH27_21060
ko:K07357	kpz:KPNIH27_21090
ko:K07345	kpz:KPNIH27_21100
ko:K07351	kpz:KPNIH27_21105
ko:K07346	kpz:KPNIH27_21110
ko:K07347	kpz:KPNIH27_21115
ko:K02470	kpz:KPNIH27_25225
ko:K03629	kpz:KPNIH27_25230
ko:K02338	kpz:KPNIH27_25235
ko:K02313	kpz:KPNIH27_25240
ko:K02914	kpz:KPNIH27_25245
ko:K08998	kpz:KPNIH27_25255
ko:K03217	kpz:KPNIH27_25260
ko:K03650	kpz:KPNIH27_25265
ko:K08163	kpz:KPNIH27_25275
ko:K06901	kpz:KPNIH27_25295
ko:K07214	kpz:KPNIH27_25310
ko:K10124	kpz:KPNIH27_25315
ko:K02039	kpz:KPNIH27_25320
ko:K02036	kpz:KPNIH27_25325
ko:K02038	kpz:KPNIH27_25330
ko:K02037	kpz:KPNIH27_25335
ko:K02040	kpz:KPNIH27_25340
ko:K00820	kpz:KPNIH27_25345
ko:K04042	kpz:KPNIH27_25350
ko:K02114	kpz:KPNIH27_25360
ko:K02112	kpz:KPNIH27_25365
ko:K02115	kpz:KPNIH27_25370
ko:K02111	kpz:KPNIH27_25375
ko:K02113	kpz:KPNIH27_25380
ko:K02109	kpz:KPNIH27_25385
ko:K02110	kpz:KPNIH27_25390
ko:K02108	kpz:KPNIH27_25395
ko:K02116	kpz:KPNIH27_25400
ko:K03501	kpz:KPNIH27_25405
ko:K03495	kpz:KPNIH27_25410
ko:K01978	kpz:KPNIH27_25430
ko:K01985	kpz:KPNIH27_00090
ko:K01985	kpz:KPNIH27_19345
ko:K01985	kpz:KPNIH27_00605
ko:K01985	kpz:KPNIH27_04570
ko:K01985	kpz:KPNIH27_01275
ko:K01985	kpz:KPNIH27_02920
ko:K01985	kpz:KPNIH27_22980
ko:K01985	kpz:KPNIH27_01060
ko:K01985	kpz:KPNIH27_22970
ko:K07347	kpz:KPNIH27_27710
ko:K05795	kpz:KPNIH27_28095
ko:K05795	kpz:KPNIH27_28100
ko:K05794	kpz:KPNIH27_28105
ko:K01870	kpz:KPNIH27_03610
ko:K03101	kpz:KPNIH27_03615
ko:K03774	kpz:KPNIH27_03620
ko:K03527	kpz:KPNIH27_03625
ko:K12700	kpz:KPNIH27_03630
ko:K00215	kpz:KPNIH27_03650
ko:K01956	kpz:KPNIH27_03660
ko:K01955	kpz:KPNIH27_03665
ko:K11746	kpz:KPNIH27_03675
ko:K01525	kpz:KPNIH27_03690
ko:K06195	kpz:KPNIH27_03695
ko:K02528	kpz:KPNIH27_03700
ko:K00097	kpz:KPNIH27_03705
ko:K03771	kpz:KPNIH27_03710
ko:K04744	kpz:KPNIH27_03715
ko:K05801	kpz:KPNIH27_03720
ko:K07702	kpz:KPNIH27_03725
ko:K07700	kpz:KPNIH27_03730
ko:K05964	kpz:KPNIH27_03740
