ko:K19744	bcen:DM39_657
ko:K03640	bcen:DM39_607
ko:K03641	bcen:DM39_608
ko:K03560	bcen:DM39_610
ko:K03562	bcen:DM39_611
ko:K07107	bcen:DM39_612
ko:K16066	bcen:DM39_613
ko:K00600	bcen:DM39_614
ko:K07738	bcen:DM39_615
ko:K08084	bcen:DM39_616
ko:K02672	bcen:DM39_618
ko:K02655	bcen:DM39_620
ko:K00252	bcen:DM39_625
ko:K05712	bcen:DM39_628
ko:K08195	bcen:DM39_630
ko:K09712	bcen:DM39_2383
ko:K07667	bcen:DM39_2384
ko:K07646	bcen:DM39_2385
ko:K01548	bcen:DM39_2386
ko:K01547	bcen:DM39_2387
ko:K01546	bcen:DM39_2388
ko:K01734	bcen:DM39_2392
ko:K00059	bcen:DM39_2393
ko:K00761	bcen:DM39_2394
ko:K01945	bcen:DM39_2396
ko:K00228	bcen:DM39_2397
ko:K00969	bcen:DM39_2398
ko:K00833	bcen:DM39_3019
ko:K00652	bcen:DM39_3020
ko:K01935	bcen:DM39_3021
ko:K01012	bcen:DM39_3022
ko:K07160	bcen:DM39_3024
ko:K01961	bcen:DM39_3026
ko:K01941	bcen:DM39_3027
ko:K06201	bcen:DM39_3030
ko:K03316	bcen:DM39_3032
ko:K04090	bcen:DM39_3033
ko:K00799	bcen:DM39_3036
ko:K08715	bcen:DM39_3037
ko:K02048	bcen:DM39_3038
ko:K01714	bcen:DM39_3039
ko:K16090	bcen:DM39_3044
ko:K00799	bcen:DM39_3045
ko:K11177	bcen:DM39_3047
ko:K11178	bcen:DM39_3048
ko:K13483	bcen:DM39_3049
ko:K01114	bcen:DM39_3051
ko:K07002	bcen:DM39_3052
ko:K06991	bcen:DM39_3053
ko:K12972	bcen:DM39_3054
ko:K01640	bcen:DM39_3055
ko:K06938	bcen:DM39_3057
ko:K03719	bcen:DM39_3059
ko:K01561	bcen:DM39_3060
ko:K00459	bcen:DM39_3061
ko:K14347	bcen:DM39_3065
ko:K00847	bcen:DM39_3069
ko:K08995	bcen:DM39_3502
ko:K03406	bcen:DM39_3507
ko:K13953	bcen:DM39_3508
ko:K15125	bcen:DM39_3520
ko:K09705	bcen:DM39_3522
ko:K15553	bcen:DM39_3894
ko:K00864	bcen:DM39_3911
ko:K16345	bcen:DM39_3917
ko:K16137	bcen:DM39_3919
ko:K01689	bcen:DM39_3921
ko:K09780	bcen:DM39_3931
ko:K02529	bcen:DM39_3932
ko:K03833	bcen:DM39_3933
ko:K01042	bcen:DM39_3934
ko:K02380	bcen:DM39_3935
ko:K03322	bcen:DM39_4344
ko:K07397	bcen:DM39_4346
ko:K07223	bcen:DM39_4347
ko:K06147	bcen:DM39_4348
ko:K13491	bcen:DM39_4349
ko:K13490	bcen:DM39_4350
ko:K13489	bcen:DM39_4351
ko:K13486	bcen:DM39_4352
ko:K13488	bcen:DM39_4353
ko:K13487	bcen:DM39_4354
ko:K03316	bcen:DM39_4356
ko:K01652	bcen:DM39_4358
ko:K05995	bcen:DM39_4365
ko:K00164	bcen:DM39_1399
ko:K00658	bcen:DM39_1400
ko:K00382	bcen:DM39_1401
ko:K06916	bcen:DM39_1402
ko:K01297	bcen:DM39_1939
ko:K11991	bcen:DM39_1940
ko:K03710	bcen:DM39_1943
ko:K02051	bcen:DM39_1946
ko:K02050	bcen:DM39_1947
ko:K02049	bcen:DM39_1948
ko:K01975	bcen:DM39_1953
ko:K02342	bcen:DM39_1954
ko:K00523	bcen:DM39_1985
ko:K02303	bcen:DM39_2558
ko:K00956	bcen:DM39_2559
ko:K00957	bcen:DM39_2560
ko:K00390	bcen:DM39_2561
ko:K00381	bcen:DM39_2563
ko:K13634	bcen:DM39_2564
ko:K01999	bcen:DM39_2565
ko:K07156	bcen:DM39_2572
ko:K06183	bcen:DM39_2573
ko:K00523	bcen:DM39_2576
ko:K01996	bcen:DM39_2580
ko:K01995	bcen:DM39_2581
ko:K01998	bcen:DM39_2582
ko:K01997	bcen:DM39_2583
ko:K03527	bcen:DM39_2585
ko:K03774	bcen:DM39_2586
ko:K03630	bcen:DM39_2587
ko:K02902	bcen:DM39_2588
ko:K02913	bcen:DM39_2589
ko:K00278	bcen:DM39_2590
ko:K00767	bcen:DM39_2591
ko:K03517	bcen:DM39_2592
ko:K03500	bcen:DM39_2595
ko:K11175	bcen:DM39_2596
ko:K11753	bcen:DM39_2597
ko:K01870	bcen:DM39_2598
ko:K03101	bcen:DM39_2599
ko:K13038	bcen:DM39_2600
ko:K03694	bcen:DM39_2604
ko:K06920	bcen:DM39_3218
ko:K03500	bcen:DM39_3223
ko:K03799	bcen:DM39_3224
ko:K00604	bcen:DM39_3226
ko:K01462	bcen:DM39_3227
ko:K04096	bcen:DM39_3228
ko:K00058	bcen:DM39_3232
ko:K02012	bcen:DM39_3245
ko:K01126	bcen:DM39_3609
ko:K04091	bcen:DM39_3614
ko:K02051	bcen:DM39_3616
ko:K02050	bcen:DM39_3617
ko:K02049	bcen:DM39_3618
ko:K15553	bcen:DM39_3620
ko:K07140	bcen:DM39_3621
ko:K07649	bcen:DM39_3622
ko:K07774	bcen:DM39_3623
ko:K02012	bcen:DM39_3624
ko:K02011	bcen:DM39_3625
ko:K02010	bcen:DM39_3626
ko:K02510	bcen:DM39_3633
ko:K00033	bcen:DM39_4015
ko:K03543	bcen:DM39_4024
ko:K03446	bcen:DM39_4025
ko:K01607	bcen:DM39_4040
ko:K11103	bcen:DM39_4041
ko:K07733	bcen:DM39_4221
ko:K09964	bcen:DM39_4223
ko:K05596	bcen:DM39_4225
ko:K16165	bcen:DM39_4230
ko:K00450	bcen:DM39_4231
ko:K01055	bcen:DM39_4939
ko:K01857	bcen:DM39_4940
ko:K01032	bcen:DM39_4941
ko:K01031	bcen:DM39_4942
ko:K00481	bcen:DM39_4943
ko:K01495	bcen:DM39_4945
ko:K00640	bcen:DM39_4947
ko:K05596	bcen:DM39_4952
ko:K06895	bcen:DM39_4953
ko:K00004	bcen:DM39_4960
ko:K11892	bcen:DM39_5021
ko:K11891	bcen:DM39_5022
ko:K04754	bcen:DM39_5025
ko:K07003	bcen:DM39_5026
ko:K02480	bcen:DM39_5031
ko:K01638	bcen:DM39_5033
ko:K11477	bcen:DM39_5034
ko:K11473	bcen:DM39_5035
ko:K11472	bcen:DM39_5036
ko:K00104	bcen:DM39_5037
ko:K11474	bcen:DM39_5038
ko:K05836	bcen:DM39_5078
ko:K09915	bcen:DM39_5080
ko:K01626	bcen:DM39_5082
ko:K03310	bcen:DM39_5084
ko:K00055	bcen:DM39_5086
ko:K00141	bcen:DM39_5087
ko:K03464	bcen:DM39_5089
ko:K03381	bcen:DM39_5090
ko:K05549	bcen:DM39_5091
ko:K05550	bcen:DM39_5092
ko:K05784	bcen:DM39_5093
ko:K05783	bcen:DM39_5094
ko:K08195	bcen:DM39_5096
ko:K05916	bcen:DM39_5098
ko:K06200	bcen:DM39_5126
ko:K01784	bcen:DM39_5129
ko:K11068	bcen:DM39_5136
ko:K10253	bcen:DM39_5138
ko:K03527	bcen:DM39_5143
ko:K01512	bcen:DM39_5147
ko:K05786	bcen:DM39_5148
ko:K03305	bcen:DM39_5151
ko:K15580	bcen:DM39_5153
ko:K15581	bcen:DM39_5154
ko:K01796	bcen:DM39_5182
ko:K07507	bcen:DM39_5185
ko:K17686	bcen:DM39_5189
ko:K00426	bcen:DM39_5196
ko:K00425	bcen:DM39_5197
ko:K01620	bcen:DM39_5200
ko:K05596	bcen:DM39_5201
ko:K00799	bcen:DM39_5203
ko:K02624	bcen:DM39_5268
ko:K03776	bcen:DM39_5270
ko:K00135	bcen:DM39_5271
ko:K00823	bcen:DM39_5272
ko:K00375	bcen:DM39_5273
ko:K01008	bcen:DM39_5279
ko:K03306	bcen:DM39_5353
ko:K03576	bcen:DM39_5357
ko:K00549	bcen:DM39_5358
ko:K12255	bcen:DM39_5361
ko:K08677	bcen:DM39_5365
ko:K01916	bcen:DM39_5367
ko:K00253	bcen:DM39_5405
ko:K01969	bcen:DM39_5406
ko:K13766	bcen:DM39_5407
ko:K01968	bcen:DM39_5408
ko:K00299	bcen:DM39_5426
ko:K02000	bcen:DM39_5431
ko:K02001	bcen:DM39_5432
ko:K02002	bcen:DM39_5434
ko:K12262	bcen:DM39_5441
ko:K07645	bcen:DM39_5442
ko:K00720	bcen:DM39_5445
ko:K08369	bcen:DM39_5508
ko:K01992	bcen:DM39_5509
ko:K01990	bcen:DM39_5510
ko:K07275	bcen:DM39_5514
ko:K02167	bcen:DM39_5522
ko:K18100	bcen:DM39_5523
ko:K18101	bcen:DM39_5525
ko:K12990	bcen:DM39_5527
ko:K03543	bcen:DM39_5529
ko:K03566	bcen:DM39_5532
ko:K00600	bcen:DM39_5538
ko:K01273	bcen:DM39_5539
ko:K02471	bcen:DM39_225
ko:K03153	bcen:DM39_227
ko:K03154	bcen:DM39_228
ko:K03149	bcen:DM39_229
ko:K00788	bcen:DM39_230
ko:K02065	bcen:DM39_231
ko:K02066	bcen:DM39_232
ko:K02067	bcen:DM39_233
ko:K04754	bcen:DM39_234
ko:K07323	bcen:DM39_235
ko:K07122	bcen:DM39_236
ko:K01990	bcen:DM39_237
ko:K01992	bcen:DM39_238
ko:K00790	bcen:DM39_240
ko:K00765	bcen:DM39_241
ko:K00013	bcen:DM39_242
ko:K00817	bcen:DM39_243
ko:K01693	bcen:DM39_244
ko:K05595	bcen:DM39_245
ko:K02501	bcen:DM39_246
ko:K01814	bcen:DM39_247
ko:K02500	bcen:DM39_248
ko:K01496	bcen:DM39_249
ko:K01523	bcen:DM39_250
ko:K02503	bcen:DM39_252
ko:K03116	bcen:DM39_253
ko:K03117	bcen:DM39_254
ko:K03118	bcen:DM39_255
ko:K00411	bcen:DM39_258
ko:K00412	bcen:DM39_259
ko:K00413	bcen:DM39_260
ko:K03599	bcen:DM39_261
ko:K16234	bcen:DM39_1089
ko:K03583	bcen:DM39_1091
ko:K03582	bcen:DM39_1092
ko:K03581	bcen:DM39_1093
ko:K15034	bcen:DM39_1094
ko:K04062	bcen:DM39_1098
ko:K03147	bcen:DM39_1099
ko:K02052	bcen:DM39_1108
ko:K02053	bcen:DM39_1109
ko:K02053	bcen:DM39_1110
ko:K02055	bcen:DM39_1111
ko:K03457	bcen:DM39_1121
ko:K06016	bcen:DM39_1124
ko:K13924	bcen:DM39_1129
ko:K01673	bcen:DM39_1130
ko:K07347	bcen:DM39_1132
ko:K07346	bcen:DM39_1133
ko:K03717	bcen:DM39_1137
ko:K09981	bcen:DM39_1139
ko:K13580	bcen:DM39_1625
ko:K09768	bcen:DM39_1626
ko:K03300	bcen:DM39_1632
ko:K13541	bcen:DM39_1635
ko:K03394	bcen:DM39_1636
ko:K06042	bcen:DM39_1637
ko:K02229	bcen:DM39_1638
ko:K00595	bcen:DM39_1639
ko:K02188	bcen:DM39_1640
ko:K05895	bcen:DM39_1641
ko:K05936	bcen:DM39_1642
ko:K03449	bcen:DM39_1643
ko:K02055	bcen:DM39_1646
ko:K02052	bcen:DM39_1647
ko:K02054	bcen:DM39_1648
ko:K02053	bcen:DM39_1649
ko:K07665	bcen:DM39_1654
ko:K07644	bcen:DM39_1656
ko:K18459	bcen:DM39_1662
ko:K03307	bcen:DM39_1663
ko:K00459	bcen:DM39_1667
ko:K00101	bcen:DM39_1674
ko:K07478	bcen:DM39_1676
ko:K04755	bcen:DM39_2194
ko:K04044	bcen:DM39_2195
ko:K04082	bcen:DM39_2196
ko:K13628	bcen:DM39_2197
ko:K04488	bcen:DM39_2198
ko:K04487	bcen:DM39_2199
ko:K13643	bcen:DM39_2200
ko:K01104	bcen:DM39_2201
ko:K07262	bcen:DM39_2206
ko:K00382	bcen:DM39_2208
ko:K00627	bcen:DM39_2209
ko:K00163	bcen:DM39_2210
ko:K01491	bcen:DM39_2213
ko:K01414	bcen:DM39_2214
ko:K02346	bcen:DM39_2215
ko:K01779	bcen:DM39_2216
ko:K01142	bcen:DM39_2218
ko:K01322	bcen:DM39_2219
ko:K07712	bcen:DM39_2220
ko:K07708	bcen:DM39_2221
ko:K01915	bcen:DM39_2222
ko:K03578	bcen:DM39_2228
ko:K14682	bcen:DM39_2229
ko:K00832	bcen:DM39_2238
ko:K00860	bcen:DM39_2243
ko:K12256	bcen:DM39_2244
ko:K07516	bcen:DM39_2811
ko:K08310	bcen:DM39_2815
ko:K01876	bcen:DM39_2816
ko:K03688	bcen:DM39_2820
ko:K03690	bcen:DM39_2821
ko:K03183	bcen:DM39_2823
ko:K01754	bcen:DM39_2827
ko:K06879	bcen:DM39_2828
ko:K06015	bcen:DM39_2830
ko:K01753	bcen:DM39_2832
ko:K05520	bcen:DM39_2833
ko:K00782	bcen:DM39_2844
ko:K03303	bcen:DM39_2846
ko:K07387	bcen:DM39_2847
ko:K00059	bcen:DM39_2850
ko:K02078	bcen:DM39_2851
ko:K00647	bcen:DM39_2858
ko:K00023	bcen:DM39_2863
ko:K01995	bcen:DM39_3356
ko:K01997	bcen:DM39_3362
ko:K01995	bcen:DM39_3363
ko:K01998	bcen:DM39_3363
ko:K01996	bcen:DM39_3364
ko:K03495	bcen:DM39_3365
ko:K03501	bcen:DM39_3366
ko:K02116	bcen:DM39_3370
ko:K02108	bcen:DM39_3371
ko:K02110	bcen:DM39_3372
ko:K02109	bcen:DM39_3373
ko:K02113	bcen:DM39_3374
ko:K02111	bcen:DM39_3375
ko:K02115	bcen:DM39_3376
ko:K02112	bcen:DM39_3377
ko:K02114	bcen:DM39_3378
ko:K00666	bcen:DM39_3379
ko:K01713	bcen:DM39_3380
ko:K16050	bcen:DM39_3387
ko:K03446	bcen:DM39_3747
ko:K18118	bcen:DM39_3748
ko:K01841	bcen:DM39_3753
ko:K03430	bcen:DM39_3755
ko:K01259	bcen:DM39_3759
ko:K01912	bcen:DM39_3761
ko:K11931	bcen:DM39_3772
ko:K00626	bcen:DM39_4152
ko:K01799	bcen:DM39_4153
ko:K15866	bcen:DM39_4158
ko:K00074	bcen:DM39_4159
ko:K00626	bcen:DM39_4160
ko:K15977	bcen:DM39_4164
ko:K07459	bcen:DM39_4169
ko:K03600	bcen:DM39_262
ko:K02424	bcen:DM39_272
ko:K11892	bcen:DM39_278
ko:K02841	bcen:DM39_707
ko:K02527	bcen:DM39_709
ko:K11903	bcen:DM39_713
ko:K03189	bcen:DM39_714
ko:K03188	bcen:DM39_715
ko:K03187	bcen:DM39_716
ko:K01428	bcen:DM39_717
ko:K01429	bcen:DM39_718
ko:K01430	bcen:DM39_719
ko:K03190	bcen:DM39_720
ko:K11963	bcen:DM39_721
ko:K11962	bcen:DM39_722
ko:K11961	bcen:DM39_723
ko:K11960	bcen:DM39_724
ko:K11959	bcen:DM39_725
ko:K00573	bcen:DM39_727
ko:K06153	bcen:DM39_731
ko:K03439	bcen:DM39_732
ko:K02970	bcen:DM39_746
ko:K06995	bcen:DM39_749
ko:K02518	bcen:DM39_750
ko:K03704	bcen:DM39_751
ko:K02014	bcen:DM39_1253
ko:K02013	bcen:DM39_1254
ko:K02016	bcen:DM39_1255
ko:K02015	bcen:DM39_1256
ko:K02484	bcen:DM39_1257
ko:K03088	bcen:DM39_1263
ko:K07165	bcen:DM39_1264
ko:K02014	bcen:DM39_1265
ko:K01607	bcen:DM39_1267
ko:K03300	bcen:DM39_1270
ko:K00981	bcen:DM39_1276
ko:K00995	bcen:DM39_1278
ko:K00694	bcen:DM39_1289
ko:K06911	bcen:DM39_1292
ko:K07397	bcen:DM39_1293
ko:K00428	bcen:DM39_1296
ko:K01886	bcen:DM39_1299
ko:K04062	bcen:DM39_1300
ko:K07002	bcen:DM39_1301
ko:K02939	bcen:DM39_1833
ko:K02963	bcen:DM39_1834
ko:K02686	bcen:DM39_1835
ko:K02990	bcen:DM39_1836
ko:K03088	bcen:DM39_1838
ko:K01608	bcen:DM39_1840
ko:K01424	bcen:DM39_1844
ko:K03424	bcen:DM39_1853
ko:K02341	bcen:DM39_1854
ko:K00943	bcen:DM39_1855
ko:K07082	bcen:DM39_1856
ko:K06980	bcen:DM39_1857
ko:K00626	bcen:DM39_1869
ko:K08281	bcen:DM39_1870
ko:K07516	bcen:DM39_1871
ko:K07305	bcen:DM39_1874
ko:K06190	bcen:DM39_1875
ko:K05527	bcen:DM39_1876
ko:K03769	bcen:DM39_1877
ko:K03824	bcen:DM39_1879
ko:K01952	bcen:DM39_1880
ko:K00285	bcen:DM39_1881
ko:K01810	bcen:DM39_1883
ko:K02003	bcen:DM39_1884
ko:K03181	bcen:DM39_2455
ko:K04079	bcen:DM39_2456
ko:K05825	bcen:DM39_2460
ko:K07240	bcen:DM39_2464
ko:K02621	bcen:DM39_2468
ko:K02622	bcen:DM39_2469
ko:K15738	bcen:DM39_2470
ko:K08276	bcen:DM39_2474
ko:K08169	bcen:DM39_2478
ko:K00697	bcen:DM39_2480
ko:K02049	bcen:DM39_2484
ko:K02050	bcen:DM39_2485
ko:K07638	bcen:DM39_2487
ko:K07659	bcen:DM39_2488
ko:K06911	bcen:DM39_2490
ko:K10014	bcen:DM39_2491
ko:K10016	bcen:DM39_2492
ko:K10015	bcen:DM39_2493
ko:K10017	bcen:DM39_2494
ko:K04751	bcen:DM39_2498
ko:K01950	bcen:DM39_2499
ko:K09919	bcen:DM39_2500
ko:K05349	bcen:DM39_2501
ko:K07461	bcen:DM39_2503
ko:K01507	bcen:DM39_2504
ko:K02399	bcen:DM39_3122
ko:K01262	bcen:DM39_3123
ko:K00974	bcen:DM39_3125
ko:K00329	bcen:DM39_3127
ko:K00356	bcen:DM39_3127
ko:K08309	bcen:DM39_3128
ko:K07160	bcen:DM39_3133
ko:K09973	bcen:DM39_3134
ko:K01940	bcen:DM39_4421
ko:K00483	bcen:DM39_4430
ko:K04487	bcen:DM39_4432
ko:K14414	bcen:DM39_4435
ko:K14415	bcen:DM39_4438
ko:K07074	bcen:DM39_4439
ko:K01740	bcen:DM39_4442
ko:K03811	bcen:DM39_4444
ko:K02014	bcen:DM39_4445
ko:K00666	bcen:DM39_4446
ko:K06871	bcen:DM39_4449
ko:K06147	bcen:DM39_4453
ko:K07006	bcen:DM39_4458
ko:K00799	bcen:DM39_4459
ko:K07687	bcen:DM39_4461
ko:K07347	bcen:DM39_4464
ko:K07346	bcen:DM39_4465
ko:K00355	bcen:DM39_4470
ko:K02051	bcen:DM39_4531
ko:K07774	bcen:DM39_4532
ko:K07649	bcen:DM39_4533
ko:K01996	bcen:DM39_4534
ko:K01995	bcen:DM39_4535
ko:K01997	bcen:DM39_4536
ko:K01998	bcen:DM39_4536
ko:K01999	bcen:DM39_4537
ko:K02014	bcen:DM39_4543
ko:K00817	bcen:DM39_4549
ko:K00453	bcen:DM39_4553
ko:K00486	bcen:DM39_4554
ko:K01432	bcen:DM39_4555
ko:K05306	bcen:DM39_4565
ko:K00799	bcen:DM39_4567
ko:K04077	bcen:DM39_4619
ko:K03574	bcen:DM39_4621
ko:K11717	bcen:DM39_4622
ko:K00640	bcen:DM39_4625
ko:K01999	bcen:DM39_4637
ko:K04065	bcen:DM39_4641
ko:K05520	bcen:DM39_4676
ko:K01759	bcen:DM39_4677
ko:K07004	bcen:DM39_4686
ko:K00799	bcen:DM39_4687
ko:K08194	bcen:DM39_4688
ko:K11073	bcen:DM39_4692
ko:K10713	bcen:DM39_4730
ko:K00135	bcen:DM39_4732
ko:K08368	bcen:DM39_4733
ko:K03566	bcen:DM39_4737
ko:K07248	bcen:DM39_4738
ko:K02000	bcen:DM39_4743
ko:K02001	bcen:DM39_4744
ko:K02002	bcen:DM39_4745
ko:K00156	bcen:DM39_4751
ko:K03787	bcen:DM39_4787
ko:K16246	bcen:DM39_4839
ko:K16245	bcen:DM39_4840
ko:K16242	bcen:DM39_4841
ko:K16244	bcen:DM39_4842
ko:K05782	bcen:DM39_4850
ko:K07506	bcen:DM39_4852
ko:K03885	bcen:DM39_4855
ko:K04758	bcen:DM39_4884
ko:K04759	bcen:DM39_4885
ko:K06016	bcen:DM39_4889
ko:K01868	bcen:DM39_4891
ko:K02014	bcen:DM39_4897
ko:K01990	bcen:DM39_4898
ko:K01992	bcen:DM39_4899
ko:K01992	bcen:DM39_4900
ko:K13993	bcen:DM39_4903
ko:K04078	bcen:DM39_4905
ko:K04077	bcen:DM39_4906
ko:K03832	bcen:DM39_4910
ko:K03559	bcen:DM39_4911
ko:K01666	bcen:DM39_4966
ko:K04073	bcen:DM39_4967
ko:K02554	bcen:DM39_4968
ko:K12372	bcen:DM39_3135
ko:K12371	bcen:DM39_3136
ko:K12370	bcen:DM39_3137
ko:K12369	bcen:DM39_3138
ko:K12368	bcen:DM39_3139
ko:K01338	bcen:DM39_3143
ko:K00528	bcen:DM39_3147
ko:K03294	bcen:DM39_3150
ko:K07402	bcen:DM39_3151
ko:K09939	bcen:DM39_3152
ko:K04061	bcen:DM39_3153
ko:K02423	bcen:DM39_3155
ko:K02422	bcen:DM39_3156
ko:K02408	bcen:DM39_3157
ko:K02409	bcen:DM39_3158
ko:K02410	bcen:DM39_3159
ko:K02411	bcen:DM39_3160
ko:K02412	bcen:DM39_3161
ko:K02413	bcen:DM39_3162
ko:K02414	bcen:DM39_3163
ko:K00154	bcen:DM39_3165
ko:K08224	bcen:DM39_3168
ko:K00477	bcen:DM39_3173
ko:K01266	bcen:DM39_3558
ko:K00140	bcen:DM39_3563
ko:K00822	bcen:DM39_3564
ko:K07124	bcen:DM39_3573
ko:K03719	bcen:DM39_3577
ko:K10716	bcen:DM39_3579
ko:K00666	bcen:DM39_3581
ko:K01696	bcen:DM39_3962
ko:K01817	bcen:DM39_3963
ko:K06173	bcen:DM39_3964
ko:K00133	bcen:DM39_3966
ko:K00052	bcen:DM39_3967
ko:K01704	bcen:DM39_3968
ko:K01703	bcen:DM39_3969
ko:K00428	bcen:DM39_3970
ko:K00799	bcen:DM39_3974
ko:K01482	bcen:DM39_3980
ko:K01647	bcen:DM39_3984
ko:K09159	bcen:DM39_3985
ko:K00240	bcen:DM39_3986
ko:K06188	bcen:DM39_55
ko:K02403	bcen:DM39_58
ko:K02402	bcen:DM39_59
ko:K02556	bcen:DM39_60
ko:K02557	bcen:DM39_61
ko:K03413	bcen:DM39_62
ko:K03407	bcen:DM39_63
ko:K03408	bcen:DM39_64
ko:K00575	bcen:DM39_66
ko:K03411	bcen:DM39_67
ko:K03412	bcen:DM39_68
ko:K03413	bcen:DM39_69
ko:K03414	bcen:DM39_70
ko:K02401	bcen:DM39_73
ko:K02400	bcen:DM39_74
ko:K02404	bcen:DM39_75
ko:K04562	bcen:DM39_76
ko:K02405	bcen:DM39_77
ko:K01251	bcen:DM39_78
ko:K08972	bcen:DM39_79
ko:K00297	bcen:DM39_80
ko:K01426	bcen:DM39_81
ko:K01061	bcen:DM39_82
ko:K00459	bcen:DM39_83
ko:K01999	bcen:DM39_84
ko:K07226	bcen:DM39_86
ko:K03642	bcen:DM39_92
ko:K07056	bcen:DM39_93
ko:K07460	bcen:DM39_94
ko:K03271	bcen:DM39_95
ko:K08738	bcen:DM39_97
ko:K03969	bcen:DM39_100
ko:K01706	bcen:DM39_103
ko:K03535	bcen:DM39_104
ko:K09965	bcen:DM39_105
ko:K11159	bcen:DM39_106
ko:K02004	bcen:DM39_108
ko:K02003	bcen:DM39_109
ko:K03551	bcen:DM39_497
ko:K03550	bcen:DM39_498
ko:K01159	bcen:DM39_499
ko:K00602	bcen:DM39_500
ko:K03557	bcen:DM39_501
ko:K05540	bcen:DM39_502
ko:K03185	bcen:DM39_503
ko:K01262	bcen:DM39_504
ko:K00799	bcen:DM39_505
ko:K00566	bcen:DM39_507
ko:K00324	bcen:DM39_509
ko:K00324	bcen:DM39_510
ko:K00325	bcen:DM39_511
ko:K06996	bcen:DM39_515
ko:K07444	bcen:DM39_516
ko:K09857	bcen:DM39_518
ko:K06192	bcen:DM39_519
ko:K03808	bcen:DM39_520
ko:K03808	bcen:DM39_521
ko:K12262	bcen:DM39_522
ko:K03762	bcen:DM39_525
ko:K03074	bcen:DM39_527
ko:K03072	bcen:DM39_528
ko:K03210	bcen:DM39_529
ko:K00773	bcen:DM39_530
ko:K07568	bcen:DM39_531
ko:K03655	bcen:DM39_532
ko:K04761	bcen:DM39_533
ko:K03782	bcen:DM39_535
ko:K04047	bcen:DM39_537
ko:K03179	bcen:DM39_538
ko:K00286	bcen:DM39_539
ko:K06997	bcen:DM39_540
ko:K11473	bcen:DM39_541
ko:K11472	bcen:DM39_542
ko:K00104	bcen:DM39_543
ko:K00798	bcen:DM39_545
ko:K05916	bcen:DM39_546
ko:K03703	bcen:DM39_981
ko:K03823	bcen:DM39_992
ko:K01265	bcen:DM39_995
ko:K06911	bcen:DM39_998
ko:K02348	bcen:DM39_999
ko:K07152	bcen:DM39_1002
ko:K01087	bcen:DM39_1003
