ko:K03925	tpg:TPEGAU_0383
ko:K01921	tpg:TPEGAU_0670
ko:K01880	tpg:TPEGAU_0672
ko:K01775	tpg:TPEGAU_0681
ko:K02523	tpg:TPEGAU_0683
ko:K10542	tpg:TPEGAU_0685
ko:K03655	tpg:TPEGAU_0687
ko:K03977	tpg:TPEGAU_0689
ko:K01897	tpg:TPEGAU_0145
ko:K09005	tpg:TPEGAU_0087
ko:K00075	tpg:TPEGAU_0090
ko:K01883	tpg:TPEGAU_0091
ko:K03088	tpg:TPEGAU_0092
ko:K02518	tpg:TPEGAU_0097
ko:K09903	tpg:TPEGAU_0099
ko:K03657	tpg:TPEGAU_0102
ko:K03654	tpg:TPEGAU_0103
ko:K03218	tpg:TPEGAU_0109
ko:K03092	tpg:TPEGAU_0111
ko:K04088	tpg:TPEGAU_0113
ko:K04087	tpg:TPEGAU_0114
ko:K00868	tpg:TPEGAU_0115
ko:K03702	tpg:TPEGAU_0116
ko:K02072	tpg:TPEGAU_0119
ko:K02071	tpg:TPEGAU_0120
ko:K03928	tpg:TPEGAU_0902
ko:K01925	tpg:TPEGAU_0903
ko:K02959	tpg:TPEGAU_0905
ko:K06960	tpg:TPEGAU_0906
ko:K02860	tpg:TPEGAU_0907
ko:K00554	tpg:TPEGAU_0908
ko:K02884	tpg:TPEGAU_0909
ko:K04061	tpg:TPEGAU_0911
ko:K07460	tpg:TPEGAU_0913
ko:K06213	tpg:TPEGAU_0917
ko:K03671	tpg:TPEGAU_0919
ko:K06959	tpg:TPEGAU_0924
ko:K03100	tpg:TPEGAU_0926
ko:K01928	tpg:TPEGAU_0933
ko:K07095	tpg:TPEGAU_0937
ko:K03737	tpg:TPEGAU_0939
ko:K02422	tpg:TPEGAU_0943
ko:K03523	tpg:TPEGAU_0228
ko:K04066	tpg:TPEGAU_0230
ko:K02913	tpg:TPEGAU_0234
ko:K03073	tpg:TPEGAU_0235
ko:K02601	tpg:TPEGAU_0236
ko:K02867	tpg:TPEGAU_0237
ko:K02863	tpg:TPEGAU_0238
ko:K02864	tpg:TPEGAU_0239
ko:K02935	tpg:TPEGAU_0240
ko:K03043	tpg:TPEGAU_0241
ko:K03046	tpg:TPEGAU_0242
ko:K02950	tpg:TPEGAU_0243
ko:K02992	tpg:TPEGAU_0244
ko:K01448	tpg:TPEGAU_0247
ko:K04764	tpg:TPEGAU_0251
ko:K03820	tpg:TPEGAU_0252
ko:K03628	tpg:TPEGAU_0254
ko:K02909	tpg:TPEGAU_0255
ko:K00995	tpg:TPEGAU_0256
ko:K01126	tpg:TPEGAU_0257
ko:K03311	tpg:TPEGAU_0265
ko:K01835	tpg:TPEGAU_0642
ko:K02342	tpg:TPEGAU_0643
ko:K11072	tpg:TPEGAU_0652
ko:K11071	tpg:TPEGAU_0653
ko:K11069	tpg:TPEGAU_0655
ko:K01885	tpg:TPEGAU_0673
ko:K01409	tpg:TPEGAU_0680
ko:K02427	tpg:TPEGAU_0682
ko:K10540	tpg:TPEGAU_0684
ko:K10541	tpg:TPEGAU_0686
ko:K01934	tpg:TPEGAU_0694
ko:K09749	tpg:TPEGAU_0710
ko:K03784	tpg:TPEGAU_0734
ko:K02025	tpg:TPEGAU_0075
ko:K00625	tpg:TPEGAU_0094
ko:K06196	tpg:TPEGAU_0101
ko:K03451	tpg:TPEGAU_0106
ko:K01372	tpg:TPEGAU_0112
ko:K01596	tpg:TPEGAU_0122
ko:K03386	tpg:TPEGAU_0509
ko:K03499	tpg:TPEGAU_0513
ko:K00949	tpg:TPEGAU_0518
ko:K02120	tpg:TPEGAU_0527
ko:K02118	tpg:TPEGAU_0528
ko:K02117	tpg:TPEGAU_0529
ko:K02121	tpg:TPEGAU_0530
ko:K02122	tpg:TPEGAU_0531
ko:K02123	tpg:TPEGAU_0533
ko:K03709	tpg:TPEGAU_0167
ko:K01243	tpg:TPEGAU_0170
ko:K03087	tpg:TPEGAU_1012
ko:K02433	tpg:TPEGAU_1020
ko:K07052	tpg:TPEGAU_0335
ko:K03469	tpg:TPEGAU_0353
ko:K03409	tpg:TPEGAU_0365
ko:K10843	tpg:TPEGAU_0380
ko:K07584	tpg:TPEGAU_0744
ko:K01006	tpg:TPEGAU_0746
ko:K02806	tpg:TPEGAU_0755
ko:K02056	tpg:TPEGAU_0300
ko:K02030	tpg:TPEGAU_0308
ko:K02030	tpg:TPEGAU_0309
ko:K08974	tpg:TPEGAU_0312
ko:K02056	tpg:TPEGAU_0321
ko:K00033	tpg:TPEGAU_0331
ko:K07004	tpg:TPEGAU_0544
ko:K10540	tpg:TPEGAU_0545
ko:K01262	tpg:TPEGAU_0569
ko:K08483	tpg:TPEGAU_0575
ko:K11189	tpg:TPEGAU_0589
ko:K06023	tpg:TPEGAU_0591
ko:K07258	tpg:TPEGAU_0800
ko:K06976	tpg:TPEGAU_0815
ko:K00784	tpg:TPEGAU_0819
ko:K02428	tpg:TPEGAU_0438
ko:K03406	tpg:TPEGAU_0488
ko:K03499	tpg:TPEGAU_0024
ko:K09815	tpg:TPEGAU_0034
ko:K07035	tpg:TPEGAU_0038
ko:K01488	tpg:TPEGAU_0045
ko:K01571	tpg:TPEGAU_0056
ko:K01572	tpg:TPEGAU_0057
ko:K03177	tpg:TPEGAU_0889
ko:K04763	tpg:TPEGAU_0391
ko:K07025	tpg:TPEGAU_0407
ko:K02121	tpg:TPEGAU_0424
ko:K02117	tpg:TPEGAU_0426
ko:K02118	tpg:TPEGAU_0427
ko:K02120	tpg:TPEGAU_0428
ko:K02123	tpg:TPEGAU_0429
ko:K02124	tpg:TPEGAU_0430
ko:K03499	tpg:TPEGAU_0139
ko:K00567	tpg:TPEGAU_0141
ko:K07025	tpg:TPEGAU_0158
ko:K11707	tpg:TPEGAU_0163
ko:K11710	tpg:TPEGAU_0164
ko:K11708	tpg:TPEGAU_0165
ko:K11709	tpg:TPEGAU_0166
ko:K06346	tpg:TPEGAU_0948
ko:K02004	tpg:TPEGAU_0962
ko:K02004	tpg:TPEGAU_0963
ko:K06179	tpg:TPEGAU_0231
ko:K01619	tpg:TPEGAU_0264
ko:K00974	tpg:TPEGAU_0270
ko:K00939	tpg:TPEGAU_0595
ko:K04488	tpg:TPEGAU_0615
ko:K00575	tpg:TPEGAU_0630
ko:K03406	tpg:TPEGAU_0639
ko:K03406	tpg:TPEGAU_0640
ko:K14230	tpg:TPEGAU_t0037
ko:K14235	tpg:TPEGAU_t0014
ko:K00970	tpg:TPEGAU_0596
ko:K02062	tpg:TPEGAU_0142
ko:K14226	tpg:TPEGAU_t0032
ko:K01834	tpg:TPEGAU_0168
ko:K00850	tpg:TPEGAU_0108
ko:K14237	tpg:TPEGAU_t0036
ko:K16783	tpg:TPEGAU_0226
ko:K16784	tpg:TPEGAU_0227
ko:K07260	tpg:TPEGAU_0221
ko:K14219	tpg:TPEGAU_t0003
ko:K14219	tpg:TPEGAU_t0030
ko:K14237	tpg:TPEGAU_t0009
ko:K01980	tpg:TPEGAU_r0002
ko:K01980	tpg:TPEGAU_r0005
ko:K01985	tpg:TPEGAU_r0003
ko:K01985	tpg:TPEGAU_r0006
ko:K14234	tpg:TPEGAU_t0013
ko:K14234	tpg:TPEGAU_t0019
ko:K14234	tpg:TPEGAU_t0042
ko:K14230	tpg:TPEGAU_t0029
ko:K01977	tpg:TPEGAU_r0001
ko:K01977	tpg:TPEGAU_r0004
ko:K14227	tpg:TPEGAU_t0015
ko:K14218	tpg:TPEGAU_t0012
ko:K14218	tpg:TPEGAU_t0041
ko:K14218	tpg:TPEGAU_t0045
ko:K14236	tpg:TPEGAU_t0020
ko:K01978	tpg:TPEGAU_nc0003
ko:K14229	tpg:TPEGAU_t0021
ko:K14229	tpg:TPEGAU_t0039
ko:K14220	tpg:TPEGAU_t0024
ko:K14222	tpg:TPEGAU_t0025
ko:K14232	tpg:TPEGAU_t0027
ko:K14232	tpg:TPEGAU_t0034
ko:K14232	tpg:TPEGAU_t0038
ko:K14221	tpg:TPEGAU_t0028
ko:K14231	tpg:TPEGAU_t0033
ko:K14225	tpg:TPEGAU_t0017
ko:K14225	tpg:TPEGAU_t0023
ko:K14219	tpg:TPEGAU_t0035
ko:K14228	tpg:TPEGAU_t0040
ko:K14228	tpg:TPEGAU_t0044
ko:K14237	tpg:TPEGAU_t0043
ko:K00895	tpg:TPEGAU_0542
ko:K09810	tpg:TPEGAU_0581
ko:K02003	tpg:TPEGAU_0964
ko:K01983	tpg:TPEGAU_nc0001
ko:K14233	tpg:TPEGAU_t0001
ko:K14233	tpg:TPEGAU_t0002
ko:K14233	tpg:TPEGAU_t0004
ko:K14233	tpg:TPEGAU_t0005
ko:K14219	tpg:TPEGAU_t0031
ko:K14219	tpg:TPEGAU_t0026
ko:K14223	tpg:TPEGAU_t0006
ko:K14223	tpg:TPEGAU_t0018
ko:K14224	tpg:TPEGAU_t0007
ko:K14224	tpg:TPEGAU_t0008
ko:K14228	tpg:TPEGAU_t0016
ko:K14228	tpg:TPEGAU_t0022
ko:K14230	tpg:TPEGAU_t0011
ko:K07091	tpg:TPEGAU_0884
ko:K11720	tpg:TPEGAU_0883
ko:K11070	tpg:TPEGAU_0654
ko:K15035	tpg:TPEGAU_nc0002
ko:K10112	tpg:TPEGAU_0804
ko:K01992	tpg:TPEGAU_0880
ko:K01990	tpg:TPEGAU_0881
ko:K14228	tpg:TPEGAU_t0010
ko:K17686	tpg:TPEGAU_1036
ko:K02026	tpg:TPEGAU_0076
ko:K06972	tpg:TPEGAU_0025
ko:K12146	tpg:TPEGAU_0082
ko:K02027	tpg:TPEGAU_0074
ko:K02058	tpg:TPEGAU_0298
ko:K07003	tpg:TPEGAU_0790
ko:K03406	tpg:TPEGAU_0040
ko:K06881	tpg:TPEGAU_0436
ko:K03686	tpg:TPEGAU_0098
ko:K03060	tpg:TPEGAU_0701
ko:K01768	tpg:TPEGAU_0485
ko:K18707	tpg:TPEGAU_0269
ko:K18682	tpg:TPEGAU_1018
ko:K03497	tpg:TPEGAU_0271
ko:K03496	tpg:TPEGAU_0272
ko:K03111	tpg:TPEGAU_0062
ko:K00849	tpg:TPEGAU_0418
ko:K14742	tpg:TPEGAU_0876
ko:K03526	tpg:TPEGAU_0446
ko:K06867	tpg:TPEGAU_0502
ko:K06867	tpg:TPEGAU_0835
ko:K02806	tpg:TPEGAU_0085
ko:K04749	tpg:TPEGAU_0540
ko:K11751	tpg:TPEGAU_0104
ko:K00525	tpg:TPEGAU_1008
ko:K03498	tpg:TPEGAU_0140
ko:K03733	tpg:TPEGAU_0395
ko:K02035	tpg:TPEGAU_0585
ko:K18672	tpg:TPEGAU_0826
ko:K03465	tpg:TPEGAU_1007
ko:K02314	tpg:TPEGAU_0058
ko:K02316	tpg:TPEGAU_0492
ko:K03553	tpg:TPEGAU_0692
ko:K01520	tpg:TPEGAU_0885
ko:K06223	tpg:TPEGAU_0810
ko:K01493	tpg:TPEGAU_0274
ko:K03546	tpg:TPEGAU_0627
ko:K02335	tpg:TPEGAU_0105
ko:K02027	tpg:TPEGAU_0737
ko:K02383	tpg:TPEGAU_0567
ko:K00526	tpg:TPEGAU_0053
ko:K21929	tpg:TPEGAU_0229
ko:K03595	tpg:TPEGAU_0541
