ko:K18893	babt:DK49_1275
ko:K02600	babt:DK49_1848
ko:K07742	babt:DK49_1849
ko:K02519	babt:DK49_1850
ko:K02834	babt:DK49_1851
ko:K03177	babt:DK49_1852
ko:K02488	babt:DK49_2639
ko:K11443	babt:DK49_2640
ko:K06140	babt:DK49_2642
ko:K02346	babt:DK49_2643
ko:K02342	babt:DK49_2651
ko:K00285	babt:DK49_2656
ko:K02030	babt:DK49_2657
ko:K02030	babt:DK49_2658
ko:K01032	babt:DK49_2663
ko:K01031	babt:DK49_2664
ko:K02624	babt:DK49_2665
ko:K00481	babt:DK49_2667
ko:K02623	babt:DK49_2668
ko:K01055	babt:DK49_2669
ko:K01607	babt:DK49_2670
ko:K00449	babt:DK49_2672
ko:K00448	babt:DK49_2673
ko:K01857	babt:DK49_2674
ko:K01999	babt:DK49_2675
ko:K01997	babt:DK49_2676
ko:K01998	babt:DK49_2677
ko:K01995	babt:DK49_2678
ko:K01996	babt:DK49_2679
ko:K01486	babt:DK49_2680
ko:K01273	babt:DK49_2681
ko:K05813	babt:DK49_2682
ko:K05814	babt:DK49_2683
ko:K05815	babt:DK49_2684
ko:K05816	babt:DK49_2685
ko:K06901	babt:DK49_2688
ko:K07126	babt:DK49_417
ko:K00817	babt:DK49_421
ko:K08309	babt:DK49_428
ko:K01714	babt:DK49_429
ko:K03664	babt:DK49_430
ko:K03060	babt:DK49_433
ko:K00762	babt:DK49_435
ko:K08223	babt:DK49_438
ko:K09928	babt:DK49_440
ko:K00997	babt:DK49_441
ko:K03100	babt:DK49_442
ko:K03685	babt:DK49_443
ko:K03584	babt:DK49_446
ko:K06980	babt:DK49_448
ko:K01465	babt:DK49_449
ko:K06895	babt:DK49_456
ko:K01883	babt:DK49_457
ko:K01649	babt:DK49_459
ko:K05786	babt:DK49_460
ko:K02528	babt:DK49_462
ko:K00097	babt:DK49_463
ko:K03771	babt:DK49_464
ko:K04744	babt:DK49_465
ko:K11720	babt:DK49_466
ko:K07091	babt:DK49_467
ko:K01255	babt:DK49_468
ko:K02339	babt:DK49_469
ko:K01955	babt:DK49_1226
ko:K02471	babt:DK49_1227
ko:K03704	babt:DK49_1229
ko:K00799	babt:DK49_1230
ko:K00812	babt:DK49_1231
ko:K00384	babt:DK49_1235
ko:K03498	babt:DK49_1236
ko:K12989	babt:DK49_1238
ko:K03624	babt:DK49_1239
ko:K09922	babt:DK49_1242
ko:K10806	babt:DK49_1244
ko:K03702	babt:DK49_1246
ko:K07659	babt:DK49_1253
ko:K07638	babt:DK49_1254
ko:K06878	babt:DK49_1255
ko:K13292	babt:DK49_1258
ko:K05810	babt:DK49_1260
ko:K00948	babt:DK49_1263
ko:K06915	babt:DK49_1264
ko:K02897	babt:DK49_1265
ko:K01056	babt:DK49_1266
ko:K06942	babt:DK49_1267
ko:K00759	babt:DK49_1270
ko:K00413	babt:DK49_1272
ko:K00412	babt:DK49_1273
ko:K00411	babt:DK49_1274
ko:K03216	babt:DK49_1277
ko:K02444	babt:DK49_2061
ko:K00111	babt:DK49_2062
ko:K00138	babt:DK49_2064
ko:K00138	babt:DK49_2065
ko:K13953	babt:DK49_2066
ko:K09959	babt:DK49_2067
ko:K02529	babt:DK49_2068
ko:K06147	babt:DK49_2069
ko:K15599	babt:DK49_2071
ko:K03707	babt:DK49_2072
ko:K15598	babt:DK49_2073
ko:K00788	babt:DK49_2074
ko:K03149	babt:DK49_2075
ko:K03154	babt:DK49_2076
ko:K03153	babt:DK49_2077
ko:K00941	babt:DK49_2078
ko:K05846	babt:DK49_2082
ko:K01995	babt:DK49_2083
ko:K01998	babt:DK49_2083
ko:K01996	babt:DK49_2084
ko:K07090	babt:DK49_2086
ko:K03710	babt:DK49_2087
ko:K02027	babt:DK49_2088
ko:K02026	babt:DK49_2089
ko:K02025	babt:DK49_2090
ko:K10112	babt:DK49_2091
ko:K02049	babt:DK49_2096
ko:K02050	babt:DK49_2097
ko:K16087	babt:DK49_2099
ko:K01999	babt:DK49_2101
ko:K01997	babt:DK49_2102
ko:K01997	babt:DK49_2103
ko:K01998	babt:DK49_2104
ko:K01995	babt:DK49_2105
ko:K01996	babt:DK49_2106
ko:K06886	babt:DK49_2902
ko:K01476	babt:DK49_2904
ko:K10680	babt:DK49_2906
ko:K06959	babt:DK49_2909
ko:K00128	babt:DK49_2913
ko:K01433	babt:DK49_2914
ko:K01443	babt:DK49_2916
ko:K00820	babt:DK49_2917
ko:K03710	babt:DK49_2918
ko:K00101	babt:DK49_2924
ko:K01775	babt:DK49_2927
ko:K00285	babt:DK49_2928
ko:K00822	babt:DK49_2930
ko:K05836	babt:DK49_2931
ko:K01468	babt:DK49_2933
ko:K01745	babt:DK49_2934
ko:K01479	babt:DK49_2935
ko:K01712	babt:DK49_2936
ko:K09975	babt:DK49_2937
ko:K00824	babt:DK49_2938
ko:K10547	babt:DK49_2939
ko:K10548	babt:DK49_2940
ko:K10546	babt:DK49_2941
ko:K10546	babt:DK49_2942
ko:K01631	babt:DK49_2943
ko:K00883	babt:DK49_2944
ko:K01687	babt:DK49_2945
ko:K01652	babt:DK49_2949
ko:K01266	babt:DK49_2951
ko:K18335	babt:DK49_24
ko:K18334	babt:DK49_26
ko:K02395	babt:DK49_40
ko:K09862	babt:DK49_63
ko:K06287	babt:DK49_64
ko:K02518	babt:DK49_65
ko:K00013	babt:DK49_68
ko:K00790	babt:DK49_70
ko:K03190	babt:DK49_79
ko:K01430	babt:DK49_80
ko:K01429	babt:DK49_82
ko:K01428	babt:DK49_83
ko:K03187	babt:DK49_84
ko:K03188	babt:DK49_85
ko:K03189	babt:DK49_86
ko:K00954	babt:DK49_859
ko:K02469	babt:DK49_861
ko:K05595	babt:DK49_862
ko:K05774	babt:DK49_863
ko:K05774	babt:DK49_864
ko:K02043	babt:DK49_865
ko:K03701	babt:DK49_870
ko:K03530	babt:DK49_871
ko:K01338	babt:DK49_872
ko:K03544	babt:DK49_873
ko:K01358	babt:DK49_874
ko:K03665	babt:DK49_875
ko:K03666	babt:DK49_876
ko:K03499	babt:DK49_878
ko:K13599	babt:DK49_879
ko:K13598	babt:DK49_880
ko:K07712	babt:DK49_881
ko:K07708	babt:DK49_882
ko:K12506	babt:DK49_884
ko:K03743	babt:DK49_885
ko:K18588	babt:DK49_886
ko:K03644	babt:DK49_888
ko:K00382	babt:DK49_889
ko:K00627	babt:DK49_890
ko:K00162	babt:DK49_891
ko:K00161	babt:DK49_892
ko:K01689	babt:DK49_895
ko:K01627	babt:DK49_896
ko:K01937	babt:DK49_897
ko:K03075	babt:DK49_899
ko:K01803	babt:DK49_900
ko:K03770	babt:DK49_901
ko:K00766	babt:DK49_902
ko:K01609	babt:DK49_903
ko:K03637	babt:DK49_904
ko:K03750	babt:DK49_905
ko:K01356	babt:DK49_907
ko:K01885	babt:DK49_908
ko:K09125	babt:DK49_1705
ko:K02902	babt:DK49_1706
ko:K01534	babt:DK49_1709
ko:K09883	babt:DK49_1712
ko:K05527	babt:DK49_1715
ko:K01735	babt:DK49_1717
ko:K00891	babt:DK49_1718
ko:K04763	babt:DK49_1720
ko:K01962	babt:DK49_1721
ko:K04085	babt:DK49_1723
ko:K00059	babt:DK49_1729
ko:K02529	babt:DK49_1740
ko:K01989	babt:DK49_1743
ko:K05832	babt:DK49_1744
ko:K05833	babt:DK49_1745
ko:K02340	babt:DK49_1746
ko:K05559	babt:DK49_2536
ko:K05560	babt:DK49_2537
ko:K05561	babt:DK49_2538
ko:K05562	babt:DK49_2539
ko:K05563	babt:DK49_2540
ko:K05564	babt:DK49_2541
ko:K16013	babt:DK49_2543
ko:K16012	babt:DK49_2544
ko:K00425	babt:DK49_2545
ko:K00426	babt:DK49_2546
ko:K03710	babt:DK49_2548
ko:K18676	babt:DK49_2549
ko:K10117	babt:DK49_2550
ko:K10117	babt:DK49_2551
ko:K10118	babt:DK49_2552
ko:K10119	babt:DK49_2553
ko:K10111	babt:DK49_2555
ko:K00166	babt:DK49_2556
ko:K00167	babt:DK49_2557
ko:K09699	babt:DK49_2558
ko:K00382	babt:DK49_2560
ko:K14998	babt:DK49_2559
ko:K03466	babt:DK49_2562
ko:K01266	babt:DK49_2563
ko:K08369	babt:DK49_2564
ko:K03919	babt:DK49_2565
ko:K10823	babt:DK49_2566
ko:K15583	babt:DK49_2566
ko:K15582	babt:DK49_2567
ko:K15581	babt:DK49_2568
ko:K15580	babt:DK49_2569
ko:K15580	babt:DK49_2570
ko:K00012	babt:DK49_2576
ko:K07039	babt:DK49_2583
ko:K01711	babt:DK49_316
ko:K01840	babt:DK49_327
ko:K00971	babt:DK49_328
ko:K12995	babt:DK49_330
ko:K10441	babt:DK49_331
ko:K10440	babt:DK49_332
ko:K10439	babt:DK49_333
ko:K01805	babt:DK49_336
ko:K00854	babt:DK49_337
ko:K02529	babt:DK49_338
ko:K02167	babt:DK49_342
ko:K07341	babt:DK49_344
ko:K03284	babt:DK49_347
ko:K03449	babt:DK49_349
ko:K03449	babt:DK49_350
ko:K06915	babt:DK49_352
ko:K01560	babt:DK49_355
ko:K04564	babt:DK49_356
ko:K00053	babt:DK49_1126
ko:K03549	babt:DK49_1128
ko:K03474	babt:DK49_1129
ko:K01653	babt:DK49_1132
ko:K01652	babt:DK49_1133
ko:K00791	babt:DK49_1134
ko:K01079	babt:DK49_1135
ko:K07007	babt:DK49_1136
ko:K09937	babt:DK49_1138
ko:K04087	babt:DK49_1139
ko:K04088	babt:DK49_1140
ko:K07552	babt:DK49_1144
ko:K09985	babt:DK49_1146
ko:K03657	babt:DK49_1155
ko:K05805	babt:DK49_1156
ko:K07152	babt:DK49_1158
ko:K02687	babt:DK49_1159
ko:K01262	babt:DK49_1160
ko:K01972	babt:DK49_1162
ko:K03631	babt:DK49_1163
ko:K05807	babt:DK49_1164
ko:K02535	babt:DK49_1165
ko:K03531	babt:DK49_1166
ko:K03590	babt:DK49_1167
ko:K03589	babt:DK49_1168
ko:K01921	babt:DK49_1169
ko:K00075	babt:DK49_1170
ko:K01924	babt:DK49_1171
ko:K02563	babt:DK49_1172
ko:K06890	babt:DK49_1956
ko:K03823	babt:DK49_1958
ko:K01681	babt:DK49_1961
ko:K02193	babt:DK49_1962
ko:K02194	babt:DK49_1963
ko:K02195	babt:DK49_1964
ko:K02196	babt:DK49_1965
ko:K02199	babt:DK49_1966
ko:K01687	babt:DK49_1967
ko:K02048	babt:DK49_1974
ko:K02046	babt:DK49_1975
ko:K02047	babt:DK49_1976
ko:K02045	babt:DK49_1977
ko:K13688	babt:DK49_1978
ko:K00763	babt:DK49_1979
ko:K00847	babt:DK49_1982
ko:K05366	babt:DK49_1984
ko:K16079	babt:DK49_1985
ko:K16079	babt:DK49_1986
ko:K03684	babt:DK49_1987
ko:K05592	babt:DK49_1990
ko:K02470	babt:DK49_1991
ko:K01070	babt:DK49_1992
ko:K02348	babt:DK49_1995
ko:K00121	babt:DK49_1996
ko:K03579	babt:DK49_1998
ko:K03579	babt:DK49_1999
ko:K15011	babt:DK49_2000
ko:K15012	babt:DK49_2003
ko:K00286	babt:DK49_2796
ko:K02034	babt:DK49_2799
ko:K02033	babt:DK49_2800
ko:K02035	babt:DK49_2801
ko:K01673	babt:DK49_2803
ko:K04566	babt:DK49_2805
ko:K01782	babt:DK49_2808
ko:K00626	babt:DK49_2809
ko:K10824	babt:DK49_2813
ko:K15587	babt:DK49_2814
ko:K15586	babt:DK49_2815
ko:K15585	babt:DK49_2816
ko:K15584	babt:DK49_2817
ko:K15584	babt:DK49_2818
ko:K07722	babt:DK49_2819
ko:K01708	babt:DK49_2820
ko:K02053	babt:DK49_2821
ko:K02054	babt:DK49_2822
ko:K02052	babt:DK49_2823
ko:K02055	babt:DK49_2824
ko:K00040	babt:DK49_2825
ko:K01812	babt:DK49_2826
ko:K01812	babt:DK49_2827
ko:K01686	babt:DK49_2829
ko:K06199	babt:DK49_2833
ko:K06199	babt:DK49_2834
ko:K09137	babt:DK49_2835
ko:K13582	babt:DK49_2837
ko:K07090	babt:DK49_2838
ko:K06953	babt:DK49_2840
ko:K03724	babt:DK49_2841
ko:K00459	babt:DK49_2844
ko:K03523	babt:DK49_1439
ko:K09706	babt:DK49_1440
ko:K09769	babt:DK49_1442
ko:K01934	babt:DK49_1443
ko:K09888	babt:DK49_1444
ko:K00615	babt:DK49_1446
ko:K00134	babt:DK49_1447
ko:K00927	babt:DK49_1448
ko:K01908	babt:DK49_1450
ko:K09987	babt:DK49_1455
ko:K01588	babt:DK49_1462
ko:K01589	babt:DK49_1463
ko:K02919	babt:DK49_1464
ko:K00873	babt:DK49_1466
ko:K15738	babt:DK49_1470
ko:K00949	babt:DK49_1472
ko:K02064	babt:DK49_1473
ko:K02063	babt:DK49_1474
ko:K02062	babt:DK49_1475
ko:K03089	babt:DK49_1478
ko:K07736	babt:DK49_1479
ko:K05524	babt:DK49_1480
ko:K04762	babt:DK49_1481
ko:K17675	babt:DK49_1482
ko:K00626	babt:DK49_1483
ko:K02911	babt:DK49_1485
ko:K03814	babt:DK49_1486
ko:K00795	babt:DK49_1487
ko:K08738	babt:DK49_2274
ko:K09794	babt:DK49_2275
ko:K00104	babt:DK49_2279
ko:K11472	babt:DK49_2280
ko:K11473	babt:DK49_2281
ko:K06221	babt:DK49_2282
ko:K01246	babt:DK49_2284
ko:K01892	babt:DK49_2286
ko:K02502	babt:DK49_2287
ko:K00765	babt:DK49_2288
ko:K02429	babt:DK49_2289
ko:K15977	babt:DK49_2290
ko:K01679	babt:DK49_2291
ko:K04077	babt:DK49_2293
ko:K04078	babt:DK49_2294
ko:K11753	babt:DK49_2296
ko:K01870	babt:DK49_2297
ko:K12262	babt:DK49_2299
ko:K06178	babt:DK49_2301
ko:K08316	babt:DK49_2302
ko:K07263	babt:DK49_2303
ko:K07263	babt:DK49_2304
ko:K07263	babt:DK49_2305
ko:K07001	babt:DK49_2306
ko:K03455	babt:DK49_2307
ko:K03592	babt:DK49_2308
ko:K01092	babt:DK49_2309
ko:K09778	babt:DK49_2311
ko:K02527	babt:DK49_2312
ko:K00912	babt:DK49_2313
ko:K03572	babt:DK49_2315
ko:K08196	babt:DK49_2316
ko:K06446	babt:DK49_2318
ko:K00074	babt:DK49_2320
ko:K02484	babt:DK49_2324
ko:K01628	babt:DK49_3109
ko:K03777	babt:DK49_3112
ko:K18676	babt:DK49_3120
ko:K18676	babt:DK49_3121
ko:K09815	babt:DK49_3124
ko:K09817	babt:DK49_3125
ko:K09816	babt:DK49_3126
ko:K09823	babt:DK49_3127
ko:K02421	babt:DK49_3133
ko:K02400	babt:DK49_3134
ko:K02400	babt:DK49_3135
ko:K02420	babt:DK49_3136
ko:K02389	babt:DK49_3137
ko:K06601	babt:DK49_3138
ko:K06602	babt:DK49_3139
ko:K02397	babt:DK49_3140
ko:K02396	babt:DK49_3141
ko:K02390	babt:DK49_3142
ko:K10565	babt:DK49_3145
ko:K10564	babt:DK49_3146
ko:K02557	babt:DK49_3147
ko:K02409	babt:DK49_3149
ko:K02406	babt:DK49_3150
ko:K10543	babt:DK49_3153
ko:K10545	babt:DK49_3154
ko:K10544	babt:DK49_3155
ko:K02510	babt:DK49_3159
ko:K02509	babt:DK49_3160
ko:K00334	babt:DK49_581
ko:K00337	babt:DK49_584
ko:K00338	babt:DK49_585
ko:K00339	babt:DK49_586
ko:K00340	babt:DK49_587
ko:K00341	babt:DK49_588
ko:K00342	babt:DK49_589
ko:K00343	babt:DK49_590
ko:K03524	babt:DK49_591
ko:K12574	babt:DK49_592
ko:K05606	babt:DK49_593
ko:K01881	babt:DK49_595
ko:K09808	babt:DK49_596
ko:K09810	babt:DK49_597
ko:K02337	babt:DK49_598
ko:K02986	babt:DK49_602
ko:K14058	babt:DK49_603
ko:K07552	babt:DK49_606
ko:K07390	babt:DK49_607
ko:K01952	babt:DK49_609
ko:K01952	babt:DK49_612
ko:K01952	babt:DK49_613
ko:K01923	babt:DK49_614
ko:K02510	babt:DK49_616
ko:K07002	babt:DK49_617
ko:K07104	babt:DK49_618
ko:K01756	babt:DK49_619
ko:K01783	babt:DK49_620
ko:K02517	babt:DK49_621
ko:K09458	babt:DK49_623
ko:K09458	babt:DK49_624
ko:K01785	babt:DK49_628
ko:K00874	babt:DK49_627
ko:K06162	babt:DK49_631
ko:K02030	babt:DK49_632
ko:K03088	babt:DK49_1386
ko:K03561	babt:DK49_1393
ko:K03559	babt:DK49_1394
ko:K03832	babt:DK49_1395
ko:K05685	babt:DK49_1398
ko:K13888	babt:DK49_1399
ko:K05800	babt:DK49_1401
ko:K01939	babt:DK49_1407
ko:K00058	babt:DK49_1409
ko:K00831	babt:DK49_1410
ko:K03453	babt:DK49_1411
ko:K03431	babt:DK49_1413
ko:K03798	babt:DK49_1414
ko:K04075	babt:DK49_1415
ko:K03640	babt:DK49_1418
ko:K03641	babt:DK49_1419
ko:K03560	babt:DK49_1421
ko:K03562	babt:DK49_1422
ko:K07107	babt:DK49_1423
ko:K03551	babt:DK49_1424
ko:K03550	babt:DK49_1425
ko:K01159	babt:DK49_1426
ko:K13592	babt:DK49_1427
ko:K00788	babt:DK49_1429
ko:K07126	babt:DK49_1430
ko:K02356	babt:DK49_1431
ko:K01092	babt:DK49_1432
ko:K02557	babt:DK49_1434
ko:K06147	babt:DK49_1435
ko:K02909	babt:DK49_1436
ko:K02053	babt:DK49_2218
ko:K02054	babt:DK49_2219
ko:K02055	babt:DK49_2220
ko:K03543	babt:DK49_2223
ko:K02401	babt:DK49_2227
ko:K02410	babt:DK49_2228
ko:K02417	babt:DK49_2230
ko:K02416	babt:DK49_2233
ko:K02416	babt:DK49_2234
ko:K02556	babt:DK49_2235
ko:K02391	babt:DK49_2237
ko:K02412	babt:DK49_2238
ko:K02387	babt:DK49_2255
ko:K02388	babt:DK49_2256
ko:K02408	babt:DK49_2257
ko:K02392	babt:DK49_2258
ko:K02386	babt:DK49_2259
ko:K02394	babt:DK49_2260
ko:K02393	babt:DK49_2262
ko:K02415	babt:DK49_2263
ko:K02419	babt:DK49_2264
ko:K09709	babt:DK49_2269
ko:K01644	babt:DK49_2270
ko:K00154	babt:DK49_3058
ko:K06131	babt:DK49_3060
ko:K02837	babt:DK49_3063
ko:K13038	babt:DK49_3062
ko:K03688	babt:DK49_3064
ko:K03183	babt:DK49_3065
ko:K00761	babt:DK49_3067
ko:K03745	babt:DK49_3068
ko:K07304	babt:DK49_3069
ko:K00135	babt:DK49_3074
ko:K02034	babt:DK49_3078
ko:K02033	babt:DK49_3079
ko:K00627	babt:DK49_3081
ko:K02035	babt:DK49_3082
ko:K11381	babt:DK49_3083
ko:K00074	babt:DK49_3085
ko:K06446	babt:DK49_3087
ko:K01434	babt:DK49_3088
ko:K02035	babt:DK49_3089
ko:K02033	babt:DK49_3090
ko:K02034	babt:DK49_3091
ko:K02035	babt:DK49_3095
ko:K02033	babt:DK49_3096
ko:K02034	babt:DK49_3097
ko:K01426	babt:DK49_3101
ko:K11078	babt:DK49_3103
ko:K01845	babt:DK49_3107
ko:K00537	babt:DK49_753
ko:K03642	babt:DK49_754
ko:K07258	babt:DK49_755
ko:K00943	babt:DK49_756
ko:K02341	babt:DK49_757
ko:K01874	babt:DK49_758
ko:K03424	babt:DK49_759
ko:K06167	babt:DK49_760
ko:K06147	babt:DK49_761
ko:K06179	babt:DK49_762
ko:K01091	babt:DK49_764
ko:K01915	babt:DK49_766
ko:K04751	babt:DK49_767
ko:K01091	babt:DK49_770
ko:K01807	babt:DK49_771
ko:K00919	babt:DK49_196
ko:K02523	babt:DK49_201
ko:K01878	babt:DK49_203
ko:K01879	babt:DK49_205
ko:K07566	babt:DK49_206
ko:K01945	babt:DK49_214
ko:K03179	babt:DK49_215
ko:K00275	babt:DK49_216
ko:K00208	babt:DK49_219
ko:K03704	babt:DK49_221
ko:K09778	babt:DK49_224
ko:K01736	babt:DK49_226
ko:K14652	babt:DK49_227
ko:K03602	babt:DK49_229
ko:K06911	babt:DK49_233
ko:K01662	babt:DK49_234
ko:K06442	babt:DK49_235
ko:K03215	babt:DK49_236
ko:K06966	babt:DK49_237
ko:K06147	babt:DK49_240
ko:K01613	babt:DK49_241
ko:K17103	babt:DK49_242
ko:K00764	babt:DK49_244
ko:K03558	babt:DK49_245
ko:K04485	babt:DK49_246
ko:K00574	babt:DK49_248
ko:K00640	babt:DK49_1016
ko:K09005	babt:DK49_1018
