ko:K06896	stu:STH8232_0285
ko:K04072	stu:STH8232_2167
ko:K04072	stu:STH8232_2168
ko:K04072	stu:STH8232_2171
ko:K01154	stu:STH8232_2194
ko:K03427	stu:STH8232_2195
ko:K01153	stu:STH8232_2196
ko:K01624	stu:STH8232_2200
ko:K02879	stu:STH8232_2207
ko:K03040	stu:STH8232_2208
ko:K02948	stu:STH8232_2209
ko:K02952	stu:STH8232_2210
ko:K02919	stu:STH8232_2211
ko:K02518	stu:STH8232_2212
ko:K03076	stu:STH8232_2214
ko:K02876	stu:STH8232_2215
ko:K02907	stu:STH8232_2216
ko:K00077	stu:STH8232_0135
ko:K02871	stu:STH8232_0136
ko:K02996	stu:STH8232_0137
ko:K05995	stu:STH8232_0142
ko:K07282	stu:STH8232_0181
ko:K07166	stu:STH8232_0182
ko:K09157	stu:STH8232_0183
ko:K03705	stu:STH8232_0188
ko:K01951	stu:STH8232_1089
ko:K03710	stu:STH8232_1090
ko:K03106	stu:STH8232_1092
ko:K14540	stu:STH8232_1096
ko:K03470	stu:STH8232_1097
ko:K04096	stu:STH8232_1099
ko:K03168	stu:STH8232_1100
ko:K04094	stu:STH8232_1104
ko:K00940	stu:STH8232_1108
ko:K03596	stu:STH8232_1113
ko:K01652	stu:STH8232_1123
ko:K07139	stu:STH8232_1897
ko:K00954	stu:STH8232_1899
ko:K00384	stu:STH8232_1901
ko:K02029	stu:STH8232_1904
ko:K02346	stu:STH8232_1907
ko:K00656	stu:STH8232_1908
ko:K01154	stu:STH8232_1911
ko:K02069	stu:STH8232_1914
ko:K02068	stu:STH8232_1915
ko:K02440	stu:STH8232_1919
ko:K07707	stu:STH8232_1938
ko:K03657	stu:STH8232_0688
ko:K02003	stu:STH8232_0706
ko:K07568	stu:STH8232_0718
ko:K01890	stu:STH8232_1517
ko:K01889	stu:STH8232_1519
ko:K03529	stu:STH8232_1520
ko:K03685	stu:STH8232_1521
ko:K01714	stu:STH8232_1522
ko:K00133	stu:STH8232_1523
ko:K09013	stu:STH8232_0254
ko:K09015	stu:STH8232_0255
ko:K11717	stu:STH8232_0256
ko:K09014	stu:STH8232_0258
ko:K15580	stu:STH8232_0261
ko:K15581	stu:STH8232_0262
ko:K04083	stu:STH8232_0275
ko:K09817	stu:STH8232_0280
ko:K09816	stu:STH8232_0281
ko:K07088	stu:STH8232_0282
ko:K01810	stu:STH8232_0286
ko:K03210	stu:STH8232_0288
ko:K00806	stu:STH8232_0290
ko:K00981	stu:STH8232_0291
ko:K11749	stu:STH8232_0292
ko:K01881	stu:STH8232_0293
ko:K04078	stu:STH8232_0296
ko:K04077	stu:STH8232_0297
ko:K06180	stu:STH8232_0308
ko:K03073	stu:STH8232_0310
ko:K01575	stu:STH8232_1124
ko:K01772	stu:STH8232_1133
ko:K01091	stu:STH8232_1143
ko:K03152	stu:STH8232_1156
ko:K15342	stu:STH8232_1159
ko:K01591	stu:STH8232_1169
ko:K00762	stu:STH8232_1170
ko:K03305	stu:STH8232_1174
ko:K03625	stu:STH8232_2003
ko:K02356	stu:STH8232_2005
ko:K03701	stu:STH8232_2013
ko:K03284	stu:STH8232_2014
ko:K02963	stu:STH8232_2017
ko:K02990	stu:STH8232_2019
ko:K03575	stu:STH8232_2022
ko:K07456	stu:STH8232_2031
ko:K03100	stu:STH8232_2035
ko:K03581	stu:STH8232_2036
ko:K03789	stu:STH8232_2040
ko:K01915	stu:STH8232_2045
ko:K00927	stu:STH8232_2050
ko:K03823	stu:STH8232_1525
ko:K06131	stu:STH8232_1527
ko:K03703	stu:STH8232_1528
ko:K07778	stu:STH8232_1532
ko:K06940	stu:STH8232_1548
ko:K02003	stu:STH8232_1550
ko:K03816	stu:STH8232_1554
ko:K03327	stu:STH8232_1557
ko:K12267	stu:STH8232_1558
ko:K03311	stu:STH8232_1559
ko:K01809	stu:STH8232_1560
ko:K01809	stu:STH8232_1561
ko:K07078	stu:STH8232_1565
ko:K02313	stu:STH8232_0001
ko:K02338	stu:STH8232_0002
ko:K06942	stu:STH8232_0004
ko:K01056	stu:STH8232_0005
ko:K03723	stu:STH8232_0006
ko:K04075	stu:STH8232_0011
ko:K01154	stu:STH8232_0899
ko:K03427	stu:STH8232_0903
ko:K03744	stu:STH8232_0907
ko:K03799	stu:STH8232_0908
ko:K01595	stu:STH8232_0911
ko:K02340	stu:STH8232_0912
ko:K04564	stu:STH8232_0913
ko:K04047	stu:STH8232_0918
ko:K06207	stu:STH8232_0922
ko:K01925	stu:STH8232_0924
ko:K02563	stu:STH8232_0925
ko:K03589	stu:STH8232_0926
ko:K03590	stu:STH8232_0927
ko:K03531	stu:STH8232_0928
ko:K06997	stu:STH8232_0929
ko:K09772	stu:STH8232_0930
ko:K02221	stu:STH8232_0931
ko:K04074	stu:STH8232_0933
ko:K01870	stu:STH8232_0934
ko:K02909	stu:STH8232_0938
ko:K03734	stu:STH8232_0939
ko:K02835	stu:STH8232_0944
ko:K02493	stu:STH8232_0945
ko:K07566	stu:STH8232_0946
ko:K00600	stu:STH8232_0947
ko:K00600	stu:STH8232_0949
ko:K01079	stu:STH8232_1739
ko:K02470	stu:STH8232_1741
ko:K00831	stu:STH8232_1751
ko:K00075	stu:STH8232_1763
ko:K00950	stu:STH8232_1764
ko:K01633	stu:STH8232_1765
ko:K00796	stu:STH8232_1767
ko:K01495	stu:STH8232_1768
ko:K11754	stu:STH8232_1770
ko:K06960	stu:STH8232_1771
ko:K02959	stu:STH8232_1772
ko:K01142	stu:STH8232_1777
ko:K01972	stu:STH8232_1782
ko:K01914	stu:STH8232_0486
ko:K00928	stu:STH8232_0487
ko:K00648	stu:STH8232_0491
ko:K02078	stu:STH8232_0492
ko:K00645	stu:STH8232_0494
ko:K09458	stu:STH8232_0496
ko:K02160	stu:STH8232_0497
ko:K02372	stu:STH8232_0498
ko:K01961	stu:STH8232_0500
ko:K01963	stu:STH8232_0501
ko:K01962	stu:STH8232_0502
ko:K07173	stu:STH8232_0503
ko:K02768	stu:STH8232_0509
ko:K02769	stu:STH8232_0509
ko:K02770	stu:STH8232_0509
ko:K11754	stu:STH8232_0511
ko:K04487	stu:STH8232_0514
ko:K03151	stu:STH8232_0515
ko:K02888	stu:STH8232_0520
ko:K02899	stu:STH8232_0521
ko:K00215	stu:STH8232_0526
ko:K15738	stu:STH8232_0528
ko:K00262	stu:STH8232_0534
ko:K01462	stu:STH8232_0535
ko:K06330	stu:STH8232_1359
ko:K00789	stu:STH8232_1369
ko:K03524	stu:STH8232_1370
ko:K02343	stu:STH8232_1372
ko:K00791	stu:STH8232_1374
ko:K02884	stu:STH8232_1379
ko:K00873	stu:STH8232_1401
ko:K00850	stu:STH8232_1402
ko:K02337	stu:STH8232_1403
ko:K01704	stu:STH8232_1405
ko:K01703	stu:STH8232_1406
ko:K02988	stu:STH8232_2217
ko:K02881	stu:STH8232_2218
ko:K02933	stu:STH8232_2219
ko:K02994	stu:STH8232_2220
ko:K02954	stu:STH8232_2221
ko:K02931	stu:STH8232_2222
ko:K02895	stu:STH8232_2223
ko:K02874	stu:STH8232_2224
ko:K02961	stu:STH8232_2225
ko:K02904	stu:STH8232_2226
ko:K02878	stu:STH8232_2227
ko:K02982	stu:STH8232_2228
ko:K02890	stu:STH8232_2229
ko:K02965	stu:STH8232_2230
ko:K02886	stu:STH8232_2231
ko:K02892	stu:STH8232_2232
ko:K02926	stu:STH8232_2233
ko:K02906	stu:STH8232_2234
ko:K02946	stu:STH8232_2235
ko:K03551	stu:STH8232_2236
ko:K01939	stu:STH8232_2240
ko:K06871	stu:STH8232_2254
ko:K07478	stu:STH8232_2262
ko:K02902	stu:STH8232_2263
ko:K07447	stu:STH8232_2265
ko:K03687	stu:STH8232_0189
ko:K04043	stu:STH8232_0190
ko:K03686	stu:STH8232_0191
ko:K06173	stu:STH8232_0192
ko:K00868	stu:STH8232_0193
ko:K00574	stu:STH8232_0214
ko:K03545	stu:STH8232_0222
ko:K01937	stu:STH8232_0224
ko:K02687	stu:STH8232_0227
ko:K09761	stu:STH8232_0228
ko:K07560	stu:STH8232_0232
ko:K01754	stu:STH8232_0239
ko:K01462	stu:STH8232_0240
ko:K02956	stu:STH8232_0243
ko:K06153	stu:STH8232_0250
ko:K07146	stu:STH8232_0726
ko:K00259	stu:STH8232_0735
ko:K09962	stu:STH8232_0738
ko:K04042	stu:STH8232_0743
ko:K01868	stu:STH8232_0753
ko:K11068	stu:STH8232_0758
ko:K03544	stu:STH8232_0765
ko:K03978	stu:STH8232_0766
ko:K08591	stu:STH8232_0771
ko:K02622	stu:STH8232_0772
ko:K02621	stu:STH8232_0774
ko:K00826	stu:STH8232_0775
ko:K02761	stu:STH8232_1570
ko:K10682	stu:STH8232_1581
ko:K02003	stu:STH8232_1598
ko:K03547	stu:STH8232_1619
ko:K00965	stu:STH8232_1624
ko:K00849	stu:STH8232_1625
ko:K02529	stu:STH8232_1626
ko:K02601	stu:STH8232_0311
ko:K01869	stu:STH8232_0317
ko:K00763	stu:STH8232_0320
ko:K05366	stu:STH8232_0324
ko:K07444	stu:STH8232_0328
ko:K01924	stu:STH8232_0332
ko:K07082	stu:STH8232_0335
ko:K03624	stu:STH8232_0336
ko:K03217	stu:STH8232_0339
ko:K01512	stu:STH8232_0340
ko:K03437	stu:STH8232_0341
ko:K06950	stu:STH8232_0342
ko:K06890	stu:STH8232_0343
ko:K01586	stu:STH8232_0346
ko:K01776	stu:STH8232_0349
ko:K07095	stu:STH8232_0351
ko:K05896	stu:STH8232_0354
ko:K06024	stu:STH8232_0355
ko:K06178	stu:STH8232_0356
ko:K08998	stu:STH8232_0357
ko:K03216	stu:STH8232_0360
ko:K03650	stu:STH8232_1184
ko:K03310	stu:STH8232_1185
ko:K03657	stu:STH8232_1187
ko:K01740	stu:STH8232_1188
ko:K11065	stu:STH8232_1190
ko:K11753	stu:STH8232_1198
ko:K02040	stu:STH8232_1203
ko:K02037	stu:STH8232_1204
ko:K02038	stu:STH8232_1205
ko:K02036	stu:STH8232_1206
ko:K02036	stu:STH8232_1207
ko:K02039	stu:STH8232_1208
ko:K01256	stu:STH8232_1209
ko:K03800	stu:STH8232_1211
ko:K00688	stu:STH8232_1214
ko:K00705	stu:STH8232_1215
ko:K02529	stu:STH8232_1216
ko:K03116	stu:STH8232_1218
ko:K03118	stu:STH8232_1219
ko:K07243	stu:STH8232_1220
ko:K07224	stu:STH8232_1223
ko:K00382	stu:STH8232_1235
ko:K00627	stu:STH8232_1236
ko:K00162	stu:STH8232_1238
ko:K00161	stu:STH8232_1239
ko:K00134	stu:STH8232_2058
ko:K02355	stu:STH8232_2059
ko:K02992	stu:STH8232_2060
ko:K02950	stu:STH8232_2061
ko:K09760	stu:STH8232_2064
ko:K01783	stu:STH8232_2066
ko:K06949	stu:STH8232_2067
ko:K02528	stu:STH8232_2069
ko:K05985	stu:STH8232_2070
ko:K03424	stu:STH8232_2071
ko:K06929	stu:STH8232_2072
ko:K03671	stu:STH8232_2073
ko:K07107	stu:STH8232_2075
ko:K00773	stu:STH8232_2083
ko:K02914	stu:STH8232_2085
ko:K03217	stu:STH8232_2088
ko:K03536	stu:STH8232_2089
ko:K01755	stu:STH8232_2090
ko:K01940	stu:STH8232_2091
ko:K02863	stu:STH8232_2095
ko:K02867	stu:STH8232_2096
ko:K01673	stu:STH8232_2098
ko:K04485	stu:STH8232_2102
ko:K00760	stu:STH8232_0012
ko:K03798	stu:STH8232_0013
ko:K03570	stu:STH8232_0040
ko:K03571	stu:STH8232_0041
ko:K00948	stu:STH8232_0043
ko:K03584	stu:STH8232_0045
ko:K03621	stu:STH8232_0046
ko:K02078	stu:STH8232_0047
ko:K01923	stu:STH8232_0048
ko:K01952	stu:STH8232_0049
ko:K00764	stu:STH8232_0050
ko:K01933	stu:STH8232_0051
ko:K11175	stu:STH8232_0052
ko:K00602	stu:STH8232_0053
ko:K01945	stu:STH8232_0058
ko:K01588	stu:STH8232_0059
ko:K01589	stu:STH8232_0060
ko:K01756	stu:STH8232_0064
ko:K01887	stu:STH8232_0065
ko:K03402	stu:STH8232_0066
ko:K03555	stu:STH8232_0068
ko:K03367	stu:STH8232_0955
ko:K03739	stu:STH8232_0956
ko:K14188	stu:STH8232_0957
ko:K03740	stu:STH8232_0958
ko:K00549	stu:STH8232_0968
ko:K00297	stu:STH8232_0969
ko:K01938	stu:STH8232_0974
ko:K02968	stu:STH8232_0995
ko:K00756	stu:STH8232_0999
ko:K07335	stu:STH8232_1004
ko:K02057	stu:STH8232_1006
ko:K02057	stu:STH8232_1007
ko:K07058	stu:STH8232_1784
ko:K01265	stu:STH8232_1785
ko:K00790	stu:STH8232_1788
ko:K02237	stu:STH8232_1790
ko:K00655	stu:STH8232_1801
ko:K07461	stu:STH8232_1804
ko:K05592	stu:STH8232_1805
ko:K02837	stu:STH8232_1813
ko:K01929	stu:STH8232_1815
ko:K02029	stu:STH8232_1823
ko:K01921	stu:STH8232_1824
ko:K01695	stu:STH8232_1828
ko:K01696	stu:STH8232_1829
ko:K01817	stu:STH8232_1830
ko:K01609	stu:STH8232_1831
ko:K00766	stu:STH8232_1832
ko:K01657	stu:STH8232_1834
ko:K09903	stu:STH8232_0545
ko:K02838	stu:STH8232_0546
ko:K00243	stu:STH8232_0547
ko:K01874	stu:STH8232_0559
ko:K08602	stu:STH8232_0562
ko:K01872	stu:STH8232_0565
ko:K00145	stu:STH8232_0575
ko:K00620	stu:STH8232_0576
ko:K00930	stu:STH8232_0577
ko:K00003	stu:STH8232_0580
ko:K00872	stu:STH8232_0581
ko:K05786	stu:STH8232_0582
ko:K01873	stu:STH8232_0589
ko:K02110	stu:STH8232_0590
ko:K02108	stu:STH8232_0591
ko:K02109	stu:STH8232_0592
ko:K02113	stu:STH8232_0593
ko:K02111	stu:STH8232_0594
ko:K02115	stu:STH8232_0595
ko:K02112	stu:STH8232_0596
ko:K02114	stu:STH8232_0597
ko:K03588	stu:STH8232_0598
ko:K02358	stu:STH8232_0599
ko:K00052	stu:STH8232_1408
ko:K01649	stu:STH8232_1409
ko:K03530	stu:STH8232_1414
ko:K03631	stu:STH8232_1418
ko:K03402	stu:STH8232_1419
ko:K06442	stu:STH8232_1420
ko:K13789	stu:STH8232_1421
ko:K03602	stu:STH8232_1422
ko:K03601	stu:STH8232_1423
ko:K10773	stu:STH8232_1428
ko:K00651	stu:STH8232_1430
ko:K00759	stu:STH8232_1431
ko:K07462	stu:STH8232_1432
ko:K07124	stu:STH8232_1433
ko:K03665	stu:STH8232_1436
ko:K05837	stu:STH8232_1438
ko:K02500	stu:STH8232_1441
ko:K01814	stu:STH8232_1442
ko:K02501	stu:STH8232_1443
ko:K01693	stu:STH8232_1444
ko:K00013	stu:STH8232_1445
ko:K00765	stu:STH8232_1446
ko:K02502	stu:STH8232_1447
ko:K00817	stu:STH8232_1448
ko:K04486	stu:STH8232_1456
ko:K09861	stu:STH8232_2273
ko:K01876	stu:STH8232_2275
ko:K01892	stu:STH8232_2277
ko:K02911	stu:STH8232_2281
ko:K02913	stu:STH8232_2282
ko:K01421	stu:STH8232_2302
ko:K08987	stu:STH8232_2304
ko:K02986	stu:STH8232_2306
ko:K02939	stu:STH8232_2309
ko:K03495	stu:STH8232_2311
ko:K00566	stu:STH8232_2313
ko:K00995	stu:STH8232_2320
ko:K03629	stu:STH8232_2325
ko:K01867	stu:STH8232_2327
ko:K02945	stu:STH8232_0780
ko:K00611	stu:STH8232_0792
ko:K04758	stu:STH8232_0796
ko:K04759	stu:STH8232_0797
ko:K01491	stu:STH8232_0802
ko:K00687	stu:STH8232_0804
ko:K06187	stu:STH8232_0805
ko:K07042	stu:STH8232_0809
ko:K00859	stu:STH8232_0813
ko:K03075	stu:STH8232_0816
ko:K12573	stu:STH8232_0817
ko:K03664	stu:STH8232_0818
ko:K02529	stu:STH8232_0822
ko:K00865	stu:STH8232_0826
ko:K01689	stu:STH8232_0828
ko:K06969	stu:STH8232_0831
ko:K03785	stu:STH8232_0832
ko:K00014	stu:STH8232_0833
ko:K01735	stu:STH8232_0834
ko:K01736	stu:STH8232_0835
ko:K01919	stu:STH8232_1636
ko:K03466	stu:STH8232_1639
ko:K00554	stu:STH8232_1641
ko:K02860	stu:STH8232_1642
ko:K03500	stu:STH8232_1653
ko:K00604	stu:STH8232_1654
ko:K04066	stu:STH8232_1655
ko:K03060	stu:STH8232_1656
ko:K00942	stu:STH8232_1657
ko:K03110	stu:STH8232_1658
ko:K15581	stu:STH8232_1667
ko:K15580	stu:STH8232_1671
ko:K08177	stu:STH8232_1676
ko:K01430	stu:STH8232_0377
ko:K01429	stu:STH8232_0378
ko:K01428	stu:STH8232_0379
ko:K03187	stu:STH8232_0380
ko:K03188	stu:STH8232_0381
ko:K03189	stu:STH8232_0382
ko:K03190	stu:STH8232_0383
ko:K02073	stu:STH8232_0395
ko:K02071	stu:STH8232_0399
ko:K02072	stu:STH8232_0400
ko:K07862	stu:STH8232_0401
ko:K00615	stu:STH8232_0406
ko:K03501	stu:STH8232_0409
ko:K07040	stu:STH8232_0410
ko:K07738	stu:STH8232_0413
ko:K03977	stu:STH8232_0416
ko:K01875	stu:STH8232_0425
ko:K01465	stu:STH8232_1244
ko:K03648	stu:STH8232_1246
ko:K03688	stu:STH8232_1256
ko:K01951	stu:STH8232_1296
ko:K00057	stu:STH8232_2115
ko:K00963	stu:STH8232_2116
ko:K05823	stu:STH8232_2119
ko:K00563	stu:STH8232_2123
ko:K07112	stu:STH8232_2129
ko:K06878	stu:STH8232_2130
ko:K00286	stu:STH8232_2134
ko:K00925	stu:STH8232_2140
ko:K03046	stu:STH8232_2150
ko:K03043	stu:STH8232_2151
ko:K01866	stu:STH8232_2153
ko:K00053	stu:STH8232_2154
ko:K01653	stu:STH8232_2156
ko:K01652	stu:STH8232_2157
ko:K01687	stu:STH8232_2158
ko:K03572	stu:STH8232_0072
ko:K03550	stu:STH8232_0074
ko:K01246	stu:STH8232_0075
ko:K03763	stu:STH8232_0104
ko:K03387	stu:STH8232_0111
ko:K02967	stu:STH8232_0113
ko:K02357	stu:STH8232_0114
ko:K03696	stu:STH8232_0117
ko:K00962	stu:STH8232_0122
ko:K00640	stu:STH8232_0124
ko:K01883	stu:STH8232_0125
ko:K11145	stu:STH8232_0126
ko:K03218	stu:STH8232_0130
ko:K06962	stu:STH8232_0131
ko:K01893	stu:STH8232_1012
ko:K06920	stu:STH8232_1016
ko:K01737	stu:STH8232_1017
ko:K10026	stu:STH8232_1018
ko:K09457	stu:STH8232_1019
ko:K06958	stu:STH8232_1023
ko:K08659	stu:STH8232_1026
ko:K03704	stu:STH8232_1029
ko:K00640	stu:STH8232_1041
ko:K01154	stu:STH8232_1046
ko:K00820	stu:STH8232_1060
ko:K06193	stu:STH8232_1061
ko:K02029	stu:STH8232_1062
ko:K09747	stu:STH8232_1840
ko:K01687	stu:STH8232_1847
ko:K07007	stu:STH8232_1848
ko:K03439	stu:STH8232_1850
ko:K02503	stu:STH8232_1854
ko:K09710	stu:STH8232_1862
ko:K00969	stu:STH8232_1864
ko:K07574	stu:STH8232_1865
ko:K07015	stu:STH8232_1867
ko:K02434	stu:STH8232_1870
ko:K02435	stu:STH8232_1872
ko:K01223	stu:STH8232_1874
ko:K02073	stu:STH8232_1877
ko:K03706	stu:STH8232_1879
ko:K14260	stu:STH8232_1880
ko:K04069	stu:STH8232_1887
ko:K02013	stu:STH8232_1891
ko:K14232	stu:STH8232_t0031
ko:K14232	stu:STH8232_t0207
ko:K10040	stu:STH8232_1349
ko:K02028	stu:STH8232_1821
ko:K06198	stu:STH8232_0561
ko:K07533	stu:STH8232_0564
ko:K08969	stu:STH8232_0574
ko:K02086	stu:STH8232_1429
ko:K00784	stu:STH8232_1434
ko:K01523	stu:STH8232_1439
ko:K01496	stu:STH8232_1440
ko:K00088	stu:STH8232_2326
ko:K16209	stu:STH8232_1621
ko:K01834	stu:STH8232_1411
ko:K03499	stu:STH8232_0407
ko:K03346	stu:STH8232_0414
ko:K11144	stu:STH8232_0415
ko:K01854	stu:STH8232_1281
ko:K12996	stu:STH8232_1289
ko:K01104	stu:STH8232_1293
ko:K03784	stu:STH8232_1295
ko:K01934	stu:STH8232_2118
ko:K00674	stu:STH8232_2120
ko:K01261	stu:STH8232_2133
ko:K07052	stu:STH8232_2135
ko:K07729	stu:STH8232_0727
ko:K06183	stu:STH8232_0732
ko:K00869	stu:STH8232_0739
ko:K01597	stu:STH8232_0740
ko:K00938	stu:STH8232_0741
ko:K01823	stu:STH8232_0742
ko:K01515	stu:STH8232_0744
ko:K01243	stu:STH8232_0746
ko:K00054	stu:STH8232_0760
ko:K01641	stu:STH8232_0761
ko:K00547	stu:STH8232_0768
ko:K07104	stu:STH8232_1566
ko:K02004	stu:STH8232_1597
ko:K01785	stu:STH8232_1622
ko:K01784	stu:STH8232_1623
ko:K11051	stu:STH8232_0148
ko:K01916	stu:STH8232_0321
ko:K01372	stu:STH8232_0323
ko:K03700	stu:STH8232_0325
ko:K09976	stu:STH8232_0348
ko:K02428	stu:STH8232_0350
ko:K03498	stu:STH8232_0358
ko:K03499	stu:STH8232_0359
ko:K09155	stu:STH8232_1193
ko:K03177	stu:STH8232_1197
ko:K01092	stu:STH8232_1201
ko:K09685	stu:STH8232_2062
ko:K03698	stu:STH8232_2063
ko:K00949	stu:STH8232_2065
ko:K07491	stu:STH8232_2084
ko:K06346	stu:STH8232_2087
ko:K09698	stu:STH8232_2092
ko:K07729	stu:STH8232_2139
ko:K02248	stu:STH8232_2143
ko:K02246	stu:STH8232_2145
ko:K02245	stu:STH8232_2146
ko:K02244	stu:STH8232_2147
ko:K02243	stu:STH8232_2148
ko:K03693	stu:STH8232_2152
ko:K07030	stu:STH8232_2160
ko:K04488	stu:STH8232_0257
ko:K05833	stu:STH8232_0295
ko:K12555	stu:STH8232_0309
ko:K02823	stu:STH8232_1157
ko:K09002	stu:STH8232_1164
ko:K01262	stu:STH8232_2007
ko:K01990	stu:STH8232_2010
ko:K03471	stu:STH8232_2034
ko:K01409	stu:STH8232_2039
ko:K03713	stu:STH8232_2046
ko:K02824	stu:STH8232_0640
ko:K02004	stu:STH8232_0651
ko:K02004	stu:STH8232_0652
ko:K07009	stu:STH8232_1480
ko:K08483	stu:STH8232_1489
ko:K11189	stu:STH8232_1490
ko:K08234	stu:STH8232_1501
ko:K00016	stu:STH8232_1504
ko:K01739	stu:STH8232_0450
ko:K02795	stu:STH8232_0428
ko:K02793	stu:STH8232_0429
ko:K02794	stu:STH8232_0429
ko:K05362	stu:STH8232_0447
ko:K04767	stu:STH8232_0464
ko:K03486	stu:STH8232_2181
ko:K03486	stu:STH8232_2182
ko:K00939	stu:STH8232_2213
ko:K04767	stu:STH8232_0465
ko:K02240	stu:STH8232_0468
ko:K02242	stu:STH8232_0469
ko:K15986	stu:STH8232_0481
ko:K07586	stu:STH8232_0483
ko:K03783	stu:STH8232_1301
ko:K01258	stu:STH8232_1321
ko:K05363	stu:STH8232_1341
ko:K07652	stu:STH8232_1345
ko:K07668	stu:STH8232_1346
ko:K15051	stu:STH8232_1351
ko:K07386	stu:STH8232_2172
ko:K01226	stu:STH8232_2174
ko:K02371	stu:STH8232_0493
