ko:K12978	fpm:LA56_1647
ko:K00812	fpm:LA56_1751
ko:K03631	fpm:LA56_1752
ko:K01491	fpm:LA56_1757
ko:K01933	fpm:LA56_1758
ko:K11175	fpm:LA56_1760
ko:K01588	fpm:LA56_1761
ko:K01589	fpm:LA56_1763
ko:K07460	fpm:LA56_1762
ko:K01414	fpm:LA56_1764
ko:K01166	fpm:LA56_241
ko:K14058	fpm:LA56_242
ko:K03664	fpm:LA56_243
ko:K01586	fpm:LA56_1071
ko:K00262	fpm:LA56_1073
ko:K07007	fpm:LA56_1075
ko:K04077	fpm:LA56_1081
ko:K04078	fpm:LA56_1082
ko:K04758	fpm:LA56_1085
ko:K04759	fpm:LA56_1086
ko:K09458	fpm:LA56_1089
ko:K00059	fpm:LA56_1090
ko:K00647	fpm:LA56_1092
ko:K02078	fpm:LA56_1095
ko:K02078	fpm:LA56_1096
ko:K07107	fpm:LA56_1102
ko:K09861	fpm:LA56_1107
ko:K00783	fpm:LA56_1109
ko:K02493	fpm:LA56_1108
ko:K02835	fpm:LA56_1110
ko:K02492	fpm:LA56_1111
ko:K17713	fpm:LA56_1113
ko:K02622	fpm:LA56_1115
ko:K03806	fpm:LA56_1117
ko:K08311	fpm:LA56_1118
ko:K00254	fpm:LA56_1393
ko:K07560	fpm:LA56_1396
ko:K01193	fpm:LA56_1399
ko:K03305	fpm:LA56_1400
ko:K00052	fpm:LA56_1401
ko:K01704	fpm:LA56_1402
ko:K01703	fpm:LA56_1403
ko:K01649	fpm:LA56_1404
ko:K00826	fpm:LA56_1405
ko:K01006	fpm:LA56_1406
ko:K13288	fpm:LA56_1407
ko:K02356	fpm:LA56_1408
ko:K02655	fpm:LA56_1409
ko:K02517	fpm:LA56_1410
ko:K02517	fpm:LA56_1411
ko:K03217	fpm:LA56_1412
ko:K08998	fpm:LA56_1413
ko:K03536	fpm:LA56_1414
ko:K02914	fpm:LA56_1415
ko:K00014	fpm:LA56_1417
ko:K01924	fpm:LA56_1418
ko:K07056	fpm:LA56_1419
ko:K07015	fpm:LA56_1421
ko:K03762	fpm:LA56_1425
ko:K07160	fpm:LA56_1427
ko:K03760	fpm:LA56_1429
ko:K00901	fpm:LA56_1430
ko:K07220	fpm:LA56_1431
ko:K03306	fpm:LA56_1432
ko:K12262	fpm:LA56_1433
ko:K03834	fpm:LA56_1437
ko:K03501	fpm:LA56_1439
ko:K06997	fpm:LA56_1441
ko:K09801	fpm:LA56_245
ko:K04754	fpm:LA56_248
ko:K00681	fpm:LA56_249
ko:K06207	fpm:LA56_251
ko:K06956	fpm:LA56_257
ko:K00820	fpm:LA56_258
ko:K12373	fpm:LA56_260
ko:K03526	fpm:LA56_262
ko:K05810	fpm:LA56_263
ko:K01262	fpm:LA56_264
ko:K01173	fpm:LA56_266
ko:K17836	fpm:LA56_265
ko:K07481	fpm:LA56_268
ko:K03820	fpm:LA56_270
ko:K06189	fpm:LA56_271
ko:K07042	fpm:LA56_272
ko:K06168	fpm:LA56_274
ko:K14540	fpm:LA56_278
ko:K01443	fpm:LA56_279
ko:K14742	fpm:LA56_280
ko:K00812	fpm:LA56_282
ko:K00939	fpm:LA56_286
ko:K02663	fpm:LA56_288
ko:K02664	fpm:LA56_289
ko:K02665	fpm:LA56_290
ko:K02666	fpm:LA56_291
ko:K00891	fpm:LA56_292
ko:K01735	fpm:LA56_293
ko:K09159	fpm:LA56_296
ko:K13821	fpm:LA56_297
ko:K04763	fpm:LA56_1126
ko:K02884	fpm:LA56_1127
ko:K00554	fpm:LA56_1128
ko:K02860	fpm:LA56_1129
ko:K02959	fpm:LA56_1130
ko:K00789	fpm:LA56_1131
ko:K01409	fpm:LA56_1133
ko:K03046	fpm:LA56_1135
ko:K03043	fpm:LA56_1136
ko:K02935	fpm:LA56_1137
ko:K02864	fpm:LA56_1138
ko:K02863	fpm:LA56_1139
ko:K02867	fpm:LA56_1140
ko:K02601	fpm:LA56_1141
ko:K03073	fpm:LA56_1142
ko:K02358	fpm:LA56_1144
ko:K03442	fpm:LA56_1150
ko:K02440	fpm:LA56_1152
ko:K00111	fpm:LA56_1154
ko:K00864	fpm:LA56_1155
ko:K10823	fpm:LA56_1159
ko:K15583	fpm:LA56_1160
ko:K03657	fpm:LA56_1162
ko:K03110	fpm:LA56_1163
ko:K02837	fpm:LA56_1165
ko:K00943	fpm:LA56_1166
ko:K11535	fpm:LA56_1167
ko:K11535	fpm:LA56_1168
ko:K01619	fpm:LA56_1169
ko:K01839	fpm:LA56_1170
ko:K03525	fpm:LA56_1171
ko:K00912	fpm:LA56_1173
ko:K11085	fpm:LA56_1174
ko:K00974	fpm:LA56_1175
ko:K03611	fpm:LA56_1176
ko:K03585	fpm:LA56_1177
ko:K18138	fpm:LA56_1178
ko:K01056	fpm:LA56_579
ko:K06942	fpm:LA56_580
ko:K02897	fpm:LA56_583
ko:K00948	fpm:LA56_584
ko:K06987	fpm:LA56_585
ko:K03455	fpm:LA56_588
ko:K09760	fpm:LA56_593
ko:K03550	fpm:LA56_594
ko:K01159	fpm:LA56_596
ko:K03644	fpm:LA56_599
ko:K02217	fpm:LA56_600
ko:K03305	fpm:LA56_601
ko:K03675	fpm:LA56_603
ko:K03616	fpm:LA56_604
ko:K10773	fpm:LA56_605
ko:K03723	fpm:LA56_609
ko:K00053	fpm:LA56_610
ko:K01653	fpm:LA56_611
ko:K01652	fpm:LA56_612
ko:K01687	fpm:LA56_613
ko:K01733	fpm:LA56_614
ko:K03978	fpm:LA56_615
ko:K01104	fpm:LA56_616
ko:K04087	fpm:LA56_617
ko:K04088	fpm:LA56_618
ko:K03665	fpm:LA56_620
ko:K03666	fpm:LA56_621
ko:K00791	fpm:LA56_622
ko:K03770	fpm:LA56_623
ko:K03530	fpm:LA56_624
ko:K01338	fpm:LA56_625
ko:K03544	fpm:LA56_626
ko:K01358	fpm:LA56_627
ko:K03545	fpm:LA56_628
ko:K03427	fpm:LA56_629
ko:K06186	fpm:LA56_1446
ko:K01826	fpm:LA56_1447
ko:K02968	fpm:LA56_1448
ko:K03596	fpm:LA56_1449
ko:K00566	fpm:LA56_1450
ko:K01462	fpm:LA56_1452
ko:K00794	fpm:LA56_1453
ko:K14652	fpm:LA56_1454
ko:K00793	fpm:LA56_1455
ko:K11752	fpm:LA56_1456
ko:K03316	fpm:LA56_1457
ko:K03316	fpm:LA56_1458
ko:K04773	fpm:LA56_1461
ko:K01011	fpm:LA56_1463
ko:K03071	fpm:LA56_1464
ko:K03565	fpm:LA56_1466
ko:K03111	fpm:LA56_1467
ko:K00925	fpm:LA56_1468
ko:K13788	fpm:LA56_1469
ko:K00135	fpm:LA56_1470
ko:K01876	fpm:LA56_1474
ko:K01147	fpm:LA56_1476
ko:K06999	fpm:LA56_1477
ko:K01749	fpm:LA56_1478
ko:K06199	fpm:LA56_1479
ko:K02050	fpm:LA56_1484
ko:K02049	fpm:LA56_1485
ko:K09125	fpm:LA56_1488
ko:K02494	fpm:LA56_1492
ko:K00919	fpm:LA56_1493
ko:K02221	fpm:LA56_1497
ko:K00335	fpm:LA56_1244
ko:K13038	fpm:LA56_300
ko:K01785	fpm:LA56_301
ko:K01689	fpm:LA56_302
ko:K01669	fpm:LA56_303
ko:K01772	fpm:LA56_304
ko:K09928	fpm:LA56_306
ko:K02687	fpm:LA56_307
ko:K00963	fpm:LA56_313
ko:K01895	fpm:LA56_314
ko:K03629	fpm:LA56_320
ko:K03424	fpm:LA56_321
ko:K01879	fpm:LA56_322
ko:K09966	fpm:LA56_324
ko:K03684	fpm:LA56_325
ko:K03703	fpm:LA56_326
ko:K09791	fpm:LA56_330
ko:K00979	fpm:LA56_331
ko:K00849	fpm:LA56_334
ko:K00965	fpm:LA56_335
ko:K08137	fpm:LA56_336
ko:K03769	fpm:LA56_338
ko:K05592	fpm:LA56_339
ko:K00942	fpm:LA56_340
ko:K03517	fpm:LA56_341
ko:K00767	fpm:LA56_342
ko:K00278	fpm:LA56_343
ko:K00945	fpm:LA56_345
ko:K00831	fpm:LA56_347
ko:K00228	fpm:LA56_348
ko:K07146	fpm:LA56_349
ko:K03554	fpm:LA56_351
ko:K12297	fpm:LA56_354
ko:K03297	fpm:LA56_355
ko:K03325	fpm:LA56_356
ko:K07645	fpm:LA56_1184
ko:K07071	fpm:LA56_1183
ko:K00425	fpm:LA56_1185
ko:K00426	fpm:LA56_1186
ko:K06955	fpm:LA56_1188
ko:K02669	fpm:LA56_1189
ko:K01681	fpm:LA56_1190
ko:K07223	fpm:LA56_1191
ko:K03075	fpm:LA56_1198
ko:K01803	fpm:LA56_1199
ko:K03431	fpm:LA56_1200
ko:K00759	fpm:LA56_1201
ko:K00658	fpm:LA56_1202
ko:K00164	fpm:LA56_1203
ko:K00240	fpm:LA56_1204
ko:K00239	fpm:LA56_1205
ko:K00242	fpm:LA56_1206
ko:K00241	fpm:LA56_1207
ko:K01647	fpm:LA56_1208
ko:K08218	fpm:LA56_1209
ko:K04564	fpm:LA56_1211
ko:K07390	fpm:LA56_1212
ko:K02114	fpm:LA56_1214
ko:K02112	fpm:LA56_1215
ko:K02115	fpm:LA56_1216
ko:K02111	fpm:LA56_1217
ko:K02113	fpm:LA56_1218
ko:K02109	fpm:LA56_1219
ko:K02110	fpm:LA56_1220
ko:K02108	fpm:LA56_1221
ko:K06179	fpm:LA56_1224
ko:K06916	fpm:LA56_1225
ko:K01892	fpm:LA56_1227
ko:K02834	fpm:LA56_1228
ko:K02519	fpm:LA56_1229
ko:K01154	fpm:LA56_632
ko:K01153	fpm:LA56_633
ko:K01673	fpm:LA56_634
ko:K01424	fpm:LA56_635
ko:K03469	fpm:LA56_636
ko:K00800	fpm:LA56_638
ko:K03089	fpm:LA56_639
ko:K03074	fpm:LA56_641
ko:K03072	fpm:LA56_642
ko:K03210	fpm:LA56_643
ko:K00773	fpm:LA56_650
ko:K08591	fpm:LA56_651
ko:K02071	fpm:LA56_652
ko:K01770	fpm:LA56_657
ko:K03802	fpm:LA56_658
ko:K01126	fpm:LA56_659
ko:K03762	fpm:LA56_668
ko:K01424	fpm:LA56_674
ko:K13282	fpm:LA56_675
ko:K06921	fpm:LA56_677
ko:K07025	fpm:LA56_678
ko:K00012	fpm:LA56_683
ko:K02050	fpm:LA56_1498
ko:K02238	fpm:LA56_1501
ko:K07566	fpm:LA56_1504
ko:K02945	fpm:LA56_1505
ko:K01921	fpm:LA56_1507
ko:K03589	fpm:LA56_1508
ko:K03590	fpm:LA56_1509
ko:K03531	fpm:LA56_1510
ko:K02535	fpm:LA56_1512
ko:K02343	fpm:LA56_1511
ko:K02836	fpm:LA56_1513
ko:K04567	fpm:LA56_1514
ko:K01425	fpm:LA56_1517
ko:K01915	fpm:LA56_1518
ko:K02340	fpm:LA56_1519
ko:K03098	fpm:LA56_1520
ko:K00602	fpm:LA56_1522
ko:K01939	fpm:LA56_1523
ko:K00760	fpm:LA56_1524
ko:K02075	fpm:LA56_1529
ko:K02074	fpm:LA56_1530
ko:K02077	fpm:LA56_1531
ko:K06077	fpm:LA56_1533
ko:K03809	fpm:LA56_1534
ko:K07058	fpm:LA56_1535
ko:K04066	fpm:LA56_1537
ko:K01713	fpm:LA56_1538
ko:K00426	fpm:LA56_1540
ko:K00425	fpm:LA56_1541
ko:K02536	fpm:LA56_1542
ko:K00868	fpm:LA56_1544
ko:K03924	fpm:LA56_1546
ko:K00604	fpm:LA56_359
ko:K01920	fpm:LA56_360
ko:K01845	fpm:LA56_361
ko:K13771	fpm:LA56_363
ko:K05916	fpm:LA56_364
ko:K01207	fpm:LA56_365
ko:K00019	fpm:LA56_366
ko:K01574	fpm:LA56_367
ko:K00845	fpm:LA56_369
ko:K03524	fpm:LA56_371
ko:K01935	fpm:LA56_370
ko:K02169	fpm:LA56_372
ko:K00652	fpm:LA56_373
ko:K01012	fpm:LA56_374
ko:K00833	fpm:LA56_375
ko:K13941	fpm:LA56_378
ko:K01633	fpm:LA56_379
ko:K03342	fpm:LA56_381
ko:K01658	fpm:LA56_382
ko:K01495	fpm:LA56_389
ko:K11927	fpm:LA56_391
ko:K03305	fpm:LA56_390
ko:K00383	fpm:LA56_393
ko:K01142	fpm:LA56_397
ko:K06987	fpm:LA56_398
ko:K03923	fpm:LA56_399
ko:K01626	fpm:LA56_404
ko:K03106	fpm:LA56_405
ko:K07090	fpm:LA56_407
ko:K02518	fpm:LA56_408
ko:K02600	fpm:LA56_1230
ko:K09748	fpm:LA56_1231
ko:K01599	fpm:LA56_1233
ko:K07391	fpm:LA56_1234
ko:K09806	fpm:LA56_1235
ko:K00343	fpm:LA56_1236
ko:K00342	fpm:LA56_1237
ko:K00341	fpm:LA56_1238
ko:K00340	fpm:LA56_1239
ko:K00339	fpm:LA56_1240
ko:K00338	fpm:LA56_1241
ko:K00337	fpm:LA56_1242
ko:K00334	fpm:LA56_1245
ko:K00333	fpm:LA56_1246
ko:K00332	fpm:LA56_1247
ko:K00331	fpm:LA56_1248
ko:K00330	fpm:LA56_1249
ko:K03711	fpm:LA56_1250
ko:K00836	fpm:LA56_1252
ko:K13745	fpm:LA56_1253
ko:K03897	fpm:LA56_1255
ko:K02434	fpm:LA56_1262
ko:K02433	fpm:LA56_1263
ko:K02435	fpm:LA56_1264
ko:K01756	fpm:LA56_1267
ko:K01952	fpm:LA56_1274
ko:K00764	fpm:LA56_1275
ko:K01580	fpm:LA56_1276
ko:K06133	fpm:LA56_1277
ko:K12340	fpm:LA56_1278
ko:K00573	fpm:LA56_1279
ko:K08303	fpm:LA56_1281
ko:K12995	fpm:LA56_687
ko:K01784	fpm:LA56_688
ko:K01783	fpm:LA56_690
ko:K06041	fpm:LA56_691
ko:K09929	fpm:LA56_693
ko:K09930	fpm:LA56_694
ko:K00208	fpm:LA56_697
ko:K06966	fpm:LA56_698
ko:K01759	fpm:LA56_702
ko:K09125	fpm:LA56_703
ko:K07568	fpm:LA56_711
ko:K09474	fpm:LA56_713
ko:K18800	fpm:LA56_714
ko:K03185	fpm:LA56_715
ko:K09895	fpm:LA56_716
ko:K01934	fpm:LA56_717
ko:K05527	fpm:LA56_718
ko:K03975	fpm:LA56_719
ko:K03975	fpm:LA56_720
ko:K03584	fpm:LA56_721
ko:K04487	fpm:LA56_723
ko:K08300	fpm:LA56_724
ko:K13292	fpm:LA56_725
ko:K00058	fpm:LA56_727
ko:K04075	fpm:LA56_728
ko:K09889	fpm:LA56_733
ko:K00600	fpm:LA56_734
ko:K05807	fpm:LA56_740
ko:K07114	fpm:LA56_1549
ko:K07114	fpm:LA56_1550
ko:K07114	fpm:LA56_1551
ko:K01304	fpm:LA56_1553
ko:K02339	fpm:LA56_1556
ko:K01873	fpm:LA56_1557
ko:K01595	fpm:LA56_1559
ko:K00931	fpm:LA56_1563
ko:K00147	fpm:LA56_1564
ko:K00101	fpm:LA56_1565
ko:K10679	fpm:LA56_1566
ko:K01679	fpm:LA56_1568
ko:K01885	fpm:LA56_1569
ko:K00640	fpm:LA56_1572
ko:K01738	fpm:LA56_1574
ko:K02967	fpm:LA56_1575
ko:K02357	fpm:LA56_1576
ko:K09903	fpm:LA56_1577
ko:K02838	fpm:LA56_1578
ko:K00806	fpm:LA56_1579
ko:K00981	fpm:LA56_1580
ko:K00995	fpm:LA56_1582
ko:K02950	fpm:LA56_1583
ko:K02992	fpm:LA56_1584
ko:K02355	fpm:LA56_1585
ko:K02946	fpm:LA56_1586
ko:K02906	fpm:LA56_1587
ko:K02926	fpm:LA56_1588
ko:K02892	fpm:LA56_1589
ko:K02886	fpm:LA56_1590
ko:K02965	fpm:LA56_1591
ko:K02890	fpm:LA56_1592
ko:K02982	fpm:LA56_1593
ko:K02878	fpm:LA56_1594
ko:K02904	fpm:LA56_1595
ko:K02961	fpm:LA56_1596
ko:K02874	fpm:LA56_1597
ko:K02895	fpm:LA56_1598
ko:K02931	fpm:LA56_1599
ko:K02954	fpm:LA56_1600
ko:K02994	fpm:LA56_1601
ko:K02933	fpm:LA56_1602
ko:K02881	fpm:LA56_1603
ko:K02988	fpm:LA56_1604
ko:K02907	fpm:LA56_1605
ko:K02876	fpm:LA56_1606
ko:K03588	fpm:LA56_20
ko:K11179	fpm:LA56_25
ko:K03599	fpm:LA56_26
ko:K04774	fpm:LA56_27
ko:K02341	fpm:LA56_28
ko:K07574	fpm:LA56_29
ko:K01698	fpm:LA56_30
ko:K03216	fpm:LA56_31
ko:K01424	fpm:LA56_32
ko:K03305	fpm:LA56_33
ko:K01887	fpm:LA56_34
ko:K04744	fpm:LA56_35
ko:K03771	fpm:LA56_36
ko:K02528	fpm:LA56_37
ko:K01525	fpm:LA56_38
ko:K03786	fpm:LA56_39
ko:K02160	fpm:LA56_40
ko:K01961	fpm:LA56_41
ko:K16052	fpm:LA56_43
ko:K04568	fpm:LA56_44
ko:K03524	fpm:LA56_45
ko:K07462	fpm:LA56_46
ko:K03548	fpm:LA56_47
ko:K11073	fpm:LA56_49
ko:K06949	fpm:LA56_50
ko:K03572	fpm:LA56_53
ko:K00384	fpm:LA56_57
ko:K01091	fpm:LA56_58
ko:K06201	fpm:LA56_61
ko:K01424	fpm:LA56_64
ko:K03305	fpm:LA56_65
ko:K01902	fpm:LA56_70
ko:K01903	fpm:LA56_71
ko:K05539	fpm:LA56_74
ko:K02470	fpm:LA56_76
ko:K07272	fpm:LA56_918
ko:K02805	fpm:LA56_932
ko:K00067	fpm:LA56_937
ko:K01790	fpm:LA56_938
ko:K00973	fpm:LA56_939
ko:K02377	fpm:LA56_940
ko:K01711	fpm:LA56_942
ko:K00971	fpm:LA56_943
ko:K01784	fpm:LA56_944
ko:K13012	fpm:LA56_945
ko:K03578	fpm:LA56_947
ko:K00031	fpm:LA56_949
ko:K00537	fpm:LA56_950
ko:K01897	fpm:LA56_951
ko:K07516	fpm:LA56_953
ko:K09794	fpm:LA56_957
ko:K01476	fpm:LA56_959
ko:K09859	fpm:LA56_961
ko:K03168	fpm:LA56_1771
ko:K03496	fpm:LA56_1772
ko:K03497	fpm:LA56_1773
ko:K03449	fpm:LA56_1776
ko:K02427	fpm:LA56_1778
ko:K03101	fpm:LA56_1779
ko:K01870	fpm:LA56_1781
ko:K11753	fpm:LA56_1782
ko:K00027	fpm:LA56_1783
ko:K03977	fpm:LA56_1786
ko:K00790	fpm:LA56_1787
ko:K00075	fpm:LA56_1788
ko:K02503	fpm:LA56_1792
ko:K03688	fpm:LA56_1793
ko:K03690	fpm:LA56_1794
ko:K03183	fpm:LA56_1795
ko:K00845	fpm:LA56_1796
ko:K06190	fpm:LA56_1798
ko:K01874	fpm:LA56_1802
ko:K01613	fpm:LA56_1815
ko:K04042	fpm:LA56_1819
ko:K00820	fpm:LA56_1820
ko:K02970	fpm:LA56_1822
ko:K03704	fpm:LA56_1823
ko:K01265	fpm:LA56_1825
ko:K03499	fpm:LA56_411
ko:K09014	fpm:LA56_413
ko:K09013	fpm:LA56_414
ko:K09015	fpm:LA56_415
ko:K03671	fpm:LA56_417
ko:K03574	fpm:LA56_422
ko:K07735	fpm:LA56_423
ko:K07447	fpm:LA56_424
ko:K01869	fpm:LA56_425
ko:K03643	fpm:LA56_426
ko:K16053	fpm:LA56_427
ko:K01494	fpm:LA56_429
ko:K03593	fpm:LA56_430
ko:K06131	fpm:LA56_432
ko:K06131	fpm:LA56_433
ko:K09823	fpm:LA56_437
ko:K01890	fpm:LA56_440
ko:K01889	fpm:LA56_441
ko:K03305	fpm:LA56_443
ko:K07727	fpm:LA56_448
ko:K03551	fpm:LA56_450
ko:K01662	fpm:LA56_453
ko:K01951	fpm:LA56_454
ko:K06173	fpm:LA56_455
ko:K06861	fpm:LA56_458
ko:K11719	fpm:LA56_460
ko:K06180	fpm:LA56_741
ko:K02066	fpm:LA56_743
ko:K02065	fpm:LA56_744
ko:K02067	fpm:LA56_745
ko:K09761	fpm:LA56_748
ko:K03305	fpm:LA56_749
ko:K01897	fpm:LA56_750
ko:K03446	fpm:LA56_752
ko:K03543	fpm:LA56_753
ko:K01916	fpm:LA56_755
ko:K03686	fpm:LA56_758
ko:K04043	fpm:LA56_759
ko:K03687	fpm:LA56_760
ko:K08304	fpm:LA56_761
ko:K02871	fpm:LA56_763
ko:K02996	fpm:LA56_764
ko:K03599	fpm:LA56_765
ko:K03600	fpm:LA56_766
ko:K03470	fpm:LA56_772
ko:K02533	fpm:LA56_773
ko:K02806	fpm:LA56_774
ko:K05808	fpm:LA56_775
ko:K03650	fpm:LA56_777
ko:K01442	fpm:LA56_780
ko:K01697	fpm:LA56_782
ko:K03076	fpm:LA56_1607
ko:K02919	fpm:LA56_1608
ko:K02952	fpm:LA56_1609
ko:K02948	fpm:LA56_1610
ko:K02986	fpm:LA56_1611
ko:K03040	fpm:LA56_1612
ko:K02879	fpm:LA56_1613
ko:K10716	fpm:LA56_1614
ko:K04079	fpm:LA56_1615
ko:K00611	fpm:LA56_1616
ko:K00930	fpm:LA56_1617
ko:K00620	fpm:LA56_1618
ko:K00145	fpm:LA56_1619
ko:K00819	fpm:LA56_1621
ko:K03402	fpm:LA56_1620
ko:K01755	fpm:LA56_1622
ko:K01940	fpm:LA56_1623
ko:K01937	fpm:LA56_1625
ko:K00940	fpm:LA56_1626
ko:K01963	fpm:LA56_1627
ko:K11754	fpm:LA56_1628
ko:K06925	fpm:LA56_1629
ko:K07126	fpm:LA56_1630
ko:K03980	fpm:LA56_1631
ko:K01919	fpm:LA56_1632
ko:K02909	fpm:LA56_1633
ko:K03607	fpm:LA56_1639
ko:K03498	fpm:LA56_1641
ko:K03634	fpm:LA56_1645
ko:K03466	fpm:LA56_1646
ko:K11733	fpm:LA56_1648
ko:K07018	fpm:LA56_1649
ko:K02446	fpm:LA56_1650
ko:K11928	fpm:LA56_1651
ko:K02672	fpm:LA56_1659
ko:K01883	fpm:LA56_1661
ko:K06215	fpm:LA56_77
ko:K08681	fpm:LA56_78
ko:K10563	fpm:LA56_79
ko:K03438	fpm:LA56_81
ko:K03586	fpm:LA56_82
ko:K03587	fpm:LA56_83
ko:K02956	fpm:LA56_84
ko:K00962	fpm:LA56_85
ko:K15724	fpm:LA56_86
ko:K01627	fpm:LA56_87
ko:K00876	fpm:LA56_88
ko:K03060	fpm:LA56_89
ko:K03215	fpm:LA56_92
ko:K00845	fpm:LA56_93
ko:K00845	fpm:LA56_94
ko:K03811	fpm:LA56_95
ko:K01689	fpm:LA56_97
ko:K05589	fpm:LA56_98
ko:K00991	fpm:LA56_99
ko:K00060	fpm:LA56_101
ko:K00639	fpm:LA56_102
ko:K00761	fpm:LA56_104
ko:K01433	fpm:LA56_105
ko:K03327	fpm:LA56_107
ko:K01129	fpm:LA56_109
ko:K03782	fpm:LA56_111
ko:K07259	fpm:LA56_113
ko:K02445	fpm:LA56_114
ko:K01126	fpm:LA56_115
ko:K01993	fpm:LA56_116
ko:K03321	fpm:LA56_119
ko:K11103	fpm:LA56_122
ko:K03427	fpm:LA56_123
ko:K01154	fpm:LA56_125
ko:K01153	fpm:LA56_130
ko:K16012	fpm:LA56_131
ko:K07337	fpm:LA56_964
ko:K09701	fpm:LA56_972
ko:K00574	fpm:LA56_973
ko:K12573	fpm:LA56_978
ko:K03177	fpm:LA56_979
ko:K03685	fpm:LA56_980
ko:K03100	fpm:LA56_981
ko:K00286	fpm:LA56_983
ko:K02428	fpm:LA56_984
ko:K02527	fpm:LA56_985
ko:K00795	fpm:LA56_986
ko:K01004	fpm:LA56_987
ko:K00748	fpm:LA56_991
ko:K00677	fpm:LA56_992
ko:K02372	fpm:LA56_993
ko:K02536	fpm:LA56_994
ko:K06142	fpm:LA56_995
ko:K07277	fpm:LA56_996
ko:K00099	fpm:LA56_997
ko:K02469	fpm:LA56_998
ko:K03648	fpm:LA56_1002
ko:K00382	fpm:LA56_1003
ko:K00627	fpm:LA56_1004
ko:K00163	fpm:LA56_1005
ko:K00012	fpm:LA56_1014
ko:K02621	fpm:LA56_1827
ko:K18284	fpm:LA56_1828
