ko:K19302	mtur:CFBS_0325
ko:K02619	mtur:CFBS_0853
ko:K01011	mtur:CFBS_0856
ko:K15520	mtur:CFBS_0860
ko:K14954	mtur:CFBS_1502
ko:K16370	mtur:CFBS_2149
ko:K02025	mtur:CFBS_2161
ko:K03929	mtur:CFBS_2166
ko:K02077	mtur:CFBS_2180
ko:K13540	mtur:CFBS_2187
ko:K00595	mtur:CFBS_2193
ko:K03709	mtur:CFBS_2945
ko:K03177	mtur:CFBS_2950
ko:K09002	mtur:CFBS_2975
ko:K01692	mtur:CFBS_2986
ko:K05816	mtur:CFBS_2987
ko:K05815	mtur:CFBS_2989
ko:K05814	mtur:CFBS_2990
ko:K00626	mtur:CFBS_3772
ko:K00059	mtur:CFBS_3775
ko:K00622	mtur:CFBS_3782
ko:K16049	mtur:CFBS_3785
ko:K16050	mtur:CFBS_3786
ko:K06994	mtur:CFBS_0417
ko:K14949	mtur:CFBS_0426
ko:K02030	mtur:CFBS_0427
ko:K03574	mtur:CFBS_0429
ko:K02004	mtur:CFBS_2714
ko:K05522	mtur:CFBS_3488
ko:K03932	mtur:CFBS_3489
ko:K06177	mtur:CFBS_3491
ko:K03783	mtur:CFBS_3498
ko:K01488	mtur:CFBS_3506
ko:K00758	mtur:CFBS_3507
ko:K01489	mtur:CFBS_3508
ko:K00241	mtur:CFBS_3509
ko:K01724	mtur:CFBS_3518
ko:K07258	mtur:CFBS_3529
ko:K03153	mtur:CFBS_0431
ko:K01478	mtur:CFBS_1055
ko:K00666	mtur:CFBS_1067
ko:K02428	mtur:CFBS_1075
ko:K09009	mtur:CFBS_1079
ko:K07656	mtur:CFBS_1088
ko:K07672	mtur:CFBS_1089
ko:K01814	mtur:CFBS_1691
ko:K01817	mtur:CFBS_1691
ko:K01092	mtur:CFBS_1692
ko:K01496	mtur:CFBS_1694
ko:K16012	mtur:CFBS_1709
ko:K16013	mtur:CFBS_1710
ko:K09146	mtur:CFBS_1721
ko:K14340	mtur:CFBS_1724
ko:K01104	mtur:CFBS_2366
ko:K03386	mtur:CFBS_2371
ko:K11609	mtur:CFBS_2378
ko:K11609	mtur:CFBS_2379
ko:K00803	mtur:CFBS_2384
ko:K00153	mtur:CFBS_2392
ko:K00389	mtur:CFBS_2405
ko:K00058	mtur:CFBS_3159
ko:K02433	mtur:CFBS_3176
ko:K16149	mtur:CFBS_3198
ko:K16150	mtur:CFBS_3199
ko:K01692	mtur:CFBS_3207
ko:K14953	mtur:CFBS_3989
ko:K01692	mtur:CFBS_4002
ko:K16649	mtur:CFBS_4010
ko:K16653	mtur:CFBS_4019
ko:K16652	mtur:CFBS_4020
ko:K13686	mtur:CFBS_4021
ko:K11387	mtur:CFBS_4022
ko:K11385	mtur:CFBS_4023
ko:K11386	mtur:CFBS_4024
ko:K12437	mtur:CFBS_4029
ko:K12428	mtur:CFBS_4030
ko:K13687	mtur:CFBS_4034
ko:K14136	mtur:CFBS_4035
ko:K16650	mtur:CFBS_4037
ko:K01854	mtur:CFBS_4038
ko:K15983	mtur:CFBS_3788
ko:K07067	mtur:CFBS_3803
ko:K06994	mtur:CFBS_0467
ko:K01692	mtur:CFBS_0473
ko:K01322	mtur:CFBS_0475
ko:K16645	mtur:CFBS_0495
ko:K01619	mtur:CFBS_0498
ko:K15521	mtur:CFBS_0506
ko:K00666	mtur:CFBS_1120
ko:K01692	mtur:CFBS_1132
ko:K01692	mtur:CFBS_1133
ko:K00626	mtur:CFBS_1136
ko:K12503	mtur:CFBS_1149
ko:K00867	mtur:CFBS_1159
ko:K03922	mtur:CFBS_1161
ko:K01679	mtur:CFBS_1165
ko:K02446	mtur:CFBS_1167
ko:K16167	mtur:CFBS_1751
ko:K16167	mtur:CFBS_1756
ko:K03316	mtur:CFBS_2417
ko:K01011	mtur:CFBS_2421
ko:K06889	mtur:CFBS_2436
ko:K02025	mtur:CFBS_2451
ko:K00819	mtur:CFBS_2456
ko:K00819	mtur:CFBS_2457
ko:K00027	mtur:CFBS_2468
ko:K02274	mtur:CFBS_3211
ko:K03647	mtur:CFBS_3220
ko:K01835	mtur:CFBS_3236
ko:K13419	mtur:CFBS_3248
ko:K00121	mtur:CFBS_3254
ko:K06994	mtur:CFBS_4053
ko:K04518	mtur:CFBS_4068
ko:K10215	mtur:CFBS_4087
ko:K04477	mtur:CFBS_4089
ko:K14952	mtur:CFBS_4048
ko:K12953	mtur:CFBS_2107
ko:K12949	mtur:CFBS_0098
ko:K02351	mtur:CFBS_0108
ko:K07245	mtur:CFBS_0108
ko:K12949	mtur:CFBS_0109
ko:K12955	mtur:CFBS_0115
ko:K07031	mtur:CFBS_0124
ko:K01577	mtur:CFBS_0128
ko:K16146	mtur:CFBS_0137
ko:K07304	mtur:CFBS_0148
ko:K00058	mtur:CFBS_0764
ko:K00854	mtur:CFBS_0765
ko:K00939	mtur:CFBS_0769
ko:K00121	mtur:CFBS_0800
ko:K05917	mtur:CFBS_0803
ko:K01607	mtur:CFBS_0810
ko:K00567	mtur:CFBS_1399
ko:K07503	mtur:CFBS_1405
ko:K00626	mtur:CFBS_1408
ko:K00700	mtur:CFBS_1411
ko:K02428	mtur:CFBS_1426
ko:K01909	mtur:CFBS_1430
ko:K14698	mtur:CFBS_1433
ko:K14699	mtur:CFBS_1434
ko:K00059	mtur:CFBS_1435
ko:K03294	mtur:CFBS_2109
ko:K00038	mtur:CFBS_2112
ko:K07028	mtur:CFBS_2114
ko:K10533	mtur:CFBS_2893
ko:K00619	mtur:CFBS_2900
ko:K02067	mtur:CFBS_3710
ko:K02067	mtur:CFBS_3711
ko:K02067	mtur:CFBS_3712
ko:K06860	mtur:CFBS_0223
ko:K01596	mtur:CFBS_0227
ko:K01692	mtur:CFBS_0238
ko:K07048	mtur:CFBS_0246
ko:K00135	mtur:CFBS_0250
ko:K16648	mtur:CFBS_0252
ko:K00059	mtur:CFBS_0259
ko:K00626	mtur:CFBS_0260
ko:K01259	mtur:CFBS_0882
ko:K02480	mtur:CFBS_0887
ko:K01796	mtur:CFBS_0898
ko:K00626	mtur:CFBS_0902
ko:K01782	mtur:CFBS_0903
ko:K10843	mtur:CFBS_0904
ko:K03635	mtur:CFBS_0909
ko:K04750	mtur:CFBS_0930
ko:K09762	mtur:CFBS_1514
ko:K00616	mtur:CFBS_1542
ko:K14339	mtur:CFBS_1553
ko:K04488	mtur:CFBS_1559
ko:K03727	mtur:CFBS_2215
ko:K13573	mtur:CFBS_2218
ko:K13571	mtur:CFBS_2220
ko:K13570	mtur:CFBS_2236
ko:K13527	mtur:CFBS_2240
ko:K09764	mtur:CFBS_2242
ko:K07442	mtur:CFBS_2243
ko:K01523	mtur:CFBS_2247
ko:K00548	mtur:CFBS_2250
ko:K03404	mtur:CFBS_3005
ko:K02348	mtur:CFBS_3006
ko:K04652	mtur:CFBS_3012
ko:K04652	mtur:CFBS_3013
ko:K06976	mtur:CFBS_3024
ko:K01426	mtur:CFBS_3045
ko:K14733	mtur:CFBS_3834
ko:K01507	mtur:CFBS_3844
ko:K09153	mtur:CFBS_3848
ko:K01784	mtur:CFBS_3850
ko:K06877	mtur:CFBS_3866
ko:K06994	mtur:CFBS_3100
ko:K01719	mtur:CFBS_0277
ko:K01469	mtur:CFBS_0283
ko:K00666	mtur:CFBS_0287
ko:K14743	mtur:CFBS_0309
ko:K00598	mtur:CFBS_0312
ko:K07655	mtur:CFBS_0948
ko:K07671	mtur:CFBS_0949
ko:K01962	mtur:CFBS_0950
ko:K01963	mtur:CFBS_0950
ko:K01692	mtur:CFBS_0951
ko:K11159	mtur:CFBS_0961
ko:K00626	mtur:CFBS_0962
ko:K00076	mtur:CFBS_0975
ko:K10563	mtur:CFBS_0992
ko:K12951	mtur:CFBS_1565
ko:K01692	mtur:CFBS_1568
ko:K07114	mtur:CFBS_1578
ko:K11610	mtur:CFBS_1580
ko:K11611	mtur:CFBS_1581
ko:K01847	mtur:CFBS_1590
ko:K01847	mtur:CFBS_1591
ko:K07588	mtur:CFBS_1594
ko:K15526	mtur:CFBS_2257
ko:K01082	mtur:CFBS_2258
ko:K06910	mtur:CFBS_2268
ko:K13787	mtur:CFBS_2300
ko:K07258	mtur:CFBS_3068
ko:K10563	mtur:CFBS_3082
ko:K12426	mtur:CFBS_3088
ko:K12440	mtur:CFBS_3089
ko:K12441	mtur:CFBS_3090
ko:K12443	mtur:CFBS_3092
ko:K12444	mtur:CFBS_3093
ko:K12427	mtur:CFBS_3099
ko:K02067	mtur:CFBS_3713
ko:K02067	mtur:CFBS_3714
ko:K02067	mtur:CFBS_3715
ko:K00059	mtur:CFBS_3718
ko:K05337	mtur:CFBS_3719
ko:K00666	mtur:CFBS_3722
ko:K01692	mtur:CFBS_3732
ko:K16046	mtur:CFBS_3734
ko:K00626	mtur:CFBS_3739
ko:K15982	mtur:CFBS_3742
ko:K04073	mtur:CFBS_3751
ko:K15981	mtur:CFBS_3761
ko:K00626	mtur:CFBS_3762
ko:K01692	mtur:CFBS_3766
ko:K15582	mtur:CFBS_3883
ko:K01439	mtur:CFBS_1280
ko:K00547	mtur:CFBS_2604
ko:K05522	mtur:CFBS_2610
ko:K00508	mtur:CFBS_3419
ko:K03455	mtur:CFBS_3425
ko:K01834	mtur:CFBS_0509
ko:K07768	mtur:CFBS_0510
ko:K07776	mtur:CFBS_0511
ko:K01784	mtur:CFBS_0523
ko:K06994	mtur:CFBS_0529
ko:K06196	mtur:CFBS_0549
ko:K11608	mtur:CFBS_0557
ko:K00772	mtur:CFBS_0559
ko:K09931	mtur:CFBS_0564
ko:K00088	mtur:CFBS_1935
ko:K00033	mtur:CFBS_1936
ko:K02017	mtur:CFBS_1951
ko:K13953	mtur:CFBS_1954
ko:K07052	mtur:CFBS_1955
ko:K00626	mtur:CFBS_1959
ko:K07054	mtur:CFBS_2726
ko:K03768	mtur:CFBS_2733
ko:K02035	mtur:CFBS_2736
ko:K07250	mtur:CFBS_2740
ko:K12421	mtur:CFBS_2741
ko:K08256	mtur:CFBS_2762
ko:K06945	mtur:CFBS_3563
ko:K07131	mtur:CFBS_3565
ko:K14162	mtur:CFBS_3571
ko:K01692	mtur:CFBS_3575
ko:K01426	mtur:CFBS_3577
ko:K07025	mtur:CFBS_3578
ko:K13787	mtur:CFBS_3586
ko:K16045	mtur:CFBS_1174
ko:K00033	mtur:CFBS_1190
ko:K00626	mtur:CFBS_1209
ko:K16168	mtur:CFBS_1213
ko:K07052	mtur:CFBS_1214
ko:K01692	mtur:CFBS_1215
ko:K01692	mtur:CFBS_1217
ko:K01796	mtur:CFBS_1216
ko:K06994	mtur:CFBS_1220
ko:K01515	mtur:CFBS_1791
ko:K04763	mtur:CFBS_1792
ko:K00545	mtur:CFBS_1795
ko:K01823	mtur:CFBS_1841
ko:K06994	mtur:CFBS_2477
ko:K03711	mtur:CFBS_2498
ko:K01426	mtur:CFBS_2502
ko:K04793	mtur:CFBS_2517
ko:K04792	mtur:CFBS_2518
ko:K04789	mtur:CFBS_2519
ko:K04791	mtur:CFBS_2520
ko:K04790	mtur:CFBS_2521
ko:K04788	mtur:CFBS_2522
ko:K00803	mtur:CFBS_3277
ko:K01724	mtur:CFBS_3280
ko:K01011	mtur:CFBS_3287
ko:K07491	mtur:CFBS_3292
ko:K05602	mtur:CFBS_3314
ko:K14743	mtur:CFBS_4115
ko:K14743	mtur:CFBS_4118
ko:K00970	mtur:CFBS_4140
ko:K06346	mtur:CFBS_4153
ko:K01692	mtur:CFBS_0662
ko:K07052	mtur:CFBS_0690
ko:K00666	mtur:CFBS_1284
ko:K13693	mtur:CFBS_1287
ko:K16148	mtur:CFBS_1291
ko:K08981	mtur:CFBS_1305
ko:K09167	mtur:CFBS_1306
ko:K03593	mtur:CFBS_1309
ko:K02025	mtur:CFBS_1316
ko:K01616	mtur:CFBS_1328
ko:K00101	mtur:CFBS_1964
ko:K04093	mtur:CFBS_1977
ko:K08178	mtur:CFBS_1996
ko:K06910	mtur:CFBS_2005
ko:K06910	mtur:CFBS_2006
ko:K16647	mtur:CFBS_2825
ko:K07305	mtur:CFBS_2826
ko:K01692	mtur:CFBS_2831
ko:K13787	mtur:CFBS_3602
ko:K03333	mtur:CFBS_3613
ko:K00088	mtur:CFBS_3614
ko:K00088	mtur:CFBS_3615
ko:K01409	mtur:CFBS_3623
ko:K01580	mtur:CFBS_3649
ko:K03294	mtur:CFBS_3442
ko:K11212	mtur:CFBS_3450
ko:K12234	mtur:CFBS_3451
ko:K16870	mtur:CFBS_3456
ko:K15781	mtur:CFBS_2628
ko:K01692	mtur:CFBS_2632
ko:K11263	mtur:CFBS_2650
ko:K00666	mtur:CFBS_2654
ko:K06902	mtur:CFBS_2657
ko:K07654	mtur:CFBS_3434
ko:K07670	mtur:CFBS_3435
ko:K12950	mtur:CFBS_3461
ko:K03932	mtur:CFBS_0706
ko:K01692	mtur:CFBS_0708
ko:K01692	mtur:CFBS_0710
ko:K06994	mtur:CFBS_0711
ko:K00101	mtur:CFBS_0730
ko:K01426	mtur:CFBS_1344
ko:K06147	mtur:CFBS_1353
ko:K06147	mtur:CFBS_1354
ko:K02035	mtur:CFBS_1361
ko:K02033	mtur:CFBS_1364
ko:K02851	mtur:CFBS_1384
ko:K00666	mtur:CFBS_2022
ko:K01692	mtur:CFBS_2032
ko:K02067	mtur:CFBS_2064
ko:K02067	mtur:CFBS_2065
ko:K02067	mtur:CFBS_2066
ko:K02067	mtur:CFBS_2067
ko:K02067	mtur:CFBS_2068
ko:K02067	mtur:CFBS_2069
ko:K16905	mtur:CFBS_2838
ko:K16906	mtur:CFBS_2839
ko:K16907	mtur:CFBS_2840
ko:K03499	mtur:CFBS_2843
ko:K03499	mtur:CFBS_2844
ko:K01092	mtur:CFBS_2853
ko:K03087	mtur:CFBS_2862
ko:K03709	mtur:CFBS_2863
ko:K05794	mtur:CFBS_2875
ko:K14743	mtur:CFBS_3667
ko:K01664	mtur:CFBS_0018
ko:K12140	mtur:CFBS_0091
ko:K03281	mtur:CFBS_0154
ko:K09958	mtur:CFBS_0168
ko:K00324	mtur:CFBS_0169
ko:K00324	mtur:CFBS_0170
ko:K00325	mtur:CFBS_0171
ko:K07107	mtur:CFBS_0177
ko:K02066	mtur:CFBS_0182
ko:K02066	mtur:CFBS_0183
ko:K06911	mtur:CFBS_0196
ko:K03088	mtur:CFBS_0198
ko:K05349	mtur:CFBS_0201
ko:K01687	mtur:CFBS_0205
ko:K01952	mtur:CFBS_0828
ko:K01952	mtur:CFBS_0829
ko:K03710	mtur:CFBS_0833
ko:K00382	mtur:CFBS_0835
ko:K07223	mtur:CFBS_0840
ko:K01952	mtur:CFBS_0844
ko:K00764	mtur:CFBS_0849
ko:K01933	mtur:CFBS_0850
ko:K06980	mtur:CFBS_0852
ko:K02036	mtur:CFBS_0861
ko:K02039	mtur:CFBS_0862
ko:K03921	mtur:CFBS_0865
ko:K09136	mtur:CFBS_1465
ko:K02825	mtur:CFBS_1468
ko:K00609	mtur:CFBS_1470
ko:K01465	mtur:CFBS_1471
ko:K01956	mtur:CFBS_1473
ko:K01955	mtur:CFBS_1474
ko:K01591	mtur:CFBS_1475
ko:K00942	mtur:CFBS_1480
ko:K03060	mtur:CFBS_1481
ko:K13038	mtur:CFBS_1482
ko:K00789	mtur:CFBS_1483
ko:K04066	mtur:CFBS_1493
ko:K00604	mtur:CFBS_1497
ko:K03500	mtur:CFBS_1498
ko:K01783	mtur:CFBS_1499
ko:K11752	mtur:CFBS_1500
ko:K07001	mtur:CFBS_2158
ko:K08281	mtur:CFBS_2164
ko:K03820	mtur:CFBS_2172
ko:K07113	mtur:CFBS_2174
ko:K01061	mtur:CFBS_2175
ko:K02963	mtur:CFBS_2176
ko:K02954	mtur:CFBS_2177
ko:K02913	mtur:CFBS_2178
ko:K02902	mtur:CFBS_2179
ko:K07006	mtur:CFBS_2181
ko:K02230	mtur:CFBS_2182
ko:K02229	mtur:CFBS_2185
ko:K06042	mtur:CFBS_2186
ko:K03088	mtur:CFBS_2190
ko:K05895	mtur:CFBS_2191
ko:K05936	mtur:CFBS_2192
ko:K00962	mtur:CFBS_2940
ko:K02956	mtur:CFBS_2942
ko:K11753	mtur:CFBS_2943
ko:K06978	mtur:CFBS_2957
ko:K05813	mtur:CFBS_2988
ko:K02834	mtur:CFBS_2993
ko:K02519	mtur:CFBS_2994
ko:K03893	mtur:CFBS_3795
ko:K03218	mtur:CFBS_3796
ko:K01883	mtur:CFBS_3797
ko:K01770	mtur:CFBS_3798
ko:K00991	mtur:CFBS_3799
ko:K07736	mtur:CFBS_3800
ko:K04485	mtur:CFBS_3802
ko:K01673	mtur:CFBS_3806
ko:K03575	mtur:CFBS_3805
ko:K03696	mtur:CFBS_3813
ko:K04567	mtur:CFBS_3815
ko:K03525	mtur:CFBS_3816
ko:K01579	mtur:CFBS_3817
ko:K01918	mtur:CFBS_3818
ko:K03439	mtur:CFBS_0224
ko:K00240	mtur:CFBS_0264
ko:K00239	mtur:CFBS_0265
ko:K00362	mtur:CFBS_0269
ko:K00363	mtur:CFBS_0270
ko:K02231	mtur:CFBS_0271
ko:K02232	mtur:CFBS_0272
ko:K08641	mtur:CFBS_0880
ko:K01738	mtur:CFBS_0891
ko:K14267	mtur:CFBS_0901
ko:K03637	mtur:CFBS_0907
ko:K03639	mtur:CFBS_0912
ko:K03704	mtur:CFBS_0914
ko:K00831	mtur:CFBS_0927
ko:K00528	mtur:CFBS_0929
ko:K01647	mtur:CFBS_0935
ko:K00793	mtur:CFBS_1503
ko:K14652	mtur:CFBS_1506
ko:K00794	mtur:CFBS_1507
ko:K03703	mtur:CFBS_1511
ko:K06958	mtur:CFBS_1512
ko:K00134	mtur:CFBS_1526
ko:K00927	mtur:CFBS_1527
ko:K01803	mtur:CFBS_1528
ko:K03075	mtur:CFBS_1531
ko:K01057	mtur:CFBS_1539
ko:K00036	mtur:CFBS_1541
ko:K00615	mtur:CFBS_1543
ko:K02259	mtur:CFBS_1550
ko:K09014	mtur:CFBS_1555
ko:K09015	mtur:CFBS_1556
ko:K07735	mtur:CFBS_0043
ko:K12141	mtur:CFBS_0092
ko:K11735	mtur:CFBS_0544
ko:K09013	mtur:CFBS_1557
ko:K11717	mtur:CFBS_1558
ko:K03118	mtur:CFBS_2216
ko:K03116	mtur:CFBS_2217
ko:K03432	mtur:CFBS_2234
ko:K03433	mtur:CFBS_2235
ko:K00765	mtur:CFBS_2246
ko:K07742	mtur:CFBS_2995
ko:K02600	mtur:CFBS_2996
ko:K09748	mtur:CFBS_2997
ko:K01881	mtur:CFBS_3000
ko:K02302	mtur:CFBS_3002
ko:K00116	mtur:CFBS_3007
ko:K07241	mtur:CFBS_3011
ko:K07010	mtur:CFBS_3016
ko:K01915	mtur:CFBS_3017
ko:K01265	mtur:CFBS_3018
ko:K00099	mtur:CFBS_3027
ko:K06941	mtur:CFBS_3037
ko:K00981	mtur:CFBS_3038
ko:K02838	mtur:CFBS_3039
ko:K09903	mtur:CFBS_3040
ko:K02357	mtur:CFBS_3046
ko:K02967	mtur:CFBS_3047
ko:K00950	mtur:CFBS_3822
ko:K01633	mtur:CFBS_3823
ko:K00796	mtur:CFBS_3824
ko:K01495	mtur:CFBS_3825
ko:K03798	mtur:CFBS_3826
ko:K09807	mtur:CFBS_3839
ko:K00760	mtur:CFBS_3840
ko:K04075	mtur:CFBS_3841
ko:K07259	mtur:CFBS_3843
ko:K09799	mtur:CFBS_3845
ko:K04095	mtur:CFBS_3857
ko:K02341	mtur:CFBS_3861
ko:K03168	mtur:CFBS_3863
ko:K03704	mtur:CFBS_3865
ko:K12510	mtur:CFBS_3876
ko:K02283	mtur:CFBS_3877
ko:K00459	mtur:CFBS_0026
ko:K00849	mtur:CFBS_0649
ko:K01869	mtur:CFBS_0046
ko:K02575	mtur:CFBS_0278
ko:K02016	mtur:CFBS_0282
ko:K02575	mtur:CFBS_0284
ko:K01126	mtur:CFBS_0334
ko:K01647	mtur:CFBS_0942
ko:K06996	mtur:CFBS_0958
ko:K02168	mtur:CFBS_0965
ko:K03322	mtur:CFBS_0972
ko:K02040	mtur:CFBS_0976
ko:K02038	mtur:CFBS_0978
ko:K02040	mtur:CFBS_0980
ko:K02036	mtur:CFBS_0981
ko:K02040	mtur:CFBS_0982
ko:K02037	mtur:CFBS_0983
ko:K02038	mtur:CFBS_0984
ko:K10979	mtur:CFBS_0985
ko:K01810	mtur:CFBS_0994
ko:K01681	mtur:CFBS_1572
ko:K03924	mtur:CFBS_1576
ko:K01772	mtur:CFBS_1582
ko:K09165	mtur:CFBS_1597
ko:K02805	mtur:CFBS_1603
ko:K01711	mtur:CFBS_1611
ko:K02377	mtur:CFBS_1612
ko:K11738	mtur:CFBS_2254
ko:K06153	mtur:CFBS_2263
ko:K02221	mtur:CFBS_2275
ko:K09772	mtur:CFBS_2276
ko:K06997	mtur:CFBS_2277
ko:K05810	mtur:CFBS_2278
ko:K03531	mtur:CFBS_2279
ko:K03589	mtur:CFBS_2280
ko:K01924	mtur:CFBS_2281
ko:K02563	mtur:CFBS_2282
ko:K03588	mtur:CFBS_2283
ko:K01925	mtur:CFBS_2284
ko:K01000	mtur:CFBS_2285
ko:K01929	mtur:CFBS_2286
ko:K01928	mtur:CFBS_2287
ko:K03587	mtur:CFBS_2292
ko:K03438	mtur:CFBS_2294
ko:K03925	mtur:CFBS_2295
ko:K01626	mtur:CFBS_2305
ko:K03733	mtur:CFBS_3051
ko:K04096	mtur:CFBS_3053
ko:K07391	mtur:CFBS_3054
ko:K07460	mtur:CFBS_3055
ko:K02379	mtur:CFBS_3056
ko:K03470	mtur:CFBS_3059
ko:K03100	mtur:CFBS_3060
ko:K02884	mtur:CFBS_3061
ko:K00554	mtur:CFBS_3063
ko:K02860	mtur:CFBS_3064
ko:K06960	mtur:CFBS_3065
ko:K02959	mtur:CFBS_3066
ko:K03106	mtur:CFBS_3073
ko:K00990	mtur:CFBS_3075
ko:K04751	mtur:CFBS_3076
ko:K03320	mtur:CFBS_3077
ko:K03110	mtur:CFBS_3078
ko:K03529	mtur:CFBS_3079
ko:K01512	mtur:CFBS_3080
ko:K03685	mtur:CFBS_3083
ko:K07040	mtur:CFBS_3084
ko:K15581	mtur:CFBS_3884
ko:K15580	mtur:CFBS_3885
ko:K01895	mtur:CFBS_3886
ko:K10773	mtur:CFBS_3893
ko:K01738	mtur:CFBS_3905
ko:K09117	mtur:CFBS_3910
ko:K03924	mtur:CFBS_3913
ko:K00864	mtur:CFBS_3917
ko:K07008	mtur:CFBS_3923
ko:K01919	mtur:CFBS_3925
ko:K00133	mtur:CFBS_3930
ko:K00928	mtur:CFBS_3931
ko:K01207	mtur:CFBS_0254
ko:K02990	mtur:CFBS_0058
ko:K02963	mtur:CFBS_0060
ko:K04719	mtur:CFBS_0323
ko:K02939	mtur:CFBS_0061
ko:K07238	mtur:CFBS_0335
ko:K01304	mtur:CFBS_0336
ko:K01494	mtur:CFBS_0338
