ko:K08744	mtx:M943_09475
ko:K09767	mtx:M943_02930
ko:K00763	mtx:M943_02980
ko:K07282	mtx:M943_02985
ko:K06996	mtx:M943_03000
ko:K09122	mtx:M943_03010
ko:K02066	mtx:M943_03050
ko:K02066	mtx:M943_03055
ko:K07133	mtx:M943_03100
ko:K01647	mtx:M943_04645
ko:K01647	mtx:M943_04685
ko:K06996	mtx:M943_04765
ko:K02168	mtx:M943_04800
ko:K03322	mtx:M943_04845
ko:K02040	mtx:M943_04865
ko:K02037	mtx:M943_04870
ko:K02038	mtx:M943_04875
ko:K02040	mtx:M943_04885
ko:K02036	mtx:M943_04890
ko:K02040	mtx:M943_04895
ko:K02037	mtx:M943_04900
ko:K10979	mtx:M943_04910
ko:K02034	mtx:M943_06690
ko:K01673	mtx:M943_06705
ko:K00957	mtx:M943_06710
ko:K00955	mtx:M943_06715
ko:K01887	mtx:M943_06755
ko:K01586	mtx:M943_06760
ko:K00003	mtx:M943_06765
ko:K01733	mtx:M943_06770
ko:K00872	mtx:M943_06780
ko:K03628	mtx:M943_06790
ko:K02909	mtx:M943_06795
ko:K02835	mtx:M943_06800
ko:K02493	mtx:M943_06805
ko:K02108	mtx:M943_06830
ko:K02110	mtx:M943_06835
ko:K02109	mtx:M943_06840
ko:K02111	mtx:M943_06850
ko:K02115	mtx:M943_06855
ko:K02112	mtx:M943_06860
ko:K02114	mtx:M943_06865
ko:K00790	mtx:M943_06885
ko:K13529	mtx:M943_06910
ko:K05838	mtx:M943_06945
ko:K16147	mtx:M943_06960
ko:K00688	mtx:M943_06965
ko:K00705	mtx:M943_09280
ko:K07089	mtx:M943_15260
ko:K01433	mtx:M943_15265
ko:K00954	mtx:M943_15275
ko:K03655	mtx:M943_15315
ko:K02902	mtx:M943_15320
ko:K03648	mtx:M943_15325
ko:K00946	mtx:M943_15330
ko:K01921	mtx:M943_15355
ko:K00057	mtx:M943_15360
ko:K00937	mtx:M943_15370
ko:K03530	mtx:M943_15380
ko:K01704	mtx:M943_15385
ko:K01703	mtx:M943_15390
ko:K03893	mtx:M943_18400
ko:K03218	mtx:M943_18405
ko:K01883	mtx:M943_18410
ko:K01770	mtx:M943_18415
ko:K00991	mtx:M943_18420
ko:K07736	mtx:M943_18425
ko:K04485	mtx:M943_18435
ko:K01673	mtx:M943_18450
ko:K03575	mtx:M943_18455
ko:K03696	mtx:M943_18490
ko:K04567	mtx:M943_18500
ko:K03525	mtx:M943_18505
ko:K01579	mtx:M943_18510
ko:K01918	mtx:M943_18515
ko:K00950	mtx:M943_18535
ko:K01633	mtx:M943_18540
ko:K00796	mtx:M943_18545
ko:K01495	mtx:M943_18550
ko:K03798	mtx:M943_18555
ko:K09807	mtx:M943_18605
ko:K00760	mtx:M943_18610
ko:K03306	mtx:M943_11785
ko:K01521	mtx:M943_11820
ko:K14155	mtx:M943_11845
ko:K09925	mtx:M943_11850
ko:K04079	mtx:M943_11870
ko:K03568	mtx:M943_11965
ko:K16785	mtx:M943_12005
ko:K16786	mtx:M943_12010
ko:K16787	mtx:M943_12010
ko:K05813	mtx:M943_14630
ko:K02834	mtx:M943_14655
ko:K02519	mtx:M943_14660
ko:K07742	mtx:M943_14665
ko:K02600	mtx:M943_14670
ko:K09748	mtx:M943_14675
ko:K01881	mtx:M943_14690
ko:K02302	mtx:M943_14700
ko:K00116	mtx:M943_14720
ko:K07241	mtx:M943_14740
ko:K07010	mtx:M943_14755
ko:K01915	mtx:M943_14760
ko:K01265	mtx:M943_14765
ko:K00099	mtx:M943_14810
ko:K06941	mtx:M943_14860
ko:K00981	mtx:M943_14865
ko:K02838	mtx:M943_14870
ko:K09903	mtx:M943_14875
ko:K06173	mtx:M943_17795
ko:K02879	mtx:M943_17800
ko:K03040	mtx:M943_17805
ko:K02986	mtx:M943_17810
ko:K02948	mtx:M943_17815
ko:K02952	mtx:M943_17820
ko:K02919	mtx:M943_17825
ko:K02518	mtx:M943_17830
ko:K01790	mtx:M943_17845
ko:K01666	mtx:M943_17855
ko:K01652	mtx:M943_17860
ko:K00697	mtx:M943_17950
ko:K02066	mtx:M943_18000
ko:K02066	mtx:M943_18005
ko:K01652	mtx:M943_18045
ko:K00259	mtx:M943_14360
ko:K00459	mtx:M943_14365
ko:K00962	mtx:M943_14375
ko:K02956	mtx:M943_14385
ko:K11753	mtx:M943_14390
ko:K06978	mtx:M943_14460
ko:K15342	mtx:M943_14545
ko:K03637	mtx:M943_17185
ko:K03088	mtx:M943_17195
ko:K01443	mtx:M943_17215
ko:K07058	mtx:M943_17230
ko:K01867	mtx:M943_17235
ko:K00031	mtx:M943_17245
ko:K01740	mtx:M943_17250
ko:K00641	mtx:M943_17255
ko:K01491	mtx:M943_17325
ko:K03216	mtx:M943_17375
ko:K01087	mtx:M943_17400
ko:K01662	mtx:M943_17440
ko:K03527	mtx:M943_17445
ko:K19311	mtx:M943_16540
ko:K03652	mtx:M943_08790
ko:K01866	mtx:M943_08795
ko:K06442	mtx:M943_08820
ko:K00858	mtx:M943_08825
ko:K03631	mtx:M943_08830
ko:K01937	mtx:M943_08845
ko:K11737	mtx:M943_08880
ko:K03321	mtx:M943_08900
ko:K05896	mtx:M943_08910
ko:K06024	mtx:M943_08915
ko:K06178	mtx:M943_08920
ko:K00945	mtx:M943_08925
ko:K03977	mtx:M943_08930
ko:K00074	mtx:M943_08940
ko:K02575	mtx:M943_09060
ko:K03588	mtx:M943_11150
ko:K01925	mtx:M943_11155
ko:K01000	mtx:M943_11160
ko:K01929	mtx:M943_11165
ko:K01928	mtx:M943_11170
ko:K03587	mtx:M943_11200
ko:K03438	mtx:M943_11210
ko:K03925	mtx:M943_11215
ko:K01626	mtx:M943_11265
ko:K00655	mtx:M943_11285
ko:K02276	mtx:M943_11350
ko:K02275	mtx:M943_11385
ko:K01953	mtx:M943_11390
ko:K00865	mtx:M943_11410
ko:K00768	mtx:M943_11420
ko:K06916	mtx:M943_13810
ko:K00231	mtx:M943_13845
ko:K01599	mtx:M943_13850
ko:K03684	mtx:M943_13865
ko:K01662	mtx:M943_13870
ko:K00886	mtx:M943_13970
ko:K03086	mtx:M943_13975
ko:K07058	mtx:M943_13990
ko:K00322	mtx:M943_14020
ko:K07738	mtx:M943_14045
ko:K02361	mtx:M943_16610
ko:K03088	mtx:M943_16660
ko:K00800	mtx:M943_16680
ko:K06949	mtx:M943_16685
ko:K07228	mtx:M943_16725
ko:K03070	mtx:M943_16740
ko:K00943	mtx:M943_16775
ko:K01251	mtx:M943_16780
ko:K00496	mtx:M943_16800
ko:K01809	mtx:M943_16815
ko:K00067	mtx:M943_16880
ko:K00266	mtx:M943_19825
ko:K03980	mtx:M943_20060
ko:K00384	mtx:M943_20070
ko:K03671	mtx:M943_20075
ko:K08641	mtx:M943_04395
ko:K00161	mtx:M943_04420
ko:K01738	mtx:M943_04445
ko:K14267	mtx:M943_04495
ko:K03637	mtx:M943_04525
ko:K03639	mtx:M943_04550
ko:K03704	mtx:M943_04560
ko:K00831	mtx:M943_04615
ko:K00528	mtx:M943_04625
ko:K06207	mtx:M943_06120
ko:K00318	mtx:M943_06220
ko:K03088	mtx:M943_06225
ko:K06966	mtx:M943_06305
ko:K00796	mtx:M943_06315
ko:K01246	mtx:M943_06330
ko:K00975	mtx:M943_06345
ko:K06978	mtx:M943_06355
ko:K03088	mtx:M943_06385
ko:K00833	mtx:M943_08185
ko:K01935	mtx:M943_08195
ko:K01012	mtx:M943_08285
ko:K03517	mtx:M943_08310
ko:K00278	mtx:M943_08315
ko:K00767	mtx:M943_08320
ko:K00013	mtx:M943_08335
ko:K00817	mtx:M943_08340
ko:K01693	mtx:M943_08345
ko:K02501	mtx:M943_08350
ko:K02500	mtx:M943_08365
ko:K07300	mtx:M943_08375
ko:K03564	mtx:M943_08380
ko:K01657	mtx:M943_08385
ko:K01609	mtx:M943_08395
ko:K01696	mtx:M943_08400
ko:K01695	mtx:M943_08405
ko:K00873	mtx:M943_08430
ko:K10805	mtx:M943_08435
ko:K00426	mtx:M943_08455
ko:K00425	mtx:M943_08460
ko:K08281	mtx:M943_10590
ko:K03820	mtx:M943_10635
ko:K07113	mtx:M943_10645
ko:K01061	mtx:M943_10650
ko:K02963	mtx:M943_10655
ko:K02954	mtx:M943_10660
ko:K02913	mtx:M943_10665
ko:K02902	mtx:M943_10670
ko:K07006	mtx:M943_10680
ko:K02230	mtx:M943_10685
ko:K02229	mtx:M943_10700
ko:K06042	mtx:M943_10705
ko:K03088	mtx:M943_10725
ko:K05936	mtx:M943_10730
ko:K03118	mtx:M943_10845
ko:K03116	mtx:M943_10850
ko:K02654	mtx:M943_13195
ko:K00014	mtx:M943_13200
ko:K07082	mtx:M943_13205
ko:K07447	mtx:M943_13210
ko:K01872	mtx:M943_13215
ko:K07478	mtx:M943_13235
ko:K02003	mtx:M943_13255
ko:K07001	mtx:M943_13260
ko:K01876	mtx:M943_13295
ko:K00077	mtx:M943_13300
ko:K01892	mtx:M943_13335
ko:K00759	mtx:M943_13355
ko:K03074	mtx:M943_13365
ko:K03072	mtx:M943_13370
ko:K03210	mtx:M943_13375
ko:K03551	mtx:M943_13395
ko:K03550	mtx:M943_13400
ko:K01159	mtx:M943_13405
ko:K00797	mtx:M943_13440
ko:K02836	mtx:M943_16030
ko:K00528	mtx:M943_16035
ko:K03639	mtx:M943_16055
ko:K03637	mtx:M943_16065
ko:K03636	mtx:M943_16070
ko:K04069	mtx:M943_16200
ko:K00330	mtx:M943_16230
ko:K00331	mtx:M943_16235
ko:K00332	mtx:M943_16240
ko:K00333	mtx:M943_16245
ko:K00334	mtx:M943_16250
ko:K00337	mtx:M943_16265
ko:K00338	mtx:M943_16270
ko:K00339	mtx:M943_16275
ko:K00340	mtx:M943_16280
ko:K00341	mtx:M943_16285
ko:K00342	mtx:M943_16290
ko:K00343	mtx:M943_16295
ko:K11991	mtx:M943_19275
ko:K09957	mtx:M943_19290
ko:K05846	mtx:M943_19295
ko:K05846	mtx:M943_19300
ko:K05847	mtx:M943_19305
ko:K05845	mtx:M943_19310
ko:K00817	mtx:M943_19385
ko:K07045	mtx:M943_09760
ko:K01687	mtx:M943_01025
ko:K03439	mtx:M943_01115
ko:K01207	mtx:M943_01265
ko:K01462	mtx:M943_02225
ko:K06048	mtx:M943_02245
ko:K07157	mtx:M943_02250
ko:K13525	mtx:M943_02260
ko:K17103	mtx:M943_02265
ko:K01613	mtx:M943_02270
ko:K03750	mtx:M943_02275
ko:K04077	mtx:M943_02285
ko:K03088	mtx:M943_02310
ko:K00574	mtx:M943_02320
ko:K09701	mtx:M943_02325
ko:K09959	mtx:M943_02380
ko:K00382	mtx:M943_02395
ko:K07110	mtx:M943_02410
ko:K01637	mtx:M943_02420
ko:K00074	mtx:M943_02425
ko:K00574	mtx:M943_02430
ko:K00574	mtx:M943_02435
ko:K00075	mtx:M943_02500
ko:K02954	mtx:M943_03735
ko:K02994	mtx:M943_03745
ko:K02933	mtx:M943_03750
ko:K02881	mtx:M943_03755
ko:K02988	mtx:M943_03760
ko:K02907	mtx:M943_03765
ko:K02876	mtx:M943_03770
ko:K04773	mtx:M943_03775
ko:K01628	mtx:M943_03785
ko:K03076	mtx:M943_03815
ko:K01265	mtx:M943_03825
ko:K03088	mtx:M943_03830
ko:K00140	mtx:M943_03935
ko:K01945	mtx:M943_04040
ko:K07001	mtx:M943_05600
ko:K07001	mtx:M943_05605
ko:K01697	mtx:M943_05675
ko:K03624	mtx:M943_05690
ko:K06888	mtx:M943_05710
ko:K11068	mtx:M943_05715
ko:K00600	mtx:M943_05765
ko:K07175	mtx:M943_05775
ko:K03602	mtx:M943_05825
ko:K00036	mtx:M943_07585
ko:K00615	mtx:M943_07595
ko:K02259	mtx:M943_07635
ko:K09014	mtx:M943_07660
ko:K09015	mtx:M943_07665
ko:K09013	mtx:M943_07670
ko:K11717	mtx:M943_07675
ko:K01681	mtx:M943_07735
ko:K03924	mtx:M943_07755
ko:K01772	mtx:M943_07785
ko:K09165	mtx:M943_07860
ko:K09166	mtx:M943_10010
ko:K11065	mtx:M943_10030
ko:K14652	mtx:M943_10070
ko:K02066	mtx:M943_10185
ko:K02066	mtx:M943_10190
ko:K01950	mtx:M943_12605
ko:K00931	mtx:M943_12610
ko:K03979	mtx:M943_12615
ko:K02899	mtx:M943_12620
ko:K02888	mtx:M943_12625
ko:K11103	mtx:M943_12630
ko:K00940	mtx:M943_12640
ko:K11754	mtx:M943_12650
ko:K01873	mtx:M943_12655
ko:K03752	mtx:M943_12670
ko:K00175	mtx:M943_12675
ko:K00174	mtx:M943_12680
ko:K03544	mtx:M943_12690
ko:K01358	mtx:M943_12705
ko:K01358	mtx:M943_12710
ko:K03545	mtx:M943_12715
ko:K01808	mtx:M943_12740
ko:K01256	mtx:M943_12750
ko:K06886	mtx:M943_12770
ko:K07107	mtx:M943_12790
ko:K15371	mtx:M943_12795
ko:K00631	mtx:M943_12810
ko:K06966	mtx:M943_12860
ko:K02069	mtx:M943_15470
ko:K00053	mtx:M943_15480
ko:K01653	mtx:M943_15485
ko:K01652	mtx:M943_15490
ko:K15977	mtx:M943_15500
ko:K02434	mtx:M943_15520
ko:K02435	mtx:M943_15535
ko:K01972	mtx:M943_15545
ko:K00566	mtx:M943_15605
ko:K04487	mtx:M943_15610
ko:K03522	mtx:M943_15625
ko:K03521	mtx:M943_15630
ko:K02013	mtx:M943_15695
ko:K01079	mtx:M943_15700
ko:K02016	mtx:M943_15710
ko:K13979	mtx:M943_15715
ko:K04075	mtx:M943_18615
ko:K07259	mtx:M943_18625
ko:K09799	mtx:M943_18635
ko:K04095	mtx:M943_18685
ko:K02341	mtx:M943_18710
ko:K03168	mtx:M943_18720
ko:K12510	mtx:M943_18780
ko:K02283	mtx:M943_18785
ko:K15581	mtx:M943_18815
ko:K15580	mtx:M943_18820
ko:K01895	mtx:M943_18830
ko:K10773	mtx:M943_18865
ko:K01126	mtx:M943_01670
ko:K07238	mtx:M943_01680
ko:K01304	mtx:M943_01685
ko:K01494	mtx:M943_01695
ko:K00012	mtx:M943_01700
ko:K17218	mtx:M943_01740
ko:K00973	mtx:M943_01755
ko:K14260	mtx:M943_01765
ko:K11738	mtx:M943_01805
ko:K04043	mtx:M943_01825
ko:K03687	mtx:M943_01830
ko:K03686	mtx:M943_01835
ko:K01939	mtx:M943_01865
ko:K06213	mtx:M943_01890
ko:K01624	mtx:M943_01895
ko:K03975	mtx:M943_01900
ko:K00965	mtx:M943_03210
ko:K00849	mtx:M943_03215
ko:K03581	mtx:M943_03265
ko:K03582	mtx:M943_03270
ko:K03583	mtx:M943_03275
ko:K02913	mtx:M943_03310
ko:K03073	mtx:M943_03335
ko:K02601	mtx:M943_03340
ko:K02867	mtx:M943_03345
ko:K02863	mtx:M943_03350
ko:K00574	mtx:M943_03355
ko:K00574	mtx:M943_03360
ko:K00574	mtx:M943_03365
ko:K00574	mtx:M943_03370
ko:K00645	mtx:M943_03390
ko:K02864	mtx:M943_03400
ko:K02935	mtx:M943_03405
ko:K02065	mtx:M943_03420
ko:K01810	mtx:M943_04950
ko:K03657	mtx:M943_04975
ko:K01903	mtx:M943_04985
ko:K01902	mtx:M943_04990
ko:K11175	mtx:M943_05010
ko:K00602	mtx:M943_05015
ko:K02911	mtx:M943_05140
ko:K03282	mtx:M943_05170
ko:K02003	mtx:M943_05175
ko:K00963	mtx:M943_05210
ko:K03750	mtx:M943_05215
ko:K03790	mtx:M943_05220
ko:K00763	mtx:M943_06975
ko:K06891	mtx:M943_06980
ko:K01776	mtx:M943_07015
ko:K00989	mtx:M943_07025
ko:K02078	mtx:M943_07045
ko:K09136	mtx:M943_07215
ko:K02825	mtx:M943_07235
ko:K00609	mtx:M943_07240
ko:K01465	mtx:M943_07245
ko:K01956	mtx:M943_07255
ko:K01955	mtx:M943_07260
ko:K01591	mtx:M943_07265
ko:K07507	mtx:M943_09420
ko:K03885	mtx:M943_09425
ko:K02471	mtx:M943_09460
ko:K01652	mtx:M943_09465
ko:K03070	mtx:M943_09470
ko:K02437	mtx:M943_09495
ko:K08999	mtx:M943_09510
ko:K00281	mtx:M943_09520
ko:K06978	mtx:M943_09535
ko:K01638	mtx:M943_09545
ko:K01430	mtx:M943_09605
ko:K01429	mtx:M943_09610
ko:K01428	mtx:M943_09615
ko:K03188	mtx:M943_09620
ko:K03189	mtx:M943_09625
ko:K03190	mtx:M943_09630
ko:K03885	mtx:M943_09635
ko:K02020	mtx:M943_09650
ko:K02018	mtx:M943_09655
ko:K02575	mtx:M943_12030
ko:K01738	mtx:M943_12065
ko:K00640	mtx:M943_12070
ko:K01129	mtx:M943_12115
ko:K01114	mtx:M943_12140
ko:K01114	mtx:M943_12145
ko:K01114	mtx:M943_12150
ko:K01880	mtx:M943_12175
ko:K03584	mtx:M943_12200
ko:K07042	mtx:M943_12225
ko:K09761	mtx:M943_12250
ko:K03686	mtx:M943_12255
ko:K03705	mtx:M943_12260
ko:K02357	mtx:M943_14905
ko:K02967	mtx:M943_14910
ko:K03733	mtx:M943_14940
ko:K04096	mtx:M943_14950
ko:K07391	mtx:M943_14955
ko:K07460	mtx:M943_14960
ko:K02379	mtx:M943_14965
ko:K03470	mtx:M943_14980
ko:K03100	mtx:M943_14985
ko:K02884	mtx:M943_14990
ko:K00554	mtx:M943_15000
ko:K02860	mtx:M943_15005
ko:K06960	mtx:M943_15010
ko:K02959	mtx:M943_15015
ko:K03106	mtx:M943_15050
ko:K00990	mtx:M943_15060
ko:K04751	mtx:M943_15065
ko:K03320	mtx:M943_15070
ko:K03110	mtx:M943_15075
ko:K03529	mtx:M943_15080
ko:K01512	mtx:M943_15085
ko:K03685	mtx:M943_15100
ko:K07040	mtx:M943_15105
ko:K01666	mtx:M943_18170
ko:K00574	mtx:M943_17485
ko:K14161	mtx:M943_17495
ko:K01951	mtx:M943_17510
ko:K02291	mtx:M943_17515
ko:K03088	mtx:M943_17600
ko:K04077	mtx:M943_17615
ko:K04078	mtx:M943_17620
ko:K03789	mtx:M943_17630
ko:K06925	mtx:M943_17640
ko:K01775	mtx:M943_17645
ko:K00820	mtx:M943_17705
ko:K03431	mtx:M943_17730
ko:K02996	mtx:M943_17735
ko:K03466	mtx:M943_17760
ko:K02233	mtx:M943_11425
ko:K00826	mtx:M943_11435
ko:K00605	mtx:M943_11440
ko:K01255	mtx:M943_11450
ko:K00658	mtx:M943_11460
ko:K07071	mtx:M943_11465
ko:K03801	mtx:M943_11470
ko:K03644	mtx:M943_11475
ko:K01915	mtx:M943_11490
ko:K00982	mtx:M943_11495
ko:K01915	mtx:M943_11500
ko:K00606	mtx:M943_11520
ko:K09990	mtx:M943_11530
ko:K07164	mtx:M943_11540
ko:K00817	mtx:M943_11550
ko:K02227	mtx:M943_11575
ko:K00163	mtx:M943_11610
ko:K00645	mtx:M943_11620
ko:K02078	mtx:M943_11625
ko:K00111	mtx:M943_11650
ko:K03820	mtx:M943_11710
ko:K01356	mtx:M943_14055
ko:K03665	mtx:M943_14075
ko:K01778	mtx:M943_14080
ko:K00791	mtx:M943_14085
ko:K06168	mtx:M943_14110
ko:K03565	mtx:M943_14125
ko:K00995	mtx:M943_14190
ko:K03466	mtx:M943_14200
ko:K01714	mtx:M943_14225
ko:K03427	mtx:M943_14240
ko:K09927	mtx:M943_14270
ko:K01061	mtx:M943_14285
ko:K00215	mtx:M943_14325
ko:K01673	mtx:M943_16915
ko:K01588	mtx:M943_16925
ko:K01589	mtx:M943_16930
ko:K03524	mtx:M943_16945
ko:K06287	mtx:M943_16960
ko:K02426	mtx:M943_16970
ko:K03724	mtx:M943_17030
ko:K02039	mtx:M943_17055
ko:K00111	mtx:M943_17060
ko:K00761	mtx:M943_17095
ko:K00242	mtx:M943_17150
ko:K00239	mtx:M943_17155
ko:K00240	mtx:M943_17160
ko:K03501	mtx:M943_20100
ko:K03217	mtx:M943_20110
ko:K08998	mtx:M943_20115
ko:K03536	mtx:M943_20120
ko:K02914	mtx:M943_20125
ko:K03117	mtx:M943_06400
ko:K03284	mtx:M943_06480
ko:K00024	mtx:M943_06485
ko:K05592	mtx:M943_06550
ko:K08296	mtx:M943_06660
ko:K02945	mtx:M943_08500
ko:K00859	mtx:M943_08505
ko:K03702	mtx:M943_08515
ko:K03701	mtx:M943_08540
ko:K04567	mtx:M943_08555
ko:K02520	mtx:M943_08560
ko:K02916	mtx:M943_08565
ko:K02887	mtx:M943_08570
ko:K03437	mtx:M943_08575
ko:K01889	mtx:M943_08600
ko:K01890	mtx:M943_08605
ko:K00145	mtx:M943_08620
ko:K00620	mtx:M943_08625
ko:K00930	mtx:M943_08630
ko:K00611	mtx:M943_08640
ko:K03402	mtx:M943_08645
ko:K01940	mtx:M943_08650
ko:K01755	mtx:M943_08655
ko:K03432	mtx:M943_10915
ko:K03433	mtx:M943_10920
ko:K00765	mtx:M943_10970
ko:K11738	mtx:M943_10995
ko:K06153	mtx:M943_11045
ko:K02221	mtx:M943_11110
ko:K09772	mtx:M943_11115
ko:K06997	mtx:M943_11120
ko:K05810	mtx:M943_11125
ko:K03531	mtx:M943_11130
ko:K03589	mtx:M943_11135
ko:K01924	mtx:M943_11140
ko:K02563	mtx:M943_11145
ko:K08681	mtx:M943_13460
ko:K10805	mtx:M943_13465
ko:K06215	mtx:M943_13470
ko:K00275	mtx:M943_13475
ko:K00995	mtx:M943_13500
ko:K01868	mtx:M943_13510
ko:K14415	mtx:M943_13605
ko:K09771	mtx:M943_13650
ko:K03924	mtx:M943_16325
ko:K07133	mtx:M943_16405
ko:K03657	mtx:M943_16505
ko:K03426	mtx:M943_16515
ko:K10716	mtx:M943_16520
ko:K03657	mtx:M943_16525
ko:K01875	mtx:M943_19685
ko:K01126	mtx:M943_19725
ko:K04564	mtx:M943_19760
ko:K02553	mtx:M943_19795
ko:K06895	mtx:M943_02535
ko:K01524	mtx:M943_02580
ko:K00286	mtx:M943_02600
ko:K00574	mtx:M943_02620
ko:K02492	mtx:M943_02650
ko:K01749	mtx:M943_02655
ko:K13542	mtx:M943_02660
ko:K01698	mtx:M943_02665
ko:K11735	mtx:M943_02710
ko:K01845	mtx:M943_02720
ko:K07399	mtx:M943_02740
ko:K02548	mtx:M943_02770
ko:K01911	mtx:M943_02810
ko:K01756	mtx:M943_04065
ko:K01923	mtx:M943_04080
ko:K01354	mtx:M943_04085
ko:K01952	mtx:M943_04125
ko:K01952	mtx:M943_04130
ko:K03710	mtx:M943_04150
ko:K00382	mtx:M943_04160
ko:K07223	mtx:M943_04175
ko:K01952	mtx:M943_04195
ko:K00764	mtx:M943_04220
ko:K01933	mtx:M943_04225
ko:K06980	mtx:M943_04235
ko:K02036	mtx:M943_04285
ko:K02039	mtx:M943_04290
ko:K03921	mtx:M943_04305
ko:K03601	mtx:M943_05830
ko:K03527	mtx:M943_05840
ko:K06942	mtx:M943_05850
ko:K00036	mtx:M943_05880
ko:K01720	mtx:M943_05925
ko:K01647	mtx:M943_05930
ko:K00549	mtx:M943_05940
ko:K12410	mtx:M943_06035
ko:K00370	mtx:M943_06100
ko:K00371	mtx:M943_06105
ko:K00373	mtx:M943_06110
ko:K02805	mtx:M943_07885
ko:K01711	mtx:M943_07915
ko:K02377	mtx:M943_07920
ko:K01870	mtx:M943_08035
ko:K02346	mtx:M943_08040
ko:K03101	mtx:M943_08050
ko:K06180	mtx:M943_08055
ko:K06886	mtx:M943_08065
ko:K07124	mtx:M943_08075
ko:K02337	mtx:M943_08085
ko:K00631	mtx:M943_08100
ko:K00246	mtx:M943_08120
ko:K01754	mtx:M943_08145
ko:K06044	mtx:M943_08160
ko:K09131	mtx:M943_10295
ko:K05596	mtx:M943_10300
ko:K06895	mtx:M943_10305
ko:K01194	mtx:M943_10420
ko:K07133	mtx:M943_10430
ko:K07001	mtx:M943_10560
ko:K00627	mtx:M943_12880
ko:K00162	mtx:M943_12885
ko:K00161	mtx:M943_12890
ko:K01644	mtx:M943_12900
ko:K01969	mtx:M943_12920
ko:K01029	mtx:M943_12925
ko:K01028	mtx:M943_12930
ko:K07124	mtx:M943_12955
ko:K06915	mtx:M943_12960
ko:K13288	mtx:M943_12965
ko:K03564	mtx:M943_13025
ko:K00997	mtx:M943_13035
ko:K11533	mtx:M943_13040
ko:K01584	mtx:M943_13085
ko:K03625	mtx:M943_13095
ko:K02356	mtx:M943_13100
ko:K03786	mtx:M943_13115
ko:K01735	mtx:M943_13120
ko:K00891	mtx:M943_13125
ko:K01736	mtx:M943_13130
ko:K06911	mtx:M943_00985
ko:K03088	mtx:M943_00990
ko:K05349	mtx:M943_01010
ko:K07141	mtx:M943_01935
ko:K07402	mtx:M943_01940
ko:K07402	mtx:M943_01960
ko:K09165	mtx:M943_01975
ko:K00762	mtx:M943_01990
ko:K03695	mtx:M943_02000
ko:K08289	mtx:M943_02015
ko:K10764	mtx:M943_02025
ko:K03885	mtx:M943_02030
ko:K00252	mtx:M943_02075
ko:K13788	mtx:M943_02115
ko:K00925	mtx:M943_02120
ko:K00788	mtx:M943_02145
ko:K03154	mtx:M943_02155
ko:K03149	mtx:M943_02160
ko:K07020	mtx:M943_02185
ko:K00941	mtx:M943_02190
ko:K03147	mtx:M943_02195
