ko:K10563	ypi:YpsIP31758_0064
ko:K03602	ypi:YpsIP31758_3110
ko:K02036	ypi:YpsIP31758_4168
ko:K02038	ypi:YpsIP31758_4169
ko:K02037	ypi:YpsIP31758_4170
ko:K02040	ypi:YpsIP31758_4171
ko:K02403	ypi:YpsIP31758_1634
ko:K07642	ypi:YpsIP31758_1211
ko:K07042	ypi:YpsIP31758_2917
ko:K11183	ypi:YpsIP31758_2683
ko:K02768	ypi:YpsIP31758_2683
ko:K02042	ypi:YpsIP31758_2797
ko:K02044	ypi:YpsIP31758_2798
ko:K02058	ypi:YpsIP31758_2309
ko:K02057	ypi:YpsIP31758_2310
ko:K10540	ypi:YpsIP31758_2467
ko:K02510	ypi:YpsIP31758_2359
ko:K07071	ypi:YpsIP31758_1432
ko:K10555	ypi:YpsIP31758_3524
ko:K10557	ypi:YpsIP31758_3523
ko:K10556	ypi:YpsIP31758_3522
ko:K10558	ypi:YpsIP31758_3521
ko:K02057	ypi:YpsIP31758_0151
ko:K02057	ypi:YpsIP31758_0149
ko:K02056	ypi:YpsIP31758_0148
ko:K02058	ypi:YpsIP31758_0147
ko:K01512	ypi:YpsIP31758_2530
ko:K01546	ypi:YpsIP31758_1108
ko:K03979	ypi:YpsIP31758_3609
ko:K02358	ypi:YpsIP31758_3867
ko:K01682	ypi:YpsIP31758_3359
ko:K03665	ypi:YpsIP31758_3652
ko:K02394	ypi:YpsIP31758_2317
ko:K02392	ypi:YpsIP31758_2319
ko:K02391	ypi:YpsIP31758_2320
ko:K02390	ypi:YpsIP31758_2321
ko:K02389	ypi:YpsIP31758_2322
ko:K02388	ypi:YpsIP31758_2323
ko:K02387	ypi:YpsIP31758_2324
ko:K05366	ypi:YpsIP31758_3972
ko:K07258	ypi:YpsIP31758_2952
ko:K00244	ypi:YpsIP31758_3667
ko:K00245	ypi:YpsIP31758_3668
ko:K07259	ypi:YpsIP31758_3606
ko:K04069	ypi:YpsIP31758_2591
ko:K02386	ypi:YpsIP31758_2325
ko:K02398	ypi:YpsIP31758_2327
ko:K02399	ypi:YpsIP31758_2328
ko:K03516	ypi:YpsIP31758_2332
ko:K03414	ypi:YpsIP31758_1647
ko:K03408	ypi:YpsIP31758_1639
ko:K02557	ypi:YpsIP31758_1637
ko:K02556	ypi:YpsIP31758_1636
ko:K02402	ypi:YpsIP31758_1635
ko:K07507	ypi:YpsIP31758_1632
ko:K02769	ypi:YpsIP31758_2681
ko:K02770	ypi:YpsIP31758_2681
ko:K02356	ypi:YpsIP31758_2698
ko:K03834	ypi:YpsIP31758_2774
ko:K03781	ypi:YpsIP31758_2776
ko:K00381	ypi:YpsIP31758_3310
ko:K01012	ypi:YpsIP31758_2844
ko:K00833	ypi:YpsIP31758_2845
ko:K08303	ypi:YpsIP31758_1208
ko:K01695	ypi:YpsIP31758_1937
ko:K03737	ypi:YpsIP31758_1803
ko:K01696	ypi:YpsIP31758_1936
ko:K02345	ypi:YpsIP31758_2343
ko:K00652	ypi:YpsIP31758_2843
ko:K01448	ypi:YpsIP31758_0994
ko:K03184	ypi:YpsIP31758_2914
ko:K00382	ypi:YpsIP31758_0135
ko:K00382	ypi:YpsIP31758_3360
ko:K06221	ypi:YpsIP31758_0586
ko:K03469	ypi:YpsIP31758_1054
ko:K10763	ypi:YpsIP31758_1237
ko:K02058	ypi:YpsIP31758_2689
ko:K02056	ypi:YpsIP31758_2688
ko:K03551	ypi:YpsIP31758_2030
ko:K02417	ypi:YpsIP31758_0627
ko:K02057	ypi:YpsIP31758_2687
ko:K06204	ypi:YpsIP31758_3338
ko:K10110	ypi:YpsIP31758_0304
ko:K10109	ypi:YpsIP31758_0305
ko:K10108	ypi:YpsIP31758_0306
ko:K01159	ypi:YpsIP31758_2032
ko:K05365	ypi:YpsIP31758_3334
ko:K05367	ypi:YpsIP31758_2980
ko:K07789	ypi:YpsIP31758_1213
ko:K02300	ypi:YpsIP31758_3101
ko:K03073	ypi:YpsIP31758_3866
ko:K06158	ypi:YpsIP31758_3932
ko:K03814	ypi:YpsIP31758_0471
ko:K03974	ypi:YpsIP31758_1785
ko:K03969	ypi:YpsIP31758_1786
ko:K16301	ypi:YpsIP31758_2262
ko:K03046	ypi:YpsIP31758_3859
ko:K03110	ypi:YpsIP31758_0239
ko:K03973	ypi:YpsIP31758_1788
ko:K02493	ypi:YpsIP31758_2065
ko:K03546	ypi:YpsIP31758_3139
ko:K02909	ypi:YpsIP31758_0118
ko:K05874	ypi:YpsIP31758_1642
ko:K07489	ypi:YpsIP31758_0740
ko:K02469	ypi:YpsIP31758_2767
ko:K02621	ypi:YpsIP31758_0581
ko:K01962	ypi:YpsIP31758_1029
ko:K03470	ypi:YpsIP31758_1027
ko:K00350	ypi:YpsIP31758_3162
ko:K00351	ypi:YpsIP31758_3161
ko:K02470	ypi:YpsIP31758_4150
ko:K03169	ypi:YpsIP31758_1979
ko:K03168	ypi:YpsIP31758_1923
ko:K01955	ypi:YpsIP31758_3453
ko:K03169	ypi:YpsIP31758_A0023
ko:K03722	ypi:YpsIP31758_2777
ko:K00525	ypi:YpsIP31758_2769
ko:K03554	ypi:YpsIP31758_3141
ko:K03495	ypi:YpsIP31758_4186
ko:K02871	ypi:YpsIP31758_0459
ko:K02876	ypi:YpsIP31758_3895
ko:K03076	ypi:YpsIP31758_3894
ko:K03169	ypi:YpsIP31758_B0033
ko:K01673	ypi:YpsIP31758_3350
ko:K02113	ypi:YpsIP31758_4179
ko:K02472	ypi:YpsIP31758_0185
ko:K00957	ypi:YpsIP31758_3304
ko:K03569	ypi:YpsIP31758_0398
ko:K15770	ypi:YpsIP31758_0914
ko:K05592	ypi:YpsIP31758_3590
ko:K10805	ypi:YpsIP31758_3076
ko:K07461	ypi:YpsIP31758_3578
ko:K03641	ypi:YpsIP31758_2868
ko:K01222	ypi:YpsIP31758_3951
ko:K01897	ypi:YpsIP31758_3402
ko:K06206	ypi:YpsIP31758_3337
ko:K03835	ypi:YpsIP31758_2697
ko:K00265	ypi:YpsIP31758_0466
ko:K02421	ypi:YpsIP31758_2304
ko:K03183	ypi:YpsIP31758_0271
ko:K00425	ypi:YpsIP31758_2876
ko:K02837	ypi:YpsIP31758_3504
ko:K07709	ypi:YpsIP31758_2821
ko:K07803	ypi:YpsIP31758_2822
ko:K02549	ypi:YpsIP31758_1485
ko:K04754	ypi:YpsIP31758_1396
ko:K03572	ypi:YpsIP31758_3655
ko:K06076	ypi:YpsIP31758_1397
ko:K10806	ypi:YpsIP31758_1945
ko:K02945	ypi:YpsIP31758_2580
ko:K00648	ypi:YpsIP31758_1576
ko:K02401	ypi:YpsIP31758_2334
ko:K03413	ypi:YpsIP31758_1646
ko:K02238	ypi:YpsIP31758_2578
ko:K02302	ypi:YpsIP31758_3305
ko:K00526	ypi:YpsIP31758_1062
ko:K02160	ypi:YpsIP31758_0392
ko:K02400	ypi:YpsIP31758_2333
ko:K03808	ypi:YpsIP31758_1669
ko:K06968	ypi:YpsIP31758_1001
ko:K07673	ypi:YpsIP31758_2123
ko:K02405	ypi:YpsIP31758_2280
ko:K03923	ypi:YpsIP31758_0580
ko:K06192	ypi:YpsIP31758_2549
ko:K09811	ypi:YpsIP31758_0241
ko:K03624	ypi:YpsIP31758_3605
ko:K07713	ypi:YpsIP31758_2820
ko:K08591	ypi:YpsIP31758_0557
ko:K06073	ypi:YpsIP31758_1720
ko:K06074	ypi:YpsIP31758_1722
ko:K03177	ypi:YpsIP31758_3594
ko:K06222	ypi:YpsIP31758_1048
ko:K00974	ypi:YpsIP31758_0560
ko:K06223	ypi:YpsIP31758_3963
ko:K01056	ypi:YpsIP31758_2074
ko:K10748	ypi:YpsIP31758_1872
ko:K10538	ypi:YpsIP31758_1883
ko:K10539	ypi:YpsIP31758_1884
ko:K10537	ypi:YpsIP31758_1885
ko:K01428	ypi:YpsIP31758_1079
ko:K03040	ypi:YpsIP31758_3890
ko:K02518	ypi:YpsIP31758_2604
ko:K06176	ypi:YpsIP31758_3297
ko:K10111	ypi:YpsIP31758_0308
ko:K00266	ypi:YpsIP31758_0465
ko:K01548	ypi:YpsIP31758_1104
ko:K02112	ypi:YpsIP31758_4176
ko:K02933	ypi:YpsIP31758_3899
ko:K03980	ypi:YpsIP31758_2046
ko:K02888	ypi:YpsIP31758_3612
ko:K09768	ypi:YpsIP31758_1279
ko:K03600	ypi:YpsIP31758_0463
ko:K06189	ypi:YpsIP31758_2918
ko:K03701	ypi:YpsIP31758_3761
ko:K03702	ypi:YpsIP31758_2839
ko:K03573	ypi:YpsIP31758_0980
ko:K03582	ypi:YpsIP31758_0991
ko:K03583	ypi:YpsIP31758_0989
ko:K03581	ypi:YpsIP31758_0992
ko:K02336	ypi:YpsIP31758_3418
ko:K00575	ypi:YpsIP31758_1644
ko:K03703	ypi:YpsIP31758_2252
ko:K03657	ypi:YpsIP31758_0209
ko:K03555	ypi:YpsIP31758_3292
ko:K03550	ypi:YpsIP31758_2031
ko:K02420	ypi:YpsIP31758_2303
ko:K02931	ypi:YpsIP31758_3902
ko:K03625	ypi:YpsIP31758_3115
ko:K02948	ypi:YpsIP31758_3892
ko:K02986	ypi:YpsIP31758_3891
ko:K03629	ypi:YpsIP31758_4151
ko:K03655	ypi:YpsIP31758_0037
ko:K01972	ypi:YpsIP31758_0042
ko:K00241	ypi:YpsIP31758_2885
ko:K01704	ypi:YpsIP31758_3408
ko:K04066	ypi:YpsIP31758_0116
ko:K01956	ypi:YpsIP31758_3454
ko:K03777	ypi:YpsIP31758_2805
ko:K07568	ypi:YpsIP31758_3124
ko:K03648	ypi:YpsIP31758_1121
ko:K03575	ypi:YpsIP31758_0819
ko:K00867	ypi:YpsIP31758_3870
ko:K03315	ypi:YpsIP31758_1856
ko:K00525	ypi:YpsIP31758_1063
ko:K00526	ypi:YpsIP31758_2770
ko:K04075	ypi:YpsIP31758_1031
ko:K05834	ypi:YpsIP31758_0220
ko:K03566	ypi:YpsIP31758_0999
ko:K03498	ypi:YpsIP31758_0286
ko:K00111	ypi:YpsIP31758_0227
ko:K00112	ypi:YpsIP31758_0228
ko:K06155	ypi:YpsIP31758_4021
ko:K03576	ypi:YpsIP31758_0262
ko:K09760	ypi:YpsIP31758_0270
ko:K02959	ypi:YpsIP31758_3228
ko:K02860	ypi:YpsIP31758_3227
ko:K02884	ypi:YpsIP31758_3225
ko:K03695	ypi:YpsIP31758_3212
ko:K03271	ypi:YpsIP31758_3170
ko:K03072	ypi:YpsIP31758_3121
ko:K03074	ypi:YpsIP31758_3120
ko:K03151	ypi:YpsIP31758_3108
ko:K02566	ypi:YpsIP31758_2912
ko:K02565	ypi:YpsIP31758_2911
ko:K02564	ypi:YpsIP31758_2909
ko:K03839	ypi:YpsIP31758_2901
ko:K00240	ypi:YpsIP31758_2882
ko:K00426	ypi:YpsIP31758_2875
ko:K03562	ypi:YpsIP31758_2871
ko:K03560	ypi:YpsIP31758_2870
ko:K03517	ypi:YpsIP31758_2865
ko:K03811	ypi:YpsIP31758_2864
ko:K02019	ypi:YpsIP31758_2852
ko:K02169	ypi:YpsIP31758_2842
ko:K03639	ypi:YpsIP31758_2836
ko:K03637	ypi:YpsIP31758_2835
ko:K03636	ypi:YpsIP31758_2834
ko:K03635	ypi:YpsIP31758_2833
ko:K03547	ypi:YpsIP31758_3138
ko:K02114	ypi:YpsIP31758_4175
ko:K09458	ypi:YpsIP31758_1580
ko:K04065	ypi:YpsIP31758_3503
ko:K05804	ypi:YpsIP31758_3481
ko:K05805	ypi:YpsIP31758_3479
ko:K03313	ypi:YpsIP31758_3464
ko:K03717	ypi:YpsIP31758_3463
ko:K06195	ypi:YpsIP31758_3445
ko:K05801	ypi:YpsIP31758_3440
ko:K06075	ypi:YpsIP31758_1767
ko:K03758	ypi:YpsIP31758_1828
ko:K03578	ypi:YpsIP31758_1815
ko:K03975	ypi:YpsIP31758_1421
ko:K03981	ypi:YpsIP31758_0880
ko:K04763	ypi:YpsIP31758_0879
ko:K06143	ypi:YpsIP31758_0877
ko:K02437	ypi:YpsIP31758_0864
ko:K05596	ypi:YpsIP31758_0854
ko:K03427	ypi:YpsIP31758_3536
ko:K03595	ypi:YpsIP31758_1137
ko:K03685	ypi:YpsIP31758_1136
ko:K03596	ypi:YpsIP31758_1134
ko:K03803	ypi:YpsIP31758_1132
ko:K03598	ypi:YpsIP31758_1131
ko:K03597	ypi:YpsIP31758_1130
ko:K05590	ypi:YpsIP31758_1126
ko:K03687	ypi:YpsIP31758_2887
ko:K06191	ypi:YpsIP31758_1065
ko:K03647	ypi:YpsIP31758_1064
ko:K03543	ypi:YpsIP31758_3201
ko:K02111	ypi:YpsIP31758_4178
ko:K02110	ypi:YpsIP31758_4181
ko:K02116	ypi:YpsIP31758_4183
ko:K06213	ypi:YpsIP31758_1224
ko:K07799	ypi:YpsIP31758_1215
ko:K07788	ypi:YpsIP31758_1214
ko:K03614	ypi:YpsIP31758_1898
ko:K03311	ypi:YpsIP31758_3133
ko:K03977	ypi:YpsIP31758_1190
ko:K04044	ypi:YpsIP31758_1172
ko:K04755	ypi:YpsIP31758_1173
ko:K04082	ypi:YpsIP31758_1171
ko:K03644	ypi:YpsIP31758_2955
ko:K02358	ypi:YpsIP31758_3918
ko:K03043	ypi:YpsIP31758_3860
ko:K03150	ypi:YpsIP31758_3857
ko:K03149	ypi:YpsIP31758_3856
ko:K03147	ypi:YpsIP31758_3853
ko:K07740	ypi:YpsIP31758_3852
ko:K04084	ypi:YpsIP31758_3681
ko:K03926	ypi:YpsIP31758_3680
ko:K07791	ypi:YpsIP31758_3679
ko:K02356	ypi:YpsIP31758_3672
ko:K00247	ypi:YpsIP31758_3670
ko:K00246	ypi:YpsIP31758_3669
ko:K04568	ypi:YpsIP31758_3665
ko:K04088	ypi:YpsIP31758_3651
ko:K04087	ypi:YpsIP31758_3650
ko:K02990	ypi:YpsIP31758_3639
ko:K02963	ypi:YpsIP31758_3637
ko:K02939	ypi:YpsIP31758_3636
ko:K03402	ypi:YpsIP31758_3617
ko:K02899	ypi:YpsIP31758_3611
ko:K03075	ypi:YpsIP31758_3599
ko:K02600	ypi:YpsIP31758_3597
ko:K02519	ypi:YpsIP31758_3596
ko:K03446	ypi:YpsIP31758_3202
ko:K03672	ypi:YpsIP31758_3204
ko:K02838	ypi:YpsIP31758_1016
ko:K02967	ypi:YpsIP31758_1013
ko:K08304	ypi:YpsIP31758_0995
ko:K03613	ypi:YpsIP31758_1900
ko:K03769	ypi:YpsIP31758_0173
ko:K02822	ypi:YpsIP31758_1438
ko:K02569	ypi:YpsIP31758_1275
ko:K02568	ypi:YpsIP31758_1274
ko:K02570	ypi:YpsIP31758_1272
ko:K02572	ypi:YpsIP31758_1271
ko:K07287	ypi:YpsIP31758_1248
ko:K03548	ypi:YpsIP31758_1240
ko:K02824	ypi:YpsIP31758_1236
ko:K02380	ypi:YpsIP31758_4116
ko:K03832	ypi:YpsIP31758_0134
ko:K02834	ypi:YpsIP31758_3595
ko:K02956	ypi:YpsIP31758_3593
ko:K05803	ypi:YpsIP31758_3591
ko:K03466	ypi:YpsIP31758_2596
ko:K03634	ypi:YpsIP31758_2595
ko:K03734	ypi:YpsIP31758_3160
ko:K03563	ypi:YpsIP31758_3237
ko:K03633	ypi:YpsIP31758_2567
ko:K03804	ypi:YpsIP31758_2566
ko:K03632	ypi:YpsIP31758_2565
ko:K03808	ypi:YpsIP31758_2550
ko:K07343	ypi:YpsIP31758_2539
ko:K03809	ypi:YpsIP31758_2261
ko:K02911	ypi:YpsIP31758_1574
ko:K03621	ypi:YpsIP31758_1575
ko:K02078	ypi:YpsIP31758_1579
ko:K02778	ypi:YpsIP31758_1586
ko:K02779	ypi:YpsIP31758_1586
ko:K03885	ypi:YpsIP31758_1594
ko:K02835	ypi:YpsIP31758_2066
ko:K05836	ypi:YpsIP31758_2112
ko:K03607	ypi:YpsIP31758_1671
ko:K03799	ypi:YpsIP31758_1674
ko:K02916	ypi:YpsIP31758_1714
ko:K04764	ypi:YpsIP31758_1718
ko:K05997	ypi:YpsIP31758_1741
ko:K09014	ypi:YpsIP31758_1742
ko:K09015	ypi:YpsIP31758_1744
ko:K02426	ypi:YpsIP31758_1746
ko:K06078	ypi:YpsIP31758_1748
ko:K03612	ypi:YpsIP31758_1899
ko:K01997	ypi:YpsIP31758_0245
ko:K02528	ypi:YpsIP31758_3444
ko:K03645	ypi:YpsIP31758_1098
ko:K03683	ypi:YpsIP31758_1759
ko:K03617	ypi:YpsIP31758_1894
ko:K02039	ypi:YpsIP31758_4167
ko:K04080	ypi:YpsIP31758_4143
ko:K04081	ypi:YpsIP31758_4142
ko:K01878	ypi:YpsIP31758_4131
ko:K07783	ypi:YpsIP31758_4078
ko:K02851	ypi:YpsIP31758_0182
ko:K02498	ypi:YpsIP31758_0195
ko:K02496	ypi:YpsIP31758_0196
ko:K06202	ypi:YpsIP31758_0203
ko:K01665	ypi:YpsIP31758_2353
ko:K03536	ypi:YpsIP31758_4155
ko:K01879	ypi:YpsIP31758_4130
ko:K03732	ypi:YpsIP31758_0178
ko:K05835	ypi:YpsIP31758_0219
ko:K02445	ypi:YpsIP31758_0225
ko:K03424	ypi:YpsIP31758_0277
ko:K05837	ypi:YpsIP31758_2950
ko:K03643	ypi:YpsIP31758_2927
ko:K03820	ypi:YpsIP31758_2919
ko:K06217	ypi:YpsIP31758_2916
ko:K06168	ypi:YpsIP31758_2915
ko:K02054	ypi:YpsIP31758_2057
ko:K02056	ypi:YpsIP31758_2423
ko:K02551	ypi:YpsIP31758_1482
ko:K02108	ypi:YpsIP31758_4182
ko:K07644	ypi:YpsIP31758_2085
ko:K01247	ypi:YpsIP31758_2288
ko:K07637	ypi:YpsIP31758_1607
ko:K06866	ypi:YpsIP31758_1122
ko:K03497	ypi:YpsIP31758_A0037
ko:K03497	ypi:YpsIP31758_0771
ko:K02759	ypi:YpsIP31758_1093
ko:K02806	ypi:YpsIP31758_0439
ko:K07347	ypi:YpsIP31758_0169
ko:K07345	ypi:YpsIP31758_0171
ko:K03671	ypi:YpsIP31758_0179
ko:K03628	ypi:YpsIP31758_0180
ko:K05790	ypi:YpsIP31758_0183
ko:K00973	ypi:YpsIP31758_0187
ko:K02853	ypi:YpsIP31758_0192
ko:K01719	ypi:YpsIP31758_0197
ko:K01749	ypi:YpsIP31758_0198
ko:K01778	ypi:YpsIP31758_0205
ko:K09921	ypi:YpsIP31758_0206
ko:K03284	ypi:YpsIP31758_0214
ko:K07227	ypi:YpsIP31758_3798
ko:K07225	ypi:YpsIP31758_3802
ko:K02016	ypi:YpsIP31758_3803
ko:K02015	ypi:YpsIP31758_3804
ko:K02013	ypi:YpsIP31758_3805
ko:K07112	ypi:YpsIP31758_3810
ko:K03221	ypi:YpsIP31758_3826
ko:K03220	ypi:YpsIP31758_3829
ko:K03219	ypi:YpsIP31758_3830
ko:K00860	ypi:YpsIP31758_3302
ko:K00390	ypi:YpsIP31758_3309
ko:K08160	ypi:YpsIP31758_4110
ko:K03833	ypi:YpsIP31758_4114
ko:K01042	ypi:YpsIP31758_4115
ko:K02379	ypi:YpsIP31758_4120
ko:K02562	ypi:YpsIP31758_4126
ko:K00009	ypi:YpsIP31758_4127
ko:K01246	ypi:YpsIP31758_4132
ko:K03826	ypi:YpsIP31758_4133
ko:K07085	ypi:YpsIP31758_4141
ko:K01754	ypi:YpsIP31758_4146
ko:K01750	ypi:YpsIP31758_4147
ko:K04068	ypi:YpsIP31758_3557
ko:K05781	ypi:YpsIP31758_3564
ko:K05780	ypi:YpsIP31758_3565
ko:K02026	ypi:YpsIP31758_3573
ko:K02025	ypi:YpsIP31758_3574
ko:K00135	ypi:YpsIP31758_2692
ko:K06940	ypi:YpsIP31758_2696
ko:K01686	ypi:YpsIP31758_2699
ko:K01738	ypi:YpsIP31758_1318
ko:K01972	ypi:YpsIP31758_1321
ko:K09954	ypi:YpsIP31758_1322
ko:K00720	ypi:YpsIP31758_2102
ko:K00648	ypi:YpsIP31758_2108
ko:K09975	ypi:YpsIP31758_2110
ko:K01468	ypi:YpsIP31758_2113
ko:K04047	ypi:YpsIP31758_1497
ko:K02109	ypi:YpsIP31758_4180
ko:K01881	ypi:YpsIP31758_1038
ko:K06080	ypi:YpsIP31758_1040
ko:K02073	ypi:YpsIP31758_1041
ko:K02072	ypi:YpsIP31758_1042
ko:K02071	ypi:YpsIP31758_1043
ko:K10680	ypi:YpsIP31758_1762
ko:K06938	ypi:YpsIP31758_1765
ko:K06077	ypi:YpsIP31758_1769
ko:K00275	ypi:YpsIP31758_1772
ko:K01866	ypi:YpsIP31758_1773
ko:K03305	ypi:YpsIP31758_1778
