ko:K01175	hix:NTHI723_01512
ko:K00963	hix:NTHI723_00796
ko:K01755	hix:NTHI723_00797
ko:K04083	hix:NTHI723_00798
ko:K09906	hix:NTHI723_00006
ko:K07126	hix:NTHI723_00009
ko:K07126	hix:NTHI723_00011
ko:K02835	hix:NTHI723_00014
ko:K02493	hix:NTHI723_00016
ko:K01627	hix:NTHI723_00018
ko:K00018	hix:NTHI723_00019
ko:K09808	hix:NTHI723_00020
ko:K00652	hix:NTHI723_00022
ko:K09789	hix:NTHI723_00023
ko:K02169	hix:NTHI723_00024
ko:K01935	hix:NTHI723_00025
ko:K09810	hix:NTHI723_00026
ko:K09808	hix:NTHI723_00027
ko:K01626	hix:NTHI723_00028
ko:K07862	hix:NTHI723_00030
ko:K00355	hix:NTHI723_00031
ko:K04773	hix:NTHI723_00034
ko:K07271	hix:NTHI723_00035
ko:K15461	hix:NTHI723_00039
ko:K00647	hix:NTHI723_00040
ko:K03674	hix:NTHI723_00041
ko:K05844	hix:NTHI723_00042
ko:K03312	hix:NTHI723_00043
ko:K02621	hix:NTHI723_00044
ko:K02622	hix:NTHI723_00045
ko:K02517	hix:NTHI723_00046
ko:K03272	hix:NTHI723_00047
ko:K15738	hix:NTHI723_00050
ko:K15738	hix:NTHI723_00051
ko:K01673	hix:NTHI723_00052
ko:K01893	hix:NTHI723_00053
ko:K00794	hix:NTHI723_00054
ko:K03625	hix:NTHI723_00055
ko:K00946	hix:NTHI723_00056
ko:K01095	hix:NTHI723_00057
ko:K00215	hix:NTHI723_00059
ko:K11107	hix:NTHI723_00060
ko:K01889	hix:NTHI723_00062
ko:K01890	hix:NTHI723_00063
ko:K04764	hix:NTHI723_00064
ko:K12410	hix:NTHI723_00068
ko:K01792	hix:NTHI723_00076
ko:K02520	hix:NTHI723_00077
ko:K02916	hix:NTHI723_00078
ko:K02887	hix:NTHI723_00079
ko:K03582	hix:NTHI723_00080
ko:K03581	hix:NTHI723_00081
ko:K09911	hix:NTHI723_00082
ko:K04770	hix:NTHI723_00083
ko:K01716	hix:NTHI723_00084
ko:K02956	hix:NTHI723_00087
ko:K07259	hix:NTHI723_00088
ko:K03624	hix:NTHI723_00089
ko:K07574	hix:NTHI723_00090
ko:K02427	hix:NTHI723_00091
ko:K03798	hix:NTHI723_00092
ko:K00796	hix:NTHI723_00093
ko:K03431	hix:NTHI723_00094
ko:K08296	hix:NTHI723_00095
ko:K03088	hix:NTHI723_00099
ko:K12267	hix:NTHI723_00102
ko:K06196	hix:NTHI723_00103
ko:K02221	hix:NTHI723_00599
ko:K03284	hix:NTHI723_00600
ko:K09767	hix:NTHI723_00601
ko:K01079	hix:NTHI723_00602
ko:K00615	hix:NTHI723_00603
ko:K01012	hix:NTHI723_00604
ko:K02062	hix:NTHI723_00605
ko:K02063	hix:NTHI723_00606
ko:K02064	hix:NTHI723_00607
ko:K02237	hix:NTHI723_00608
ko:K03527	hix:NTHI723_00609
ko:K03101	hix:NTHI723_00610
ko:K03770	hix:NTHI723_00612
ko:K03650	hix:NTHI723_00613
ko:K03217	hix:NTHI723_00614
ko:K08998	hix:NTHI723_00615
ko:K03536	hix:NTHI723_00616
ko:K02914	hix:NTHI723_00617
ko:K16087	hix:NTHI723_00620
ko:K02313	hix:NTHI723_00621
ko:K02338	hix:NTHI723_00622
ko:K03629	hix:NTHI723_00623
ko:K01347	hix:NTHI723_00624
ko:K01704	hix:NTHI723_00625
ko:K01703	hix:NTHI723_00626
ko:K00052	hix:NTHI723_00627
ko:K01649	hix:NTHI723_00628
ko:K04096	hix:NTHI723_00629
ko:K09861	hix:NTHI723_00630
ko:K00850	hix:NTHI723_00632
ko:K03664	hix:NTHI723_00633
ko:K03557	hix:NTHI723_00634
ko:K02687	hix:NTHI723_00637
ko:K14392	hix:NTHI723_00639
ko:K01961	hix:NTHI723_00641
ko:K02160	hix:NTHI723_00642
ko:K03786	hix:NTHI723_00643
ko:K02549	hix:NTHI723_00644
ko:K01661	hix:NTHI723_00645
ko:K02968	hix:NTHI723_00647
ko:K02551	hix:NTHI723_01410
ko:K06142	hix:NTHI723_00700
ko:K02536	hix:NTHI723_00701
ko:K02357	hix:NTHI723_00702
ko:K02967	hix:NTHI723_00703
ko:K11747	hix:NTHI723_00705
ko:K03574	hix:NTHI723_00706
ko:K03070	hix:NTHI723_00707
ko:K11991	hix:NTHI723_00710
ko:K13292	hix:NTHI723_00712
ko:K07090	hix:NTHI723_00713
ko:K08311	hix:NTHI723_00714
ko:K00931	hix:NTHI723_00715
ko:K03543	hix:NTHI723_00717
ko:K03446	hix:NTHI723_00718
ko:K03591	hix:NTHI723_00719
ko:K18138	hix:NTHI723_00720
ko:K03585	hix:NTHI723_00721
ko:K18136	hix:NTHI723_00722
ko:K03732	hix:NTHI723_00723
ko:K09862	hix:NTHI723_00724
ko:K00859	hix:NTHI723_00725
ko:K00600	hix:NTHI723_00726
ko:K01945	hix:NTHI723_00728
ko:K00602	hix:NTHI723_00729
ko:K15977	hix:NTHI723_00730
ko:K04084	hix:NTHI723_00731
ko:K07773	hix:NTHI723_00732
ko:K16087	hix:NTHI723_01435
ko:K12982	hix:NTHI723_01436
ko:K11211	hix:NTHI723_01437
ko:K02428	hix:NTHI723_01438
ko:K05809	hix:NTHI723_01442
ko:K07287	hix:NTHI723_01443
ko:K01714	hix:NTHI723_01444
ko:K03564	hix:NTHI723_01445
ko:K03561	hix:NTHI723_01446
ko:K03559	hix:NTHI723_01447
ko:K03832	hix:NTHI723_01448
ko:K03111	hix:NTHI723_01449
ko:K03701	hix:NTHI723_01450
ko:K01347	hix:NTHI723_01451
ko:K07568	hix:NTHI723_01453
ko:K00773	hix:NTHI723_01454
ko:K03210	hix:NTHI723_01457
ko:K03072	hix:NTHI723_01458
ko:K03074	hix:NTHI723_01459
ko:K03548	hix:NTHI723_01460
ko:K00537	hix:NTHI723_01461
ko:K09890	hix:NTHI723_01462
ko:K18691	hix:NTHI723_01465
ko:K05592	hix:NTHI723_01466
ko:K05803	hix:NTHI723_01467
ko:K00962	hix:NTHI723_01468
ko:K03311	hix:NTHI723_01471
ko:K03313	hix:NTHI723_01472
ko:K03719	hix:NTHI723_01473
ko:K05786	hix:NTHI723_01474
ko:K01951	hix:NTHI723_01475
ko:K00088	hix:NTHI723_01476
ko:K03524	hix:NTHI723_01477
ko:K07648	hix:NTHI723_01483
ko:K01153	hix:NTHI723_01485
ko:K03310	hix:NTHI723_00733
ko:K09765	hix:NTHI723_00734
ko:K02523	hix:NTHI723_00735
ko:K02888	hix:NTHI723_00736
ko:K02899	hix:NTHI723_00737
ko:K03979	hix:NTHI723_00739
ko:K00940	hix:NTHI723_00740
ko:K07751	hix:NTHI723_00741
ko:K01710	hix:NTHI723_00742
ko:K01915	hix:NTHI723_00743
ko:K06207	hix:NTHI723_00745
ko:K00275	hix:NTHI723_00746
ko:K09125	hix:NTHI723_00747
ko:K12573	hix:NTHI723_00748
ko:K08680	hix:NTHI723_01411
ko:K00757	hix:NTHI723_01413
ko:K09858	hix:NTHI723_01415
ko:K07058	hix:NTHI723_01416
ko:K01885	hix:NTHI723_01422
ko:K00989	hix:NTHI723_01424
ko:K00762	hix:NTHI723_01425
ko:K05801	hix:NTHI723_01426
ko:K05541	hix:NTHI723_01427
ko:K03089	hix:NTHI723_01428
ko:K00075	hix:NTHI723_01429
ko:K07674	hix:NTHI723_01430
ko:K08591	hix:NTHI723_01431
ko:K01633	hix:NTHI723_01432
ko:K01610	hix:NTHI723_00799
ko:K02838	hix:NTHI723_00800
ko:K00099	hix:NTHI723_00801
ko:K07090	hix:NTHI723_00802
ko:K02879	hix:NTHI723_00806
ko:K03040	hix:NTHI723_00807
ko:K02986	hix:NTHI723_00808
ko:K02948	hix:NTHI723_00809
ko:K02952	hix:NTHI723_00810
ko:K02919	hix:NTHI723_00811
ko:K03076	hix:NTHI723_00812
ko:K02876	hix:NTHI723_00813
ko:K02907	hix:NTHI723_00814
ko:K02988	hix:NTHI723_00815
ko:K02881	hix:NTHI723_00816
ko:K02933	hix:NTHI723_00817
ko:K02994	hix:NTHI723_00818
ko:K02954	hix:NTHI723_00819
ko:K02931	hix:NTHI723_00820
ko:K02895	hix:NTHI723_00821
ko:K02874	hix:NTHI723_00822
ko:K02961	hix:NTHI723_00824
ko:K02904	hix:NTHI723_00825
ko:K02878	hix:NTHI723_00826
ko:K02982	hix:NTHI723_00827
ko:K02890	hix:NTHI723_00828
ko:K02965	hix:NTHI723_00829
ko:K02886	hix:NTHI723_00830
ko:K02892	hix:NTHI723_00831
ko:K02926	hix:NTHI723_00832
ko:K02906	hix:NTHI723_00833
ko:K02946	hix:NTHI723_00834
ko:K01034	hix:NTHI723_00836
ko:K01035	hix:NTHI723_00837
ko:K02106	hix:NTHI723_00838
ko:K00626	hix:NTHI723_00839
ko:K09811	hix:NTHI723_00840
ko:K09812	hix:NTHI723_00841
ko:K03110	hix:NTHI723_00842
ko:K08316	hix:NTHI723_00843
ko:K03216	hix:NTHI723_00844
ko:K07270	hix:NTHI723_00845
ko:K02858	hix:NTHI723_00846
ko:K06211	hix:NTHI723_00847
ko:K01154	hix:NTHI723_01488
ko:K03427	hix:NTHI723_01489
ko:K01414	hix:NTHI723_01490
ko:K09790	hix:NTHI723_01491
ko:K02035	hix:NTHI723_01492
ko:K01497	hix:NTHI723_01493
ko:K01735	hix:NTHI723_01496
ko:K00891	hix:NTHI723_01497
ko:K02959	hix:NTHI723_01500
ko:K02860	hix:NTHI723_01501
ko:K00554	hix:NTHI723_01502
ko:K02884	hix:NTHI723_01503
ko:K01008	hix:NTHI723_01504
ko:K02560	hix:NTHI723_01505
ko:K07090	hix:NTHI723_01506
ko:K07261	hix:NTHI723_01507
ko:K01736	hix:NTHI723_01508
ko:K05802	hix:NTHI723_01509
ko:K01911	hix:NTHI723_01510
ko:K03645	hix:NTHI723_01511
ko:K03839	hix:NTHI723_01513
ko:K03711	hix:NTHI723_01514
ko:K00262	hix:NTHI723_01515
ko:K03118	hix:NTHI723_01516
ko:K03117	hix:NTHI723_01517
ko:K03116	hix:NTHI723_01518
ko:K00121	hix:NTHI723_01520
ko:K01070	hix:NTHI723_01521
ko:K03310	hix:NTHI723_01522
ko:K00884	hix:NTHI723_01523
ko:K06212	hix:NTHI723_01524
ko:K00656	hix:NTHI723_01525
ko:K04069	hix:NTHI723_01526
ko:K05807	hix:NTHI723_01528
ko:K06180	hix:NTHI723_01529
ko:K05810	hix:NTHI723_01530
ko:K00566	hix:NTHI723_01531
ko:K05952	hix:NTHI723_01532
ko:K03734	hix:NTHI723_01533
ko:K01818	hix:NTHI723_00954
ko:K00879	hix:NTHI723_00955
ko:K02431	hix:NTHI723_00956
ko:K01628	hix:NTHI723_00957
ko:K02429	hix:NTHI723_00958
ko:K01491	hix:NTHI723_00961
ko:K14445	hix:NTHI723_00962
ko:K00014	hix:NTHI723_00963
ko:K00640	hix:NTHI723_00964
ko:K00057	hix:NTHI723_00965
ko:K05851	hix:NTHI723_00966
ko:K02496	hix:NTHI723_00967
ko:K02498	hix:NTHI723_00968
ko:K13256	hix:NTHI723_00969
ko:K03498	hix:NTHI723_00978
ko:K04085	hix:NTHI723_00980
ko:K03799	hix:NTHI723_00981
ko:K09022	hix:NTHI723_00982
ko:K04754	hix:NTHI723_00983
ko:K02601	hix:NTHI723_00984
ko:K03073	hix:NTHI723_00985
ko:K03544	hix:NTHI723_00986
ko:K01358	hix:NTHI723_00987
ko:K03545	hix:NTHI723_00988
ko:K16087	hix:NTHI723_00989
ko:K19157	hix:NTHI723_00990
ko:K07473	hix:NTHI723_00991
ko:K03833	hix:NTHI723_00993
ko:K01042	hix:NTHI723_00994
ko:K03555	hix:NTHI723_00996
ko:K03835	hix:NTHI723_00997
ko:K01667	hix:NTHI723_00998
ko:K06194	hix:NTHI723_00999
ko:K03787	hix:NTHI723_01002
ko:K06176	hix:NTHI723_01003
ko:K09893	hix:NTHI723_01004
ko:K03424	hix:NTHI723_01635
ko:K03768	hix:NTHI723_01637
ko:K01883	hix:NTHI723_01638
ko:K10805	hix:NTHI723_01639
ko:K03687	hix:NTHI723_01643
ko:K00858	hix:NTHI723_01644
ko:K03631	hix:NTHI723_01645
ko:K00982	hix:NTHI723_01646
ko:K00791	hix:NTHI723_01647
ko:K03572	hix:NTHI723_01648
ko:K01448	hix:NTHI723_01649
ko:K06925	hix:NTHI723_01650
ko:K00950	hix:NTHI723_01651
ko:K00970	hix:NTHI723_01652
ko:K06204	hix:NTHI723_01653
ko:K02238	hix:NTHI723_01654
ko:K11085	hix:NTHI723_01655
ko:K00912	hix:NTHI723_01656
ko:K00979	hix:NTHI723_01657
ko:K03703	hix:NTHI723_01658
ko:K01686	hix:NTHI723_01660
ko:K13637	hix:NTHI723_01661
ko:K00874	hix:NTHI723_01666
ko:K01812	hix:NTHI723_01668
ko:K01625	hix:NTHI723_01669
ko:K06193	hix:NTHI723_01670
ko:K07109	hix:NTHI723_01671
ko:K08990	hix:NTHI723_01674
ko:K06177	hix:NTHI723_01675
ko:K01142	hix:NTHI723_01676
ko:K03571	hix:NTHI723_01678
ko:K03570	hix:NTHI723_01679
ko:K03569	hix:NTHI723_01680
ko:K02471	hix:NTHI723_01681
ko:K07085	hix:NTHI723_01682
ko:K09710	hix:NTHI723_01683
ko:K01903	hix:NTHI723_00451
ko:K06968	hix:NTHI723_00452
ko:K03566	hix:NTHI723_00453
ko:K00826	hix:NTHI723_00454
ko:K06920	hix:NTHI723_00456
ko:K01737	hix:NTHI723_00457
ko:K03657	hix:NTHI723_00459
ko:K12369	hix:NTHI723_00460
ko:K12370	hix:NTHI723_00461
ko:K12371	hix:NTHI723_00462
ko:K12372	hix:NTHI723_00463
ko:K03271	hix:NTHI723_00465
ko:K10000	hix:NTHI723_00466
ko:K09997	hix:NTHI723_00467
ko:K09999	hix:NTHI723_00468
ko:K09998	hix:NTHI723_00469
ko:K02742	hix:NTHI723_00472
ko:K00789	hix:NTHI723_00473
ko:K01664	hix:NTHI723_00474
ko:K01665	hix:NTHI723_00475
ko:K02619	hix:NTHI723_00476
ko:K09802	hix:NTHI723_00477
ko:K00831	hix:NTHI723_00478
ko:K00817	hix:NTHI723_00479
ko:K07390	hix:NTHI723_00480
ko:K03286	hix:NTHI723_00481
ko:K01772	hix:NTHI723_00484
ko:K05838	hix:NTHI723_00485
ko:K00384	hix:NTHI723_00486
ko:K16013	hix:NTHI723_00487
ko:K16012	hix:NTHI723_00488
ko:K06956	hix:NTHI723_00490
ko:K00760	hix:NTHI723_00491
ko:K03592	hix:NTHI723_00492
ko:K09889	hix:NTHI723_00493
ko:K11719	hix:NTHI723_00494
ko:K09774	hix:NTHI723_00495
ko:K06861	hix:NTHI723_00496
ko:K02806	hix:NTHI723_00497
ko:K06958	hix:NTHI723_00498
ko:K14170	hix:NTHI723_00499
ko:K02535	hix:NTHI723_00500
ko:K03314	hix:NTHI723_01262
ko:K03603	hix:NTHI723_01263
ko:K00998	hix:NTHI723_01264
ko:K03214	hix:NTHI723_01265
ko:K15460	hix:NTHI723_01266
ko:K05590	hix:NTHI723_01267
ko:K08303	hix:NTHI723_01268
ko:K00788	hix:NTHI723_01270
ko:K00941	hix:NTHI723_01271
ko:K00878	hix:NTHI723_01272
ko:K08300	hix:NTHI723_01274
ko:K06179	hix:NTHI723_01275
ko:K03666	hix:NTHI723_01276
ko:K03721	hix:NTHI723_01277
ko:K09817	hix:NTHI723_01279
ko:K09816	hix:NTHI723_01280
ko:K01962	hix:NTHI723_01281
ko:K04075	hix:NTHI723_01283
ko:K03573	hix:NTHI723_01284
ko:K00567	hix:NTHI723_01285
ko:K06076	hix:NTHI723_01286
ko:K03651	hix:NTHI723_01288
ko:K01515	hix:NTHI723_01289
ko:K03601	hix:NTHI723_01290
ko:K18850	hix:NTHI723_01291
ko:K09801	hix:NTHI723_01292
ko:K01056	hix:NTHI723_01293
ko:K06942	hix:NTHI723_01294
ko:K03684	hix:NTHI723_01296
ko:K01897	hix:NTHI723_01297
ko:K07285	hix:NTHI723_01298
ko:K14742	hix:NTHI723_01299
ko:K07107	hix:NTHI723_01301
ko:K03562	hix:NTHI723_01302
ko:K03560	hix:NTHI723_01303
ko:K03646	hix:NTHI723_01304
ko:K03641	hix:NTHI723_01305
ko:K03640	hix:NTHI723_01306
ko:K15396	hix:NTHI723_01309
ko:K04772	hix:NTHI723_00305
ko:K03632	hix:NTHI723_00203
ko:K03804	hix:NTHI723_00204
ko:K03633	hix:NTHI723_00207
ko:K14058	hix:NTHI723_00208
ko:K11179	hix:NTHI723_00209
ko:K07263	hix:NTHI723_00212
ko:K01868	hix:NTHI723_00213
ko:K01118	hix:NTHI723_00214
ko:K03168	hix:NTHI723_00215
ko:K00325	hix:NTHI723_00217
ko:K00324	hix:NTHI723_00218
ko:K00688	hix:NTHI723_00219
ko:K00703	hix:NTHI723_00220
ko:K00975	hix:NTHI723_00221
ko:K00700	hix:NTHI723_00223
ko:K00705	hix:NTHI723_00224
ko:K09160	hix:NTHI723_00225
ko:K01886	hix:NTHI723_00226
ko:K08301	hix:NTHI723_00227
ko:K11928	hix:NTHI723_00228
ko:K15257	hix:NTHI723_00229
ko:K01489	hix:NTHI723_00230
ko:K04047	hix:NTHI723_00231
ko:K01258	hix:NTHI723_00232
ko:K11072	hix:NTHI723_00233
ko:K11071	hix:NTHI723_00234
ko:K11070	hix:NTHI723_00235
ko:K11069	hix:NTHI723_00236
ko:K15738	hix:NTHI723_00237
ko:K01129	hix:NTHI723_00238
ko:K06518	hix:NTHI723_00240
ko:K01766	hix:NTHI723_00242
ko:K02426	hix:NTHI723_00243
ko:K06879	hix:NTHI723_00245
ko:K14187	hix:NTHI723_00246
ko:K03177	hix:NTHI723_00247
ko:K02834	hix:NTHI723_00248
ko:K03427	hix:NTHI723_00249
ko:K01154	hix:NTHI723_00250
ko:K03775	hix:NTHI723_01005
ko:K07278	hix:NTHI723_01006
ko:K09800	hix:NTHI723_01007
ko:K06181	hix:NTHI723_01010
ko:K00769	hix:NTHI723_01012
ko:K00864	hix:NTHI723_01013
ko:K02440	hix:NTHI723_01014
ko:K01126	hix:NTHI723_01015
ko:K02445	hix:NTHI723_01016
ko:K00111	hix:NTHI723_01017
ko:K00112	hix:NTHI723_01018
ko:K00113	hix:NTHI723_01019
ko:K00053	hix:NTHI723_01020
ko:K02521	hix:NTHI723_01021
ko:K05786	hix:NTHI723_01022
ko:K02439	hix:NTHI723_01023
ko:K01803	hix:NTHI723_01024
ko:K03733	hix:NTHI723_01026
ko:K01270	hix:NTHI723_01027
ko:K00769	hix:NTHI723_01028
ko:K05589	hix:NTHI723_01029
ko:K00991	hix:NTHI723_01030
ko:K01770	hix:NTHI723_01031
ko:K07560	hix:NTHI723_01032
ko:K06205	hix:NTHI723_01033
ko:K09892	hix:NTHI723_01034
ko:K02446	hix:NTHI723_01035
ko:K07154	hix:NTHI723_01037
ko:K07154	hix:NTHI723_01038
ko:K16087	hix:NTHI723_01043
ko:K06158	hix:NTHI723_01044
ko:K07479	hix:NTHI723_01045
ko:K07566	hix:NTHI723_01046
ko:K00014	hix:NTHI723_01047
ko:K01246	hix:NTHI723_01049
ko:K12984	hix:NTHI723_01050
ko:K02527	hix:NTHI723_01051
ko:K00954	hix:NTHI723_01052
ko:K03656	hix:NTHI723_01054
ko:K00783	hix:NTHI723_01684
ko:K05515	hix:NTHI723_01685
ko:K05837	hix:NTHI723_01686
ko:K03642	hix:NTHI723_01687
ko:K07258	hix:NTHI723_01688
ko:K09158	hix:NTHI723_01689
ko:K03801	hix:NTHI723_01690
ko:K03644	hix:NTHI723_01691
ko:K01910	hix:NTHI723_01692
ko:K01646	hix:NTHI723_01693
ko:K01644	hix:NTHI723_01694
ko:K01643	hix:NTHI723_01695
ko:K13927	hix:NTHI723_01696
ko:K03319	hix:NTHI723_01697
ko:K06168	hix:NTHI723_01698
ko:K03648	hix:NTHI723_01699
ko:K03596	hix:NTHI723_01701
