ko:K11707	cpsi:B599_0476
ko:K00615	cpsi:B599_0930
ko:K01872	cpsi:B599_0931
ko:K03723	cpsi:B599_0932
ko:K01599	cpsi:B599_0933
ko:K00231	cpsi:B599_0935
ko:K03210	cpsi:B599_0939
ko:K00351	cpsi:B599_0940
ko:K03466	cpsi:B599_0950
ko:K03310	cpsi:B599_0954
ko:K00794	cpsi:B599_0958
ko:K14652	cpsi:B599_0959
ko:K11752	cpsi:B599_0960
ko:K01875	cpsi:B599_0961
ko:K05837	cpsi:B599_0964
ko:K03524	cpsi:B599_0965
ko:K06178	cpsi:B599_0967
ko:K04487	cpsi:B599_0969
ko:K13819	cpsi:B599_0970
ko:K02409	cpsi:B599_0971
ko:K02411	cpsi:B599_0972
ko:K02412	cpsi:B599_0973
ko:K15581	cpsi:B599_0647
ko:K03319	cpsi:B599_0652
ko:K00850	cpsi:B599_0653
ko:K02527	cpsi:B599_0658
ko:K01869	cpsi:B599_0659
ko:K01972	cpsi:B599_0663
ko:K03695	cpsi:B599_0675
ko:K02065	cpsi:B599_0677
ko:K02066	cpsi:B599_0678
ko:K01845	cpsi:B599_0679
ko:K07735	cpsi:B599_0680
ko:K08999	cpsi:B599_0681
ko:K01807	cpsi:B599_0682
ko:K08602	cpsi:B599_0691
ko:K04078	cpsi:B599_0692
ko:K04077	cpsi:B599_0693
ko:K03581	cpsi:B599_0699
ko:K01874	cpsi:B599_0700
ko:K06888	cpsi:B599_0332
ko:K02528	cpsi:B599_0334
ko:K01662	cpsi:B599_0335
ko:K03602	cpsi:B599_0337
ko:K03601	cpsi:B599_0338
ko:K01803	cpsi:B599_0339
ko:K03075	cpsi:B599_0341
ko:K01462	cpsi:B599_0343
ko:K06287	cpsi:B599_0346
ko:K03733	cpsi:B599_0348
ko:K01338	cpsi:B599_0352
ko:K02970	cpsi:B599_0354
ko:K03686	cpsi:B599_0355
ko:K11381	cpsi:B599_0356
ko:K09747	cpsi:B599_0362
ko:K02343	cpsi:B599_0363
ko:K07037	cpsi:B599_0364
ko:K01749	cpsi:B599_0368
ko:K04485	cpsi:B599_0369
ko:K03685	cpsi:B599_0370
ko:K04564	cpsi:B599_0373
ko:K01963	cpsi:B599_0374
ko:K03820	cpsi:B599_0101
ko:K02535	cpsi:B599_0102
ko:K02372	cpsi:B599_0103
ko:K00677	cpsi:B599_0104
ko:K00604	cpsi:B599_0105
ko:K02906	cpsi:B599_0108
ko:K02926	cpsi:B599_0109
ko:K02892	cpsi:B599_0110
ko:K02886	cpsi:B599_0111
ko:K02965	cpsi:B599_0112
ko:K02890	cpsi:B599_0113
ko:K02982	cpsi:B599_0114
ko:K02878	cpsi:B599_0115
ko:K02904	cpsi:B599_0116
ko:K02961	cpsi:B599_0117
ko:K02874	cpsi:B599_0118
ko:K02895	cpsi:B599_0119
ko:K02931	cpsi:B599_0120
ko:K02994	cpsi:B599_0121
ko:K02933	cpsi:B599_0122
ko:K02881	cpsi:B599_0123
ko:K02988	cpsi:B599_0124
ko:K02876	cpsi:B599_0125
ko:K03076	cpsi:B599_0126
ko:K02952	cpsi:B599_0127
ko:K02948	cpsi:B599_0128
ko:K03040	cpsi:B599_0129
ko:K02879	cpsi:B599_0130
ko:K00134	cpsi:B599_0131
ko:K01159	cpsi:B599_0135
ko:K03550	cpsi:B599_0136
ko:K00940	cpsi:B599_0137
ko:K03800	cpsi:B599_0138
ko:K03495	cpsi:B599_0139
ko:K00995	cpsi:B599_0142
ko:K03301	cpsi:B599_0143
ko:K00859	cpsi:B599_0146
ko:K03628	cpsi:B599_0147
ko:K00762	cpsi:B599_0150
ko:K00975	cpsi:B599_0151
ko:K07099	cpsi:B599_0152
ko:K01772	cpsi:B599_0155
ko:K00057	cpsi:B599_0976
ko:K03569	cpsi:B599_0982
ko:K03545	cpsi:B599_0985
ko:K01358	cpsi:B599_0986
ko:K03544	cpsi:B599_0987
ko:K03977	cpsi:B599_0989
ko:K03070	cpsi:B599_0991
ko:K01613	cpsi:B599_0993
ko:K03650	cpsi:B599_0994
ko:K10773	cpsi:B599_0995
ko:K03311	cpsi:B599_0996
ko:K00382	cpsi:B599_0999
ko:K03644	cpsi:B599_1000
ko:K03222	cpsi:B599_1001
ko:K03223	cpsi:B599_1003
ko:K03226	cpsi:B599_1004
ko:K03228	cpsi:B599_1006
ko:K02455	cpsi:B599_1013
ko:K02453	cpsi:B599_1015
ko:K03572	cpsi:B599_1018
ko:K01868	cpsi:B599_1024
ko:K00942	cpsi:B599_0702
ko:K03470	cpsi:B599_0703
ko:K02884	cpsi:B599_0704
ko:K00554	cpsi:B599_0705
ko:K02959	cpsi:B599_0706
ko:K03106	cpsi:B599_0707
ko:K02493	cpsi:B599_0708
ko:K02835	cpsi:B599_0709
ko:K02909	cpsi:B599_0710
ko:K03100	cpsi:B599_0712
ko:K01870	cpsi:B599_0713
ko:K07175	cpsi:B599_0715
ko:K00426	cpsi:B599_0719
ko:K00425	cpsi:B599_0720
ko:K02517	cpsi:B599_0723
ko:K00873	cpsi:B599_0725
ko:K03701	cpsi:B599_0726
ko:K01873	cpsi:B599_0728
ko:K03046	cpsi:B599_0740
ko:K03043	cpsi:B599_0741
ko:K02935	cpsi:B599_0742
ko:K02864	cpsi:B599_0743
ko:K02863	cpsi:B599_0744
ko:K02867	cpsi:B599_0745
ko:K02601	cpsi:B599_0746
ko:K03073	cpsi:B599_0747
ko:K02358	cpsi:B599_0749
ko:K02518	cpsi:B599_0751
ko:K00566	cpsi:B599_0382
ko:K03696	cpsi:B599_0383
ko:K03800	cpsi:B599_0385
ko:K02437	cpsi:B599_0389
ko:K00350	cpsi:B599_0392
ko:K00349	cpsi:B599_0393
ko:K00348	cpsi:B599_0394
ko:K00347	cpsi:B599_0395
ko:K02313	cpsi:B599_0398
ko:K03438	cpsi:B599_0401
ko:K03587	cpsi:B599_0403
ko:K01928	cpsi:B599_0406
ko:K01448	cpsi:B599_0407
ko:K01962	cpsi:B599_0413
ko:K07083	cpsi:B599_0416
ko:K00208	cpsi:B599_0421
ko:K03575	cpsi:B599_0425
ko:K03523	cpsi:B599_0756
ko:K01714	cpsi:B599_0762
ko:K00928	cpsi:B599_0763
ko:K00133	cpsi:B599_0764
ko:K00215	cpsi:B599_0765
ko:K09125	cpsi:B599_0767
ko:K01012	cpsi:B599_0770
ko:K01935	cpsi:B599_0772
ko:K00833	cpsi:B599_0773
ko:K00800	cpsi:B599_0775
ko:K00891	cpsi:B599_0776
ko:K01736	cpsi:B599_0777
ko:K01735	cpsi:B599_0778
ko:K13832	cpsi:B599_0779
ko:K03758	cpsi:B599_0783
ko:K00024	cpsi:B599_0786
ko:K01810	cpsi:B599_0788
ko:K03527	cpsi:B599_0797
ko:K03321	cpsi:B599_0800
ko:K01265	cpsi:B599_0805
ko:K02034	cpsi:B599_0165
ko:K01890	cpsi:B599_0168
ko:K03584	cpsi:B599_0174
ko:K07714	cpsi:B599_0179
ko:K07710	cpsi:B599_0181
ko:K06173	cpsi:B599_0185
ko:K00991	cpsi:B599_0186
ko:K02836	cpsi:B599_0189
ko:K00790	cpsi:B599_0194
ko:K01887	cpsi:B599_0195
ko:K00655	cpsi:B599_0196
ko:K00945	cpsi:B599_0197
ko:K00981	cpsi:B599_0198
ko:K00806	cpsi:B599_0199
ko:K12257	cpsi:B599_0203
ko:K07462	cpsi:B599_0204
ko:K03797	cpsi:B599_0212
ko:K01867	cpsi:B599_1028
ko:K02338	cpsi:B599_0484
ko:K03664	cpsi:B599_0485
ko:K03734	cpsi:B599_0486
ko:K01491	cpsi:B599_0487
ko:K02902	cpsi:B599_0494
ko:K00705	cpsi:B599_0495
ko:K04058	cpsi:B599_0497
ko:K03230	cpsi:B599_0498
ko:K03229	cpsi:B599_0499
ko:K06942	cpsi:B599_0500
ko:K11753	cpsi:B599_0501
ko:K02834	cpsi:B599_0503
ko:K02519	cpsi:B599_0504
ko:K02600	cpsi:B599_0505
ko:K02945	cpsi:B599_0506
ko:K00384	cpsi:B599_0507
ko:K00997	cpsi:B599_0508
ko:K03217	cpsi:B599_0511
ko:K02313	cpsi:B599_0512
ko:K00688	cpsi:B599_0514
ko:K00627	cpsi:B599_0515
ko:K00162	cpsi:B599_0516
ko:K00161	cpsi:B599_0517
ko:K02536	cpsi:B599_0520
ko:K06142	cpsi:B599_0521
ko:K07277	cpsi:B599_0522
ko:K06187	cpsi:B599_0523
ko:K00648	cpsi:B599_0524
ko:K00645	cpsi:B599_0525
ko:K02078	cpsi:B599_0527
ko:K03308	cpsi:B599_0532
ko:K04487	cpsi:B599_0435
ko:K01494	cpsi:B599_0439
ko:K03551	cpsi:B599_0440
ko:K01255	cpsi:B599_0445
ko:K02340	cpsi:B599_0447
ko:K07056	cpsi:B599_0448
ko:K00164	cpsi:B599_0455
ko:K00658	cpsi:B599_0456
ko:K05810	cpsi:B599_0457
ko:K03526	cpsi:B599_0458
ko:K02400	cpsi:B599_0467
ko:K02405	cpsi:B599_0468
ko:K01866	cpsi:B599_0470
ko:K03596	cpsi:B599_0472
ko:K03301	cpsi:B599_0474
ko:K00099	cpsi:B599_0480
ko:K03629	cpsi:B599_0483
ko:K02956	cpsi:B599_0815
ko:K00962	cpsi:B599_0816
ko:K03798	cpsi:B599_0817
ko:K04075	cpsi:B599_0818
ko:K07091	cpsi:B599_0819
ko:K11720	cpsi:B599_0820
ko:K01889	cpsi:B599_0823
ko:K02887	cpsi:B599_0824
ko:K02520	cpsi:B599_0825
ko:K03625	cpsi:B599_0826
ko:K00075	cpsi:B599_0827
ko:K03439	cpsi:B599_0830
ko:K09760	cpsi:B599_0834
ko:K01902	cpsi:B599_0838
ko:K01903	cpsi:B599_0839
ko:K03110	cpsi:B599_0840
ko:K06890	cpsi:B599_0841
ko:K03834	cpsi:B599_0842
ko:K00820	cpsi:B599_0843
ko:K03431	cpsi:B599_0844
ko:K00748	cpsi:B599_0846
ko:K03621	cpsi:B599_0862
ko:K02911	cpsi:B599_0863
ko:K02806	cpsi:B599_0376
ko:K02806	cpsi:B599_0377
ko:K02342	cpsi:B599_0417
ko:K06179	cpsi:B599_0424
ko:K07052	cpsi:B599_0427
ko:K15582	cpsi:B599_0648
ko:K10823	cpsi:B599_0649
ko:K15583	cpsi:B599_0650
ko:K06889	cpsi:B599_0654
ko:K06889	cpsi:B599_0660
ko:K02030	cpsi:B599_0154
ko:K00972	cpsi:B599_0975
ko:K01596	cpsi:B599_0981
ko:K00970	cpsi:B599_0988
ko:K03227	cpsi:B599_1005
ko:K02454	cpsi:B599_1014
ko:K01262	cpsi:B599_1017
ko:K02067	cpsi:B599_0676
ko:K02035	cpsi:B599_0163
ko:K02033	cpsi:B599_0164
ko:K00567	cpsi:B599_0166
ko:K07098	cpsi:B599_0187
ko:K01885	cpsi:B599_0207
ko:K00970	cpsi:B599_0845
ko:K00380	cpsi:B599_0221
ko:K09815	cpsi:B599_0229
ko:K01719	cpsi:B599_0251
ko:K03177	cpsi:B599_0502
ko:K00059	cpsi:B599_0526
ko:K11709	cpsi:B599_0479
ko:K11708	cpsi:B599_0478
ko:K11710	cpsi:B599_0477
ko:K00813	cpsi:B599_0006
ko:K01408	cpsi:B599_0867
ko:K01909	cpsi:B599_0898
ko:K01082	cpsi:B599_0900
ko:K01507	cpsi:B599_0902
ko:K00939	cpsi:B599_0579
ko:K01409	cpsi:B599_0587
ko:K03307	cpsi:B599_0286
ko:K03856	cpsi:B599_0288
ko:K00700	cpsi:B599_0296
ko:K02433	cpsi:B599_0320
ko:K00088	cpsi:B599_0617
ko:K02049	cpsi:B599_0634
ko:K02035	cpsi:B599_0644
ko:K02035	cpsi:B599_0645
ko:K02035	cpsi:B599_0646
ko:K02124	cpsi:B599_0730
ko:K02123	cpsi:B599_0731
ko:K02120	cpsi:B599_0732
ko:K02118	cpsi:B599_0733
ko:K02117	cpsi:B599_0734
ko:K02121	cpsi:B599_0736
ko:K00616	cpsi:B599_0739
ko:K03471	cpsi:B599_0325
ko:K00784	cpsi:B599_0349
ko:K11189	cpsi:B599_0360
ko:K08483	cpsi:B599_0361
ko:K07258	cpsi:B599_0081
ko:K02342	cpsi:B599_0099
ko:K07117	cpsi:B599_0952
ko:K06910	cpsi:B599_0953
ko:K00652	cpsi:B599_0771
ko:K04763	cpsi:B599_0789
ko:K01679	cpsi:B599_0801
ko:K00033	cpsi:B599_0471
ko:K14226	cpsi:B599_0948
ko:K14233	cpsi:B599_0822
ko:K14232	cpsi:B599_0465
ko:K14234	cpsi:B599_0049
ko:K03559	cpsi:B599_1041
ko:K14219	cpsi:B599_0027
ko:K00895	cpsi:B599_0655
ko:K01834	cpsi:B599_0968
ko:K11645	cpsi:B599_0539
ko:K09810	cpsi:B599_0573
ko:K14234	cpsi:B599_0565
ko:K14223	cpsi:B599_0876
ko:K14220	cpsi:B599_0695
ko:K14227	cpsi:B599_0635
ko:K02028	cpsi:B599_0590
ko:K14233	cpsi:B599_0230
ko:K01980	cpsi:B599_1083
ko:K14224	cpsi:B599_0054
ko:K17103	cpsi:B599_0833
ko:K14219	cpsi:B599_0177
ko:K04084	cpsi:B599_1039
ko:K14218	cpsi:B599_0005
ko:K14218	cpsi:B599_0636
ko:K14229	cpsi:B599_0053
ko:K14225	cpsi:B599_0059
ko:K14228	cpsi:B599_0095
ko:K14228	cpsi:B599_0133
ko:K14228	cpsi:B599_0183
ko:K14228	cpsi:B599_0171
ko:K14228	cpsi:B599_0791
ko:K14233	cpsi:B599_0141
ko:K14233	cpsi:B599_0331
ko:K14219	cpsi:B599_0408
ko:K14219	cpsi:B599_1048
ko:K14231	cpsi:B599_0224
ko:K14232	cpsi:B599_1079
ko:K14221	cpsi:B599_0560
ko:K14237	cpsi:B599_0561
ko:K14236	cpsi:B599_0566
ko:K14230	cpsi:B599_0656
ko:K14230	cpsi:B599_0657
ko:K14230	cpsi:B599_0754
ko:K14235	cpsi:B599_0748
ko:K14222	cpsi:B599_0923
ko:K01977	cpsi:B599_1084
ko:K14225	cpsi:B599_0984
ko:K14234	cpsi:B599_0750
ko:K14237	cpsi:B599_0829
ko:K01840	cpsi:B599_0372
ko:K06972	cpsi:B599_0835
ko:K04077	cpsi:B599_1049
ko:K07081	cpsi:B599_0257
ko:K03695	cpsi:B599_0674
ko:K01000	cpsi:B599_0921
ko:K01596	cpsi:B599_0980
ko:K01338	cpsi:B599_0351
ko:K08275	cpsi:B599_0489
ko:K08274	cpsi:B599_0787
ko:K18707	cpsi:B599_0294
ko:K03825	cpsi:B599_0190
ko:K03497	cpsi:B599_0070
ko:K03496	cpsi:B599_1025
ko:K03111	cpsi:B599_0444
ko:K02626	cpsi:B599_0782
ko:K11991	cpsi:B599_0814
ko:K04771	cpsi:B599_0837
ko:K11749	cpsi:B599_0481
ko:K19405	cpsi:B599_0051
ko:K19411	cpsi:B599_0052
ko:K07033	cpsi:B599_0063
ko:K01802	cpsi:B599_0092
ko:K03309	cpsi:B599_0245
ko:K12132	cpsi:B599_0727
ko:K20074	cpsi:B599_0434
ko:K20265	cpsi:B599_0538
ko:K01214	cpsi:B599_0442
ko:K22099	cpsi:B599_1066
ko:K00526	cpsi:B599_0831
ko:K03553	cpsi:B599_1064
ko:K00287	cpsi:B599_1067
ko:K02314	cpsi:B599_p0004
ko:K02316	cpsi:B599_0885
ko:K02314	cpsi:B599_0140
ko:K01520	cpsi:B599_0375
ko:K02335	cpsi:B599_0145
ko:K00525	cpsi:B599_0832
ko:K02031	cpsi:B599_0072
ko:K02050	cpsi:B599_0802
ko:K02051	cpsi:B599_0802
ko:K01829	cpsi:B599_0891
ko:K01534	cpsi:B599_0963
ko:K16239	cpsi:B599_0493
