ko:K19405	ctfs:CTRC342_03625
ko:K03550	ctfs:CTRC342_02690
ko:K01159	ctfs:CTRC342_02695
ko:K00134	ctfs:CTRC342_02710
ko:K02879	ctfs:CTRC342_02715
ko:K03040	ctfs:CTRC342_02720
ko:K02948	ctfs:CTRC342_02725
ko:K02952	ctfs:CTRC342_02730
ko:K03076	ctfs:CTRC342_02735
ko:K02876	ctfs:CTRC342_02740
ko:K02988	ctfs:CTRC342_02745
ko:K02881	ctfs:CTRC342_02750
ko:K02933	ctfs:CTRC342_02755
ko:K02994	ctfs:CTRC342_02760
ko:K02931	ctfs:CTRC342_02765
ko:K02895	ctfs:CTRC342_02770
ko:K02874	ctfs:CTRC342_02775
ko:K14226	ctfs:CTRC342_t04954
ko:K01980	ctfs:CTRC342_r04978
ko:K01980	ctfs:CTRC342_r04982
ko:K01980	ctfs:CTRC342_r04980
ko:K01985	ctfs:CTRC342_r04966
ko:K01985	ctfs:CTRC342_r04970
ko:K01985	ctfs:CTRC342_r04968
ko:K14222	ctfs:CTRC342_t04956
ko:K14223	ctfs:CTRC342_t04958
ko:K14233	ctfs:CTRC342_t04962
ko:K02492	ctfs:CTRC342_03560
ko:K03224	ctfs:CTRC342_03595
ko:K02417	ctfs:CTRC342_03610
ko:K03219	ctfs:CTRC342_03620
ko:K02838	ctfs:CTRC342_03635
ko:K09903	ctfs:CTRC342_03640
ko:K02357	ctfs:CTRC342_03645
ko:K02967	ctfs:CTRC342_03650
ko:K03162	ctfs:CTRC342_03660
ko:K09013	ctfs:CTRC342_03690
ko:K09015	ctfs:CTRC342_03695
ko:K11717	ctfs:CTRC342_03700
ko:K07220	ctfs:CTRC342_03720
ko:K03306	ctfs:CTRC342_03725
ko:K00927	ctfs:CTRC342_03730
ko:K10773	ctfs:CTRC342_03750
ko:K03650	ctfs:CTRC342_03755
ko:K01613	ctfs:CTRC342_03760
ko:K03070	ctfs:CTRC342_03770
ko:K03977	ctfs:CTRC342_03780
ko:K03544	ctfs:CTRC342_03790
ko:K01358	ctfs:CTRC342_03795
ko:K03545	ctfs:CTRC342_03800
ko:K03431	ctfs:CTRC342_04555
ko:K00820	ctfs:CTRC342_04560
ko:K03834	ctfs:CTRC342_04565
ko:K03834	ctfs:CTRC342_04575
ko:K06890	ctfs:CTRC342_04580
ko:K03110	ctfs:CTRC342_04585
ko:K01903	ctfs:CTRC342_04590
ko:K01902	ctfs:CTRC342_04595
ko:K09760	ctfs:CTRC342_04610
ko:K17103	ctfs:CTRC342_04615
ko:K03439	ctfs:CTRC342_04630
ko:K00075	ctfs:CTRC342_04640
ko:K03625	ctfs:CTRC342_04650
ko:K02520	ctfs:CTRC342_04655
ko:K02916	ctfs:CTRC342_04660
ko:K02887	ctfs:CTRC342_04665
ko:K01889	ctfs:CTRC342_04670
ko:K11720	ctfs:CTRC342_04680
ko:K07091	ctfs:CTRC342_04685
ko:K04075	ctfs:CTRC342_04690
ko:K03798	ctfs:CTRC342_04695
ko:K00962	ctfs:CTRC342_04700
ko:K02956	ctfs:CTRC342_04705
ko:K01265	ctfs:CTRC342_04755
ko:K03321	ctfs:CTRC342_04780
ko:K01778	ctfs:CTRC342_02275
ko:K03569	ctfs:CTRC342_03815
ko:K00057	ctfs:CTRC342_03840
ko:K02412	ctfs:CTRC342_03855
ko:K02411	ctfs:CTRC342_03860
ko:K02409	ctfs:CTRC342_03865
ko:K13819	ctfs:CTRC342_03875
ko:K02961	ctfs:CTRC342_02780
ko:K02904	ctfs:CTRC342_02785
ko:K02878	ctfs:CTRC342_02790
ko:K02982	ctfs:CTRC342_02795
ko:K02890	ctfs:CTRC342_02800
ko:K02965	ctfs:CTRC342_02805
ko:K02886	ctfs:CTRC342_02810
ko:K02892	ctfs:CTRC342_02815
ko:K02926	ctfs:CTRC342_02820
ko:K02906	ctfs:CTRC342_02825
ko:K00604	ctfs:CTRC342_02835
ko:K00677	ctfs:CTRC342_02840
ko:K02372	ctfs:CTRC342_02845
ko:K02535	ctfs:CTRC342_02850
ko:K03820	ctfs:CTRC342_02855
ko:K06925	ctfs:CTRC342_02870
ko:K03671	ctfs:CTRC342_02880
ko:K03216	ctfs:CTRC342_02885
ko:K01876	ctfs:CTRC342_02895
ko:K01892	ctfs:CTRC342_02900
ko:K07783	ctfs:CTRC342_02910
ko:K02337	ctfs:CTRC342_02915
ko:K03311	ctfs:CTRC342_02960
ko:K00382	ctfs:CTRC342_02975
ko:K03644	ctfs:CTRC342_02980
ko:K03222	ctfs:CTRC342_02985
ko:K03223	ctfs:CTRC342_03000
ko:K03226	ctfs:CTRC342_03005
ko:K03228	ctfs:CTRC342_03015
ko:K04487	ctfs:CTRC342_03880
ko:K06178	ctfs:CTRC342_03895
ko:K03524	ctfs:CTRC342_03905
ko:K05837	ctfs:CTRC342_03910
ko:K01875	ctfs:CTRC342_03925
ko:K11752	ctfs:CTRC342_03930
ko:K14652	ctfs:CTRC342_03935
ko:K00794	ctfs:CTRC342_03940
ko:K03310	ctfs:CTRC342_03955
ko:K03466	ctfs:CTRC342_03975
ko:K00351	ctfs:CTRC342_03985
ko:K03210	ctfs:CTRC342_03990
ko:K00231	ctfs:CTRC342_04015
ko:K01599	ctfs:CTRC342_04025
ko:K03723	ctfs:CTRC342_04030
ko:K01872	ctfs:CTRC342_04035
ko:K09779	ctfs:CTRC342_00010
ko:K02435	ctfs:CTRC342_00015
ko:K02434	ctfs:CTRC342_00025
ko:K02517	ctfs:CTRC342_00060
ko:K00425	ctfs:CTRC342_00075
ko:K00426	ctfs:CTRC342_00080
ko:K07175	ctfs:CTRC342_00085
ko:K01870	ctfs:CTRC342_00105
ko:K03100	ctfs:CTRC342_00110
ko:K02909	ctfs:CTRC342_00120
ko:K02835	ctfs:CTRC342_00125
ko:K02493	ctfs:CTRC342_00130
ko:K03106	ctfs:CTRC342_00135
ko:K02959	ctfs:CTRC342_00140
ko:K00554	ctfs:CTRC342_00145
ko:K02884	ctfs:CTRC342_00150
ko:K03470	ctfs:CTRC342_00155
ko:K00942	ctfs:CTRC342_00160
ko:K01874	ctfs:CTRC342_00170
ko:K03581	ctfs:CTRC342_00175
ko:K01494	ctfs:CTRC342_00205
ko:K03551	ctfs:CTRC342_00215
ko:K02078	ctfs:CTRC342_01250
ko:K00645	ctfs:CTRC342_01260
ko:K00648	ctfs:CTRC342_01265
ko:K06187	ctfs:CTRC342_01270
ko:K07277	ctfs:CTRC342_01280
ko:K06142	ctfs:CTRC342_01285
ko:K02536	ctfs:CTRC342_01290
ko:K00161	ctfs:CTRC342_01300
ko:K00162	ctfs:CTRC342_01305
ko:K00627	ctfs:CTRC342_01310
ko:K00688	ctfs:CTRC342_01315
ko:K02313	ctfs:CTRC342_01325
ko:K03217	ctfs:CTRC342_01330
ko:K04487	ctfs:CTRC342_01365
ko:K07083	ctfs:CTRC342_01390
ko:K01962	ctfs:CTRC342_01405
ko:K01448	ctfs:CTRC342_01420
ko:K01928	ctfs:CTRC342_01425
ko:K03587	ctfs:CTRC342_01430
ko:K03438	ctfs:CTRC342_01440
ko:K02313	ctfs:CTRC342_01455
ko:K00347	ctfs:CTRC342_01470
ko:K00348	ctfs:CTRC342_01475
ko:K00349	ctfs:CTRC342_01480
ko:K00350	ctfs:CTRC342_01485
ko:K02437	ctfs:CTRC342_01490
ko:K03800	ctfs:CTRC342_01505
ko:K03696	ctfs:CTRC342_01510
ko:K00566	ctfs:CTRC342_01515
ko:K01963	ctfs:CTRC342_01550
ko:K04564	ctfs:CTRC342_01555
ko:K03685	ctfs:CTRC342_01570
ko:K04485	ctfs:CTRC342_01575
ko:K01749	ctfs:CTRC342_01580
ko:K01873	ctfs:CTRC342_01590
ko:K03046	ctfs:CTRC342_01650
ko:K03043	ctfs:CTRC342_01655
ko:K02935	ctfs:CTRC342_01660
ko:K02864	ctfs:CTRC342_01665
ko:K02863	ctfs:CTRC342_01670
ko:K02867	ctfs:CTRC342_01675
ko:K02601	ctfs:CTRC342_01680
ko:K03073	ctfs:CTRC342_01685
ko:K02358	ctfs:CTRC342_01690
ko:K02518	ctfs:CTRC342_01695
ko:K01803	ctfs:CTRC342_01735
ko:K03601	ctfs:CTRC342_01740
ko:K03527	ctfs:CTRC342_04795
ko:K03602	ctfs:CTRC342_01745
ko:K01662	ctfs:CTRC342_01755
ko:K00873	ctfs:CTRC342_01760
ko:K03701	ctfs:CTRC342_01765
ko:K02343	ctfs:CTRC342_01770
ko:K09747	ctfs:CTRC342_01775
ko:K11381	ctfs:CTRC342_01805
ko:K03686	ctfs:CTRC342_01810
ko:K02970	ctfs:CTRC342_01815
ko:K01338	ctfs:CTRC342_01825
ko:K03733	ctfs:CTRC342_01840
ko:K06287	ctfs:CTRC342_01850
ko:K03075	ctfs:CTRC342_01865
ko:K01462	ctfs:CTRC342_01870
ko:K02528	ctfs:CTRC342_01875
ko:K06888	ctfs:CTRC342_01885
ko:K03523	ctfs:CTRC342_01905
ko:K01714	ctfs:CTRC342_01920
ko:K00928	ctfs:CTRC342_01925
ko:K00133	ctfs:CTRC342_01930
ko:K00215	ctfs:CTRC342_01935
ko:K00800	ctfs:CTRC342_01945
ko:K00891	ctfs:CTRC342_01950
ko:K01736	ctfs:CTRC342_01955
ko:K01735	ctfs:CTRC342_01960
ko:K13832	ctfs:CTRC342_01965
ko:K03758	ctfs:CTRC342_01985
ko:K00024	ctfs:CTRC342_01995
ko:K01810	ctfs:CTRC342_02005
ko:K03665	ctfs:CTRC342_02010
ko:K06167	ctfs:CTRC342_02015
ko:K09996	ctfs:CTRC342_02020
ko:K06966	ctfs:CTRC342_02050
ko:K09131	ctfs:CTRC342_02055
ko:K10206	ctfs:CTRC342_02065
ko:K01881	ctfs:CTRC342_02080
ko:K03705	ctfs:CTRC342_02085
ko:K03687	ctfs:CTRC342_02090
ko:K04043	ctfs:CTRC342_02095
ko:K12573	ctfs:CTRC342_02100
ko:K07164	ctfs:CTRC342_02105
ko:K06041	ctfs:CTRC342_02110
ko:K00658	ctfs:CTRC342_02115
ko:K00912	ctfs:CTRC342_02125
ko:K03437	ctfs:CTRC342_02130
ko:K06969	ctfs:CTRC342_02135
ko:K00793	ctfs:CTRC342_02140
ko:K07738	ctfs:CTRC342_02145
ko:K06204	ctfs:CTRC342_02150
ko:K03101	ctfs:CTRC342_02155
ko:K03310	ctfs:CTRC342_02160
ko:K00748	ctfs:CTRC342_02170
ko:K09817	ctfs:CTRC342_02195
ko:K09816	ctfs:CTRC342_02200
ko:K03979	ctfs:CTRC342_02205
ko:K02899	ctfs:CTRC342_02210
ko:K02888	ctfs:CTRC342_02215
ko:K07042	ctfs:CTRC342_02235
ko:K03183	ctfs:CTRC342_02265
ko:K14234	ctfs:CTRC342_t04944
ko:K02455	ctfs:CTRC342_03045
ko:K02453	ctfs:CTRC342_03055
ko:K03572	ctfs:CTRC342_03070
ko:K01868	ctfs:CTRC342_03105
ko:K01867	ctfs:CTRC342_03125
ko:K03702	ctfs:CTRC342_03130
ko:K01689	ctfs:CTRC342_03135
ko:K00240	ctfs:CTRC342_03155
ko:K03424	ctfs:CTRC342_03175
ko:K03562	ctfs:CTRC342_03185
ko:K03641	ctfs:CTRC342_03200
ko:K03640	ctfs:CTRC342_03205
ko:K03648	ctfs:CTRC342_03245
ko:K03657	ctfs:CTRC342_03250
ko:K03092	ctfs:CTRC342_03255
ko:K06137	ctfs:CTRC342_03260
ko:K13941	ctfs:CTRC342_03275
ko:K01633	ctfs:CTRC342_03280
ko:K03086	ctfs:CTRC342_03285
ko:K02968	ctfs:CTRC342_03295
ko:K14225	ctfs:CTRC342_t04950
ko:K14228	ctfs:CTRC342_t04928
ko:K03210	ctfs:CTRC342_04145
ko:K01599	ctfs:CTRC342_04180
ko:K03723	ctfs:CTRC342_04185
ko:K01872	ctfs:CTRC342_04190
ko:K00615	ctfs:CTRC342_04200
ko:K01241	ctfs:CTRC342_04205
ko:K02356	ctfs:CTRC342_04215
ko:K01929	ctfs:CTRC342_04235
ko:K01000	ctfs:CTRC342_04240
ko:K01925	ctfs:CTRC342_04245
ko:K03588	ctfs:CTRC342_04255
ko:K02563	ctfs:CTRC342_04260
ko:K06960	ctfs:CTRC342_04270
ko:K14232	ctfs:CTRC342_t04894
ko:K14237	ctfs:CTRC342_t04910
ko:K14230	ctfs:CTRC342_t04906
ko:K01358	ctfs:CTRC342_02280
ko:K00600	ctfs:CTRC342_02285
ko:K01770	ctfs:CTRC342_02300
ko:K02946	ctfs:CTRC342_02310
ko:K02355	ctfs:CTRC342_02315
ko:K02992	ctfs:CTRC342_02320
ko:K02950	ctfs:CTRC342_02325
ko:K03797	ctfs:CTRC342_02335
ko:K07462	ctfs:CTRC342_02375
ko:K12257	ctfs:CTRC342_02385
ko:K00806	ctfs:CTRC342_02400
ko:K00981	ctfs:CTRC342_02410
ko:K00945	ctfs:CTRC342_02415
ko:K00655	ctfs:CTRC342_02420
ko:K01255	ctfs:CTRC342_00240
ko:K02340	ctfs:CTRC342_00250
ko:K07056	ctfs:CTRC342_00255
ko:K00164	ctfs:CTRC342_00285
ko:K00658	ctfs:CTRC342_00290
ko:K05810	ctfs:CTRC342_00295
ko:K03526	ctfs:CTRC342_00300
ko:K02400	ctfs:CTRC342_00315
ko:K02405	ctfs:CTRC342_00320
ko:K01866	ctfs:CTRC342_00325
ko:K03596	ctfs:CTRC342_00335
ko:K03301	ctfs:CTRC342_00340
ko:K00099	ctfs:CTRC342_00375
ko:K03629	ctfs:CTRC342_00390
ko:K02338	ctfs:CTRC342_00395
ko:K01977	ctfs:CTRC342_r04972
ko:K01977	ctfs:CTRC342_r04974
ko:K01977	ctfs:CTRC342_r04976
ko:K14220	ctfs:CTRC342_t04892
ko:K14234	ctfs:CTRC342_t04896
ko:K14234	ctfs:CTRC342_t04914
ko:K14236	ctfs:CTRC342_t04898
ko:K01507	ctfs:CTRC342_04315
ko:K01082	ctfs:CTRC342_04325
ko:K01909	ctfs:CTRC342_04335
ko:K00652	ctfs:CTRC342_04340
ko:K01408	ctfs:CTRC342_04500
ko:K02342	ctfs:CTRC342_02865
ko:K07258	ctfs:CTRC342_02945
ko:K03227	ctfs:CTRC342_03010
ko:K01679	ctfs:CTRC342_04775
ko:K14225	ctfs:CTRC342_t04952
ko:K04763	ctfs:CTRC342_04825
ko:K00700	ctfs:CTRC342_04835
ko:K02454	ctfs:CTRC342_03050
ko:K01262	ctfs:CTRC342_03065
ko:K07315	ctfs:CTRC342_03140
ko:K00241	ctfs:CTRC342_03170
ko:K03386	ctfs:CTRC342_03220
ko:K02428	ctfs:CTRC342_03235
ko:K00813	ctfs:CTRC342_03410
ko:K01934	ctfs:CTRC342_03475
ko:K14221	ctfs:CTRC342_t04908
ko:K00970	ctfs:CTRC342_03785
ko:K01596	ctfs:CTRC342_03820
ko:K00972	ctfs:CTRC342_03845
ko:K01834	ctfs:CTRC342_03885
ko:K06910	ctfs:CTRC342_03960
ko:K07117	ctfs:CTRC342_03965
ko:K00059	ctfs:CTRC342_01255
ko:K07052	ctfs:CTRC342_01345
ko:K02342	ctfs:CTRC342_01385
ko:K02806	ctfs:CTRC342_01535
ko:K02806	ctfs:CTRC342_01540
ko:K02124	ctfs:CTRC342_01600
ko:K02123	ctfs:CTRC342_01605
ko:K02120	ctfs:CTRC342_01610
ko:K02118	ctfs:CTRC342_01615
ko:K02117	ctfs:CTRC342_01620
ko:K02121	ctfs:CTRC342_01630
ko:K00616	ctfs:CTRC342_01645
ko:K08483	ctfs:CTRC342_01780
ko:K11189	ctfs:CTRC342_01785
ko:K00784	ctfs:CTRC342_01835
ko:K03856	ctfs:CTRC342_02025
ko:K00970	ctfs:CTRC342_02165
ko:K09815	ctfs:CTRC342_02190
ko:K01719	ctfs:CTRC342_02295
ko:K00380	ctfs:CTRC342_02305
ko:K01885	ctfs:CTRC342_02365
ko:K07098	ctfs:CTRC342_02460
ko:K00033	ctfs:CTRC342_00330
ko:K11707	ctfs:CTRC342_00355
ko:K11710	ctfs:CTRC342_00360
ko:K11708	ctfs:CTRC342_00365
ko:K11709	ctfs:CTRC342_00370
ko:K03177	ctfs:CTRC342_00490
ko:K06179	ctfs:CTRC342_00560
ko:K00939	ctfs:CTRC342_00685
ko:K02028	ctfs:CTRC342_00695
ko:K02035	ctfs:CTRC342_00745
ko:K06889	ctfs:CTRC342_00800
ko:K02035	ctfs:CTRC342_00940
ko:K02049	ctfs:CTRC342_00965
ko:K01409	ctfs:CTRC342_01050
ko:K15582	ctfs:CTRC342_01065
ko:K10823	ctfs:CTRC342_01070
ko:K15583	ctfs:CTRC342_01075
ko:K06889	ctfs:CTRC342_01095
ko:K00351	ctfs:CTRC342_04140
ko:K00231	ctfs:CTRC342_04170
ko:K00567	ctfs:CTRC342_02545
ko:K02033	ctfs:CTRC342_02555
ko:K02035	ctfs:CTRC342_02560
ko:K02030	ctfs:CTRC342_02605
ko:K07491	ctfs:CTRC342_04125
ko:K14237	ctfs:CTRC342_t04960
ko:K02433	ctfs:CTRC342_00020
ko:K03471	ctfs:CTRC342_00050
ko:K01840	ctfs:CTRC342_01560
ko:K06972	ctfs:CTRC342_04605
ko:K11645	ctfs:CTRC342_01140
ko:K08274	ctfs:CTRC342_02000
ko:K07081	ctfs:CTRC342_02260
ko:K18476	ctfs:CTRC342_04120
ko:K08275	ctfs:CTRC342_00420
ko:K01802	ctfs:CTRC342_02890
ko:K03309	ctfs:CTRC342_02120
ko:K08719	ctfs:CTRC342_03835
ko:K01921	ctfs:CTRC342_04265
ko:K01924	ctfs:CTRC342_04265
ko:K01829	ctfs:CTRC342_04355
ko:K01829	ctfs:CTRC342_04370
ko:K07033	ctfs:CTRC342_03685
ko:K01214	ctfs:CTRC342_00225
ko:K07171	ctfs:CTRC342_04065
ko:K03825	ctfs:CTRC342_02445
ko:K03496	ctfs:CTRC342_03110
ko:K03497	ctfs:CTRC342_03705
ko:K03111	ctfs:CTRC342_00235
ko:K02626	ctfs:CTRC342_01980
ko:K11991	ctfs:CTRC342_04710
ko:K04771	ctfs:CTRC342_04600
ko:K19411	ctfs:CTRC342_03630
ko:K07496	ctfs:CTRC342_04130
ko:K02031	ctfs:CTRC342_03715
ko:K07125	ctfs:CTRC342_01710
ko:K22100	ctfs:CTRC342_01730
ko:K12132	ctfs:CTRC342_01585
ko:K20265	ctfs:CTRC342_01145
ko:K20074	ctfs:CTRC342_01370
ko:K11749	ctfs:CTRC342_00380
ko:K22099	ctfs:CTRC342_03265
ko:K00526	ctfs:CTRC342_04625
ko:K02335	ctfs:CTRC342_02640
ko:K02316	ctfs:CTRC342_04425
ko:K02314	ctfs:CTRC342_02670
ko:K00287	ctfs:CTRC342_03270
ko:K03553	ctfs:CTRC342_03485
ko:K01520	ctfs:CTRC342_01545
ko:K02032	ctfs:CTRC342_03710
ko:K00525	ctfs:CTRC342_04620
ko:K02050	ctfs:CTRC342_04770
ko:K02051	ctfs:CTRC342_04770
ko:K01534	ctfs:CTRC342_03915
ko:K16239	ctfs:CTRC342_00440
