ko:K18918	cfp:CR44_02500
ko:K03833	cfp:CR44_07635
ko:K03981	cfp:CR44_07640
ko:K15898	cfp:CR44_07675
ko:K00262	cfp:CR44_07680
ko:K11782	cfp:CR44_07685
ko:K00761	cfp:CR44_07690
ko:K00029	cfp:CR44_07695
ko:K01885	cfp:CR44_07705
ko:K01961	cfp:CR44_07715
ko:K02160	cfp:CR44_07720
ko:K02018	cfp:CR44_07725
ko:K02020	cfp:CR44_07730
ko:K01494	cfp:CR44_07735
ko:K15895	cfp:CR44_07740
ko:K11473	cfp:CR44_07745
ko:K00286	cfp:CR44_07750
ko:K00611	cfp:CR44_07770
ko:K01698	cfp:CR44_07775
ko:K01497	cfp:CR44_07780
ko:K03501	cfp:CR44_07785
ko:K06950	cfp:CR44_07790
ko:K03799	cfp:CR44_07800
ko:K01775	cfp:CR44_07805
ko:K06891	cfp:CR44_03560
ko:K03177	cfp:CR44_03585
ko:K11605	cfp:CR44_03630
ko:K03210	cfp:CR44_03650
ko:K01869	cfp:CR44_03670
ko:K02946	cfp:CR44_00160
ko:K02906	cfp:CR44_00165
ko:K02926	cfp:CR44_00170
ko:K02892	cfp:CR44_00175
ko:K02886	cfp:CR44_00180
ko:K02965	cfp:CR44_00185
ko:K02890	cfp:CR44_00190
ko:K02982	cfp:CR44_00195
ko:K02878	cfp:CR44_00200
ko:K02904	cfp:CR44_00205
ko:K02961	cfp:CR44_00210
ko:K02874	cfp:CR44_00215
ko:K02895	cfp:CR44_00220
ko:K02931	cfp:CR44_00225
ko:K02954	cfp:CR44_00230
ko:K02994	cfp:CR44_00235
ko:K02933	cfp:CR44_00240
ko:K02881	cfp:CR44_00245
ko:K02988	cfp:CR44_00250
ko:K03149	cfp:CR44_00415
ko:K03150	cfp:CR44_00420
ko:K00963	cfp:CR44_00430
ko:K01810	cfp:CR44_00435
ko:K04047	cfp:CR44_00440
ko:K01935	cfp:CR44_00455
ko:K02169	cfp:CR44_00460
ko:K09789	cfp:CR44_00465
ko:K00652	cfp:CR44_00470
ko:K00946	cfp:CR44_00480
ko:K06176	cfp:CR44_00485
ko:K02422	cfp:CR44_00495
ko:K02407	cfp:CR44_00500
ko:K06603	cfp:CR44_00505
ko:K02394	cfp:CR44_00520
ko:K02396	cfp:CR44_00540
ko:K15778	cfp:CR44_00550
ko:K00971	cfp:CR44_00555
ko:K01745	cfp:CR44_00710
ko:K03637	cfp:CR44_00750
ko:K07792	cfp:CR44_00770
ko:K17938	cfp:CR44_00775
ko:K03303	cfp:CR44_00785
ko:K07234	cfp:CR44_00820
ko:K02049	cfp:CR44_00825
ko:K02050	cfp:CR44_00830
ko:K02051	cfp:CR44_00835
ko:K02014	cfp:CR44_00840
ko:K00330	cfp:CR44_00845
ko:K00331	cfp:CR44_00850
ko:K13378	cfp:CR44_00855
ko:K00334	cfp:CR44_00860
ko:K03750	cfp:CR44_01005
ko:K03406	cfp:CR44_01010
ko:K03635	cfp:CR44_01020
ko:K03636	cfp:CR44_01025
ko:K01703	cfp:CR44_01035
ko:K03752	cfp:CR44_01040
ko:K01058	cfp:CR44_01045
ko:K01689	cfp:CR44_01060
ko:K11785	cfp:CR44_01070
ko:K02420	cfp:CR44_01075
ko:K00075	cfp:CR44_01080
ko:K00981	cfp:CR44_01100
ko:K00099	cfp:CR44_01105
ko:K01409	cfp:CR44_01120
ko:K00791	cfp:CR44_01130
ko:K03179	cfp:CR44_01135
ko:K08325	cfp:CR44_01160
ko:K01737	cfp:CR44_01165
ko:K09761	cfp:CR44_01180
ko:K02556	cfp:CR44_01195
ko:K02557	cfp:CR44_01200
ko:K00940	cfp:CR44_01210
ko:K02911	cfp:CR44_01220
ko:K03621	cfp:CR44_01225
ko:K00648	cfp:CR44_01230
ko:K08591	cfp:CR44_01245
ko:K01633	cfp:CR44_01250
ko:K02484	cfp:CR44_01260
ko:K01524	cfp:CR44_01270
ko:K05540	cfp:CR44_01280
ko:K06204	cfp:CR44_01290
ko:K00783	cfp:CR44_01295
ko:K01963	cfp:CR44_01300
ko:K03386	cfp:CR44_01305
ko:K00831	cfp:CR44_01315
ko:K03601	cfp:CR44_01320
ko:K03183	cfp:CR44_01325
ko:K01993	cfp:CR44_01340
ko:K01992	cfp:CR44_01350
ko:K09825	cfp:CR44_01360
ko:K01662	cfp:CR44_01365
ko:K02411	cfp:CR44_01370
ko:K02410	cfp:CR44_01375
ko:K02409	cfp:CR44_01380
ko:K00817	cfp:CR44_01385
ko:K14170	cfp:CR44_01390
ko:K02566	cfp:CR44_01395
ko:K01586	cfp:CR44_01400
ko:K11720	cfp:CR44_01405
ko:K02428	cfp:CR44_01415
ko:K02014	cfp:CR44_01420
ko:K02016	cfp:CR44_01430
ko:K02015	cfp:CR44_01435
ko:K02013	cfp:CR44_01440
ko:K03561	cfp:CR44_01450
ko:K03559	cfp:CR44_01455
ko:K03832	cfp:CR44_01460
ko:K00290	cfp:CR44_01465
ko:K00677	cfp:CR44_01620
ko:K03544	cfp:CR44_01625
ko:K03569	cfp:CR44_01630
ko:K03570	cfp:CR44_01635
ko:K01955	cfp:CR44_01640
ko:K03813	cfp:CR44_01645
ko:K03406	cfp:CR44_01655
ko:K03787	cfp:CR44_01670
ko:K00748	cfp:CR44_01675
ko:K03624	cfp:CR44_01690
ko:K00145	cfp:CR44_01695
ko:K03269	cfp:CR44_01700
ko:K03415	cfp:CR44_01705
ko:K03407	cfp:CR44_01710
ko:K03408	cfp:CR44_01715
ko:K01079	cfp:CR44_01720
ko:K00616	cfp:CR44_01725
ko:K02669	cfp:CR44_01730
ko:K02897	cfp:CR44_01735
ko:K01056	cfp:CR44_01740
ko:K13747	cfp:CR44_01745
ko:K01008	cfp:CR44_01755
ko:K02401	cfp:CR44_01765
ko:K01956	cfp:CR44_01925
ko:K09792	cfp:CR44_01930
ko:K00404	cfp:CR44_01945
ko:K00405	cfp:CR44_01950
ko:K00407	cfp:CR44_01955
ko:K00406	cfp:CR44_01960
ko:K03582	cfp:CR44_01990
ko:K02871	cfp:CR44_01995
ko:K02996	cfp:CR44_02000
ko:K03286	cfp:CR44_02005
ko:K03442	cfp:CR44_02010
ko:K01091	cfp:CR44_02015
ko:K03737	cfp:CR44_02020
ko:K01999	cfp:CR44_02055
ko:K01997	cfp:CR44_02060
ko:K01998	cfp:CR44_02065
ko:K01995	cfp:CR44_02070
ko:K03532	cfp:CR44_02210
ko:K03673	cfp:CR44_02225
ko:K03611	cfp:CR44_02230
ko:K02014	cfp:CR44_02235
ko:K00376	cfp:CR44_02260
ko:K07218	cfp:CR44_02270
ko:K02573	cfp:CR44_02275
ko:K02574	cfp:CR44_02290
ko:K02484	cfp:CR44_02315
ko:K12340	cfp:CR44_02345
ko:K07133	cfp:CR44_02375
ko:K00606	cfp:CR44_02395
ko:K03551	cfp:CR44_02405
ko:K02066	cfp:CR44_02415
ko:K02065	cfp:CR44_02420
ko:K02067	cfp:CR44_02425
ko:K07042	cfp:CR44_02435
ko:K06218	cfp:CR44_02495
ko:K04485	cfp:CR44_02555
ko:K03110	cfp:CR44_02560
ko:K03406	cfp:CR44_02890
ko:K03438	cfp:CR44_02915
ko:K01628	cfp:CR44_02920
ko:K03770	cfp:CR44_02925
ko:K03590	cfp:CR44_02930
ko:K03531	cfp:CR44_02935
ko:K03634	cfp:CR44_02955
ko:K03070	cfp:CR44_02960
ko:K02004	cfp:CR44_02965
ko:K08224	cfp:CR44_02980
ko:K00769	cfp:CR44_02985
ko:K06901	cfp:CR44_02990
ko:K18285	cfp:CR44_02995
ko:K00990	cfp:CR44_03000
ko:K00820	cfp:CR44_03005
ko:K07112	cfp:CR44_03010
ko:K01776	cfp:CR44_03020
ko:K03182	cfp:CR44_03025
ko:K02237	cfp:CR44_03050
ko:K03743	cfp:CR44_03105
ko:K01870	cfp:CR44_03115
ko:K02433	cfp:CR44_03125
ko:K00088	cfp:CR44_03130
ko:K00641	cfp:CR44_03135
ko:K03602	cfp:CR44_03140
ko:K01924	cfp:CR44_03150
ko:K02049	cfp:CR44_03165
ko:K02050	cfp:CR44_03170
ko:K02051	cfp:CR44_03175
ko:K02338	cfp:CR44_00010
ko:K02470	cfp:CR44_00015
ko:K09457	cfp:CR44_00025
ko:K07023	cfp:CR44_00030
ko:K02390	cfp:CR44_00040
ko:K02389	cfp:CR44_00045
ko:K07552	cfp:CR44_00055
ko:K06207	cfp:CR44_00060
ko:K07133	cfp:CR44_00070
ko:K03470	cfp:CR44_00075
ko:K09799	cfp:CR44_00080
ko:K02010	cfp:CR44_00085
ko:K07126	cfp:CR44_00090
ko:K16264	cfp:CR44_00095
ko:K04069	cfp:CR44_00115
ko:K00573	cfp:CR44_00150
ko:K04564	cfp:CR44_00155
ko:K02313	cfp:CR44_00005
ko:K03076	cfp:CR44_00260
ko:K01265	cfp:CR44_00265
ko:K02518	cfp:CR44_00270
ko:K02919	cfp:CR44_00290
ko:K02952	cfp:CR44_00295
ko:K02948	cfp:CR44_00300
ko:K02986	cfp:CR44_00305
ko:K03040	cfp:CR44_00310
ko:K02879	cfp:CR44_00315
ko:K01928	cfp:CR44_00330
ko:K01579	cfp:CR44_00335
ko:K03406	cfp:CR44_00340
ko:K09747	cfp:CR44_00345
ko:K00795	cfp:CR44_00355
ko:K00615	cfp:CR44_00360
ko:K07248	cfp:CR44_00370
ko:K06200	cfp:CR44_00380
ko:K03154	cfp:CR44_00385
ko:K13796	cfp:CR44_00400
ko:K13795	cfp:CR44_00405
ko:K03148	cfp:CR44_00410
ko:K02876	cfp:CR44_00255
ko:K06920	cfp:CR44_00560
ko:K01885	cfp:CR44_00565
ko:K02221	cfp:CR44_00570
ko:K08309	cfp:CR44_00575
ko:K03839	cfp:CR44_00595
ko:K07173	cfp:CR44_00600
ko:K03648	cfp:CR44_00605
ko:K02887	cfp:CR44_00610
ko:K02916	cfp:CR44_00615
ko:K02012	cfp:CR44_00620
ko:K02011	cfp:CR44_00625
ko:K18139	cfp:CR44_00630
ko:K18138	cfp:CR44_00635
ko:K03585	cfp:CR44_00640
ko:K02970	cfp:CR44_00655
ko:K08315	cfp:CR44_00660
ko:K15831	cfp:CR44_00675
ko:K12141	cfp:CR44_00685
ko:K12140	cfp:CR44_00690
ko:K00337	cfp:CR44_00875
ko:K00338	cfp:CR44_00880
ko:K00339	cfp:CR44_00885
ko:K00340	cfp:CR44_00890
ko:K00341	cfp:CR44_00895
ko:K00342	cfp:CR44_00900
ko:K00343	cfp:CR44_00905
ko:K02009	cfp:CR44_00910
ko:K02007	cfp:CR44_00915
ko:K16915	cfp:CR44_00920
ko:K02008	cfp:CR44_00925
ko:K02006	cfp:CR44_00930
ko:K03168	cfp:CR44_00935
ko:K01012	cfp:CR44_00940
ko:K01647	cfp:CR44_00950
ko:K01082	cfp:CR44_00955
ko:K02040	cfp:CR44_00960
ko:K02037	cfp:CR44_00965
ko:K02038	cfp:CR44_00970
ko:K02036	cfp:CR44_00975
ko:K03406	cfp:CR44_00985
ko:K07112	cfp:CR44_00990
ko:K03789	cfp:CR44_00995
ko:K01163	cfp:CR44_01000
ko:K03639	cfp:CR44_01150
ko:K02909	cfp:CR44_01475
ko:K07056	cfp:CR44_01480
ko:K03218	cfp:CR44_01485
ko:K14261	cfp:CR44_01500
ko:K00003	cfp:CR44_01505
ko:K07460	cfp:CR44_01510
ko:K03671	cfp:CR44_01515
ko:K00384	cfp:CR44_01520
ko:K00215	cfp:CR44_01530
ko:K00764	cfp:CR44_01535
ko:K11755	cfp:CR44_01550
ko:K00826	cfp:CR44_01560
ko:K01821	cfp:CR44_01590
ko:K03564	cfp:CR44_01595
ko:K09765	cfp:CR44_01605
ko:K02372	cfp:CR44_01615
ko:K03313	cfp:CR44_01770
ko:K03701	cfp:CR44_01775
ko:K07090	cfp:CR44_01780
ko:K07090	cfp:CR44_01785
ko:K01657	cfp:CR44_01805
ko:K13497	cfp:CR44_01810
ko:K01817	cfp:CR44_01815
ko:K01696	cfp:CR44_01820
ko:K01695	cfp:CR44_01825
ko:K02417	cfp:CR44_01835
ko:K02018	cfp:CR44_01850
ko:K02017	cfp:CR44_01855
ko:K02020	cfp:CR44_01865
ko:K02019	cfp:CR44_01870
ko:K04754	cfp:CR44_01875
ko:K07323	cfp:CR44_01880
ko:K07003	cfp:CR44_01885
ko:K04065	cfp:CR44_01890
ko:K01939	cfp:CR44_01905
ko:K09804	cfp:CR44_01920
ko:K01996	cfp:CR44_02075
ko:K01095	cfp:CR44_02090
ko:K00958	cfp:CR44_02095
ko:K12506	cfp:CR44_02105
ko:K03147	cfp:CR44_02110
ko:K03593	cfp:CR44_02115
ko:K00674	cfp:CR44_02120
ko:K00245	cfp:CR44_02130
ko:K00244	cfp:CR44_02135
ko:K00246	cfp:CR44_02140
ko:K13292	cfp:CR44_02145
ko:K02346	cfp:CR44_02155
ko:K17686	cfp:CR44_02160
ko:K03837	cfp:CR44_02175
ko:K03768	cfp:CR44_02185
ko:K11103	cfp:CR44_02190
ko:K11103	cfp:CR44_02195
ko:K07812	cfp:CR44_02205
ko:K03407	cfp:CR44_02390
ko:K01934	cfp:CR44_02570
ko:K18682	cfp:CR44_02575
ko:K02237	cfp:CR44_02615
ko:K00833	cfp:CR44_02625
ko:K10773	cfp:CR44_02630
ko:K01624	cfp:CR44_02640
ko:K02557	cfp:CR44_02650
ko:K00013	cfp:CR44_02660
ko:K02406	cfp:CR44_02670
ko:K03086	cfp:CR44_02675
ko:K02392	cfp:CR44_02680
ko:K02392	cfp:CR44_02685
ko:K07243	cfp:CR44_02690
ko:K07230	cfp:CR44_02695
ko:K02004	cfp:CR44_02705
ko:K02004	cfp:CR44_02710
ko:K02003	cfp:CR44_02715
ko:K12251	cfp:CR44_02735
ko:K03312	cfp:CR44_02740
ko:K07043	cfp:CR44_02745
ko:K15738	cfp:CR44_02770
ko:K03308	cfp:CR44_02775
ko:K06013	cfp:CR44_02780
ko:K02493	cfp:CR44_02785
ko:K07107	cfp:CR44_02800
ko:K03320	cfp:CR44_02820
ko:K04752	cfp:CR44_02825
ko:K02914	cfp:CR44_02830
ko:K03536	cfp:CR44_02835
ko:K03217	cfp:CR44_02845
ko:K06346	cfp:CR44_02850
ko:K03650	cfp:CR44_02855
ko:K01952	cfp:CR44_02860
ko:K05801	cfp:CR44_02865
ko:K00602	cfp:CR44_02870
ko:K07456	cfp:CR44_03190
ko:K06895	cfp:CR44_03200
ko:K01439	cfp:CR44_03205
ko:K00116	cfp:CR44_03210
ko:K00873	cfp:CR44_03220
ko:K03655	cfp:CR44_03230
ko:K01626	cfp:CR44_03235
ko:K00147	cfp:CR44_03240
ko:K00384	cfp:CR44_03245
ko:K06940	cfp:CR44_03260
ko:K01609	cfp:CR44_03270
ko:K09861	cfp:CR44_03280
ko:K07012	cfp:CR44_03355
ko:K15342	cfp:CR44_03365
ko:K01959	cfp:CR44_03395
ko:K03686	cfp:CR44_03410
ko:K03474	cfp:CR44_03415
ko:K00097	cfp:CR44_03420
ko:K03306	cfp:CR44_03425
ko:K02397	cfp:CR44_03430
ko:K03466	cfp:CR44_03435
ko:K02523	cfp:CR44_03450
ko:K02492	cfp:CR44_03455
