ko:K07497	shb:SU5_03256
ko:K01814	shb:SU5_02670
ko:K02500	shb:SU5_02671
ko:K11755	shb:SU5_02672
ko:K05789	shb:SU5_02673
ko:K00012	shb:SU5_02674
ko:K12452	shb:SU5_02684
ko:K01709	shb:SU5_02685
ko:K00978	shb:SU5_02686
ko:K01790	shb:SU5_02688
ko:K00973	shb:SU5_02689
ko:K00067	shb:SU5_02690
ko:K00963	shb:SU5_02692
ko:K03207	shb:SU5_02701
ko:K02377	shb:SU5_02702
ko:K01711	shb:SU5_02703
ko:K03818	shb:SU5_02704
ko:K13683	shb:SU5_02705
ko:K13684	shb:SU5_02707
ko:K03819	shb:SU5_02708
ko:K01991	shb:SU5_02712
ko:K07289	shb:SU5_02714
ko:K01494	shb:SU5_02715
ko:K00876	shb:SU5_02716
ko:K01247	shb:SU5_02718
ko:K04046	shb:SU5_02719
ko:K07799	shb:SU5_02720
ko:K07789	shb:SU5_02722
ko:K07642	shb:SU5_02724
ko:K07664	shb:SU5_02725
ko:K08303	shb:SU5_02729
ko:K00077	shb:SU5_03169
ko:K08177	shb:SU5_03170
ko:K00997	shb:SU5_03173
ko:K03474	shb:SU5_03174
ko:K03584	shb:SU5_03175
ko:K03685	shb:SU5_03177
ko:K03100	shb:SU5_03178
ko:K03596	shb:SU5_03179
ko:K03598	shb:SU5_03181
ko:K03597	shb:SU5_03182
ko:K03088	shb:SU5_03183
ko:K00278	shb:SU5_03184
ko:K05590	shb:SU5_03186
ko:K11249	shb:SU5_03188
ko:K03648	shb:SU5_03190
ko:K03672	shb:SU5_03192
ko:K00998	shb:SU5_03195
ko:K05811	shb:SU5_03196
ko:K03695	shb:SU5_03199
ko:K05810	shb:SU5_03200
ko:K06180	shb:SU5_03201
ko:K05807	shb:SU5_03202
ko:K05809	shb:SU5_03203
ko:K14170	shb:SU5_03204
ko:K14187	shb:SU5_03206
ko:K01626	shb:SU5_03207
ko:K02884	shb:SU5_03210
ko:K00554	shb:SU5_03211
ko:K02860	shb:SU5_03212
ko:K02959	shb:SU5_03213
ko:K03106	shb:SU5_03214
ko:K03687	shb:SU5_03217
ko:K00858	shb:SU5_03218
ko:K03631	shb:SU5_03219
ko:K06186	shb:SU5_03220
ko:K09801	shb:SU5_03221
ko:K03664	shb:SU5_03223
ko:K12543	shb:SU5_03225
ko:K12541	shb:SU5_03226
ko:K12542	shb:SU5_03227
ko:K02781	shb:SU5_03239
ko:K08094	shb:SU5_03244
ko:K06859	shb:SU5_03245
ko:K02406	shb:SU5_03258
ko:K09824	shb:SU5_03266
ko:K07241	shb:SU5_03268
ko:K03603	shb:SU5_02409
ko:K03314	shb:SU5_02410
ko:K03611	shb:SU5_02411
ko:K09160	shb:SU5_02414
ko:K09902	shb:SU5_02416
ko:K03610	shb:SU5_02417
ko:K03609	shb:SU5_02418
ko:K03608	shb:SU5_02419
ko:K03684	shb:SU5_02420
ko:K07285	shb:SU5_02422
ko:K09917	shb:SU5_02426
ko:K01665	shb:SU5_02427
ko:K01752	shb:SU5_02429
ko:K00563	shb:SU5_02437
ko:K03587	shb:SU5_02438
ko:K03704	shb:SU5_02439
ko:K08169	shb:SU5_02444
ko:K03799	shb:SU5_02445
ko:K03797	shb:SU5_02446
ko:K03607	shb:SU5_02447
ko:K03808	shb:SU5_02449
ko:K02231	shb:SU5_02612
ko:K02232	shb:SU5_02613
ko:K02007	shb:SU5_02617
ko:K03394	shb:SU5_02618
ko:K01879	shb:SU5_04131
ko:K01878	shb:SU5_04132
ko:K01805	shb:SU5_04137
ko:K02529	shb:SU5_04139
ko:K00835	shb:SU5_04142
ko:K08092	shb:SU5_04145
ko:K00880	shb:SU5_04151
ko:K09955	shb:SU5_04156
ko:K00138	shb:SU5_04157
ko:K03833	shb:SU5_04159
ko:K01042	shb:SU5_04160
ko:K00009	shb:SU5_04163
ko:K02562	shb:SU5_04164
ko:K14762	shb:SU5_04166
ko:K00427	shb:SU5_04169
ko:K14348	shb:SU5_04170
ko:K03216	shb:SU5_04172
ko:K06145	shb:SU5_04173
ko:K00640	shb:SU5_04176
ko:K00057	shb:SU5_04177
ko:K03071	shb:SU5_04178
ko:K15633	shb:SU5_04181
ko:K09798	shb:SU5_04183
ko:K01531	shb:SU5_04239
ko:K07507	shb:SU5_04240
ko:K07726	shb:SU5_04255
ko:K02774	shb:SU5_04260
ko:K02773	shb:SU5_04261
ko:K07783	shb:SU5_04265
ko:K02429	shb:SU5_04269
ko:K11534	shb:SU5_04271
ko:K01653	shb:SU5_04272
ko:K01652	shb:SU5_04273
ko:K13629	shb:SU5_04279
ko:K01753	shb:SU5_04280
ko:K06871	shb:SU5_04281
ko:K07085	shb:SU5_04284
ko:K04081	shb:SU5_04285
ko:K00820	shb:SU5_04336
ko:K04042	shb:SU5_04337
ko:K06890	shb:SU5_04338
ko:K02114	shb:SU5_04339
ko:K02112	shb:SU5_04340
ko:K02115	shb:SU5_04341
ko:K02111	shb:SU5_04342
ko:K02113	shb:SU5_04343
ko:K02109	shb:SU5_04344
ko:K02110	shb:SU5_04345
ko:K02108	shb:SU5_04346
ko:K03501	shb:SU5_04348
ko:K03495	shb:SU5_04349
ko:K00941	shb:SU5_02739
ko:K00878	shb:SU5_02740
ko:K01874	shb:SU5_02748
ko:K02478	shb:SU5_02753
ko:K05846	shb:SU5_02755
ko:K05847	shb:SU5_02756
ko:K05846	shb:SU5_02757
ko:K05845	shb:SU5_02758
ko:K05349	shb:SU5_02759
ko:K03777	shb:SU5_02760
ko:K07262	shb:SU5_02761
ko:K05541	shb:SU5_02766
ko:K00450	shb:SU5_02770
ko:K08195	shb:SU5_02771
ko:K10542	shb:SU5_02781
ko:K02529	shb:SU5_02783
ko:K07148	shb:SU5_02784
ko:K01495	shb:SU5_02785
ko:K01070	shb:SU5_02786
ko:K01752	shb:SU5_02788
ko:K07783	shb:SU5_02790
ko:K11733	shb:SU5_02792
ko:K01151	shb:SU5_02795
ko:K02769	shb:SU5_02796
ko:K02770	shb:SU5_02796
ko:K02768	shb:SU5_02798
ko:K11183	shb:SU5_02798
ko:K03291	shb:SU5_02801
ko:K06940	shb:SU5_02804
ko:K02356	shb:SU5_02805
ko:K13694	shb:SU5_02808
ko:K13893	shb:SU5_02810
ko:K13895	shb:SU5_02812
ko:K13896	shb:SU5_02813
ko:K07552	shb:SU5_02815
ko:K02897	shb:SU5_02818
ko:K06899	shb:SU5_02820
ko:K07014	shb:SU5_02821
ko:K07685	shb:SU5_02841
ko:K02199	shb:SU5_02843
ko:K02197	shb:SU5_02846
ko:K02196	shb:SU5_02847
ko:K02195	shb:SU5_02848
ko:K02194	shb:SU5_02849
ko:K02568	shb:SU5_02852
ko:K02573	shb:SU5_02854
ko:K02567	shb:SU5_02855
ko:K02570	shb:SU5_02856
ko:K02572	shb:SU5_02857
ko:K08276	shb:SU5_02858
ko:K06159	shb:SU5_02859
ko:K03919	shb:SU5_02860
ko:K10778	shb:SU5_02861
ko:K03734	shb:SU5_02862
ko:K09475	shb:SU5_02863
ko:K05895	shb:SU5_02620
ko:K02189	shb:SU5_02622
ko:K05936	shb:SU5_02623
ko:K02191	shb:SU5_02624
ko:K02188	shb:SU5_02626
ko:K06042	shb:SU5_02627
ko:K02227	shb:SU5_02628
ko:K02224	shb:SU5_02629
ko:K13919	shb:SU5_02635
ko:K13920	shb:SU5_02636
ko:K13922	shb:SU5_02645
ko:K04031	shb:SU5_02649
ko:K04029	shb:SU5_02650
ko:K09802	shb:SU5_02653
ko:K07470	shb:SU5_02655
ko:K08354	shb:SU5_02657
ko:K02939	shb:SU5_0463
ko:K07269	shb:SU5_0465
ko:K03773	shb:SU5_0466
ko:K11737	shb:SU5_0467
ko:K07322	shb:SU5_0468
ko:K07109	shb:SU5_0474
ko:K07278	shb:SU5_0478
ko:K09800	shb:SU5_0479
ko:K03841	shb:SU5_0484
ko:K02558	shb:SU5_0485
ko:K09889	shb:SU5_0486
ko:K03592	shb:SU5_0487
ko:K15536	shb:SU5_0488
ko:K01465	shb:SU5_0494
ko:K01042	shb:SU5_0495
ko:K02818	shb:SU5_0503
ko:K02819	shb:SU5_0503
ko:K03485	shb:SU5_0504
ko:K01531	shb:SU5_0505
ko:K00610	shb:SU5_0508
ko:K00609	shb:SU5_0509
ko:K00611	shb:SU5_0513
ko:K00926	shb:SU5_0514
ko:K05804	shb:SU5_0625
ko:K05805	shb:SU5_0626
ko:K07663	shb:SU5_0627
ko:K07641	shb:SU5_0628
ko:K06143	shb:SU5_0629
ko:K07347	shb:SU5_0632
ko:K12151	shb:SU5_01840
ko:K03723	shb:SU5_01842
ko:K09808	shb:SU5_01843
ko:K09808	shb:SU5_01845
ko:K12410	shb:SU5_01847
ko:K07637	shb:SU5_01856
ko:K01756	shb:SU5_01858
ko:K07153	shb:SU5_01859
ko:K00566	shb:SU5_01860
ko:K12152	shb:SU5_01861
ko:K06181	shb:SU5_01863
ko:K00031	shb:SU5_01864
ko:K07804	shb:SU5_01870
ko:K04080	shb:SU5_01873
ko:K02034	shb:SU5_01879
ko:K00873	shb:SU5_01995
ko:K03219	shb:SU5_02011
ko:K03220	shb:SU5_02012
ko:K03221	shb:SU5_02023
ko:K03230	shb:SU5_02030
ko:K03224	shb:SU5_02031
ko:K03225	shb:SU5_02034
ko:K03226	shb:SU5_02035
ko:K03228	shb:SU5_02037
ko:K03229	shb:SU5_02038
ko:K03327	shb:SU5_02039
ko:K00793	shb:SU5_02040
ko:K00574	shb:SU5_02041
ko:K02529	shb:SU5_02168
ko:K03315	shb:SU5_02169
ko:K14155	shb:SU5_02170
ko:K06044	shb:SU5_02172
ko:K02972	shb:SU5_02178
ko:K08349	shb:SU5_02182
ko:K02575	shb:SU5_02189
ko:K00675	shb:SU5_02196
ko:K11738	shb:SU5_02198
ko:K09978	shb:SU5_02255
ko:K03778	shb:SU5_02259
ko:K03737	shb:SU5_02262
ko:K14058	shb:SU5_02265
ko:K05591	shb:SU5_02266
ko:K14055	shb:SU5_02272
ko:K15580	shb:SU5_02288
ko:K14054	shb:SU5_02289
ko:K11065	shb:SU5_02291
ko:K03721	shb:SU5_02292
ko:K08990	shb:SU5_02293
ko:K06918	shb:SU5_02294
ko:K03971	shb:SU5_02296
ko:K03970	shb:SU5_02298
ko:K03969	shb:SU5_02299
ko:K03974	shb:SU5_02300
ko:K07001	shb:SU5_02361
ko:K09858	shb:SU5_02362
ko:K01433	shb:SU5_02363
ko:K00373	shb:SU5_02366
ko:K00371	shb:SU5_02367
ko:K00370	shb:SU5_02368
ko:K02575	shb:SU5_02369
ko:K07673	shb:SU5_02370
ko:K07300	shb:SU5_02375
ko:K01627	shb:SU5_02376
ko:K02493	shb:SU5_02379
ko:K02835	shb:SU5_02380
ko:K02492	shb:SU5_02381
ko:K02494	shb:SU5_02382
ko:K00919	shb:SU5_02383
ko:K00948	shb:SU5_02384
ko:K03321	shb:SU5_02385
ko:K01056	shb:SU5_02387
ko:K06942	shb:SU5_02388
ko:K03620	shb:SU5_02393
ko:K03619	shb:SU5_02395
ko:K03618	shb:SU5_02396
ko:K00425	shb:SU5_02397
ko:K00426	shb:SU5_02398
ko:K00261	shb:SU5_02399
ko:K01194	shb:SU5_02400
ko:K08308	shb:SU5_02403
ko:K01775	shb:SU5_02406
ko:K00285	shb:SU5_02407
ko:K07136	shb:SU5_02515
ko:K15256	shb:SU5_02516
ko:K15257	shb:SU5_02517
ko:K09907	shb:SU5_02519
ko:K01887	shb:SU5_02520
ko:K05515	shb:SU5_02521
ko:K15532	shb:SU5_02522
ko:K03516	shb:SU5_02523
ko:K02400	shb:SU5_02524
ko:K02401	shb:SU5_02525
ko:K03414	shb:SU5_02526
ko:K03413	shb:SU5_02527
ko:K03412	shb:SU5_02528
ko:K03408	shb:SU5_02531
ko:K03407	shb:SU5_02532
ko:K02557	shb:SU5_02533
ko:K02556	shb:SU5_02534
ko:K02402	shb:SU5_02535
ko:K02403	shb:SU5_02536
ko:K14064	shb:SU5_02537
ko:K00697	shb:SU5_02538
ko:K01087	shb:SU5_02539
ko:K02255	shb:SU5_02542
ko:K02217	shb:SU5_02545
ko:K03834	shb:SU5_02547
ko:K07039	shb:SU5_02548
ko:K00995	shb:SU5_02550
ko:K03703	shb:SU5_02551
ko:K10010	shb:SU5_02555
ko:K10009	shb:SU5_02556
ko:K02424	shb:SU5_02559
ko:K02425	shb:SU5_02560
ko:K02405	shb:SU5_02561
ko:K03225	shb:SU5_03372
ko:K03230	shb:SU5_03377
ko:K07314	shb:SU5_03387
ko:K03555	shb:SU5_03388
ko:K03186	shb:SU5_03400
ko:K06194	shb:SU5_03406
ko:K00573	shb:SU5_03407
ko:K03787	shb:SU5_03408
ko:K06176	shb:SU5_03409
ko:K01770	shb:SU5_03410
ko:K00991	shb:SU5_03411
ko:K05589	shb:SU5_03412
ko:K00860	shb:SU5_03414
ko:K00957	shb:SU5_03416
ko:K09612	shb:SU5_03417
ko:K15342	shb:SU5_03419
ko:K00390	shb:SU5_03427
ko:K00381	shb:SU5_03428
ko:K01737	shb:SU5_03430
ko:K10026	shb:SU5_03432
ko:K01689	shb:SU5_03433
ko:K01937	shb:SU5_03434
ko:K03215	shb:SU5_03447
ko:K07678	shb:SU5_03448
ko:K00865	shb:SU5_03449
ko:K01706	shb:SU5_03450
ko:K13918	shb:SU5_03451
ko:K06175	shb:SU5_03454
ko:K15723	shb:SU5_03456
ko:K06879	shb:SU5_03457
ko:K06966	shb:SU5_03458
ko:K03837	shb:SU5_03459
ko:K01752	shb:SU5_03460
ko:K01146	shb:SU5_03461
ko:K00048	shb:SU5_03462
ko:K01628	shb:SU5_03463
ko:K02429	shb:SU5_03465
ko:K01818	shb:SU5_03466
ko:K02431	shb:SU5_03468
ko:K02430	shb:SU5_03469
ko:K06968	shb:SU5_03470
ko:K01766	shb:SU5_03474
ko:K02426	shb:SU5_03475
ko:K08304	shb:SU5_03478
ko:K01448	shb:SU5_03479
ko:K14682	shb:SU5_03480
ko:K03581	shb:SU5_03481
ko:K03582	shb:SU5_03482
ko:K01407	shb:SU5_03483
ko:K03583	shb:SU5_03484
ko:K02681	shb:SU5_03485
ko:K02680	shb:SU5_03487
ko:K02679	shb:SU5_03488
ko:K13292	shb:SU5_03490
ko:K08484	shb:SU5_03491
ko:K08311	shb:SU5_03492
ko:K03573	shb:SU5_03493
ko:K08227	shb:SU5_03497
ko:K05939	shb:SU5_03498
ko:K02529	shb:SU5_03500
ko:K01586	shb:SU5_03502
ko:K01815	shb:SU5_03507
ko:K08094	shb:SU5_03524
ko:K07773	shb:SU5_0637
ko:K12524	shb:SU5_0639
ko:K00872	shb:SU5_0640
ko:K01733	shb:SU5_0641
ko:K09861	shb:SU5_0642
ko:K03310	shb:SU5_0643
ko:K03831	shb:SU5_0645
ko:K04043	shb:SU5_0649
ko:K03686	shb:SU5_0650
ko:K07347	shb:SU5_0660
ko:K06871	shb:SU5_0672
ko:K03313	shb:SU5_0676
ko:K03717	shb:SU5_0677
ko:K01811	shb:SU5_0678
ko:K02968	shb:SU5_0680
ko:K11753	shb:SU5_0681
ko:K01870	shb:SU5_0682
ko:K03101	shb:SU5_0683
ko:K00382	shb:SU5_0789
ko:K01682	shb:SU5_0793
ko:K09910	shb:SU5_0801
ko:K02526	shb:SU5_0802
ko:K01611	shb:SU5_0807
ko:K00797	shb:SU5_0808
ko:K14588	shb:SU5_0810
ko:K00117	shb:SU5_0811
ko:K00760	shb:SU5_0812
ko:K01673	shb:SU5_0813
ko:K07347	shb:SU5_0817
ko:K01579	shb:SU5_0829
ko:K01918	shb:SU5_0830
ko:K00606	shb:SU5_0831
ko:K00950	shb:SU5_0832
ko:K01894	shb:SU5_0834
ko:K06204	shb:SU5_0835
ko:K06206	shb:SU5_0836
ko:K01975	shb:SU5_0837
ko:K03579	shb:SU5_0838
ko:K05365	shb:SU5_0839
ko:K02013	shb:SU5_0841
ko:K02016	shb:SU5_0842
ko:K02015	shb:SU5_0843
ko:K06222	shb:SU5_0898
ko:K08307	shb:SU5_0903
ko:K11902	shb:SU5_0908
ko:K11895	shb:SU5_0909
ko:K11896	shb:SU5_0910
ko:K11897	shb:SU5_0911
ko:K11898	shb:SU5_0912
ko:K11907	shb:SU5_0914
ko:K11901	shb:SU5_0915
ko:K11900	shb:SU5_0916
ko:K11903	shb:SU5_0918
ko:K11903	shb:SU5_0921
ko:K11906	shb:SU5_0922
ko:K11893	shb:SU5_0923
ko:K11892	shb:SU5_0924
ko:K11891	shb:SU5_0927
ko:K11890	shb:SU5_0928
ko:K03271	shb:SU5_0946
ko:K02346	shb:SU5_0949
ko:K01703	shb:SU5_01025
ko:K01704	shb:SU5_01026
ko:K07347	shb:SU5_01033
ko:K07345	shb:SU5_01035
ko:K00425	shb:SU5_01053
ko:K00426	shb:SU5_01054
ko:K03329	shb:SU5_01057
ko:K02688	shb:SU5_01059
ko:K01720	shb:SU5_01062
ko:K01908	shb:SU5_01063
ko:K01698	shb:SU5_01064
ko:K11083	shb:SU5_01119
ko:K11084	shb:SU5_01120
ko:K11081	shb:SU5_01121
ko:K03430	shb:SU5_01123
ko:K05306	shb:SU5_01124
ko:K03152	shb:SU5_01125
ko:K00077	shb:SU5_01126
ko:K09767	shb:SU5_01127
ko:K02300	shb:SU5_01132
ko:K02299	shb:SU5_01133
ko:K02298	shb:SU5_01134
ko:K02297	shb:SU5_01135
ko:K08218	shb:SU5_01136
ko:K07286	shb:SU5_01137
ko:K05527	shb:SU5_01138
ko:K03545	shb:SU5_01139
ko:K01358	shb:SU5_01140
ko:K03544	shb:SU5_01141
ko:K01338	shb:SU5_01142
ko:K03530	shb:SU5_01143
ko:K03770	shb:SU5_01144
ko:K02237	shb:SU5_01145
ko:K12500	shb:SU5_01146
ko:K06920	shb:SU5_01147
ko:K11938	shb:SU5_01149
ko:K01738	shb:SU5_01150
ko:K05800	shb:SU5_01151
ko:K04752	shb:SU5_01154
ko:K03320	shb:SU5_01155
ko:K10805	shb:SU5_01156
ko:K09914	shb:SU5_01157
ko:K07443	shb:SU5_01158
ko:K02909	shb:SU5_01160
ko:K02919	shb:SU5_01161
ko:K03577	shb:SU5_01168
ko:K05802	shb:SU5_01169
ko:K02364	shb:SU5_01278
ko:K02013	shb:SU5_01280
ko:K02015	shb:SU5_01281
ko:K02015	shb:SU5_01282
ko:K02016	shb:SU5_01284
ko:K02361	shb:SU5_01285
ko:K02363	shb:SU5_01286
ko:K01252	shb:SU5_01287
ko:K00216	shb:SU5_01288
ko:K06200	shb:SU5_01290
ko:K08317	shb:SU5_01292
ko:K14287	shb:SU5_01293
ko:K03387	shb:SU5_01299
ko:K11932	shb:SU5_01304
ko:K06140	shb:SU5_01306
ko:K01169	shb:SU5_01307
ko:K05964	shb:SU5_01310
ko:K01643	shb:SU5_01311
ko:K01644	shb:SU5_01312
ko:K01646	shb:SU5_01313
ko:K01910	shb:SU5_01314
ko:K07700	shb:SU5_01315
ko:K07702	shb:SU5_01316
ko:K12973	shb:SU5_01318
ko:K03704	shb:SU5_01319
ko:K06199	shb:SU5_01320
ko:K03425	shb:SU5_01322
ko:K03644	shb:SU5_01323
ko:K03801	shb:SU5_01325
ko:K09158	shb:SU5_01326
ko:K03641	shb:SU5_01425
ko:K03640	shb:SU5_01426
ko:K03517	shb:SU5_01428
ko:K03811	shb:SU5_01429
ko:K01626	shb:SU5_01432
ko:K01678	shb:SU5_01433
ko:K01677	shb:SU5_01434
ko:K01573	shb:SU5_01438
ko:K02015	shb:SU5_01442
ko:K02013	shb:SU5_01443
ko:K00849	shb:SU5_01446
ko:K00965	shb:SU5_01447
ko:K05776	shb:SU5_01450
ko:K02019	shb:SU5_01451
ko:K02020	shb:SU5_01453
ko:K02018	shb:SU5_01454
ko:K01051	shb:SU5_01458
ko:K01468	shb:SU5_01459
ko:K05836	shb:SU5_01461
ko:K01712	shb:SU5_01462
ko:K01745	shb:SU5_01463
ko:K00833	shb:SU5_01465
ko:K01012	shb:SU5_01466
ko:K02169	shb:SU5_01468
ko:K01935	shb:SU5_01469
ko:K03702	shb:SU5_01470
ko:K03521	shb:SU5_01523
ko:K03522	shb:SU5_01524
ko:K00311	shb:SU5_01527
ko:K11534	shb:SU5_01533
ko:K08160	shb:SU5_01535
ko:K07085	shb:SU5_01539
ko:K11073	shb:SU5_01546
ko:K11076	shb:SU5_01547
ko:K11075	shb:SU5_01548
ko:K11074	shb:SU5_01549
ko:K03212	shb:SU5_01551
ko:K09996	shb:SU5_01555
ko:K09999	shb:SU5_01557
ko:K09997	shb:SU5_01558
ko:K11066	shb:SU5_01562
ko:K01620	shb:SU5_01565
ko:K00156	shb:SU5_01566
ko:K11933	shb:SU5_01567
ko:K09824	shb:SU5_01572
ko:K13888	shb:SU5_01573
ko:K05685	shb:SU5_01574
ko:K03704	shb:SU5_01575
ko:K01893	shb:SU5_01629
ko:K01751	shb:SU5_01631
ko:K03310	shb:SU5_01632
ko:K00763	shb:SU5_01633
ko:K02511	shb:SU5_01738
ko:K02508	shb:SU5_01739
ko:K05516	shb:SU5_01743
ko:K01085	shb:SU5_01748
ko:K03809	shb:SU5_01750
ko:K13821	shb:SU5_01753
ko:K12972	shb:SU5_01763
ko:K01783	shb:SU5_03526
ko:K02774	shb:SU5_03528
ko:K02773	shb:SU5_03529
ko:K01808	shb:SU5_03531
ko:K02774	shb:SU5_03533
ko:K02773	shb:SU5_03534
ko:K04567	shb:SU5_03541
ko:K02836	shb:SU5_03542
ko:K07462	shb:SU5_03543
ko:K03981	shb:SU5_03544
ko:K03840	shb:SU5_03546
ko:K09159	shb:SU5_03548
ko:K06980	shb:SU5_03549
ko:K11068	shb:SU5_03550
ko:K09900	shb:SU5_03551
ko:K01223	shb:SU5_03552
ko:K00281	shb:SU5_03554
ko:K02437	shb:SU5_03555
ko:K00605	shb:SU5_03556
ko:K03185	shb:SU5_03558
ko:K09895	shb:SU5_03560
ko:K09888	shb:SU5_03561
ko:K01807	shb:SU5_03564
ko:K05596	shb:SU5_03565
ko:K09807	shb:SU5_03566
ko:K06895	shb:SU5_03567
ko:K01624	shb:SU5_03569
ko:K00927	shb:SU5_03570
ko:K03472	shb:SU5_03571
ko:K00615	shb:SU5_03577
ko:K00789	shb:SU5_03589
ko:K08137	shb:SU5_03590
ko:K02742	shb:SU5_03591
ko:K01150	shb:SU5_03592
ko:K09761	shb:SU5_03593
ko:K01920	shb:SU5_03594
ko:K07735	shb:SU5_03595
ko:K07447	shb:SU5_03596
ko:K02669	shb:SU5_03598
ko:K06997	shb:SU5_03599
ko:K02221	shb:SU5_03600
ko:K09131	shb:SU5_03601
ko:K09923	shb:SU5_03607
ko:K03439	shb:SU5_03608
ko:K03575	shb:SU5_03609
ko:K08306	shb:SU5_03611
ko:K01581	shb:SU5_03613
ko:K07150	shb:SU5_03614
ko:K00655	shb:SU5_03669
ko:K02621	shb:SU5_03670
ko:K13652	shb:SU5_03671
ko:K03923	shb:SU5_03675
ko:K02622	shb:SU5_03677
ko:K07000	shb:SU5_03678
ko:K03651	shb:SU5_03679
ko:K09920	shb:SU5_03680
ko:K12340	shb:SU5_03682
ko:K07238	shb:SU5_03686
ko:K03673	shb:SU5_03689
ko:K03611	shb:SU5_03690
ko:K03272	shb:SU5_03696
ko:K00982	shb:SU5_03697
ko:K07184	shb:SU5_03699
ko:K06153	shb:SU5_03701
ko:K01633	shb:SU5_03702
ko:K08591	shb:SU5_03703
ko:K02970	shb:SU5_03705
ko:K03086	shb:SU5_03707
ko:K07229	shb:SU5_03709
ko:K07043	shb:SU5_03716
ko:K07862	shb:SU5_03720
ko:K03290	shb:SU5_03823
ko:K03600	shb:SU5_03826
ko:K03599	shb:SU5_03827
ko:K02996	shb:SU5_03828
ko:K02871	shb:SU5_03829
ko:K06916	shb:SU5_03830
ko:K09908	shb:SU5_03831
ko:K04691	shb:SU5_03833
ko:K01573	shb:SU5_03837
ko:K03780	shb:SU5_03838
ko:K00024	shb:SU5_03843
ko:K03402	shb:SU5_03844
