ko:K00054	saj:SaurJH9_2568
ko:K02954	saj:SaurJH9_2264
ko:K01520	saj:SaurJH9_0879
ko:K07474	saj:SaurJH9_0886
ko:K02337	saj:SaurJH9_1759
ko:K10682	saj:SaurJH9_0730
ko:K02884	saj:SaurJH9_1300
ko:K05338	saj:SaurJH9_0247
ko:K05339	saj:SaurJH9_0248
ko:K03489	saj:SaurJH9_0249
ko:K03763	saj:SaurJH9_1324
ko:K03624	saj:SaurJH9_1667
ko:K01547	saj:SaurJH9_0060
ko:K03784	saj:SaurJH9_2174
ko:K01429	saj:SaurJH9_2313
ko:K00954	saj:SaurJH9_1184
ko:K01883	saj:SaurJH9_0552
ko:K01657	saj:SaurJH9_1428
ko:K02775	saj:SaurJH9_0232
ko:K06949	saj:SaurJH9_1280
ko:K02902	saj:SaurJH9_1283
ko:K01447	saj:SaurJH9_1080
ko:K01447	saj:SaurJH9_0367
ko:K03601	saj:SaurJH9_1582
ko:K02786	saj:SaurJH9_2222
ko:K03784	saj:SaurJH9_0122
ko:K00609	saj:SaurJH9_1259
ko:K01546	saj:SaurJH9_0059
ko:K03707	saj:SaurJH9_2131
ko:K03346	saj:SaurJH9_1742
ko:K03500	saj:SaurJH9_1276
ko:K03497	saj:SaurJH9_0408
ko:K03629	saj:SaurJH9_0004
ko:K07455	saj:SaurJH9_0320
ko:K01652	saj:SaurJH9_2091
ko:K02967	saj:SaurJH9_1316
ko:K03785	saj:SaurJH9_0828
ko:K09699	saj:SaurJH9_1574
ko:K03652	saj:SaurJH9_2368
ko:K02160	saj:SaurJH9_1586
ko:K01223	saj:SaurJH9_0251
ko:K06726	saj:SaurJH9_0254
ko:K00208	saj:SaurJH9_1009
ko:K10681	saj:SaurJH9_0729
ko:K03536	saj:SaurJH9_2735
ko:K04749	saj:SaurJH9_2103
ko:K10563	saj:SaurJH9_1746
ko:K02564	saj:SaurJH9_0592
ko:K03650	saj:SaurJH9_2734
ko:K09013	saj:SaurJH9_0843
ko:K03739	saj:SaurJH9_0933
ko:K02015	saj:SaurJH9_0758
ko:K02013	saj:SaurJH9_0759
ko:K06216	saj:SaurJH9_0255
ko:K02529	saj:SaurJH9_0256
ko:K01990	saj:SaurJH9_0261
ko:K01992	saj:SaurJH9_0262
ko:K01992	saj:SaurJH9_0263
ko:K03311	saj:SaurJH9_0289
ko:K03294	saj:SaurJH9_2625
ko:K00571	saj:SaurJH9_1768
ko:K07683	saj:SaurJH9_2416
ko:K07696	saj:SaurJH9_2415
ko:K03665	saj:SaurJH9_1365
ko:K00371	saj:SaurJH9_2420
ko:K04517	saj:SaurJH9_1426
ko:K03781	saj:SaurJH9_1395
ko:K01880	saj:SaurJH9_1623
ko:K11039	saj:SaurJH9_2072
ko:K00373	saj:SaurJH9_2419
ko:K03977	saj:SaurJH9_1532
ko:K04763	saj:SaurJH9_1554
ko:K02519	saj:SaurJH9_1329
ko:K07652	saj:SaurJH9_0019
ko:K06024	saj:SaurJH9_1551
ko:K02072	saj:SaurJH9_0484
ko:K19079	saj:SaurJH9_0684
ko:K02986	saj:SaurJH9_1775
ko:K07146	saj:SaurJH9_2713
ko:K01962	saj:SaurJH9_1756
ko:K01881	saj:SaurJH9_1323
ko:K00604	saj:SaurJH9_1275
ko:K02113	saj:SaurJH9_2142
ko:K02109	saj:SaurJH9_2143
ko:K02470	saj:SaurJH9_0005
ko:K07742	saj:SaurJH9_1327
ko:K10254	saj:SaurJH9_0093
ko:K03696	saj:SaurJH9_0547
ko:K09680	saj:SaurJH9_2166
ko:K03218	saj:SaurJH9_0554
ko:K00567	saj:SaurJH9_2570
ko:K01892	saj:SaurJH9_1688
ko:K02600	saj:SaurJH9_1326
ko:K03700	saj:SaurJH9_1508
ko:K02086	saj:SaurJH9_1512
ko:K01893	saj:SaurJH9_1513
ko:K00938	saj:SaurJH9_0615
ko:K01695	saj:SaurJH9_1434
ko:K03110	saj:SaurJH9_1294
ko:K02860	saj:SaurJH9_1298
ko:K06180	saj:SaurJH9_1256
ko:K02114	saj:SaurJH9_2138
ko:K09936	saj:SaurJH9_0641
ko:K07462	saj:SaurJH9_1693
ko:K01733	saj:SaurJH9_1390
ko:K03471	saj:SaurJH9_1199
ko:K02803	saj:SaurJH9_1781
ko:K02804	saj:SaurJH9_1781
ko:K03169	saj:SaurJH9_2281
ko:K06180	saj:SaurJH9_1904
ko:K01653	saj:SaurJH9_2092
ko:K03315	saj:SaurJH9_2324
ko:K06187	saj:SaurJH9_0501
ko:K04567	saj:SaurJH9_0539
ko:K02864	saj:SaurJH9_0562
ko:K09747	saj:SaurJH9_0500
ko:K02963	saj:SaurJH9_0415
ko:K03667	saj:SaurJH9_1314
ko:K03595	saj:SaurJH9_1625
ko:K09022	saj:SaurJH9_0518
ko:K02809	saj:SaurJH9_2403
ko:K02810	saj:SaurJH9_2403
ko:K07461	saj:SaurJH9_0509
ko:K02911	saj:SaurJH9_1187
ko:K03046	saj:SaurJH9_0566
ko:K02078	saj:SaurJH9_1291
ko:K03722	saj:SaurJH9_1514
ko:K00167	saj:SaurJH9_1575
ko:K01624	saj:SaurJH9_2161
ko:K02867	saj:SaurJH9_0560
ko:K02913	saj:SaurJH9_1396
ko:K03530	saj:SaurJH9_1530
ko:K01703	saj:SaurJH9_2096
ko:K03311	saj:SaurJH9_1468
ko:K02863	saj:SaurJH9_0561
ko:K07090	saj:SaurJH9_0071
ko:K00648	saj:SaurJH9_0982
ko:K01704	saj:SaurJH9_2097
ko:K00526	saj:SaurJH9_0756
ko:K07816	saj:SaurJH9_1004
ko:K00111	saj:SaurJH9_1360
ko:K02837	saj:SaurJH9_1018
ko:K04478	saj:SaurJH9_1928
ko:K07586	saj:SaurJH9_1921
ko:K07090	saj:SaurJH9_0921
ko:K03740	saj:SaurJH9_0935
ko:K03885	saj:SaurJH9_0938
ko:K03885	saj:SaurJH9_0941
ko:K03048	saj:SaurJH9_2164
ko:K03502	saj:SaurJH9_1425
ko:K01430	saj:SaurJH9_2312
ko:K02621	saj:SaurJH9_1417
ko:K02622	saj:SaurJH9_1416
ko:K02469	saj:SaurJH9_0006
ko:K03188	saj:SaurJH9_2316
ko:K07568	saj:SaurJH9_1697
ko:K02916	saj:SaurJH9_1737
ko:K11144	saj:SaurJH9_1741
ko:K03570	saj:SaurJH9_1706
ko:K03589	saj:SaurJH9_1243
ko:K03544	saj:SaurJH9_1732
ko:K02887	saj:SaurJH9_1736
ko:K03293	saj:SaurJH9_2340
ko:K08987	saj:SaurJH9_0443
ko:K07778	saj:SaurJH9_1382
ko:K08255	saj:SaurJH9_0970
ko:K02822	saj:SaurJH9_0379
ko:K02316	saj:SaurJH9_1620
ko:K03466	saj:SaurJH9_1336
ko:K03497	saj:SaurJH9_2731
ko:K03501	saj:SaurJH9_2732
ko:K02003	saj:SaurJH9_0292
ko:K03553	saj:SaurJH9_1345
ko:K02838	saj:SaurJH9_1319
ko:K01925	saj:SaurJH9_1242
ko:K02520	saj:SaurJH9_1738
ko:K07042	saj:SaurJH9_1628
ko:K03438	saj:SaurJH9_1238
ko:K03925	saj:SaurJH9_1237
ko:K02503	saj:SaurJH9_1891
ko:K02335	saj:SaurJH9_1747
ko:K01924	saj:SaurJH9_1795
ko:K01990	saj:SaurJH9_1890
ko:K01126	saj:SaurJH9_0212
ko:K07084	saj:SaurJH9_0943
ko:K02050	saj:SaurJH9_0159
ko:K02051	saj:SaurJH9_0158
ko:K03647	saj:SaurJH9_0754
ko:K02440	saj:SaurJH9_1358
ko:K01575	saj:SaurJH9_2623
ko:K00823	saj:SaurJH9_2626
ko:K00116	saj:SaurJH9_2629
ko:K00108	saj:SaurJH9_2634
ko:K01077	saj:SaurJH9_2650
ko:K00926	saj:SaurJH9_2656
ko:K00611	saj:SaurJH9_2658
ko:K01478	saj:SaurJH9_2659
ko:K01809	saj:SaurJH9_2666
ko:K07304	saj:SaurJH9_2684
ko:K01104	saj:SaurJH9_2686
ko:K08253	saj:SaurJH9_2687
ko:K01046	saj:SaurJH9_2694
ko:K01693	saj:SaurJH9_2700
ko:K00013	saj:SaurJH9_2702
ko:K00765	saj:SaurJH9_2703
ko:K01304	saj:SaurJH9_2714
ko:K00036	saj:SaurJH9_2764
ko:K00033	saj:SaurJH9_2765
ko:K01810	saj:SaurJH9_2766
ko:K03666	saj:SaurJH9_1363
ko:K01588	saj:SaurJH9_1124
ko:K02338	saj:SaurJH9_0002
ko:K01956	saj:SaurJH9_1261
ko:K09693	saj:SaurJH9_0660
ko:K09692	saj:SaurJH9_0661
ko:K01265	saj:SaurJH9_1942
ko:K01972	saj:SaurJH9_1959
ko:K01756	saj:SaurJH9_1963
ko:K01916	saj:SaurJH9_1968
ko:K00763	saj:SaurJH9_1969
ko:K00491	saj:SaurJH9_1970
ko:K01114	saj:SaurJH9_2061
ko:K01439	saj:SaurJH9_2064
ko:K01409	saj:SaurJH9_2086
ko:K01687	saj:SaurJH9_2090
ko:K00053	saj:SaurJH9_2093
ko:K01649	saj:SaurJH9_2094
ko:K00052	saj:SaurJH9_2095
ko:K01754	saj:SaurJH9_2098
ko:K01775	saj:SaurJH9_2107
ko:K00997	saj:SaurJH9_2108
ko:K01921	saj:SaurJH9_2120
ko:K00788	saj:SaurJH9_2128
ko:K00878	saj:SaurJH9_2129
ko:K00790	saj:SaurJH9_2136
ko:K01791	saj:SaurJH9_2147
ko:K00761	saj:SaurJH9_2148
ko:K00600	saj:SaurJH9_2149
ko:K00857	saj:SaurJH9_2155
ko:K00790	saj:SaurJH9_2160
ko:K01937	saj:SaurJH9_2163
ko:K07173	saj:SaurJH9_2170
ko:K00525	saj:SaurJH9_0755
ko:K00756	saj:SaurJH9_2172
ko:K01619	saj:SaurJH9_2173
ko:K01809	saj:SaurJH9_2179
ko:K00820	saj:SaurJH9_2187
ko:K01220	saj:SaurJH9_2220
ko:K01635	saj:SaurJH9_2223
ko:K00917	saj:SaurJH9_2224
ko:K01819	saj:SaurJH9_2225
ko:K01819	saj:SaurJH9_2226
ko:K01575	saj:SaurJH9_2236
ko:K01227	saj:SaurJH9_2330
ko:K01092	saj:SaurJH9_2335
ko:K01468	saj:SaurJH9_2355
ko:K01712	saj:SaurJH9_2356
ko:K01785	saj:SaurJH9_2363
ko:K01823	saj:SaurJH9_2370
ko:K00116	saj:SaurJH9_2389
ko:K01834	saj:SaurJH9_2442
ko:K01906	saj:SaurJH9_2449
ko:K00652	saj:SaurJH9_2450
ko:K01012	saj:SaurJH9_2451
ko:K01935	saj:SaurJH9_2453
ko:K00865	saj:SaurJH9_2458
ko:K00077	saj:SaurJH9_2470
ko:K01752	saj:SaurJH9_2554
ko:K00158	saj:SaurJH9_2562
ko:K01641	saj:SaurJH9_2569
ko:K00294	saj:SaurJH9_2576
ko:K00226	saj:SaurJH9_2611
ko:K01579	saj:SaurJH9_2619
ko:K01918	saj:SaurJH9_2620
ko:K00606	saj:SaurJH9_2621
ko:K00077	saj:SaurJH9_2622
ko:K01586	saj:SaurJH9_1461
ko:K00794	saj:SaurJH9_1820
ko:K01821	saj:SaurJH9_1424
ko:K06967	saj:SaurJH9_1618
ko:K02528	saj:SaurJH9_0514
ko:K06941	saj:SaurJH9_1277
ko:K01428	saj:SaurJH9_2314
ko:K02334	saj:SaurJH9_1039
ko:K02518	saj:SaurJH9_2255
ko:K02876	saj:SaurJH9_2258
ko:K01419	saj:SaurJH9_1313
ko:K02313	saj:SaurJH9_0001
ko:K03427	saj:SaurJH9_1860
ko:K04075	saj:SaurJH9_0531
ko:K03702	saj:SaurJH9_0782
ko:K03644	saj:SaurJH9_0923
ko:K00974	saj:SaurJH9_1516
ko:K03723	saj:SaurJH9_0525
ko:K03299	saj:SaurJH9_2528
ko:K03789	saj:SaurJH9_2087
ko:K02042	saj:SaurJH9_0126
ko:K02042	saj:SaurJH9_0127
ko:K02041	saj:SaurJH9_0128
ko:K02044	saj:SaurJH9_0129
ko:K01784	saj:SaurJH9_0148
ko:K09790	saj:SaurJH9_0152
ko:K00128	saj:SaurJH9_0153
ko:K01118	saj:SaurJH9_0196
ko:K07784	saj:SaurJH9_0206
ko:K07720	saj:SaurJH9_0207
ko:K00252	saj:SaurJH9_0217
ko:K01897	saj:SaurJH9_0218
ko:K00016	saj:SaurJH9_0225
ko:K02790	saj:SaurJH9_0227
ko:K02791	saj:SaurJH9_0227
ko:K00008	saj:SaurJH9_0233
ko:K00008	saj:SaurJH9_0235
ko:K07322	saj:SaurJH9_0244
ko:K02004	saj:SaurJH9_0291
ko:K03307	saj:SaurJH9_0297
ko:K07741	saj:SaurJH9_0312
ko:K01760	saj:SaurJH9_0406
ko:K06942	saj:SaurJH9_0411
ko:K02990	saj:SaurJH9_0413
ko:K01834	saj:SaurJH9_0424
ko:K03387	saj:SaurJH9_0428
ko:K06956	saj:SaurJH9_0431
ko:K03816	saj:SaurJH9_0435
ko:K08998	saj:SaurJH9_1845
ko:K02549	saj:SaurJH9_1846
ko:K01911	saj:SaurJH9_1847
ko:K07002	saj:SaurJH9_1884
ko:K00231	saj:SaurJH9_1885
ko:K01992	saj:SaurJH9_1889
ko:K00260	saj:SaurJH9_0958
ko:K02749	saj:SaurJH9_2347
ko:K02750	saj:SaurJH9_2347
ko:K04077	saj:SaurJH9_2066
ko:K03116	saj:SaurJH9_0395
ko:K00783	saj:SaurJH9_0024
ko:K06400	saj:SaurJH9_0048
ko:K07667	saj:SaurJH9_0057
ko:K07646	saj:SaurJH9_0058
ko:K08170	saj:SaurJH9_0091
ko:K01586	saj:SaurJH9_0110
ko:K01784	saj:SaurJH9_0114
ko:K05916	saj:SaurJH9_0224
ko:K04069	saj:SaurJH9_0211
ko:K03118	saj:SaurJH9_0394
ko:K11189	saj:SaurJH9_1143
ko:K07729	saj:SaurJH9_0189
ko:K01153	saj:SaurJH9_0180
ko:K03800	saj:SaurJH9_0376
ko:K02821	saj:SaurJH9_0380
ko:K02445	saj:SaurJH9_0385
ko:K00299	saj:SaurJH9_0388
ko:K07729	saj:SaurJH9_0397
ko:K01990	saj:SaurJH9_0399
ko:K02016	saj:SaurJH9_0632
ko:K01807	saj:SaurJH9_2361
ko:K08303	saj:SaurJH9_1669
ko:K04485	saj:SaurJH9_0548
ko:K07243	saj:SaurJH9_0393
ko:K07224	saj:SaurJH9_0391
ko:K02787	saj:SaurJH9_2221
ko:K02788	saj:SaurJH9_2221
ko:K02799	saj:SaurJH9_2188
ko:K02800	saj:SaurJH9_2188
ko:K00925	saj:SaurJH9_1767
ko:K03187	saj:SaurJH9_2315
ko:K03189	saj:SaurJH9_2317
ko:K03190	saj:SaurJH9_2318
ko:K02881	saj:SaurJH9_2261
ko:K02988	saj:SaurJH9_2260
ko:K02948	saj:SaurJH9_2252
ko:K03546	saj:SaurJH9_1408
ko:K05786	saj:SaurJH9_2719
ko:K07478	saj:SaurJH9_1685
ko:K02886	saj:SaurJH9_2274
ko:K03704	saj:SaurJH9_0817
ko:K09007	saj:SaurJH9_0589
ko:K02238	saj:SaurJH9_1645
ko:K02895	saj:SaurJH9_2266
ko:K02931	saj:SaurJH9_2265
ko:K01902	saj:SaurJH9_1305
ko:K01903	saj:SaurJH9_1304
ko:K03303	saj:SaurJH9_0097
ko:K02343	saj:SaurJH9_0499
ko:K03686	saj:SaurJH9_1637
ko:K02563	saj:SaurJH9_1478
ko:K11085	saj:SaurJH9_1920
ko:K06178	saj:SaurJH9_1550
ko:K00605	saj:SaurJH9_1595
ko:K02112	saj:SaurJH9_2139
ko:K02246	saj:SaurJH9_1599
ko:K02245	saj:SaurJH9_1600
ko:K02243	saj:SaurJH9_1602
ko:K00845	saj:SaurJH9_1605
ko:K02913	saj:SaurJH9_1609
ko:K02076	saj:SaurJH9_1612
ko:K03086	saj:SaurJH9_1619
ko:K09773	saj:SaurJH9_1621
ko:K03584	saj:SaurJH9_1624
ko:K01489	saj:SaurJH9_1626
ko:K06217	saj:SaurJH9_1629
ko:K02970	saj:SaurJH9_1633
ko:K09761	saj:SaurJH9_1635
ko:K02687	saj:SaurJH9_1636
ko:K03705	saj:SaurJH9_1640
ko:K03596	saj:SaurJH9_1642
ko:K02968	saj:SaurJH9_1643
ko:K01493	saj:SaurJH9_1646
ko:K02237	saj:SaurJH9_1647
ko:K09710	saj:SaurJH9_1649
ko:K07574	saj:SaurJH9_1652
ko:K00014	saj:SaurJH9_1653
ko:K07015	saj:SaurJH9_1655
ko:K07160	saj:SaurJH9_1662
ko:K02160	saj:SaurJH9_1664
ko:K02031	saj:SaurJH9_0190
ko:K02032	saj:SaurJH9_0190
ko:K02033	saj:SaurJH9_0191
ko:K02034	saj:SaurJH9_0192
ko:K02035	saj:SaurJH9_0193
ko:K02049	saj:SaurJH9_0157
ko:K07560	saj:SaurJH9_1690
ko:K03210	saj:SaurJH9_1695
ko:K06209	saj:SaurJH9_1700
ko:K03979	saj:SaurJH9_1701
ko:K02899	saj:SaurJH9_1702
ko:K07584	saj:SaurJH9_1703
ko:K02888	saj:SaurJH9_1704
ko:K03571	saj:SaurJH9_1705
ko:K03630	saj:SaurJH9_1718
ko:K02115	saj:SaurJH9_2140
ko:K01955	saj:SaurJH9_1262
ko:K06886	saj:SaurJH9_1001
ko:K06180	saj:SaurJH9_1006
ko:K06213	saj:SaurJH9_1007
ko:K03455	saj:SaurJH9_1008
ko:K03310	saj:SaurJH9_1011
ko:K02250	saj:SaurJH9_1084
ko:K03800	saj:SaurJH9_1086
ko:K07052	saj:SaurJH9_1088
ko:K05571	saj:SaurJH9_0946
ko:K05570	saj:SaurJH9_0947
ko:K05569	saj:SaurJH9_0948
ko:K05568	saj:SaurJH9_0949
ko:K05566	saj:SaurJH9_0951
ko:K06347	saj:SaurJH9_0953
ko:K03100	saj:SaurJH9_0964
ko:K02601	saj:SaurJH9_0559
ko:K01869	saj:SaurJH9_1813
ko:K03703	saj:SaurJH9_1205
ko:K03311	saj:SaurJH9_0171
ko:K09769	saj:SaurJH9_1348
ko:K01589	saj:SaurJH9_1125
ko:K01889	saj:SaurJH9_1197
ko:K03671	saj:SaurJH9_1204
ko:K01271	saj:SaurJH9_1764
ko:K02529	saj:SaurJH9_1791
ko:K07058	saj:SaurJH9_1937
ko:K03101	saj:SaurJH9_1255
ko:K10947	saj:SaurJH9_2716
ko:K03294	saj:SaurJH9_1497
ko:K01963	saj:SaurJH9_1757
ko:K02039	saj:SaurJH9_1446
ko:K04047	saj:SaurJH9_2175
ko:K00852	saj:SaurJH9_0253
ko:K03043	saj:SaurJH9_0565
ko:K03060	saj:SaurJH9_1269
ko:K03550	saj:SaurJH9_1699
ko:K03551	saj:SaurJH9_1698
ko:K02346	saj:SaurJH9_1949
ko:K07741	saj:SaurJH9_2050
ko:K01623	saj:SaurJH9_2628
ko:K07447	saj:SaurJH9_1673
ko:K00963	saj:SaurJH9_2524
ko:K07456	saj:SaurJH9_1203
ko:K02428	saj:SaurJH9_1210
ko:K07030	saj:SaurJH9_1285
ko:K03655	saj:SaurJH9_1286
ko:K03424	saj:SaurJH9_0512
ko:K03657	saj:SaurJH9_1960
ko:K02835	saj:SaurJH9_2154
ko:K02244	saj:SaurJH9_1601
ko:K00793	saj:SaurJH9_1822
ko:K00282	saj:SaurJH9_1594
ko:K02340	saj:SaurJH9_1644
ko:K03040	saj:SaurJH9_2251
ko:K01658	saj:SaurJH9_1429
ko:K03319	saj:SaurJH9_2718
ko:K03305	saj:SaurJH9_0750
ko:K01448	saj:SaurJH9_1689
ko:K02499	saj:SaurJH9_0527
ko:K01745	saj:SaurJH9_0008
ko:K01875	saj:SaurJH9_0009
ko:K01939	saj:SaurJH9_0017
ko:K01126	saj:SaurJH9_0027
ko:K00561	saj:SaurJH9_0039
ko:K01771	saj:SaurJH9_0083
ko:K01619	saj:SaurJH9_0124
ko:K01839	saj:SaurJH9_0125
ko:K01104	saj:SaurJH9_0137
ko:K01791	saj:SaurJH9_0141
ko:K01791	saj:SaurJH9_0150
ko:K00145	saj:SaurJH9_0169
ko:K00681	saj:SaurJH9_0194
ko:K00656	saj:SaurJH9_0210
ko:K00632	saj:SaurJH9_0215
ko:K08259	saj:SaurJH9_0260
ko:K01639	saj:SaurJH9_0298
ko:K01788	saj:SaurJH9_0301
ko:K01046	saj:SaurJH9_0303
ko:K01227	saj:SaurJH9_0363
ko:K00626	saj:SaurJH9_0402
ko:K00549	saj:SaurJH9_0404
ko:K01739	saj:SaurJH9_0407
ko:K03106	saj:SaurJH9_1296
ko:K07704	saj:SaurJH9_0245
ko:K03621	saj:SaurJH9_1288
ko:K03685	saj:SaurJH9_1292
ko:K03529	saj:SaurJH9_1293
ko:K03386	saj:SaurJH9_0429
ko:K01951	saj:SaurJH9_0438
ko:K00943	saj:SaurJH9_0503
ko:K00919	saj:SaurJH9_0516
ko:K00948	saj:SaurJH9_0522
ko:K00760	saj:SaurJH9_0532
ko:K00796	saj:SaurJH9_0536
ko:K01633	saj:SaurJH9_0537
ko:K00950	saj:SaurJH9_0538
ko:K00640	saj:SaurJH9_0551
ko:K01436	saj:SaurJH9_0572
ko:K00639	saj:SaurJH9_0573
ko:K00853	saj:SaurJH9_0575
ko:K00826	saj:SaurJH9_0577
ko:K00712	saj:SaurJH9_0587
ko:K00712	saj:SaurJH9_0588
ko:K00625	saj:SaurJH9_0611
ko:K01597	saj:SaurJH9_0614
ko:K01887	saj:SaurJH9_0630
ko:K05946	saj:SaurJH9_0659
ko:K00980	saj:SaurJH9_0664
ko:K06153	saj:SaurJH9_0707
ko:K00266	saj:SaurJH9_0494
ko:K02013	saj:SaurJH9_0670
ko:K02015	saj:SaurJH9_0671
ko:K02015	saj:SaurJH9_0672
ko:K02068	saj:SaurJH9_2481
ko:K03631	saj:SaurJH9_1578
ko:K03470	saj:SaurJH9_1303
ko:K03168	saj:SaurJH9_1310
ko:K00283	saj:SaurJH9_1593
ko:K07636	saj:SaurJH9_1749
ko:K02015	saj:SaurJH9_0633
ko:K07258	saj:SaurJH9_0665
ko:K11071	saj:SaurJH9_1160
ko:K06412	saj:SaurJH9_0519
ko:K02897	saj:SaurJH9_0523
