ko:K22278	cdip:ERS451417_00150
ko:K01358	cdip:ERS451417_01808
ko:K03545	cdip:ERS451417_01809
ko:K01808	cdip:ERS451417_01814
ko:K01256	cdip:ERS451417_01816
ko:K06886	cdip:ERS451417_01819
ko:K09118	cdip:ERS451417_00664
ko:K03416	cdip:ERS451417_00670
ko:K17489	cdip:ERS451417_00671
ko:K17489	cdip:ERS451417_00672
ko:K17490	cdip:ERS451417_00673
ko:K05602	cdip:ERS451417_00675
ko:K02836	cdip:ERS451417_00677
ko:K12942	cdip:ERS451417_00678
ko:K09812	cdip:ERS451417_00680
ko:K09811	cdip:ERS451417_00681
ko:K03664	cdip:ERS451417_00682
ko:K14267	cdip:ERS451417_00698
ko:K10843	cdip:ERS451417_00700
ko:K21687	cdip:ERS451417_00703
ko:K03704	cdip:ERS451417_00704
ko:K06901	cdip:ERS451417_00708
ko:K00831	cdip:ERS451417_00712
ko:K01647	cdip:ERS451417_00713
ko:K00791	cdip:ERS451417_01466
ko:K06168	cdip:ERS451417_01471
ko:K03565	cdip:ERS451417_01472
ko:K03553	cdip:ERS451417_01473
ko:K03523	cdip:ERS451417_01475
ko:K16784	cdip:ERS451417_01476
ko:K16783	cdip:ERS451417_01477
ko:K03743	cdip:ERS451417_01480
ko:K00995	cdip:ERS451417_01481
ko:K09780	cdip:ERS451417_01483
ko:K05794	cdip:ERS451417_01484
ko:K03466	cdip:ERS451417_01486
ko:K12574	cdip:ERS451417_01488
ko:K01714	cdip:ERS451417_01489
ko:K03465	cdip:ERS451417_01490
ko:K00215	cdip:ERS451417_01491
ko:K00962	cdip:ERS451417_01492
ko:K02956	cdip:ERS451417_01493
ko:K01239	cdip:ERS451417_01494
ko:K11753	cdip:ERS451417_01495
ko:K03177	cdip:ERS451417_01496
ko:K06881	cdip:ERS451417_01500
ko:K02834	cdip:ERS451417_01501
ko:K02519	cdip:ERS451417_01502
ko:K07742	cdip:ERS451417_01503
ko:K02600	cdip:ERS451417_01504
ko:K09748	cdip:ERS451417_01505
ko:K01881	cdip:ERS451417_01507
ko:K09861	cdip:ERS451417_01508
ko:K02303	cdip:ERS451417_01509
ko:K00567	cdip:ERS451417_01512
ko:K02224	cdip:ERS451417_01513
ko:K07107	cdip:ERS451417_01821
ko:K03111	cdip:ERS451417_01823
ko:K02351	cdip:ERS451417_01824
ko:K07245	cdip:ERS451417_01824
ko:K06200	cdip:ERS451417_01825
ko:K07124	cdip:ERS451417_01830
ko:K13288	cdip:ERS451417_01831
ko:K08281	cdip:ERS451417_01839
ko:K21481	cdip:ERS451417_01840
ko:K03564	cdip:ERS451417_01842
ko:K00997	cdip:ERS451417_01844
ko:K11533	cdip:ERS451417_01845
ko:K02428	cdip:ERS451417_01850
ko:K00989	cdip:ERS451417_01851
ko:K01776	cdip:ERS451417_01853
ko:K06891	cdip:ERS451417_01857
ko:K00763	cdip:ERS451417_01858
ko:K03722	cdip:ERS451417_01859
ko:K01079	cdip:ERS451417_01863
ko:K02274	cdip:ERS451417_01864
ko:K00526	cdip:ERS451417_01865
ko:K02217	cdip:ERS451417_01866
ko:K00525	cdip:ERS451417_01867
ko:K03647	cdip:ERS451417_01868
ko:K01962	cdip:ERS451417_00715
ko:K01963	cdip:ERS451417_00715
ko:K06221	cdip:ERS451417_00716
ko:K01692	cdip:ERS451417_00717
ko:K14393	cdip:ERS451417_00719
ko:K07341	cdip:ERS451417_00723
ko:K02228	cdip:ERS451417_00729
ko:K18917	cdip:ERS451417_00730
ko:K00287	cdip:ERS451417_00731
ko:K00560	cdip:ERS451417_00732
ko:K01082	cdip:ERS451417_00733
ko:K03724	cdip:ERS451417_00734
ko:K03649	cdip:ERS451417_00735
ko:K05522	cdip:ERS451417_00736
ko:K07085	cdip:ERS451417_00737
ko:K01810	cdip:ERS451417_00739
ko:K00135	cdip:ERS451417_00740
ko:K04093	cdip:ERS451417_00741
ko:K03657	cdip:ERS451417_00742
ko:K11175	cdip:ERS451417_00745
ko:K00602	cdip:ERS451417_00746
ko:K01644	cdip:ERS451417_00750
ko:K02963	cdip:ERS451417_00753
ko:K02954	cdip:ERS451417_00754
ko:K02913	cdip:ERS451417_00755
ko:K02902	cdip:ERS451417_00756
ko:K02909	cdip:ERS451417_00757
ko:K02911	cdip:ERS451417_00758
ko:K07669	cdip:ERS451417_00759
ko:K07653	cdip:ERS451417_00760
ko:K08372	cdip:ERS451417_00761
ko:K03282	cdip:ERS451417_00764
ko:K19221	cdip:ERS451417_01514
ko:K03404	cdip:ERS451417_01516
ko:K00116	cdip:ERS451417_01517
ko:K17883	cdip:ERS451417_01519
ko:K02232	cdip:ERS451417_01520
ko:K01265	cdip:ERS451417_01521
ko:K03526	cdip:ERS451417_01523
ko:K00099	cdip:ERS451417_01525
ko:K06941	cdip:ERS451417_01527
ko:K00981	cdip:ERS451417_01529
ko:K02838	cdip:ERS451417_01530
ko:K09903	cdip:ERS451417_01531
ko:K02357	cdip:ERS451417_01532
ko:K02967	cdip:ERS451417_01533
ko:K03733	cdip:ERS451417_01535
ko:K04096	cdip:ERS451417_01536
ko:K07391	cdip:ERS451417_01537
ko:K07460	cdip:ERS451417_01538
ko:K03470	cdip:ERS451417_01540
ko:K03100	cdip:ERS451417_01541
ko:K02884	cdip:ERS451417_01542
ko:K06959	cdip:ERS451417_01543
ko:K00554	cdip:ERS451417_01545
ko:K02860	cdip:ERS451417_01546
ko:K02959	cdip:ERS451417_01547
ko:K03106	cdip:ERS451417_01548
ko:K00990	cdip:ERS451417_01549
ko:K04751	cdip:ERS451417_01550
ko:K03320	cdip:ERS451417_01551
ko:K03110	cdip:ERS451417_01552
ko:K03529	cdip:ERS451417_01554
ko:K01512	cdip:ERS451417_01555
ko:K03310	cdip:ERS451417_01556
ko:K10563	cdip:ERS451417_01557
ko:K03685	cdip:ERS451417_01558
ko:K07040	cdip:ERS451417_01559
ko:K06191	cdip:ERS451417_01869
ko:K02919	cdip:ERS451417_01872
ko:K01916	cdip:ERS451417_01873
ko:K00368	cdip:ERS451417_01876
ko:K00368	cdip:ERS451417_01877
ko:K01835	cdip:ERS451417_01883
ko:K06199	cdip:ERS451417_01884
ko:K06199	cdip:ERS451417_01885
ko:K02004	cdip:ERS451417_01886
ko:K02003	cdip:ERS451417_01887
ko:K00790	cdip:ERS451417_01891
ko:K00798	cdip:ERS451417_01892
ko:K21685	cdip:ERS451417_01893
ko:K01738	cdip:ERS451417_01894
ko:K00640	cdip:ERS451417_01895
ko:K06975	cdip:ERS451417_01896
ko:K00005	cdip:ERS451417_01899
ko:K02013	cdip:ERS451417_01902
ko:K02016	cdip:ERS451417_01903
ko:K02015	cdip:ERS451417_01904
ko:K01156	cdip:ERS451417_01905
ko:K01934	cdip:ERS451417_00766
ko:K00963	cdip:ERS451417_00767
ko:K03750	cdip:ERS451417_00768
ko:K03790	cdip:ERS451417_00769
ko:K15977	cdip:ERS451417_00771
ko:K07056	cdip:ERS451417_00776
ko:K01874	cdip:ERS451417_00777
ko:K03424	cdip:ERS451417_00778
ko:K21688	cdip:ERS451417_00779
ko:K02528	cdip:ERS451417_00780
ko:K00919	cdip:ERS451417_00781
ko:K03088	cdip:ERS451417_00785
ko:K03811	cdip:ERS451417_00788
ko:K00134	cdip:ERS451417_00794
ko:K02837	cdip:ERS451417_00796
ko:K01056	cdip:ERS451417_00798
ko:K01056	cdip:ERS451417_00800
ko:K02897	cdip:ERS451417_00801
ko:K01200	cdip:ERS451417_00802
ko:K00948	cdip:ERS451417_00803
ko:K04042	cdip:ERS451417_00804
ko:K03723	cdip:ERS451417_00812
ko:K03758	cdip:ERS451417_00815
ko:K02931	cdip:ERS451417_01564
ko:K02895	cdip:ERS451417_01565
ko:K02874	cdip:ERS451417_01566
ko:K00262	cdip:ERS451417_01569
ko:K00865	cdip:ERS451417_01570
ko:K00688	cdip:ERS451417_01574
ko:K00873	cdip:ERS451417_01575
ko:K01609	cdip:ERS451417_01577
ko:K01496	cdip:ERS451417_01579
ko:K02500	cdip:ERS451417_01580
ko:K01092	cdip:ERS451417_01581
ko:K01814	cdip:ERS451417_01582
ko:K01817	cdip:ERS451417_01582
ko:K02501	cdip:ERS451417_01583
ko:K01693	cdip:ERS451417_01586
ko:K00817	cdip:ERS451417_01587
ko:K00013	cdip:ERS451417_01588
ko:K01214	cdip:ERS451417_01593
ko:K02342	cdip:ERS451417_01594
ko:K04762	cdip:ERS451417_01598
ko:K01754	cdip:ERS451417_01601
ko:K02337	cdip:ERS451417_01602
ko:K05786	cdip:ERS451417_01603
ko:K06180	cdip:ERS451417_01605
ko:K03101	cdip:ERS451417_01606
ko:K01424	cdip:ERS451417_01609
ko:K00425	cdip:ERS451417_01923
ko:K00426	cdip:ERS451417_01924
ko:K16013	cdip:ERS451417_01925
ko:K16012	cdip:ERS451417_01926
ko:K18118	cdip:ERS451417_01927
ko:K02039	cdip:ERS451417_01929
ko:K15520	cdip:ERS451417_01932
ko:K02619	cdip:ERS451417_01936
ko:K06980	cdip:ERS451417_01937
ko:K01933	cdip:ERS451417_01939
ko:K00764	cdip:ERS451417_01940
ko:K11068	cdip:ERS451417_01942
ko:K03647	cdip:ERS451417_01943
ko:K00526	cdip:ERS451417_01944
ko:K00432	cdip:ERS451417_01947
ko:K01354	cdip:ERS451417_01948
ko:K01923	cdip:ERS451417_01950
ko:K01756	cdip:ERS451417_01951
ko:K03499	cdip:ERS451417_01953
ko:K01945	cdip:ERS451417_01955
ko:K02484	cdip:ERS451417_01958
ko:K02483	cdip:ERS451417_01959
ko:K08167	cdip:ERS451417_01960
ko:K00156	cdip:ERS451417_01964
ko:K02313	cdip:ERS451417_00001
ko:K02338	cdip:ERS451417_00002
ko:K03629	cdip:ERS451417_00003
ko:K02470	cdip:ERS451417_00005
ko:K02469	cdip:ERS451417_00009
ko:K03303	cdip:ERS451417_00014
ko:K02058	cdip:ERS451417_00025
ko:K02057	cdip:ERS451417_00026
ko:K02056	cdip:ERS451417_00027
ko:K03767	cdip:ERS451417_00029
ko:K03147	cdip:ERS451417_00034
ko:K00788	cdip:ERS451417_00035
ko:K03153	cdip:ERS451417_00036
ko:K03154	cdip:ERS451417_00037
ko:K03149	cdip:ERS451417_00038
ko:K21147	cdip:ERS451417_00039
ko:K00941	cdip:ERS451417_00040
ko:K09952	cdip:ERS451417_00043
ko:K15342	cdip:ERS451417_00044
ko:K09951	cdip:ERS451417_00045
ko:K12132	cdip:ERS451417_00049
ko:K12132	cdip:ERS451417_00050
ko:K05364	cdip:ERS451417_00051
ko:K20074	cdip:ERS451417_00053
ko:K02428	cdip:ERS451417_00816
ko:K01689	cdip:ERS451417_00818
ko:K09009	cdip:ERS451417_00820
ko:K01524	cdip:ERS451417_00821
ko:K03624	cdip:ERS451417_00829
ko:K18455	cdip:ERS451417_00831
ko:K12503	cdip:ERS451417_00833
ko:K00867	cdip:ERS451417_00835
ko:K00600	cdip:ERS451417_00836
ko:K03823	cdip:ERS451417_00839
ko:K01679	cdip:ERS451417_00842
ko:K02446	cdip:ERS451417_00843
ko:K03602	cdip:ERS451417_00845
ko:K03601	cdip:ERS451417_00846
ko:K03527	cdip:ERS451417_00847
ko:K03308	cdip:ERS451417_00851
ko:K06942	cdip:ERS451417_00852
ko:K09781	cdip:ERS451417_00853
ko:K00077	cdip:ERS451417_00854
ko:K16785	cdip:ERS451417_00858
ko:K15580	cdip:ERS451417_00860
ko:K15581	cdip:ERS451417_00861
ko:K15582	cdip:ERS451417_00862
ko:K02031	cdip:ERS451417_00863
ko:K02032	cdip:ERS451417_00863
ko:K00697	cdip:ERS451417_01969
ko:K01087	cdip:ERS451417_01971
ko:K03218	cdip:ERS451417_01973
ko:K01883	cdip:ERS451417_01974
ko:K01770	cdip:ERS451417_01975
ko:K00991	cdip:ERS451417_01976
ko:K07736	cdip:ERS451417_01977
ko:K04485	cdip:ERS451417_01981
ko:K01673	cdip:ERS451417_01983
ko:K03575	cdip:ERS451417_01984
ko:K03696	cdip:ERS451417_01987
ko:K00758	cdip:ERS451417_01991
ko:K01489	cdip:ERS451417_01992
ko:K03317	cdip:ERS451417_01993
ko:K04567	cdip:ERS451417_01995
ko:K09136	cdip:ERS451417_01997
ko:K09136	cdip:ERS451417_02003
ko:K01992	cdip:ERS451417_02004
ko:K01990	cdip:ERS451417_02005
ko:K01918	cdip:ERS451417_02009
ko:K00950	cdip:ERS451417_02013
ko:K01633	cdip:ERS451417_02014
ko:K00796	cdip:ERS451417_02015
ko:K20491	cdip:ERS451417_00062
ko:K20490	cdip:ERS451417_00063
ko:K05846	cdip:ERS451417_00067
ko:K05846	cdip:ERS451417_00068
ko:K05847	cdip:ERS451417_00069
ko:K03088	cdip:ERS451417_00071
ko:K21744	cdip:ERS451417_00074
ko:K01012	cdip:ERS451417_00077
ko:K02016	cdip:ERS451417_00079
ko:K02015	cdip:ERS451417_00080
ko:K02013	cdip:ERS451417_00081
ko:K05937	cdip:ERS451417_00083
ko:K01669	cdip:ERS451417_00084
ko:K01858	cdip:ERS451417_00086
ko:K06966	cdip:ERS451417_00096
ko:K07120	cdip:ERS451417_00099
ko:K07090	cdip:ERS451417_00101
ko:K03579	cdip:ERS451417_00102
ko:K00661	cdip:ERS451417_00103
ko:K03919	cdip:ERS451417_00104
ko:K01246	cdip:ERS451417_00105
ko:K00537	cdip:ERS451417_00869
ko:K09146	cdip:ERS451417_00870
ko:K06207	cdip:ERS451417_00872
ko:K15525	cdip:ERS451417_00874
ko:K16237	cdip:ERS451417_00881
ko:K00674	cdip:ERS451417_00882
ko:K16237	cdip:ERS451417_00883
ko:K00674	cdip:ERS451417_00884
ko:K01439	cdip:ERS451417_00885
ko:K06966	cdip:ERS451417_00886
ko:K00796	cdip:ERS451417_00887
ko:K13693	cdip:ERS451417_00888
ko:K00563	cdip:ERS451417_00891
ko:K01193	cdip:ERS451417_00892
ko:K01575	cdip:ERS451417_00893
ko:K16148	cdip:ERS451417_00894
ko:K00975	cdip:ERS451417_00895
ko:K03088	cdip:ERS451417_00897
ko:K03117	cdip:ERS451417_00899
ko:K03593	cdip:ERS451417_00900
ko:K01616	cdip:ERS451417_00905
ko:K06147	cdip:ERS451417_00906
ko:K00014	cdip:ERS451417_00909
ko:K03929	cdip:ERS451417_00910
ko:K01785	cdip:ERS451417_00914
ko:K03307	cdip:ERS451417_00915
ko:K00965	cdip:ERS451417_00917
ko:K01495	cdip:ERS451417_02017
ko:K03798	cdip:ERS451417_02018
ko:K00760	cdip:ERS451417_02019
ko:K04075	cdip:ERS451417_02020
ko:K07259	cdip:ERS451417_02021
ko:K01507	cdip:ERS451417_02022
ko:K04077	cdip:ERS451417_02034
ko:K13671	cdip:ERS451417_02044
ko:K06048	cdip:ERS451417_02045
ko:K01462	cdip:ERS451417_02048
ko:K01142	cdip:ERS451417_02050
ko:K06131	cdip:ERS451417_02051
ko:K01992	cdip:ERS451417_02052
ko:K01990	cdip:ERS451417_02053
ko:K02030	cdip:ERS451417_02055
ko:K14949	cdip:ERS451417_02056
ko:K00925	cdip:ERS451417_02057
ko:K13788	cdip:ERS451417_02058
ko:K00528	cdip:ERS451417_02059
ko:K02348	cdip:ERS451417_02060
ko:K08289	cdip:ERS451417_02061
ko:K07101	cdip:ERS451417_02062
ko:K18918	cdip:ERS451417_00114
ko:K06218	cdip:ERS451417_00115
ko:K06996	cdip:ERS451417_00117
ko:K07386	cdip:ERS451417_00121
ko:K05845	cdip:ERS451417_00124
ko:K11387	cdip:ERS451417_00126
ko:K13686	cdip:ERS451417_00127
ko:K16652	cdip:ERS451417_00128
ko:K16653	cdip:ERS451417_00129
ko:K16649	cdip:ERS451417_00134
ko:K11707	cdip:ERS451417_00135
ko:K11710	cdip:ERS451417_00136
ko:K11708	cdip:ERS451417_00137
ko:K11709	cdip:ERS451417_00138
ko:K11707	cdip:ERS451417_00139
ko:K01990	cdip:ERS451417_00140
ko:K01992	cdip:ERS451417_00141
ko:K00817	cdip:ERS451417_00145
ko:K14445	cdip:ERS451417_00148
ko:K00375	cdip:ERS451417_00151
ko:K06215	cdip:ERS451417_00152
ko:K08681	cdip:ERS451417_00153
ko:K07284	cdip:ERS451417_00155
ko:K00849	cdip:ERS451417_00918
ko:K03574	cdip:ERS451417_00920
ko:K05592	cdip:ERS451417_00922
ko:K11928	cdip:ERS451417_00926
ko:K00782	cdip:ERS451417_00940
ko:K18929	cdip:ERS451417_00941
ko:K18928	cdip:ERS451417_00942
ko:K03303	cdip:ERS451417_00943
ko:K01887	cdip:ERS451417_00944
ko:K01586	cdip:ERS451417_00945
ko:K00003	cdip:ERS451417_00946
ko:K00872	cdip:ERS451417_00947
ko:K00666	cdip:ERS451417_00948
ko:K03628	cdip:ERS451417_00950
ko:K02835	cdip:ERS451417_00951
ko:K02493	cdip:ERS451417_00952
ko:K02851	cdip:ERS451417_00954
ko:K02108	cdip:ERS451417_00956
ko:K02110	cdip:ERS451417_00957
ko:K02109	cdip:ERS451417_00958
ko:K02113	cdip:ERS451417_00959
ko:K02111	cdip:ERS451417_00960
ko:K02115	cdip:ERS451417_00961
ko:K02112	cdip:ERS451417_00962
ko:K02114	cdip:ERS451417_00963
ko:K07503	cdip:ERS451417_00965
ko:K05606	cdip:ERS451417_00966
ko:K02013	cdip:ERS451417_00968
ko:K01939	cdip:ERS451417_02066
ko:K07483	cdip:ERS451417_02075
ko:K07497	cdip:ERS451417_02076
ko:K01990	cdip:ERS451417_02078
ko:K07497	cdip:ERS451417_02090
ko:K12240	cdip:ERS451417_02094
ko:K04783	cdip:ERS451417_02096
ko:K16926	cdip:ERS451417_02098
ko:K16785	cdip:ERS451417_02099
ko:K16786	cdip:ERS451417_02100
ko:K16787	cdip:ERS451417_02100
ko:K06147	cdip:ERS451417_02101
ko:K06147	cdip:ERS451417_02102
ko:K00661	cdip:ERS451417_02105
ko:K01990	cdip:ERS451417_02106
ko:K01992	cdip:ERS451417_02107
ko:K01992	cdip:ERS451417_02108
ko:K07497	cdip:ERS451417_02111
ko:K07284	cdip:ERS451417_00158
ko:K04517	cdip:ERS451417_00163
ko:K11991	cdip:ERS451417_00165
ko:K06994	cdip:ERS451417_00169
ko:K00773	cdip:ERS451417_00170
ko:K01885	cdip:ERS451417_00171
ko:K03299	cdip:ERS451417_00172
ko:K00851	cdip:ERS451417_00173
ko:K00098	cdip:ERS451417_00174
ko:K00046	cdip:ERS451417_00175
ko:K02343	cdip:ERS451417_00181
ko:K09747	cdip:ERS451417_00182
ko:K06187	cdip:ERS451417_00183
ko:K07009	cdip:ERS451417_00184
ko:K02342	cdip:ERS451417_00186
ko:K01649	cdip:ERS451417_00188
ko:K05346	cdip:ERS451417_00189
ko:K03784	cdip:ERS451417_00193
ko:K08168	cdip:ERS451417_00194
ko:K01619	cdip:ERS451417_00195
ko:K01840	cdip:ERS451417_00196
ko:K00928	cdip:ERS451417_00199
ko:K00133	cdip:ERS451417_00200
ko:K07284	cdip:ERS451417_00204
ko:K07284	cdip:ERS451417_00205
ko:K03088	cdip:ERS451417_00207
ko:K03781	cdip:ERS451417_00208
ko:K02010	cdip:ERS451417_00209
ko:K02015	cdip:ERS451417_00969
ko:K02015	cdip:ERS451417_00970
ko:K02016	cdip:ERS451417_00971
ko:K05838	cdip:ERS451417_00973
ko:K00700	cdip:ERS451417_00974
ko:K16147	cdip:ERS451417_00975
ko:K02013	cdip:ERS451417_00976
ko:K03521	cdip:ERS451417_00979
ko:K03522	cdip:ERS451417_00980
ko:K04487	cdip:ERS451417_00981
ko:K00566	cdip:ERS451417_00983
ko:K02342	cdip:ERS451417_00985
ko:K01972	cdip:ERS451417_00986
ko:K02435	cdip:ERS451417_00988
ko:K02433	cdip:ERS451417_00989
ko:K02015	cdip:ERS451417_00994
ko:K02013	cdip:ERS451417_00995
ko:K02016	cdip:ERS451417_00996
ko:K21071	cdip:ERS451417_00998
ko:K02434	cdip:ERS451417_00999
ko:K19265	cdip:ERS451417_01000
ko:K06895	cdip:ERS451417_01001
ko:K05596	cdip:ERS451417_01002
ko:K07393	cdip:ERS451417_01003
ko:K01687	cdip:ERS451417_01006
ko:K01652	cdip:ERS451417_01008
ko:K01653	cdip:ERS451417_01009
ko:K00053	cdip:ERS451417_01010
ko:K16264	cdip:ERS451417_01011
ko:K00058	cdip:ERS451417_01014
ko:K00052	cdip:ERS451417_01015
ko:K07182	cdip:ERS451417_01018
ko:K01624	cdip:ERS451417_02120
ko:K00762	cdip:ERS451417_02123
ko:K01011	cdip:ERS451417_02125
ko:K03695	cdip:ERS451417_02128
ko:K21687	cdip:ERS451417_02129
ko:K01990	cdip:ERS451417_02130
ko:K01992	cdip:ERS451417_02131
ko:K03312	cdip:ERS451417_02133
ko:K13953	cdip:ERS451417_02139
ko:K00138	cdip:ERS451417_02140
ko:K13640	cdip:ERS451417_02142
ko:K03686	cdip:ERS451417_02143
ko:K03687	cdip:ERS451417_02144
ko:K04043	cdip:ERS451417_02145
ko:K02031	cdip:ERS451417_02149
ko:K02034	cdip:ERS451417_02149
ko:K02033	cdip:ERS451417_02150
ko:K02035	cdip:ERS451417_02151
ko:K03306	cdip:ERS451417_02152
ko:K00528	cdip:ERS451417_02153
ko:K01952	cdip:ERS451417_02159
ko:K00626	cdip:ERS451417_02160
ko:K02013	cdip:ERS451417_02164
ko:K02011	cdip:ERS451417_00210
ko:K02012	cdip:ERS451417_00211
ko:K02445	cdip:ERS451417_00212
ko:K02483	cdip:ERS451417_00213
ko:K05571	cdip:ERS451417_00215
ko:K05570	cdip:ERS451417_00216
ko:K05569	cdip:ERS451417_00217
ko:K05568	cdip:ERS451417_00218
ko:K05567	cdip:ERS451417_00219
ko:K05565	cdip:ERS451417_00220
ko:K09117	cdip:ERS451417_00225
ko:K18955	cdip:ERS451417_00227
ko:K10914	cdip:ERS451417_00231
ko:K10773	cdip:ERS451417_00233
ko:K02283	cdip:ERS451417_00242
ko:K12510	cdip:ERS451417_00243
ko:K06877	cdip:ERS451417_00248
ko:K02035	cdip:ERS451417_00253
ko:K02033	cdip:ERS451417_00254
ko:K02034	cdip:ERS451417_00254
ko:K03168	cdip:ERS451417_00256
ko:K19302	cdip:ERS451417_00257
ko:K02342	cdip:ERS451417_01019
ko:K02361	cdip:ERS451417_01024
ko:K01885	cdip:ERS451417_01025
ko:K03932	cdip:ERS451417_01026
ko:K01595	cdip:ERS451417_01037
ko:K06193	cdip:ERS451417_01038
ko:K01012	cdip:ERS451417_01039
ko:K01703	cdip:ERS451417_01042
ko:K01704	cdip:ERS451417_01043
ko:K03574	cdip:ERS451417_01044
ko:K00057	cdip:ERS451417_01045
ko:K01921	cdip:ERS451417_01046
ko:K00946	cdip:ERS451417_01048
ko:K03648	cdip:ERS451417_01049
ko:K07030	cdip:ERS451417_01050
ko:K03655	cdip:ERS451417_01051
ko:K08316	cdip:ERS451417_01053
ko:K00954	cdip:ERS451417_01054
ko:K02028	cdip:ERS451417_01055
ko:K02029	cdip:ERS451417_01056
ko:K02030	cdip:ERS451417_01057
ko:K08974	cdip:ERS451417_01058
ko:K02015	cdip:ERS451417_02165
ko:K02015	cdip:ERS451417_02166
ko:K02016	cdip:ERS451417_02167
ko:K01243	cdip:ERS451417_02168
ko:K00004	cdip:ERS451417_02172
ko:K14260	cdip:ERS451417_02173
ko:K04567	cdip:ERS451417_02175
ko:K00012	cdip:ERS451417_02178
ko:K01494	cdip:ERS451417_02179
ko:K06147	cdip:ERS451417_02188
ko:K06147	cdip:ERS451417_02189
ko:K02035	cdip:ERS451417_02192
ko:K02033	cdip:ERS451417_02193
ko:K02034	cdip:ERS451417_02194
ko:K02031	cdip:ERS451417_02195
ko:K02032	cdip:ERS451417_02195
ko:K07552	cdip:ERS451417_02198
ko:K01207	cdip:ERS451417_02202
ko:K16648	cdip:ERS451417_02204
ko:K01596	cdip:ERS451417_02210
ko:K03439	cdip:ERS451417_02211
ko:K06860	cdip:ERS451417_02212
ko:K20470	cdip:ERS451417_02213
ko:K01186	cdip:ERS451417_00260
ko:K01768	cdip:ERS451417_00262
ko:K02341	cdip:ERS451417_00263
ko:K03919	cdip:ERS451417_00275
ko:K00666	cdip:ERS451417_00282
ko:K00973	cdip:ERS451417_00284
ko:K00067	cdip:ERS451417_00285
ko:K01790	cdip:ERS451417_00285
ko:K01710	cdip:ERS451417_00286
ko:K01322	cdip:ERS451417_00288
ko:K00382	cdip:ERS451417_00291
ko:K07110	cdip:ERS451417_00292
ko:K00241	cdip:ERS451417_00293
ko:K00239	cdip:ERS451417_00294
ko:K00240	cdip:ERS451417_00295
ko:K01619	cdip:ERS451417_00300
ko:K04069	cdip:ERS451417_00302
ko:K00656	cdip:ERS451417_00304
ko:K00075	cdip:ERS451417_00307
ko:K01897	cdip:ERS451417_00308
ko:K01897	cdip:ERS451417_00309
ko:K03465	cdip:ERS451417_01102
ko:K20468	cdip:ERS451417_02214
ko:K12437	cdip:ERS451417_02223
ko:K12428	cdip:ERS451417_02224
ko:K13687	cdip:ERS451417_02230
ko:K14136	cdip:ERS451417_02231
ko:K16650	cdip:ERS451417_02233
ko:K19302	cdip:ERS451417_02234
ko:K02168	cdip:ERS451417_02236
ko:K00108	cdip:ERS451417_02237
