ko:K07481	blc:Balac_0968
ko:K02835	blc:Balac_0524
ko:K02493	blc:Balac_0525
ko:K07259	blc:Balac_0496
ko:K04075	blc:Balac_0497
ko:K00760	blc:Balac_0498
ko:K03798	blc:Balac_0499
ko:K10805	blc:Balac_0502
ko:K01462	blc:Balac_0504
ko:K01740	blc:Balac_0505
ko:K00549	blc:Balac_0884
ko:K08296	blc:Balac_0885
ko:K07442	blc:Balac_0886
ko:K02013	blc:Balac_0887
ko:K03564	blc:Balac_0889
ko:K00266	blc:Balac_0891
ko:K00265	blc:Balac_0892
ko:K03596	blc:Balac_0894
ko:K02968	blc:Balac_0895
ko:K00826	blc:Balac_0897
ko:K02897	blc:Balac_0898
ko:K06889	blc:Balac_0899
ko:K00325	blc:Balac_0900
ko:K00324	blc:Balac_0901
ko:K00324	blc:Balac_0902
ko:K03595	blc:Balac_0904
ko:K07042	blc:Balac_0906
ko:K06217	blc:Balac_0907
ko:K09761	blc:Balac_0909
ko:K03684	blc:Balac_1081
ko:K04069	blc:Balac_1082
ko:K00656	blc:Balac_1083
ko:K01950	blc:Balac_1085
ko:K04096	blc:Balac_1067
ko:K00239	blc:Balac_1068
ko:K00240	blc:Balac_1069
ko:K06966	blc:Balac_1071
ko:K03313	blc:Balac_1072
ko:K03544	blc:Balac_1076
ko:K01358	blc:Balac_1077
ko:K01358	blc:Balac_1078
ko:K03545	blc:Balac_1080
ko:K01874	blc:Balac_1542
ko:K07056	blc:Balac_1545
ko:K03975	blc:Balac_1548
ko:K05349	blc:Balac_1551
ko:K03686	blc:Balac_1555
ko:K00705	blc:Balac_1567
ko:K01950	blc:Balac_1583
ko:K07473	blc:Balac_1584
ko:K03687	blc:Balac_1556
ko:K04043	blc:Balac_1557
ko:K01972	blc:Balac_0695
ko:K03593	blc:Balac_0696
ko:K01915	blc:Balac_0698
ko:K00382	blc:Balac_0700
ko:K02003	blc:Balac_0712
ko:K03437	blc:Balac_0715
ko:K01889	blc:Balac_0716
ko:K01890	blc:Balac_0717
ko:K00145	blc:Balac_0719
ko:K00930	blc:Balac_0721
ko:K00611	blc:Balac_0723
ko:K03402	blc:Balac_0724
ko:K01940	blc:Balac_0725
ko:K01755	blc:Balac_0726
ko:K01866	blc:Balac_0729
ko:K06442	blc:Balac_0732
ko:K03499	blc:Balac_0734
ko:K00858	blc:Balac_0735
ko:K03631	blc:Balac_0736
ko:K01733	blc:Balac_0738
ko:K00147	blc:Balac_0739
ko:K00969	blc:Balac_0741
ko:K00948	blc:Balac_0742
ko:K04042	blc:Balac_0744
ko:K09710	blc:Balac_0745
ko:K07006	blc:Balac_0750
ko:K01834	blc:Balac_0751
ko:K03284	blc:Balac_0752
ko:K01869	blc:Balac_0754
ko:K02237	blc:Balac_0755
ko:K02238	blc:Balac_0756
ko:K02340	blc:Balac_0757
ko:K06925	blc:Balac_0758
ko:K03789	blc:Balac_0760
ko:K01409	blc:Balac_0761
ko:K00031	blc:Balac_0768
ko:K00088	blc:Balac_0769
ko:K01462	blc:Balac_0772
ko:K02967	blc:Balac_0773
ko:K02357	blc:Balac_0774
ko:K09903	blc:Balac_0775
ko:K02838	blc:Balac_0776
ko:K00981	blc:Balac_0777
ko:K06941	blc:Balac_0778
ko:K02500	blc:Balac_0782
ko:K01496	blc:Balac_0783
ko:K01657	blc:Balac_0784
ko:K01696	blc:Balac_0788
ko:K01695	blc:Balac_0789
ko:K01783	blc:Balac_0791
ko:K01523	blc:Balac_0792
ko:K00765	blc:Balac_0793
ko:K00975	blc:Balac_0913
ko:K04488	blc:Balac_0915
ko:K11717	blc:Balac_0916
ko:K09013	blc:Balac_0917
ko:K09015	blc:Balac_0918
ko:K09014	blc:Balac_0919
ko:K01937	blc:Balac_0922
ko:K03786	blc:Balac_0933
ko:K01736	blc:Balac_0935
ko:K02654	blc:Balac_0936
ko:K07082	blc:Balac_0937
ko:K07447	blc:Balac_0938
ko:K01872	blc:Balac_0939
ko:K08972	blc:Balac_0943
ko:K02986	blc:Balac_0944
ko:K03657	blc:Balac_0945
ko:K03816	blc:Balac_0946
ko:K03458	blc:Balac_0947
ko:K07010	blc:Balac_0953
ko:K04782	blc:Balac_0961
ko:K01951	blc:Balac_0970
ko:K00925	blc:Balac_0973
ko:K07053	blc:Balac_1260
ko:K01778	blc:Balac_1262
ko:K01776	blc:Balac_1263
ko:K02072	blc:Balac_1271
ko:K02071	blc:Balac_1272
ko:K02073	blc:Balac_1273
ko:K02072	blc:Balac_1087
ko:K02071	blc:Balac_1088
ko:K02073	blc:Balac_1089
ko:K01520	blc:Balac_1092
ko:K02469	blc:Balac_1096
ko:K05340	blc:Balac_1097
ko:K03724	blc:Balac_1098
ko:K02470	blc:Balac_1102
ko:K03086	blc:Balac_1103
ko:K02909	blc:Balac_0510
ko:K01805	blc:Balac_0511
ko:K02529	blc:Balac_0513
ko:K01945	blc:Balac_0594
ko:K01933	blc:Balac_0595
ko:K00764	blc:Balac_0596
ko:K03502	blc:Balac_0597
ko:K01952	blc:Balac_0610
ko:K01923	blc:Balac_0611
ko:K08289	blc:Balac_0612
ko:K01620	blc:Balac_0614
ko:K02950	blc:Balac_0617
ko:K02992	blc:Balac_0618
ko:K02355	blc:Balac_0619
ko:K02358	blc:Balac_0620
ko:K02356	blc:Balac_0623
ko:K03625	blc:Balac_0624
ko:K01956	blc:Balac_0625
ko:K01955	blc:Balac_0626
ko:K01591	blc:Balac_0627
ko:K00942	blc:Balac_0628
ko:K01687	blc:Balac_0629
ko:K03060	blc:Balac_0630
ko:K00789	blc:Balac_0631
ko:K08884	blc:Balac_1106
ko:K00655	blc:Balac_1107
ko:K00766	blc:Balac_1109
ko:K03070	blc:Balac_1110
ko:K03565	blc:Balac_1113
ko:K03553	blc:Balac_1114
ko:K03743	blc:Balac_1117
ko:K00077	blc:Balac_1274
ko:K03758	blc:Balac_1283
ko:K03969	blc:Balac_1288
ko:K01870	blc:Balac_1291
ko:K07458	blc:Balac_1300
ko:K02114	blc:Balac_1428
ko:K02112	blc:Balac_1429
ko:K02115	blc:Balac_1430
ko:K02111	blc:Balac_1431
ko:K02113	blc:Balac_1432
ko:K02109	blc:Balac_1433
ko:K02110	blc:Balac_1434
ko:K02108	blc:Balac_1435
ko:K02529	blc:Balac_1590
ko:K01754	blc:Balac_1592
ko:K01494	blc:Balac_1606
ko:K03218	blc:Balac_1608
ko:K02528	blc:Balac_1616
ko:K00919	blc:Balac_1617
ko:K00384	blc:Balac_1623
ko:K03497	blc:Balac_1624
ko:K03496	blc:Balac_1625
ko:K03501	blc:Balac_1626
ko:K06346	blc:Balac_1627
ko:K03217	blc:Balac_1628
ko:K08998	blc:Balac_1629
ko:K03536	blc:Balac_1630
ko:K02914	blc:Balac_1631
ko:K02313	blc:Balac_0001
ko:K02338	blc:Balac_0002
ko:K03629	blc:Balac_0003
ko:K02470	blc:Balac_0005
ko:K02469	blc:Balac_0006
ko:K00262	blc:Balac_0010
ko:K03282	blc:Balac_0014
ko:K07043	blc:Balac_0018
ko:K03701	blc:Balac_0022
ko:K03106	blc:Balac_0271
ko:K01883	blc:Balac_0272
ko:K01653	blc:Balac_0275
ko:K01652	blc:Balac_0276
ko:K03685	blc:Balac_0277
ko:K02911	blc:Balac_0278
ko:K07040	blc:Balac_0279
ko:K00954	blc:Balac_0281
ko:K00763	blc:Balac_0284
ko:K00989	blc:Balac_0286
ko:K02902	blc:Balac_0259
ko:K03655	blc:Balac_0260
ko:K00554	blc:Balac_0264
ko:K02860	blc:Balac_0265
ko:K06960	blc:Balac_0266
ko:K02959	blc:Balac_0267
ko:K07088	blc:Balac_0299
ko:K01439	blc:Balac_0300
ko:K02888	blc:Balac_0302
ko:K02899	blc:Balac_0303
ko:K03979	blc:Balac_0304
ko:K00931	blc:Balac_0305
ko:K03073	blc:Balac_0308
ko:K02601	blc:Balac_0309
ko:K02867	blc:Balac_0310
ko:K02863	blc:Balac_0311
ko:K03524	blc:Balac_0313
ko:K03523	blc:Balac_0314
ko:K11533	blc:Balac_0317
ko:K00997	blc:Balac_0318
ko:K00016	blc:Balac_0321
ko:K02956	blc:Balac_0322
ko:K00962	blc:Balac_0323
ko:K03744	blc:Balac_0324
ko:K00526	blc:Balac_0326
ko:K00525	blc:Balac_0327
ko:K03647	blc:Balac_0328
ko:K06191	blc:Balac_0329
ko:K01810	blc:Balac_0293
ko:K02884	blc:Balac_0294
ko:K03100	blc:Balac_0295
ko:K00574	blc:Balac_0632
ko:K04066	blc:Balac_0633
ko:K00604	blc:Balac_0634
ko:K01092	blc:Balac_0639
ko:K03530	blc:Balac_0642
ko:K01756	blc:Balac_0644
ko:K03924	blc:Balac_0652
ko:K03648	blc:Balac_0653
ko:K03704	blc:Balac_0655
ko:K04077	blc:Balac_0656
ko:K03704	blc:Balac_0661
ko:K03696	blc:Balac_0665
ko:K01876	blc:Balac_0666
ko:K01892	blc:Balac_0667
ko:K06889	blc:Balac_0669
ko:K10008	blc:Balac_0670
ko:K10005	blc:Balac_0671
ko:K10007	blc:Balac_0673
ko:K07478	blc:Balac_0676
ko:K03707	blc:Balac_0685
ko:K07574	blc:Balac_0686
ko:K00886	blc:Balac_0690
ko:K03701	blc:Balac_0856
ko:K06999	blc:Balac_0859
ko:K01442	blc:Balac_0863
ko:K00384	blc:Balac_0866
ko:K00762	blc:Balac_0874
ko:K01591	blc:Balac_0877
ko:K01465	blc:Balac_0878
ko:K00610	blc:Balac_0879
ko:K00609	blc:Balac_0880
ko:K00982	blc:Balac_0882
ko:K04759	blc:Balac_1036
ko:K00036	blc:Balac_1038
ko:K01057	blc:Balac_1040
ko:K00033	blc:Balac_1041
ko:K05995	blc:Balac_1042
ko:K03311	blc:Balac_1043
ko:K12267	blc:Balac_1044
ko:K06942	blc:Balac_1053
ko:K00286	blc:Balac_1054
ko:K02003	blc:Balac_1059
ko:K01740	blc:Balac_1063
ko:K00868	blc:Balac_1064
ko:K07460	blc:Balac_1065
ko:K07391	blc:Balac_1066
ko:K01693	blc:Balac_1223
ko:K00817	blc:Balac_1224
ko:K00013	blc:Balac_1225
ko:K02337	blc:Balac_1226
ko:K06180	blc:Balac_1228
ko:K03101	blc:Balac_1229
ko:K02221	blc:Balac_1231
ko:K09772	blc:Balac_1232
ko:K03531	blc:Balac_1233
ko:K01880	blc:Balac_1235
ko:K00878	blc:Balac_1236
ko:K02529	blc:Balac_1239
ko:K02532	blc:Balac_1240
ko:K00806	blc:Balac_1246
ko:K03584	blc:Balac_1247
ko:K00099	blc:Balac_1250
ko:K07177	blc:Balac_1255
ko:K06287	blc:Balac_1407
ko:K00872	blc:Balac_1414
ko:K00003	blc:Balac_1415
ko:K01586	blc:Balac_1416
ko:K01887	blc:Balac_1417
ko:K01201	blc:Balac_1418
ko:K05838	blc:Balac_1423
ko:K07503	blc:Balac_1427
ko:K03470	blc:Balac_0296
ko:K02003	blc:Balac_0297
ko:K00558	blc:Balac_0034
ko:K05349	blc:Balac_0049
ko:K01201	blc:Balac_0052
ko:K12308	blc:Balac_0053
ko:K04047	blc:Balac_0056
ko:K01673	blc:Balac_0058
ko:K01804	blc:Balac_0068
ko:K01595	blc:Balac_0070
ko:K01867	blc:Balac_0073
ko:K00688	blc:Balac_0076
ko:K01278	blc:Balac_0091
ko:K00563	blc:Balac_0095
ko:K03790	blc:Balac_0357
ko:K04078	blc:Balac_0359
ko:K08303	blc:Balac_0331
ko:K01304	blc:Balac_0334
ko:K01372	blc:Balac_0336
ko:K01626	blc:Balac_0337
ko:K01626	blc:Balac_0339
ko:K01243	blc:Balac_0340
ko:K07776	blc:Balac_0342
ko:K02040	blc:Balac_0343
ko:K02037	blc:Balac_0344
ko:K02038	blc:Balac_0345
ko:K02036	blc:Balac_0346
ko:K06901	blc:Balac_0347
ko:K02864	blc:Balac_0349
ko:K02935	blc:Balac_0350
ko:K02913	blc:Balac_0363
ko:K00075	blc:Balac_0364
ko:K02346	blc:Balac_0368
ko:K00705	blc:Balac_0373
ko:K02871	blc:Balac_0374
ko:K02996	blc:Balac_0375
ko:K02946	blc:Balac_0381
ko:K02906	blc:Balac_0382
ko:K02926	blc:Balac_0383
ko:K02892	blc:Balac_0384
ko:K02886	blc:Balac_0385
ko:K02965	blc:Balac_0386
ko:K02890	blc:Balac_0387
ko:K02982	blc:Balac_0388
ko:K02878	blc:Balac_0389
ko:K02904	blc:Balac_0390
ko:K02961	blc:Balac_0391
ko:K02874	blc:Balac_0392
ko:K02895	blc:Balac_0393
ko:K02931	blc:Balac_0394
ko:K00528	blc:Balac_0099
ko:K00773	blc:Balac_0104
ko:K03799	blc:Balac_0106
ko:K07473	blc:Balac_0111
ko:K00567	blc:Balac_0112
ko:K06889	blc:Balac_0116
ko:K01624	blc:Balac_0128
ko:K01939	blc:Balac_0129
ko:K06199	blc:Balac_0130
ko:K06199	blc:Balac_0131
ko:K01997	blc:Balac_0132
ko:K01998	blc:Balac_0133
ko:K01995	blc:Balac_0134
ko:K01996	blc:Balac_0135
ko:K01999	blc:Balac_0136
ko:K00690	blc:Balac_0138
ko:K00053	blc:Balac_0148
ko:K05970	blc:Balac_0149
ko:K05350	blc:Balac_0151
ko:K02003	blc:Balac_0161
ko:K09815	blc:Balac_0182
ko:K08659	blc:Balac_0187
ko:K03110	blc:Balac_0189
ko:K03320	blc:Balac_0190
ko:K00990	blc:Balac_0192
ko:K02314	blc:Balac_0194
ko:K07009	blc:Balac_0196
ko:K00761	blc:Balac_0200
ko:K00937	blc:Balac_0203
ko:K02283	blc:Balac_0205
ko:K02343	blc:Balac_0211
ko:K06187	blc:Balac_0212
ko:K00928	blc:Balac_0213
ko:K00928	blc:Balac_0214
ko:K00133	blc:Balac_0215
ko:K01649	blc:Balac_0217
ko:K01858	blc:Balac_0219
ko:K03168	blc:Balac_0221
ko:K00943	blc:Balac_0222
ko:K02341	blc:Balac_0223
ko:K06910	blc:Balac_0224
ko:K08659	blc:Balac_0226
ko:K00088	blc:Balac_0528
ko:K01881	blc:Balac_0533
ko:K07386	blc:Balac_0535
ko:K01265	blc:Balac_0537
ko:K01647	blc:Balac_0538
ko:K00783	blc:Balac_0539
ko:K02836	blc:Balac_0542
ko:K09812	blc:Balac_0543
ko:K09811	blc:Balac_0544
ko:K03664	blc:Balac_0546
ko:K07173	blc:Balac_0582
ko:K01775	blc:Balac_0584
ko:K02316	blc:Balac_0585
ko:K01662	blc:Balac_0588
ko:K01588	blc:Balac_0589
ko:K01589	blc:Balac_0590
ko:K00820	blc:Balac_0554
ko:K03525	blc:Balac_0557
ko:K03657	blc:Balac_1257
ko:K03711	blc:Balac_0591
ko:K12410	blc:Balac_1591
ko:K01491	blc:Balac_0989
ko:K13288	blc:Balac_0529
ko:K03655	blc:Balac_0020
ko:K06199	blc:Balac_0801
ko:K06199	blc:Balac_0802
ko:K01091	blc:Balac_0803
ko:K03727	blc:Balac_0805
ko:K00963	blc:Balac_0808
ko:K03977	blc:Balac_0810
ko:K06178	blc:Balac_0811
ko:K00602	blc:Balac_0814
ko:K01902	blc:Balac_0816
ko:K01903	blc:Balac_0817
ko:K00759	blc:Balac_0818
ko:K03210	blc:Balac_0819
ko:K03551	blc:Balac_0820
ko:K03550	blc:Balac_0821
ko:K01159	blc:Balac_0822
ko:K00995	blc:Balac_0826
ko:K01868	blc:Balac_0827
ko:K06153	blc:Balac_0838
ko:K03686	blc:Balac_0840
ko:K03705	blc:Balac_0841
ko:K00615	blc:Balac_0842
ko:K00616	blc:Balac_0843
ko:K03075	blc:Balac_0849
ko:K01803	blc:Balac_0850
ko:K00927	blc:Balac_0851
ko:K09762	blc:Balac_0852
ko:K06958	blc:Balac_0853
ko:K00014	blc:Balac_0854
ko:K03703	blc:Balac_0855
ko:K00800	blc:Balac_0974
ko:K02335	blc:Balac_0980
ko:K00873	blc:Balac_0984
ko:K03702	blc:Balac_0986
ko:K00859	blc:Balac_0987
ko:K02945	blc:Balac_0988
ko:K01770	blc:Balac_0993
ko:K07736	blc:Balac_0994
ko:K00700	blc:Balac_0995
ko:K03466	blc:Balac_1005
ko:K11068	blc:Balac_1008
ko:K03624	blc:Balac_1009
ko:K01752	blc:Balac_1011
ko:K01689	blc:Balac_1017
ko:K03723	blc:Balac_1021
ko:K01056	blc:Balac_1022
ko:K03823	blc:Balac_1023
ko:K09118	blc:Balac_1024
ko:K01207	blc:Balac_1025
ko:K06200	blc:Balac_1027
ko:K01744	blc:Balac_1034
ko:K00995	blc:Balac_1118
ko:K03466	blc:Balac_1119
ko:K00791	blc:Balac_1120
ko:K06890	blc:Balac_1123
ko:K00661	blc:Balac_1132
ko:K01681	blc:Balac_1134
ko:K01142	blc:Balac_1140
ko:K03733	blc:Balac_1146
ko:K02003	blc:Balac_1147
ko:K06207	blc:Balac_1153
ko:K08369	blc:Balac_1154
ko:K03496	blc:Balac_1156
ko:K04763	blc:Balac_1157
ko:K02887	blc:Balac_1158
ko:K02916	blc:Balac_1159
ko:K02520	blc:Balac_1160
ko:K00134	blc:Balac_1162
ko:K03527	blc:Balac_1164
ko:K03088	blc:Balac_1167
ko:K01928	blc:Balac_1168
ko:K01262	blc:Balac_1174
ko:K00847	blc:Balac_1177
ko:K07560	blc:Balac_1178
ko:K01919	blc:Balac_1309
ko:K08987	blc:Balac_1312
ko:K04068	blc:Balac_1314
ko:K03601	blc:Balac_1316
ko:K03602	blc:Balac_1317
ko:K07458	blc:Balac_1322
ko:K01462	blc:Balac_1325
ko:K03431	blc:Balac_1326
ko:K01256	blc:Balac_1327
ko:K01714	blc:Balac_1329
ko:K03924	blc:Balac_1337
ko:K03046	blc:Balac_1342
ko:K03043	blc:Balac_1343
ko:K01938	blc:Balac_0228
ko:K01885	blc:Balac_0236
ko:K01703	blc:Balac_0241
ko:K01704	blc:Balac_0242
ko:K00790	blc:Balac_0245
ko:K00057	blc:Balac_0247
ko:K01921	blc:Balac_0248
ko:K11358	blc:Balac_0255
ko:K03575	blc:Balac_1345
ko:K09157	blc:Balac_1347
ko:K07166	blc:Balac_1348
ko:K00651	blc:Balac_1436
ko:K03466	blc:Balac_1443
ko:K07088	blc:Balac_1452
ko:K01577	blc:Balac_1453
ko:K01507	blc:Balac_1459
ko:K10773	blc:Balac_1462
ko:K01873	blc:Balac_1465
ko:K03628	blc:Balac_1469
ko:K02434	blc:Balac_1473
ko:K02433	blc:Balac_1474
ko:K02435	blc:Balac_1475
ko:K03767	blc:Balac_1090
ko:K01664	blc:Balac_0083
ko:K01854	blc:Balac_1508
ko:K01081	blc:Balac_0464
ko:K06950	blc:Balac_1533
ko:K01104	blc:Balac_1293
ko:K01104	blc:Balac_0459
ko:K01104	blc:Balac_1408
ko:K09951	blc:Balac_1307
ko:K03316	blc:Balac_1603
ko:K05343	blc:Balac_1566
ko:K01835	blc:Balac_0425
ko:K02823	blc:Balac_0876
ko:K01079	blc:Balac_0635
ko:K03386	blc:Balac_0865
ko:K11263	blc:Balac_0315
ko:K13527	blc:Balac_0637
ko:K12574	blc:Balac_1328
ko:K01193	blc:Balac_1241
ko:K03294	blc:Balac_0365
ko:K00854	blc:Balac_0521
ko:K12554	blc:Balac_0288
ko:K01421	blc:Balac_0178
ko:K01784	blc:Balac_0460
ko:K08316	blc:Balac_0263
ko:K01992	blc:Balac_1524
ko:K13787	blc:Balac_1105
ko:K02004	blc:Balac_0162
ko:K02004	blc:Balac_1148
ko:K02004	blc:Balac_0713
ko:K02004	blc:Balac_1058
ko:K02030	blc:Balac_0549
ko:K13570	blc:Balac_0640
ko:K00297	blc:Balac_0883
ko:K03657	blc:Balac_1333
ko:K01421	blc:Balac_0177
ko:K04072	blc:Balac_0378
ko:K08372	blc:Balac_0101
ko:K02069	blc:Balac_0159
ko:K00620	blc:Balac_0720
ko:K02068	blc:Balac_0158
ko:K01209	blc:Balac_0065
ko:K01739	blc:Balac_0563
ko:K01515	blc:Balac_0982
ko:K07025	blc:Balac_1561
ko:K02077	blc:Balac_0348
ko:K02077	blc:Balac_0990
ko:K11754	blc:Balac_1170
ko:K02834	blc:Balac_0415
ko:K06188	blc:Balac_0812
ko:K13640	blc:Balac_1554
ko:K03688	blc:Balac_0198
ko:K02030	blc:Balac_0548
ko:K09009	blc:Balac_1015
ko:K10006	blc:Balac_0672
ko:K02031	blc:Balac_0561
ko:K01897	blc:Balac_1406
ko:K03484	blc:Balac_0137
ko:K00633	blc:Balac_0173
ko:K02483	blc:Balac_0659
ko:K12990	blc:Balac_1403
ko:K02027	blc:Balac_0483
ko:K03719	blc:Balac_1466
ko:K07407	blc:Balac_1601
ko:K11263	blc:Balac_0141
ko:K14232	blc:Balac_0436
ko:K03980	blc:Balac_1622
ko:K10242	blc:Balac_1420
ko:K08317	blc:Balac_0581
ko:K01560	blc:Balac_0478
ko:K05794	blc:Balac_0985
ko:K07749	blc:Balac_1449
ko:K07133	blc:Balac_0965
ko:K01814	blc:Balac_1220
ko:K01817	blc:Balac_1220
ko:K13940	blc:Balac_0500
ko:K04758	blc:Balac_1035
ko:K01802	blc:Balac_1010
ko:K14229	blc:Balac_1493
ko:K14225	blc:Balac_0319
ko:K14230	blc:Balac_0362
ko:K13571	blc:Balac_0641
ko:K03216	blc:Balac_1346
ko:K00215	blc:Balac_1330
ko:K00058	blc:Balac_1209
ko:K00951	blc:Balac_1091
ko:K04092	blc:Balac_1467
ko:K01760	blc:Balac_0433
ko:K14155	blc:Balac_0950
ko:K00949	blc:Balac_1161
ko:K07114	blc:Balac_0648
ko:K14155	blc:Balac_1073
ko:K07459	blc:Balac_0466
ko:K10907	blc:Balac_0845
ko:K14219	blc:Balac_1074
ko:K14219	blc:Balac_1075
ko:K14232	blc:Balac_0809
ko:K14220	blc:Balac_0762
ko:K14220	blc:Balac_0764
ko:K14232	blc:Balac_0975
ko:K14234	blc:Balac_1614
ko:K01239	blc:Balac_1438
ko:K02029	blc:Balac_1269
ko:K14233	blc:Balac_1526
ko:K14225	blc:Balac_0105
ko:K14260	blc:Balac_0847
ko:K02028	blc:Balac_0551
ko:K14235	blc:Balac_0307
ko:K14231	blc:Balac_0490
ko:K14237	blc:Balac_0833
ko:K14153	blc:Balac_1237
ko:K14224	blc:Balac_0237
ko:K14228	blc:Balac_0098
ko:K14233	blc:Balac_0369
ko:K14228	blc:Balac_1013
ko:K01934	blc:Balac_0356
ko:K07407	blc:Balac_1537
ko:K14223	blc:Balac_0238
ko:K14233	blc:Balac_0422
ko:K14228	blc:Balac_0910
ko:K02074	blc:Balac_0991
ko:K10117	blc:Balac_1599
ko:K10118	blc:Balac_1598
ko:K10119	blc:Balac_1597
ko:K14226	blc:Balac_0615
ko:K00965	blc:Balac_1352
ko:K07341	blc:Balac_0578
ko:K00674	blc:Balac_0540
ko:K14225	blc:Balac_0829
ko:K14225	blc:Balac_0836
ko:K00971	blc:Balac_0292
ko:K06147	blc:Balac_1297
ko:K14228	blc:Balac_0983
ko:K02028	blc:Balac_1267
ko:K02484	blc:Balac_0660
ko:K02029	blc:Balac_0550
ko:K04517	blc:Balac_1150
ko:K01980	blc:Balac_1278
ko:K01980	blc:Balac_1586
ko:K01980	blc:Balac_1580
ko:K01980	blc:Balac_1506
ko:K01985	blc:Balac_1277
ko:K01985	blc:Balac_1585
ko:K01985	blc:Balac_1579
ko:K01985	blc:Balac_1505
ko:K01977	blc:Balac_1279
ko:K01977	blc:Balac_1507
ko:K01977	blc:Balac_1581
ko:K01977	blc:Balac_1587
ko:K01187	blc:Balac_1573
ko:K14218	blc:Balac_1549
ko:K14228	blc:Balac_0290
ko:K01897	blc:Balac_0678
ko:K14237	blc:Balac_0834
ko:K14237	blc:Balac_1280
ko:K14227	blc:Balac_0017
ko:K14224	blc:Balac_0462
ko:K14225	blc:Balac_1281
ko:K06147	blc:Balac_0170
ko:K01524	blc:Balac_1014
ko:K07768	blc:Balac_0341
ko:K01999	blc:Balac_0175
ko:K05364	blc:Balac_0086
ko:K14234	blc:Balac_0361
ko:K14237	blc:Balac_1252
ko:K14223	blc:Balac_0743
