ko:K19744	prp:M062_20420
ko:K07259	prp:M062_16290
ko:K12297	prp:M062_16295
ko:K03812	prp:M062_16300
ko:K03734	prp:M062_16015
ko:K06149	prp:M062_16135
ko:K15738	prp:M062_16145
ko:K08309	prp:M062_16150
ko:K07140	prp:M062_16160
ko:K00111	prp:M062_16175
ko:K00803	prp:M062_16180
ko:K03750	prp:M062_16190
ko:K03638	prp:M062_16195
ko:K07114	prp:M062_16420
ko:K07114	prp:M062_16425
ko:K01256	prp:M062_16470
ko:K09916	prp:M062_16480
ko:K02441	prp:M062_16485
ko:K00858	prp:M062_16495
ko:K09977	prp:M062_16500
ko:K00219	prp:M062_16515
ko:K02462	prp:M062_16550
ko:K02461	prp:M062_16555
ko:K02460	prp:M062_16560
ko:K02459	prp:M062_16565
ko:K02458	prp:M062_16570
ko:K02457	prp:M062_16575
ko:K02456	prp:M062_16580
ko:K02455	prp:M062_16585
ko:K00052	prp:M062_16665
ko:K00569	prp:M062_15185
ko:K03543	prp:M062_15205
ko:K03799	prp:M062_15175
ko:K01704	prp:M062_16675
ko:K01207	prp:M062_16075
ko:K01356	prp:M062_16085
ko:K03168	prp:M062_16105
ko:K01825	prp:M062_16120
ko:K00351	prp:M062_16020
ko:K00350	prp:M062_16025
ko:K00349	prp:M062_16030
ko:K00348	prp:M062_16035
ko:K00347	prp:M062_16040
ko:K00346	prp:M062_16045
ko:K11734	prp:M062_16050
ko:K00134	prp:M062_16055
ko:K03723	prp:M062_16060
ko:K01479	prp:M062_16955
ko:K03312	prp:M062_16960
ko:K06178	prp:M062_16975
ko:K03574	prp:M062_16980
ko:K01625	prp:M062_16985
ko:K01057	prp:M062_16990
ko:K00036	prp:M062_16995
ko:K03704	prp:M062_17440
ko:K16091	prp:M062_17450
ko:K03724	prp:M062_17470
ko:K09771	prp:M062_17485
ko:K07221	prp:M062_17505
ko:K07221	prp:M062_17510
ko:K09929	prp:M062_17520
ko:K09930	prp:M062_17525
ko:K03088	prp:M062_17540
ko:K16872	prp:M062_17545
ko:K06162	prp:M062_18015
ko:K05780	prp:M062_18020
ko:K05781	prp:M062_18025
ko:K06163	prp:M062_18030
ko:K06164	prp:M062_18035
ko:K06165	prp:M062_18040
ko:K06166	prp:M062_18045
ko:K02043	prp:M062_18050
ko:K02042	prp:M062_18055
ko:K02044	prp:M062_18060
ko:K02041	prp:M062_18065
ko:K00376	prp:M062_18105
ko:K07218	prp:M062_18110
ko:K00528	prp:M062_18130
ko:K01993	prp:M062_18155
ko:K12537	prp:M062_18175
ko:K12536	prp:M062_18180
ko:K16152	prp:M062_18190
ko:K07165	prp:M062_18195
ko:K03088	prp:M062_18200
ko:K09918	prp:M062_18215
ko:K00151	prp:M062_21745
ko:K00455	prp:M062_21750
ko:K01826	prp:M062_21755
ko:K02509	prp:M062_21765
ko:K02028	prp:M062_22090
ko:K02510	prp:M062_21770
ko:K02029	prp:M062_22095
ko:K02029	prp:M062_22100
ko:K02030	prp:M062_22105
ko:K00666	prp:M062_22120
ko:K01921	prp:M062_22135
ko:K00459	prp:M062_22140
ko:K01626	prp:M062_22190
ko:K13063	prp:M062_22200
ko:K00162	prp:M062_18235
ko:K00381	prp:M062_21780
ko:K00404	prp:M062_21795
ko:K07552	prp:M062_21810
ko:K01866	prp:M062_21820
ko:K13408	prp:M062_21840
ko:K13409	prp:M062_21845
ko:K12340	prp:M062_21850
ko:K00627	prp:M062_21890
ko:K07184	prp:M062_21900
ko:K02013	prp:M062_21920
ko:K02016	prp:M062_21925
ko:K02015	prp:M062_21930
ko:K02015	prp:M062_21935
ko:K01426	prp:M062_21945
ko:K00375	prp:M062_21955
ko:K05921	prp:M062_21740
ko:K06222	prp:M062_21965
ko:K16088	prp:M062_21970
ko:K05520	prp:M062_21985
ko:K01142	prp:M062_21990
ko:K03769	prp:M062_22010
ko:K01652	prp:M062_22030
ko:K07734	prp:M062_22040
ko:K08368	prp:M062_22065
ko:K01714	prp:M062_22070
ko:K00161	prp:M062_18240
ko:K00263	prp:M062_18245
ko:K06995	prp:M062_18280
ko:K01692	prp:M062_18285
ko:K06518	prp:M062_18315
ko:K06205	prp:M062_18325
ko:K09932	prp:M062_18330
ko:K13938	prp:M062_18335
ko:K01495	prp:M062_18340
ko:K07589	prp:M062_18345
ko:K09948	prp:M062_18350
ko:K15554	prp:M062_18370
ko:K04091	prp:M062_18375
ko:K15553	prp:M062_18380
ko:K00299	prp:M062_18385
ko:K15554	prp:M062_18395
ko:K15553	prp:M062_18400
ko:K00116	prp:M062_18415
ko:K09915	prp:M062_18425
ko:K15461	prp:M062_18440
ko:K07090	prp:M062_18445
ko:K01953	prp:M062_18455
ko:K09898	prp:M062_18475
ko:K08369	prp:M062_18495
ko:K16053	prp:M062_18500
ko:K00027	prp:M062_18515
ko:K05786	prp:M062_18525
ko:K01713	prp:M062_18535
ko:K00882	prp:M062_18860
ko:K01494	prp:M062_18560
ko:K03593	prp:M062_18565
ko:K01874	prp:M062_18570
ko:K03617	prp:M062_18590
ko:K03616	prp:M062_18595
ko:K03615	prp:M062_18600
ko:K03614	prp:M062_18605
ko:K03612	prp:M062_18610
ko:K03435	prp:M062_18870
ko:K03613	prp:M062_18615
ko:K10773	prp:M062_18620
ko:K01756	prp:M062_18635
ko:K01756	prp:M062_18640
ko:K07213	prp:M062_18655
ko:K01759	prp:M062_18675
ko:K01940	prp:M062_18680
ko:K01465	prp:M062_18690
ko:K03683	prp:M062_18695
ko:K03386	prp:M062_18700
ko:K02192	prp:M062_18705
ko:K03594	prp:M062_18710
ko:K07390	prp:M062_18720
ko:K12685	prp:M062_18730
ko:K00611	prp:M062_18740
ko:K02010	prp:M062_18745
ko:K09861	prp:M062_18750
ko:K00066	prp:M062_18755
ko:K16081	prp:M062_18775
ko:K07806	prp:M062_18815
ko:K10012	prp:M062_18820
ko:K10011	prp:M062_18825
ko:K13014	prp:M062_18830
ko:K07264	prp:M062_18835
ko:K12962	prp:M062_18840
ko:K12963	prp:M062_18845
ko:K00012	prp:M062_18850
ko:K02769	prp:M062_18855
ko:K02770	prp:M062_18855
ko:K03424	prp:M062_18875
ko:K01908	prp:M062_18900
ko:K00140	prp:M062_18910
ko:K07213	prp:M062_18935
ko:K00864	prp:M062_18955
ko:K02440	prp:M062_18965
ko:K00864	prp:M062_18970
ko:K02444	prp:M062_18975
ko:K00111	prp:M062_18980
ko:K02442	prp:M062_18985
ko:K03576	prp:M062_18995
ko:K00626	prp:M062_19005
ko:K00074	prp:M062_19010
ko:K10778	prp:M062_19040
ko:K02919	prp:M062_19060
ko:K02909	prp:M062_19065
ko:K00901	prp:M062_19075
ko:K05812	prp:M062_19090
ko:K11072	prp:M062_19095
ko:K11071	prp:M062_19100
ko:K11070	prp:M062_19105
ko:K11069	prp:M062_19110
ko:K09954	prp:M062_19120
ko:K07576	prp:M062_19130
ko:K07552	prp:M062_18925
ko:K06966	prp:M062_19135
ko:K03565	prp:M062_19140
ko:K03743	prp:M062_19150
ko:K03555	prp:M062_19160
ko:K05524	prp:M062_19165
ko:K03087	prp:M062_19170
ko:K06194	prp:M062_19175
ko:K00573	prp:M062_19180
ko:K03787	prp:M062_19185
ko:K04567	prp:M062_19560
ko:K02836	prp:M062_19565
ko:K11444	prp:M062_19575
ko:K13491	prp:M062_19580
ko:K13490	prp:M062_19585
ko:K13489	prp:M062_19590
ko:K13486	prp:M062_19595
ko:K13488	prp:M062_19600
ko:K13487	prp:M062_19605
ko:K00316	prp:M062_19630
ko:K06176	prp:M062_19190
ko:K07687	prp:M062_19635
ko:K03981	prp:M062_19760
ko:K01770	prp:M062_19195
ko:K00674	prp:M062_19390
ko:K01766	prp:M062_19395
ko:K02426	prp:M062_19400
ko:K00631	prp:M062_19425
ko:K09914	prp:M062_19430
ko:K15984	prp:M062_19460
ko:K00939	prp:M062_19490
ko:K01595	prp:M062_19495
ko:K01534	prp:M062_19510
ko:K06889	prp:M062_19535
ko:K04763	prp:M062_19765
ko:K02884	prp:M062_19785
ko:K00554	prp:M062_19790
ko:K02860	prp:M062_19795
ko:K02959	prp:M062_19800
ko:K03106	prp:M062_19805
ko:K08289	prp:M062_19830
ko:K06938	prp:M062_19835
ko:K03710	prp:M062_19860
ko:K01443	prp:M062_19865
ko:K00820	prp:M062_19870
ko:K11189	prp:M062_19875
ko:K02803	prp:M062_19880
ko:K02804	prp:M062_19880
ko:K01952	prp:M062_19890
ko:K09965	prp:M062_19900
ko:K03820	prp:M062_21055
ko:K01869	prp:M062_21070
ko:K03643	prp:M062_21075
ko:K02340	prp:M062_21080
ko:K09890	prp:M062_21085
ko:K00088	prp:M062_19930
ko:K07090	prp:M062_19955
ko:K03601	prp:M062_19965
ko:K01951	prp:M062_19925
ko:K08641	prp:M062_19990
ko:K02014	prp:M062_20035
ko:K01649	prp:M062_20045
ko:K14287	prp:M062_20075
ko:K03977	prp:M062_20080
ko:K04044	prp:M062_20135
ko:K04082	prp:M062_20140
ko:K13628	prp:M062_20145
ko:K04488	prp:M062_20150
ko:K04487	prp:M062_20155
ko:K13643	prp:M062_20160
ko:K00640	prp:M062_20165
ko:K15396	prp:M062_20170
ko:K01092	prp:M062_20175
ko:K03074	prp:M062_20185
ko:K03072	prp:M062_20190
ko:K03210	prp:M062_20195
ko:K00773	prp:M062_20200
ko:K07568	prp:M062_20205
ko:K11720	prp:M062_20245
ko:K07091	prp:M062_20250
ko:K06889	prp:M062_20255
ko:K01255	prp:M062_20265
ko:K02339	prp:M062_20270
ko:K01873	prp:M062_20280
ko:K01989	prp:M062_20295
ko:K05832	prp:M062_20300
ko:K05833	prp:M062_20305
ko:K06970	prp:M062_20315
ko:K03566	prp:M062_20340
ko:K06899	prp:M062_20360
ko:K07461	prp:M062_20380
ko:K01004	prp:M062_20395
ko:K09969	prp:M062_20400
ko:K04755	prp:M062_20130
ko:K16091	prp:M062_20640
ko:K02837	prp:M062_20650
ko:K07004	prp:M062_20680
ko:K01113	prp:M062_20685
ko:K08303	prp:M062_20700
ko:K03750	prp:M062_20705
ko:K03638	prp:M062_20710
ko:K03644	prp:M062_21110
ko:K03801	prp:M062_21115
ko:K03635	prp:M062_20715
ko:K09158	prp:M062_21120
ko:K03636	prp:M062_20720
ko:K03637	prp:M062_20725
ko:K07175	prp:M062_20730
ko:K03556	prp:M062_20740
ko:K00666	prp:M062_20755
ko:K00626	prp:M062_20760
ko:K00426	prp:M062_20780
ko:K00425	prp:M062_20785
ko:K02073	prp:M062_20790
ko:K02168	prp:M062_20800
ko:K03119	prp:M062_20810
ko:K15552	prp:M062_20815
ko:K10831	prp:M062_20820
ko:K15551	prp:M062_20825
ko:K03530	prp:M062_20835
ko:K10805	prp:M062_20845
ko:K07679	prp:M062_20865
ko:K07690	prp:M062_20875
ko:K07007	prp:M062_20880
ko:K09945	prp:M062_20895
ko:K17228	prp:M062_20905
ko:K03579	prp:M062_20940
ko:K06181	prp:M062_20975
ko:K01241	prp:M062_20990
ko:K09456	prp:M062_21000
ko:K00941	prp:M062_21010
ko:K00788	prp:M062_21015
ko:K01845	prp:M062_21020
ko:K07126	prp:M062_21025
ko:K06168	prp:M062_21035
ko:K07042	prp:M062_21045
ko:K06189	prp:M062_21050
ko:K02508	prp:M062_21730
ko:K05921	prp:M062_21735
ko:K01703	prp:M062_16680
ko:K04080	prp:M062_16705
ko:K05541	prp:M062_16720
ko:K07107	prp:M062_16725
ko:K01625	prp:M062_16730
ko:K01885	prp:M062_16765
ko:K03543	prp:M062_16775
ko:K03446	prp:M062_16780
ko:K03702	prp:M062_16785
ko:K00832	prp:M062_16790
ko:K02237	prp:M062_16800
ko:K13007	prp:M062_16810
ko:K01791	prp:M062_16870
ko:K05789	prp:M062_16875
ko:K05788	prp:M062_16885
ko:K02945	prp:M062_16890
ko:K00945	prp:M062_16895
ko:K00817	prp:M062_16905
ko:K14170	prp:M062_16910
ko:K00831	prp:M062_16915
ko:K02469	prp:M062_16920
ko:K08963	prp:M062_16925
ko:K00568	prp:M062_16935
ko:K07267	prp:M062_17010
ko:K10112	prp:M062_17015
ko:K17317	prp:M062_17020
ko:K17316	prp:M062_17025
ko:K17315	prp:M062_17030
ko:K00845	prp:M062_17050
ko:K01690	prp:M062_17055
ko:K00134	prp:M062_17060
ko:K06024	prp:M062_17075
ko:K05896	prp:M062_17080
ko:K07053	prp:M062_17090
ko:K06190	prp:M062_17095
ko:K09780	prp:M062_17100
ko:K06940	prp:M062_17135
ko:K03498	prp:M062_17140
ko:K02066	prp:M062_17145
ko:K02065	prp:M062_17150
ko:K02067	prp:M062_17155
ko:K06878	prp:M062_17195
ko:K01118	prp:M062_17205
ko:K09919	prp:M062_17240
ko:K02342	prp:M062_17250
ko:K07182	prp:M062_17255
ko:K14393	prp:M062_17260
ko:K02002	prp:M062_17270
ko:K01077	prp:M062_17605
ko:K03578	prp:M062_17610
ko:K01897	prp:M062_17620
ko:K01897	prp:M062_17625
ko:K02503	prp:M062_17600
ko:K03580	prp:M062_17680
ko:K03760	prp:M062_17690
ko:K02044	prp:M062_17705
ko:K02041	prp:M062_17710
ko:K02042	prp:M062_17715
ko:K02042	prp:M062_17720
ko:K04754	prp:M062_17285
ko:K06911	prp:M062_17290
ko:K07001	prp:M062_17295
ko:K02517	prp:M062_17300
ko:K03610	prp:M062_17305
ko:K03609	prp:M062_17310
ko:K03608	prp:M062_17315
ko:K06177	prp:M062_17320
ko:K03817	prp:M062_17330
ko:K02055	prp:M062_17340
ko:K02054	prp:M062_17350
ko:K02053	prp:M062_17355
ko:K02052	prp:M062_17360
ko:K03797	prp:M062_17375
ko:K03773	prp:M062_17410
ko:K03554	prp:M062_17425
ko:K03453	prp:M062_17430
ko:K09936	prp:M062_17740
ko:K07044	prp:M062_17765
ko:K01358	prp:M062_17770
ko:K00648	prp:M062_17805
ko:K02078	prp:M062_17810
ko:K03274	prp:M062_17825
ko:K07401	prp:M062_17830
ko:K07001	prp:M062_17835
ko:K06075	prp:M062_17845
ko:K03654	prp:M062_17860
ko:K00575	prp:M062_17880
ko:K03415	prp:M062_17885
ko:K02386	prp:M062_17890
ko:K02398	prp:M062_17895
ko:K02399	prp:M062_17900
ko:K09931	prp:M062_17910
ko:K01915	prp:M062_17920
ko:K01753	prp:M062_17925
ko:K01999	prp:M062_17960
ko:K01426	prp:M062_17970
ko:K01114	prp:M062_17735
ko:K06167	prp:M062_18005
ko:K05774	prp:M062_18010
ko:K00627	prp:M062_18230
ko:K01070	prp:M062_19200
ko:K00121	prp:M062_19205
ko:K07112	prp:M062_19215
ko:K00991	prp:M062_19225
ko:K05589	prp:M062_19230
ko:K01689	prp:M062_19235
ko:K01627	prp:M062_19240
ko:K01937	prp:M062_19245
ko:K04075	prp:M062_19250
ko:K01962	prp:M062_19255
ko:K02337	prp:M062_19260
ko:K03310	prp:M062_19265
ko:K03470	prp:M062_19270
ko:K00748	prp:M062_19275
ko:K00677	prp:M062_19280
ko:K02372	prp:M062_19285
ko:K02536	prp:M062_19290
ko:K06142	prp:M062_19295
ko:K07277	prp:M062_19300
ko:K11749	prp:M062_19305
ko:K00099	prp:M062_19310
ko:K00981	prp:M062_19315
ko:K00806	prp:M062_19320
ko:K02838	prp:M062_19325
ko:K09903	prp:M062_19330
ko:K02357	prp:M062_19335
ko:K02967	prp:M062_19340
ko:K01265	prp:M062_19345
ko:K00990	prp:M062_19350
ko:K14267	prp:M062_19355
ko:K03316	prp:M062_19360
ko:K06940	prp:M062_19375
ko:K07462	prp:M062_19695
ko:K09980	prp:M062_19730
ko:K01733	prp:M062_19750
ko:K00003	prp:M062_19755
ko:K01892	prp:M062_20095
ko:K15539	prp:M062_20105
ko:K02656	prp:M062_20110
ko:K06941	prp:M062_20115
ko:K00940	prp:M062_20120
ko:K10022	prp:M062_20435
ko:K03639	prp:M062_20475
ko:K03769	prp:M062_20480
ko:K00374	prp:M062_20485
ko:K00373	prp:M062_20490
ko:K00371	prp:M062_20495
ko:K00370	prp:M062_20500
ko:K02575	prp:M062_20505
ko:K02575	prp:M062_20510
ko:K07673	prp:M062_20515
ko:K07684	prp:M062_20520
ko:K03316	prp:M062_20565
ko:K05846	prp:M062_20570
ko:K05845	prp:M062_20575
ko:K05846	prp:M062_20580
ko:K05847	prp:M062_20585
ko:K00090	prp:M062_20615
ko:K03088	prp:M062_20630
ko:K06999	prp:M062_20405
ko:K00666	prp:M062_20410
ko:K03732	prp:M062_20415
ko:K07165	prp:M062_20635
ko:K07258	prp:M062_21125
ko:K08305	prp:M062_21130
ko:K09956	prp:M062_21570
ko:K00484	prp:M062_21580
ko:K05837	prp:M062_21135
ko:K07267	prp:M062_21615
ko:K15977	prp:M062_21645
ko:K05515	prp:M062_21140
ko:K00783	prp:M062_21145
ko:K09929	prp:M062_21650
ko:K09710	prp:M062_21150
ko:K00969	prp:M062_21155
ko:K00147	prp:M062_21160
ko:K03652	prp:M062_21175
ko:K07157	prp:M062_21185
ko:K03186	prp:M062_21220
ko:K03735	prp:M062_21240
ko:K03736	prp:M062_21245
ko:K02030	prp:M062_21255
ko:K03975	prp:M062_21265
ko:K09933	prp:M062_21270
ko:K01507	prp:M062_21275
ko:K06188	prp:M062_21290
ko:K03602	prp:M062_21330
ko:K13789	prp:M062_21335
ko:K01662	prp:M062_21340
ko:K01497	prp:M062_21355
ko:K06985	prp:M062_21360
ko:K09930	prp:M062_21655
ko:K08159	prp:M062_21695
ko:K00657	prp:M062_21700
ko:K06966	prp:M062_21705
ko:K01095	prp:M062_21370
ko:K00946	prp:M062_21375
ko:K03625	prp:M062_21380
ko:K00794	prp:M062_21385
ko:K14652	prp:M062_21390
ko:K00793	prp:M062_21395
ko:K11752	prp:M062_21400
ko:K07738	prp:M062_21405
ko:K05838	prp:M062_21420
ko:K02003	prp:M062_21435
ko:K02004	prp:M062_21440
ko:K09950	prp:M062_21445
ko:K07275	prp:M062_21450
ko:K01784	prp:M062_21460
ko:K00067	prp:M062_21465
ko:K07729	prp:M062_21505
ko:K07687	prp:M062_21520
ko:K07347	prp:M062_21540
ko:K07345	prp:M062_21550
ko:K01845	prp:M062_21560
ko:K00059	prp:M062_21565
ko:K02004	prp:M062_15320
ko:K04760	prp:M062_15325
ko:K01975	prp:M062_15335
ko:K15977	prp:M062_15350
ko:K03424	prp:M062_15360
ko:K03924	prp:M062_15405
ko:K01591	prp:M062_15410
ko:K07052	prp:M062_15450
ko:K13774	prp:M062_15465
ko:K13778	prp:M062_15470
ko:K11731	prp:M062_15475
ko:K13779	prp:M062_15480
ko:K13777	prp:M062_15485
ko:K13776	prp:M062_15495
ko:K05592	prp:M062_15225
ko:K01626	prp:M062_15240
ko:K09927	prp:M062_15245
ko:K07090	prp:M062_15260
ko:K02356	prp:M062_15280
ko:K10804	prp:M062_15310
ko:K02003	prp:M062_15315
ko:K03088	prp:M062_15510
ko:K02030	prp:M062_15540
ko:K13541	prp:M062_15545
ko:K03394	prp:M062_15550
ko:K06042	prp:M062_15555
ko:K01851	prp:M062_22285
ko:K18302	prp:M062_19445
ko:K19591	prp:M062_25185
ko:K19595	prp:M062_18670
ko:K03297	prp:M062_26310
ko:K03560	prp:M062_01005
ko:K22617	prp:M062_22930
ko:K19593	prp:M062_18660
ko:K16238	prp:M062_21235
ko:K09691	prp:M062_28715
ko:K18131	prp:M062_02130
ko:K18130	prp:M062_19670
ko:K02625	prp:M062_01125
ko:K11741	prp:M062_17435
ko:K11741	prp:M062_09835
ko:K06998	prp:M062_09940
ko:K03446	prp:M062_15200
ko:K21429	prp:M062_02865
ko:K00638	prp:M062_03480
ko:K03111	prp:M062_22290
ko:K07497	prp:M062_05045
ko:K12960	prp:M062_16930
ko:K19735	prp:M062_05465
ko:K18138	prp:M062_02140
ko:K19611	prp:M062_04565
ko:K18135	prp:M062_18930
ko:K00131	prp:M062_12120
ko:K21430	prp:M062_06060
ko:K18346	prp:M062_03635
ko:K18297	prp:M062_12965
ko:K00537	prp:M062_04665
ko:K18828	prp:M062_05230
ko:K07012	prp:M062_06735
ko:K08316	prp:M062_01855
ko:K01800	prp:M062_10460
ko:K01800	prp:M062_12865
ko:K15555	prp:M062_00925
ko:K03559	prp:M062_03415
ko:K00265	prp:M062_26540
ko:K15555	prp:M062_18390
ko:K11070	prp:M062_01610
ko:K03417	prp:M062_03880
ko:K18150	prp:M062_19660
ko:K14219	prp:M062_09370
ko:K03177	prp:M062_24995
ko:K02427	prp:M062_25055
ko:K03711	prp:M062_25115
ko:K00101	prp:M062_25150
ko:K00059	prp:M062_25230
ko:K03406	prp:M062_25925
ko:K01916	prp:M062_25945
ko:K12943	prp:M062_25965
ko:K03442	prp:M062_25970
ko:K07338	prp:M062_23040
ko:K00059	prp:M062_23130
ko:K03442	prp:M062_23155
ko:K03574	prp:M062_23185
ko:K01262	prp:M062_27540
ko:K01934	prp:M062_27560
ko:K01719	prp:M062_27720
ko:K02030	prp:M062_27775
ko:K06147	prp:M062_22245
ko:K01496	prp:M062_26690
ko:K01523	prp:M062_26695
ko:K03406	prp:M062_26720
ko:K02028	prp:M062_26730
ko:K02030	prp:M062_26740
ko:K01259	prp:M062_26760
ko:K01479	prp:M062_26800
ko:K01759	prp:M062_26900
ko:K07679	prp:M062_13725
ko:K18979	prp:M062_26105
ko:K01992	prp:M062_21310
ko:K00127	prp:M062_25390
ko:K00124	prp:M062_25395
ko:K00219	prp:M062_25415
ko:K02014	prp:M062_25530
ko:K01585	prp:M062_25540
ko:K03406	prp:M062_22620
ko:K07052	prp:M062_27005
ko:K02030	prp:M062_27045
ko:K02028	prp:M062_27170
ko:K02030	prp:M062_27175
ko:K14218	prp:M062_16750
ko:K14218	prp:M062_16760
ko:K14221	prp:M062_16535
ko:K14221	prp:M062_17415
ko:K14221	prp:M062_16540
ko:K14221	prp:M062_09440
ko:K01011	prp:M062_26135
ko:K01515	prp:M062_26210
ko:K02030	prp:M062_26270
ko:K02055	prp:M062_26285
ko:K11085	prp:M062_26345
ko:K03406	prp:M062_22705
ko:K03406	prp:M062_22715
ko:K03406	prp:M062_22720
ko:K14335	prp:M062_22725
ko:K06986	prp:M062_22730
ko:K01426	prp:M062_22885
ko:K11688	prp:M062_27250
ko:K11689	prp:M062_27255
ko:K01297	prp:M062_27410
ko:K05595	prp:M062_27445
ko:K02454	prp:M062_27470
ko:K01478	prp:M062_27270
ko:K01082	prp:M062_27290
ko:K04093	prp:M062_27340
ko:K05844	prp:M062_27405
ko:K05595	prp:M062_25630
ko:K07665	prp:M062_25775
ko:K00508	prp:M062_25790
ko:K00483	prp:M062_21575
ko:K08305	prp:M062_23405
ko:K02067	prp:M062_23455
ko:K02806	prp:M062_23505
ko:K11189	prp:M062_23515
ko:K01679	prp:M062_23535
ko:K09806	prp:M062_27870
ko:K02035	prp:M062_28010
ko:K02433	prp:M062_23600
ko:K01607	prp:M062_23615
ko:K00380	prp:M062_23750
ko:K07126	prp:M062_23765
ko:K07032	prp:M062_23775
ko:K03406	prp:M062_23785
ko:K07657	prp:M062_28225
ko:K02843	prp:M062_26420
ko:K07304	prp:M062_26450
ko:K11105	prp:M062_26465
ko:K02665	prp:M062_26565
ko:K12255	prp:M062_07630
ko:K02058	prp:M062_00740
ko:K11209	prp:M062_08645
ko:K19609	prp:M062_14265
ko:K11209	prp:M062_05635
ko:K01126	prp:M062_25260
ko:K03833	prp:M062_25375
ko:K01042	prp:M062_25380
ko:K02380	prp:M062_25385
ko:K00123	prp:M062_25400
ko:K00123	prp:M062_25405
ko:K09936	prp:M062_25420
ko:K06940	prp:M062_25430
ko:K03327	prp:M062_25450
ko:K03324	prp:M062_25460
ko:K01531	prp:M062_25470
ko:K00675	prp:M062_25480
ko:K08983	prp:M062_25485
ko:K00382	prp:M062_25490
ko:K07124	prp:M062_25505
ko:K11068	prp:M062_25510
ko:K02982	prp:M062_22415
ko:K02890	prp:M062_22420
ko:K02965	prp:M062_22425
ko:K02886	prp:M062_22430
ko:K02892	prp:M062_22435
ko:K02926	prp:M062_22440
ko:K02906	prp:M062_22445
ko:K02946	prp:M062_22450
ko:K02358	prp:M062_22455
ko:K02355	prp:M062_22460
ko:K02992	prp:M062_22465
ko:K02950	prp:M062_22470
ko:K03046	prp:M062_22475
ko:K03043	prp:M062_22480
ko:K02935	prp:M062_22485
ko:K02864	prp:M062_22490
ko:K02863	prp:M062_22495
ko:K02867	prp:M062_22500
ko:K02601	prp:M062_22505
ko:K03073	prp:M062_22510
ko:K02358	prp:M062_22520
ko:K03525	prp:M062_22545
ko:K03524	prp:M062_22550
ko:K03547	prp:M062_22580
ko:K03581	prp:M062_22590
ko:K03582	prp:M062_22595
ko:K03583	prp:M062_22600
ko:K16322	prp:M062_22630
ko:K02278	prp:M062_22645
ko:K12511	prp:M062_22670
ko:K12510	prp:M062_22675
ko:K02283	prp:M062_22680
ko:K02282	prp:M062_22685
ko:K02280	prp:M062_22690
ko:K02279	prp:M062_22695
ko:K03151	prp:M062_26935
