ko:K18929	hex:HPF57_0158
ko:K01494	hex:HPF57_1045
ko:K02160	hex:HPF57_1046
ko:K01961	hex:HPF57_1047
ko:K00573	hex:HPF57_1053
ko:K07091	hex:HPF57_1054
ko:K06173	hex:HPF57_1055
ko:K01625	hex:HPF57_1061
ko:K01690	hex:HPF57_1062
ko:K00036	hex:HPF57_1063
ko:K01057	hex:HPF57_1064
ko:K13979	hex:HPF57_1066
ko:K00172	hex:HPF57_1071
ko:K00171	hex:HPF57_1072
ko:K00169	hex:HPF57_1073
ko:K00170	hex:HPF57_1074
ko:K01756	hex:HPF57_1075
ko:K03702	hex:HPF57_1077
ko:K02396	hex:HPF57_1082
ko:K03775	hex:HPF57_1087
ko:K03640	hex:HPF57_1089
ko:K03641	hex:HPF57_1090
ko:K02417	hex:HPF57_0609
ko:K10773	hex:HPF57_0610
ko:K07082	hex:HPF57_0613
ko:K00176	hex:HPF57_0614
ko:K00174	hex:HPF57_0615
ko:K00175	hex:HPF57_0616
ko:K00177	hex:HPF57_0617
ko:K03611	hex:HPF57_0620
ko:K02406	hex:HPF57_0626
ko:K01599	hex:HPF57_0629
ko:K01972	hex:HPF57_0638
ko:K03415	hex:HPF57_0639
ko:K01876	hex:HPF57_0640
ko:K07270	hex:HPF57_0642
ko:K07270	hex:HPF57_0644
ko:K07456	hex:HPF57_0646
ko:K01924	hex:HPF57_0648
ko:K03923	hex:HPF57_0654
ko:K03620	hex:HPF57_0657
ko:K02357	hex:HPF57_1470
ko:K02967	hex:HPF57_1471
ko:K03313	hex:HPF57_1473
ko:K03210	hex:HPF57_1474
ko:K03072	hex:HPF57_1475
ko:K03074	hex:HPF57_1476
ko:K01869	hex:HPF57_1478
ko:K11754	hex:HPF57_1480
ko:K03723	hex:HPF57_1484
ko:K00411	hex:HPF57_1485
ko:K00412	hex:HPF57_1486
ko:K00413	hex:HPF57_1487
ko:K07476	hex:HPF57_1490
ko:K03587	hex:HPF57_1492
ko:K02408	hex:HPF57_1493
ko:K02388	hex:HPF57_1494
ko:K02387	hex:HPF57_1495
ko:K03588	hex:HPF57_1496
ko:K02016	hex:HPF57_1497
ko:K02073	hex:HPF57_1499
ko:K06920	hex:HPF57_0663
ko:K02221	hex:HPF57_0667
ko:K08309	hex:HPF57_0668
ko:K00963	hex:HPF57_0669
ko:K00790	hex:HPF57_0671
ko:K01744	hex:HPF57_0672
ko:K01079	hex:HPF57_0675
ko:K02217	hex:HPF57_0676
ko:K07277	hex:HPF57_0678
ko:K02434	hex:HPF57_0681
ko:K03685	hex:HPF57_0685
ko:K01736	hex:HPF57_0686
ko:K11473	hex:HPF57_0689
ko:K00812	hex:HPF57_0694
ko:K07090	hex:HPF57_0698
ko:K04042	hex:HPF57_0706
ko:K02419	hex:HPF57_0707
ko:K04759	hex:HPF57_0709
ko:K07501	hex:HPF57_0710
ko:K01028	hex:HPF57_0716
ko:K01029	hex:HPF57_0717
ko:K02106	hex:HPF57_0718
ko:K05515	hex:HPF57_1500
ko:K03978	hex:HPF57_1502
ko:K09774	hex:HPF57_1503
ko:K03270	hex:HPF57_1505
ko:K03642	hex:HPF57_1506
ko:K08307	hex:HPF57_1507
ko:K03424	hex:HPF57_1508
ko:K00793	hex:HPF57_1509
ko:K04061	hex:HPF57_1510
ko:K02071	hex:HPF57_1511
ko:K02072	hex:HPF57_1512
ko:K03474	hex:HPF57_1516
ko:K00097	hex:HPF57_1517
ko:K02392	hex:HPF57_1519
ko:K03610	hex:HPF57_0446
ko:K02535	hex:HPF57_0447
ko:K00872	hex:HPF57_0449
ko:K02519	hex:HPF57_0451
ko:K02834	hex:HPF57_0452
ko:K09748	hex:HPF57_0453
ko:K01895	hex:HPF57_0454
ko:K02400	hex:HPF57_0458
ko:K02956	hex:HPF57_0459
ko:K03786	hex:HPF57_0461
ko:K00950	hex:HPF57_0463
ko:K02404	hex:HPF57_0464
ko:K04562	hex:HPF57_0465
ko:K02405	hex:HPF57_0467
ko:K02416	hex:HPF57_0468
ko:K02417	hex:HPF57_0469
ko:K07478	hex:HPF57_0473
ko:K05516	hex:HPF57_0475
ko:K12506	hex:HPF57_0479
ko:K00995	hex:HPF57_0482
ko:K01714	hex:HPF57_0485
ko:K00937	hex:HPF57_0488
ko:K01154	hex:HPF57_0489
ko:K03427	hex:HPF57_0490
ko:K01153	hex:HPF57_0491
ko:K09747	hex:HPF57_1309
ko:K01579	hex:HPF57_1310
ko:K03694	hex:HPF57_1311
ko:K06891	hex:HPF57_1312
ko:K01935	hex:HPF57_1315
ko:K00031	hex:HPF57_1317
ko:K01647	hex:HPF57_1318
ko:K01012	hex:HPF57_1322
ko:K07058	hex:HPF57_1323
ko:K09457	hex:HPF57_1328
ko:K09710	hex:HPF57_1329
ko:K00791	hex:HPF57_1330
ko:K00075	hex:HPF57_1333
ko:K02420	hex:HPF57_1334
ko:K02412	hex:HPF57_1335
ko:K01870	hex:HPF57_1337
ko:K06941	hex:HPF57_1340
ko:K06041	hex:HPF57_1341
ko:K02528	hex:HPF57_1343
ko:K01433	hex:HPF57_1347
ko:K04773	hex:HPF57_1348
ko:K01524	hex:HPF57_0331
ko:K02841	hex:HPF57_0332
ko:K02517	hex:HPF57_0333
ko:K00773	hex:HPF57_0334
ko:K09944	hex:HPF57_0335
ko:K01735	hex:HPF57_0336
ko:K01586	hex:HPF57_0344
ko:K01163	hex:HPF57_0346
ko:K02397	hex:HPF57_0349
ko:K02888	hex:HPF57_0350
ko:K02899	hex:HPF57_0351
ko:K12368	hex:HPF57_0352
ko:K12370	hex:HPF57_0354
ko:K12372	hex:HPF57_0356
ko:K03979	hex:HPF57_0357
ko:K01845	hex:HPF57_0360
ko:K07226	hex:HPF57_0370
ko:K01887	hex:HPF57_0371
ko:K03116	hex:HPF57_0372
ko:K00942	hex:HPF57_0373
ko:K02393	hex:HPF57_0377
ko:K00912	hex:HPF57_0381
ko:K00053	hex:HPF57_0383
ko:K03609	hex:HPF57_0384
ko:K03608	hex:HPF57_0385
ko:K09804	hex:HPF57_1195
ko:K01956	hex:HPF57_1196
ko:K06287	hex:HPF57_1199
ko:K01872	hex:HPF57_1200
ko:K09794	hex:HPF57_1201
ko:K02963	hex:HPF57_1203
ko:K02990	hex:HPF57_1205
ko:K02340	hex:HPF57_1206
ko:K12573	hex:HPF57_1207
ko:K00014	hex:HPF57_1208
ko:K13894	hex:HPF57_1210
ko:K13893	hex:HPF57_1211
ko:K01867	hex:HPF57_1212
ko:K02169	hex:HPF57_1213
ko:K03075	hex:HPF57_1214
ko:K02838	hex:HPF57_1215
ko:K00762	hex:HPF57_1216
ko:K12410	hex:HPF57_1218
ko:K00330	hex:HPF57_1219
ko:K00331	hex:HPF57_1220
ko:K00332	hex:HPF57_1221
ko:K00333	hex:HPF57_1222
ko:K00334	hex:HPF57_1223
ko:K00337	hex:HPF57_1226
ko:K00338	hex:HPF57_1227
ko:K03086	hex:HPF57_0101
ko:K02887	hex:HPF57_0112
ko:K02916	hex:HPF57_0113
ko:K02520	hex:HPF57_0114
ko:K01868	hex:HPF57_0115
ko:K03168	hex:HPF57_0120
ko:K02406	hex:HPF57_0121
ko:K01628	hex:HPF57_0124
ko:K03705	hex:HPF57_0125
ko:K03687	hex:HPF57_0126
ko:K04043	hex:HPF57_0127
ko:K07173	hex:HPF57_0130
ko:K09765	hex:HPF57_0135
ko:K01733	hex:HPF57_0137
ko:K09805	hex:HPF57_0144
ko:K00645	hex:HPF57_0145
ko:K01752	hex:HPF57_0152
ko:K03837	hex:HPF57_0153
ko:K01626	hex:HPF57_0154
ko:K03564	hex:HPF57_0156
ko:K00782	hex:HPF57_0157
ko:K15257	hex:HPF57_0998
ko:K01772	hex:HPF57_0999
ko:K01874	hex:HPF57_1000
ko:K00574	hex:HPF57_1001
ko:K15846	hex:HPF57_1003
ko:K01951	hex:HPF57_1004
ko:K02503	hex:HPF57_1013
ko:K01889	hex:HPF57_1014
ko:K01890	hex:HPF57_1015
ko:K00800	hex:HPF57_1016
ko:K03527	hex:HPF57_1017
ko:K02945	hex:HPF57_1018
ko:K03182	hex:HPF57_1021
ko:K06997	hex:HPF57_1022
ko:K03269	hex:HPF57_1023
ko:K03415	hex:HPF57_1024
ko:K03407	hex:HPF57_1025
ko:K03408	hex:HPF57_1026
ko:K11065	hex:HPF57_1027
ko:K04564	hex:HPF57_1028
ko:K15256	hex:HPF57_1029
ko:K04066	hex:HPF57_1030
ko:K02493	hex:HPF57_1036
ko:K00262	hex:HPF57_1037
ko:K00339	hex:HPF57_1228
ko:K00340	hex:HPF57_1229
ko:K00341	hex:HPF57_1230
ko:K00342	hex:HPF57_1231
ko:K00343	hex:HPF57_1232
ko:K15778	hex:HPF57_1234
ko:K01695	hex:HPF57_1236
ko:K01696	hex:HPF57_1237
ko:K13498	hex:HPF57_1238
ko:K00766	hex:HPF57_1239
ko:K01657	hex:HPF57_1241
ko:K03707	hex:HPF57_1245
ko:K03811	hex:HPF57_1246
ko:K02879	hex:HPF57_1248
ko:K12053	hex:HPF57_0283
ko:K12574	hex:HPF57_1342
ko:K18682	hex:HPF57_0781
ko:K08602	hex:HPF57_0497
ko:K02020	hex:HPF57_0500
ko:K02018	hex:HPF57_0501
ko:K02018	hex:HPF57_0502
ko:K06207	hex:HPF57_0509
ko:K03781	hex:HPF57_0516
ko:K02902	hex:HPF57_0522
ko:K15846	hex:HPF57_0523
ko:K01000	hex:HPF57_0524
ko:K01925	hex:HPF57_0525
ko:K07107	hex:HPF57_0527
ko:K03308	hex:HPF57_0528
ko:K03308	hex:HPF57_0529
ko:K01058	hex:HPF57_0530
ko:K01058	hex:HPF57_0531
ko:K02338	hex:HPF57_0532
ko:K02470	hex:HPF57_0533
ko:K00215	hex:HPF57_0540
ko:K01915	hex:HPF57_0542
ko:K02939	hex:HPF57_0544
ko:K01419	hex:HPF57_0545
ko:K03667	hex:HPF57_0546
ko:K03563	hex:HPF57_1357
ko:K00919	hex:HPF57_1358
ko:K03664	hex:HPF57_1359
ko:K03561	hex:HPF57_1360
ko:K02914	hex:HPF57_1362
ko:K03536	hex:HPF57_1363
ko:K03217	hex:HPF57_1365
ko:K03650	hex:HPF57_1367
ko:K07337	hex:HPF57_1372
ko:K06178	hex:HPF57_1374
ko:K02337	hex:HPF57_1375
ko:K00428	hex:HPF57_1376
ko:K02065	hex:HPF57_1380
ko:K02066	hex:HPF57_1381
ko:K00826	hex:HPF57_1383
ko:K00943	hex:HPF57_1389
ko:K00954	hex:HPF57_1390
ko:K03186	hex:HPF57_1391
ko:K02386	hex:HPF57_1392
ko:K03657	hex:HPF57_1393
ko:K01875	hex:HPF57_1395
ko:K03602	hex:HPF57_1397
ko:K03183	hex:HPF57_1398
ko:K08973	hex:HPF57_1399
ko:K01993	hex:HPF57_1403
ko:K03306	hex:HPF57_1406
ko:K01928	hex:HPF57_1409
ko:K02897	hex:HPF57_1411
ko:K01776	hex:HPF57_0576
ko:K03628	hex:HPF57_0577
ko:K02909	hex:HPF57_0578
ko:K07056	hex:HPF57_0579
ko:K03218	hex:HPF57_0580
ko:K01962	hex:HPF57_0583
ko:K09458	hex:HPF57_0584
ko:K02078	hex:HPF57_0585
ko:K02970	hex:HPF57_0587
ko:K01778	hex:HPF57_0591
ko:K06942	hex:HPF57_0594
ko:K01255	hex:HPF57_0595
ko:K00759	hex:HPF57_0597
ko:K01808	hex:HPF57_0599
ko:K03100	hex:HPF57_0601
ko:K01491	hex:HPF57_0602
ko:K01465	hex:HPF57_0606
ko:K01056	hex:HPF57_1412
ko:K11720	hex:HPF57_1413
ko:K09943	hex:HPF57_1417
ko:K11752	hex:HPF57_1420
ko:K03312	hex:HPF57_1421
ko:K08591	hex:HPF57_1424
ko:K01633	hex:HPF57_1425
ko:K01042	hex:HPF57_1428
ko:K02600	hex:HPF57_1429
ko:K03655	hex:HPF57_1436
ko:K01142	hex:HPF57_1439
ko:K02313	hex:HPF57_1441
ko:K00820	hex:HPF57_1444
ko:K01154	hex:HPF57_1447
ko:K03427	hex:HPF57_1448
ko:K01153	hex:HPF57_1449
ko:K07043	hex:HPF57_1450
ko:K01476	hex:HPF57_1452
ko:K00259	hex:HPF57_1455
ko:K00858	hex:HPF57_1458
ko:K03631	hex:HPF57_1459
ko:K01783	hex:HPF57_1464
ko:K03841	hex:HPF57_1465
ko:K16091	hex:HPF57_0708
ko:K16091	hex:HPF57_0829
ko:K16091	hex:HPF57_1451
ko:K00104	hex:HPF57_0539
ko:K14233	hex:HPF57_t07
ko:K14218	hex:HPF57_t09
ko:K14219	hex:HPF57_t22
ko:K14226	hex:HPF57_t23
ko:K15726	hex:HPF57_0978
ko:K01977	hex:HPF57_r03
ko:K01977	hex:HPF57_r06
ko:K14230	hex:HPF57_t28
ko:K14234	hex:HPF57_t30
ko:K14225	hex:HPF57_t31
ko:K14236	hex:HPF57_t32
ko:K14234	hex:HPF57_t33
ko:K14228	hex:HPF57_t34
ko:K15035	hex:HPF57_tm01
ko:K14228	hex:HPF57_t35
ko:K14231	hex:HPF57_t36
ko:K10716	hex:HPF57_0521
ko:K02014	hex:HPF57_0894
ko:K02014	hex:HPF57_1427
ko:K03496	hex:HPF57_0302
ko:K02028	hex:HPF57_1135
ko:K02030	hex:HPF57_1136
ko:K03784	hex:HPF57_1141
ko:K03317	hex:HPF57_1143
ko:K03593	hex:HPF57_0226
ko:K07126	hex:HPF57_0230
ko:K01439	hex:HPF57_0231
ko:K06910	hex:HPF57_0238
ko:K07126	hex:HPF57_0254
ko:K05845	hex:HPF57_0840
ko:K05846	hex:HPF57_0840
ko:K00088	hex:HPF57_0852
ko:K02433	hex:HPF57_0853
ko:K07098	hex:HPF57_0455
ko:K01262	hex:HPF57_0462
ko:K03711	hex:HPF57_0472
ko:K13640	hex:HPF57_0474
ko:K00076	hex:HPF57_0484
ko:K03279	hex:HPF57_1331
ko:K03768	hex:HPF57_1356
ko:K01885	hex:HPF57_0666
ko:K03469	hex:HPF57_0684
ko:K04763	hex:HPF57_0696
ko:K00567	hex:HPF57_0697
ko:K13016	hex:HPF57_0700
ko:K00626	hex:HPF57_0715
ko:K03279	hex:HPF57_0179
ko:K07126	hex:HPF57_0180
ko:K15898	hex:HPF57_0197
ko:K00245	hex:HPF57_0209
ko:K00244	hex:HPF57_0210
ko:K01784	hex:HPF57_1056
ko:K07126	hex:HPF57_1060
ko:K00845	hex:HPF57_1065
ko:K07126	hex:HPF57_1080
ko:K06196	hex:HPF57_0318
ko:K01674	hex:HPF57_1149
ko:K02843	hex:HPF57_1154
ko:K01719	hex:HPF57_1183
ko:K04517	hex:HPF57_0023
ko:K02238	hex:HPF57_0039
ko:K04652	hex:HPF57_0912
ko:K02014	hex:HPF57_0925
ko:K03455	hex:HPF57_0498
ko:K02017	hex:HPF57_0503
