ko:K01985	sths:AVT04_03020
ko:K08483	sths:AVT04_08540
ko:K00131	sths:AVT04_08545
ko:K00876	sths:AVT04_08555
ko:K06158	sths:AVT04_08560
ko:K14205	sths:AVT04_08575
ko:K07009	sths:AVT04_08580
ko:K01928	sths:AVT04_08585
ko:K18672	sths:AVT04_08590
ko:K03431	sths:AVT04_08600
ko:K06967	sths:AVT04_08610
ko:K07238	sths:AVT04_08620
ko:K00973	sths:AVT04_08630
ko:K01790	sths:AVT04_08635
ko:K01710	sths:AVT04_08640
ko:K01101	sths:AVT04_08670
ko:K04486	sths:AVT04_08680
ko:K05837	sths:AVT04_08695
ko:K03665	sths:AVT04_08700
ko:K00784	sths:AVT04_08710
ko:K07124	sths:AVT04_08715
ko:K07462	sths:AVT04_08720
ko:K00759	sths:AVT04_08725
ko:K00651	sths:AVT04_08730
ko:K02086	sths:AVT04_08735
ko:K10773	sths:AVT04_08740
ko:K03601	sths:AVT04_08750
ko:K03602	sths:AVT04_08755
ko:K13789	sths:AVT04_08760
ko:K06442	sths:AVT04_08765
ko:K03402	sths:AVT04_08770
ko:K03631	sths:AVT04_08775
ko:K03530	sths:AVT04_08795
ko:K00226	sths:AVT04_08805
ko:K01834	sths:AVT04_08820
ko:K01649	sths:AVT04_08825
ko:K00052	sths:AVT04_08830
ko:K01703	sths:AVT04_08840
ko:K01704	sths:AVT04_08845
ko:K02337	sths:AVT04_08855
ko:K00850	sths:AVT04_08860
ko:K06518	sths:AVT04_07390
ko:K07224	sths:AVT04_00070
ko:K16301	sths:AVT04_00075
ko:K07243	sths:AVT04_00080
ko:K03118	sths:AVT04_00085
ko:K03116	sths:AVT04_00090
ko:K15770	sths:AVT04_00105
ko:K02529	sths:AVT04_00110
ko:K00705	sths:AVT04_00115
ko:K00688	sths:AVT04_00120
ko:K03800	sths:AVT04_00135
ko:K01256	sths:AVT04_00145
ko:K02039	sths:AVT04_00150
ko:K02036	sths:AVT04_00155
ko:K09155	sths:AVT04_00210
ko:K11065	sths:AVT04_00220
ko:K01740	sths:AVT04_00235
ko:K03657	sths:AVT04_00240
ko:K03310	sths:AVT04_00245
ko:K03650	sths:AVT04_00250
ko:K03305	sths:AVT04_00295
ko:K00762	sths:AVT04_00305
ko:K01591	sths:AVT04_00310
ko:K19140	sths:AVT04_00320
ko:K19139	sths:AVT04_00325
ko:K09002	sths:AVT04_00330
ko:K19138	sths:AVT04_00335
ko:K07016	sths:AVT04_00340
ko:K09951	sths:AVT04_00350
ko:K17828	sths:AVT04_00365
ko:K02823	sths:AVT04_00370
ko:K03152	sths:AVT04_00375
ko:K01091	sths:AVT04_00415
ko:K16264	sths:AVT04_00450
ko:K02004	sths:AVT04_00470
ko:K01598	sths:AVT04_01060
ko:K01835	sths:AVT04_01070
ko:K00297	sths:AVT04_01075
ko:K00549	sths:AVT04_01080
ko:K03342	sths:AVT04_01090
ko:K07497	sths:AVT04_01110
ko:K07497	sths:AVT04_01115
ko:K03740	sths:AVT04_01125
ko:K14188	sths:AVT04_01130
ko:K03739	sths:AVT04_01135
ko:K03367	sths:AVT04_01140
ko:K06147	sths:AVT04_01150
ko:K00600	sths:AVT04_01170
ko:K07566	sths:AVT04_01175
ko:K02493	sths:AVT04_01180
ko:K02835	sths:AVT04_01185
ko:K00857	sths:AVT04_01190
ko:K01488	sths:AVT04_01195
ko:K11209	sths:AVT04_01200
ko:K06881	sths:AVT04_01205
ko:K03734	sths:AVT04_01210
ko:K02909	sths:AVT04_01215
ko:K01870	sths:AVT04_01235
ko:K04074	sths:AVT04_01240
ko:K02221	sths:AVT04_01250
ko:K09772	sths:AVT04_01255
ko:K06997	sths:AVT04_01260
ko:K03531	sths:AVT04_01265
ko:K03590	sths:AVT04_01270
ko:K03589	sths:AVT04_01275
ko:K02563	sths:AVT04_01280
ko:K01925	sths:AVT04_01285
ko:K06207	sths:AVT04_01295
ko:K00845	sths:AVT04_01300
ko:K09825	sths:AVT04_01310
ko:K04047	sths:AVT04_01315
ko:K02236	sths:AVT04_01320
ko:K01879	sths:AVT04_02375
ko:K02113	sths:AVT04_02495
ko:K02109	sths:AVT04_02500
ko:K02108	sths:AVT04_02505
ko:K02110	sths:AVT04_02510
ko:K01873	sths:AVT04_02515
ko:K05786	sths:AVT04_02540
ko:K00872	sths:AVT04_02545
ko:K00003	sths:AVT04_02550
ko:K00821	sths:AVT04_02560
ko:K00930	sths:AVT04_02565
ko:K00620	sths:AVT04_02570
ko:K00145	sths:AVT04_02575
ko:K08969	sths:AVT04_02580
ko:K01872	sths:AVT04_02605
ko:K07533	sths:AVT04_02610
ko:K08602	sths:AVT04_02620
ko:K06198	sths:AVT04_02625
ko:K01874	sths:AVT04_02645
ko:K02111	sths:AVT04_02490
ko:K06217	sths:AVT04_02665
ko:K00243	sths:AVT04_02695
ko:K02838	sths:AVT04_02700
ko:K09903	sths:AVT04_02705
ko:K06147	sths:AVT04_02715
ko:K06147	sths:AVT04_02720
ko:K01462	sths:AVT04_02730
ko:K00262	sths:AVT04_02735
ko:K15738	sths:AVT04_02755
ko:K00974	sths:AVT04_02760
ko:K00215	sths:AVT04_02765
ko:K02899	sths:AVT04_02790
ko:K02888	sths:AVT04_02795
ko:K03151	sths:AVT04_02820
ko:K04487	sths:AVT04_02825
ko:K11754	sths:AVT04_02835
ko:K00383	sths:AVT04_02840
ko:K00882	sths:AVT04_02850
ko:K03436	sths:AVT04_02855
ko:K18682	sths:AVT04_02865
ko:K07498	sths:AVT04_02870
ko:K07173	sths:AVT04_02880
ko:K01962	sths:AVT04_02885
ko:K01963	sths:AVT04_02890
ko:K01961	sths:AVT04_02895
ko:K02372	sths:AVT04_02900
ko:K02160	sths:AVT04_02905
ko:K09458	sths:AVT04_02910
ko:K00059	sths:AVT04_02915
ko:K00645	sths:AVT04_02920
ko:K02371	sths:AVT04_02925
ko:K02078	sths:AVT04_02930
ko:K18474	sths:AVT04_02945
ko:K00928	sths:AVT04_02955
ko:K01914	sths:AVT04_02960
ko:K03565	sths:AVT04_02970
ko:K07586	sths:AVT04_02975
ko:K15986	sths:AVT04_02985
ko:K05808	sths:AVT04_03045
ko:K02242	sths:AVT04_03050
ko:K02240	sths:AVT04_03055
ko:K01738	sths:AVT04_03065
ko:K04767	sths:AVT04_03070
ko:K04767	sths:AVT04_03075
ko:K01996	sths:AVT04_03080
ko:K01995	sths:AVT04_03085
ko:K01998	sths:AVT04_03090
ko:K01997	sths:AVT04_03095
ko:K01999	sths:AVT04_03100
ko:K01358	sths:AVT04_03115
ko:K00761	sths:AVT04_03120
ko:K14155	sths:AVT04_03130
ko:K01739	sths:AVT04_03135
ko:K05362	sths:AVT04_03150
ko:K06966	sths:AVT04_03160
ko:K06966	sths:AVT04_03165
ko:K02834	sths:AVT04_03170
ko:K02519	sths:AVT04_03175
ko:K07742	sths:AVT04_03185
ko:K02600	sths:AVT04_03190
ko:K09748	sths:AVT04_03195
ko:K06925	sths:AVT04_03210
ko:K06901	sths:AVT04_03215
ko:K21064	sths:AVT04_03220
ko:K02793	sths:AVT04_03230
ko:K02794	sths:AVT04_03230
ko:K02795	sths:AVT04_03235
ko:K02796	sths:AVT04_03240
ko:K01875	sths:AVT04_03250
ko:K03977	sths:AVT04_03275
ko:K11144	sths:AVT04_03280
ko:K03346	sths:AVT04_03285
ko:K07738	sths:AVT04_03290
ko:K07040	sths:AVT04_03305
ko:K03501	sths:AVT04_03310
ko:K03499	sths:AVT04_03320
ko:K00615	sths:AVT04_03325
ko:K03624	sths:AVT04_03605
ko:K07082	sths:AVT04_03610
ko:K01924	sths:AVT04_03620
ko:K20073	sths:AVT04_03640
ko:K07444	sths:AVT04_03645
ko:K03700	sths:AVT04_03665
ko:K05366	sths:AVT04_03670
ko:K01372	sths:AVT04_03675
ko:K01916	sths:AVT04_03685
ko:K00763	sths:AVT04_03690
ko:K01869	sths:AVT04_03715
ko:K02601	sths:AVT04_03735
ko:K03073	sths:AVT04_03740
ko:K12555	sths:AVT04_03745
ko:K06180	sths:AVT04_03750
ko:K07497	sths:AVT04_03770
ko:K04077	sths:AVT04_03780
ko:K04078	sths:AVT04_03785
ko:K05833	sths:AVT04_03795
ko:K01881	sths:AVT04_03805
ko:K11749	sths:AVT04_03810
ko:K00981	sths:AVT04_03815
ko:K00806	sths:AVT04_03820
ko:K03210	sths:AVT04_03825
ko:K01810	sths:AVT04_03835
ko:K06896	sths:AVT04_03840
ko:K02777	sths:AVT04_03845
ko:K02777	sths:AVT04_03850
ko:K20107	sths:AVT04_03850
ko:K20108	sths:AVT04_03850
ko:K02777	sths:AVT04_03855
ko:K20107	sths:AVT04_03855
ko:K20108	sths:AVT04_03855
ko:K07088	sths:AVT04_03865
ko:K09816	sths:AVT04_03870
ko:K09817	sths:AVT04_03875
ko:K04083	sths:AVT04_03905
ko:K10823	sths:AVT04_03915
ko:K15583	sths:AVT04_03920
ko:K15583	sths:AVT04_03925
ko:K15581	sths:AVT04_03940
ko:K09014	sths:AVT04_03950
ko:K04488	sths:AVT04_03955
ko:K11717	sths:AVT04_03960
ko:K09015	sths:AVT04_03965
ko:K09013	sths:AVT04_03970
ko:K02851	sths:AVT04_03975
ko:K16511	sths:AVT04_03980
ko:K06153	sths:AVT04_03985
ko:K17073	sths:AVT04_03990
ko:K17074	sths:AVT04_03990
ko:K17076	sths:AVT04_03995
ko:K02956	sths:AVT04_04005
ko:K01462	sths:AVT04_04020
ko:K01754	sths:AVT04_04025
ko:K05988	sths:AVT04_04035
ko:K07560	sths:AVT04_04045
ko:K05592	sths:AVT04_07175
ko:K07461	sths:AVT04_07180
ko:K00655	sths:AVT04_07200
ko:K02237	sths:AVT04_07205
ko:K02238	sths:AVT04_07210
ko:K00790	sths:AVT04_07215
ko:K03790	sths:AVT04_07220
ko:K01265	sths:AVT04_07230
ko:K07058	sths:AVT04_07235
ko:K01972	sths:AVT04_07245
ko:K07029	sths:AVT04_07250
ko:K01142	sths:AVT04_07265
ko:K16868	sths:AVT04_07270
ko:K15580	sths:AVT04_04155
ko:K00868	sths:AVT04_04255
ko:K06173	sths:AVT04_04260
ko:K03686	sths:AVT04_04265
ko:K04043	sths:AVT04_04270
ko:K03687	sths:AVT04_04275
ko:K03705	sths:AVT04_04280
ko:K07260	sths:AVT04_04290
ko:K09157	sths:AVT04_04300
ko:K07166	sths:AVT04_04305
ko:K07282	sths:AVT04_04310
ko:K07282	sths:AVT04_04315
ko:K20484	sths:AVT04_04365
ko:K02996	sths:AVT04_04385
ko:K02871	sths:AVT04_04390
ko:K00077	sths:AVT04_04395
ko:K06962	sths:AVT04_04410
ko:K03218	sths:AVT04_04415
ko:K11145	sths:AVT04_04425
ko:K01883	sths:AVT04_04430
ko:K00640	sths:AVT04_04435
ko:K00602	sths:AVT04_04730
ko:K11175	sths:AVT04_04735
ko:K01933	sths:AVT04_04740
ko:K00764	sths:AVT04_04745
ko:K01952	sths:AVT04_04750
ko:K01923	sths:AVT04_04755
ko:K02078	sths:AVT04_04760
ko:K03621	sths:AVT04_04765
ko:K03584	sths:AVT04_04770
ko:K00841	sths:AVT04_04775
ko:K00948	sths:AVT04_04790
ko:K21471	sths:AVT04_04795
ko:K03571	sths:AVT04_04800
ko:K03570	sths:AVT04_04805
ko:K07497	sths:AVT04_04915
ko:K03798	sths:AVT04_04935
ko:K00760	sths:AVT04_04940
ko:K04075	sths:AVT04_04945
ko:K01467	sths:AVT04_04950
ko:K13052	sths:AVT04_04960
ko:K03723	sths:AVT04_04970
ko:K01056	sths:AVT04_04975
ko:K06942	sths:AVT04_04980
ko:K02338	sths:AVT04_04990
ko:K02313	sths:AVT04_04995
ko:K03497	sths:AVT04_05000
ko:K01575	sths:AVT04_00490
ko:K01652	sths:AVT04_00495
ko:K01480	sths:AVT04_00505
ko:K03596	sths:AVT04_00545
ko:K02030	sths:AVT04_00555
ko:K00940	sths:AVT04_00565
ko:K04094	sths:AVT04_00575
ko:K20487	sths:AVT04_00580
ko:K20488	sths:AVT04_00585
ko:K03168	sths:AVT04_00595
ko:K04096	sths:AVT04_00600
ko:K03470	sths:AVT04_00610
ko:K14540	sths:AVT04_00615
ko:K07105	sths:AVT04_00625
ko:K16788	sths:AVT04_00630
ko:K03106	sths:AVT04_00635
ko:K09787	sths:AVT04_00640
ko:K03710	sths:AVT04_00645
ko:K01951	sths:AVT04_00650
ko:K01156	sths:AVT04_00660
ko:K13953	sths:AVT04_00670
ko:K13953	sths:AVT04_00680
ko:K02030	sths:AVT04_00695
ko:K02028	sths:AVT04_00700
ko:K02029	sths:AVT04_00705
ko:K06193	sths:AVT04_00710
ko:K00820	sths:AVT04_00715
ko:K09815	sths:AVT04_00765
ko:K16785	sths:AVT04_03330
ko:K07447	sths:AVT04_05305
ko:K02902	sths:AVT04_05315
ko:K07478	sths:AVT04_05320
ko:K06871	sths:AVT04_05360
ko:K01939	sths:AVT04_05405
ko:K01104	sths:AVT04_05410
ko:K03551	sths:AVT04_05425
ko:K02946	sths:AVT04_05430
ko:K02906	sths:AVT04_05435
ko:K02926	sths:AVT04_05440
ko:K02892	sths:AVT04_05445
ko:K02886	sths:AVT04_05450
ko:K02965	sths:AVT04_05455
ko:K02890	sths:AVT04_05460
ko:K02982	sths:AVT04_05465
ko:K02878	sths:AVT04_05470
ko:K02904	sths:AVT04_05475
ko:K02961	sths:AVT04_05480
ko:K02874	sths:AVT04_05485
ko:K02895	sths:AVT04_05490
ko:K02931	sths:AVT04_05495
ko:K02954	sths:AVT04_05500
ko:K02994	sths:AVT04_05505
ko:K02933	sths:AVT04_05510
ko:K02881	sths:AVT04_05515
ko:K02988	sths:AVT04_05520
ko:K02907	sths:AVT04_05525
ko:K02876	sths:AVT04_05530
ko:K03076	sths:AVT04_05535
ko:K00939	sths:AVT04_05540
ko:K02518	sths:AVT04_05545
ko:K02952	sths:AVT04_05550
ko:K02948	sths:AVT04_05555
ko:K03040	sths:AVT04_05560
ko:K11991	sths:AVT04_05860
ko:K00563	sths:AVT04_05880
ko:K00674	sths:AVT04_05890
ko:K05823	sths:AVT04_05895
ko:K01934	sths:AVT04_05900
ko:K00963	sths:AVT04_05910
ko:K00057	sths:AVT04_05915
ko:K16926	sths:AVT04_05920
ko:K01520	sths:AVT04_05945
ko:K04485	sths:AVT04_05950
ko:K01673	sths:AVT04_05965
ko:K02867	sths:AVT04_05975
ko:K02863	sths:AVT04_05980
ko:K15580	sths:AVT04_05990
ko:K09698	sths:AVT04_05995
ko:K01940	sths:AVT04_06000
ko:K01755	sths:AVT04_06005
ko:K03536	sths:AVT04_06010
ko:K03217	sths:AVT04_06015
ko:K06346	sths:AVT04_06020
ko:K02914	sths:AVT04_06025
ko:K07491	sths:AVT04_06030
ko:K00773	sths:AVT04_06035
ko:K03671	sths:AVT04_06075
ko:K06929	sths:AVT04_06080
ko:K03424	sths:AVT04_06085
ko:K05985	sths:AVT04_06090
ko:K02528	sths:AVT04_06095
ko:K06949	sths:AVT04_06105
ko:K01783	sths:AVT04_06110
ko:K00949	sths:AVT04_06115
ko:K09760	sths:AVT04_06120
ko:K03698	sths:AVT04_06125
ko:K09685	sths:AVT04_06130
ko:K02950	sths:AVT04_06135
ko:K02992	sths:AVT04_06140
ko:K02355	sths:AVT04_06145
ko:K00134	sths:AVT04_06150
ko:K07497	sths:AVT04_06155
ko:K00927	sths:AVT04_06175
ko:K03713	sths:AVT04_06190
ko:K01915	sths:AVT04_06195
ko:K12574	sths:AVT04_06205
ko:K03789	sths:AVT04_06220
ko:K01409	sths:AVT04_06225
ko:K03581	sths:AVT04_06240
ko:K03100	sths:AVT04_06245
ko:K03471	sths:AVT04_06250
ko:K07456	sths:AVT04_06265
ko:K02335	sths:AVT04_06270
ko:K03575	sths:AVT04_06290
ko:K02990	sths:AVT04_06305
ko:K03111	sths:AVT04_06310
ko:K02963	sths:AVT04_06315
ko:K03284	sths:AVT04_06330
ko:K03701	sths:AVT04_06335
ko:K01262	sths:AVT04_06365
ko:K01493	sths:AVT04_06370
ko:K02356	sths:AVT04_06375
ko:K03625	sths:AVT04_06385
ko:K01193	sths:AVT04_06395
ko:K02808	sths:AVT04_06400
ko:K02809	sths:AVT04_06400
ko:K02810	sths:AVT04_06400
ko:K00847	sths:AVT04_06405
ko:K01809	sths:AVT04_06410
ko:K03070	sths:AVT04_06420
ko:K01626	sths:AVT04_06425
ko:K01626	sths:AVT04_06430
ko:K00997	sths:AVT04_06435
ko:K01775	sths:AVT04_06440
ko:K03655	sths:AVT04_06445
ko:K01424	sths:AVT04_06450
ko:K16899	sths:AVT04_06485
ko:K16898	sths:AVT04_06490
ko:K01992	sths:AVT04_06505
ko:K00931	sths:AVT04_06510
ko:K00147	sths:AVT04_06515
ko:K03438	sths:AVT04_06550
ko:K12556	sths:AVT04_06560
ko:K01000	sths:AVT04_06565
ko:K18692	sths:AVT04_06570
ko:K06941	sths:AVT04_06585
ko:K18889	sths:AVT04_06600
ko:K18890	sths:AVT04_06605
ko:K20344	sths:AVT04_06610
ko:K07706	sths:AVT04_06625
ko:K07707	sths:AVT04_06630
ko:K01281	sths:AVT04_06655
ko:K02440	sths:AVT04_06660
ko:K16786	sths:AVT04_03335
ko:K16787	sths:AVT04_03335
ko:K16924	sths:AVT04_03340
ko:K07862	sths:AVT04_03350
ko:K02072	sths:AVT04_03355
ko:K02071	sths:AVT04_03360
ko:K02073	sths:AVT04_03370
ko:K02030	sths:AVT04_03375
ko:K02006	sths:AVT04_03380
ko:K02008	sths:AVT04_03385
ko:K02007	sths:AVT04_03390
ko:K03190	sths:AVT04_03395
ko:K03189	sths:AVT04_03400
ko:K03188	sths:AVT04_03405
ko:K03187	sths:AVT04_03410
ko:K01428	sths:AVT04_03415
ko:K01429	sths:AVT04_03420
ko:K01430	sths:AVT04_03425
ko:K03191	sths:AVT04_03430
ko:K20344	sths:AVT04_03455
ko:K20344	sths:AVT04_03465
ko:K20342	sths:AVT04_03470
ko:K19302	sths:AVT04_03475
ko:K03216	sths:AVT04_03485
ko:K03499	sths:AVT04_03490
ko:K03498	sths:AVT04_03495
ko:K08998	sths:AVT04_03500
