ko:K02028	kpp:A79E_2147
ko:K14170	kpp:A79E_1181
ko:K05809	kpp:A79E_1182
ko:K05807	kpp:A79E_1183
ko:K06180	kpp:A79E_1184
ko:K05810	kpp:A79E_1185
ko:K03695	kpp:A79E_1186
ko:K05811	kpp:A79E_1193
ko:K00998	kpp:A79E_1194
ko:K03672	kpp:A79E_1197
ko:K03214	kpp:A79E_1198
ko:K03648	kpp:A79E_1199
ko:K05590	kpp:A79E_1201
ko:K00278	kpp:A79E_1203
ko:K03088	kpp:A79E_1204
ko:K03597	kpp:A79E_1205
ko:K03598	kpp:A79E_1206
ko:K03596	kpp:A79E_1208
ko:K03100	kpp:A79E_1209
ko:K03685	kpp:A79E_1210
ko:K01889	kpp:A79E_2063
ko:K01890	kpp:A79E_2064
ko:K04764	kpp:A79E_2065
ko:K00285	kpp:A79E_2067
ko:K06073	kpp:A79E_2070
ko:K02073	kpp:A79E_2071
ko:K00432	kpp:A79E_2072
ko:K06074	kpp:A79E_2073
ko:K01626	kpp:A79E_2077
ko:K09773	kpp:A79E_2078
ko:K00549	kpp:A79E_2088
ko:K02013	kpp:A79E_2090
ko:K02015	kpp:A79E_2091
ko:K02016	kpp:A79E_2092
ko:K05997	kpp:A79E_2102
ko:K09014	kpp:A79E_2103
ko:K09013	kpp:A79E_2104
ko:K09015	kpp:A79E_2105
ko:K11717	kpp:A79E_2106
ko:K02426	kpp:A79E_2107
ko:K00873	kpp:A79E_2110
ko:K00457	kpp:A79E_2114
ko:K00014	kpp:A79E_2116
ko:K06956	kpp:A79E_2948
ko:K15722	kpp:A79E_2949
ko:K03781	kpp:A79E_2950
ko:K03490	kpp:A79E_2953
ko:K02759	kpp:A79E_2954
ko:K02761	kpp:A79E_2955
ko:K02760	kpp:A79E_2957
ko:K04064	kpp:A79E_2958
ko:K05984	kpp:A79E_2960
ko:K05526	kpp:A79E_2962
ko:K01484	kpp:A79E_2963
ko:K06447	kpp:A79E_2964
ko:K00673	kpp:A79E_2965
ko:K00840	kpp:A79E_2966
ko:K01142	kpp:A79E_2967
ko:K05777	kpp:A79E_2971
ko:K05779	kpp:A79E_2972
ko:K08320	kpp:A79E_2975
ko:K00262	kpp:A79E_2977
ko:K01008	kpp:A79E_2980
ko:K09474	kpp:A79E_2981
ko:K04773	kpp:A79E_2983
ko:K08281	kpp:A79E_2985
ko:K09916	kpp:A79E_2988
ko:K00134	kpp:A79E_2990
ko:K01792	kpp:A79E_2991
ko:K07180	kpp:A79E_2994
ko:K09786	kpp:A79E_2995
ko:K00432	kpp:A79E_2997
ko:K04079	kpp:A79E_3826
ko:K09747	kpp:A79E_3827
ko:K02343	kpp:A79E_3828
ko:K00759	kpp:A79E_3829
ko:K09790	kpp:A79E_3830
ko:K05802	kpp:A79E_3834
ko:K03577	kpp:A79E_3835
ko:K00375	kpp:A79E_3843
ko:K02919	kpp:A79E_3845
ko:K02909	kpp:A79E_3846
ko:K02024	kpp:A79E_3848
ko:K12308	kpp:A79E_3850
ko:K01224	kpp:A79E_3851
ko:K15772	kpp:A79E_3852
ko:K15771	kpp:A79E_3853
ko:K07443	kpp:A79E_3866
ko:K09914	kpp:A79E_3867
ko:K10805	kpp:A79E_3868
ko:K03320	kpp:A79E_3869
ko:K04752	kpp:A79E_3870
ko:K05800	kpp:A79E_3873
ko:K01738	kpp:A79E_3874
ko:K11938	kpp:A79E_3875
ko:K06920	kpp:A79E_3877
ko:K14393	kpp:A79E_4712
ko:K07347	kpp:A79E_4715
ko:K06901	kpp:A79E_4722
ko:K13639	kpp:A79E_4724
ko:K13631	kpp:A79E_4725
ko:K07277	kpp:A79E_4735
ko:K03701	kpp:A79E_4745
ko:K03788	kpp:A79E_4748
ko:K00832	kpp:A79E_4749
ko:K01775	kpp:A79E_4750
ko:K09823	kpp:A79E_4756
ko:K03327	kpp:A79E_4759
ko:K01356	kpp:A79E_4760
ko:K00901	kpp:A79E_4761
ko:K00631	kpp:A79E_4762
ko:K03179	kpp:A79E_4763
ko:K03181	kpp:A79E_4764
ko:K05775	kpp:A79E_4765
ko:K02024	kpp:A79E_4766
ko:K00111	kpp:A79E_0321
ko:K02439	kpp:A79E_0322
ko:K02444	kpp:A79E_0324
ko:K03556	kpp:A79E_0325
ko:K00688	kpp:A79E_0326
ko:K00705	kpp:A79E_0327
ko:K06155	kpp:A79E_0328
ko:K07400	kpp:A79E_0329
ko:K02170	kpp:A79E_0331
ko:K07490	kpp:A79E_0333
ko:K04759	kpp:A79E_0334
ko:K04758	kpp:A79E_0335
ko:K06959	kpp:A79E_0336
ko:K04760	kpp:A79E_0337
ko:K07659	kpp:A79E_0338
ko:K07638	kpp:A79E_0339
ko:K01610	kpp:A79E_0340
ko:K04083	kpp:A79E_0341
ko:K04762	kpp:A79E_0342
ko:K08312	kpp:A79E_0345
ko:K05366	kpp:A79E_0346
ko:K12289	kpp:A79E_0347
ko:K12290	kpp:A79E_0348
ko:K02507	kpp:A79E_0349
ko:K00891	kpp:A79E_0350
ko:K01735	kpp:A79E_0351
ko:K03112	kpp:A79E_0352
ko:K01783	kpp:A79E_0354
ko:K01091	kpp:A79E_0355
ko:K01867	kpp:A79E_0356
ko:K02302	kpp:A79E_0357
ko:K00363	kpp:A79E_0358
ko:K00362	kpp:A79E_0359
ko:K06141	kpp:A79E_0361
ko:K04095	kpp:A79E_0364
ko:K07397	kpp:A79E_0369
ko:K00855	kpp:A79E_0370
ko:K06158	kpp:A79E_0372
ko:K07070	kpp:A79E_0375
ko:K03775	kpp:A79E_0376
ko:K03584	kpp:A79E_1212
ko:K03474	kpp:A79E_1213
ko:K00997	kpp:A79E_1214
ko:K11991	kpp:A79E_1218
ko:K01952	kpp:A79E_1220
ko:K07711	kpp:A79E_1221
ko:K07715	kpp:A79E_1223
ko:K04751	kpp:A79E_1224
ko:K05916	kpp:A79E_1225
ko:K00600	kpp:A79E_1226
ko:K15977	kpp:A79E_1227
ko:K05820	kpp:A79E_1232
ko:K15396	kpp:A79E_1238
ko:K13643	kpp:A79E_1239
ko:K04487	kpp:A79E_1240
ko:K04082	kpp:A79E_1243
ko:K04044	kpp:A79E_1244
ko:K04755	kpp:A79E_1245
ko:K07751	kpp:A79E_1247
ko:K06894	kpp:A79E_1251
ko:K05367	kpp:A79E_1252
ko:K00940	kpp:A79E_1253
ko:K06941	kpp:A79E_1254
ko:K15539	kpp:A79E_1255
ko:K01892	kpp:A79E_1257
ko:K03977	kpp:A79E_1260
ko:K03601	kpp:A79E_1263
ko:K01951	kpp:A79E_1265
ko:K06871	kpp:A79E_1267
ko:K02020	kpp:A79E_2117
ko:K02013	kpp:A79E_2118
ko:K02015	kpp:A79E_2119
ko:K02016	kpp:A79E_2120
ko:K05818	kpp:A79E_2121
ko:K01666	kpp:A79E_2127
ko:K05819	kpp:A79E_2128
ko:K05810	kpp:A79E_2129
ko:K15553	kpp:A79E_2135
ko:K02013	kpp:A79E_2140
ko:K02015	kpp:A79E_2141
ko:K02015	kpp:A79E_2142
ko:K02016	kpp:A79E_2143
ko:K13574	kpp:A79E_2154
ko:K02012	kpp:A79E_2156
ko:K02011	kpp:A79E_2157
ko:K15342	kpp:A79E_2166
ko:K03449	kpp:A79E_3013
ko:K09712	kpp:A79E_3017
ko:K13069	kpp:A79E_3018
ko:K11250	kpp:A79E_3022
ko:K12974	kpp:A79E_3023
ko:K03182	kpp:A79E_3029
ko:K00426	kpp:A79E_3035
ko:K00425	kpp:A79E_3036
ko:K07217	kpp:A79E_3037
ko:K09984	kpp:A79E_3042
ko:K12500	kpp:A79E_3878
ko:K02237	kpp:A79E_3879
ko:K03770	kpp:A79E_3880
ko:K03530	kpp:A79E_3881
ko:K01338	kpp:A79E_3882
ko:K03544	kpp:A79E_3883
ko:K01358	kpp:A79E_3884
ko:K03545	kpp:A79E_3885
ko:K05527	kpp:A79E_3887
ko:K07286	kpp:A79E_3888
ko:K08218	kpp:A79E_3889
ko:K02297	kpp:A79E_3891
ko:K02298	kpp:A79E_3892
ko:K02299	kpp:A79E_3893
ko:K02300	kpp:A79E_3894
ko:K02624	kpp:A79E_3897
ko:K00014	kpp:A79E_3898
ko:K08195	kpp:A79E_3903
ko:K09767	kpp:A79E_3906
ko:K00077	kpp:A79E_3907
ko:K03152	kpp:A79E_3908
ko:K03151	kpp:A79E_3910
ko:K03602	kpp:A79E_3911
ko:K00795	kpp:A79E_3912
ko:K01095	kpp:A79E_3914
ko:K00946	kpp:A79E_3915
ko:K03625	kpp:A79E_3916
ko:K00794	kpp:A79E_3917
ko:K11752	kpp:A79E_3918
ko:K07738	kpp:A79E_3919
ko:K05517	kpp:A79E_3921
ko:K06996	kpp:A79E_3923
ko:K03074	kpp:A79E_3924
ko:K03072	kpp:A79E_3925
ko:K03210	kpp:A79E_3926
ko:K00773	kpp:A79E_3927
ko:K07568	kpp:A79E_3928
ko:K08682	kpp:A79E_3929
ko:K10109	kpp:A79E_4770
ko:K13256	kpp:A79E_4772
ko:K01810	kpp:A79E_4779
ko:K00928	kpp:A79E_4780
ko:K03453	kpp:A79E_4781
ko:K06182	kpp:A79E_4783
ko:K05995	kpp:A79E_4784
ko:K03324	kpp:A79E_4785
ko:K00906	kpp:A79E_4788
ko:K01637	kpp:A79E_4789
ko:K01638	kpp:A79E_4790
ko:K00651	kpp:A79E_4791
ko:K03827	kpp:A79E_4792
ko:K00602	kpp:A79E_4798
ko:K01945	kpp:A79E_4799
ko:K07803	kpp:A79E_4803
ko:K05787	kpp:A79E_4805
ko:K09891	kpp:A79E_4806
ko:K05982	kpp:A79E_4807
ko:K01599	kpp:A79E_4808
ko:K03426	kpp:A79E_4809
ko:K07740	kpp:A79E_4810
ko:K03147	kpp:A79E_4811
ko:K00788	kpp:A79E_4812
ko:K03154	kpp:A79E_4814
ko:K03149	kpp:A79E_4815
ko:K03150	kpp:A79E_4816
ko:K02760	kpp:A79E_4819
ko:K02759	kpp:A79E_4820
ko:K03046	kpp:A79E_4822
ko:K03745	kpp:A79E_0377
ko:K07235	kpp:A79E_0380
ko:K07236	kpp:A79E_0381
ko:K07237	kpp:A79E_0382
ko:K02950	kpp:A79E_0383
ko:K02992	kpp:A79E_0384
ko:K02355	kpp:A79E_0385
ko:K02192	kpp:A79E_0387
ko:K03594	kpp:A79E_0388
ko:K02946	kpp:A79E_0390
ko:K02906	kpp:A79E_0392
ko:K02926	kpp:A79E_0393
ko:K02892	kpp:A79E_0394
ko:K02886	kpp:A79E_0395
ko:K02965	kpp:A79E_0396
ko:K02890	kpp:A79E_0397
ko:K02982	kpp:A79E_0398
ko:K02878	kpp:A79E_0399
ko:K02904	kpp:A79E_0400
ko:K02961	kpp:A79E_0401
ko:K02874	kpp:A79E_0402
ko:K02895	kpp:A79E_0403
ko:K02931	kpp:A79E_0404
ko:K02954	kpp:A79E_0405
ko:K02994	kpp:A79E_0406
ko:K02933	kpp:A79E_0407
ko:K02881	kpp:A79E_0408
ko:K02988	kpp:A79E_0409
ko:K02907	kpp:A79E_0410
ko:K02876	kpp:A79E_0411
ko:K03076	kpp:A79E_0412
ko:K02952	kpp:A79E_0413
ko:K02948	kpp:A79E_0414
ko:K02986	kpp:A79E_0415
ko:K03040	kpp:A79E_0416
ko:K02879	kpp:A79E_0417
ko:K03282	kpp:A79E_0420
ko:K03500	kpp:A79E_0422
ko:K00604	kpp:A79E_0423
ko:K01462	kpp:A79E_0424
ko:K04096	kpp:A79E_0425
ko:K07479	kpp:A79E_0427
ko:K07566	kpp:A79E_0428
ko:K00014	kpp:A79E_0429
ko:K01524	kpp:A79E_1272
ko:K00937	kpp:A79E_1273
ko:K11175	kpp:A79E_1274
ko:K01933	kpp:A79E_1275
ko:K01223	kpp:A79E_1277
ko:K00761	kpp:A79E_1278
ko:K10763	kpp:A79E_1280
ko:K03564	kpp:A79E_1286
ko:K03567	kpp:A79E_1287
ko:K01714	kpp:A79E_1288
ko:K07287	kpp:A79E_1289
ko:K01923	kpp:A79E_1290
ko:K06957	kpp:A79E_1292
ko:K06999	kpp:A79E_1293
ko:K12945	kpp:A79E_1299
ko:K00615	kpp:A79E_1301
ko:K00029	kpp:A79E_1303
ko:K04031	kpp:A79E_1304
ko:K04029	kpp:A79E_1305
ko:K04030	kpp:A79E_1306
ko:K04032	kpp:A79E_1307
ko:K04020	kpp:A79E_1308
ko:K04021	kpp:A79E_1310
ko:K04024	kpp:A79E_1311
ko:K04022	kpp:A79E_1312
ko:K04023	kpp:A79E_1314
ko:K04019	kpp:A79E_1315
ko:K03735	kpp:A79E_1316
ko:K03736	kpp:A79E_1317
ko:K04026	kpp:A79E_1318
ko:K04025	kpp:A79E_1319
ko:K04033	kpp:A79E_1320
ko:K00228	kpp:A79E_1321
ko:K01448	kpp:A79E_1322
ko:K06152	kpp:A79E_2171
ko:K06151	kpp:A79E_2172
ko:K02194	kpp:A79E_2175
ko:K02195	kpp:A79E_2176
ko:K02196	kpp:A79E_2177
ko:K02197	kpp:A79E_2178
ko:K02198	kpp:A79E_2179
ko:K02199	kpp:A79E_2180
ko:K01652	kpp:A79E_2191
ko:K01575	kpp:A79E_2192
ko:K00019	kpp:A79E_2194
ko:K00074	kpp:A79E_2196
ko:K01029	kpp:A79E_2198
ko:K01028	kpp:A79E_2199
ko:K00031	kpp:A79E_3084
ko:K06181	kpp:A79E_3085
ko:K12152	kpp:A79E_3086
ko:K00566	kpp:A79E_3087
ko:K07153	kpp:A79E_3088
ko:K01756	kpp:A79E_3089
ko:K07637	kpp:A79E_3093
ko:K00615	kpp:A79E_3103
ko:K01808	kpp:A79E_3105
ko:K02781	kpp:A79E_3106
ko:K02526	kpp:A79E_3107
ko:K01803	kpp:A79E_3110
ko:K12410	kpp:A79E_3113
ko:K09808	kpp:A79E_3115
ko:K01624	kpp:A79E_3936
ko:K09932	kpp:A79E_3938
ko:K11736	kpp:A79E_3942
ko:K03311	kpp:A79E_3943
ko:K07636	kpp:A79E_3944
ko:K03547	kpp:A79E_3946
ko:K00847	kpp:A79E_3948
ko:K03554	kpp:A79E_3949
ko:K09913	kpp:A79E_3950
ko:K14591	kpp:A79E_3951
ko:K00891	kpp:A79E_3953
ko:K09945	kpp:A79E_3954
ko:K09768	kpp:A79E_3955
ko:K00286	kpp:A79E_3956
ko:K01921	kpp:A79E_3962
ko:K01698	kpp:A79E_3969
ko:K03119	kpp:A79E_3971
ko:K15552	kpp:A79E_3972
ko:K15551	kpp:A79E_3974
ko:K03735	kpp:A79E_3982
ko:K03736	kpp:A79E_3983
ko:K01999	kpp:A79E_3985
ko:K01997	kpp:A79E_3986
ko:K03043	kpp:A79E_4823
ko:K02935	kpp:A79E_4824
ko:K02864	kpp:A79E_4825
ko:K02863	kpp:A79E_4826
ko:K02867	kpp:A79E_4827
ko:K02601	kpp:A79E_4828
ko:K03073	kpp:A79E_4829
ko:K02358	kpp:A79E_4830
ko:K03524	kpp:A79E_4836
ko:K00075	kpp:A79E_4837
ko:K01825	kpp:A79E_4847
ko:K05368	kpp:A79E_4849
ko:K03182	kpp:A79E_4850
ko:K03424	kpp:A79E_4853
ko:K03118	kpp:A79E_4854
ko:K03117	kpp:A79E_4855
ko:K03116	kpp:A79E_4856
ko:K03688	kpp:A79E_4857
ko:K03690	kpp:A79E_4858
ko:K03183	kpp:A79E_4859
ko:K09760	kpp:A79E_4860
ko:K00757	kpp:A79E_4861
ko:K01061	kpp:A79E_4862
ko:K00549	kpp:A79E_4863
ko:K05834	kpp:A79E_4867
ko:K05835	kpp:A79E_4869
ko:K03654	kpp:A79E_4870
ko:K01058	kpp:A79E_4871
ko:K05786	kpp:A79E_4873
ko:K03284	kpp:A79E_4874
ko:K03657	kpp:A79E_4875
ko:K03733	kpp:A79E_4877
ko:K03557	kpp:A79E_0442
ko:K02687	kpp:A79E_0444
ko:K14392	kpp:A79E_0445
ko:K01961	kpp:A79E_0447
ko:K02160	kpp:A79E_0448
ko:K03786	kpp:A79E_0449
ko:K03569	kpp:A79E_0454
ko:K03570	kpp:A79E_0455
ko:K03571	kpp:A79E_0456
ko:K06287	kpp:A79E_0457
ko:K08301	kpp:A79E_0458
ko:K03568	kpp:A79E_0460
ko:K15548	kpp:A79E_0463
ko:K03468	kpp:A79E_0464
ko:K03623	kpp:A79E_0465
ko:K03402	kpp:A79E_0468
ko:K00024	kpp:A79E_0469
ko:K03780	kpp:A79E_0474
ko:K01573	kpp:A79E_0475
ko:K04691	kpp:A79E_0479
ko:K09908	kpp:A79E_0481
ko:K06916	kpp:A79E_0482
ko:K02871	kpp:A79E_0483
ko:K02996	kpp:A79E_0484
ko:K03599	kpp:A79E_0485
ko:K03600	kpp:A79E_0486
ko:K00266	kpp:A79E_0488
ko:K07139	kpp:A79E_0490
ko:K07223	kpp:A79E_1326
ko:K02048	kpp:A79E_1327
ko:K02046	kpp:A79E_1328
ko:K02047	kpp:A79E_1329
ko:K02045	kpp:A79E_1330
ko:K12339	kpp:A79E_1331
ko:K00868	kpp:A79E_1334
ko:K01738	kpp:A79E_1339
ko:K06203	kpp:A79E_1340
ko:K03528	kpp:A79E_1342
ko:K01972	kpp:A79E_1343
ko:K09954	kpp:A79E_1344
ko:K14347	kpp:A79E_1345
ko:K11535	kpp:A79E_1357
ko:K03322	kpp:A79E_1358
ko:K02478	kpp:A79E_1365
ko:K14261	kpp:A79E_1366
ko:K03449	kpp:A79E_1367
ko:K11921	kpp:A79E_1369
ko:K04754	kpp:A79E_1374
ko:K06076	kpp:A79E_1375
ko:K08296	kpp:A79E_1379
ko:K07320	kpp:A79E_1380
ko:K01736	kpp:A79E_1381
ko:K02034	kpp:A79E_2226
ko:K01673	kpp:A79E_2233
ko:K06966	kpp:A79E_2245
ko:K03327	kpp:A79E_2247
ko:K00793	kpp:A79E_2248
ko:K00574	kpp:A79E_2249
ko:K04564	kpp:A79E_2253
ko:K07390	kpp:A79E_2256
ko:K03683	kpp:A79E_2257
ko:K10680	kpp:A79E_2259
ko:K16137	kpp:A79E_2260
ko:K06938	kpp:A79E_2261
ko:K06077	kpp:A79E_2269
ko:K09001	kpp:A79E_2270
ko:K00275	kpp:A79E_2272
ko:K01866	kpp:A79E_2273
ko:K00868	kpp:A79E_2274
ko:K03305	kpp:A79E_2276
ko:K10773	kpp:A79E_2278
ko:K09808	kpp:A79E_3117
ko:K03723	kpp:A79E_3118
ko:K12151	kpp:A79E_3120
ko:K03885	kpp:A79E_3124
ko:K07000	kpp:A79E_3125
ko:K01207	kpp:A79E_3126
ko:K07251	kpp:A79E_3127
ko:K07337	kpp:A79E_3128
ko:K03424	kpp:A79E_3132
ko:K02341	kpp:A79E_3133
ko:K00943	kpp:A79E_3134
ko:K07082	kpp:A79E_3135
ko:K09458	kpp:A79E_3137
ko:K02078	kpp:A79E_3138
ko:K00645	kpp:A79E_3140
ko:K00648	kpp:A79E_3141
ko:K03621	kpp:A79E_3142
ko:K02911	kpp:A79E_3143
ko:K07040	kpp:A79E_3144
ko:K08300	kpp:A79E_3147
ko:K03980	kpp:A79E_3150
ko:K09915	kpp:A79E_3152
ko:K03790	kpp:A79E_3153
ko:K08162	kpp:A79E_3154
ko:K01465	kpp:A79E_3157
ko:K12149	kpp:A79E_3158
ko:K12148	kpp:A79E_3159
ko:K02846	kpp:A79E_3160
ko:K07146	kpp:A79E_3162
ko:K02517	kpp:A79E_3164
ko:K12147	kpp:A79E_3166
ko:K03669	kpp:A79E_3168
ko:K03670	kpp:A79E_3169
ko:K11941	kpp:A79E_3170
ko:K01998	kpp:A79E_3987
ko:K01995	kpp:A79E_3988
ko:K01996	kpp:A79E_3989
ko:K02029	kpp:A79E_3993
ko:K02029	kpp:A79E_3994
ko:K02041	kpp:A79E_4001
ko:K02044	kpp:A79E_4002
ko:K02042	kpp:A79E_4003
ko:K02042	kpp:A79E_4004
ko:K11929	kpp:A79E_4008
ko:K00931	kpp:A79E_4009
ko:K00147	kpp:A79E_4010
ko:K03556	kpp:A79E_4017
ko:K00627	kpp:A79E_4020
ko:K00382	kpp:A79E_4021
ko:K00880	kpp:A79E_4025
ko:K09982	kpp:A79E_4031
ko:K15737	kpp:A79E_4032
ko:K15736	kpp:A79E_4033
ko:K11735	kpp:A79E_4036
ko:K15735	kpp:A79E_4037
ko:K11926	kpp:A79E_4038
ko:K11750	kpp:A79E_4039
ko:K09921	kpp:A79E_4878
ko:K01778	kpp:A79E_4879
ko:K06202	kpp:A79E_4881
ko:K05851	kpp:A79E_4882
ko:K01749	kpp:A79E_4883
ko:K02496	kpp:A79E_4885
ko:K02498	kpp:A79E_4886
ko:K02853	kpp:A79E_4894
ko:K12582	kpp:A79E_4895
ko:K02805	kpp:A79E_4897
ko:K00973	kpp:A79E_4899
ko:K02472	kpp:A79E_4901
ko:K05790	kpp:A79E_4903
ko:K03628	kpp:A79E_4905
ko:K03671	kpp:A79E_4906
ko:K03732	kpp:A79E_4907
ko:K01524	kpp:A79E_4908
ko:K07150	kpp:A79E_4911
ko:K03656	kpp:A79E_4912
ko:K00053	kpp:A79E_4916
ko:K02521	kpp:A79E_4917
ko:K01754	kpp:A79E_4918
ko:K01687	kpp:A79E_4919
ko:K00826	kpp:A79E_4920
ko:K11258	kpp:A79E_4921
ko:K01652	kpp:A79E_4922
ko:K07391	kpp:A79E_4923
ko:K09897	kpp:A79E_4924
ko:K01776	kpp:A79E_4933
ko:K08322	kpp:A79E_0492
ko:K01686	kpp:A79E_0493
ko:K07648	kpp:A79E_0494
ko:K03814	kpp:A79E_0496
ko:K06958	kpp:A79E_0498
ko:K05808	kpp:A79E_0500
ko:K03092	kpp:A79E_0501
ko:K06861	kpp:A79E_0502
ko:K09774	kpp:A79E_0503
ko:K11719	kpp:A79E_0504
ko:K03270	kpp:A79E_0505
