ko:K14230	tpb:TPFB_t0011
ko:K03654	tpb:TPFB_0103
ko:K00850	tpb:TPFB_0108
ko:K03218	tpb:TPFB_0109
ko:K03092	tpb:TPFB_0111
ko:K04088	tpb:TPFB_0113
ko:K04087	tpb:TPFB_0114
ko:K00868	tpb:TPFB_0115
ko:K03702	tpb:TPFB_0116
ko:K02072	tpb:TPFB_0119
ko:K02071	tpb:TPFB_0120
ko:K03928	tpb:TPFB_0902
ko:K01925	tpb:TPFB_0903
ko:K02959	tpb:TPFB_0905
ko:K06960	tpb:TPFB_0906
ko:K02860	tpb:TPFB_0907
ko:K00554	tpb:TPFB_0908
ko:K02884	tpb:TPFB_0909
ko:K04061	tpb:TPFB_0911
ko:K07460	tpb:TPFB_0913
ko:K06213	tpb:TPFB_0917
ko:K03671	tpb:TPFB_0919
ko:K06959	tpb:TPFB_0924
ko:K03100	tpb:TPFB_0926
ko:K01928	tpb:TPFB_0933
ko:K07095	tpb:TPFB_0937
ko:K03737	tpb:TPFB_0939
ko:K02422	tpb:TPFB_0943
ko:K01783	tpb:TPFB_0945
ko:K03501	tpb:TPFB_0946
ko:K07566	tpb:TPFB_0182
ko:K03664	tpb:TPFB_0184
ko:K03100	tpb:TPFB_0185
ko:K02358	tpb:TPFB_0187
ko:K02946	tpb:TPFB_0188
ko:K02906	tpb:TPFB_0189
ko:K02926	tpb:TPFB_0190
ko:K02892	tpb:TPFB_0191
ko:K02886	tpb:TPFB_0192
ko:K02965	tpb:TPFB_0193
ko:K02890	tpb:TPFB_0194
ko:K02982	tpb:TPFB_0195
ko:K02878	tpb:TPFB_0196
ko:K02904	tpb:TPFB_0197
ko:K02961	tpb:TPFB_0198
ko:K02874	tpb:TPFB_0199
ko:K02895	tpb:TPFB_0200
ko:K02931	tpb:TPFB_0201
ko:K02954	tpb:TPFB_0202
ko:K02994	tpb:TPFB_0203
ko:K02933	tpb:TPFB_0204
ko:K02881	tpb:TPFB_0205
ko:K02988	tpb:TPFB_0206
ko:K02907	tpb:TPFB_0206a
ko:K02876	tpb:TPFB_0207
ko:K03076	tpb:TPFB_0208
ko:K02919	tpb:TPFB_0209
ko:K02952	tpb:TPFB_0210
ko:K02948	tpb:TPFB_0211
ko:K03040	tpb:TPFB_0212
ko:K02879	tpb:TPFB_0213
ko:K03687	tpb:TPFB_0215
ko:K04043	tpb:TPFB_0216
ko:K03686	tpb:TPFB_0217
ko:K04773	tpb:TPFB_0997
ko:K03310	tpb:TPFB_0998
ko:K03466	tpb:TPFB_0999
ko:K06187	tpb:TPFB_1004
ko:K02343	tpb:TPFB_1005
ko:K02470	tpb:TPFB_1006
ko:K00057	tpb:TPFB_1009
ko:K00940	tpb:TPFB_1010
ko:K01056	tpb:TPFB_1011
ko:K04078	tpb:TPFB_1013
ko:K03625	tpb:TPFB_1015
ko:K01872	tpb:TPFB_1017
ko:K02435	tpb:TPFB_1019
ko:K02434	tpb:TPFB_1021
ko:K04485	tpb:TPFB_1022
ko:K03565	tpb:TPFB_1023
ko:K02996	tpb:TPFB_1024
ko:K02871	tpb:TPFB_1025
ko:K00757	tpb:TPFB_1027
ko:K03657	tpb:TPFB_1028
ko:K07001	tpb:TPFB_1033
ko:K07301	tpb:TPFB_1034
ko:K01873	tpb:TPFB_1035
ko:K11068	tpb:TPFB_1037
ko:K04047	tpb:TPFB_1038
ko:K00759	tpb:TPFB_1039
ko:K04568	tpb:TPFB_1040
ko:K01358	tpb:TPFB_1041
ko:K00858	tpb:TPFB_0441
ko:K03631	tpb:TPFB_0442
ko:K03152	tpb:TPFB_0445
ko:K00761	tpb:TPFB_0448
ko:K02355	tpb:TPFB_0450
ko:K01870	tpb:TPFB_0452
ko:K06024	tpb:TPFB_0458
ko:K06178	tpb:TPFB_0459
ko:K03439	tpb:TPFB_0464
ko:K03703	tpb:TPFB_0472
ko:K01810	tpb:TPFB_0475
ko:K00925	tpb:TPFB_0476
ko:K01057	tpb:TPFB_0477
ko:K00036	tpb:TPFB_0478
ko:K07082	tpb:TPFB_0491
ko:K03086	tpb:TPFB_0493
ko:K07164	tpb:TPFB_0494
ko:K07462	tpb:TPFB_0704
ko:K05366	tpb:TPFB_0705
ko:K02405	tpb:TPFB_0709
ko:K04562	tpb:TPFB_0712
ko:K02404	tpb:TPFB_0713
ko:K02400	tpb:TPFB_0714
ko:K02401	tpb:TPFB_0715
ko:K02421	tpb:TPFB_0716
ko:K02420	tpb:TPFB_0717
ko:K02419	tpb:TPFB_0718
ko:K02418	tpb:TPFB_0719
ko:K02417	tpb:TPFB_0720
ko:K02416	tpb:TPFB_0721
ko:K02415	tpb:TPFB_0722
ko:K02557	tpb:TPFB_0724
ko:K02556	tpb:TPFB_0725
ko:K02385	tpb:TPFB_0726
ko:K02390	tpb:TPFB_0727
ko:K02389	tpb:TPFB_0728
ko:K00995	tpb:TPFB_0730
ko:K01491	tpb:TPFB_0732
ko:K00266	tpb:TPFB_0735
ko:K00528	tpb:TPFB_0736
ko:K09710	tpb:TPFB_0738
ko:K06942	tpb:TPFB_0124
ko:K01142	tpb:TPFB_0125
ko:K02062	tpb:TPFB_0142
ko:K02063	tpb:TPFB_0143
ko:K02064	tpb:TPFB_0144
ko:K09775	tpb:TPFB_0153
ko:K07107	tpb:TPFB_0156
ko:K01881	tpb:TPFB_0160
ko:K03551	tpb:TPFB_0162
ko:K03217	tpb:TPFB_0949
ko:K08998	tpb:TPFB_0949a
ko:K03536	tpb:TPFB_0950a
ko:K02914	tpb:TPFB_0951
ko:K02395	tpb:TPFB_0959
ko:K02392	tpb:TPFB_0960
ko:K02392	tpb:TPFB_0961
ko:K02003	tpb:TPFB_0964
ko:K07230	tpb:TPFB_0971
ko:K07243	tpb:TPFB_0972
ko:K01889	tpb:TPFB_0973
ko:K07056	tpb:TPFB_0975
ko:K03101	tpb:TPFB_0978
ko:K03424	tpb:TPFB_0979
ko:K04079	tpb:TPFB_0984
ko:K01876	tpb:TPFB_0985
ko:K03642	tpb:TPFB_0993
ko:K03424	tpb:TPFB_0994
ko:K03523	tpb:TPFB_0228
ko:K04066	tpb:TPFB_0230
ko:K02913	tpb:TPFB_0234
ko:K03073	tpb:TPFB_0235
ko:K02601	tpb:TPFB_0236
ko:K02867	tpb:TPFB_0237
ko:K02863	tpb:TPFB_0238
ko:K02864	tpb:TPFB_0239
ko:K02935	tpb:TPFB_0240
ko:K03043	tpb:TPFB_0241
ko:K03046	tpb:TPFB_0242
ko:K02950	tpb:TPFB_0243
ko:K02992	tpb:TPFB_0244
ko:K01448	tpb:TPFB_0247
ko:K04764	tpb:TPFB_0251
ko:K03820	tpb:TPFB_0252
ko:K03628	tpb:TPFB_0254
ko:K02909	tpb:TPFB_0255
ko:K00995	tpb:TPFB_0256
ko:K01126	tpb:TPFB_0257
ko:K03311	tpb:TPFB_0265
ko:K03569	tpb:TPFB_0497
ko:K03570	tpb:TPFB_0498
ko:K03571	tpb:TPFB_0499
ko:K05515	tpb:TPFB_0500
ko:K05837	tpb:TPFB_0501
ko:K00844	tpb:TPFB_0505
ko:K03545	tpb:TPFB_0506
ko:K01358	tpb:TPFB_0507
ko:K03544	tpb:TPFB_0508
ko:K03596	tpb:TPFB_0510
ko:K07736	tpb:TPFB_0511
ko:K12506	tpb:TPFB_0512
ko:K03701	tpb:TPFB_0514
ko:K03980	tpb:TPFB_0516
ko:K01159	tpb:TPFB_0517
ko:K02343	tpb:TPFB_0521
ko:K03558	tpb:TPFB_0522
ko:K02563	tpb:TPFB_0523
ko:K01338	tpb:TPFB_0524
ko:K02356	tpb:TPFB_0525
ko:K03075	tpb:TPFB_0536
ko:K01803	tpb:TPFB_0537
ko:K00927	tpb:TPFB_0538
ko:K00895	tpb:TPFB_0542
ko:K00969	tpb:TPFB_0741
ko:K02899	tpb:TPFB_0743
ko:K02888	tpb:TPFB_0745
ko:K06168	tpb:TPFB_0754
ko:K00604	tpb:TPFB_0756
ko:K01462	tpb:TPFB_0757
ko:K02970	tpb:TPFB_0758
ko:K03587	tpb:TPFB_0760
ko:K03798	tpb:TPFB_0765
ko:K02355	tpb:TPFB_0767
ko:K03324	tpb:TPFB_0771
ko:K07507	tpb:TPFB_0774
ko:K10773	tpb:TPFB_0775
ko:K01950	tpb:TPFB_0780
ko:K09774	tpb:TPFB_0785
ko:K06861	tpb:TPFB_0786
ko:K05946	tpb:TPFB_0275
ko:K09761	tpb:TPFB_0276
ko:K03797	tpb:TPFB_0277
ko:K02945	tpb:TPFB_0279
ko:K00954	tpb:TPFB_0283
ko:K00948	tpb:TPFB_0294
ko:K00859	tpb:TPFB_0296
ko:K02057	tpb:TPFB_0301
ko:K02057	tpb:TPFB_0302
ko:K01937	tpb:TPFB_0305
ko:K02986	tpb:TPFB_0306
ko:K07335	tpb:TPFB_0319
ko:K02057	tpb:TPFB_0322
ko:K02057	tpb:TPFB_0323
ko:K07277	tpb:TPFB_0326
ko:K06142	tpb:TPFB_0327
ko:K03555	tpb:TPFB_0328
ko:K00600	tpb:TPFB_0329
ko:K03550	tpb:TPFB_0543
ko:K03527	tpb:TPFB_0547
ko:K03696	tpb:TPFB_0549
ko:K03650	tpb:TPFB_0550
ko:K01091	tpb:TPFB_0554
ko:K01914	tpb:TPFB_0556
ko:K03151	tpb:TPFB_0559
ko:K00615	tpb:TPFB_0560
ko:K06872	tpb:TPFB_0561
ko:K09795	tpb:TPFB_0565
ko:K01625	tpb:TPFB_0568
ko:K08988	tpb:TPFB_0570
ko:K03744	tpb:TPFB_0571
ko:K02836	tpb:TPFB_0576
ko:K03110	tpb:TPFB_0578
ko:K09808	tpb:TPFB_0580
ko:K09810	tpb:TPFB_0581
ko:K09808	tpb:TPFB_0582
ko:K01869	tpb:TPFB_0586
ko:K02340	tpb:TPFB_0587
ko:K02313	tpb:TPFB_0001
ko:K02338	tpb:TPFB_0002
ko:K03629	tpb:TPFB_0003
ko:K02469	tpb:TPFB_0005
ko:K01890	tpb:TPFB_0015
ko:K02406	tpb:TPFB_0792
ko:K00789	tpb:TPFB_0794
ko:K03734	tpb:TPFB_0796
ko:K00286	tpb:TPFB_0797
ko:K01874	tpb:TPFB_0798
ko:K03694	tpb:TPFB_0801
ko:K01147	tpb:TPFB_0805
ko:K02911	tpb:TPFB_0807
ko:K02078	tpb:TPFB_0808
ko:K03685	tpb:TPFB_0809
ko:K00384	tpb:TPFB_0814
ko:K01689	tpb:TPFB_0817
ko:K02073	tpb:TPFB_0821
ko:K05919	tpb:TPFB_0823
ko:K01662	tpb:TPFB_0824
ko:K00997	tpb:TPFB_0828
ko:K09766	tpb:TPFB_0829
ko:K06173	tpb:TPFB_0830
ko:K01887	tpb:TPFB_0831
ko:K01866	tpb:TPFB_0834
ko:K01868	tpb:TPFB_0837
ko:K02528	tpb:TPFB_0337
ko:K06180	tpb:TPFB_0339
ko:K11754	tpb:TPFB_0340
ko:K01924	tpb:TPFB_0341
ko:K00945	tpb:TPFB_0342
ko:K03575	tpb:TPFB_0343
ko:K03723	tpb:TPFB_0344
ko:K01000	tpb:TPFB_0345
ko:K03775	tpb:TPFB_0349
ko:K00147	tpb:TPFB_0350
ko:K00931	tpb:TPFB_0351
ko:K00943	tpb:TPFB_0354
ko:K03524	tpb:TPFB_0357
ko:K00655	tpb:TPFB_0361
ko:K02902	tpb:TPFB_0362
ko:K03407	tpb:TPFB_0363
ko:K03408	tpb:TPFB_0364
ko:K03413	tpb:TPFB_0366
ko:K03529	tpb:TPFB_0367
ko:K00919	tpb:TPFB_0371
ko:K02897	tpb:TPFB_0372
ko:K04075	tpb:TPFB_0373
ko:K03070	tpb:TPFB_0379
ko:K03925	tpb:TPFB_0383
ko:K03438	tpb:TPFB_0384
ko:K11749	tpb:TPFB_0600
ko:K00099	tpb:TPFB_0601
ko:K00981	tpb:TPFB_0602
ko:K00806	tpb:TPFB_0603
ko:K02838	tpb:TPFB_0604
ko:K02357	tpb:TPFB_0605
ko:K02967	tpb:TPFB_0606
ko:K01893	tpb:TPFB_0609
ko:K09013	tpb:TPFB_0611
ko:K09014	tpb:TPFB_0612
ko:K11717	tpb:TPFB_0614
ko:K01807	tpb:TPFB_0616
ko:K08307	tpb:TPFB_0623
ko:K03547	tpb:TPFB_0626
ko:K00763	tpb:TPFB_0628
ko:K03412	tpb:TPFB_0631
ko:K01867	tpb:TPFB_0632
ko:K12267	tpb:TPFB_0633
ko:K01972	tpb:TPFB_0634
ko:K00791	tpb:TPFB_0637
ko:K01892	tpb:TPFB_0641
ko:K03308	tpb:TPFB_0023
ko:K02410	tpb:TPFB_0026
ko:K00790	tpb:TPFB_0029
ko:K04077	tpb:TPFB_0030
ko:K09761	tpb:TPFB_0032
ko:K09817	tpb:TPFB_0035
ko:K09816	tpb:TPFB_0036
ko:K03778	tpb:TPFB_0037
ko:K08309	tpb:TPFB_0043
ko:K03495	tpb:TPFB_0044
ko:K09770	tpb:TPFB_0047
ko:K07101	tpb:TPFB_0050
ko:K02835	tpb:TPFB_0051
ko:K02493	tpb:TPFB_0052
ko:K01573	tpb:TPFB_0055
ko:K02939	tpb:TPFB_0060
ko:K02963	tpb:TPFB_0061
ko:K02990	tpb:TPFB_0063
ko:K06941	tpb:TPFB_0068
ko:K03695	tpb:TPFB_0071
ko:K01265	tpb:TPFB_0842
ko:K00134	tpb:TPFB_0844
ko:K09768	tpb:TPFB_0845
ko:K02887	tpb:TPFB_0848
ko:K02916	tpb:TPFB_0849
ko:K02520	tpb:TPFB_0850
ko:K13292	tpb:TPFB_0852
ko:K04562	tpb:TPFB_0853
ko:K00820	tpb:TPFB_0861
ko:K03773	tpb:TPFB_0862
ko:K04487	tpb:TPFB_0863
ko:K07391	tpb:TPFB_0866
ko:K02406	tpb:TPFB_0868
ko:K02406	tpb:TPFB_0870
ko:K02407	tpb:TPFB_0872
ko:K06925	tpb:TPFB_0875
ko:K11720	tpb:TPFB_0883
ko:K07091	tpb:TPFB_0884
ko:K00962	tpb:TPFB_0886
ko:K02956	tpb:TPFB_0887
ko:K11753	tpb:TPFB_0888
ko:K02834	tpb:TPFB_0890
ko:K02519	tpb:TPFB_0891
ko:K02600	tpb:TPFB_0892
ko:K09748	tpb:TPFB_0893
ko:K10112	tpb:TPFB_0804
ko:K01897	tpb:TPFB_0145
ko:K01992	tpb:TPFB_0880
ko:K01990	tpb:TPFB_0881
ko:K14237	tpb:TPFB_t0036
ko:K00939	tpb:TPFB_0595
ko:K00970	tpb:TPFB_0596
ko:K04488	tpb:TPFB_0615
ko:K00575	tpb:TPFB_0630
ko:K03406	tpb:TPFB_0639
ko:K03406	tpb:TPFB_0640
ko:K01835	tpb:TPFB_0642
ko:K02025	tpb:TPFB_0075
ko:K00625	tpb:TPFB_0094
ko:K06196	tpb:TPFB_0101
ko:K03451	tpb:TPFB_0106
ko:K01372	tpb:TPFB_0112
ko:K06346	tpb:TPFB_0948
ko:K11709	tpb:TPFB_0166
ko:K03709	tpb:TPFB_0167
ko:K01834	tpb:TPFB_0168
ko:K01243	tpb:TPFB_0170
ko:K03087	tpb:TPFB_1012
ko:K02433	tpb:TPFB_1020
ko:K04763	tpb:TPFB_0391
ko:K07025	tpb:TPFB_0407
ko:K02121	tpb:TPFB_0424
ko:K02117	tpb:TPFB_0426
ko:K02118	tpb:TPFB_0427
ko:K02120	tpb:TPFB_0428
ko:K02123	tpb:TPFB_0429
ko:K02124	tpb:TPFB_0430
ko:K02428	tpb:TPFB_0438
ko:K02342	tpb:TPFB_0643
ko:K11072	tpb:TPFB_0652
ko:K11071	tpb:TPFB_0653
ko:K11069	tpb:TPFB_0655
ko:K01885	tpb:TPFB_0673
ko:K01409	tpb:TPFB_0680
ko:K02427	tpb:TPFB_0682
ko:K10540	tpb:TPFB_0684
ko:K10541	tpb:TPFB_0686
ko:K16784	tpb:TPFB_0227
ko:K06179	tpb:TPFB_0231
ko:K01619	tpb:TPFB_0264
ko:K00974	tpb:TPFB_0270
ko:K01934	tpb:TPFB_0694
ko:K09749	tpb:TPFB_0710
ko:K03784	tpb:TPFB_0734
ko:K02056	tpb:TPFB_0300
ko:K02030	tpb:TPFB_0308
ko:K02030	tpb:TPFB_0309
ko:K08974	tpb:TPFB_0312
ko:K02056	tpb:TPFB_0321
ko:K00033	tpb:TPFB_0331
ko:K07052	tpb:TPFB_0335
ko:K01596	tpb:TPFB_0122
ko:K03499	tpb:TPFB_0139
ko:K00567	tpb:TPFB_0141
ko:K07025	tpb:TPFB_0158
ko:K11707	tpb:TPFB_0163
ko:K11710	tpb:TPFB_0164
ko:K11708	tpb:TPFB_0165
ko:K02004	tpb:TPFB_0962
ko:K02004	tpb:TPFB_0963
ko:K01977	tpb:TPFB_r0001
ko:K01977	tpb:TPFB_r0004
ko:K03469	tpb:TPFB_0353
ko:K03409	tpb:TPFB_0365
ko:K10843	tpb:TPFB_0380
ko:K01985	tpb:TPFB_r0003
ko:K01985	tpb:TPFB_r0006
ko:K14235	tpb:TPFB_t0014
ko:K07584	tpb:TPFB_0744
ko:K01006	tpb:TPFB_0746
ko:K02806	tpb:TPFB_0755
ko:K03406	tpb:TPFB_0488
ko:K07258	tpb:TPFB_0800
ko:K06976	tpb:TPFB_0815
ko:K00784	tpb:TPFB_0819
ko:K03386	tpb:TPFB_0509
ko:K03499	tpb:TPFB_0513
ko:K00949	tpb:TPFB_0518
ko:K02120	tpb:TPFB_0527
ko:K02118	tpb:TPFB_0528
ko:K02117	tpb:TPFB_0529
ko:K02121	tpb:TPFB_0530
ko:K02122	tpb:TPFB_0531
ko:K02123	tpb:TPFB_0533
ko:K03499	tpb:TPFB_0024
ko:K09815	tpb:TPFB_0034
ko:K07035	tpb:TPFB_0038
ko:K01488	tpb:TPFB_0045
ko:K01571	tpb:TPFB_0056
ko:K01572	tpb:TPFB_0057
ko:K03177	tpb:TPFB_0889
ko:K07004	tpb:TPFB_0544
ko:K10540	tpb:TPFB_0545
ko:K01262	tpb:TPFB_0569
ko:K08483	tpb:TPFB_0575
ko:K11189	tpb:TPFB_0589
ko:K06023	tpb:TPFB_0591
ko:K14226	tpb:TPFB_t0032
ko:K14230	tpb:TPFB_t0037
ko:K01983	tpb:TPFB_nc0001
ko:K14228	tpb:TPFB_t0010
ko:K17686	tpb:TPFB_1036
ko:K01980	tpb:TPFB_r0002
ko:K14219	tpb:TPFB_t0026
ko:K14223	tpb:TPFB_t0018
ko:K14219	tpb:TPFB_t0003
ko:K14219	tpb:TPFB_t0030
ko:K14219	tpb:TPFB_t0035
ko:K14228	tpb:TPFB_t0022
ko:K14230	tpb:TPFB_t0029
ko:K14218	tpb:TPFB_t0012
ko:K14234	tpb:TPFB_t0013
ko:K14225	tpb:TPFB_t0023
ko:K14229	tpb:TPFB_t0021
ko:K14222	tpb:TPFB_t0025
ko:K14232	tpb:TPFB_t0027
ko:K14232	tpb:TPFB_t0038
ko:K14218	tpb:TPFB_t0045
ko:K14220	tpb:TPFB_t0024
ko:K14233	tpb:TPFB_t0001
ko:K14233	tpb:TPFB_t0002
ko:K14233	tpb:TPFB_t0004
ko:K14233	tpb:TPFB_t0005
ko:K14223	tpb:TPFB_t0006
ko:K14224	tpb:TPFB_t0007
ko:K14224	tpb:TPFB_t0008
ko:K14228	tpb:TPFB_t0040
ko:K14228	tpb:TPFB_t0044
ko:K02026	tpb:TPFB_0076
ko:K06972	tpb:TPFB_0025
ko:K14228	tpb:TPFB_t0016
ko:K14219	tpb:TPFB_t0031
ko:K14236	tpb:TPFB_t0020
ko:K14231	tpb:TPFB_t0033
ko:K14221	tpb:TPFB_t0028
ko:K12146	tpb:TPFB_0082
ko:K14237	tpb:TPFB_t0009
ko:K14237	tpb:TPFB_t0043
ko:K14218	tpb:TPFB_t0041
ko:K14234	tpb:TPFB_t0042
ko:K14227	tpb:TPFB_t0015
ko:K01980	tpb:TPFB_r0005
ko:K14225	tpb:TPFB_t0017
ko:K14229	tpb:TPFB_t0039
ko:K14232	tpb:TPFB_t0034
ko:K02027	tpb:TPFB_0074
ko:K02058	tpb:TPFB_0298
ko:K07003	tpb:TPFB_0790
ko:K04749	tpb:TPFB_0540
ko:K03686	tpb:TPFB_0098
ko:K06881	tpb:TPFB_0436
ko:K03060	tpb:TPFB_0701
ko:K01768	tpb:TPFB_0485
ko:K18707	tpb:TPFB_0269
ko:K18682	tpb:TPFB_1018
ko:K03111	tpb:TPFB_0062
ko:K03497	tpb:TPFB_0271
ko:K03496	tpb:TPFB_0272
ko:K00849	tpb:TPFB_0418
ko:K14742	tpb:TPFB_0876
ko:K03526	tpb:TPFB_0446
ko:K06867	tpb:TPFB_0502
ko:K06867	tpb:TPFB_0835
ko:K02806	tpb:TPFB_0085
ko:K03406	tpb:TPFB_0040
ko:K11751	tpb:TPFB_0104
ko:K00525	tpb:TPFB_1008
ko:K03498	tpb:TPFB_0140
ko:K02035	tpb:TPFB_0585
ko:K03733	tpb:TPFB_0395
ko:K18672	tpb:TPFB_0826
ko:K02335	tpb:TPFB_0105
ko:K01493	tpb:TPFB_0274
ko:K02314	tpb:TPFB_0058
ko:K01520	tpb:TPFB_0885
ko:K06223	tpb:TPFB_0810
ko:K02316	tpb:TPFB_0492
ko:K03546	tpb:TPFB_0627
ko:K03553	tpb:TPFB_0692
ko:K02027	tpb:TPFB_0737
ko:K16783	tpb:TPFB_0226
ko:K03465	tpb:TPFB_1007
ko:K02383	tpb:TPFB_0567
ko:K00526	tpb:TPFB_0053
ko:K21929	tpb:TPFB_0229
ko:K03595	tpb:TPFB_0541
