ko:K07729	cby:CLM_0846
ko:K02970	cby:CLM_3348
ko:K09761	cby:CLM_3351
ko:K02687	cby:CLM_3352
ko:K03686	cby:CLM_3353
ko:K04043	cby:CLM_3354
ko:K03687	cby:CLM_3355
ko:K03705	cby:CLM_3356
ko:K03596	cby:CLM_3358
ko:K06385	cby:CLM_3360
ko:K06012	cby:CLM_3361
ko:K02968	cby:CLM_3362
ko:K02340	cby:CLM_3363
ko:K02238	cby:CLM_3364
ko:K03833	cby:CLM_3370
ko:K01042	cby:CLM_3371
ko:K01008	cby:CLM_3372
ko:K02237	cby:CLM_3373
ko:K06180	cby:CLM_3375
ko:K00969	cby:CLM_3379
ko:K07574	cby:CLM_3380
ko:K03979	cby:CLM_3381
ko:K02899	cby:CLM_3382
ko:K07584	cby:CLM_3383
ko:K02888	cby:CLM_3384
ko:K08301	cby:CLM_3386
ko:K05837	cby:CLM_3391
ko:K03608	cby:CLM_3392
ko:K03609	cby:CLM_3393
ko:K03610	cby:CLM_3394
ko:K05515	cby:CLM_3395
ko:K03571	cby:CLM_3396
ko:K03570	cby:CLM_3397
ko:K03569	cby:CLM_3398
ko:K03630	cby:CLM_3399
ko:K06287	cby:CLM_3400
ko:K06209	cby:CLM_3405
ko:K00859	cby:CLM_3410
ko:K02335	cby:CLM_3411
ko:K01736	cby:CLM_3412
ko:K03803	cby:CLM_3458
ko:K01876	cby:CLM_3459
ko:K01892	cby:CLM_3460
ko:K00929	cby:CLM_3892
ko:K00929	cby:CLM_3894
ko:K07137	cby:CLM_3895
ko:K00384	cby:CLM_3900
ko:K03671	cby:CLM_3901
ko:K01305	cby:CLM_3902
ko:K08483	cby:CLM_3905
ko:K01678	cby:CLM_3908
ko:K01677	cby:CLM_3909
ko:K01448	cby:CLM_3910
ko:K02996	cby:CLM_3912
ko:K02871	cby:CLM_3913
ko:K06173	cby:CLM_3914
ko:K02879	cby:CLM_3918
ko:K03040	cby:CLM_3919
ko:K02986	cby:CLM_3920
ko:K02948	cby:CLM_3921
ko:K02952	cby:CLM_3922
ko:K02919	cby:CLM_3923
ko:K02518	cby:CLM_3924
ko:K01265	cby:CLM_3926
ko:K00939	cby:CLM_3927
ko:K03076	cby:CLM_3928
ko:K02876	cby:CLM_3929
ko:K02907	cby:CLM_3930
ko:K02988	cby:CLM_3931
ko:K02881	cby:CLM_3932
ko:K02933	cby:CLM_3933
ko:K02994	cby:CLM_3934
ko:K02954	cby:CLM_3935
ko:K02931	cby:CLM_3936
ko:K02895	cby:CLM_3937
ko:K02874	cby:CLM_3938
ko:K02961	cby:CLM_3939
ko:K02904	cby:CLM_3940
ko:K02878	cby:CLM_3941
ko:K02982	cby:CLM_3942
ko:K02890	cby:CLM_3943
ko:K02965	cby:CLM_3944
ko:K02886	cby:CLM_3945
ko:K02892	cby:CLM_3946
ko:K02926	cby:CLM_3947
ko:K02906	cby:CLM_3948
ko:K02946	cby:CLM_3949
ko:K02358	cby:CLM_3950
ko:K02355	cby:CLM_3951
ko:K07009	cby:CLM_0481
ko:K01809	cby:CLM_0483
ko:K06153	cby:CLM_0485
ko:K02238	cby:CLM_0494
ko:K00655	cby:CLM_0495
ko:K01681	cby:CLM_0497
ko:K09779	cby:CLM_0502
ko:K01579	cby:CLM_0503
ko:K01918	cby:CLM_0504
ko:K00606	cby:CLM_0505
ko:K04652	cby:CLM_0511
ko:K04651	cby:CLM_0513
ko:K01258	cby:CLM_0520
ko:K00788	cby:CLM_0531
ko:K00878	cby:CLM_0532
ko:K01921	cby:CLM_0535
ko:K01999	cby:CLM_0536
ko:K01997	cby:CLM_0537
ko:K03704	cby:CLM_1561
ko:K00868	cby:CLM_1564
ko:K02003	cby:CLM_1566
ko:K00763	cby:CLM_1587
ko:K01448	cby:CLM_1595
ko:K06179	cby:CLM_1596
ko:K00767	cby:CLM_1610
ko:K00278	cby:CLM_1611
ko:K03517	cby:CLM_1612
ko:K07305	cby:CLM_2583
ko:K04564	cby:CLM_2584
ko:K06897	cby:CLM_2596
ko:K01462	cby:CLM_2597
ko:K03088	cby:CLM_2609
ko:K01448	cby:CLM_2631
ko:K01998	cby:CLM_0538
ko:K01995	cby:CLM_0539
ko:K01996	cby:CLM_0540
ko:K03744	cby:CLM_0545
ko:K06872	cby:CLM_0546
ko:K06872	cby:CLM_0547
ko:K03183	cby:CLM_0551
ko:K07727	cby:CLM_0552
ko:K03547	cby:CLM_0555
ko:K03546	cby:CLM_0556
ko:K07175	cby:CLM_0569
ko:K03439	cby:CLM_0591
ko:K11065	cby:CLM_0593
ko:K00059	cby:CLM_0594
ko:K01875	cby:CLM_0602
ko:K11068	cby:CLM_1688
ko:K06942	cby:CLM_1689
ko:K03925	cby:CLM_1690
ko:K03438	cby:CLM_1691
ko:K08384	cby:CLM_1693
ko:K01928	cby:CLM_1694
ko:K02334	cby:CLM_2673
ko:K01756	cby:CLM_2688
ko:K00812	cby:CLM_2691
ko:K06416	cby:CLM_2695
ko:K03553	cby:CLM_2697
ko:K00995	cby:CLM_2698
ko:K03466	cby:CLM_2700
ko:K00928	cby:CLM_2702
ko:K00962	cby:CLM_2705
ko:K02956	cby:CLM_2706
ko:K07813	cby:CLM_0406
ko:K03615	cby:CLM_0436
ko:K03614	cby:CLM_0437
ko:K03612	cby:CLM_0438
ko:K03613	cby:CLM_0439
ko:K03617	cby:CLM_0440
ko:K03734	cby:CLM_0445
ko:K02040	cby:CLM_0454
ko:K02037	cby:CLM_0455
ko:K02038	cby:CLM_0456
ko:K07043	cby:CLM_0462
ko:K03498	cby:CLM_1494
ko:K03657	cby:CLM_1495
ko:K00806	cby:CLM_1503
ko:K00198	cby:CLM_1506
ko:K02016	cby:CLM_1514
ko:K02015	cby:CLM_1515
ko:K02013	cby:CLM_1516
ko:K07106	cby:CLM_1520
ko:K02809	cby:CLM_1521
ko:K02810	cby:CLM_1521
ko:K09957	cby:CLM_1523
ko:K02035	cby:CLM_1530
ko:K02033	cby:CLM_1531
ko:K02034	cby:CLM_1532
ko:K02031	cby:CLM_1533
ko:K09816	cby:CLM_1536
ko:K09817	cby:CLM_1537
ko:K09815	cby:CLM_1538
ko:K02051	cby:CLM_1542
ko:K02050	cby:CLM_1543
ko:K02049	cby:CLM_1544
ko:K00784	cby:CLM_1549
ko:K06284	cby:CLM_2558
ko:K02669	cby:CLM_2843
ko:K00014	cby:CLM_2844
ko:K03091	cby:CLM_2845
ko:K07455	cby:CLM_2857
ko:K00876	cby:CLM_2861
ko:K02446	cby:CLM_2979
ko:K01462	cby:CLM_2985
ko:K02120	cby:CLM_2987
ko:K02118	cby:CLM_2988
ko:K02117	cby:CLM_2989
ko:K04656	cby:CLM_1993
ko:K02122	cby:CLM_2990
ko:K02119	cby:CLM_2991
ko:K02124	cby:CLM_2993
ko:K02123	cby:CLM_2994
ko:K01114	cby:CLM_2998
ko:K02392	cby:CLM_3003
ko:K02392	cby:CLM_3004
ko:K02405	cby:CLM_3007
ko:K04562	cby:CLM_3009
ko:K02404	cby:CLM_3010
ko:K02400	cby:CLM_3011
ko:K02420	cby:CLM_3013
ko:K02419	cby:CLM_3014
ko:K02418	cby:CLM_3015
ko:K02415	cby:CLM_3016
ko:K02557	cby:CLM_3017
ko:K02556	cby:CLM_3018
ko:K02385	cby:CLM_3019
ko:K03311	cby:CLM_0954
ko:K04758	cby:CLM_0957
ko:K02233	cby:CLM_0963
ko:K01737	cby:CLM_0969
ko:K00796	cby:CLM_0970
ko:K03088	cby:CLM_0979
ko:K06911	cby:CLM_0999
ko:K01569	cby:CLM_1003
ko:K06966	cby:CLM_1004
ko:K09936	cby:CLM_1005
ko:K03827	cby:CLM_1007
ko:K01462	cby:CLM_1010
ko:K00375	cby:CLM_1011
ko:K06024	cby:CLM_2016
ko:K05896	cby:CLM_2017
ko:K07258	cby:CLM_2020
ko:K00756	cby:CLM_2024
ko:K03783	cby:CLM_2025
ko:K04763	cby:CLM_2026
ko:K02390	cby:CLM_3020
ko:K02389	cby:CLM_3022
ko:K02413	cby:CLM_3024
ko:K02412	cby:CLM_3025
ko:K02411	cby:CLM_3026
ko:K02410	cby:CLM_3027
ko:K02409	cby:CLM_3028
ko:K02408	cby:CLM_3029
ko:K02388	cby:CLM_3030
ko:K02387	cby:CLM_3031
ko:K02406	cby:CLM_3032
ko:K01755	cby:CLM_3034
ko:K01940	cby:CLM_3035
ko:K06131	cby:CLM_3038
ko:K02406	cby:CLM_3060
ko:K08303	cby:CLM_2862
ko:K07082	cby:CLM_2864
ko:K06207	cby:CLM_2865
ko:K07447	cby:CLM_2869
ko:K01872	cby:CLM_2871
ko:K04488	cby:CLM_2874
ko:K04487	cby:CLM_2875
ko:K07478	cby:CLM_2877
ko:K04486	cby:CLM_2878
ko:K07088	cby:CLM_2879
ko:K01750	cby:CLM_2882
ko:K03310	cby:CLM_2883
ko:K03310	cby:CLM_2884
ko:K01952	cby:CLM_2887
ko:K00605	cby:CLM_0815
ko:K02437	cby:CLM_0816
ko:K00282	cby:CLM_0817
ko:K00283	cby:CLM_0818
ko:K00382	cby:CLM_0819
ko:K03800	cby:CLM_0820
ko:K00648	cby:CLM_0856
ko:K01738	cby:CLM_0866
ko:K07173	cby:CLM_0867
ko:K09705	cby:CLM_0877
ko:K01775	cby:CLM_1900
ko:K06901	cby:CLM_1902
ko:K02035	cby:CLM_1912
ko:K02033	cby:CLM_1913
ko:K02034	cby:CLM_1914
ko:K00882	cby:CLM_1923
ko:K03415	cby:CLM_1935
ko:K00243	cby:CLM_1937
ko:K01356	cby:CLM_1952
ko:K03666	cby:CLM_1954
ko:K00611	cby:CLM_2900
ko:K00926	cby:CLM_2901
ko:K00600	cby:CLM_2902
ko:K07053	cby:CLM_2912
ko:K01551	cby:CLM_0907
ko:K03325	cby:CLM_0909
ko:K00560	cby:CLM_0918
ko:K02003	cby:CLM_0933
ko:K00791	cby:CLM_1955
ko:K03572	cby:CLM_1956
ko:K03555	cby:CLM_1957
ko:K06168	cby:CLM_1958
ko:K00945	cby:CLM_1965
ko:K06208	cby:CLM_1966
ko:K07007	cby:CLM_1967
ko:K00260	cby:CLM_1968
ko:K06178	cby:CLM_1970
ko:K03671	cby:CLM_1977
ko:K04655	cby:CLM_1990
ko:K04654	cby:CLM_1991
ko:K04653	cby:CLM_1992
ko:K07571	cby:CLM_4021
ko:K03530	cby:CLM_4026
ko:K02499	cby:CLM_4027
ko:K04769	cby:CLM_4029
ko:K07533	cby:CLM_4030
ko:K03723	cby:CLM_4031
ko:K01056	cby:CLM_4032
ko:K00948	cby:CLM_4036
ko:K04042	cby:CLM_4037
ko:K06412	cby:CLM_4038
ko:K09685	cby:CLM_4039
ko:K01924	cby:CLM_4040
ko:K07139	cby:CLM_4047
ko:K04070	cby:CLM_4050
ko:K01776	cby:CLM_4055
ko:K01915	cby:CLM_4056
ko:K00790	cby:CLM_4058
ko:K00783	cby:CLM_4062
ko:K01265	cby:CLM_4069
ko:K01012	cby:CLM_4074
ko:K03150	cby:CLM_4075
ko:K09936	cby:CLM_4081
ko:K01962	cby:CLM_4086
ko:K01963	cby:CLM_4087
ko:K02372	cby:CLM_4089
ko:K02160	cby:CLM_4090
ko:K09458	cby:CLM_4091
ko:K00059	cby:CLM_4092
ko:K00645	cby:CLM_4093
ko:K02371	cby:CLM_4094
ko:K02078	cby:CLM_4095
ko:K00648	cby:CLM_4096
ko:K09773	cby:CLM_4116
ko:K07007	cby:CLM_4118
ko:K01939	cby:CLM_4121
ko:K07137	cby:CLM_4122
ko:K02314	cby:CLM_4125
ko:K01338	cby:CLM_4126
ko:K02939	cby:CLM_4127
ko:K02963	cby:CLM_4131
ko:K03111	cby:CLM_4132
ko:K02990	cby:CLM_4133
ko:K03497	cby:CLM_4143
ko:K03496	cby:CLM_4144
ko:K03497	cby:CLM_4145
ko:K03501	cby:CLM_4146
ko:K03469	cby:CLM_0472
ko:K03695	cby:CLM_0480
ko:K12410	cby:CLM_0089
ko:K02191	cby:CLM_1090
ko:K03657	cby:CLM_3786
ko:K06889	cby:CLM_1016
ko:K06889	cby:CLM_0650
ko:K11072	cby:CLM_0665
ko:K06871	cby:CLM_0615
ko:K10811	cby:CLM_0920
ko:K02777	cby:CLM_0337
ko:K06889	cby:CLM_2242
ko:K01491	cby:CLM_1323
ko:K00863	cby:CLM_1131
ko:K06334	cby:CLM_1386
ko:K06333	cby:CLM_1385
ko:K07304	cby:CLM_2141
ko:K10947	cby:CLM_0140
ko:K01104	cby:CLM_0186
ko:K02056	cby:CLM_0270
ko:K02057	cby:CLM_0271
ko:K02790	cby:CLM_0346
ko:K02791	cby:CLM_0346
ko:K03892	cby:CLM_0905
ko:K06434	cby:CLM_1190
ko:K00872	cby:CLM_1880
ko:K00928	cby:CLM_1881
ko:K00003	cby:CLM_1882
ko:K00266	cby:CLM_1886
ko:K07636	cby:CLM_2831
ko:K07658	cby:CLM_2832
ko:K05810	cby:CLM_2833
ko:K07738	cby:CLM_2834
ko:K03091	cby:CLM_2836
ko:K03091	cby:CLM_2837
ko:K06383	cby:CLM_2838
ko:K03531	cby:CLM_2839
ko:K03590	cby:CLM_2840
ko:K07141	cby:CLM_3287
ko:K07402	cby:CLM_3288
ko:K07402	cby:CLM_3289
ko:K02015	cby:CLM_3291
ko:K02013	cby:CLM_3292
ko:K02016	cby:CLM_3293
ko:K06901	cby:CLM_3297
ko:K03310	cby:CLM_3299
ko:K00566	cby:CLM_3301
ko:K03147	cby:CLM_3307
ko:K09764	cby:CLM_3310
ko:K01126	cby:CLM_3323
ko:K07164	cby:CLM_3328
ko:K06967	cby:CLM_3330
ko:K03086	cby:CLM_3332
ko:K02316	cby:CLM_3333
ko:K01129	cby:CLM_3334
ko:K00864	cby:CLM_3150
ko:K02440	cby:CLM_3151
ko:K05592	cby:CLM_3166
ko:K01425	cby:CLM_3173
ko:K00526	cby:CLM_3177
ko:K00525	cby:CLM_3178
ko:K02346	cby:CLM_3181
ko:K02825	cby:CLM_3184
ko:K01975	cby:CLM_3189
ko:K02564	cby:CLM_3197
ko:K01443	cby:CLM_3198
ko:K03710	cby:CLM_3199
ko:K02777	cby:CLM_3201
ko:K01586	cby:CLM_3780
ko:K00928	cby:CLM_3781
ko:K03798	cby:CLM_3787
ko:K01439	cby:CLM_3788
ko:K01881	cby:CLM_3789
ko:K07461	cby:CLM_3790
ko:K03088	cby:CLM_3794
ko:K02759	cby:CLM_3804
ko:K02760	cby:CLM_3805
ko:K02761	cby:CLM_3807
ko:K01222	cby:CLM_3808
ko:K01611	cby:CLM_3811
ko:K09936	cby:CLM_3826
ko:K02049	cby:CLM_3582
ko:K02050	cby:CLM_3583
ko:K03565	cby:CLM_3586
ko:K09913	cby:CLM_3593
ko:K00286	cby:CLM_3594
ko:K00656	cby:CLM_3595
ko:K04069	cby:CLM_3596
ko:K03924	cby:CLM_3601
ko:K03522	cby:CLM_3609
ko:K03521	cby:CLM_3610
ko:K00626	cby:CLM_3612
ko:K00074	cby:CLM_3613
ko:K06901	cby:CLM_3617
ko:K07095	cby:CLM_3621
ko:K04069	cby:CLM_3626
ko:K00656	cby:CLM_3627
ko:K02897	cby:CLM_3629
ko:K09825	cby:CLM_3631
ko:K03978	cby:CLM_3639
ko:K01338	cby:CLM_3640
ko:K04076	cby:CLM_3641
ko:K03544	cby:CLM_3642
ko:K01752	cby:CLM_1370
ko:K02003	cby:CLM_1380
ko:K02034	cby:CLM_1381
ko:K02033	cby:CLM_1382
ko:K02035	cby:CLM_1383
ko:K01520	cby:CLM_1391
ko:K00384	cby:CLM_1412
ko:K00384	cby:CLM_1418
ko:K03671	cby:CLM_1419
ko:K03652	cby:CLM_1424
ko:K08884	cby:CLM_2392
ko:K07078	cby:CLM_2405
ko:K00198	cby:CLM_2421
ko:K04651	cby:CLM_2424
ko:K04652	cby:CLM_2425
ko:K02557	cby:CLM_2431
ko:K02556	cby:CLM_2432
ko:K01620	cby:CLM_2439
ko:K00865	cby:CLM_2440
ko:K09696	cby:CLM_2444
ko:K02348	cby:CLM_2446
ko:K03704	cby:CLM_0340
ko:K07118	cby:CLM_0344
ko:K01232	cby:CLM_0347
ko:K02777	cby:CLM_0348
ko:K01687	cby:CLM_0349
ko:K01625	cby:CLM_0350
ko:K00874	cby:CLM_0351
ko:K01486	cby:CLM_0352
ko:K02016	cby:CLM_0359
ko:K02013	cby:CLM_0362
ko:K01579	cby:CLM_0370
ko:K02016	cby:CLM_0378
ko:K02015	cby:CLM_0379
ko:K02013	cby:CLM_0381
ko:K03816	cby:CLM_0385
ko:K06153	cby:CLM_0388
ko:K07813	cby:CLM_0399
ko:K00899	cby:CLM_1426
ko:K08963	cby:CLM_1427
ko:K03169	cby:CLM_1448
ko:K00616	cby:CLM_1452
ko:K03310	cby:CLM_1454
ko:K02654	cby:CLM_1491
ko:K03499	cby:CLM_1493
ko:K00111	cby:CLM_2451
ko:K00878	cby:CLM_2460
ko:K03826	cby:CLM_2464
ko:K01935	cby:CLM_2467
ko:K01012	cby:CLM_2468
ko:K03523	cby:CLM_2469
ko:K01262	cby:CLM_2472
ko:K01358	cby:CLM_3643
ko:K03545	cby:CLM_3644
ko:K00762	cby:CLM_3647
ko:K01591	cby:CLM_3650
ko:K01465	cby:CLM_3651
ko:K00610	cby:CLM_3652
ko:K00609	cby:CLM_3653
ko:K02049	cby:CLM_3660
ko:K02050	cby:CLM_3662
ko:K07089	cby:CLM_3669
ko:K07095	cby:CLM_3694
ko:K02035	cby:CLM_3698
ko:K02434	cby:CLM_3699
ko:K02433	cby:CLM_3700
ko:K02435	cby:CLM_3701
ko:K01972	cby:CLM_3704
ko:K03657	cby:CLM_3705
ko:K03100	cby:CLM_0685
ko:K06871	cby:CLM_0691
ko:K01893	cby:CLM_0706
ko:K07719	cby:CLM_0721
ko:K07717	cby:CLM_0722
ko:K05837	cby:CLM_0723
ko:K00574	cby:CLM_0724
ko:K06878	cby:CLM_0730
ko:K11041	cby:CLM_1757
ko:K00567	cby:CLM_1766
ko:K03305	cby:CLM_1774
ko:K09936	cby:CLM_1785
ko:K01737	cby:CLM_1795
ko:K10026	cby:CLM_1796
ko:K01495	cby:CLM_1797
ko:K06920	cby:CLM_1798
ko:K01619	cby:CLM_1804
ko:K00852	cby:CLM_1805
ko:K02502	cby:CLM_1806
ko:K00765	cby:CLM_1807
ko:K00013	cby:CLM_1808
ko:K01693	cby:CLM_1809
ko:K02501	cby:CLM_1810
ko:K01814	cby:CLM_1811
ko:K00817	cby:CLM_1812
ko:K02500	cby:CLM_1813
ko:K01496	cby:CLM_1814
ko:K01523	cby:CLM_1815
ko:K07112	cby:CLM_1818
ko:K07112	cby:CLM_1822
ko:K00954	cby:CLM_2793
ko:K03655	cby:CLM_2795
ko:K07030	cby:CLM_2796
ko:K02902	cby:CLM_2798
ko:K01783	cby:CLM_2802
ko:K06949	cby:CLM_2803
ko:K06941	cby:CLM_2806
ko:K03500	cby:CLM_2807
ko:K06973	cby:CLM_2808
ko:K00604	cby:CLM_2809
ko:K01462	cby:CLM_2810
ko:K04066	cby:CLM_2811
ko:K03060	cby:CLM_2813
ko:K00942	cby:CLM_2814
ko:K09777	cby:CLM_2815
ko:K06398	cby:CLM_2819
ko:K00057	cby:CLM_2823
ko:K03977	cby:CLM_2824
ko:K02039	cby:CLM_2826
ko:K02036	cby:CLM_2827
ko:K02038	cby:CLM_2828
ko:K02037	cby:CLM_2829
ko:K02040	cby:CLM_2830
ko:K09790	cby:CLM_0743
ko:K00375	cby:CLM_0747
ko:K11927	cby:CLM_0749
ko:K03488	cby:CLM_0767
ko:K02755	cby:CLM_0768
ko:K02756	cby:CLM_0768
ko:K02757	cby:CLM_0768
ko:K07053	cby:CLM_0769
ko:K07322	cby:CLM_0773
ko:K09155	cby:CLM_0774
ko:K03312	cby:CLM_0776
ko:K03088	cby:CLM_0788
ko:K03427	cby:CLM_0792
ko:K01154	cby:CLM_0793
ko:K01153	cby:CLM_0795
ko:K02016	cby:CLM_0803
ko:K02015	cby:CLM_0804
ko:K02015	cby:CLM_0805
ko:K02013	cby:CLM_0806
ko:K02588	cby:CLM_0807
ko:K01478	cby:CLM_1828
ko:K03758	cby:CLM_1829
ko:K11068	cby:CLM_1830
ko:K07023	cby:CLM_1833
ko:K00845	cby:CLM_1845
ko:K01387	cby:CLM_1861
ko:K00548	cby:CLM_1865
ko:K00627	cby:CLM_1874
ko:K00382	cby:CLM_1875
ko:K03800	cby:CLM_1876
ko:K05845	cby:CLM_1878
ko:K05846	cby:CLM_1878
ko:K01733	cby:CLM_1879
ko:K04041	cby:CLM_0607
ko:K04564	cby:CLM_0612
ko:K06897	cby:CLM_0613
ko:K02003	cby:CLM_0622
ko:K03718	cby:CLM_0627
ko:K07240	cby:CLM_0635
ko:K07240	cby:CLM_0636
ko:K09770	cby:CLM_0638
ko:K01950	cby:CLM_0639
ko:K01262	cby:CLM_0643
ko:K06200	cby:CLM_0652
ko:K03282	cby:CLM_0656
ko:K11071	cby:CLM_0666
ko:K01929	cby:CLM_1695
ko:K01000	cby:CLM_1696
ko:K03588	cby:CLM_1697
ko:K03589	cby:CLM_1698
ko:K06997	cby:CLM_1702
ko:K09772	cby:CLM_1703
ko:K02221	cby:CLM_1704
ko:K04074	cby:CLM_1706
ko:K01735	cby:CLM_1707
ko:K01243	cby:CLM_1708
ko:K03856	cby:CLM_1709
ko:K00800	cby:CLM_1710
ko:K03101	cby:CLM_1712
ko:K06180	cby:CLM_1713
ko:K02825	cby:CLM_1715
ko:K01142	cby:CLM_1718
ko:K07444	cby:CLM_1719
ko:K01673	cby:CLM_1720
ko:K02020	cby:CLM_1721
ko:K02018	cby:CLM_1722
ko:K02017	cby:CLM_1723
ko:K07001	cby:CLM_1725
ko:K01914	cby:CLM_1740
ko:K03169	cby:CLM_1742
ko:K02003	cby:CLM_1746
ko:K00016	cby:CLM_1754
ko:K11753	cby:CLM_2707
ko:K03177	cby:CLM_2708
ko:K02834	cby:CLM_2710
ko:K02519	cby:CLM_2711
ko:K07742	cby:CLM_2713
ko:K02600	cby:CLM_2714
ko:K09748	cby:CLM_2715
ko:K03763	cby:CLM_2716
ko:K00099	cby:CLM_2719
ko:K00981	cby:CLM_2723
ko:K00806	cby:CLM_2724
ko:K02838	cby:CLM_2725
ko:K09903	cby:CLM_2726
ko:K02357	cby:CLM_2727
ko:K02967	cby:CLM_2728
ko:K03706	cby:CLM_2729
ko:K03168	cby:CLM_2730
ko:K04096	cby:CLM_2731
ko:K07391	cby:CLM_2732
ko:K07460	cby:CLM_2733
ko:K03470	cby:CLM_2734
ko:K03100	cby:CLM_2736
ko:K02884	cby:CLM_2737
ko:K00554	cby:CLM_2738
ko:K02860	cby:CLM_2739
ko:K06960	cby:CLM_2740
ko:K02959	cby:CLM_2741
ko:K03106	cby:CLM_2742
ko:K09787	cby:CLM_2743
ko:K03110	cby:CLM_2744
ko:K03529	cby:CLM_2745
ko:K03685	cby:CLM_2748
ko:K02078	cby:CLM_2749
ko:K03621	cby:CLM_2750
ko:K02911	cby:CLM_2751
ko:K07040	cby:CLM_2752
