ko:K15039	sia:M1425_1490
ko:K08975	sia:M1425_1278
ko:K03124	sia:M1425_1281
ko:K00555	sia:M1425_1283
ko:K07728	sia:M1425_1284
ko:K04795	sia:M1425_1286
ko:K02983	sia:M1425_1288
ko:K09482	sia:M1425_1289
ko:K03330	sia:M1425_1290
ko:K07108	sia:M1425_1292
ko:K00451	sia:M1425_0462
ko:K01236	sia:M1425_0477
ko:K01304	sia:M1425_0496
ko:K07095	sia:M1425_0499
ko:K02440	sia:M1425_0502
ko:K00864	sia:M1425_0503
ko:K06974	sia:M1425_1451
ko:K03752	sia:M1425_1461
ko:K03753	sia:M1425_1463
ko:K00331	sia:M1425_1472
ko:K07566	sia:M1425_1473
ko:K03524	sia:M1425_1474
ko:K03592	sia:M1425_1475
ko:K03568	sia:M1425_1476
ko:K07722	sia:M1425_1477
ko:K00003	sia:M1425_1479
ko:K04069	sia:M1425_1483
ko:K09129	sia:M1425_1485
ko:K07477	sia:M1425_1491
ko:K01955	sia:M1425_1493
ko:K01956	sia:M1425_1494
ko:K01755	sia:M1425_1495
ko:K01940	sia:M1425_1496
ko:K01933	sia:M1425_1499
ko:K01945	sia:M1425_1500
ko:K00764	sia:M1425_1501
ko:K00764	sia:M1425_1502
ko:K01952	sia:M1425_1503
ko:K01952	sia:M1425_1504
ko:K01494	sia:M1425_2398
ko:K07090	sia:M1425_2414
ko:K00958	sia:M1425_2416
ko:K00390	sia:M1425_2417
ko:K00381	sia:M1425_2418
ko:K07402	sia:M1425_2431
ko:K00626	sia:M1425_2435
ko:K00074	sia:M1425_2437
ko:K00027	sia:M1425_2439
ko:K07034	sia:M1425_2444
ko:K01895	sia:M1425_2445
ko:K03592	sia:M1425_1080
ko:K03568	sia:M1425_1081
ko:K00525	sia:M1425_1293
ko:K09014	sia:M1425_1296
ko:K09013	sia:M1425_1297
ko:K06869	sia:M1425_1300
ko:K02437	sia:M1425_1301
ko:K00605	sia:M1425_1302
ko:K00282	sia:M1425_1303
ko:K00283	sia:M1425_1304
ko:K01689	sia:M1425_1308
ko:K03168	sia:M1425_1313
ko:K01873	sia:M1425_1324
ko:K00812	sia:M1425_1325
ko:K03885	sia:M1425_2219
ko:K08369	sia:M1425_2224
ko:K00782	sia:M1425_2237
ko:K06885	sia:M1425_2240
ko:K00059	sia:M1425_2249
ko:K03118	sia:M1425_2255
ko:K03116	sia:M1425_2256
ko:K01687	sia:M1425_2257
ko:K01299	sia:M1425_2258
ko:K07112	sia:M1425_2275
ko:K01478	sia:M1425_1085
ko:K03105	sia:M1425_1975
ko:K02995	sia:M1425_1976
ko:K05827	sia:M1425_1980
ko:K06915	sia:M1425_1986
ko:K01649	sia:M1425_1999
ko:K03179	sia:M1425_2000
ko:K03500	sia:M1425_2003
ko:K10773	sia:M1425_2010
ko:K03724	sia:M1425_2013
ko:K07744	sia:M1425_2015
ko:K01890	sia:M1425_2023
ko:K01889	sia:M1425_2024
ko:K01265	sia:M1425_2026
ko:K06885	sia:M1425_2029
ko:K01885	sia:M1425_2031
ko:K02936	sia:M1425_2032
ko:K04567	sia:M1425_2033
ko:K01649	sia:M1425_0200
ko:K07142	sia:M1425_0201
ko:K01737	sia:M1425_0206
ko:K00384	sia:M1425_0209
ko:K01092	sia:M1425_0210
ko:K07101	sia:M1425_0214
ko:K01848	sia:M1425_0215
ko:K06874	sia:M1425_0218
ko:K03231	sia:M1425_0219
ko:K07141	sia:M1425_0222
ko:K03518	sia:M1425_0223
ko:K03519	sia:M1425_0224
ko:K01915	sia:M1425_0232
ko:K02873	sia:M1425_0234
ko:K01974	sia:M1425_0235
ko:K00852	sia:M1425_0238
ko:K01951	sia:M1425_0240
ko:K05982	sia:M1425_0243
ko:K09003	sia:M1425_0247
ko:K03726	sia:M1425_0251
ko:K02050	sia:M1425_0255
ko:K02049	sia:M1425_0256
ko:K00156	sia:M1425_1208
ko:K03885	sia:M1425_1209
ko:K01439	sia:M1425_1214
ko:K00278	sia:M1425_1223
ko:K00767	sia:M1425_1224
ko:K00873	sia:M1425_1242
ko:K00389	sia:M1425_1243
ko:K01807	sia:M1425_1244
ko:K01649	sia:M1425_1245
ko:K09903	sia:M1425_1247
ko:K00059	sia:M1425_1249
ko:K03106	sia:M1425_1252
ko:K03263	sia:M1425_1253
ko:K03167	sia:M1425_1255
ko:K00809	sia:M1425_1256
ko:K03724	sia:M1425_1259
ko:K03170	sia:M1425_1261
ko:K03622	sia:M1425_1262
ko:K03281	sia:M1425_2158
ko:K07301	sia:M1425_2166
ko:K11473	sia:M1425_2210
ko:K03800	sia:M1425_2211
ko:K03644	sia:M1425_2212
ko:K03800	sia:M1425_2214
ko:K03809	sia:M1425_2215
ko:K03041	sia:M1425_1912
ko:K03042	sia:M1425_1913
ko:K02908	sia:M1425_1914
ko:K02950	sia:M1425_1916
ko:K02992	sia:M1425_1918
ko:K02575	sia:M1425_0827
ko:K00370	sia:M1425_0828
ko:K00371	sia:M1425_0829
ko:K00373	sia:M1425_0830
ko:K00374	sia:M1425_0831
ko:K00382	sia:M1425_0839
ko:K00627	sia:M1425_0843
ko:K05708	sia:M1425_0846
ko:K01895	sia:M1425_0851
ko:K03856	sia:M1425_1798
ko:K00615	sia:M1425_1800
ko:K00615	sia:M1425_1801
ko:K02866	sia:M1425_1806
ko:K07561	sia:M1425_1807
ko:K07573	sia:M1425_1808
ko:K03056	sia:M1425_1809
ko:K06174	sia:M1425_1844
ko:K02962	sia:M1425_1846
ko:K06915	sia:M1425_1849
ko:K01892	sia:M1425_1853
ko:K03433	sia:M1425_1854
ko:K06869	sia:M1425_1858
ko:K01151	sia:M1425_2772
ko:K07743	sia:M1425_2776
ko:K00067	sia:M1425_2777
ko:K00031	sia:M1425_2800
ko:K07588	sia:M1425_0075
ko:K01849	sia:M1425_0076
ko:K07090	sia:M1425_0082
ko:K01714	sia:M1425_0084
ko:K00059	sia:M1425_0086
ko:K01883	sia:M1425_0091
ko:K06915	sia:M1425_0096
ko:K00059	sia:M1425_0100
ko:K01142	sia:M1425_0101
ko:K07107	sia:M1425_0105
ko:K03399	sia:M1425_0106
ko:K02189	sia:M1425_0107
ko:K05936	sia:M1425_0108
ko:K02188	sia:M1425_0111
ko:K06042	sia:M1425_0113
ko:K03609	sia:M1425_0132
ko:K06915	sia:M1425_0017
ko:K06888	sia:M1425_0021
ko:K07503	sia:M1425_0025
ko:K01895	sia:M1425_0033
ko:K07060	sia:M1425_0034
ko:K00858	sia:M1425_0035
ko:K07055	sia:M1425_0039
ko:K09738	sia:M1425_0040
ko:K07574	sia:M1425_0041
ko:K03671	sia:M1425_0050
ko:K09716	sia:M1425_0052
ko:K09825	sia:M1425_0058
ko:K03546	sia:M1425_0063
ko:K06915	sia:M1425_0065
ko:K03564	sia:M1425_0068
ko:K03389	sia:M1425_1096
ko:K03390	sia:M1425_1097
ko:K03388	sia:M1425_1099
ko:K03389	sia:M1425_1100
ko:K03390	sia:M1425_1101
ko:K00382	sia:M1425_1105
ko:K01012	sia:M1425_1112
ko:K03800	sia:M1425_1114
ko:K06929	sia:M1425_1115
ko:K01681	sia:M1425_1131
ko:K01040	sia:M1425_1140
ko:K01039	sia:M1425_1141
ko:K02003	sia:M1425_1145
ko:K01679	sia:M1425_1146
ko:K07129	sia:M1425_2037
ko:K06965	sia:M1425_2038
ko:K03789	sia:M1425_2039
ko:K02319	sia:M1425_2040
ko:K01866	sia:M1425_2042
ko:K02952	sia:M1425_2045
ko:K02986	sia:M1425_2046
ko:K02948	sia:M1425_2047
ko:K03047	sia:M1425_2048
ko:K02883	sia:M1425_2049
ko:K02871	sia:M1425_2050
ko:K02996	sia:M1425_2051
ko:K02967	sia:M1425_2053
ko:K06990	sia:M1425_2054
ko:K06981	sia:M1425_2056
ko:K01823	sia:M1425_2057
ko:K01001	sia:M1425_2059
ko:K03424	sia:M1425_2071
ko:K04768	sia:M1425_2086
ko:K08289	sia:M1425_2087
ko:K02319	sia:M1425_0769
ko:K07402	sia:M1425_0774
ko:K02616	sia:M1425_0802
ko:K01895	sia:M1425_0804
ko:K00626	sia:M1425_0816
ko:K01495	sia:M1425_1739
ko:K03639	sia:M1425_1741
ko:K01738	sia:M1425_1745
ko:K09157	sia:M1425_1748
ko:K00763	sia:M1425_1750
ko:K02966	sia:M1425_1751
ko:K06875	sia:M1425_1752
ko:K02924	sia:M1425_1753
ko:K02910	sia:M1425_1754
ko:K03264	sia:M1425_1755
ko:K02944	sia:M1425_1756
ko:K04797	sia:M1425_1757
ko:K02601	sia:M1425_1760
ko:K02867	sia:M1425_1761
ko:K02863	sia:M1425_1762
ko:K02864	sia:M1425_1763
ko:K02869	sia:M1425_1764
ko:K01872	sia:M1425_1765
ko:K03151	sia:M1425_1769
ko:K01858	sia:M1425_1770
ko:K00343	sia:M1425_1771
ko:K00339	sia:M1425_1774
ko:K00338	sia:M1425_1775
ko:K00337	sia:M1425_1776
ko:K00333	sia:M1425_1777
ko:K00332	sia:M1425_1778
ko:K00330	sia:M1425_1779
ko:K03465	sia:M1425_1780
ko:K04564	sia:M1425_1785
ko:K03785	sia:M1425_1792
ko:K00800	sia:M1425_1793
ko:K00891	sia:M1425_1794
ko:K01736	sia:M1425_1795
ko:K00014	sia:M1425_1796
ko:K06871	sia:M1425_0541
ko:K09703	sia:M1425_0559
ko:K06915	sia:M1425_0571
ko:K01439	sia:M1425_0573
ko:K01923	sia:M1425_1506
ko:K06878	sia:M1425_1507
ko:K06943	sia:M1425_1508
ko:K01591	sia:M1425_1516
ko:K00762	sia:M1425_1517
ko:K00609	sia:M1425_1518
ko:K00610	sia:M1425_1519
ko:K01465	sia:M1425_1521
ko:K00226	sia:M1425_1522
ko:K01875	sia:M1425_1530
ko:K01496	sia:M1425_1532
ko:K02501	sia:M1425_1533
ko:K01523	sia:M1425_1534
ko:K00013	sia:M1425_1535
ko:K02500	sia:M1425_1536
ko:K01693	sia:M1425_1537
ko:K01814	sia:M1425_1538
ko:K00765	sia:M1425_1539
ko:K00817	sia:M1425_1540
ko:K01869	sia:M1425_1542
ko:K09732	sia:M1425_1545
ko:K01611	sia:M1425_1546
ko:K01652	sia:M1425_1553
ko:K00053	sia:M1425_1555
ko:K03552	sia:M1425_1556
ko:K06865	sia:M1425_1557
ko:K08681	sia:M1425_1558
ko:K06215	sia:M1425_1559
ko:K02976	sia:M1425_1560
ko:K01881	sia:M1425_1561
ko:K02124	sia:M1425_1562
ko:K02120	sia:M1425_1564
ko:K02118	sia:M1425_1565
ko:K01999	sia:M1425_2457
ko:K01995	sia:M1425_2458
ko:K01996	sia:M1425_2459
ko:K01997	sia:M1425_2460
ko:K01998	sia:M1425_2461
ko:K00012	sia:M1425_0644
ko:K00963	sia:M1425_0645
ko:K01637	sia:M1425_0657
ko:K01638	sia:M1425_0658
ko:K01895	sia:M1425_0661
ko:K03564	sia:M1425_0670
ko:K01895	sia:M1425_0671
ko:K00180	sia:M1425_0672
ko:K00179	sia:M1425_0673
ko:K00626	sia:M1425_0678
ko:K00626	sia:M1425_0679
ko:K01895	sia:M1425_0681
ko:K00483	sia:M1425_0686
ko:K01710	sia:M1425_0977
ko:K00973	sia:M1425_0978
ko:K00067	sia:M1425_0979
ko:K03231	sia:M1425_1919
ko:K02946	sia:M1425_1920
ko:K03789	sia:M1425_1925
ko:K08093	sia:M1425_1931
ko:K01937	sia:M1425_1932
ko:K00789	sia:M1425_1935
ko:K09150	sia:M1425_1936
ko:K01735	sia:M1425_1797
ko:K00573	sia:M1425_2712
ko:K03707	sia:M1425_2713
ko:K01803	sia:M1425_2718
ko:K01647	sia:M1425_2721
ko:K01724	sia:M1425_0005
ko:K03552	sia:M1425_1059
ko:K07301	sia:M1425_1061
ko:K00123	sia:M1425_2474
ko:K02379	sia:M1425_2476
ko:K00313	sia:M1425_2479
ko:K00175	sia:M1425_2481
ko:K00174	sia:M1425_2482
ko:K01790	sia:M1425_0945
ko:K00261	sia:M1425_0949
ko:K00053	sia:M1425_0953
ko:K03147	sia:M1425_0954
ko:K03420	sia:M1425_1860
ko:K03627	sia:M1425_1861
ko:K03665	sia:M1425_1862
ko:K07254	sia:M1425_1863
ko:K00558	sia:M1425_1865
ko:K06932	sia:M1425_1882
ko:K09120	sia:M1425_1884
ko:K00952	sia:M1425_1885
ko:K05873	sia:M1425_1887
ko:K04483	sia:M1425_1890
ko:K01754	sia:M1425_1892
ko:K07137	sia:M1425_1895
ko:K01939	sia:M1425_1896
ko:K07179	sia:M1425_1937
ko:K09122	sia:M1425_1940
ko:K09141	sia:M1425_1941
ko:K01494	sia:M1425_1944
ko:K10747	sia:M1425_1945
ko:K01719	sia:M1425_1951
ko:K01749	sia:M1425_1952
ko:K01845	sia:M1425_1953
ko:K01698	sia:M1425_1954
ko:K02492	sia:M1425_1955
ko:K04799	sia:M1425_1957
ko:K03232	sia:M1425_1960
ko:K07580	sia:M1425_1961
ko:K04794	sia:M1425_1962
ko:K06176	sia:M1425_1963
ko:K02927	sia:M1425_1966
ko:K06863	sia:M1425_1897
ko:K06863	sia:M1425_1898
ko:K01756	sia:M1425_1899
ko:K00946	sia:M1425_1900
ko:K06937	sia:M1425_1901
ko:K02434	sia:M1425_1904
ko:K00761	sia:M1425_1905
ko:K02979	sia:M1425_1906
ko:K02896	sia:M1425_1907
ko:K00940	sia:M1425_1908
ko:K03243	sia:M1425_1909
ko:K03053	sia:M1425_1910
ko:K01720	sia:M1425_2724
ko:K06206	sia:M1425_2738
ko:K04719	sia:M1425_2744
ko:K00382	sia:M1425_2745
ko:K01895	sia:M1425_0704
ko:K03183	sia:M1425_0738
ko:K06153	sia:M1425_0759
ko:K03799	sia:M1425_0760
ko:K02975	sia:M1425_1683
ko:K03170	sia:M1425_1685
ko:K09735	sia:M1425_1688
ko:K03050	sia:M1425_1689
ko:K03049	sia:M1425_1690
ko:K03242	sia:M1425_1692
ko:K02991	sia:M1425_1693
ko:K03795	sia:M1425_1694
ko:K02956	sia:M1425_1695
ko:K00549	sia:M1425_1696
ko:K00549	sia:M1425_1697
ko:K04802	sia:M1425_1698
ko:K02858	sia:M1425_1701
ko:K00794	sia:M1425_1703
ko:K08096	sia:M1425_1704
ko:K06915	sia:M1425_1708
ko:K03724	sia:M1425_1709
ko:K02875	sia:M1425_1710
ko:K07731	sia:M1425_1718
ko:K07577	sia:M1425_1720
ko:K00869	sia:M1425_1722
ko:K00820	sia:M1425_1723
ko:K00973	sia:M1425_1724
ko:K00798	sia:M1425_1727
ko:K04763	sia:M1425_1729
ko:K03500	sia:M1425_1732
ko:K03671	sia:M1425_1735
ko:K01915	sia:M1425_1737
ko:K01443	sia:M1425_2641
ko:K02032	sia:M1425_2642
ko:K02031	sia:M1425_2643
ko:K02034	sia:M1425_2644
ko:K02035	sia:M1425_2645
ko:K02033	sia:M1425_2646
ko:K01912	sia:M1425_2685
ko:K00626	sia:M1425_2687
ko:K02033	sia:M1425_2694
ko:K02034	sia:M1425_2695
ko:K02031	sia:M1425_2696
ko:K02032	sia:M1425_2697
ko:K00170	sia:M1425_0343
ko:K00169	sia:M1425_0344
ko:K00171	sia:M1425_0345
ko:K03303	sia:M1425_0347
ko:K03307	sia:M1425_0358
ko:K00943	sia:M1425_0366
ko:K00943	sia:M1425_0367
ko:K08296	sia:M1425_0369
ko:K00170	sia:M1425_0371
ko:K00169	sia:M1425_0372
ko:K00171	sia:M1425_0373
ko:K00172	sia:M1425_0374
ko:K01609	sia:M1425_1326
ko:K01658	sia:M1425_1327
ko:K01657	sia:M1425_1328
ko:K01817	sia:M1425_1329
ko:K00766	sia:M1425_1330
ko:K01695	sia:M1425_1331
ko:K01512	sia:M1425_1333
ko:K01858	sia:M1425_1334
ko:K01007	sia:M1425_1336
ko:K03182	sia:M1425_1339
ko:K01733	sia:M1425_1340
ko:K00928	sia:M1425_1341
ko:K00133	sia:M1425_1342
ko:K01887	sia:M1425_1357
ko:K09721	sia:M1425_1358
ko:K00943	sia:M1425_1360
ko:K10726	sia:M1425_1367
ko:K03637	sia:M1425_1372
ko:K04800	sia:M1425_1373
ko:K04801	sia:M1425_1374
ko:K06910	sia:M1425_1375
ko:K03433	sia:M1425_1376
ko:K02433	sia:M1425_1377
ko:K07041	sia:M1425_1381
ko:K07238	sia:M1425_2290
ko:K01714	sia:M1425_2291
ko:K01206	sia:M1425_2300
ko:K02034	sia:M1425_2301
ko:K02033	sia:M1425_2302
ko:K02031	sia:M1425_2303
ko:K02032	sia:M1425_2303
ko:K02035	sia:M1425_2305
ko:K02033	sia:M1425_2310
ko:K02034	sia:M1425_2311
ko:K02031	sia:M1425_2312
ko:K02032	sia:M1425_2313
ko:K02035	sia:M1425_2314
ko:K01195	sia:M1425_2319
ko:K01714	sia:M1425_2321
ko:K02035	sia:M1425_2326
ko:K01706	sia:M1425_2333
ko:K01644	sia:M1425_0440
ko:K02922	sia:M1425_1385
ko:K00797	sia:M1425_1386
ko:K01251	sia:M1425_1387
ko:K02889	sia:M1425_1390
ko:K03051	sia:M1425_1391
ko:K07572	sia:M1425_1392
ko:K02528	sia:M1425_1393
ko:K02984	sia:M1425_1396
ko:K04042	sia:M1425_1397
ko:K06942	sia:M1425_1398
ko:K02877	sia:M1425_1399
ko:K07581	sia:M1425_1400
ko:K03432	sia:M1425_1403
ko:K11600	sia:M1425_1406
ko:K02921	sia:M1425_1408
ko:K04798	sia:M1425_1411
ko:K09154	sia:M1425_1416
ko:K00052	sia:M1425_1417
ko:K01870	sia:M1425_1418
ko:K09142	sia:M1425_1419
ko:K02906	sia:M1425_1420
ko:K02930	sia:M1425_1421
ko:K02892	sia:M1425_1422
ko:K02886	sia:M1425_1423
ko:K02965	sia:M1425_1424
ko:K02890	sia:M1425_1425
ko:K02982	sia:M1425_1426
ko:K02904	sia:M1425_1427
ko:K02961	sia:M1425_1429
ko:K02874	sia:M1425_1430
ko:K02895	sia:M1425_1431
ko:K02987	sia:M1425_1432
ko:K02931	sia:M1425_1433
ko:K02954	sia:M1425_1434
ko:K02994	sia:M1425_1435
ko:K02933	sia:M1425_1436
ko:K02912	sia:M1425_1437
ko:K02885	sia:M1425_1438
ko:K02881	sia:M1425_1439
ko:K02988	sia:M1425_1440
ko:K02907	sia:M1425_1441
ko:K02876	sia:M1425_1442
ko:K03076	sia:M1425_1443
ko:K00939	sia:M1425_1444
ko:K02915	sia:M1425_1446
ko:K00945	sia:M1425_1447
ko:K00074	sia:M1425_2357
ko:K01597	sia:M1425_2362
ko:K00938	sia:M1425_2363
ko:K02035	sia:M1425_2390
ko:K02033	sia:M1425_2391
ko:K02034	sia:M1425_2392
ko:K02031	sia:M1425_2393
ko:K02032	sia:M1425_2394
ko:K05830	sia:M1425_1979
ko:K01259	sia:M1425_2247
ko:K01473	sia:M1425_0555
ko:K01474	sia:M1425_0554
ko:K01990	sia:M1425_0959
ko:K01992	sia:M1425_0958
ko:K09711	sia:M1425_1113
ko:K00021	sia:M1425_1584
ko:K01934	sia:M1425_1648
ko:K07388	sia:M1425_2044
ko:K13057	sia:M1425_2703
ko:K10197	sia:M1425_2455
ko:K02303	sia:M1425_2419
ko:K05934	sia:M1425_0112
ko:K07330	sia:M1425_0120
ko:K07325	sia:M1425_0122
ko:K01739	sia:M1425_0165
ko:K03234	sia:M1425_1413
ko:K13051	sia:M1425_0147
ko:K03386	sia:M1425_0353
ko:K05520	sia:M1425_1151
ko:K00666	sia:M1425_2434
ko:K07068	sia:M1425_2436
ko:K02025	sia:M1425_2603
ko:K02026	sia:M1425_2603
ko:K13048	sia:M1425_0922
ko:K04479	sia:M1425_0237
ko:K07472	sia:M1425_0239
ko:K01990	sia:M1425_0193
ko:K01992	sia:M1425_0194
ko:K03055	sia:M1425_1314
ko:K08094	sia:M1425_1987
ko:K02826	sia:M1425_2655
ko:K02827	sia:M1425_2656
ko:K01385	sia:M1425_0700
ko:K05595	sia:M1425_1525
ko:K12410	sia:M1425_0267
ko:K06889	sia:M1425_2332
ko:K06889	sia:M1425_0799
ko:K01533	sia:M1425_2663
ko:K03496	sia:M1425_2081
ko:K07068	sia:M1425_2686
ko:K01990	sia:M1425_2711
ko:K07133	sia:M1425_0911
ko:K00020	sia:M1425_1250
ko:K07033	sia:M1425_1295
ko:K00303	sia:M1425_1947
ko:K00611	sia:M1425_1345
ko:K01061	sia:M1425_0472
ko:K15778	sia:M1425_1927
ko:K01426	sia:M1425_0352
ko:K05349	sia:M1425_2322
ko:K01811	sia:M1425_2336
ko:K03116	sia:M1425_1623
ko:K07025	sia:M1425_1414
ko:K07025	sia:M1425_2775
ko:K03166	sia:M1425_1254
ko:K00020	sia:M1425_0448
ko:K05989	sia:M1425_2334
ko:K00096	sia:M1425_1382
ko:K01916	sia:M1425_2789
ko:K07064	sia:M1425_2286
ko:K00058	sia:M1425_1316
ko:K07073	sia:M1425_2035
ko:K09715	sia:M1425_2629
ko:K03059	sia:M1425_1660
ko:K06957	sia:M1425_1713
ko:K08177	sia:M1425_0346
ko:K08676	sia:M1425_0480
ko:K01990	sia:M1425_0429
ko:K00340	sia:M1425_1773
ko:K02614	sia:M1425_2690
ko:K01897	sia:M1425_2297
ko:K00721	sia:M1425_0648
ko:K10027	sia:M1425_0410
ko:K06001	sia:M1425_1087
ko:K01990	sia:M1425_1088
ko:K01992	sia:M1425_1089
ko:K07133	sia:M1425_0544
ko:K07133	sia:M1425_1077
ko:K07114	sia:M1425_1134
ko:K03750	sia:M1425_1462
ko:K02224	sia:M1425_1699
ko:K01271	sia:M1425_1740
ko:K03057	sia:M1425_1811
ko:K10725	sia:M1425_1883
ko:K09737	sia:M1425_1285
ko:K01992	sia:M1425_2203
ko:K07405	sia:M1425_1231
ko:K06001	sia:M1425_1332
ko:K07143	sia:M1425_1359
ko:K10725	sia:M1425_1370
ko:K01473	sia:M1425_2410
ko:K13280	sia:M1425_1305
ko:K01170	sia:M1425_1666
ko:K04796	sia:M1425_1934
ko:K04796	sia:M1425_1384
ko:K02191	sia:M1425_0110
ko:K12589	sia:M1425_1407
ko:K10725	sia:M1425_0002
ko:K03540	sia:M1425_0042
ko:K03394	sia:M1425_0109
ko:K07332	sia:M1425_0117
ko:K07331	sia:M1425_0118
ko:K02303	sia:M1425_0226
ko:K06984	sia:M1425_1733
ko:K08368	sia:M1425_0811
ko:K09685	sia:M1425_1903
ko:K05592	sia:M1425_0709
ko:K03855	sia:M1425_2478
ko:K13525	sia:M1425_1686
