ko:K03495	bapg:BUMPG002_CDS00586
ko:K07404	bapg:BUMPG002_CDS00305
ko:K03723	bapg:BUMPG002_CDS00304
ko:K09808	bapg:BUMPG002_CDS00303
ko:K09810	bapg:BUMPG002_CDS00302
ko:K09808	bapg:BUMPG002_CDS00301
ko:K00134	bapg:BUMPG002_CDS00300
ko:K06879	bapg:BUMPG002_CDS00299
ko:K03839	bapg:BUMPG002_CDS00298
ko:K01669	bapg:BUMPG002_CDS00297
ko:K00164	bapg:BUMPG002_CDS00295
ko:K00658	bapg:BUMPG002_CDS00294
ko:K01834	bapg:BUMPG002_CDS00293
ko:K00850	bapg:BUMPG002_CDS00292
ko:K02440	bapg:BUMPG002_CDS00291
ko:K01803	bapg:BUMPG002_CDS00290
ko:K05788	bapg:BUMPG002_CDS00289
ko:K02945	bapg:BUMPG002_CDS00288
ko:K00800	bapg:BUMPG002_CDS00285
ko:K00831	bapg:BUMPG002_CDS00284
ko:K01875	bapg:BUMPG002_CDS00283
ko:K00384	bapg:BUMPG002_CDS00282
ko:K02518	bapg:BUMPG002_CDS00281
ko:K01876	bapg:BUMPG002_CDS00280
ko:K09816	bapg:BUMPG002_CDS00279
ko:K09817	bapg:BUMPG002_CDS00278
ko:K01920	bapg:BUMPG002_CDS00056
ko:K07447	bapg:BUMPG002_CDS00055
ko:K03439	bapg:BUMPG002_CDS00052
ko:K03575	bapg:BUMPG002_CDS00051
ko:K01776	bapg:BUMPG002_CDS00049
ko:K01141	bapg:BUMPG002_CDS00048
ko:K09802	bapg:BUMPG002_CDS00047
ko:K00762	bapg:BUMPG002_CDS00046
ko:K01082	bapg:BUMPG002_CDS00044
ko:K02939	bapg:BUMPG002_CDS00043
ko:K02963	bapg:BUMPG002_CDS00042
ko:K02990	bapg:BUMPG002_CDS00041
ko:K12573	bapg:BUMPG002_CDS00040
ko:K01939	bapg:BUMPG002_CDS00039
ko:K04087	bapg:BUMPG002_CDS00038
ko:K04088	bapg:BUMPG002_CDS00037
ko:K00791	bapg:BUMPG002_CDS00036
ko:K03572	bapg:BUMPG002_CDS00035
ko:K00009	bapg:BUMPG002_CDS00034
ko:K02798	bapg:BUMPG002_CDS00033
ko:K02799	bapg:BUMPG002_CDS00033
ko:K02800	bapg:BUMPG002_CDS00033
ko:K01810	bapg:BUMPG002_CDS00032
ko:K13288	bapg:BUMPG002_CDS00031
ko:K01448	bapg:BUMPG002_CDS00030
ko:K02909	bapg:BUMPG002_CDS00029
ko:K01419	bapg:BUMPG002_CDS00027
ko:K03667	bapg:BUMPG002_CDS00026
ko:K04080	bapg:BUMPG002_CDS00025
ko:K00528	bapg:BUMPG002_CDS00024
ko:K04568	bapg:BUMPG002_CDS00023
ko:K00954	bapg:BUMPG002_CDS00022
ko:K15984	bapg:BUMPG002_CDS00019
ko:K16322	bapg:BUMPG002_CDS00018
ko:K08224	bapg:BUMPG002_CDS00017
ko:K01778	bapg:BUMPG002_CDS00016
ko:K06202	bapg:BUMPG002_CDS00015
ko:K01749	bapg:BUMPG002_CDS00014
ko:K01719	bapg:BUMPG002_CDS00013
ko:K03628	bapg:BUMPG002_CDS00012
ko:K03671	bapg:BUMPG002_CDS00011
ko:K03656	bapg:BUMPG002_CDS00010
ko:K00053	bapg:BUMPG002_CDS00009
ko:K01687	bapg:BUMPG002_CDS00008
ko:K04487	bapg:BUMPG002_CDS00007
ko:K04488	bapg:BUMPG002_CDS00006
ko:K01714	bapg:BUMPG002_CDS00500
ko:K01736	bapg:BUMPG002_CDS00499
ko:K00765	bapg:BUMPG002_CDS00497
ko:K00013	bapg:BUMPG002_CDS00496
ko:K00817	bapg:BUMPG002_CDS00495
ko:K01089	bapg:BUMPG002_CDS00494
ko:K02501	bapg:BUMPG002_CDS00493
ko:K01814	bapg:BUMPG002_CDS00492
ko:K02500	bapg:BUMPG002_CDS00491
ko:K11755	bapg:BUMPG002_CDS00490
ko:K00033	bapg:BUMPG002_CDS00489
ko:K01494	bapg:BUMPG002_CDS00488
ko:K01874	bapg:BUMPG002_CDS00487
ko:K04075	bapg:BUMPG002_CDS00486
ko:K00793	bapg:BUMPG002_CDS00485
ko:K03617	bapg:BUMPG002_CDS00484
ko:K03616	bapg:BUMPG002_CDS00483
ko:K03615	bapg:BUMPG002_CDS00482
ko:K03614	bapg:BUMPG002_CDS00481
ko:K03612	bapg:BUMPG002_CDS00480
ko:K03613	bapg:BUMPG002_CDS00479
ko:K10773	bapg:BUMPG002_CDS00478
ko:K04066	bapg:BUMPG002_CDS00477
ko:K01866	bapg:BUMPG002_CDS00476
ko:K05997	bapg:BUMPG002_CDS00475
ko:K01626	bapg:BUMPG002_CDS00473
ko:K01868	bapg:BUMPG002_CDS00472
ko:K02520	bapg:BUMPG002_CDS00471
ko:K02916	bapg:BUMPG002_CDS00470
ko:K02887	bapg:BUMPG002_CDS00469
ko:K01889	bapg:BUMPG002_CDS00468
ko:K01890	bapg:BUMPG002_CDS00467
ko:K04764	bapg:BUMPG002_CDS00466
ko:K07568	bapg:BUMPG002_CDS00465
ko:K00773	bapg:BUMPG002_CDS00464
ko:K03210	bapg:BUMPG002_CDS00463
ko:K01879	bapg:BUMPG002_CDS00462
ko:K01878	bapg:BUMPG002_CDS00461
ko:K01495	bapg:BUMPG002_CDS00460
ko:K01151	bapg:BUMPG002_CDS00459
ko:K02897	bapg:BUMPG002_CDS00458
ko:K03771	bapg:BUMPG002_CDS00456
ko:K02528	bapg:BUMPG002_CDS00455
ko:K01525	bapg:BUMPG002_CDS00454
ko:K01955	bapg:BUMPG002_CDS00452
ko:K01956	bapg:BUMPG002_CDS00451
ko:K00215	bapg:BUMPG002_CDS00450
ko:K03527	bapg:BUMPG002_CDS00449
ko:K03101	bapg:BUMPG002_CDS00448
ko:K01870	bapg:BUMPG002_CDS00447
ko:K11753	bapg:BUMPG002_CDS00446
ko:K02968	bapg:BUMPG002_CDS00445
ko:K03686	bapg:BUMPG002_CDS00444
ko:K04043	bapg:BUMPG002_CDS00443
ko:K00330	bapg:BUMPG002_CDS00442
ko:K00873	bapg:BUMPG002_CDS00274
ko:K00036	bapg:BUMPG002_CDS00273
ko:K03799	bapg:BUMPG002_CDS00272
ko:K03608	bapg:BUMPG002_CDS00269
ko:K03609	bapg:BUMPG002_CDS00268
ko:K03610	bapg:BUMPG002_CDS00267
ko:K00564	bapg:BUMPG002_CDS00266
ko:K03286	bapg:BUMPG002_CDS00265
ko:K03980	bapg:BUMPG002_CDS00264
ko:K01465	bapg:BUMPG002_CDS00263
ko:K02399	bapg:BUMPG002_CDS00262
ko:K02386	bapg:BUMPG002_CDS00261
ko:K02387	bapg:BUMPG002_CDS00260
ko:K02388	bapg:BUMPG002_CDS00259
ko:K02389	bapg:BUMPG002_CDS00258
ko:K02390	bapg:BUMPG002_CDS00257
ko:K02391	bapg:BUMPG002_CDS00256
ko:K02392	bapg:BUMPG002_CDS00255
ko:K02393	bapg:BUMPG002_CDS00254
ko:K02394	bapg:BUMPG002_CDS00253
ko:K02395	bapg:BUMPG002_CDS00252
ko:K02396	bapg:BUMPG002_CDS00251
ko:K08300	bapg:BUMPG002_CDS00250
ko:K06179	bapg:BUMPG002_CDS00249
ko:K02911	bapg:BUMPG002_CDS00248
ko:K00645	bapg:BUMPG002_CDS00247
ko:K00059	bapg:BUMPG002_CDS00246
ko:K02078	bapg:BUMPG002_CDS00245
ko:K00943	bapg:BUMPG002_CDS00244
ko:K02341	bapg:BUMPG002_CDS00243
ko:K03424	bapg:BUMPG002_CDS00242
ko:K02778	bapg:BUMPG002_CDS00241
ko:K02779	bapg:BUMPG002_CDS00241
ko:K02503	bapg:BUMPG002_CDS00240
ko:K07337	bapg:BUMPG002_CDS00239
ko:K09476	bapg:BUMPG002_CDS00238
ko:K01893	bapg:BUMPG002_CDS00237
ko:K00763	bapg:BUMPG002_CDS00236
ko:K00254	bapg:BUMPG002_CDS00235
ko:K12297	bapg:BUMPG002_CDS00234
ko:K15738	bapg:BUMPG002_CDS00233
ko:K07146	bapg:BUMPG002_CDS00232
ko:K01873	bapg:BUMPG002_CDS00231
ko:K01255	bapg:BUMPG002_CDS00230
ko:K00611	bapg:BUMPG002_CDS00229
ko:K00609	bapg:BUMPG002_CDS00228
ko:K00610	bapg:BUMPG002_CDS00227
ko:K09022	bapg:BUMPG002_CDS00226
ko:K05592	bapg:BUMPG002_CDS00225
ko:K00962	bapg:BUMPG002_CDS00224
ko:K02956	bapg:BUMPG002_CDS00223
ko:K03177	bapg:BUMPG002_CDS00222
ko:K02834	bapg:BUMPG002_CDS00221
ko:K02519	bapg:BUMPG002_CDS00220
ko:K04082	bapg:BUMPG002_CDS00005
ko:K04044	bapg:BUMPG002_CDS00004
ko:K04755	bapg:BUMPG002_CDS00003
ko:K03977	bapg:BUMPG002_CDS00002
ko:K01649	bapg:BUMPG002pLeu00004
ko:K00052	bapg:BUMPG002pLeu00005
ko:K01703	bapg:BUMPG002pLeu00006
ko:K01704	bapg:BUMPG002pLeu00007
ko:K00331	bapg:BUMPG002_CDS00441
ko:K13378	bapg:BUMPG002_CDS00440
ko:K00337	bapg:BUMPG002_CDS00436
ko:K00338	bapg:BUMPG002_CDS00435
ko:K00339	bapg:BUMPG002_CDS00434
ko:K00340	bapg:BUMPG002_CDS00433
ko:K00341	bapg:BUMPG002_CDS00432
ko:K00342	bapg:BUMPG002_CDS00431
ko:K00343	bapg:BUMPG002_CDS00430
ko:K11754	bapg:BUMPG002_CDS00428
ko:K00948	bapg:BUMPG002_CDS00427
ko:K00919	bapg:BUMPG002_CDS00426
ko:K02835	bapg:BUMPG002_CDS00425
ko:K02493	bapg:BUMPG002_CDS00424
ko:K01916	bapg:BUMPG002_CDS00422
ko:K00925	bapg:BUMPG002_CDS00421
ko:K13788	bapg:BUMPG002_CDS00420
ko:K02469	bapg:BUMPG002_CDS00416
ko:K09945	bapg:BUMPG002_CDS00415
ko:K03386	bapg:BUMPG002_CDS00414
ko:K03648	bapg:BUMPG002_CDS00413
ko:K03687	bapg:BUMPG002_CDS00412
ko:K00858	bapg:BUMPG002_CDS00411
ko:K06186	bapg:BUMPG002_CDS00410
ko:K07390	bapg:BUMPG002_CDS00409
ko:K03683	bapg:BUMPG002_CDS00408
ko:K04564	bapg:BUMPG002_CDS00407
ko:K01056	bapg:BUMPG002_CDS00406
ko:K06942	bapg:BUMPG002_CDS00405
ko:K01733	bapg:BUMPG002_CDS00404
ko:K00872	bapg:BUMPG002_CDS00403
ko:K12524	bapg:BUMPG002_CDS00402
ko:K00760	bapg:BUMPG002_CDS00401
ko:K01918	bapg:BUMPG002_CDS00400
ko:K00606	bapg:BUMPG002_CDS00399
ko:K06204	bapg:BUMPG002_CDS00398
ko:K03070	bapg:BUMPG002_CDS00394
ko:K03574	bapg:BUMPG002_CDS00393
ko:K00859	bapg:BUMPG002_CDS00392
ko:K00364	bapg:BUMPG002_CDS00391
ko:K00163	bapg:BUMPG002_CDS00390
ko:K00627	bapg:BUMPG002_CDS00389
ko:K00382	bapg:BUMPG002_CDS00388
ko:K01611	bapg:BUMPG002_CDS00387
ko:K00797	bapg:BUMPG002_CDS00386
ko:K03075	bapg:BUMPG002_CDS00217
ko:K03431	bapg:BUMPG002_CDS00216
ko:K03798	bapg:BUMPG002_CDS00215
ko:K02427	bapg:BUMPG002_CDS00214
ko:K03624	bapg:BUMPG002_CDS00213
ko:K00790	bapg:BUMPG002_CDS00211
ko:K02888	bapg:BUMPG002_CDS00210
ko:K02899	bapg:BUMPG002_CDS00209
ko:K03979	bapg:BUMPG002_CDS00208
ko:K02996	bapg:BUMPG002_CDS00207
ko:K02871	bapg:BUMPG002_CDS00206
ko:K14170	bapg:BUMPG002_CDS00205
ko:K03106	bapg:BUMPG002_CDS00204
ko:K02959	bapg:BUMPG002_CDS00203
ko:K02860	bapg:BUMPG002_CDS00202
ko:K00554	bapg:BUMPG002_CDS00201
ko:K02884	bapg:BUMPG002_CDS00200
ko:K03568	bapg:BUMPG002_CDS00199
ko:K03786	bapg:BUMPG002_CDS00198
ko:K03557	bapg:BUMPG002_CDS00197
ko:K06180	bapg:BUMPG002_CDS00196
ko:K05807	bapg:BUMPG002_CDS00195
ko:K01872	bapg:BUMPG002_CDS00194
ko:K03563	bapg:BUMPG002_CDS00193
ko:K01919	bapg:BUMPG002_CDS00192
ko:K00789	bapg:BUMPG002_CDS00191
ko:K09761	bapg:BUMPG002_CDS00189
ko:K01934	bapg:BUMPG002_CDS00188
ko:K01807	bapg:BUMPG002_CDS00187
ko:K01886	bapg:BUMPG002_CDS00186
ko:K01937	bapg:BUMPG002_CDS00185
ko:K01689	bapg:BUMPG002_CDS00184
ko:K10026	bapg:BUMPG002_CDS00183
ko:K01737	bapg:BUMPG002_CDS00182
ko:K06194	bapg:BUMPG002_CDS00181
ko:K01770	bapg:BUMPG002_CDS00180
ko:K00991	bapg:BUMPG002_CDS00179
ko:K05589	bapg:BUMPG002_CDS00178
ko:K00860	bapg:BUMPG002_CDS00177
ko:K00956	bapg:BUMPG002_CDS00176
ko:K00957	bapg:BUMPG002_CDS00175
ko:K02302	bapg:BUMPG002_CDS00174
ko:K00390	bapg:BUMPG002_CDS00173
ko:K00381	bapg:BUMPG002_CDS00172
ko:K00380	bapg:BUMPG002_CDS00171
ko:K03555	bapg:BUMPG002_CDS00170
ko:K03673	bapg:BUMPG002_CDS00169
ko:K03978	bapg:BUMPG002_CDS00167
ko:K06207	bapg:BUMPG002_CDS00166
ko:K00942	bapg:BUMPG002_CDS00165
ko:K06980	bapg:BUMPG002_CDS00164
ko:K02836	bapg:BUMPG002_CDS00163
ko:K04567	bapg:BUMPG002_CDS00162
ko:K01586	bapg:BUMPG002_CDS00161
ko:K13292	bapg:BUMPG002_CDS00160
ko:K06168	bapg:BUMPG002_CDS00158
ko:K07042	bapg:BUMPG002_CDS00157
ko:K06189	bapg:BUMPG002_CDS00156
ko:K01869	bapg:BUMPG002_CDS00155
ko:K02340	bapg:BUMPG002_CDS00154
ko:K04085	bapg:BUMPG002_CDS00152
ko:K00133	bapg:BUMPG002_CDS00151
ko:K00927	bapg:BUMPG002_CDS00149
ko:K01624	bapg:BUMPG002_CDS00148
ko:K03442	bapg:BUMPG002_CDS00147
ko:K03583	bapg:BUMPG002_CDS00146
ko:K03582	bapg:BUMPG002_CDS00145
ko:K03581	bapg:BUMPG002_CDS00144
ko:K14682	bapg:BUMPG002_CDS00143
ko:K08304	bapg:BUMPG002_CDS00142
ko:K00794	bapg:BUMPG002_CDS00141
ko:K00946	bapg:BUMPG002_CDS00140
ko:K03625	bapg:BUMPG002_CDS00137
ko:K01662	bapg:BUMPG002_CDS00136
ko:K00795	bapg:BUMPG002_CDS00135
ko:K11179	bapg:BUMPG002_CDS00133
ko:K02300	bapg:BUMPG002_CDS00131
ko:K02299	bapg:BUMPG002_CDS00130
ko:K02298	bapg:BUMPG002_CDS00129
ko:K02297	bapg:BUMPG002_CDS00128
ko:K05527	bapg:BUMPG002_CDS00127
ko:K03545	bapg:BUMPG002_CDS00126
ko:K01358	bapg:BUMPG002_CDS00125
ko:K03544	bapg:BUMPG002_CDS00124
ko:K01338	bapg:BUMPG002_CDS00123
ko:K03770	bapg:BUMPG002_CDS00122
ko:K06920	bapg:BUMPG002_CDS00121
ko:K02343	bapg:BUMPG002_CDS00118
ko:K09747	bapg:BUMPG002_CDS00116
ko:K04079	bapg:BUMPG002_CDS00115
ko:K00939	bapg:BUMPG002_CDS00114
ko:K01491	bapg:BUMPG002_CDS00113
ko:K01883	bapg:BUMPG002_CDS00112
ko:K09158	bapg:BUMPG002_CDS00111
ko:K03704	bapg:BUMPG002_CDS00110
ko:K14237	bapg:BUMPG002_tRNA25
ko:K14218	bapg:BUMPG002_tRNA1
ko:K14237	bapg:BUMPG002_tRNA26
ko:K14218	bapg:BUMPG002_tRNA3
ko:K14227	bapg:BUMPG002_tRNA2
ko:K14221	bapg:BUMPG002_tRNA4
ko:K14228	bapg:BUMPG002_tRNA24
ko:K14228	bapg:BUMPG002_tRNA22
ko:K14228	bapg:BUMPG002_tRNA20
ko:K14222	bapg:BUMPG002_tRNA23
ko:K14233	bapg:BUMPG002_tRNA5
ko:K14233	bapg:BUMPG002_tRNA6
ko:K14219	bapg:BUMPG002_tRNA7
ko:K14219	bapg:BUMPG002_tRNA12
ko:K14223	bapg:BUMPG002_tRNA21
ko:K14230	bapg:BUMPG002_tRNA19
ko:K14230	bapg:BUMPG002_tRNA18
ko:K02108	bapg:BUMPG002_CDS00585
ko:K02110	bapg:BUMPG002_CDS00584
ko:K02109	bapg:BUMPG002_CDS00583
ko:K02113	bapg:BUMPG002_CDS00582
ko:K02111	bapg:BUMPG002_CDS00581
ko:K02115	bapg:BUMPG002_CDS00580
ko:K02112	bapg:BUMPG002_CDS00579
ko:K02114	bapg:BUMPG002_CDS00578
ko:K02470	bapg:BUMPG002_CDS00577
ko:K02338	bapg:BUMPG002_CDS00576
ko:K02313	bapg:BUMPG002_CDS00575
ko:K02914	bapg:BUMPG002_CDS00574
ko:K03536	bapg:BUMPG002_CDS00573
ko:K03217	bapg:BUMPG002_CDS00572
ko:K03650	bapg:BUMPG002_CDS00571
ko:K04078	bapg:BUMPG002_CDS00570
ko:K04077	bapg:BUMPG002_CDS00569
ko:K02356	bapg:BUMPG002_CDS00567
ko:K02317	bapg:BUMPG002_CDS00565
ko:K08316	bapg:BUMPG002_CDS00564
ko:K03110	bapg:BUMPG002_CDS00563
ko:K03089	bapg:BUMPG002_CDS00562
ko:K00820	bapg:BUMPG002_CDS00561
ko:K04042	bapg:BUMPG002_CDS00560
ko:K03576	bapg:BUMPG002_CDS00558
ko:K00549	bapg:BUMPG002_CDS00557
ko:K00602	bapg:BUMPG002_CDS00556
ko:K05787	bapg:BUMPG002_CDS00555
ko:K01243	bapg:BUMPG002_CDS00385
ko:K15724	bapg:BUMPG002_CDS00384
ko:K03531	bapg:BUMPG002_CDS00383
ko:K03590	bapg:BUMPG002_CDS00382
ko:K01921	bapg:BUMPG002_CDS00381
ko:K01924	bapg:BUMPG002_CDS00380
ko:K02563	bapg:BUMPG002_CDS00379
ko:K03588	bapg:BUMPG002_CDS00378
ko:K01925	bapg:BUMPG002_CDS00377
ko:K01000	bapg:BUMPG002_CDS00376
ko:K01929	bapg:BUMPG002_CDS00375
ko:K01928	bapg:BUMPG002_CDS00374
ko:K03587	bapg:BUMPG002_CDS00373
ko:K03438	bapg:BUMPG002_CDS00371
ko:K01653	bapg:BUMPG002_CDS00370
ko:K01652	bapg:BUMPG002_CDS00369
ko:K03734	bapg:BUMPG002_CDS00368
ko:K00674	bapg:BUMPG002_CDS00366
ko:K01265	bapg:BUMPG002_CDS00365
ko:K02967	bapg:BUMPG002_CDS00364
ko:K02357	bapg:BUMPG002_CDS00363
ko:K09903	bapg:BUMPG002_CDS00362
ko:K02838	bapg:BUMPG002_CDS00361
ko:K00099	bapg:BUMPG002_CDS00360
ko:K00806	bapg:BUMPG002_CDS00359
ko:K07277	bapg:BUMPG002_CDS00358
ko:K02372	bapg:BUMPG002_CDS00357
ko:K02337	bapg:BUMPG002_CDS00356
ko:K01881	bapg:BUMPG002_CDS00355
ko:K02401	bapg:BUMPG002_CDS00354
ko:K02400	bapg:BUMPG002_CDS00353
ko:K01887	bapg:BUMPG002_CDS00352
ko:K01069	bapg:BUMPG002_CDS00351
ko:K02342	bapg:BUMPG002_CDS00348
ko:K03271	bapg:BUMPG002_CDS00347
ko:K00769	bapg:BUMPG002_CDS00346
ko:K03687	bapg:BUMPG002_CDS00345
ko:K09801	bapg:BUMPG002_CDS00344
ko:K03664	bapg:BUMPG002_CDS00343
ko:K11991	bapg:BUMPG002_CDS00342
ko:K00997	bapg:BUMPG002_CDS00341
ko:K03685	bapg:BUMPG002_CDS00339
ko:K03100	bapg:BUMPG002_CDS00338
ko:K03596	bapg:BUMPG002_CDS00337
ko:K00566	bapg:BUMPG002_CDS00336
ko:K07153	bapg:BUMPG002_CDS00335
ko:K01756	bapg:BUMPG002_CDS00334
ko:K00014	bapg:BUMPG002_CDS00109
ko:K07566	bapg:BUMPG002_CDS00108
ko:K03747	bapg:BUMPG002_CDS00107
ko:K01462	bapg:BUMPG002_CDS00106
ko:K00604	bapg:BUMPG002_CDS00105
ko:K02879	bapg:BUMPG002_CDS00104
ko:K03040	bapg:BUMPG002_CDS00103
ko:K02986	bapg:BUMPG002_CDS00102
ko:K02948	bapg:BUMPG002_CDS00101
ko:K02952	bapg:BUMPG002_CDS00100
ko:K02919	bapg:BUMPG002_CDS00597
ko:K03076	bapg:BUMPG002_CDS00099
ko:K02876	bapg:BUMPG002_CDS00098
ko:K02907	bapg:BUMPG002_CDS00097
ko:K02988	bapg:BUMPG002_CDS00096
ko:K02881	bapg:BUMPG002_CDS00095
ko:K02933	bapg:BUMPG002_CDS00094
ko:K02994	bapg:BUMPG002_CDS00093
ko:K02954	bapg:BUMPG002_CDS00092
ko:K02931	bapg:BUMPG002_CDS00091
ko:K02895	bapg:BUMPG002_CDS00090
ko:K02874	bapg:BUMPG002_CDS00089
ko:K02961	bapg:BUMPG002_CDS00088
ko:K02904	bapg:BUMPG002_CDS00087
ko:K02878	bapg:BUMPG002_CDS00086
ko:K02982	bapg:BUMPG002_CDS00085
ko:K02890	bapg:BUMPG002_CDS00084
ko:K02965	bapg:BUMPG002_CDS00083
ko:K02886	bapg:BUMPG002_CDS00082
ko:K02892	bapg:BUMPG002_CDS00081
ko:K02926	bapg:BUMPG002_CDS00080
ko:K02906	bapg:BUMPG002_CDS00079
ko:K02946	bapg:BUMPG002_CDS00078
ko:K02358	bapg:BUMPG002_CDS00077
ko:K02355	bapg:BUMPG002_CDS00076
ko:K02992	bapg:BUMPG002_CDS00075
ko:K02950	bapg:BUMPG002_CDS00074
ko:K07237	bapg:BUMPG002_CDS00073
ko:K07236	bapg:BUMPG002_CDS00072
ko:K07235	bapg:BUMPG002_CDS00071
ko:K03772	bapg:BUMPG002_CDS00070
ko:K06141	bapg:BUMPG002_CDS00068
ko:K01867	bapg:BUMPG002_CDS00067
ko:K01783	bapg:BUMPG002_CDS00066
ko:K01735	bapg:BUMPG002_CDS00065
ko:K00891	bapg:BUMPG002_CDS00064
ko:K03784	bapg:BUMPG002_CDS00063
ko:K01839	bapg:BUMPG002_CDS00062
ko:K02837	bapg:BUMPG002_CDS00061
ko:K01424	bapg:BUMPG002_CDS00060
ko:K07400	bapg:BUMPG002_CDS00059
ko:K14231	bapg:BUMPG002_tRNA32
ko:K14234	bapg:BUMPG002_tRNA31
ko:K14234	bapg:BUMPG002_tRNA28
ko:K14225	bapg:BUMPG002_tRNA30
ko:K14225	bapg:BUMPG002_tRNA10
ko:K14236	bapg:BUMPG002_tRNA29
ko:K14229	bapg:BUMPG002_tRNA27
ko:K14233	bapg:BUMPG002_tRNA8
ko:K14219	bapg:BUMPG002_tRNA17
ko:K14230	bapg:BUMPG002_tRNA9
ko:K14224	bapg:BUMPG002_tRNA16
ko:K14220	bapg:BUMPG002_tRNA15
ko:K14232	bapg:BUMPG002_tRNA14
ko:K14226	bapg:BUMPG002_tRNA13
ko:K14235	bapg:BUMPG002_tRNA11
ko:K01977	bapg:BUMPG002_rRNA2
ko:K01985	bapg:BUMPG002_rRNA3
ko:K01980	bapg:BUMPG002_rRNA1
ko:K02416	bapg:BUMPG002_CDS00514
ko:K18889	bapg:BUMPG002_CDS00120
ko:K03111	bapg:BUMPG002_CDS00058
ko:K07790	bapg:BUMPG002_CDS00317
ko:K00335	bapg:BUMPG002_CDS00438
ko:K03526	bapg:BUMPG002_CDS00311
ko:K14742	bapg:BUMPG002_CDS00270
ko:K02777	bapg:BUMPG002_CDS00528
ko:K04771	bapg:BUMPG002_CDS00367
ko:K01498	bapg:BUMPG002_CDS00139
ko:K00336	bapg:BUMPG002_CDS00437
ko:K19304	bapg:BUMPG002_CDS00275
ko:K00821	bapg:BUMPG002_CDS00069
ko:K19810	bapg:BUMPG002_CDS00568
ko:K18890	bapg:BUMPG002_CDS00119
ko:K00525	bapg:BUMPG002_CDS00417
ko:K00526	bapg:BUMPG002_CDS00418
ko:K02315	bapg:BUMPG002_CDS00566
ko:K02316	bapg:BUMPG002_CDS00535
ko:K02314	bapg:BUMPG002_CDS00057
