ko:K09796	nmz:NMBNZ0533_1530
ko:K08324	nmz:NMBNZ0533_1340
ko:K02435	nmz:NMBNZ0533_1342
ko:K09824	nmz:NMBNZ0533_1344
ko:K03978	nmz:NMBNZ0533_0521
ko:K07399	nmz:NMBNZ0533_0523
ko:K02517	nmz:NMBNZ0533_0526
ko:K00789	nmz:NMBNZ0533_0527
ko:K07259	nmz:NMBNZ0533_0529
ko:K03300	nmz:NMBNZ0533_0531
ko:K08301	nmz:NMBNZ0533_0534
ko:K03071	nmz:NMBNZ0533_0536
ko:K03655	nmz:NMBNZ0533_0537
ko:K00145	nmz:NMBNZ0533_0538
ko:K15125	nmz:NMBNZ0533_0546
ko:K07058	nmz:NMBNZ0533_0560
ko:K06920	nmz:NMBNZ0533_0562
ko:K01737	nmz:NMBNZ0533_0564
ko:K08987	nmz:NMBNZ0533_0565
ko:K01207	nmz:NMBNZ0533_0568
ko:K10773	nmz:NMBNZ0533_0571
ko:K02429	nmz:NMBNZ0533_0573
ko:K03315	nmz:NMBNZ0533_0574
ko:K06189	nmz:NMBNZ0533_0575
ko:K02434	nmz:NMBNZ0533_1345
ko:K00275	nmz:NMBNZ0533_1347
ko:K06178	nmz:NMBNZ0533_1348
ko:K03601	nmz:NMBNZ0533_1350
ko:K07322	nmz:NMBNZ0533_1352
ko:K03671	nmz:NMBNZ0533_1353
ko:K06969	nmz:NMBNZ0533_1354
ko:K03544	nmz:NMBNZ0533_1359
ko:K02834	nmz:NMBNZ0533_1360
ko:K13643	nmz:NMBNZ0533_1365
ko:K04487	nmz:NMBNZ0533_1366
ko:K09890	nmz:NMBNZ0533_1371
ko:K04082	nmz:NMBNZ0533_1372
ko:K02469	nmz:NMBNZ0533_1373
ko:K01810	nmz:NMBNZ0533_1375
ko:K01057	nmz:NMBNZ0533_1378
ko:K00036	nmz:NMBNZ0533_1379
ko:K01690	nmz:NMBNZ0533_1380
ko:K01625	nmz:NMBNZ0533_1381
ko:K03575	nmz:NMBNZ0533_1383
ko:K11004	nmz:NMBNZ0533_1386
ko:K01256	nmz:NMBNZ0533_1394
ko:K07042	nmz:NMBNZ0533_0576
ko:K01749	nmz:NMBNZ0533_0577
ko:K03303	nmz:NMBNZ0533_0581
ko:K03269	nmz:NMBNZ0533_0582
ko:K03529	nmz:NMBNZ0533_0583
ko:K02655	nmz:NMBNZ0533_0585
ko:K13888	nmz:NMBNZ0533_0586
ko:K05685	nmz:NMBNZ0533_0587
ko:K03981	nmz:NMBNZ0533_0588
ko:K04066	nmz:NMBNZ0533_0589
ko:K04043	nmz:NMBNZ0533_0593
ko:K15724	nmz:NMBNZ0533_0596
ko:K03688	nmz:NMBNZ0533_0598
ko:K00640	nmz:NMBNZ0533_0599
ko:K03687	nmz:NMBNZ0533_0600
ko:K05952	nmz:NMBNZ0533_0601
ko:K03734	nmz:NMBNZ0533_0602
ko:K00351	nmz:NMBNZ0533_0603
ko:K00350	nmz:NMBNZ0533_0604
ko:K00349	nmz:NMBNZ0533_0605
ko:K00348	nmz:NMBNZ0533_0606
ko:K00347	nmz:NMBNZ0533_0607
ko:K00346	nmz:NMBNZ0533_0608
ko:K09790	nmz:NMBNZ0533_0610
ko:K09941	nmz:NMBNZ0533_0611
ko:K00605	nmz:NMBNZ0533_0613
ko:K02437	nmz:NMBNZ0533_0614
ko:K02492	nmz:NMBNZ0533_0615
ko:K07218	nmz:NMBNZ0533_0617
ko:K00311	nmz:NMBNZ0533_0620
ko:K07501	nmz:NMBNZ0533_1395
ko:K02517	nmz:NMBNZ0533_1397
ko:K01159	nmz:NMBNZ0533_1398
ko:K03557	nmz:NMBNZ0533_1399
ko:K04567	nmz:NMBNZ0533_1404
ko:K03624	nmz:NMBNZ0533_1409
ko:K00800	nmz:NMBNZ0533_1410
ko:K00782	nmz:NMBNZ0533_1415
ko:K01588	nmz:NMBNZ0533_1417
ko:K03572	nmz:NMBNZ0533_1421
ko:K02343	nmz:NMBNZ0533_1422
ko:K09747	nmz:NMBNZ0533_1423
ko:K03785	nmz:NMBNZ0533_1425
ko:K03656	nmz:NMBNZ0533_1426
ko:K02346	nmz:NMBNZ0533_1427
ko:K00528	nmz:NMBNZ0533_1430
ko:K00459	nmz:NMBNZ0533_1434
ko:K09926	nmz:NMBNZ0533_1435
ko:K00615	nmz:NMBNZ0533_1437
ko:K02884	nmz:NMBNZ0533_0633
ko:K00554	nmz:NMBNZ0533_0634
ko:K02860	nmz:NMBNZ0533_0635
ko:K02959	nmz:NMBNZ0533_0636
ko:K06287	nmz:NMBNZ0533_0642
ko:K03118	nmz:NMBNZ0533_0643
ko:K03117	nmz:NMBNZ0533_0644
ko:K03116	nmz:NMBNZ0533_0645
ko:K02503	nmz:NMBNZ0533_0646
ko:K03210	nmz:NMBNZ0533_0650
ko:K03072	nmz:NMBNZ0533_0651
ko:K03074	nmz:NMBNZ0533_0652
ko:K02956	nmz:NMBNZ0533_0653
ko:K11076	nmz:NMBNZ0533_0655
ko:K11075	nmz:NMBNZ0533_0656
ko:K11074	nmz:NMBNZ0533_0657
ko:K03320	nmz:NMBNZ0533_0659
ko:K03628	nmz:NMBNZ0533_0660
ko:K09773	nmz:NMBNZ0533_0662
ko:K03634	nmz:NMBNZ0533_0665
ko:K11073	nmz:NMBNZ0533_0666
ko:K02837	nmz:NMBNZ0533_0669
ko:K02500	nmz:NMBNZ0533_0671
ko:K01814	nmz:NMBNZ0533_0672
ko:K02501	nmz:NMBNZ0533_0673
ko:K13788	nmz:NMBNZ0533_0674
ko:K01524	nmz:NMBNZ0533_1446
ko:K01867	nmz:NMBNZ0533_1449
ko:K03695	nmz:NMBNZ0533_1450
ko:K14260	nmz:NMBNZ0533_1451
ko:K01821	nmz:NMBNZ0533_1452
ko:K00260	nmz:NMBNZ0533_1454
ko:K01091	nmz:NMBNZ0533_1455
ko:K03565	nmz:NMBNZ0533_1456
ko:K06194	nmz:NMBNZ0533_1458
ko:K03787	nmz:NMBNZ0533_1459
ko:K06200	nmz:NMBNZ0533_1465
ko:K00928	nmz:NMBNZ0533_1476
ko:K00989	nmz:NMBNZ0533_1477
ko:K05896	nmz:NMBNZ0533_1480
ko:K00763	nmz:NMBNZ0533_1481
ko:K01887	nmz:NMBNZ0533_1482
ko:K01807	nmz:NMBNZ0533_1486
ko:K01770	nmz:NMBNZ0533_1487
ko:K00991	nmz:NMBNZ0533_1488
ko:K00925	nmz:NMBNZ0533_1494
ko:K04084	nmz:NMBNZ0533_1495
ko:K18842	nmz:NMBNZ0533_0966
ko:K01465	nmz:NMBNZ0533_0729
ko:K03625	nmz:NMBNZ0533_0730
ko:K00794	nmz:NMBNZ0533_0731
ko:K03685	nmz:NMBNZ0533_0733
ko:K01817	nmz:NMBNZ0533_0735
ko:K04760	nmz:NMBNZ0533_0736
ko:K00764	nmz:NMBNZ0533_0737
ko:K03558	nmz:NMBNZ0533_0738
ko:K11754	nmz:NMBNZ0533_0740
ko:K02528	nmz:NMBNZ0533_0744
ko:K01696	nmz:NMBNZ0533_0746
ko:K05807	nmz:NMBNZ0533_0749
ko:K06180	nmz:NMBNZ0533_0750
ko:K03453	nmz:NMBNZ0533_0751
ko:K05810	nmz:NMBNZ0533_0752
ko:K03643	nmz:NMBNZ0533_0753
ko:K02340	nmz:NMBNZ0533_0754
ko:K03089	nmz:NMBNZ0533_0758
ko:K03820	nmz:NMBNZ0533_0759
ko:K01772	nmz:NMBNZ0533_0765
ko:K00773	nmz:NMBNZ0533_0766
ko:K01868	nmz:NMBNZ0533_0768
ko:K02520	nmz:NMBNZ0533_0769
ko:K02916	nmz:NMBNZ0533_0770
ko:K02887	nmz:NMBNZ0533_0771
ko:K01889	nmz:NMBNZ0533_0773
ko:K01890	nmz:NMBNZ0533_0777
ko:K04764	nmz:NMBNZ0533_0778
ko:K01653	nmz:NMBNZ0533_1549
ko:K01652	nmz:NMBNZ0533_1550
ko:K07152	nmz:NMBNZ0533_1552
ko:K00765	nmz:NMBNZ0533_1553
ko:K09968	nmz:NMBNZ0533_1554
ko:K00013	nmz:NMBNZ0533_1555
ko:K00817	nmz:NMBNZ0533_1556
ko:K01693	nmz:NMBNZ0533_1557
ko:K00995	nmz:NMBNZ0533_1567
ko:K11073	nmz:NMBNZ0533_1573
ko:K01872	nmz:NMBNZ0533_1574
ko:K03304	nmz:NMBNZ0533_1578
ko:K02621	nmz:NMBNZ0533_1580
ko:K15984	nmz:NMBNZ0533_1583
ko:K10764	nmz:NMBNZ0533_1585
ko:K01676	nmz:NMBNZ0533_1589
ko:K00941	nmz:NMBNZ0533_1593
ko:K00432	nmz:NMBNZ0533_1598
ko:K02011	nmz:NMBNZ0533_0676
ko:K02012	nmz:NMBNZ0533_0677
ko:K01755	nmz:NMBNZ0533_0679
ko:K00963	nmz:NMBNZ0533_0680
ko:K08310	nmz:NMBNZ0533_0684
ko:K03623	nmz:NMBNZ0533_0689
ko:K01972	nmz:NMBNZ0533_0712
ko:K03806	nmz:NMBNZ0533_0714
ko:K07082	nmz:NMBNZ0533_0715
ko:K00943	nmz:NMBNZ0533_0716
ko:K00029	nmz:NMBNZ0533_0717
ko:K00912	nmz:NMBNZ0533_0718
ko:K09924	nmz:NMBNZ0533_0719
ko:K09791	nmz:NMBNZ0533_0720
ko:K00979	nmz:NMBNZ0533_0721
ko:K01695	nmz:NMBNZ0533_0724
ko:K01963	nmz:NMBNZ0533_0725
ko:K03775	nmz:NMBNZ0533_1498
ko:K03664	nmz:NMBNZ0533_1503
ko:K03070	nmz:NMBNZ0533_1513
ko:K03086	nmz:NMBNZ0533_1515
ko:K01937	nmz:NMBNZ0533_1527
ko:K00566	nmz:NMBNZ0533_1529
ko:K07113	nmz:NMBNZ0533_0780
ko:K00833	nmz:NMBNZ0533_0782
ko:K01935	nmz:NMBNZ0533_0783
ko:K03181	nmz:NMBNZ0533_0784
ko:K03179	nmz:NMBNZ0533_0785
ko:K06958	nmz:NMBNZ0533_0788
ko:K14540	nmz:NMBNZ0533_0789
ko:K06024	nmz:NMBNZ0533_0790
ko:K03631	nmz:NMBNZ0533_0791
ko:K03183	nmz:NMBNZ0533_0796
ko:K00950	nmz:NMBNZ0533_0798
ko:K03666	nmz:NMBNZ0533_0801
ko:K07262	nmz:NMBNZ0533_0802
ko:K03564	nmz:NMBNZ0533_0803
ko:K02192	nmz:NMBNZ0533_0805
ko:K00067	nmz:NMBNZ0533_0807
ko:K01923	nmz:NMBNZ0533_0808
ko:K00962	nmz:NMBNZ0533_0809
ko:K09792	nmz:NMBNZ0533_0810
ko:K01778	nmz:NMBNZ0533_0812
ko:K01738	nmz:NMBNZ0533_0814
ko:K03100	nmz:NMBNZ0533_0816
ko:K03596	nmz:NMBNZ0533_0817
ko:K02670	nmz:NMBNZ0533_0819
ko:K02341	nmz:NMBNZ0533_0820
ko:K02676	nmz:NMBNZ0533_0821
ko:K03424	nmz:NMBNZ0533_0822
ko:K09712	nmz:NMBNZ0533_0823
ko:K07390	nmz:NMBNZ0533_0824
ko:K00761	nmz:NMBNZ0533_0825
ko:K02496	nmz:NMBNZ0533_0829
ko:K02498	nmz:NMBNZ0533_0830
ko:K01599	nmz:NMBNZ0533_0831
ko:K04561	nmz:NMBNZ0533_1599
ko:K03760	nmz:NMBNZ0533_1612
ko:K00831	nmz:NMBNZ0533_1613
ko:K09748	nmz:NMBNZ0533_1614
ko:K02600	nmz:NMBNZ0533_1615
ko:K02519	nmz:NMBNZ0533_1616
ko:K11068	nmz:NMBNZ0533_1619
ko:K03310	nmz:NMBNZ0533_1620
ko:K03611	nmz:NMBNZ0533_1622
ko:K01775	nmz:NMBNZ0533_1624
ko:K09157	nmz:NMBNZ0533_1625
ko:K07166	nmz:NMBNZ0533_1626
ko:K07320	nmz:NMBNZ0533_1628
ko:K13038	nmz:NMBNZ0533_1636
ko:K03060	nmz:NMBNZ0533_1638
ko:K00942	nmz:NMBNZ0533_1639
ko:K00759	nmz:NMBNZ0533_1640
ko:K08303	nmz:NMBNZ0533_1642
ko:K03808	nmz:NMBNZ0533_1648
ko:K06192	nmz:NMBNZ0533_1649
ko:K09857	nmz:NMBNZ0533_1650
ko:K00901	nmz:NMBNZ0533_1531
ko:K01920	nmz:NMBNZ0533_1532
ko:K01886	nmz:NMBNZ0533_1533
ko:K02444	nmz:NMBNZ0533_1534
ko:K07397	nmz:NMBNZ0533_1537
ko:K11175	nmz:NMBNZ0533_1539
ko:K02339	nmz:NMBNZ0533_1541
ko:K01255	nmz:NMBNZ0533_1542
ko:K07091	nmz:NMBNZ0533_1543
ko:K11720	nmz:NMBNZ0533_1544
ko:K01682	nmz:NMBNZ0533_1545
ko:K00611	nmz:NMBNZ0533_1546
ko:K00053	nmz:NMBNZ0533_1547
ko:K09812	nmz:NMBNZ0533_0007
ko:K09811	nmz:NMBNZ0533_0008
ko:K00927	nmz:NMBNZ0533_0010
ko:K00790	nmz:NMBNZ0533_0012
ko:K09943	nmz:NMBNZ0533_0015
ko:K02527	nmz:NMBNZ0533_0016
ko:K02535	nmz:NMBNZ0533_0018
ko:K01874	nmz:NMBNZ0533_0035
ko:K00820	nmz:NMBNZ0533_0036
ko:K08304	nmz:NMBNZ0533_0038
ko:K07243	nmz:NMBNZ0533_0039
ko:K06193	nmz:NMBNZ0533_0042
ko:K04042	nmz:NMBNZ0533_0043
ko:K02064	nmz:NMBNZ0533_0045
ko:K12267	nmz:NMBNZ0533_0048
ko:K03110	nmz:NMBNZ0533_0049
ko:K02670	nmz:NMBNZ0533_0052
ko:K04485	nmz:NMBNZ0533_0832
ko:K03582	nmz:NMBNZ0533_0835
ko:K07223	nmz:NMBNZ0533_0836
ko:K15778	nmz:NMBNZ0533_0840
ko:K14445	nmz:NMBNZ0533_0842
ko:K01056	nmz:NMBNZ0533_0844
ko:K09801	nmz:NMBNZ0533_0845
ko:K03798	nmz:NMBNZ0533_0847
ko:K01698	nmz:NMBNZ0533_0850
ko:K09007	nmz:NMBNZ0533_0852
ko:K06182	nmz:NMBNZ0533_0854
ko:K00858	nmz:NMBNZ0533_0855
ko:K00075	nmz:NMBNZ0533_0859
ko:K03327	nmz:NMBNZ0533_0860
ko:K02502	nmz:NMBNZ0533_0861
ko:K01939	nmz:NMBNZ0533_0862
ko:K03799	nmz:NMBNZ0533_0869
ko:K01591	nmz:NMBNZ0533_0871
ko:K03274	nmz:NMBNZ0533_0875
ko:K03427	nmz:NMBNZ0533_0876
ko:K01153	nmz:NMBNZ0533_0878
ko:K03694	nmz:NMBNZ0533_0879
ko:K06891	nmz:NMBNZ0533_0880
ko:K03704	nmz:NMBNZ0533_0881
ko:K01246	nmz:NMBNZ0533_1651
ko:K00281	nmz:NMBNZ0533_1654
ko:K00832	nmz:NMBNZ0533_1657
ko:K01736	nmz:NMBNZ0533_1659
ko:K02622	nmz:NMBNZ0533_1661
ko:K08311	nmz:NMBNZ0533_1662
ko:K01875	nmz:NMBNZ0533_1663
ko:K03778	nmz:NMBNZ0533_1664
ko:K02835	nmz:NMBNZ0533_1665
ko:K03424	nmz:NMBNZ0533_1666
ko:K03431	nmz:NMBNZ0533_1669
ko:K00796	nmz:NMBNZ0533_1670
ko:K03182	nmz:NMBNZ0533_1673
ko:K09458	nmz:NMBNZ0533_1678
ko:K03308	nmz:NMBNZ0533_1682
ko:K00262	nmz:NMBNZ0533_1685
ko:K03585	nmz:NMBNZ0533_1691
ko:K03577	nmz:NMBNZ0533_1692
ko:K03583	nmz:NMBNZ0533_1695
ko:K00405	nmz:NMBNZ0533_1698
ko:K00404	nmz:NMBNZ0533_1699
ko:K02669	nmz:NMBNZ0533_0053
ko:K06997	nmz:NMBNZ0533_0054
ko:K00286	nmz:NMBNZ0533_0056
ko:K06204	nmz:NMBNZ0533_0057
ko:K02237	nmz:NMBNZ0533_0063
ko:K03686	nmz:NMBNZ0533_0065
ko:K01790	nmz:NMBNZ0533_0067
ko:K00973	nmz:NMBNZ0533_0068
ko:K01991	nmz:NMBNZ0533_0077
ko:K10107	nmz:NMBNZ0533_0078
ko:K09688	nmz:NMBNZ0533_0079
ko:K09689	nmz:NMBNZ0533_0080
ko:K06959	nmz:NMBNZ0533_0081
ko:K00973	nmz:NMBNZ0533_0085
ko:K01790	nmz:NMBNZ0533_0086
ko:K07266	nmz:NMBNZ0533_0087
ko:K07265	nmz:NMBNZ0533_0088
ko:K03312	nmz:NMBNZ0533_0090
ko:K06076	nmz:NMBNZ0533_0094
ko:K00873	nmz:NMBNZ0533_0095
ko:K13408	nmz:NMBNZ0533_0097
ko:K13409	nmz:NMBNZ0533_0098
ko:K03592	nmz:NMBNZ0533_0882
ko:K09889	nmz:NMBNZ0533_0883
ko:K07462	nmz:NMBNZ0533_0885
ko:K01494	nmz:NMBNZ0533_0891
ko:K03554	nmz:NMBNZ0533_0893
ko:K03977	nmz:NMBNZ0533_0894
ko:K01892	nmz:NMBNZ0533_0896
ko:K07018	nmz:NMBNZ0533_0910
ko:K00797	nmz:NMBNZ0533_0911
ko:K00606	nmz:NMBNZ0533_0914
ko:K01918	nmz:NMBNZ0533_0915
ko:K02494	nmz:NMBNZ0533_0917
ko:K00919	nmz:NMBNZ0533_0918
ko:K00948	nmz:NMBNZ0533_0922
ko:K02897	nmz:NMBNZ0533_0923
ko:K01754	nmz:NMBNZ0533_0927
ko:K02045	nmz:NMBNZ0533_0928
ko:K02047	nmz:NMBNZ0533_0929
ko:K02046	nmz:NMBNZ0533_0930
ko:K04564	nmz:NMBNZ0533_0934
ko:K03561	nmz:NMBNZ0533_1703
ko:K03675	nmz:NMBNZ0533_1707
ko:K12340	nmz:NMBNZ0533_1710
ko:K11003	nmz:NMBNZ0533_1711
ko:K07154	nmz:NMBNZ0533_1735
ko:K15125	nmz:NMBNZ0533_1741
ko:K00609	nmz:NMBNZ0533_0106
ko:K00610	nmz:NMBNZ0533_0107
ko:K01462	nmz:NMBNZ0533_0110
ko:K00604	nmz:NMBNZ0533_0111
ko:K03500	nmz:NMBNZ0533_0112
ko:K04096	nmz:NMBNZ0533_0116
ko:K03168	nmz:NMBNZ0533_0118
ko:K02358	nmz:NMBNZ0533_0127
ko:K02601	nmz:NMBNZ0533_0129
ko:K02867	nmz:NMBNZ0533_0130
ko:K02863	nmz:NMBNZ0533_0131
ko:K02864	nmz:NMBNZ0533_0132
ko:K02935	nmz:NMBNZ0533_0133
ko:K03043	nmz:NMBNZ0533_0134
ko:K03046	nmz:NMBNZ0533_0135
ko:K02950	nmz:NMBNZ0533_0139
ko:K02992	nmz:NMBNZ0533_0140
ko:K02355	nmz:NMBNZ0533_0141
ko:K02946	nmz:NMBNZ0533_0143
ko:K02906	nmz:NMBNZ0533_0145
ko:K02926	nmz:NMBNZ0533_0146
ko:K02892	nmz:NMBNZ0533_0147
ko:K02886	nmz:NMBNZ0533_0148
ko:K02965	nmz:NMBNZ0533_0149
ko:K02890	nmz:NMBNZ0533_0150
ko:K02982	nmz:NMBNZ0533_0151
ko:K02878	nmz:NMBNZ0533_0152
ko:K02904	nmz:NMBNZ0533_0153
ko:K02961	nmz:NMBNZ0533_0154
ko:K02874	nmz:NMBNZ0533_0156
ko:K02895	nmz:NMBNZ0533_0157
ko:K02931	nmz:NMBNZ0533_0158
ko:K02954	nmz:NMBNZ0533_0159
ko:K02994	nmz:NMBNZ0533_0160
ko:K02933	nmz:NMBNZ0533_0161
ko:K08084	nmz:NMBNZ0533_0936
ko:K02671	nmz:NMBNZ0533_0937
ko:K02672	nmz:NMBNZ0533_0938
ko:K02673	nmz:NMBNZ0533_0939
ko:K02655	nmz:NMBNZ0533_0940
ko:K14267	nmz:NMBNZ0533_0942
ko:K09861	nmz:NMBNZ0533_0943
ko:K07341	nmz:NMBNZ0533_0968
ko:K00031	nmz:NMBNZ0533_0971
ko:K10806	nmz:NMBNZ0533_0976
ko:K07287	nmz:NMBNZ0533_0979
ko:K01714	nmz:NMBNZ0533_0980
ko:K03218	nmz:NMBNZ0533_0982
ko:K09793	nmz:NMBNZ0533_0983
ko:K00791	nmz:NMBNZ0533_0985
ko:K15125	nmz:NMBNZ0533_1755
ko:K15125	nmz:NMBNZ0533_1759
ko:K02169	nmz:NMBNZ0533_1777
ko:K09789	nmz:NMBNZ0533_1778
ko:K03319	nmz:NMBNZ0533_1781
ko:K01876	nmz:NMBNZ0533_1785
ko:K01058	nmz:NMBNZ0533_1787
ko:K02968	nmz:NMBNZ0533_1788
ko:K01776	nmz:NMBNZ0533_1792
ko:K06925	nmz:NMBNZ0533_1793
ko:K01448	nmz:NMBNZ0533_1794
ko:K07444	nmz:NMBNZ0533_1795
ko:K00997	nmz:NMBNZ0533_1798
ko:K07090	nmz:NMBNZ0533_1799
ko:K03474	nmz:NMBNZ0533_1802
ko:K03584	nmz:NMBNZ0533_1803
ko:K14170	nmz:NMBNZ0533_1804
ko:K02881	nmz:NMBNZ0533_0162
ko:K02988	nmz:NMBNZ0533_0163
ko:K02907	nmz:NMBNZ0533_0164
ko:K02876	nmz:NMBNZ0533_0165
ko:K03076	nmz:NMBNZ0533_0166
ko:K02518	nmz:NMBNZ0533_0167
ko:K02919	nmz:NMBNZ0533_0168
ko:K02952	nmz:NMBNZ0533_0169
ko:K02948	nmz:NMBNZ0533_0170
ko:K02986	nmz:NMBNZ0533_0171
ko:K03040	nmz:NMBNZ0533_0172
ko:K02879	nmz:NMBNZ0533_0173
ko:K03610	nmz:NMBNZ0533_0174
ko:K03609	nmz:NMBNZ0533_0175
ko:K03608	nmz:NMBNZ0533_0176
ko:K04761	nmz:NMBNZ0533_0177
ko:K01873	nmz:NMBNZ0533_0178
ko:K07238	nmz:NMBNZ0533_0179
ko:K00285	nmz:NMBNZ0533_0180
ko:K03310	nmz:NMBNZ0533_0181
ko:K00677	nmz:NMBNZ0533_0182
ko:K02372	nmz:NMBNZ0533_0183
ko:K02536	nmz:NMBNZ0533_0184
ko:K06142	nmz:NMBNZ0533_0185
ko:K07277	nmz:NMBNZ0533_0186
ko:K11749	nmz:NMBNZ0533_0187
ko:K00099	nmz:NMBNZ0533_0188
ko:K00981	nmz:NMBNZ0533_0189
ko:K00806	nmz:NMBNZ0533_0190
ko:K02838	nmz:NMBNZ0533_0191
ko:K03501	nmz:NMBNZ0533_0195
