ko:K18929	ccc:G157_00360
ko:K06346	ccc:G157_04550
ko:K07792	ccc:G157_05435
ko:K06603	ccc:G157_05930
ko:K03768	ccc:G157_03075
ko:K00016	ccc:G157_03095
ko:K09981	ccc:G157_03110
ko:K08738	ccc:G157_03150
ko:K02843	ccc:G157_03180
ko:K02242	ccc:G157_03835
ko:K02030	ccc:G157_04065
ko:K09815	ccc:G157_04625
ko:K03711	ccc:G157_04630
ko:K07098	ccc:G157_04685
ko:K01885	ccc:G157_04690
ko:K00567	ccc:G157_04730
ko:K02030	ccc:G157_04825
ko:K02028	ccc:G157_06295
ko:K02342	ccc:G157_06385
ko:K08077	ccc:G157_06410
ko:K00059	ccc:G157_06470
ko:K03406	ccc:G157_06490
ko:K07126	ccc:G157_06575
ko:K00245	ccc:G157_06590
ko:K00244	ccc:G157_06595
ko:K11782	ccc:G157_02395
ko:K03559	ccc:G157_07855
ko:K03417	ccc:G157_07345
ko:K03559	ccc:G157_08140
ko:K03559	ccc:G157_00660
ko:K02484	ccc:G157_02730
ko:K02484	ccc:G157_02790
ko:K07793	ccc:G157_07020
ko:K09825	ccc:G157_07040
ko:K02566	ccc:G157_07075
ko:K00652	ccc:G157_07135
ko:K02017	ccc:G157_07165
ko:K03830	ccc:G157_07200
ko:K00616	ccc:G157_07295
ko:K07052	ccc:G157_07660
ko:K02010	ccc:G157_07820
ko:K03386	ccc:G157_06965
ko:K03406	ccc:G157_07420
ko:K04517	ccc:G157_08035
ko:K01092	ccc:G157_08045
ko:K09815	ccc:G157_07965
ko:K01082	ccc:G157_08265
ko:K14228	ccc:G157_t08582
ko:K03501	ccc:G157_04005
ko:K01698	ccc:G157_04015
ko:K00611	ccc:G157_04020
ko:K09861	ccc:G157_04050
ko:K07107	ccc:G157_04590
ko:K03100	ccc:G157_04635
ko:K01491	ccc:G157_04640
ko:K01845	ccc:G157_04650
ko:K04061	ccc:G157_04675
ko:K01613	ccc:G157_04680
ko:K02221	ccc:G157_04695
ko:K08309	ccc:G157_04700
ko:K03753	ccc:G157_04710
ko:K03841	ccc:G157_04715
ko:K01874	ccc:G157_04720
ko:K01772	ccc:G157_04725
ko:K01682	ccc:G157_04735
ko:K09943	ccc:G157_04760
ko:K06929	ccc:G157_04765
ko:K01754	ccc:G157_04770
ko:K06173	ccc:G157_04775
ko:K07091	ccc:G157_04780
ko:K02654	ccc:G157_04785
ko:K00806	ccc:G157_04790
ko:K13038	ccc:G157_04800
ko:K04042	ccc:G157_04805
ko:K02419	ccc:G157_04810
ko:K00979	ccc:G157_04835
ko:K01733	ccc:G157_04840
ko:K00912	ccc:G157_04845
ko:K00174	ccc:G157_05985
ko:K00176	ccc:G157_05990
ko:K01902	ccc:G157_05995
ko:K01903	ccc:G157_06000
ko:K00024	ccc:G157_06005
ko:K00031	ccc:G157_06010
ko:K07082	ccc:G157_06020
ko:K02387	ccc:G157_06025
ko:K02388	ccc:G157_06030
ko:K02408	ccc:G157_06035
ko:K03587	ccc:G157_06040
ko:K03324	ccc:G157_06045
ko:K04079	ccc:G157_06060
ko:K06199	ccc:G157_06065
ko:K00655	ccc:G157_06070
ko:K01952	ccc:G157_06080
ko:K01952	ccc:G157_06085
ko:K01923	ccc:G157_06090
ko:K03797	ccc:G157_06095
ko:K03695	ccc:G157_06105
ko:K06287	ccc:G157_06115
ko:K01872	ccc:G157_06120
ko:K13017	ccc:G157_06125
ko:K01772	ccc:G157_06140
ko:K03320	ccc:G157_06145
ko:K06917	ccc:G157_06150
ko:K01609	ccc:G157_06160
ko:K06940	ccc:G157_06170
ko:K02355	ccc:G157_06180
ko:K02992	ccc:G157_06185
ko:K02950	ccc:G157_06190
ko:K07248	ccc:G157_06195
ko:K03534	ccc:G157_06200
ko:K02429	ccc:G157_06210
ko:K16850	ccc:G157_06225
ko:K16849	ccc:G157_06230
ko:K01714	ccc:G157_06235
ko:K03073	ccc:G157_06280
ko:K02029	ccc:G157_06300
ko:K02029	ccc:G157_06305
ko:K06886	ccc:G157_06315
ko:K03655	ccc:G157_06320
ko:K02600	ccc:G157_06340
ko:K06168	ccc:G157_06350
ko:K03147	ccc:G157_06380
ko:K01783	ccc:G157_06390
ko:K02902	ccc:G157_06395
ko:K09794	ccc:G157_06400
ko:K16089	ccc:G157_06415
ko:K01962	ccc:G157_06445
ko:K09458	ccc:G157_06450
ko:K02078	ccc:G157_06455
ko:K03707	ccc:G157_06460
ko:K15633	ccc:G157_06475
ko:K01000	ccc:G157_06480
ko:K01925	ccc:G157_06485
ko:K13292	ccc:G157_06605
ko:K00246	ccc:G157_06600
ko:K00014	ccc:G157_06615
ko:K03749	ccc:G157_06620
ko:K00600	ccc:G157_06630
ko:K04567	ccc:G157_06635
ko:K03558	ccc:G157_06645
ko:K02435	ccc:G157_06650
ko:K03525	ccc:G157_06670
ko:K00116	ccc:G157_06675
ko:K00873	ccc:G157_06680
ko:K01875	ccc:G157_06695
ko:K01867	ccc:G157_06700
ko:K00891	ccc:G157_06705
ko:K03977	ccc:G157_06710
ko:K01627	ccc:G157_06720
ko:K00794	ccc:G157_06725
ko:K03625	ccc:G157_06730
ko:K01591	ccc:G157_06735
ko:K17247	ccc:G157_06750
ko:K09767	ccc:G157_06770
ko:K02970	ccc:G157_06790
ko:K03585	ccc:G157_06805
ko:K08973	ccc:G157_06830
ko:K03101	ccc:G157_06835
ko:K03431	ccc:G157_06840
ko:K00428	ccc:G157_06845
ko:K08591	ccc:G157_06850
ko:K01633	ccc:G157_06855
ko:K01524	ccc:G157_06870
ko:K02417	ccc:G157_06880
ko:K02913	ccc:G157_06285
ko:K02358	ccc:G157_06290
ko:K01714	ccc:G157_04870
ko:K01883	ccc:G157_04890
ko:K03980	ccc:G157_04895
ko:K03550	ccc:G157_04905
ko:K01921	ccc:G157_04910
ko:K01929	ccc:G157_04930
ko:K05939	ccc:G157_04935
ko:K07088	ccc:G157_04945
ko:K01433	ccc:G157_04950
ko:K02570	ccc:G157_04990
ko:K02568	ccc:G157_05000
ko:K02573	ccc:G157_05010
ko:K02567	ccc:G157_05015
ko:K11065	ccc:G157_05020
ko:K03657	ccc:G157_05035
ko:K01873	ccc:G157_05045
ko:K02071	ccc:G157_05050
ko:K02072	ccc:G157_05055
ko:K02073	ccc:G157_05060
ko:K02386	ccc:G157_05075
ko:K03186	ccc:G157_05080
ko:K00954	ccc:G157_05085
ko:K00943	ccc:G157_05090
ko:K01892	ccc:G157_05095
ko:K00640	ccc:G157_05105
ko:K00812	ccc:G157_05110
ko:K04043	ccc:G157_05130
ko:K03043	ccc:G157_06250
ko:K02935	ccc:G157_06255
ko:K02864	ccc:G157_06260
ko:K02863	ccc:G157_06265
ko:K02867	ccc:G157_06270
ko:K01980	ccc:G157_r08612
ko:K14219	ccc:G157_t08536
ko:K17686	ccc:G157_03140
ko:K03183	ccc:G157_07025
ko:K01662	ccc:G157_07045
ko:K02411	ccc:G157_07050
ko:K02410	ccc:G157_07055
ko:K02409	ccc:G157_07060
ko:K00817	ccc:G157_07065
ko:K14170	ccc:G157_07070
ko:K01586	ccc:G157_07080
ko:K11720	ccc:G157_07085
ko:K01056	ccc:G157_07090
ko:K02897	ccc:G157_07095
ko:K01935	ccc:G157_07110
ko:K00833	ccc:G157_07130
ko:K09789	ccc:G157_07140
ko:K02169	ccc:G157_07145
ko:K02020	ccc:G157_07150
ko:K02018	ccc:G157_07160
ko:K00606	ccc:G157_07185
ko:K01918	ccc:G157_07190
ko:K01579	ccc:G157_07195
ko:K03787	ccc:G157_07210
ko:K07238	ccc:G157_07255
ko:K00748	ccc:G157_07260
ko:K03624	ccc:G157_07265
ko:K03269	ccc:G157_07270
ko:K03415	ccc:G157_07275
ko:K03407	ccc:G157_07280
ko:K03408	ccc:G157_07285
ko:K01079	ccc:G157_07290
ko:K06153	ccc:G157_07605
ko:K05367	ccc:G157_07625
ko:K06894	ccc:G157_07630
ko:K07478	ccc:G157_07645
ko:K00215	ccc:G157_07650
ko:K00764	ccc:G157_07655
ko:K03532	ccc:G157_07665
ko:K07093	ccc:G157_07690
ko:K00384	ccc:G157_07695
ko:K03671	ccc:G157_07700
ko:K07460	ccc:G157_07705
ko:K00003	ccc:G157_07710
ko:K14261	ccc:G157_07715
ko:K03218	ccc:G157_07730
ko:K07056	ccc:G157_07735
ko:K02909	ccc:G157_07740
ko:K09761	ccc:G157_07745
ko:K01737	ccc:G157_07760
ko:K03639	ccc:G157_07770
ko:K03179	ccc:G157_07785
ko:K00791	ccc:G157_07790
ko:K04564	ccc:G157_07810
ko:K02011	ccc:G157_07825
ko:K02012	ccc:G157_07830
ko:K16087	ccc:G157_07845
ko:K03561	ccc:G157_07850
ko:K03832	ccc:G157_07860
ko:K08224	ccc:G157_07870
ko:K06193	ccc:G157_07885
ko:K01695	ccc:G157_06890
ko:K01696	ccc:G157_06895
ko:K01817	ccc:G157_06900
ko:K13497	ccc:G157_06905
ko:K01657	ccc:G157_06910
ko:K07090	ccc:G157_06915
ko:K03701	ccc:G157_06920
ko:K02556	ccc:G157_06950
ko:K02557	ccc:G157_06955
ko:K02401	ccc:G157_06960
ko:K00940	ccc:G157_06975
ko:K02911	ccc:G157_06985
ko:K03621	ccc:G157_06990
ko:K00648	ccc:G157_06995
ko:K00831	ccc:G157_07000
ko:K03601	ccc:G157_07005
ko:K07795	ccc:G157_07010
ko:K01720	ccc:G157_07335
ko:K01908	ccc:G157_07350
ko:K03570	ccc:G157_07360
ko:K03569	ccc:G157_07365
ko:K03544	ccc:G157_07370
ko:K00677	ccc:G157_07375
ko:K02372	ccc:G157_07380
ko:K09765	ccc:G157_07385
ko:K03564	ccc:G157_07390
ko:K01821	ccc:G157_07395
ko:K00826	ccc:G157_07400
ko:K01465	ccc:G157_07435
ko:K00901	ccc:G157_07445
ko:K03760	ccc:G157_07450
ko:K01142	ccc:G157_07455
ko:K03637	ccc:G157_07470
ko:K02887	ccc:G157_07490
ko:K02916	ccc:G157_07495
ko:K04487	ccc:G157_07505
ko:K13819	ccc:G157_07510
ko:K16052	ccc:G157_07515
ko:K01673	ccc:G157_07520
ko:K03075	ccc:G157_07530
ko:K02838	ccc:G157_07535
ko:K00762	ccc:G157_07540
ko:K00763	ccc:G157_07555
ko:K00573	ccc:G157_07565
ko:K00930	ccc:G157_07575
ko:K00145	ccc:G157_07585
ko:K02520	ccc:G157_07595
ko:K01868	ccc:G157_07600
ko:K00872	ccc:G157_08015
ko:K02535	ccc:G157_08025
ko:K07277	ccc:G157_08040
ko:K01963	ccc:G157_08050
ko:K00783	ccc:G157_08055
ko:K06204	ccc:G157_08060
ko:K07042	ccc:G157_08085
ko:K00645	ccc:G157_08110
ko:K03775	ccc:G157_08115
ko:K03640	ccc:G157_08125
ko:K03641	ccc:G157_08130
ko:K03832	ccc:G157_08135
ko:K02114	ccc:G157_08150
ko:K02112	ccc:G157_08155
ko:K02115	ccc:G157_08160
ko:K02111	ccc:G157_08165
ko:K02113	ccc:G157_08170
ko:K02109	ccc:G157_08175
ko:K02109	ccc:G157_08180
ko:K03524	ccc:G157_08195
ko:K00604	ccc:G157_08200
ko:K00931	ccc:G157_08215
ko:K01689	ccc:G157_08235
ko:K02420	ccc:G157_08250
ko:K12097	ccc:G157_08840
ko:K01304	ccc:G157_08920
ko:K03088	ccc:G157_08945
ko:K11175	ccc:G157_07910
ko:K07391	ccc:G157_07925
ko:K01462	ccc:G157_07930
ko:K01358	ccc:G157_07935
ko:K03545	ccc:G157_07940
ko:K01495	ccc:G157_07945
ko:K02412	ccc:G157_07950
ko:K09817	ccc:G157_07970
ko:K09816	ccc:G157_07975
ko:K09748	ccc:G157_07995
ko:K02834	ccc:G157_08000
ko:K02519	ccc:G157_08005
ko:K00075	ccc:G157_08255
ko:K01647	ccc:G157_08270
ko:K01012	ccc:G157_08280
ko:K03168	ccc:G157_08285
ko:K03076	ccc:G157_08295
ko:K02876	ccc:G157_08300
ko:K02988	ccc:G157_08305
ko:K02933	ccc:G157_08310
ko:K02994	ccc:G157_08315
ko:K02954	ccc:G157_08320
ko:K02931	ccc:G157_08325
ko:K02895	ccc:G157_08330
ko:K02874	ccc:G157_08335
ko:K02961	ccc:G157_08340
ko:K02904	ccc:G157_08345
ko:K02878	ccc:G157_08350
ko:K02982	ccc:G157_08355
ko:K02890	ccc:G157_08360
ko:K02965	ccc:G157_08365
ko:K02886	ccc:G157_08370
ko:K02892	ccc:G157_08375
ko:K02926	ccc:G157_08380
ko:K02906	ccc:G157_08385
ko:K02946	ccc:G157_08390
ko:K06178	ccc:G157_08395
ko:K02528	ccc:G157_08405
ko:K06941	ccc:G157_08415
ko:K01704	ccc:G157_08435
ko:K01703	ccc:G157_08440
ko:K00052	ccc:G157_08445
ko:K01649	ccc:G157_08450
ko:K09457	ccc:G157_08470
ko:K00651	ccc:G157_08480
ko:K07112	ccc:G157_08490
ko:K01740	ccc:G157_08495
ko:K02390	ccc:G157_08500
ko:K01159	ccc:G157_08505
ko:K06956	ccc:G157_00120
ko:K03470	ccc:G157_00065
ko:K01937	ccc:G157_00130
ko:K07552	ccc:G157_00170
ko:K02313	ccc:G157_00005
ko:K01687	ccc:G157_00075
ko:K02338	ccc:G157_00010
ko:K07023	ccc:G157_00080
ko:K07462	ccc:G157_00135
ko:K02470	ccc:G157_00015
ko:K06920	ccc:G157_00085
ko:K14393	ccc:G157_00040
ko:K07084	ccc:G157_00050
ko:K06180	ccc:G157_00105
ko:K00266	ccc:G157_00060
ko:K01756	ccc:G157_00110
ko:K06207	ccc:G157_00185
ko:K03313	ccc:G157_00505
ko:K02066	ccc:G157_00545
ko:K01779	ccc:G157_00405
ko:K03648	ccc:G157_00410
ko:K01744	ccc:G157_00415
ko:K07791	ccc:G157_00420
ko:K09859	ccc:G157_00425
ko:K07337	ccc:G157_00430
ko:K02389	ccc:G157_00200
ko:K02390	ccc:G157_00205
ko:K00566	ccc:G157_00225
ko:K06966	ccc:G157_00230
ko:K02417	ccc:G157_00285
ko:K02405	ccc:G157_00295
ko:K02416	ccc:G157_00290
ko:K04562	ccc:G157_00305
ko:K00950	ccc:G157_00315
ko:K02404	ccc:G157_00310
ko:K03786	ccc:G157_00320
ko:K04773	ccc:G157_00330
ko:K00782	ccc:G157_00355
ko:K03303	ccc:G157_00370
ko:K00425	ccc:G157_00380
ko:K00426	ccc:G157_00385
ko:K02888	ccc:G157_00440
ko:K02899	ccc:G157_00445
ko:K03979	ccc:G157_00450
ko:K02003	ccc:G157_00465
ko:K07230	ccc:G157_00485
ko:K03313	ccc:G157_00500
ko:K07243	ccc:G157_00490
ko:K01776	ccc:G157_00515
ko:K01265	ccc:G157_00520
ko:K02065	ccc:G157_00540
ko:K00615	ccc:G157_00550
ko:K00795	ccc:G157_00555
ko:K09747	ccc:G157_00565
ko:K01928	ccc:G157_00570
ko:K03685	ccc:G157_00600
ko:K01736	ccc:G157_00605
ko:K15125	ccc:G157_00630
ko:K00566	ccc:G157_00645
ko:K03561	ccc:G157_00665
ko:K03837	ccc:G157_00680
ko:K01752	ccc:G157_00685
ko:K11752	ccc:G157_00695
ko:K03575	ccc:G157_00730
ko:K02016	ccc:G157_00745
ko:K02013	ccc:G157_00750
ko:K02015	ccc:G157_00755
ko:K07226	ccc:G157_00765
ko:K02835	ccc:G157_00770
ko:K02968	ccc:G157_00775
ko:K01095	ccc:G157_00780
ko:K00958	ccc:G157_00785
ko:K12506	ccc:G157_00795
ko:K11755	ccc:G157_00820
ko:K02500	ccc:G157_00825
ko:K09805	ccc:G157_00830
ko:K01814	ccc:G157_00835
ko:K02501	ccc:G157_00840
ko:K01089	ccc:G157_00845
ko:K00013	ccc:G157_00850
ko:K00765	ccc:G157_00855
ko:K02879	ccc:G157_00860
ko:K03040	ccc:G157_00865
ko:K02986	ccc:G157_00870
ko:K02948	ccc:G157_00875
ko:K02952	ccc:G157_00880
ko:K05773	ccc:G157_01200
ko:K01895	ccc:G157_01210
ko:K00963	ccc:G157_01215
ko:K01810	ccc:G157_01220
ko:K04047	ccc:G157_01225
ko:K07133	ccc:G157_01235
ko:K01778	ccc:G157_01245
ko:K00859	ccc:G157_01250
ko:K01933	ccc:G157_01255
ko:K03750	ccc:G157_01290
ko:K03636	ccc:G157_01300
ko:K13747	ccc:G157_01310
ko:K00123	ccc:G157_01325
ko:K00123	ccc:G157_01330
ko:K02379	ccc:G157_01345
ko:K01008	ccc:G157_01365
ko:K13821	ccc:G157_01370
ko:K07112	ccc:G157_01385
ko:K01939	ccc:G157_01390
ko:K09804	ccc:G157_01405
ko:K01956	ccc:G157_01410
ko:K09792	ccc:G157_01415
ko:K00404	ccc:G157_01430
ko:K00405	ccc:G157_01435
ko:K00407	ccc:G157_01440
ko:K00406	ccc:G157_01445
ko:K03582	ccc:G157_01475
ko:K05801	ccc:G157_01485
ko:K02871	ccc:G157_01490
ko:K07266	ccc:G157_01775
ko:K07265	ccc:G157_01780
ko:K00997	ccc:G157_01800
ko:K02415	ccc:G157_01805
ko:K15778	ccc:G157_01810
ko:K09710	ccc:G157_01820
ko:K00969	ccc:G157_01825
ko:K00134	ccc:G157_01830
ko:K00927	ccc:G157_01835
ko:K01803	ccc:G157_01840
ko:K00208	ccc:G157_01845
ko:K04759	ccc:G157_01855
ko:K04758	ccc:G157_01860
ko:K01756	ccc:G157_01870
ko:K03781	ccc:G157_01900
ko:K03839	ccc:G157_01915
ko:K01042	ccc:G157_01930
ko:K03833	ccc:G157_01935
ko:K03981	ccc:G157_01940
ko:K07323	ccc:G157_01970
ko:K04754	ccc:G157_01975
ko:K06901	ccc:G157_01985
ko:K00990	ccc:G157_01995
ko:K00820	ccc:G157_02000
ko:K03551	ccc:G157_02015
ko:K03407	ccc:G157_02020
ko:K00937	ccc:G157_02030
ko:K15876	ccc:G157_02035
ko:K03385	ccc:G157_02040
ko:K02160	ccc:G157_02365
ko:K01961	ccc:G157_02370
ko:K00029	ccc:G157_02385
ko:K00761	ccc:G157_02390
ko:K14652	ccc:G157_02410
ko:K09117	ccc:G157_02415
ko:K01652	ccc:G157_02420
ko:K01653	ccc:G157_02425
ko:K02536	ccc:G157_02430
ko:K07568	ccc:G157_02435
ko:K03118	ccc:G157_02440
ko:K03117	ccc:G157_02445
ko:K08311	ccc:G157_02455
ko:K00928	ccc:G157_02460
ko:K02341	ccc:G157_02470
ko:K00796	ccc:G157_02475
ko:K01972	ccc:G157_02480
ko:K06442	ccc:G157_02490
ko:K11753	ccc:G157_02495
ko:K15256	ccc:G157_02500
ko:K01173	ccc:G157_02515
ko:K10773	ccc:G157_02520
ko:K01624	ccc:G157_02530
ko:K02557	ccc:G157_02540
ko:K01821	ccc:G157_02565
ko:K00962	ccc:G157_02580
ko:K04744	ccc:G157_02585
ko:K01945	ccc:G157_02595
ko:K01951	ccc:G157_02615
ko:K03703	ccc:G157_02625
ko:K00978	ccc:G157_03220
ko:K01709	ccc:G157_03225
ko:K01652	ccc:G157_03230
ko:K02377	ccc:G157_03235
ko:K12452	ccc:G157_03240
ko:K02517	ccc:G157_03265
ko:K02841	ccc:G157_03270
ko:K07501	ccc:G157_03275
ko:K03413	ccc:G157_03335
ko:K02687	ccc:G157_03340
ko:K03798	ccc:G157_03345
ko:K01613	ccc:G157_03350
ko:K17103	ccc:G157_03355
ko:K00684	ccc:G157_03375
ko:K03694	ccc:G157_03380
ko:K06891	ccc:G157_03385
ko:K03664	ccc:G157_03395
ko:K00919	ccc:G157_03400
ko:K03563	ccc:G157_03405
ko:K03657	ccc:G157_03415
ko:K08602	ccc:G157_03425
ko:K00609	ccc:G157_03430
ko:K07862	ccc:G157_03435
ko:K00789	ccc:G157_03440
ko:K03820	ccc:G157_03455
ko:K03210	ccc:G157_03460
ko:K03072	ccc:G157_03465
ko:K03074	ccc:G157_03470
ko:K15257	ccc:G157_04095
ko:K02110	ccc:G157_04110
ko:K03308	ccc:G157_04115
ko:K03308	ccc:G157_04120
ko:K01960	ccc:G157_04125
ko:K01610	ccc:G157_04130
ko:K01755	ccc:G157_04135
ko:K06942	ccc:G157_04140
ko:K01255	ccc:G157_04145
ko:K00759	ccc:G157_04155
ko:K01808	ccc:G157_04165
ko:K03412	ccc:G157_04170
ko:K10039	ccc:G157_04185
ko:K10040	ccc:G157_04190
ko:K10040	ccc:G157_04195
ko:K00948	ccc:G157_04200
ko:K06200	ccc:G157_04205
ko:K10806	ccc:G157_04215
ko:K03530	ccc:G157_04225
ko:K01738	ccc:G157_04230
ko:K07152	ccc:G157_04235
ko:K01775	ccc:G157_04260
ko:K03216	ccc:G157_04265
ko:K03310	ccc:G157_04270
ko:K02029	ccc:G157_04280
ko:K03152	ccc:G157_04290
ko:K02503	ccc:G157_04295
ko:K01889	ccc:G157_04300
ko:K01890	ccc:G157_04305
ko:K00800	ccc:G157_04310
ko:K03527	ccc:G157_04315
ko:K02945	ccc:G157_04320
ko:K15738	ccc:G157_04345
ko:K03687	ccc:G157_05135
ko:K03705	ccc:G157_05140
ko:K16089	ccc:G157_05145
ko:K03832	ccc:G157_05150
ko:K02053	ccc:G157_05180
ko:K02054	ccc:G157_05185
ko:K03284	ccc:G157_05205
ko:K03831	ccc:G157_05210
ko:K02493	ccc:G157_05225
ko:K02406	ccc:G157_05235
ko:K02337	ccc:G157_05250
ko:K01626	ccc:G157_05260
ko:K07127	ccc:G157_05265
ko:K02884	ccc:G157_05270
ko:K00554	ccc:G157_05275
ko:K02860	ccc:G157_05280
ko:K06960	ccc:G157_05285
ko:K02959	ccc:G157_05290
ko:K03106	ccc:G157_05295
ko:K06180	ccc:G157_05300
ko:K02527	ccc:G157_05305
ko:K07164	ccc:G157_05310
ko:K01878	ccc:G157_05320
ko:K01588	ccc:G157_05330
ko:K08303	ccc:G157_05335
ko:K01915	ccc:G157_05345
ko:K02392	ccc:G157_05350
ko:K02392	ccc:G157_05355
ko:K03531	ccc:G157_05360
ko:K03590	ccc:G157_05365
ko:K03770	ccc:G157_05370
ko:K03438	ccc:G157_05375
ko:K03092	ccc:G157_05440
ko:K06861	ccc:G157_05445
ko:K06925	ccc:G157_05450
ko:K01940	ccc:G157_05460
ko:K02939	ccc:G157_05465
ko:K01419	ccc:G157_05470
ko:K03667	ccc:G157_05475
ko:K05515	ccc:G157_05500
ko:K03978	ccc:G157_05510
ko:K09774	ccc:G157_05515
ko:K03270	ccc:G157_05525
ko:K03642	ccc:G157_05530
ko:K08307	ccc:G157_05535
ko:K03424	ccc:G157_05540
ko:K03631	ccc:G157_05550
ko:K00858	ccc:G157_05555
ko:K01876	ccc:G157_05560
ko:K07447	ccc:G157_05585
ko:K04096	ccc:G157_05590
ko:K09798	ccc:G157_05595
ko:K00053	ccc:G157_05600
ko:K02340	ccc:G157_05615
ko:K04651	ccc:G157_05620
ko:K04654	ccc:G157_05630
ko:K04653	ccc:G157_05635
ko:K04656	ccc:G157_05645
ko:K07043	ccc:G157_05655
ko:K02036	ccc:G157_05670
ko:K02038	ccc:G157_05675
ko:K02037	ccc:G157_05680
ko:K02040	ccc:G157_05685
ko:K02217	ccc:G157_05695
ko:K09795	ccc:G157_05705
ko:K02919	ccc:G157_00885
ko:K02518	ccc:G157_00890
ko:K06159	ccc:G157_00950
ko:K02034	ccc:G157_00980
ko:K00330	ccc:G157_00995
ko:K00331	ccc:G157_01000
ko:K00332	ccc:G157_01005
ko:K00333	ccc:G157_01010
ko:K00334	ccc:G157_01015
ko:K00337	ccc:G157_01030
ko:K00338	ccc:G157_01035
ko:K00339	ccc:G157_01040
ko:K00340	ccc:G157_01045
ko:K00341	ccc:G157_01050
ko:K00342	ccc:G157_01055
ko:K00343	ccc:G157_01060
ko:K07089	ccc:G157_01085
ko:K03781	ccc:G157_01090
ko:K02846	ccc:G157_01100
ko:K07002	ccc:G157_01105
ko:K01154	ccc:G157_01125
ko:K01153	ccc:G157_01140
ko:K13979	ccc:G157_01145
ko:K03098	ccc:G157_01150
ko:K03923	ccc:G157_01160
ko:K07160	ccc:G157_01190
ko:K05772	ccc:G157_01195
ko:K02996	ccc:G157_01495
ko:K01091	ccc:G157_01505
ko:K03737	ccc:G157_01510
ko:K02453	ccc:G157_01520
ko:K01714	ccc:G157_01525
ko:K02455	ccc:G157_01540
ko:K07090	ccc:G157_01545
ko:K02396	ccc:G157_01555
ko:K02394	ccc:G157_01575
ko:K06176	ccc:G157_01600
ko:K02836	ccc:G157_01610
ko:K04075	ccc:G157_01620
ko:K09979	ccc:G157_01640
ko:K09688	ccc:G157_01645
ko:K09689	ccc:G157_01650
ko:K10107	ccc:G157_01655
ko:K06041	ccc:G157_01665
ko:K03271	ccc:G157_01700
ko:K02016	ccc:G157_02050
ko:K02013	ccc:G157_02055
ko:K02015	ccc:G157_02060
ko:K02015	ccc:G157_02065
ko:K01058	ccc:G157_02070
ko:K03752	ccc:G157_02075
ko:K00981	ccc:G157_02090
ko:K00099	ccc:G157_02095
