ko:K07090	rae:G148_0288
ko:K06975	rae:G148_0241
ko:K16089	rae:G148_0243
ko:K02527	rae:G148_0244
ko:K02557	rae:G148_0248
ko:K05837	rae:G148_0249
ko:K07220	rae:G148_1112
ko:K03306	rae:G148_1113
ko:K02523	rae:G148_1119
ko:K06193	rae:G148_1122
ko:K03655	rae:G148_1124
ko:K04762	rae:G148_1126
ko:K00891	rae:G148_1127
ko:K00788	rae:G148_1134
ko:K13789	rae:G148_1136
ko:K04487	rae:G148_1140
ko:K03671	rae:G148_1141
ko:K00382	rae:G148_1144
ko:K01697	rae:G148_1149
ko:K07259	rae:G148_1152
ko:K04066	rae:G148_1153
ko:K04043	rae:G148_1156
ko:K02990	rae:G148_1158
ko:K02963	rae:G148_1159
ko:K02939	rae:G148_1160
ko:K03671	rae:G148_0293
ko:K00645	rae:G148_0294
ko:K02519	rae:G148_0300
ko:K02600	rae:G148_0301
ko:K09748	rae:G148_0302
ko:K11754	rae:G148_0304
ko:K00684	rae:G148_0308
ko:K04759	rae:G148_0309
ko:K04758	rae:G148_0310
ko:K00566	rae:G148_0312
ko:K03665	rae:G148_0313
ko:K07568	rae:G148_1166
ko:K06941	rae:G148_1167
ko:K11927	rae:G148_1168
ko:K03704	rae:G148_1170
ko:K00609	rae:G148_1172
ko:K01956	rae:G148_1173
ko:K01955	rae:G148_1176
ko:K02013	rae:G148_1178
ko:K02015	rae:G148_1179
ko:K02613	rae:G148_1181
ko:K03179	rae:G148_1184
ko:K01886	rae:G148_1185
ko:K01778	rae:G148_1187
ko:K07082	rae:G148_1188
ko:K03584	rae:G148_1194
ko:K02108	rae:G148_1199
ko:K02110	rae:G148_1200
ko:K02109	rae:G148_1201
ko:K02113	rae:G148_1202
ko:K02111	rae:G148_1203
ko:K02115	rae:G148_1204
ko:K06891	rae:G148_1206
ko:K00164	rae:G148_1208
ko:K00658	rae:G148_1209
ko:K03885	rae:G148_1210
ko:K00554	rae:G148_1211
ko:K03629	rae:G148_1214
ko:K07164	rae:G148_1218
ko:K01915	rae:G148_0327
ko:K13694	rae:G148_0328
ko:K09940	rae:G148_0329
ko:K07460	rae:G148_0333
ko:K01867	rae:G148_0336
ko:K03088	rae:G148_0339
ko:K07391	rae:G148_0341
ko:K02897	rae:G148_0344
ko:K00948	rae:G148_0345
ko:K06076	rae:G148_0347
ko:K03702	rae:G148_0351
ko:K11749	rae:G148_0355
ko:K10716	rae:G148_1220
ko:K01939	rae:G148_1372
ko:K00428	rae:G148_1373
ko:K04567	rae:G148_1374
ko:K00764	rae:G148_1377
ko:K01923	rae:G148_1378
ko:K01952	rae:G148_1379
ko:K00074	rae:G148_1381
ko:K02887	rae:G148_1382
ko:K02916	rae:G148_1383
ko:K02520	rae:G148_1385
ko:K01868	rae:G148_1386
ko:K01657	rae:G148_1387
ko:K00766	rae:G148_1389
ko:K01246	rae:G148_1390
ko:K01609	rae:G148_1391
ko:K01817	rae:G148_1392
ko:K01696	rae:G148_1393
ko:K01695	rae:G148_1395
ko:K03313	rae:G148_1399
ko:K02621	rae:G148_1401
ko:K02622	rae:G148_1403
ko:K09888	rae:G148_1405
ko:K03113	rae:G148_1407
ko:K00757	rae:G148_1408
ko:K01938	rae:G148_1411
ko:K02884	rae:G148_1413
ko:K03657	rae:G148_1420
ko:K03075	rae:G148_1423
ko:K03798	rae:G148_0373
ko:K09710	rae:G148_0374
ko:K03524	rae:G148_0375
ko:K00773	rae:G148_0377
ko:K03555	rae:G148_0382
ko:K03168	rae:G148_0390
ko:K03110	rae:G148_0392
ko:K02913	rae:G148_0394
ko:K02902	rae:G148_0395
ko:K01354	rae:G148_0396
ko:K00794	rae:G148_0402
ko:K00759	rae:G148_0404
ko:K00185	rae:G148_0409
ko:K05366	rae:G148_0419
ko:K03786	rae:G148_0422
ko:K03797	rae:G148_0427
ko:K03787	rae:G148_0428
ko:K06187	rae:G148_1425
ko:K00031	rae:G148_1428
ko:K06178	rae:G148_1432
ko:K01953	rae:G148_1434
ko:K01876	rae:G148_1435
ko:K11175	rae:G148_1436
ko:K01933	rae:G148_1437
ko:K00648	rae:G148_1438
ko:K00648	rae:G148_1439
ko:K13421	rae:G148_1442
ko:K00243	rae:G148_1449
ko:K15633	rae:G148_1465
ko:K00605	rae:G148_1466
ko:K09158	rae:G148_1471
ko:K01129	rae:G148_1472
ko:K06890	rae:G148_1475
ko:K00831	rae:G148_1478
ko:K02426	rae:G148_0431
ko:K03696	rae:G148_0433
ko:K01808	rae:G148_0436
ko:K12573	rae:G148_0437
ko:K07056	rae:G148_0443
ko:K01775	rae:G148_0446
ko:K00075	rae:G148_0452
ko:K02888	rae:G148_0454
ko:K02899	rae:G148_0455
ko:K00791	rae:G148_0458
ko:K00790	rae:G148_0459
ko:K07636	rae:G148_0462
ko:K03525	rae:G148_0465
ko:K09015	rae:G148_0468
ko:K09013	rae:G148_0469
ko:K07127	rae:G148_0471
ko:K06079	rae:G148_0472
ko:K09014	rae:G148_0475
ko:K03596	rae:G148_0478
ko:K03101	rae:G148_0481
ko:K01870	rae:G148_0483
ko:K00812	rae:G148_0484
ko:K01951	rae:G148_1482
ko:K01945	rae:G148_1483
ko:K07275	rae:G148_1491
ko:K02340	rae:G148_1495
ko:K03466	rae:G148_1497
ko:K03832	rae:G148_1501
ko:K00215	rae:G148_1505
ko:K03100	rae:G148_1506
ko:K03088	rae:G148_1509
ko:K07127	rae:G148_1513
ko:K03650	rae:G148_1517
ko:K00812	rae:G148_1520
ko:K03118	rae:G148_1526
ko:K06041	rae:G148_1527
ko:K03654	rae:G148_1528
ko:K08973	rae:G148_1533
ko:K01665	rae:G148_0495
ko:K09954	rae:G148_0498
ko:K03585	rae:G148_0503
ko:K01610	rae:G148_0505
ko:K07001	rae:G148_0507
ko:K03495	rae:G148_0509
ko:K00927	rae:G148_0522
ko:K02551	rae:G148_0525
ko:K03572	rae:G148_0536
ko:K00133	rae:G148_0540
ko:K03215	rae:G148_0543
ko:K01929	rae:G148_1538
ko:K02341	rae:G148_1543
ko:K07259	rae:G148_1545
ko:K03424	rae:G148_1551
ko:K03979	rae:G148_1552
ko:K00760	rae:G148_1554
ko:K07516	rae:G148_1568
ko:K00208	rae:G148_1572
ko:K06942	rae:G148_1574
ko:K08972	rae:G148_1576
ko:K00648	rae:G148_1577
ko:K03183	rae:G148_1579
ko:K03781	rae:G148_1592
ko:K00981	rae:G148_0546
ko:K01613	rae:G148_0547
ko:K00806	rae:G148_0550
ko:K07277	rae:G148_0551
ko:K06142	rae:G148_0552
ko:K06142	rae:G148_0553
ko:K07107	rae:G148_0554
ko:K00067	rae:G148_0555
ko:K01338	rae:G148_0560
ko:K03978	rae:G148_0563
ko:K03925	rae:G148_0565
ko:K03438	rae:G148_0566
ko:K03587	rae:G148_0568
ko:K01928	rae:G148_0569
ko:K01000	rae:G148_0570
ko:K01925	rae:G148_0571
ko:K03588	rae:G148_0572
ko:K02563	rae:G148_0573
ko:K01924	rae:G148_0574
ko:K03589	rae:G148_0575
ko:K03590	rae:G148_0576
ko:K03531	rae:G148_0577
ko:K07058	rae:G148_0580
ko:K03664	rae:G148_0586
ko:K07397	rae:G148_0589
ko:K02835	rae:G148_0590
ko:K06958	rae:G148_0591
ko:K01586	rae:G148_0593
ko:K02837	rae:G148_1221
ko:K08325	rae:G148_1224
ko:K11927	rae:G148_1227
ko:K01874	rae:G148_1229
ko:K01756	rae:G148_1231
ko:K02016	rae:G148_1232
ko:K03501	rae:G148_1242
ko:K02338	rae:G148_1246
ko:K01890	rae:G148_1247
ko:K04078	rae:G148_1249
ko:K04077	rae:G148_1250
ko:K00615	rae:G148_1254
ko:K07127	rae:G148_1255
ko:K07127	rae:G148_1258
ko:K00615	rae:G148_1264
ko:K12257	rae:G148_1267
ko:K01265	rae:G148_1271
ko:K08281	rae:G148_1274
ko:K01892	rae:G148_1275
ko:K02914	rae:G148_0606
ko:K09812	rae:G148_0607
ko:K00793	rae:G148_0610
ko:K00097	rae:G148_0611
ko:K02911	rae:G148_0613
ko:K02160	rae:G148_0614
ko:K01961	rae:G148_0615
ko:K01809	rae:G148_0622
ko:K03770	rae:G148_0623
ko:K02078	rae:G148_0635
ko:K09458	rae:G148_0636
ko:K03685	rae:G148_0637
ko:K00873	rae:G148_0639
ko:K04075	rae:G148_0656
ko:K01875	rae:G148_0658
ko:K02517	rae:G148_1278
ko:K00573	rae:G148_1292
ko:K00658	rae:G148_1293
ko:K01595	rae:G148_1297
ko:K01029	rae:G148_1298
ko:K01028	rae:G148_1299
ko:K00252	rae:G148_1301
ko:K02470	rae:G148_1307
ko:K02469	rae:G148_1309
ko:K05592	rae:G148_1314
ko:K01895	rae:G148_1318
ko:K07444	rae:G148_1319
ko:K03623	rae:G148_1321
ko:K01284	rae:G148_1322
ko:K02548	rae:G148_1329
ko:K01661	rae:G148_1330
ko:K07090	rae:G148_1332
ko:K08303	rae:G148_0664
ko:K01869	rae:G148_0667
ko:K03561	rae:G148_0668
ko:K03832	rae:G148_0671
ko:K02040	rae:G148_0673
ko:K15876	rae:G148_0681
ko:K03385	rae:G148_0682
ko:K07007	rae:G148_0685
ko:K03561	rae:G148_0688
ko:K00858	rae:G148_0691
ko:K01624	rae:G148_0692
ko:K01963	rae:G148_0693
ko:K02016	rae:G148_0695
ko:K02015	rae:G148_0696
ko:K02013	rae:G148_0697
ko:K01430	rae:G148_0699
ko:K01429	rae:G148_0700
ko:K01428	rae:G148_0701
ko:K03187	rae:G148_0702
ko:K03188	rae:G148_0703
ko:K03189	rae:G148_0704
ko:K03190	rae:G148_0705
ko:K04651	rae:G148_0706
ko:K06287	rae:G148_0711
ko:K03270	rae:G148_0712
ko:K02906	rae:G148_0714
ko:K02926	rae:G148_0715
ko:K02892	rae:G148_0716
ko:K02886	rae:G148_0717
ko:K03801	rae:G148_1339
ko:K02945	rae:G148_1342
ko:K03701	rae:G148_1344
ko:K00602	rae:G148_1346
ko:K09861	rae:G148_1350
ko:K02493	rae:G148_1351
ko:K00556	rae:G148_1352
ko:K03106	rae:G148_1353
ko:K01803	rae:G148_1361
ko:K09001	rae:G148_1363
ko:K06949	rae:G148_1365
ko:K00876	rae:G148_1367
ko:K15726	rae:G148_1335
ko:K09794	rae:G148_1368
ko:K06207	rae:G148_1369
ko:K02982	rae:G148_0719
ko:K02878	rae:G148_0720
ko:K02904	rae:G148_0721
ko:K02961	rae:G148_0722
ko:K02874	rae:G148_0723
ko:K02895	rae:G148_0724
ko:K02931	rae:G148_0725
ko:K02954	rae:G148_0726
ko:K02994	rae:G148_0727
ko:K02933	rae:G148_0728
ko:K02881	rae:G148_0729
ko:K02988	rae:G148_0730
ko:K02907	rae:G148_0731
ko:K02876	rae:G148_0732
ko:K03076	rae:G148_0733
ko:K02518	rae:G148_0734
ko:K02919	rae:G148_0735
ko:K02952	rae:G148_0736
ko:K02948	rae:G148_0737
ko:K02986	rae:G148_0738
ko:K03040	rae:G148_0739
ko:K02879	rae:G148_0740
ko:K01647	rae:G148_0743
ko:K01689	rae:G148_0744
ko:K01448	rae:G148_0748
ko:K02968	rae:G148_0749
ko:K00969	rae:G148_0751
ko:K07462	rae:G148_0752
ko:K01465	rae:G148_0755
ko:K00640	rae:G148_0762
ko:K01673	rae:G148_0763
ko:K02890	rae:G148_0718
ko:K01056	rae:G148_0772
ko:K03695	rae:G148_0773
ko:K01962	rae:G148_0777
ko:K02357	rae:G148_0779
ko:K10773	rae:G148_0780
ko:K03564	rae:G148_0781
ko:K03269	rae:G148_0784
ko:K01737	rae:G148_0785
ko:K03550	rae:G148_0787
ko:K01159	rae:G148_0792
ko:K06886	rae:G148_0793
ko:K04096	rae:G148_0794
ko:K00262	rae:G148_0795
ko:K06950	rae:G148_0796
ko:K13766	rae:G148_0806
ko:K04485	rae:G148_0807
ko:K16091	rae:G148_0812
ko:K00809	rae:G148_0821
ko:K00384	rae:G148_0825
ko:K04755	rae:G148_0826
ko:K15342	rae:G148_0829
ko:K00239	rae:G148_0839
ko:K00240	rae:G148_0840
ko:K02346	rae:G148_0841
ko:K01937	rae:G148_0843
ko:K03217	rae:G148_0844
ko:K03470	rae:G148_0845
ko:K01887	rae:G148_0848
ko:K02909	rae:G148_0851
ko:K00800	rae:G148_0854
ko:K05523	rae:G148_0856
ko:K01491	rae:G148_0858
ko:K01810	rae:G148_0859
ko:K00600	rae:G148_0860
ko:K03565	rae:G148_0861
ko:K01991	rae:G148_0863
ko:K02473	rae:G148_0865
ko:K02474	rae:G148_0867
ko:K01953	rae:G148_0870
ko:K01953	rae:G148_0874
ko:K01790	rae:G148_0881
ko:K00973	rae:G148_0883
ko:K14441	rae:G148_0884
ko:K03744	rae:G148_0886
ko:K06872	rae:G148_0888
ko:K07071	rae:G148_0890
ko:K00748	rae:G148_0891
ko:K06973	rae:G148_0892
ko:K00330	rae:G148_0895
ko:K00331	rae:G148_0896
ko:K00332	rae:G148_0897
ko:K00333	rae:G148_0898
ko:K00334	rae:G148_0899
ko:K00337	rae:G148_0903
ko:K00338	rae:G148_0904
ko:K00339	rae:G148_0905
ko:K00340	rae:G148_0906
ko:K00341	rae:G148_0907
ko:K00342	rae:G148_0908
ko:K00343	rae:G148_0909
ko:K11065	rae:G148_0910
ko:K00281	rae:G148_0913
ko:K06158	rae:G148_0914
ko:K00428	rae:G148_0917
ko:K01911	rae:G148_0919
ko:K03439	rae:G148_0922
ko:K01873	rae:G148_0931
ko:K00812	rae:G148_0937
ko:K00979	rae:G148_0939
ko:K00432	rae:G148_0941
ko:K03086	rae:G148_0942
ko:K01783	rae:G148_0943
ko:K01881	rae:G148_0945
ko:K03322	rae:G148_0948
ko:K03687	rae:G148_0949
ko:K03686	rae:G148_0950
ko:K00382	rae:G148_0953
ko:K01555	rae:G148_0955
ko:K00457	rae:G148_0957
ko:K00912	rae:G148_0958
ko:K09807	rae:G148_0962
ko:K01866	rae:G148_0969
ko:K06999	rae:G148_0970
ko:K01588	rae:G148_0972
ko:K01589	rae:G148_0973
ko:K02065	rae:G148_0981
ko:K02066	rae:G148_0982
ko:K02860	rae:G148_0985
ko:K02959	rae:G148_0986
ko:K01698	rae:G148_0988
ko:K01776	rae:G148_0989
ko:K00604	rae:G148_0990
ko:K03654	rae:G148_0991
ko:K00024	rae:G148_0992
ko:K00962	rae:G148_0994
ko:K02956	rae:G148_0995
ko:K02337	rae:G148_0996
ko:K00928	rae:G148_1000
ko:K03841	rae:G148_1001
ko:K06885	rae:G148_1003
ko:K02536	rae:G148_1004
ko:K16363	rae:G148_1005
ko:K00677	rae:G148_1006
ko:K02356	rae:G148_1007
ko:K02536	rae:G148_1008
ko:K01902	rae:G148_1009
ko:K01256	rae:G148_1011
ko:K01142	rae:G148_1018
ko:K03642	rae:G148_1019
ko:K03545	rae:G148_1020
ko:K00850	rae:G148_1024
ko:K00134	rae:G148_1025
ko:K00162	rae:G148_1029
ko:K06959	rae:G148_1030
ko:K07456	rae:G148_1031
ko:K03544	rae:G148_1036
ko:K02503	rae:G148_1037
ko:K03624	rae:G148_1038
ko:K07560	rae:G148_1040
ko:K04773	rae:G148_1041
ko:K00950	rae:G148_1042
ko:K01284	rae:G148_1045
ko:K09793	rae:G148_1046
ko:K16053	rae:G148_1047
ko:K03474	rae:G148_1048
ko:K00826	rae:G148_1055
ko:K11066	rae:G148_1056
ko:K00937	rae:G148_1059
ko:K01524	rae:G148_1060
ko:K16089	rae:G148_1062
ko:K09808	rae:G148_1076
ko:K02834	rae:G148_1077
ko:K03088	rae:G148_1078
ko:K03644	rae:G148_1079
ko:K01736	rae:G148_1085
ko:K07735	rae:G148_1088
ko:K00275	rae:G148_1089
ko:K03530	rae:G148_1091
ko:K01579	rae:G148_1092
ko:K00945	rae:G148_1095
ko:K00796	rae:G148_1096
ko:K03630	rae:G148_1101
ko:K02343	rae:G148_1105
ko:K03437	rae:G148_1108
ko:K00549	rae:G148_1110
ko:K00641	rae:G148_2011
ko:K12524	rae:G148_2012
ko:K10764	rae:G148_2013
ko:K01903	rae:G148_2018
ko:K14652	rae:G148_2021
ko:K06180	rae:G148_2025
ko:K08301	rae:G148_2030
ko:K03530	rae:G148_2031
ko:K03575	rae:G148_2032
ko:K03771	rae:G148_2035
ko:K01872	rae:G148_2036
ko:K01714	rae:G148_1608
ko:K03284	rae:G148_1609
ko:K12410	rae:G148_1611
ko:K06213	rae:G148_1615
ko:K02528	rae:G148_1616
ko:K09811	rae:G148_1617
ko:K06153	rae:G148_1619
ko:K09761	rae:G148_1620
ko:K07056	rae:G148_1626
ko:K02313	rae:G148_1628
ko:K07107	rae:G148_1629
ko:K05995	rae:G148_1630
ko:K06182	rae:G148_1635
ko:K09903	rae:G148_1638
ko:K02838	rae:G148_1639
ko:K06199	rae:G148_1646
ko:K00384	rae:G148_1647
ko:K00783	rae:G148_1652
ko:K07058	rae:G148_1653
ko:K03088	rae:G148_1659
ko:K11537	rae:G148_1660
ko:K08999	rae:G148_1661
ko:K03522	rae:G148_1662
ko:K03521	rae:G148_1663
ko:K01627	rae:G148_1667
ko:K03701	rae:G148_1669
ko:K03760	rae:G148_1670
ko:K06925	rae:G148_1674
ko:K00259	rae:G148_1675
ko:K07478	rae:G148_1683
ko:K08998	rae:G148_1684
ko:K03282	rae:G148_1686
ko:K06997	rae:G148_1687
ko:K03327	rae:G148_1689
ko:K02836	rae:G148_1690
ko:K03975	rae:G148_1691
ko:K01358	rae:G148_1693
ko:K19222	rae:G148_1892
ko:K01155	rae:G148_1739
ko:K07017	rae:G148_1765
ko:K07126	rae:G148_1734
ko:K07017	rae:G148_1736
ko:K00380	rae:G148_1902
ko:K11720	rae:G148_0376
ko:K01243	rae:G148_1920
ko:K02428	rae:G148_1929
ko:K07658	rae:G148_1936
ko:K01916	rae:G148_1963
ko:K03711	rae:G148_1970
ko:K02014	rae:G148_1980
ko:K14228	rae:G148_2065
ko:K14228	rae:G148_2067
ko:K14223	rae:G148_2095
ko:K01985	rae:G148_2046
ko:K01985	rae:G148_2051
ko:K01985	rae:G148_2054
ko:K01980	rae:G148_2047
ko:K01980	rae:G148_2053
ko:K01980	rae:G148_2050
ko:K14218	rae:G148_2055
ko:K14218	rae:G148_2076
ko:K14218	rae:G148_2070
ko:K14227	rae:G148_2056
ko:K14227	rae:G148_2075
ko:K14227	rae:G148_2069
ko:K01977	rae:G148_2048
ko:K01977	rae:G148_2049
ko:K01977	rae:G148_2052
ko:K14234	rae:G148_2060
ko:K14234	rae:G148_2059
ko:K14225	rae:G148_2061
ko:K14236	rae:G148_2058
ko:K14237	rae:G148_2062
ko:K14237	rae:G148_2063
ko:K14237	rae:G148_2064
ko:K14225	rae:G148_2066
ko:K14226	rae:G148_2071
ko:K14224	rae:G148_2072
ko:K14224	rae:G148_2073
ko:K14222	rae:G148_2074
ko:K14231	rae:G148_2077
ko:K14230	rae:G148_2082
ko:K14230	rae:G148_2089
ko:K14233	rae:G148_2079
ko:K14233	rae:G148_2088
ko:K14232	rae:G148_2080
ko:K14219	rae:G148_2090
ko:K14219	rae:G148_2092
ko:K14228	rae:G148_2084
ko:K14218	rae:G148_2091
ko:K00058	rae:G148_2016
ko:K00054	rae:G148_2020
ko:K00845	rae:G148_2037
ko:K03709	rae:G148_1610
ko:K01409	rae:G148_1621
ko:K03718	rae:G148_1623
ko:K01104	rae:G148_1627
ko:K03177	rae:G148_1637
ko:K02014	rae:G148_1655
ko:K04517	rae:G148_1677
ko:K03499	rae:G148_1679
ko:K07126	rae:G148_1780
ko:K00652	rae:G148_1798
ko:K00548	rae:G148_1801
ko:K00548	rae:G148_1802
ko:K05595	rae:G148_1809
ko:K07114	rae:G148_1812
ko:K07114	rae:G148_1813
ko:K03294	rae:G148_1840
ko:K01619	rae:G148_1846
ko:K01077	rae:G148_1852
ko:K01278	rae:G148_1867
ko:K01480	rae:G148_1884
ko:K01585	rae:G148_1886
ko:K00949	rae:G148_1887
ko:K14235	rae:G148_2057
ko:K14233	rae:G148_2093
ko:K14228	rae:G148_2094
ko:K14220	rae:G148_2068
ko:K14230	rae:G148_2078
