ko:K07062	xcn:J169_04495
ko:K07220	xcn:J169_01861
ko:K03306	xcn:J169_01862
ko:K02622	xcn:J169_01865
ko:K01937	xcn:J169_01867
ko:K01627	xcn:J169_01868
ko:K01689	xcn:J169_01870
ko:K05589	xcn:J169_01871
ko:K00991	xcn:J169_01872
ko:K01770	xcn:J169_01873
ko:K06176	xcn:J169_01874
ko:K03787	xcn:J169_01876
ko:K00573	xcn:J169_01877
ko:K06194	xcn:J169_01879
ko:K07574	xcn:J169_01882
ko:K02427	xcn:J169_01883
ko:K03798	xcn:J169_01884
ko:K00796	xcn:J169_01885
ko:K00791	xcn:J169_01886
ko:K03666	xcn:J169_01887
ko:K03665	xcn:J169_01888
ko:K03743	xcn:J169_01889
ko:K03688	xcn:J169_01890
ko:K01356	xcn:J169_01891
ko:K03565	xcn:J169_01893
ko:K01872	xcn:J169_01894
ko:K03563	xcn:J169_01895
ko:K03406	xcn:J169_01897
ko:K06911	xcn:J169_01898
ko:K00941	xcn:J169_01904
ko:K07175	xcn:J169_01907
ko:K03564	xcn:J169_01908
ko:K03567	xcn:J169_01910
ko:K01714	xcn:J169_01911
ko:K05524	xcn:J169_01913
ko:K00883	xcn:J169_01914
ko:K01684	xcn:J169_01916
ko:K03110	xcn:J169_02730
ko:K03575	xcn:J169_02731
ko:K05984	xcn:J169_02736
ko:K03098	xcn:J169_02739
ko:K01662	xcn:J169_02743
ko:K00720	xcn:J169_02746
ko:K00648	xcn:J169_02749
ko:K09705	xcn:J169_02751
ko:K13660	xcn:J169_02752
ko:K13659	xcn:J169_02754
ko:K13657	xcn:J169_02757
ko:K13662	xcn:J169_02760
ko:K01991	xcn:J169_02763
ko:K04764	xcn:J169_02766
ko:K01890	xcn:J169_02767
ko:K01889	xcn:J169_02768
ko:K02887	xcn:J169_02769
ko:K02916	xcn:J169_02770
ko:K02520	xcn:J169_02772
ko:K01868	xcn:J169_02773
ko:K16211	xcn:J169_02776
ko:K01187	xcn:J169_02778
ko:K02428	xcn:J169_03582
ko:K01262	xcn:J169_03588
ko:K09895	xcn:J169_03589
ko:K09892	xcn:J169_03590
ko:K09888	xcn:J169_03591
ko:K01934	xcn:J169_03593
ko:K01807	xcn:J169_03595
ko:K09005	xcn:J169_03596
ko:K00788	xcn:J169_03599
ko:K01845	xcn:J169_03602
ko:K03556	xcn:J169_03603
ko:K00817	xcn:J169_03605
ko:K00274	xcn:J169_03608
ko:K02014	xcn:J169_03609
ko:K10716	xcn:J169_03612
ko:K07157	xcn:J169_03617
ko:K02558	xcn:J169_03618
ko:K00939	xcn:J169_03619
ko:K15987	xcn:J169_03622
ko:K01507	xcn:J169_03624
ko:K02014	xcn:J169_03626
ko:K07506	xcn:J169_03627
ko:K03147	xcn:J169_03629
ko:K02014	xcn:J169_03631
ko:K00681	xcn:J169_03633
ko:K00053	xcn:J169_03634
ko:K01652	xcn:J169_03635
ko:K00631	xcn:J169_04447
ko:K02529	xcn:J169_04449
ko:K14266	xcn:J169_04452
ko:K01591	xcn:J169_04453
ko:K09915	xcn:J169_04456
ko:K03656	xcn:J169_04459
ko:K03670	xcn:J169_04462
ko:K10563	xcn:J169_04464
ko:K05782	xcn:J169_04471
ko:K08151	xcn:J169_04474
ko:K01792	xcn:J169_04475
ko:K09858	xcn:J169_04477
ko:K07090	xcn:J169_04478
ko:K01495	xcn:J169_04482
ko:K06075	xcn:J169_04483
ko:K03761	xcn:J169_04488
ko:K07559	xcn:J169_04489
ko:K06131	xcn:J169_04490
ko:K06177	xcn:J169_04501
ko:K03669	xcn:J169_00736
ko:K06999	xcn:J169_00737
ko:K08082	xcn:J169_00738
ko:K08083	xcn:J169_00739
ko:K01749	xcn:J169_00740
ko:K07283	xcn:J169_00741
ko:K03098	xcn:J169_00743
ko:K01322	xcn:J169_00745
ko:K01354	xcn:J169_00748
ko:K09790	xcn:J169_00749
ko:K01778	xcn:J169_00751
ko:K09921	xcn:J169_00752
ko:K03733	xcn:J169_00753
ko:K01419	xcn:J169_00754
ko:K03667	xcn:J169_00755
ko:K01485	xcn:J169_00756
ko:K02348	xcn:J169_00757
ko:K03183	xcn:J169_00760
ko:K00121	xcn:J169_00769
ko:K00856	xcn:J169_00772
ko:K03569	xcn:J169_00773
ko:K03570	xcn:J169_00774
ko:K03571	xcn:J169_00775
ko:K05515	xcn:J169_00776
ko:K05837	xcn:J169_00777
ko:K08305	xcn:J169_00779
ko:K03642	xcn:J169_00780
ko:K07258	xcn:J169_00781
ko:K09158	xcn:J169_00783
ko:K03801	xcn:J169_00784
ko:K03644	xcn:J169_00785
ko:K03797	xcn:J169_00786
ko:K07090	xcn:J169_00787
ko:K00033	xcn:J169_00797
ko:K04065	xcn:J169_00799
ko:K00950	xcn:J169_00803
ko:K03793	xcn:J169_00804
ko:K02014	xcn:J169_00807
ko:K00472	xcn:J169_00808
ko:K02452	xcn:J169_00811
ko:K02453	xcn:J169_00812
ko:K02454	xcn:J169_00813
ko:K02455	xcn:J169_00814
ko:K02456	xcn:J169_00815
ko:K02457	xcn:J169_00816
ko:K02458	xcn:J169_00817
ko:K02459	xcn:J169_00818
ko:K02460	xcn:J169_00819
ko:K02461	xcn:J169_00820
ko:K02462	xcn:J169_00821
ko:K02463	xcn:J169_00822
ko:K01190	xcn:J169_00825
ko:K01205	xcn:J169_00826
ko:K03710	xcn:J169_00829
ko:K02529	xcn:J169_00831
ko:K00820	xcn:J169_00832
ko:K01443	xcn:J169_00833
ko:K02014	xcn:J169_00834
ko:K00974	xcn:J169_00835
ko:K02168	xcn:J169_00838
ko:K03673	xcn:J169_00840
ko:K03673	xcn:J169_00841
ko:K08289	xcn:J169_01374
ko:K10805	xcn:J169_01381
ko:K07107	xcn:J169_01384
ko:K03701	xcn:J169_01385
ko:K02888	xcn:J169_01386
ko:K02899	xcn:J169_01387
ko:K03979	xcn:J169_01388
ko:K02968	xcn:J169_01389
ko:K03980	xcn:J169_01390
ko:K11753	xcn:J169_01391
ko:K01870	xcn:J169_01392
ko:K03101	xcn:J169_01393
ko:K03527	xcn:J169_01394
ko:K02297	xcn:J169_01396
ko:K02298	xcn:J169_01397
ko:K02299	xcn:J169_01398
ko:K02300	xcn:J169_01399
ko:K04485	xcn:J169_01401
ko:K04079	xcn:J169_01405
ko:K17763	xcn:J169_01407
ko:K17762	xcn:J169_01408
ko:K17752	xcn:J169_01409
ko:K01198	xcn:J169_01413
ko:K01209	xcn:J169_01413
ko:K02014	xcn:J169_01414
ko:K03672	xcn:J169_01415
ko:K03412	xcn:J169_01418
ko:K00575	xcn:J169_01419
ko:K01209	xcn:J169_01424
ko:K01785	xcn:J169_01425
ko:K19168	xcn:J169_02237
ko:K09808	xcn:J169_02238
ko:K09810	xcn:J169_02239
ko:K02238	xcn:J169_02241
ko:K03561	xcn:J169_02242
ko:K03559	xcn:J169_02243
ko:K11085	xcn:J169_02244
ko:K00912	xcn:J169_02245
ko:K00979	xcn:J169_02246
ko:K01104	xcn:J169_02247
ko:K03703	xcn:J169_02249
ko:K00995	xcn:J169_02250
ko:K07483	xcn:J169_02259
ko:K02474	xcn:J169_02262
ko:K07007	xcn:J169_02263
ko:K03772	xcn:J169_02264
ko:K07146	xcn:J169_02266
ko:K08300	xcn:J169_02268
ko:K06179	xcn:J169_02269
ko:K07238	xcn:J169_02271
ko:K03832	xcn:J169_02272
ko:K01724	xcn:J169_02273
ko:K07400	xcn:J169_02274
ko:K07483	xcn:J169_02290
ko:K04063	xcn:J169_03098
ko:K00609	xcn:J169_03099
ko:K07447	xcn:J169_03100
ko:K07735	xcn:J169_03101
ko:K01246	xcn:J169_03102
ko:K02670	xcn:J169_03106
ko:K02669	xcn:J169_03107
ko:K06997	xcn:J169_03108
ko:K00286	xcn:J169_03109
ko:K05520	xcn:J169_03115
ko:K07117	xcn:J169_03116
ko:K09014	xcn:J169_03118
ko:K09013	xcn:J169_03119
ko:K09015	xcn:J169_03120
ko:K11717	xcn:J169_03121
ko:K16090	xcn:J169_03124
ko:K07126	xcn:J169_03126
ko:K09939	xcn:J169_03127
ko:K03734	xcn:J169_03130
ko:K00380	xcn:J169_03131
ko:K09975	xcn:J169_03133
ko:K02237	xcn:J169_03134
ko:K07102	xcn:J169_03137
ko:K10763	xcn:J169_03139
ko:K09938	xcn:J169_03141
ko:K01933	xcn:J169_03142
ko:K11175	xcn:J169_03144
ko:K00790	xcn:J169_03148
ko:K01265	xcn:J169_03958
ko:K03086	xcn:J169_03963
ko:K07560	xcn:J169_03964
ko:K02517	xcn:J169_03965
ko:K03823	xcn:J169_03966
ko:K01497	xcn:J169_03967
ko:K09167	xcn:J169_03968
ko:K08981	xcn:J169_03969
ko:K02847	xcn:J169_03972
ko:K03500	xcn:J169_03974
ko:K00604	xcn:J169_03975
ko:K01462	xcn:J169_03976
ko:K04096	xcn:J169_03978
ko:K03747	xcn:J169_03979
ko:K03168	xcn:J169_03982
ko:K07566	xcn:J169_03983
ko:K08081	xcn:J169_03986
ko:K04773	xcn:J169_03988
ko:K03327	xcn:J169_03989
ko:K04066	xcn:J169_03993
ko:K03885	xcn:J169_03997
ko:K03089	xcn:J169_03999
ko:K03648	xcn:J169_04000
ko:K09811	xcn:J169_04002
ko:K09812	xcn:J169_04003
ko:K03732	xcn:J169_04004
ko:K03671	xcn:J169_04005
ko:K03628	xcn:J169_04006
ko:K00906	xcn:J169_04007
ko:K07154	xcn:J169_00299
ko:K04090	xcn:J169_00301
ko:K07088	xcn:J169_00303
ko:K03496	xcn:J169_00304
ko:K00655	xcn:J169_00309
ko:K07019	xcn:J169_00310
ko:K06910	xcn:J169_00313
ko:K06153	xcn:J169_00316
ko:K01915	xcn:J169_00317
ko:K04751	xcn:J169_00318
ko:K03320	xcn:J169_00319
ko:K07708	xcn:J169_00320
ko:K07712	xcn:J169_00321
ko:K04565	xcn:J169_00322
ko:K04565	xcn:J169_00323
ko:K00626	xcn:J169_00326
ko:K02498	xcn:J169_00327
ko:K02496	xcn:J169_00328
ko:K01719	xcn:J169_00329
ko:K07270	xcn:J169_00330
ko:K03071	xcn:J169_00334
ko:K00057	xcn:J169_00335
ko:K00156	xcn:J169_00337
ko:K03216	xcn:J169_00343
ko:K06940	xcn:J169_00349
ko:K00324	xcn:J169_01040
ko:K03088	xcn:J169_01044
ko:K00324	xcn:J169_01045
ko:K00325	xcn:J169_01046
ko:K00826	xcn:J169_01049
ko:K14645	xcn:J169_01050
ko:K14645	xcn:J169_01051
ko:K14645	xcn:J169_01052
ko:K03976	xcn:J169_01053
ko:K01424	xcn:J169_01054
ko:K03809	xcn:J169_01058
ko:K07058	xcn:J169_01059
ko:K01512	xcn:J169_01061
ko:K03638	xcn:J169_01064
ko:K02835	xcn:J169_01066
ko:K02492	xcn:J169_01067
ko:K02494	xcn:J169_01069
ko:K00919	xcn:J169_01070
ko:K00948	xcn:J169_01072
ko:K02897	xcn:J169_01073
ko:K01056	xcn:J169_01074
ko:K06942	xcn:J169_01075
ko:K02358	xcn:J169_01079
ko:K03073	xcn:J169_01081
ko:K02601	xcn:J169_01082
ko:K02867	xcn:J169_01083
ko:K02863	xcn:J169_01084
ko:K02864	xcn:J169_01085
ko:K02935	xcn:J169_01086
ko:K03043	xcn:J169_01088
ko:K03046	xcn:J169_01089
ko:K02950	xcn:J169_01090
ko:K02992	xcn:J169_01091
ko:K02355	xcn:J169_01092
ko:K02358	xcn:J169_01093
ko:K02946	xcn:J169_01094
ko:K02906	xcn:J169_01095
ko:K01631	xcn:J169_01917
ko:K05970	xcn:J169_01923
ko:K01811	xcn:J169_01925
ko:K15923	xcn:J169_01926
ko:K00854	xcn:J169_01927
ko:K01805	xcn:J169_01928
ko:K01448	xcn:J169_01932
ko:K09007	xcn:J169_01933
ko:K00970	xcn:J169_01937
ko:K00950	xcn:J169_01938
ko:K00606	xcn:J169_01939
ko:K01918	xcn:J169_01940
ko:K01579	xcn:J169_01941
ko:K01810	xcn:J169_01942
ko:K07093	xcn:J169_01945
ko:K05349	xcn:J169_01946
ko:K03307	xcn:J169_01947
ko:K01218	xcn:J169_01949
ko:K15012	xcn:J169_01950
ko:K15011	xcn:J169_01951
ko:K03526	xcn:J169_01952
ko:K01779	xcn:J169_01955
ko:K00075	xcn:J169_01957
ko:K00254	xcn:J169_01958
ko:K00128	xcn:J169_01961
ko:K11936	xcn:J169_01964
ko:K11931	xcn:J169_01965
ko:K07326	xcn:J169_01967
ko:K15125	xcn:J169_01968
ko:K01187	xcn:J169_02782
ko:K03201	xcn:J169_02787
ko:K03201	xcn:J169_02791
ko:K03194	xcn:J169_02796
ko:K03196	xcn:J169_02797
ko:K03204	xcn:J169_02799
ko:K03203	xcn:J169_02800
ko:K03205	xcn:J169_02802
ko:K03702	xcn:J169_02805
ko:K07483	xcn:J169_02814
ko:K11258	xcn:J169_03636
ko:K01754	xcn:J169_03637
ko:K01649	xcn:J169_03638
ko:K00052	xcn:J169_03639
ko:K01704	xcn:J169_03640
ko:K01703	xcn:J169_03641
ko:K00573	xcn:J169_03645
ko:K12340	xcn:J169_03646
ko:K02527	xcn:J169_03647
ko:K02517	xcn:J169_03648
ko:K00029	xcn:J169_03653
ko:K11103	xcn:J169_03654
ko:K07221	xcn:J169_03655
ko:K03288	xcn:J169_03657
ko:K06893	xcn:J169_03661
ko:K02012	xcn:J169_03665
ko:K07649	xcn:J169_03666
ko:K07774	xcn:J169_03667
ko:K07221	xcn:J169_03668
ko:K03300	xcn:J169_03669
ko:K00023	xcn:J169_03671
ko:K16211	xcn:J169_03673
ko:K05341	xcn:J169_03675
ko:K06949	xcn:J169_03678
ko:K14260	xcn:J169_03679
ko:K16088	xcn:J169_03682
ko:K07390	xcn:J169_03684
ko:K07483	xcn:J169_04503
ko:K09958	xcn:J169_04505
ko:K01941	xcn:J169_04507
ko:K09958	xcn:J169_04510
ko:K03581	xcn:J169_04515
ko:K03582	xcn:J169_04518
ko:K03583	xcn:J169_04519
ko:K02065	xcn:J169_04521
ko:K02066	xcn:J169_04522
ko:K02067	xcn:J169_04523
ko:K07323	xcn:J169_04524
ko:K07122	xcn:J169_04525
ko:K04754	xcn:J169_04526
ko:K00432	xcn:J169_04528
ko:K09760	xcn:J169_04530
ko:K00799	xcn:J169_04534
ko:K03294	xcn:J169_04536
ko:K02647	xcn:J169_04540
ko:K00865	xcn:J169_04541
ko:K01273	xcn:J169_04543
ko:K06969	xcn:J169_04545
ko:K05794	xcn:J169_04547
ko:K01126	xcn:J169_04549
ko:K02014	xcn:J169_04550
ko:K09474	xcn:J169_04551
ko:K03650	xcn:J169_04552
ko:K03217	xcn:J169_04554
ko:K03536	xcn:J169_04555
ko:K03724	xcn:J169_01480
ko:K07577	xcn:J169_01483
ko:K00626	xcn:J169_01489
ko:K00263	xcn:J169_01491
ko:K07043	xcn:J169_01493
ko:K04046	xcn:J169_01499
ko:K03775	xcn:J169_01500
ko:K06193	xcn:J169_01502
ko:K10680	xcn:J169_01503
ko:K01975	xcn:J169_01507
ko:K14205	xcn:J169_01511
ko:K00574	xcn:J169_01515
ko:K00574	xcn:J169_01518
ko:K09701	xcn:J169_01519
ko:K03088	xcn:J169_01523
ko:K03616	xcn:J169_01526
ko:K01874	xcn:J169_01528
ko:K03088	xcn:J169_02349
ko:K07165	xcn:J169_02350
ko:K11003	xcn:J169_02360
ko:K11004	xcn:J169_02361
ko:K07733	xcn:J169_02362
ko:K12055	xcn:J169_02363
ko:K03111	xcn:J169_02370
ko:K03169	xcn:J169_02372
ko:K07483	xcn:J169_02386
ko:K11939	xcn:J169_02388
ko:K00355	xcn:J169_02391
ko:K00799	xcn:J169_02392
ko:K03449	xcn:J169_02396
ko:K12262	xcn:J169_03217
ko:K01752	xcn:J169_03220
ko:K00003	xcn:J169_03222
ko:K01739	xcn:J169_03223
ko:K00641	xcn:J169_03224
ko:K02837	xcn:J169_03227
ko:K11068	xcn:J169_03228
ko:K07290	xcn:J169_03229
ko:K03814	xcn:J169_03232
ko:K04083	xcn:J169_03233
ko:K02014	xcn:J169_03235
ko:K06445	xcn:J169_03239
ko:K08987	xcn:J169_03240
ko:K03301	xcn:J169_03241
ko:K01467	xcn:J169_03242
ko:K02437	xcn:J169_03244
ko:K00605	xcn:J169_03245
ko:K07340	xcn:J169_03246
ko:K09771	xcn:J169_03248
ko:K04765	xcn:J169_03249
ko:K01082	xcn:J169_03250
ko:K08312	xcn:J169_03251
ko:K00833	xcn:J169_03252
ko:K09761	xcn:J169_03253
ko:K00845	xcn:J169_03254
ko:K02014	xcn:J169_03255
ko:K01206	xcn:J169_03256
ko:K02275	xcn:J169_04063
ko:K13821	xcn:J169_04065
ko:K01866	xcn:J169_04073
ko:K09001	xcn:J169_04075
ko:K08218	xcn:J169_04077
ko:K01142	xcn:J169_04078
ko:K00762	xcn:J169_04079
ko:K03496	xcn:J169_04081
ko:K03497	xcn:J169_04082
ko:K08679	xcn:J169_04084
ko:K00721	xcn:J169_04085
ko:K15778	xcn:J169_04088
ko:K13038	xcn:J169_04090
ko:K03630	xcn:J169_04091
ko:K01887	xcn:J169_04092
ko:K02364	xcn:J169_04098
ko:K01585	xcn:J169_04099
ko:K00797	xcn:J169_04100
ko:K01197	xcn:J169_04104
ko:K04751	xcn:J169_04105
ko:K09806	xcn:J169_04106
ko:K07391	xcn:J169_04107
ko:K07127	xcn:J169_00410
ko:K13485	xcn:J169_00412
ko:K02083	xcn:J169_00416
ko:K00681	xcn:J169_00420
ko:K02433	xcn:J169_00421
ko:K01488	xcn:J169_00423
ko:K06901	xcn:J169_00424
ko:K03424	xcn:J169_00428
ko:K08224	xcn:J169_00432
ko:K01433	xcn:J169_00439
ko:K07664	xcn:J169_00440
ko:K07642	xcn:J169_00441
ko:K00297	xcn:J169_00446
ko:K09765	xcn:J169_00447
ko:K03576	xcn:J169_00448
ko:K00299	xcn:J169_00449
ko:K00549	xcn:J169_00451
ko:K02526	xcn:J169_00452
ko:K07483	xcn:J169_00460
ko:K01687	xcn:J169_00462
ko:K07483	xcn:J169_04111
ko:K07459	xcn:J169_04118
ko:K02621	xcn:J169_01584
ko:K03543	xcn:J169_01588
ko:K03446	xcn:J169_01589
ko:K05349	xcn:J169_01591
ko:K03305	xcn:J169_01593
ko:K06975	xcn:J169_01596
ko:K15974	xcn:J169_01598
ko:K01284	xcn:J169_01599
ko:K00432	xcn:J169_01600
ko:K00528	xcn:J169_01601
ko:K06147	xcn:J169_01602
ko:K01676	xcn:J169_01603
ko:K00799	xcn:J169_01604
ko:K01673	xcn:J169_01605
ko:K01058	xcn:J169_01606
ko:K09793	xcn:J169_01607
ko:K03704	xcn:J169_01608
ko:K06077	xcn:J169_01609
ko:K03424	xcn:J169_01612
ko:K00252	xcn:J169_01615
ko:K00799	xcn:J169_01617
ko:K03220	xcn:J169_00518
ko:K03227	xcn:J169_00520
ko:K03226	xcn:J169_00521
ko:K03225	xcn:J169_00522
ko:K18381	xcn:J169_00523
ko:K03230	xcn:J169_00524
ko:K03229	xcn:J169_00525
ko:K18373	xcn:J169_00526
ko:K18374	xcn:J169_00527
ko:K03222	xcn:J169_00528
ko:K03223	xcn:J169_00530
ko:K03224	xcn:J169_00531
ko:K03228	xcn:J169_00533
ko:K03219	xcn:J169_00534
ko:K01002	xcn:J169_00540
ko:K09781	xcn:J169_00542
ko:K00703	xcn:J169_00544
ko:K00700	xcn:J169_00545
ko:K01236	xcn:J169_00546
ko:K00705	xcn:J169_00547
ko:K06044	xcn:J169_00548
ko:K00059	xcn:J169_00552
ko:K00627	xcn:J169_00563
ko:K00162	xcn:J169_00565
ko:K00161	xcn:J169_00566
ko:K07004	xcn:J169_00567
ko:K00453	xcn:J169_00568
ko:K03305	xcn:J169_00569
ko:K02926	xcn:J169_01096
ko:K02892	xcn:J169_01097
ko:K02886	xcn:J169_01098
ko:K02965	xcn:J169_01099
ko:K02890	xcn:J169_01100
ko:K02982	xcn:J169_01101
ko:K02878	xcn:J169_01102
ko:K02904	xcn:J169_01103
ko:K02961	xcn:J169_01104
ko:K02874	xcn:J169_01105
ko:K02895	xcn:J169_01106
ko:K02931	xcn:J169_01107
ko:K02954	xcn:J169_01108
ko:K02994	xcn:J169_01109
ko:K02933	xcn:J169_01110
ko:K02881	xcn:J169_01111
ko:K02988	xcn:J169_01112
ko:K02907	xcn:J169_01113
ko:K02876	xcn:J169_01114
ko:K03076	xcn:J169_01115
ko:K02952	xcn:J169_01116
ko:K02948	xcn:J169_01117
ko:K02986	xcn:J169_01118
ko:K03040	xcn:J169_01119
ko:K02879	xcn:J169_01120
ko:K03611	xcn:J169_01121
ko:K01626	xcn:J169_01123
ko:K01426	xcn:J169_01125
ko:K06207	xcn:J169_01127
ko:K03768	xcn:J169_01128
ko:K00024	xcn:J169_01129
ko:K00799	xcn:J169_01130
ko:K00219	xcn:J169_01132
ko:K03286	xcn:J169_01134
ko:K06178	xcn:J169_01136
ko:K00639	xcn:J169_01138
ko:K02048	xcn:J169_01139
ko:K02046	xcn:J169_01140
ko:K02047	xcn:J169_01141
ko:K02045	xcn:J169_01142
ko:K00060	xcn:J169_01144
ko:K01114	xcn:J169_01146
ko:K11754	xcn:J169_01150
ko:K12524	xcn:J169_01973
ko:K00872	xcn:J169_01974
ko:K01733	xcn:J169_01976
ko:K01892	xcn:J169_01979
ko:K00765	xcn:J169_01981
ko:K00013	xcn:J169_01982
ko:K00817	xcn:J169_01983
ko:K01089	xcn:J169_01984
ko:K02501	xcn:J169_01985
ko:K01814	xcn:J169_01986
ko:K02500	xcn:J169_01987
ko:K11755	xcn:J169_01988
ko:K09880	xcn:J169_01991
ko:K08967	xcn:J169_01992
ko:K08964	xcn:J169_01993
ko:K03294	xcn:J169_01994
ko:K03294	xcn:J169_01995
ko:K00058	xcn:J169_01997
ko:K02356	xcn:J169_02002
ko:K01640	xcn:J169_02004
ko:K13766	xcn:J169_02006
ko:K04758	xcn:J169_02007
ko:K04759	xcn:J169_02008
ko:K05825	xcn:J169_02011
ko:K00215	xcn:J169_02013
ko:K01956	xcn:J169_02014
ko:K01955	xcn:J169_02016
ko:K03624	xcn:J169_02017
ko:K07462	xcn:J169_02019
ko:K07483	xcn:J169_02844
ko:K02655	xcn:J169_02845
ko:K02674	xcn:J169_02846
ko:K02672	xcn:J169_02847
ko:K08084	xcn:J169_02848
ko:K08082	xcn:J169_02849
ko:K06966	xcn:J169_02850
ko:K07390	xcn:J169_02854
ko:K04564	xcn:J169_02855
ko:K01589	xcn:J169_02856
ko:K01588	xcn:J169_02857
ko:K00767	xcn:J169_02859
ko:K00962	xcn:J169_02861
ko:K02956	xcn:J169_02862
ko:K03177	xcn:J169_02863
ko:K02834	xcn:J169_02864
ko:K02519	xcn:J169_02865
ko:K02600	xcn:J169_02866
ko:K09748	xcn:J169_02867
ko:K00343	xcn:J169_02869
ko:K00342	xcn:J169_02870
ko:K00341	xcn:J169_02871
ko:K00340	xcn:J169_02872
ko:K00339	xcn:J169_02873
ko:K00338	xcn:J169_02874
ko:K00337	xcn:J169_02875
ko:K00336	xcn:J169_02876
ko:K00335	xcn:J169_02877
ko:K00334	xcn:J169_02878
ko:K00333	xcn:J169_02879
ko:K00332	xcn:J169_02880
ko:K00331	xcn:J169_02881
ko:K00330	xcn:J169_02882
ko:K03075	xcn:J169_02884
ko:K01803	xcn:J169_02885
ko:K07124	xcn:J169_02886
ko:K06886	xcn:J169_02887
ko:K18195	xcn:J169_03689
ko:K01462	xcn:J169_03693
ko:K00537	xcn:J169_03694
ko:K00694	xcn:J169_03700
ko:K00763	xcn:J169_03704
ko:K02014	xcn:J169_03712
ko:K03811	xcn:J169_03713
ko:K02453	xcn:J169_03716
ko:K02463	xcn:J169_03717
ko:K02462	xcn:J169_03718
ko:K02461	xcn:J169_03719
ko:K02460	xcn:J169_03720
ko:K02459	xcn:J169_03721
ko:K02458	xcn:J169_03722
ko:K02457	xcn:J169_03723
ko:K02456	xcn:J169_03724
ko:K02455	xcn:J169_03725
ko:K02454	xcn:J169_03726
ko:K14645	xcn:J169_03727
ko:K14645	xcn:J169_03729
ko:K01952	xcn:J169_03731
ko:K03981	xcn:J169_03732
ko:K04763	xcn:J169_03733
ko:K11720	xcn:J169_03736
ko:K07091	xcn:J169_03737
ko:K01255	xcn:J169_03738
ko:K02339	xcn:J169_03740
ko:K01873	xcn:J169_03741
ko:K02914	xcn:J169_04556
ko:K03496	xcn:J169_00016
ko:K18841	xcn:J169_00024
ko:K18842	xcn:J169_00025
ko:K01953	xcn:J169_01618
ko:K01669	xcn:J169_01621
ko:K01951	xcn:J169_02456
ko:K00088	xcn:J169_02457
ko:K01491	xcn:J169_02458
ko:K09948	xcn:J169_02459
ko:K11747	xcn:J169_02460
ko:K00963	xcn:J169_02461
ko:K05788	xcn:J169_02466
ko:K02945	xcn:J169_02467
ko:K00945	xcn:J169_02468
ko:K02919	xcn:J169_02469
ko:K12251	xcn:J169_02473
ko:K03823	xcn:J169_02474
ko:K02026	xcn:J169_02478
ko:K02025	xcn:J169_02479
ko:K02027	xcn:J169_02480
ko:K02529	xcn:J169_02483
ko:K05527	xcn:J169_02484
ko:K09780	xcn:J169_02485
ko:K05896	xcn:J169_02486
ko:K06024	xcn:J169_02487
ko:K06178	xcn:J169_02488
ko:K14287	xcn:J169_02492
ko:K02193	xcn:J169_02493
ko:K02194	xcn:J169_02494
ko:K02195	xcn:J169_02495
ko:K02196	xcn:J169_02496
ko:K02197	xcn:J169_02497
ko:K02198	xcn:J169_02498
ko:K02199	xcn:J169_02499
