ko:K18929	ahy:AHML_13595
ko:K02552	ahy:AHML_02725
ko:K02798	ahy:AHML_02820
ko:K02799	ahy:AHML_02820
ko:K02800	ahy:AHML_02820
ko:K01119	ahy:AHML_02860
ko:K01262	ahy:AHML_02880
ko:K06970	ahy:AHML_06910
ko:K02035	ahy:AHML_07085
ko:K02033	ahy:AHML_07090
ko:K01639	ahy:AHML_07145
ko:K01788	ahy:AHML_07155
ko:K00882	ahy:AHML_11195
ko:K02793	ahy:AHML_11220
ko:K02795	ahy:AHML_11230
ko:K00568	ahy:AHML_11275
ko:K00852	ahy:AHML_11370
ko:K10439	ahy:AHML_11375
ko:K03748	ahy:AHML_02650
ko:K02549	ahy:AHML_02705
ko:K08680	ahy:AHML_02715
ko:K02454	ahy:AHML_02915
ko:K02463	ahy:AHML_02965
ko:K01082	ahy:AHML_02990
ko:K03406	ahy:AHML_03130
ko:K03307	ahy:AHML_07165
ko:K01186	ahy:AHML_07175
ko:K04477	ahy:AHML_07295
ko:K00845	ahy:AHML_07330
ko:K07660	ahy:AHML_07340
ko:K12532	ahy:AHML_07350
ko:K12530	ahy:AHML_07355
ko:K02619	ahy:AHML_11665
ko:K00059	ahy:AHML_11680
ko:K06179	ahy:AHML_11740
ko:K03593	ahy:AHML_11765
ko:K00799	ahy:AHML_11775
ko:K03406	ahy:AHML_11785
ko:K00799	ahy:AHML_11795
ko:K15986	ahy:AHML_16125
ko:K09471	ahy:AHML_16175
ko:K00974	ahy:AHML_20095
ko:K02450	ahy:AHML_20105
ko:K03286	ahy:AHML_20145
ko:K00564	ahy:AHML_20190
ko:K02055	ahy:AHML_20225
ko:K02052	ahy:AHML_20230
ko:K01226	ahy:AHML_20270
ko:K03406	ahy:AHML_13445
ko:K04763	ahy:AHML_17510
ko:K08357	ahy:AHML_17565
ko:K08359	ahy:AHML_17570
ko:K08358	ahy:AHML_17575
ko:K13040	ahy:AHML_17580
ko:K13041	ahy:AHML_17585
ko:K01679	ahy:AHML_17610
ko:K06039	ahy:AHML_17620
ko:K03177	ahy:AHML_17650
ko:K02427	ahy:AHML_17700
ko:K01478	ahy:AHML_21565
ko:K03406	ahy:AHML_21585
ko:K10541	ahy:AHML_21590
ko:K10540	ahy:AHML_21600
ko:K01784	ahy:AHML_21615
ko:K01785	ahy:AHML_21630
ko:K07167	ahy:AHML_21645
ko:K03406	ahy:AHML_21720
ko:K08997	ahy:AHML_21740
ko:K01525	ahy:AHML_04755
ko:K07729	ahy:AHML_04865
ko:K02014	ahy:AHML_09135
ko:K03548	ahy:AHML_09190
ko:K02004	ahy:AHML_13575
ko:K01759	ahy:AHML_13620
ko:K03830	ahy:AHML_13635
ko:K07304	ahy:AHML_13650
ko:K16950	ahy:AHML_13685
ko:K16951	ahy:AHML_13690
ko:K00385	ahy:AHML_13695
ko:K03406	ahy:AHML_13810
ko:K02033	ahy:AHML_17750
ko:K02035	ahy:AHML_17755
ko:K00058	ahy:AHML_17925
ko:K00219	ahy:AHML_17940
ko:K01424	ahy:AHML_17970
ko:K03406	ahy:AHML_17980
ko:K03286	ahy:AHML_21905
ko:K02843	ahy:AHML_22035
ko:K01243	ahy:AHML_05105
ko:K01619	ahy:AHML_05140
ko:K07227	ahy:AHML_05175
ko:K10914	ahy:AHML_05245
ko:K06603	ahy:AHML_09370
ko:K07257	ahy:AHML_09425
ko:K06858	ahy:AHML_09445
ko:K01243	ahy:AHML_09455
ko:K08676	ahy:AHML_03160
ko:K02030	ahy:AHML_03245
ko:K03406	ahy:AHML_03270
ko:K07052	ahy:AHML_03275
ko:K03299	ahy:AHML_03295
ko:K03317	ahy:AHML_03320
ko:K00567	ahy:AHML_03325
ko:K02010	ahy:AHML_03350
ko:K10000	ahy:AHML_03365
ko:K09998	ahy:AHML_03380
ko:K02414	ahy:AHML_07425
ko:K02193	ahy:AHML_07540
ko:K02200	ahy:AHML_07575
ko:K00799	ahy:AHML_07620
ko:K02806	ahy:AHML_07670
ko:K07784	ahy:AHML_07680
ko:K00666	ahy:AHML_12100
ko:K13479	ahy:AHML_12130
ko:K00135	ahy:AHML_16185
ko:K07250	ahy:AHML_16190
ko:K14683	ahy:AHML_16215
ko:K03784	ahy:AHML_16245
ko:K02533	ahy:AHML_16295
ko:K16013	ahy:AHML_16330
ko:K16012	ahy:AHML_16335
ko:K02784	ahy:AHML_16380
ko:K08483	ahy:AHML_16385
ko:K05994	ahy:AHML_16450
ko:K01424	ahy:AHML_20295
ko:K03406	ahy:AHML_20440
ko:K02653	ahy:AHML_20510
ko:K03574	ahy:AHML_20535
ko:K10823	ahy:AHML_13850
ko:K15583	ahy:AHML_13860
ko:K15582	ahy:AHML_13865
ko:K03617	ahy:AHML_13975
ko:K03616	ahy:AHML_13980
ko:K03615	ahy:AHML_13985
ko:K03614	ahy:AHML_13990
ko:K03612	ahy:AHML_13995
ko:K03613	ahy:AHML_14000
ko:K01759	ahy:AHML_14010
ko:K00380	ahy:AHML_18000
ko:K00059	ahy:AHML_18065
ko:K00647	ahy:AHML_18075
ko:K01674	ahy:AHML_18170
ko:K03406	ahy:AHML_09470
ko:K16329	ahy:AHML_18175
ko:K16328	ahy:AHML_18180
ko:K15578	ahy:AHML_18195
ko:K15577	ahy:AHML_18200
ko:K15576	ahy:AHML_18205
ko:K02303	ahy:AHML_18215
ko:K06149	ahy:AHML_18235
ko:K00639	ahy:AHML_22075
ko:K02116	ahy:AHML_22225
ko:K02014	ahy:AHML_22255
ko:K01092	ahy:AHML_09475
ko:K03325	ahy:AHML_09535
ko:K03386	ahy:AHML_09565
ko:K01175	ahy:AHML_08520
ko:K09898	ahy:AHML_05310
ko:K07019	ahy:AHML_05320
ko:K00575	ahy:AHML_05455
ko:K03406	ahy:AHML_05470
ko:K03406	ahy:AHML_05490
ko:K00567	ahy:AHML_05520
ko:K04488	ahy:AHML_09650
ko:K13628	ahy:AHML_09655
ko:K02566	ahy:AHML_14075
ko:K00799	ahy:AHML_14100
ko:K06177	ahy:AHML_14130
ko:K11179	ahy:AHML_14185
ko:K08086	ahy:AHML_14210
ko:K00769	ahy:AHML_18265
ko:K02674	ahy:AHML_03545
ko:K13590	ahy:AHML_03600
ko:K02348	ahy:AHML_03620
ko:K07263	ahy:AHML_03690
ko:K13636	ahy:AHML_07785
ko:K01782	ahy:AHML_12260
ko:K07114	ahy:AHML_12285
ko:K07114	ahy:AHML_12290
ko:K00626	ahy:AHML_12330
ko:K08305	ahy:AHML_12360
ko:K03455	ahy:AHML_16445
ko:K07404	ahy:AHML_16475
ko:K02824	ahy:AHML_16480
ko:K00027	ahy:AHML_16495
ko:K00127	ahy:AHML_16505
ko:K00124	ahy:AHML_16510
ko:K06857	ahy:AHML_16580
ko:K03406	ahy:AHML_16610
ko:K02035	ahy:AHML_16655
ko:K02033	ahy:AHML_16660
ko:K12373	ahy:AHML_16690
ko:K12961	ahy:AHML_20645
ko:K02806	ahy:AHML_20770
ko:K01885	ahy:AHML_18360
ko:K01270	ahy:AHML_18270
ko:K03406	ahy:AHML_18365
ko:K09607	ahy:AHML_18430
ko:K16963	ahy:AHML_22305
ko:K16962	ahy:AHML_22310
ko:K16961	ahy:AHML_22315
ko:K02014	ahy:AHML_18305
ko:K02014	ahy:AHML_05645
ko:K02050	ahy:AHML_05660
ko:K02051	ahy:AHML_05665
ko:K02014	ahy:AHML_05675
ko:K08992	ahy:AHML_09955
ko:K00657	ahy:AHML_14420
ko:K01934	ahy:AHML_14475
ko:K00058	ahy:AHML_14490
ko:K02030	ahy:AHML_14520
ko:K02004	ahy:AHML_18500
ko:K01580	ahy:AHML_18535
ko:K01082	ahy:AHML_18550
ko:K08234	ahy:AHML_18685
ko:K00970	ahy:AHML_18720
ko:K01426	ahy:AHML_03790
ko:K02030	ahy:AHML_03890
ko:K02028	ahy:AHML_03895
ko:K01322	ahy:AHML_03915
ko:K07504	ahy:AHML_03930
ko:K11105	ahy:AHML_08200
ko:K01439	ahy:AHML_08215
ko:K03326	ahy:AHML_08235
ko:K07792	ahy:AHML_08250
ko:K06221	ahy:AHML_12565
ko:K06889	ahy:AHML_12590
ko:K06889	ahy:AHML_12595
ko:K00059	ahy:AHML_12670
ko:K04774	ahy:AHML_16720
ko:K06910	ahy:AHML_16760
ko:K03406	ahy:AHML_16845
ko:K00616	ahy:AHML_16890
ko:K02067	ahy:AHML_20820
ko:K03406	ahy:AHML_20900
ko:K01759	ahy:AHML_21005
ko:K02055	ahy:AHML_21060
ko:K03406	ahy:AHML_03945
ko:K06177	ahy:AHML_08150
ko:K03406	ahy:AHML_08175
ko:K07025	ahy:AHML_05855
ko:K01784	ahy:AHML_05955
ko:K01724	ahy:AHML_10195
ko:K01489	ahy:AHML_10245
ko:K03077	ahy:AHML_10280
ko:K00853	ahy:AHML_10285
ko:K02099	ahy:AHML_10305
ko:K01081	ahy:AHML_10350
ko:K03326	ahy:AHML_10355
ko:K03768	ahy:AHML_14615
ko:K04015	ahy:AHML_14630
ko:K00010	ahy:AHML_14765
ko:K01507	ahy:AHML_18795
ko:K02004	ahy:AHML_18830
ko:K03406	ahy:AHML_18845
ko:K04767	ahy:AHML_18900
ko:K14231	ahy:AHML_t22468
ko:K14231	ahy:AHML_t22516
ko:K14231	ahy:AHML_t22520
ko:K14219	ahy:AHML_t22360
ko:K14219	ahy:AHML_t22378
ko:K14232	ahy:AHML_t22418
ko:K14232	ahy:AHML_t22408
ko:K14224	ahy:AHML_t22330
ko:K14224	ahy:AHML_t22472
ko:K14224	ahy:AHML_t22342
ko:K14224	ahy:AHML_t22544
ko:K14224	ahy:AHML_t22352
ko:K14224	ahy:AHML_t22346
ko:K14224	ahy:AHML_t22334
ko:K01980	ahy:AHML_r22588
ko:K01980	ahy:AHML_r22592
ko:K01980	ahy:AHML_r22590
ko:K01980	ahy:AHML_r22602
ko:K01980	ahy:AHML_r22600
ko:K01980	ahy:AHML_r22598
ko:K01980	ahy:AHML_r22594
ko:K01980	ahy:AHML_r22596
ko:K01980	ahy:AHML_r22606
ko:K01980	ahy:AHML_r22604
ko:K01985	ahy:AHML_r22546
ko:K01985	ahy:AHML_r22556
ko:K01985	ahy:AHML_r22558
ko:K01985	ahy:AHML_r22562
ko:K01985	ahy:AHML_r22564
ko:K01985	ahy:AHML_r22566
ko:K01985	ahy:AHML_r22560
ko:K01985	ahy:AHML_r22554
ko:K01985	ahy:AHML_r22548
ko:K01985	ahy:AHML_r22550
ko:K01985	ahy:AHML_r22552
ko:K14230	ahy:AHML_t22384
ko:K14230	ahy:AHML_t22394
ko:K14230	ahy:AHML_t22388
ko:K14230	ahy:AHML_t22386
ko:K14230	ahy:AHML_t22392
ko:K14230	ahy:AHML_t22390
ko:K14230	ahy:AHML_t22446
ko:K14230	ahy:AHML_t22430
ko:K14230	ahy:AHML_t22442
ko:K14230	ahy:AHML_t22438
ko:K03406	ahy:AHML_06110
ko:K00030	ahy:AHML_06140
ko:K02778	ahy:AHML_06225
ko:K02779	ahy:AHML_06225
ko:K00674	ahy:AHML_06235
ko:K03757	ahy:AHML_06340
ko:K00647	ahy:AHML_10370
ko:K00241	ahy:AHML_10395
ko:K02010	ahy:AHML_10455
ko:K06212	ahy:AHML_10490
ko:K02014	ahy:AHML_10545
ko:K11085	ahy:AHML_14860
ko:K02238	ahy:AHML_14865
ko:K09909	ahy:AHML_15035
ko:K01077	ahy:AHML_15055
ko:K01077	ahy:AHML_15060
ko:K02030	ahy:AHML_15070
ko:K02030	ahy:AHML_15105
ko:K02028	ahy:AHML_15115
ko:K02030	ahy:AHML_15120
ko:K07305	ahy:AHML_19110
ko:K00700	ahy:AHML_19120
ko:K03406	ahy:AHML_19145
ko:K03560	ahy:AHML_19170
ko:K10440	ahy:AHML_11380
ko:K00799	ahy:AHML_11395
ko:K11392	ahy:AHML_11630
ko:K03317	ahy:AHML_15715
ko:K07772	ahy:AHML_15870
ko:K09815	ahy:AHML_19820
ko:K08344	ahy:AHML_19895
ko:K01515	ahy:AHML_20000
ko:K03803	ahy:AHML_04065
ko:K02744	ahy:AHML_04115
ko:K02745	ahy:AHML_04130
ko:K04765	ahy:AHML_04175
ko:K03087	ahy:AHML_04230
ko:K00652	ahy:AHML_08280
ko:K03406	ahy:AHML_08300
ko:K07116	ahy:AHML_08320
ko:K03386	ahy:AHML_08410
ko:K02564	ahy:AHML_08475
ko:K12373	ahy:AHML_08485
ko:K03711	ahy:AHML_08495
ko:K07034	ahy:AHML_12745
ko:K07182	ahy:AHML_12805
ko:K02342	ahy:AHML_12810
ko:K00569	ahy:AHML_12925
ko:K00088	ahy:AHML_13000
ko:K01081	ahy:AHML_16965
ko:K02665	ahy:AHML_17105
ko:K03406	ahy:AHML_17135
ko:K02052	ahy:AHML_21080
ko:K03825	ahy:AHML_21110
ko:K11312	ahy:AHML_21195
ko:K07054	ahy:AHML_02115
ko:K03316	ahy:AHML_02225
ko:K00548	ahy:AHML_02230
ko:K05844	ahy:AHML_02235
ko:K03148	ahy:AHML_02280
ko:K00784	ahy:AHML_06370
ko:K03455	ahy:AHML_06415
ko:K01176	ahy:AHML_06445
ko:K02030	ahy:AHML_06470
ko:K02030	ahy:AHML_06545
ko:K00027	ahy:AHML_06570
ko:K04018	ahy:AHML_10615
ko:K04015	ahy:AHML_10630
ko:K03406	ahy:AHML_10680
ko:K07793	ahy:AHML_10700
ko:K14761	ahy:AHML_10850
ko:K10943	ahy:AHML_15215
ko:K10942	ahy:AHML_15220
ko:K00575	ahy:AHML_15310
ko:K06183	ahy:AHML_15350
ko:K15460	ahy:AHML_19315
ko:K03409	ahy:AHML_19335
ko:K07186	ahy:AHML_19395
ko:K03784	ahy:AHML_19405
ko:K00758	ahy:AHML_19415
ko:K01619	ahy:AHML_19420
ko:K03317	ahy:AHML_19430
ko:K14220	ahy:AHML_t22382
ko:K14220	ahy:AHML_t22470
ko:K14220	ahy:AHML_t22404
ko:K14220	ahy:AHML_t22514
ko:K14220	ahy:AHML_t22406
ko:K03668	ahy:AHML_21835
ko:K11209	ahy:AHML_09485
ko:K14219	ahy:AHML_t22492
ko:K14219	ahy:AHML_t22496
ko:K14219	ahy:AHML_t22498
ko:K14219	ahy:AHML_t22494
ko:K14219	ahy:AHML_t22500
ko:K14226	ahy:AHML_t22324
ko:K14226	ahy:AHML_t22376
ko:K14228	ahy:AHML_t22326
ko:K14228	ahy:AHML_t22510
ko:K14228	ahy:AHML_t22506
ko:K14228	ahy:AHML_t22508
ko:K14228	ahy:AHML_t22504
ko:K14228	ahy:AHML_t22512
ko:K14228	ahy:AHML_t22412
ko:K14228	ahy:AHML_t22448
ko:K14228	ahy:AHML_t22444
ko:K14232	ahy:AHML_t22328
ko:K14232	ahy:AHML_t22380
ko:K01977	ahy:AHML_r22568
ko:K01977	ahy:AHML_r22580
ko:K01977	ahy:AHML_r22586
ko:K01977	ahy:AHML_r22570
ko:K01977	ahy:AHML_r22582
ko:K01977	ahy:AHML_r22572
ko:K01977	ahy:AHML_r22574
ko:K01977	ahy:AHML_r22578
ko:K01977	ahy:AHML_r22584
ko:K01977	ahy:AHML_r22576
ko:K01664	ahy:AHML_17055
ko:K17713	ahy:AHML_09720
ko:K02011	ahy:AHML_10450
ko:K02012	ahy:AHML_10460
ko:K03269	ahy:AHML_14625
ko:K04014	ahy:AHML_14635
ko:K04013	ahy:AHML_14640
ko:K03337	ahy:AHML_14730
ko:K03335	ahy:AHML_14735
ko:K03338	ahy:AHML_14740
ko:K17209	ahy:AHML_14750
ko:K17210	ahy:AHML_14755
ko:K17208	ahy:AHML_14760
ko:K03336	ahy:AHML_14780
ko:K00140	ahy:AHML_14790
ko:K03703	ahy:AHML_14835
ko:K07689	ahy:AHML_14840
ko:K00979	ahy:AHML_14845
ko:K09791	ahy:AHML_14850
ko:K00912	ahy:AHML_14855
ko:K00957	ahy:AHML_18880
ko:K02302	ahy:AHML_18885
ko:K07340	ahy:AHML_18895
ko:K06158	ahy:AHML_18905
ko:K07115	ahy:AHML_18915
ko:K01118	ahy:AHML_18925
ko:K16053	ahy:AHML_18965
ko:K00925	ahy:AHML_18970
ko:K14588	ahy:AHML_18985
ko:K01779	ahy:AHML_18990
ko:K03308	ahy:AHML_19030
ko:K03308	ahy:AHML_19040
ko:K07240	ahy:AHML_19105
ko:K00705	ahy:AHML_19125
ko:K00134	ahy:AHML_19130
ko:K01792	ahy:AHML_19135
ko:K03517	ahy:AHML_19140
ko:K03580	ahy:AHML_04410
ko:K07175	ahy:AHML_04430
ko:K02062	ahy:AHML_04435
ko:K02063	ahy:AHML_04440
ko:K02064	ahy:AHML_04445
ko:K01704	ahy:AHML_04460
ko:K01703	ahy:AHML_04465
ko:K00052	ahy:AHML_04470
ko:K01649	ahy:AHML_04475
ko:K01652	ahy:AHML_04500
ko:K01653	ahy:AHML_04505
ko:K13788	ahy:AHML_04510
ko:K00925	ahy:AHML_04515
ko:K09899	ahy:AHML_04520
ko:K09161	ahy:AHML_04525
ko:K03564	ahy:AHML_04530
ko:K03567	ahy:AHML_04535
ko:K01714	ahy:AHML_04540
ko:K07287	ahy:AHML_04545
ko:K01923	ahy:AHML_04550
ko:K07648	ahy:AHML_04585
ko:K01129	ahy:AHML_04590
ko:K02073	ahy:AHML_04620
ko:K02072	ahy:AHML_04625
ko:K02071	ahy:AHML_04630
ko:K00886	ahy:AHML_04640
ko:K01251	ahy:AHML_08865
ko:K07401	ahy:AHML_08870
ko:K00262	ahy:AHML_08945
ko:K06182	ahy:AHML_08955
ko:K03449	ahy:AHML_08960
ko:K00425	ahy:AHML_09015
ko:K00426	ahy:AHML_09020
ko:K06222	ahy:AHML_09035
ko:K06996	ahy:AHML_09045
ko:K00864	ahy:AHML_09060
ko:K02440	ahy:AHML_09065
ko:K02445	ahy:AHML_09070
ko:K02444	ahy:AHML_09075
ko:K00111	ahy:AHML_09080
ko:K01126	ahy:AHML_09085
ko:K01626	ahy:AHML_09090
ko:K14187	ahy:AHML_09095
ko:K09897	ahy:AHML_09105
ko:K08276	ahy:AHML_09110
ko:K03321	ahy:AHML_13520
ko:K07243	ahy:AHML_13540
ko:K07552	ahy:AHML_13560
ko:K02003	ahy:AHML_13570
ko:K00782	ahy:AHML_13590
ko:K03303	ahy:AHML_13605
ko:K14682	ahy:AHML_13655
ko:K00928	ahy:AHML_13660
ko:K02302	ahy:AHML_13700
ko:K03885	ahy:AHML_13730
ko:K07000	ahy:AHML_13735
ko:K08602	ahy:AHML_13745
ko:K08602	ahy:AHML_13750
ko:K09781	ahy:AHML_13755
ko:K03074	ahy:AHML_13765
ko:K03072	ahy:AHML_13770
ko:K07337	ahy:AHML_13790
ko:K01895	ahy:AHML_17870
ko:K03786	ahy:AHML_17880
ko:K02160	ahy:AHML_17885
ko:K01961	ahy:AHML_17890
ko:K14392	ahy:AHML_17900
ko:K02687	ahy:AHML_17920
ko:K04773	ahy:AHML_17945
ko:K00134	ahy:AHML_17960
ko:K09916	ahy:AHML_17965
ko:K03312	ahy:AHML_17975
ko:K02836	ahy:AHML_17985
ko:K04567	ahy:AHML_17990
ko:K00381	ahy:AHML_18005
ko:K00390	ahy:AHML_18010
ko:K02002	ahy:AHML_18015
ko:K02001	ahy:AHML_18020
ko:K02000	ahy:AHML_18025
ko:K03831	ahy:AHML_18050
ko:K09458	ahy:AHML_18060
ko:K07107	ahy:AHML_18095
ko:K01745	ahy:AHML_18100
ko:K00060	ahy:AHML_22080
ko:K03656	ahy:AHML_22095
ko:K11717	ahy:AHML_22100
ko:K02426	ahy:AHML_22105
ko:K03832	ahy:AHML_22120
ko:K03561	ahy:AHML_22130
ko:K00820	ahy:AHML_22150
ko:K07663	ahy:AHML_22160
ko:K07641	ahy:AHML_22165
ko:K06143	ahy:AHML_22175
ko:K04042	ahy:AHML_22180
ko:K02114	ahy:AHML_22185
ko:K02112	ahy:AHML_22190
ko:K02115	ahy:AHML_22195
ko:K02111	ahy:AHML_22200
ko:K02113	ahy:AHML_22205
ko:K02109	ahy:AHML_22210
ko:K02110	ahy:AHML_22215
ko:K02108	ahy:AHML_22220
ko:K03501	ahy:AHML_22240
ko:K03495	ahy:AHML_22245
ko:K06205	ahy:AHML_22250
ko:K06159	ahy:AHML_22260
ko:K02013	ahy:AHML_22265
ko:K02016	ahy:AHML_22270
ko:K02015	ahy:AHML_22275
ko:K03650	ahy:AHML_22280
ko:K03217	ahy:AHML_22285
ko:K08998	ahy:AHML_22290
ko:K03536	ahy:AHML_22295
ko:K02914	ahy:AHML_22300
ko:K00014	ahy:AHML_01305
ko:K03978	ahy:AHML_01315
ko:K09894	ahy:AHML_01330
ko:K07712	ahy:AHML_01350
ko:K07708	ahy:AHML_01355
ko:K01915	ahy:AHML_01365
ko:K06207	ahy:AHML_01370
ko:K07058	ahy:AHML_01375
ko:K07560	ahy:AHML_01380
ko:K03655	ahy:AHML_01400
ko:K00998	ahy:AHML_01405
ko:K06156	ahy:AHML_01410
ko:K01690	ahy:AHML_01420
ko:K01625	ahy:AHML_01425
ko:K06145	ahy:AHML_01430
ko:K15633	ahy:AHML_01445
ko:K03071	ahy:AHML_01455
ko:K00057	ahy:AHML_01460
ko:K07400	ahy:AHML_01465
