ko:K02028	ssus:NJAUSS_0467
ko:K16509	ssus:NJAUSS_1030
ko:K03177	ssus:NJAUSS_1033
ko:K09155	ssus:NJAUSS_1036
ko:K01258	ssus:NJAUSS_1046
ko:K12555	ssus:NJAUSS_1831
ko:K09685	ssus:NJAUSS_1834
ko:K03698	ssus:NJAUSS_1836
ko:K00949	ssus:NJAUSS_1838
ko:K03574	ssus:NJAUSS_1851
ko:K06346	ssus:NJAUSS_1858
ko:K16788	ssus:NJAUSS_1863
ko:K07105	ssus:NJAUSS_1864
ko:K00547	ssus:NJAUSS_1867
ko:K09698	ssus:NJAUSS_1869
ko:K12296	ssus:NJAUSS_0015
ko:K00841	ssus:NJAUSS_0040
ko:K02004	ssus:NJAUSS_0913
ko:K01507	ssus:NJAUSS_0946
ko:K02823	ssus:NJAUSS_0949
ko:K00700	ssus:NJAUSS_0954
ko:K03574	ssus:NJAUSS_0957
ko:K04488	ssus:NJAUSS_1726
ko:K07720	ssus:NJAUSS_1758
ko:K01191	ssus:NJAUSS_1767
ko:K09704	ssus:NJAUSS_1768
ko:K08217	ssus:NJAUSS_0618
ko:K10118	ssus:NJAUSS_1438
ko:K01243	ssus:NJAUSS_1460
ko:K01515	ssus:NJAUSS_1462
ko:K00059	ssus:NJAUSS_1465
ko:K02004	ssus:NJAUSS_1470
ko:K02822	ssus:NJAUSS_0195
ko:K03475	ssus:NJAUSS_0196
ko:K01281	ssus:NJAUSS_0203
ko:K07457	ssus:NJAUSS_0211
ko:K02050	ssus:NJAUSS_0217
ko:K02049	ssus:NJAUSS_0218
ko:K02051	ssus:NJAUSS_0219
ko:K03471	ssus:NJAUSS_0226
ko:K01226	ssus:NJAUSS_0230
ko:K02817	ssus:NJAUSS_0231
ko:K02818	ssus:NJAUSS_0231
ko:K02819	ssus:NJAUSS_0231
ko:K03486	ssus:NJAUSS_0232
ko:K15051	ssus:NJAUSS_1082
ko:K08483	ssus:NJAUSS_1110
ko:K11189	ssus:NJAUSS_1111
ko:K01934	ssus:NJAUSS_1884
ko:K00674	ssus:NJAUSS_1886
ko:K03476	ssus:NJAUSS_1894
ko:K03493	ssus:NJAUSS_1895
ko:K02821	ssus:NJAUSS_1900
ko:K02822	ssus:NJAUSS_1901
ko:K03475	ssus:NJAUSS_1902
ko:K03491	ssus:NJAUSS_1913
ko:K09963	ssus:NJAUSS_1914
ko:K01222	ssus:NJAUSS_1916
ko:K07386	ssus:NJAUSS_1918
ko:K11709	ssus:NJAUSS_1919
ko:K11708	ssus:NJAUSS_1920
ko:K11710	ssus:NJAUSS_1921
ko:K11707	ssus:NJAUSS_1922
ko:K03709	ssus:NJAUSS_1923
ko:K01990	ssus:NJAUSS_0251
ko:K10947	ssus:NJAUSS_0256
ko:K13953	ssus:NJAUSS_0268
ko:K00869	ssus:NJAUSS_0277
ko:K01597	ssus:NJAUSS_0278
ko:K00938	ssus:NJAUSS_0279
ko:K01823	ssus:NJAUSS_0280
ko:K01426	ssus:NJAUSS_0291
ko:K09825	ssus:NJAUSS_0297
ko:K02745	ssus:NJAUSS_1127
ko:K02744	ssus:NJAUSS_1129
ko:K00046	ssus:NJAUSS_1133
ko:K07052	ssus:NJAUSS_1135
ko:K07052	ssus:NJAUSS_1137
ko:K07729	ssus:NJAUSS_1140
ko:K07533	ssus:NJAUSS_1145
ko:K06198	ssus:NJAUSS_1150
ko:K05833	ssus:NJAUSS_1157
ko:K05832	ssus:NJAUSS_1158
ko:K01989	ssus:NJAUSS_1159
ko:K01989	ssus:NJAUSS_1160
ko:K01635	ssus:NJAUSS_1161
ko:K04517	ssus:NJAUSS_1164
ko:K01119	ssus:NJAUSS_1928
ko:K15770	ssus:NJAUSS_1956
ko:K03647	ssus:NJAUSS_1962
ko:K02348	ssus:NJAUSS_1965
ko:K00244	ssus:NJAUSS_1974
ko:K09702	ssus:NJAUSS_0302
ko:K09815	ssus:NJAUSS_0315
ko:K03048	ssus:NJAUSS_0316
ko:K01424	ssus:NJAUSS_0328
ko:K02433	ssus:NJAUSS_0338
ko:K06201	ssus:NJAUSS_0345
ko:K05337	ssus:NJAUSS_1175
ko:K09153	ssus:NJAUSS_1178
ko:K07272	ssus:NJAUSS_1186
ko:K12997	ssus:NJAUSS_1189
ko:K12996	ssus:NJAUSS_1190
ko:K02086	ssus:NJAUSS_1203
ko:K00784	ssus:NJAUSS_1210
ko:K16787	ssus:NJAUSS_1992
ko:K16786	ssus:NJAUSS_1993
ko:K00088	ssus:NJAUSS_2000
ko:K01104	ssus:NJAUSS_0533
ko:K12996	ssus:NJAUSS_0535
ko:K04518	ssus:NJAUSS_0559
ko:K07052	ssus:NJAUSS_0567
ko:K05833	ssus:NJAUSS_1376
ko:K05832	ssus:NJAUSS_1377
ko:K01989	ssus:NJAUSS_1378
ko:K02755	ssus:NJAUSS_1380
ko:K02756	ssus:NJAUSS_1380
ko:K02757	ssus:NJAUSS_1380
ko:K03488	ssus:NJAUSS_1381
ko:K07404	ssus:NJAUSS_1386
ko:K07025	ssus:NJAUSS_1387
ko:K06286	ssus:NJAUSS_1396
ko:K04516	ssus:NJAUSS_1419
ko:K01081	ssus:NJAUSS_1422
ko:K06948	ssus:NJAUSS_0348
ko:K04086	ssus:NJAUSS_0364
ko:K07032	ssus:NJAUSS_0377
ko:K03700	ssus:NJAUSS_0383
ko:K11617	ssus:NJAUSS_0398
ko:K11618	ssus:NJAUSS_0399
ko:K03768	ssus:NJAUSS_0400
ko:K07570	ssus:NJAUSS_0401
ko:K11209	ssus:NJAUSS_1224
ko:K08234	ssus:NJAUSS_1229
ko:K07652	ssus:NJAUSS_1252
ko:K07668	ssus:NJAUSS_1253
ko:K10041	ssus:NJAUSS_1254
ko:K02795	ssus:NJAUSS_1268
ko:K01854	ssus:NJAUSS_0671
ko:K09762	ssus:NJAUSS_0685
ko:K01478	ssus:NJAUSS_0687
ko:K05845	ssus:NJAUSS_1477
ko:K05846	ssus:NJAUSS_1477
ko:K06023	ssus:NJAUSS_1483
ko:K03095	ssus:NJAUSS_1489
ko:K01759	ssus:NJAUSS_1514
ko:K01834	ssus:NJAUSS_1516
ko:K00626	ssus:NJAUSS_1517
ko:K01641	ssus:NJAUSS_1518
ko:K00054	ssus:NJAUSS_1519
ko:K02240	ssus:NJAUSS_0404
ko:K02242	ssus:NJAUSS_0405
ko:K07586	ssus:NJAUSS_0422
ko:K02795	ssus:NJAUSS_0428
ko:K02793	ssus:NJAUSS_0430
ko:K01785	ssus:NJAUSS_0431
ko:K00657	ssus:NJAUSS_0460
ko:K00854	ssus:NJAUSS_1272
ko:K10563	ssus:NJAUSS_1298
ko:K02778	ssus:NJAUSS_1303
ko:K02779	ssus:NJAUSS_1303
ko:K01788	ssus:NJAUSS_1304
ko:K11031	ssus:NJAUSS_1305
ko:K07025	ssus:NJAUSS_1306
ko:K12373	ssus:NJAUSS_0693
ko:K02564	ssus:NJAUSS_0696
ko:K07393	ssus:NJAUSS_0705
ko:K06183	ssus:NJAUSS_0706
ko:K05362	ssus:NJAUSS_0712
ko:K02238	ssus:NJAUSS_0715
ko:K04767	ssus:NJAUSS_0716
ko:K00058	ssus:NJAUSS_0726
ko:K00567	ssus:NJAUSS_0727
ko:K03294	ssus:NJAUSS_0732
ko:K07052	ssus:NJAUSS_0735
ko:K07316	ssus:NJAUSS_0739
ko:K01156	ssus:NJAUSS_0740
ko:K07054	ssus:NJAUSS_1533
ko:K15986	ssus:NJAUSS_1539
ko:K03699	ssus:NJAUSS_1542
ko:K02236	ssus:NJAUSS_1545
ko:K01916	ssus:NJAUSS_1547
ko:K07177	ssus:NJAUSS_1551
ko:K01104	ssus:NJAUSS_1563
ko:K02428	ssus:NJAUSS_1576
ko:K03574	ssus:NJAUSS_0463
ko:K03697	ssus:NJAUSS_0464
ko:K00383	ssus:NJAUSS_0482
ko:K02005	ssus:NJAUSS_0483
ko:K02004	ssus:NJAUSS_0485
ko:K03976	ssus:NJAUSS_0489
ko:K08974	ssus:NJAUSS_0490
ko:K16789	ssus:NJAUSS_0491
ko:K07273	ssus:NJAUSS_0492
ko:K01488	ssus:NJAUSS_0506
ko:K01784	ssus:NJAUSS_1330
ko:K03784	ssus:NJAUSS_1339
ko:K03783	ssus:NJAUSS_1340
ko:K07192	ssus:NJAUSS_1351
ko:K07009	ssus:NJAUSS_1366
ko:K03930	ssus:NJAUSS_1372
ko:K18830	ssus:NJAUSS_0600
ko:K10009	ssus:NJAUSS_0293
ko:K02424	ssus:NJAUSS_0292
ko:K02030	ssus:NJAUSS_0520
ko:K02313	ssus:NJAUSS_0001
ko:K02338	ssus:NJAUSS_0002
ko:K06942	ssus:NJAUSS_0006
ko:K01056	ssus:NJAUSS_0007
ko:K03723	ssus:NJAUSS_0008
ko:K04075	ssus:NJAUSS_0012
ko:K10773	ssus:NJAUSS_0855
ko:K00364	ssus:NJAUSS_0856
ko:K03327	ssus:NJAUSS_0857
ko:K02860	ssus:NJAUSS_0859
ko:K00554	ssus:NJAUSS_0860
ko:K00817	ssus:NJAUSS_0861
ko:K02768	ssus:NJAUSS_0864
ko:K02769	ssus:NJAUSS_0864
ko:K02770	ssus:NJAUSS_0864
ko:K00215	ssus:NJAUSS_0867
ko:K15738	ssus:NJAUSS_0869
ko:K03544	ssus:NJAUSS_0876
ko:K03978	ssus:NJAUSS_0877
ko:K00940	ssus:NJAUSS_0878
ko:K03596	ssus:NJAUSS_0880
ko:K01821	ssus:NJAUSS_0881
ko:K02835	ssus:NJAUSS_0884
ko:K02493	ssus:NJAUSS_0885
ko:K07566	ssus:NJAUSS_0886
ko:K00600	ssus:NJAUSS_0888
ko:K01951	ssus:NJAUSS_0898
ko:K03710	ssus:NJAUSS_0899
ko:K03106	ssus:NJAUSS_0901
ko:K01193	ssus:NJAUSS_1678
ko:K03484	ssus:NJAUSS_1679
ko:K03625	ssus:NJAUSS_1680
ko:K02356	ssus:NJAUSS_1682
ko:K03701	ssus:NJAUSS_1684
ko:K03284	ssus:NJAUSS_1685
ko:K02963	ssus:NJAUSS_1687
ko:K02990	ssus:NJAUSS_1689
ko:K03800	ssus:NJAUSS_1691
ko:K00382	ssus:NJAUSS_1693
ko:K00627	ssus:NJAUSS_1694
ko:K00162	ssus:NJAUSS_1695
ko:K00161	ssus:NJAUSS_1696
ko:K02834	ssus:NJAUSS_1700
ko:K02519	ssus:NJAUSS_1701
ko:K07742	ssus:NJAUSS_1703
ko:K02600	ssus:NJAUSS_1704
ko:K09748	ssus:NJAUSS_1705
ko:K03439	ssus:NJAUSS_1706
ko:K02503	ssus:NJAUSS_1710
ko:K06925	ssus:NJAUSS_1714
ko:K02034	ssus:NJAUSS_1719
ko:K09014	ssus:NJAUSS_1725
ko:K05808	ssus:NJAUSS_0406
ko:K03565	ssus:NJAUSS_0421
ko:K03710	ssus:NJAUSS_0424
ko:K12308	ssus:NJAUSS_0426
ko:K01873	ssus:NJAUSS_0436
ko:K01914	ssus:NJAUSS_0442
ko:K06207	ssus:NJAUSS_0443
ko:K03100	ssus:NJAUSS_0445
ko:K01925	ssus:NJAUSS_0450
ko:K02563	ssus:NJAUSS_0451
ko:K03589	ssus:NJAUSS_0452
ko:K03590	ssus:NJAUSS_0453
ko:K03531	ssus:NJAUSS_0454
ko:K06997	ssus:NJAUSS_0455
ko:K09772	ssus:NJAUSS_0456
ko:K02221	ssus:NJAUSS_0457
ko:K04074	ssus:NJAUSS_0459
ko:K01805	ssus:NJAUSS_1273
ko:K00773	ssus:NJAUSS_1278
ko:K06929	ssus:NJAUSS_1280
ko:K02003	ssus:NJAUSS_1285
ko:K11065	ssus:NJAUSS_1287
ko:K16868	ssus:NJAUSS_1291
ko:K03664	ssus:NJAUSS_1293
ko:K12573	ssus:NJAUSS_1294
ko:K03075	ssus:NJAUSS_1295
ko:K00859	ssus:NJAUSS_1297
ko:K07042	ssus:NJAUSS_1301
ko:K04758	ssus:NJAUSS_1310
ko:K04759	ssus:NJAUSS_1311
ko:K09811	ssus:NJAUSS_1312
ko:K09812	ssus:NJAUSS_1313
ko:K02836	ssus:NJAUSS_1314
ko:K01870	ssus:NJAUSS_0461
ko:K01491	ssus:NJAUSS_0468
ko:K03100	ssus:NJAUSS_0470
ko:K08303	ssus:NJAUSS_0477
ko:K03523	ssus:NJAUSS_0480
ko:K02003	ssus:NJAUSS_0484
ko:K04567	ssus:NJAUSS_0487
ko:K03588	ssus:NJAUSS_0495
ko:K01595	ssus:NJAUSS_0496
ko:K03088	ssus:NJAUSS_0497
ko:K02358	ssus:NJAUSS_0499
ko:K01803	ssus:NJAUSS_0500
ko:K06885	ssus:NJAUSS_0502
ko:K02337	ssus:NJAUSS_0510
ko:K00850	ssus:NJAUSS_0511
ko:K00873	ssus:NJAUSS_0512
ko:K03086	ssus:NJAUSS_1327
ko:K03282	ssus:NJAUSS_1329
ko:K02970	ssus:NJAUSS_1331
ko:K00688	ssus:NJAUSS_1338
ko:K01839	ssus:NJAUSS_1342
ko:K01807	ssus:NJAUSS_1343
ko:K01154	ssus:NJAUSS_1344
ko:K01154	ssus:NJAUSS_1345
ko:K03427	ssus:NJAUSS_1346
ko:K01153	ssus:NJAUSS_1347
ko:K03650	ssus:NJAUSS_1348
ko:K03744	ssus:NJAUSS_1352
ko:K07862	ssus:NJAUSS_1357
ko:K03431	ssus:NJAUSS_1362
ko:K01928	ssus:NJAUSS_1365
ko:K00563	ssus:NJAUSS_1367
ko:K06158	ssus:NJAUSS_1369
ko:K00760	ssus:NJAUSS_0013
ko:K03798	ssus:NJAUSS_0014
ko:K03570	ssus:NJAUSS_0036
ko:K03571	ssus:NJAUSS_0037
ko:K00948	ssus:NJAUSS_0039
ko:K03584	ssus:NJAUSS_0041
ko:K03621	ssus:NJAUSS_0042
ko:K02078	ssus:NJAUSS_0043
ko:K01923	ssus:NJAUSS_0044
ko:K01952	ssus:NJAUSS_0045
ko:K00764	ssus:NJAUSS_0046
ko:K01933	ssus:NJAUSS_0047
ko:K11175	ssus:NJAUSS_0048
ko:K00602	ssus:NJAUSS_0049
ko:K01588	ssus:NJAUSS_0051
ko:K01589	ssus:NJAUSS_0052
ko:K01756	ssus:NJAUSS_0055
ko:K03551	ssus:NJAUSS_0062
ko:K11754	ssus:NJAUSS_0068
ko:K03572	ssus:NJAUSS_0070
ko:K03550	ssus:NJAUSS_0071
ko:K01246	ssus:NJAUSS_0072
ko:K02003	ssus:NJAUSS_0914
ko:K13653	ssus:NJAUSS_0923
ko:K04094	ssus:NJAUSS_0924
ko:K02935	ssus:NJAUSS_0926
ko:K02864	ssus:NJAUSS_0927
ko:K03168	ssus:NJAUSS_0928
ko:K04096	ssus:NJAUSS_0929
ko:K11068	ssus:NJAUSS_0935
ko:K03470	ssus:NJAUSS_0937
ko:K14540	ssus:NJAUSS_0938
ko:K06940	ssus:NJAUSS_0939
ko:K06287	ssus:NJAUSS_0940
ko:K01465	ssus:NJAUSS_0942
ko:K03648	ssus:NJAUSS_0943
ko:K00762	ssus:NJAUSS_0945
ko:K01591	ssus:NJAUSS_0947
ko:K00975	ssus:NJAUSS_0951
ko:K00975	ssus:NJAUSS_0952
ko:K00703	ssus:NJAUSS_0953
ko:K03702	ssus:NJAUSS_0961
ko:K11717	ssus:NJAUSS_1727
ko:K09015	ssus:NJAUSS_1728
ko:K09013	ssus:NJAUSS_1729
ko:K16511	ssus:NJAUSS_1731
ko:K06153	ssus:NJAUSS_1732
ko:K01754	ssus:NJAUSS_1737
ko:K00053	ssus:NJAUSS_1738
ko:K01653	ssus:NJAUSS_1739
ko:K01652	ssus:NJAUSS_1740
ko:K01687	ssus:NJAUSS_1743
ko:K02996	ssus:NJAUSS_1747
ko:K02871	ssus:NJAUSS_1748
ko:K06962	ssus:NJAUSS_1750
ko:K03218	ssus:NJAUSS_1751
ko:K07718	ssus:NJAUSS_1759
ko:K11145	ssus:NJAUSS_1771
ko:K01883	ssus:NJAUSS_1772
ko:K00640	ssus:NJAUSS_1774
ko:K00962	ssus:NJAUSS_1775
ko:K03100	ssus:NJAUSS_0516
ko:K00820	ssus:NJAUSS_0517
ko:K02029	ssus:NJAUSS_0518
ko:K00931	ssus:NJAUSS_0523
ko:K00147	ssus:NJAUSS_0524
ko:K00286	ssus:NJAUSS_0525
ko:K09861	ssus:NJAUSS_0529
ko:K00800	ssus:NJAUSS_0557
ko:K00891	ssus:NJAUSS_0558
ko:K03215	ssus:NJAUSS_0561
ko:K01223	ssus:NJAUSS_1379
ko:K01575	ssus:NJAUSS_1383
ko:K01689	ssus:NJAUSS_1390
ko:K00865	ssus:NJAUSS_1392
ko:K01091	ssus:NJAUSS_1393
ko:K01079	ssus:NJAUSS_1395
ko:K02470	ssus:NJAUSS_1397
ko:K03152	ssus:NJAUSS_1398
ko:K05837	ssus:NJAUSS_1399
ko:K02909	ssus:NJAUSS_1414
ko:K03734	ssus:NJAUSS_1415
ko:K02954	ssus:NJAUSS_1418
ko:K04564	ssus:NJAUSS_1423
ko:K02340	ssus:NJAUSS_1424
ko:K03088	ssus:NJAUSS_0585
ko:K09765	ssus:NJAUSS_1426
ko:K01996	ssus:NJAUSS_1427
ko:K01995	ssus:NJAUSS_1428
ko:K01998	ssus:NJAUSS_1429
ko:K01997	ssus:NJAUSS_1430
ko:K01999	ssus:NJAUSS_1431
ko:K01358	ssus:NJAUSS_1433
ko:K00761	ssus:NJAUSS_1434
ko:K00690	ssus:NJAUSS_1436
ko:K10119	ssus:NJAUSS_1437
ko:K10117	ssus:NJAUSS_1439
ko:K07407	ssus:NJAUSS_1440
ko:K14155	ssus:NJAUSS_1442
ko:K07461	ssus:NJAUSS_1447
ko:K01118	ssus:NJAUSS_1449
ko:K05592	ssus:NJAUSS_1453
ko:K00868	ssus:NJAUSS_1459
ko:K04042	ssus:NJAUSS_1463
ko:K02003	ssus:NJAUSS_1471
ko:K07447	ssus:NJAUSS_0077
ko:K09962	ssus:NJAUSS_0079
ko:K02946	ssus:NJAUSS_0080
ko:K02906	ssus:NJAUSS_0081
ko:K02926	ssus:NJAUSS_0082
ko:K02892	ssus:NJAUSS_0083
ko:K02886	ssus:NJAUSS_0084
ko:K02965	ssus:NJAUSS_0085
ko:K02890	ssus:NJAUSS_0086
ko:K02982	ssus:NJAUSS_0087
ko:K02878	ssus:NJAUSS_0088
ko:K02904	ssus:NJAUSS_0089
ko:K02961	ssus:NJAUSS_0090
ko:K02874	ssus:NJAUSS_0091
ko:K02895	ssus:NJAUSS_0092
ko:K02931	ssus:NJAUSS_0093
ko:K02994	ssus:NJAUSS_0094
ko:K02933	ssus:NJAUSS_0095
ko:K02881	ssus:NJAUSS_0096
ko:K02988	ssus:NJAUSS_0097
ko:K02907	ssus:NJAUSS_0098
ko:K02876	ssus:NJAUSS_0099
ko:K03076	ssus:NJAUSS_0100
ko:K02518	ssus:NJAUSS_0102
ko:K02952	ssus:NJAUSS_0103
ko:K02948	ssus:NJAUSS_0104
ko:K03040	ssus:NJAUSS_0105
ko:K02879	ssus:NJAUSS_0106
ko:K09817	ssus:NJAUSS_0132
ko:K09816	ssus:NJAUSS_0133
ko:K01740	ssus:NJAUSS_0966
ko:K02787	ssus:NJAUSS_0970
ko:K02788	ssus:NJAUSS_0970
ko:K02531	ssus:NJAUSS_0972
ko:K03575	ssus:NJAUSS_0985
ko:K06180	ssus:NJAUSS_0990
ko:K00858	ssus:NJAUSS_0991
ko:K00948	ssus:NJAUSS_0994
ko:K04487	ssus:NJAUSS_0995
ko:K01926	ssus:NJAUSS_0997
ko:K07010	ssus:NJAUSS_0998
ko:K03630	ssus:NJAUSS_0999
ko:K02469	ssus:NJAUSS_1001
ko:K02057	ssus:NJAUSS_1005
ko:K02057	ssus:NJAUSS_1006
ko:K07335	ssus:NJAUSS_1008
ko:K00756	ssus:NJAUSS_1011
ko:K07106	ssus:NJAUSS_1780
ko:K02956	ssus:NJAUSS_1782
ko:K01462	ssus:NJAUSS_1789
ko:K01704	ssus:NJAUSS_1791
ko:K01703	ssus:NJAUSS_1792
ko:K00052	ssus:NJAUSS_1793
ko:K01649	ssus:NJAUSS_1794
ko:K07078	ssus:NJAUSS_1797
ko:K03763	ssus:NJAUSS_1799
ko:K05878	ssus:NJAUSS_1802
ko:K05879	ssus:NJAUSS_1803
ko:K02440	ssus:NJAUSS_1805
ko:K01881	ssus:NJAUSS_1806
ko:K11749	ssus:NJAUSS_1807
ko:K00981	ssus:NJAUSS_1808
ko:K00806	ssus:NJAUSS_1809
ko:K03210	ssus:NJAUSS_1810
ko:K01939	ssus:NJAUSS_1811
ko:K01919	ssus:NJAUSS_1812
ko:K04083	ssus:NJAUSS_1814
ko:K03811	ssus:NJAUSS_1817
ko:K03696	ssus:NJAUSS_1819
ko:K02357	ssus:NJAUSS_1823
ko:K02967	ssus:NJAUSS_1824
ko:K00789	ssus:NJAUSS_0635
ko:K01358	ssus:NJAUSS_0647
ko:K01893	ssus:NJAUSS_0678
ko:K06958	ssus:NJAUSS_0683
ko:K05847	ssus:NJAUSS_1478
ko:K13292	ssus:NJAUSS_1482
ko:K01809	ssus:NJAUSS_1484
ko:K06959	ssus:NJAUSS_1490
ko:K07058	ssus:NJAUSS_1494
ko:K01265	ssus:NJAUSS_1495
ko:K00790	ssus:NJAUSS_1497
ko:K00355	ssus:NJAUSS_1498
ko:K00789	ssus:NJAUSS_1499
ko:K03524	ssus:NJAUSS_1503
ko:K02343	ssus:NJAUSS_1505
ko:K00876	ssus:NJAUSS_1509
ko:K03530	ssus:NJAUSS_1523
ko:K03631	ssus:NJAUSS_1527
ko:K03402	ssus:NJAUSS_1528
ko:K00611	ssus:NJAUSS_0689
ko:K00926	ssus:NJAUSS_0690
ko:K03402	ssus:NJAUSS_0694
ko:K07568	ssus:NJAUSS_0695
ko:K03367	ssus:NJAUSS_0700
ko:K03739	ssus:NJAUSS_0701
ko:K14188	ssus:NJAUSS_0702
ko:K03740	ssus:NJAUSS_0703
ko:K00432	ssus:NJAUSS_0707
ko:K02015	ssus:NJAUSS_0708
ko:K02015	ssus:NJAUSS_0709
ko:K02016	ssus:NJAUSS_0710
ko:K02013	ssus:NJAUSS_0711
ko:K00655	ssus:NJAUSS_0713
ko:K02237	ssus:NJAUSS_0714
ko:K00943	ssus:NJAUSS_0720
ko:K02341	ssus:NJAUSS_0721
ko:K07056	ssus:NJAUSS_0723
ko:K00831	ssus:NJAUSS_0724
ko:K01142	ssus:NJAUSS_0730
ko:K06442	ssus:NJAUSS_1529
ko:K13789	ssus:NJAUSS_1530
ko:K03602	ssus:NJAUSS_1531
ko:K03601	ssus:NJAUSS_1532
ko:K04069	ssus:NJAUSS_1541
ko:K02013	ssus:NJAUSS_1543
ko:K00763	ssus:NJAUSS_1546
ko:K06941	ssus:NJAUSS_1549
ko:K00954	ssus:NJAUSS_1552
ko:K07778	ssus:NJAUSS_1558
ko:K04047	ssus:NJAUSS_1561
ko:K03216	ssus:NJAUSS_1568
ko:K08998	ssus:NJAUSS_1569
ko:K06178	ssus:NJAUSS_1570
ko:K06024	ssus:NJAUSS_1571
ko:K05896	ssus:NJAUSS_1572
ko:K07095	ssus:NJAUSS_1575
ko:K01776	ssus:NJAUSS_1577
ko:K01866	ssus:NJAUSS_0138
ko:K03043	ssus:NJAUSS_0140
ko:K03046	ssus:NJAUSS_0141
ko:K00925	ssus:NJAUSS_0153
ko:K11754	ssus:NJAUSS_0155
ko:K06878	ssus:NJAUSS_0159
ko:K04078	ssus:NJAUSS_0163
ko:K04077	ssus:NJAUSS_0164
ko:K02950	ssus:NJAUSS_0165
ko:K02992	ssus:NJAUSS_0166
ko:K02355	ssus:NJAUSS_0167
ko:K00134	ssus:NJAUSS_0169
ko:K00927	ssus:NJAUSS_0170
ko:K01915	ssus:NJAUSS_0173
ko:K03789	ssus:NJAUSS_0177
ko:K07407	ssus:NJAUSS_0183
ko:K07007	ssus:NJAUSS_0191
ko:K02968	ssus:NJAUSS_1014
ko:K02039	ssus:NJAUSS_1021
ko:K02036	ssus:NJAUSS_1022
ko:K02036	ssus:NJAUSS_1023
