ko:K00602	bcb:BCB4264_A0344
ko:K01628	bcb:BCB4264_A0395
ko:K02277	bcb:BCB4264_A4043
ko:K01271	bcb:BCB4264_A4723
ko:K00537	bcb:BCB4264_A5136
ko:K04749	bcb:BCB4264_A1031
ko:K01992	bcb:BCB4264_A1085
ko:K01193	bcb:BCB4264_A0809
ko:K01934	bcb:BCB4264_A4379
ko:K06349	bcb:BCB4264_A0171
ko:K07192	bcb:BCB4264_A0593
ko:K02490	bcb:BCB4264_A5459
ko:K06889	bcb:BCB4264_A3161
ko:K06889	bcb:BCB4264_A2881
ko:K06889	bcb:BCB4264_A4216
ko:K06889	bcb:BCB4264_A0307
ko:K05847	bcb:BCB4264_A2262
ko:K03758	bcb:BCB4264_A2264
ko:K13052	bcb:BCB4264_A0065
ko:K06334	bcb:BCB4264_A0857
ko:K06333	bcb:BCB4264_A0858
ko:K08967	bcb:BCB4264_A4148
ko:K01034	bcb:BCB4264_A2276
ko:K01438	bcb:BCB4264_A2278
ko:K06434	bcb:BCB4264_A3716
ko:K07090	bcb:BCB4264_A1507
ko:K09759	bcb:BCB4264_A2191
ko:K00805	bcb:BCB4264_A1570
ko:K06889	bcb:BCB4264_A0994
ko:K01200	bcb:BCB4264_A2741
ko:K01739	bcb:BCB4264_A4370
ko:K03429	bcb:BCB4264_A0514
ko:K03722	bcb:BCB4264_A1619
ko:K00453	bcb:BCB4264_A2764
ko:K01556	bcb:BCB4264_A2766
ko:K02002	bcb:BCB4264_A2797
ko:K03088	bcb:BCB4264_A2799
ko:K01807	bcb:BCB4264_A2801
ko:K03823	bcb:BCB4264_A2815
ko:K00824	bcb:BCB4264_A2238
ko:K13280	bcb:BCB4264_A1329
ko:K02000	bcb:BCB4264_A2796
ko:K06423	bcb:BCB4264_A0049
ko:K06425	bcb:BCB4264_A1747
ko:K06426	bcb:BCB4264_A4674
ko:K09702	bcb:BCB4264_A2399
ko:K06311	bcb:BCB4264_A0744
ko:K06312	bcb:BCB4264_A3136
ko:K06312	bcb:BCB4264_A0745
ko:K06304	bcb:BCB4264_A2305
ko:K03088	bcb:BCB4264_A2411
ko:K02760	bcb:BCB4264_A2417
ko:K02761	bcb:BCB4264_A2418
ko:K09001	bcb:BCB4264_A2420
ko:K01754	bcb:BCB4264_A2424
ko:K04566	bcb:BCB4264_A2567
ko:K01449	bcb:BCB4264_A2568
ko:K03100	bcb:BCB4264_A2661
ko:K01779	bcb:BCB4264_A2663
ko:K07697	bcb:BCB4264_A2669
ko:K03654	bcb:BCB4264_A2826
ko:K08602	bcb:BCB4264_A2554
ko:K03076	bcb:BCB4264_A2747
ko:K00003	bcb:BCB4264_A2580
ko:K01921	bcb:BCB4264_A2582
ko:K03707	bcb:BCB4264_A2584
ko:K00382	bcb:BCB4264_A2782
ko:K00627	bcb:BCB4264_A2783
ko:K01448	bcb:BCB4264_A2834
ko:K03310	bcb:BCB4264_A2842
ko:K02338	bcb:BCB4264_A2706
ko:K06153	bcb:BCB4264_A2722
ko:K08310	bcb:BCB4264_A2731
ko:K00285	bcb:BCB4264_A2732
ko:K00675	bcb:BCB4264_A2735
ko:K01897	bcb:BCB4264_A4634
ko:K02160	bcb:BCB4264_A2513
ko:K01640	bcb:BCB4264_A2514
ko:K01895	bcb:BCB4264_A2517
ko:K07001	bcb:BCB4264_A2480
ko:K01752	bcb:BCB4264_A2482
ko:K01752	bcb:BCB4264_A2483
ko:K03837	bcb:BCB4264_A2484
ko:K03716	bcb:BCB4264_A2489
ko:K06213	bcb:BCB4264_A2496
ko:K03088	bcb:BCB4264_A2499
ko:K01126	bcb:BCB4264_A2689
ko:K11686	bcb:BCB4264_A2269
ko:K01784	bcb:BCB4264_A5574
ko:K11619	bcb:BCB4264_A1491
ko:K01868	bcb:BCB4264_A2354
ko:K02003	bcb:BCB4264_A2355
ko:K02004	bcb:BCB4264_A2356
ko:K02034	bcb:BCB4264_A2359
ko:K00158	bcb:BCB4264_A2360
ko:K07238	bcb:BCB4264_A2361
ko:K05366	bcb:BCB4264_A2312
ko:K01647	bcb:BCB4264_A2315
ko:K01720	bcb:BCB4264_A2316
ko:K00140	bcb:BCB4264_A2320
ko:K03547	bcb:BCB4264_A2325
ko:K00216	bcb:BCB4264_A2333
ko:K02361	bcb:BCB4264_A2334
ko:K06133	bcb:BCB4264_A2340
ko:K03530	bcb:BCB4264_A2342
ko:K03310	bcb:BCB4264_A2346
ko:K06182	bcb:BCB4264_A2353
ko:K09936	bcb:BCB4264_A2367
ko:K09936	bcb:BCB4264_A2369
ko:K06994	bcb:BCB4264_A2374
ko:K03825	bcb:BCB4264_A2378
ko:K00231	bcb:BCB4264_A2383
ko:K03704	bcb:BCB4264_A2387
ko:K00133	bcb:BCB4264_A2392
ko:K01710	bcb:BCB4264_A1269
ko:K01092	bcb:BCB4264_A4061
ko:K03524	bcb:BCB4264_A1593
ko:K11638	bcb:BCB4264_A0966
ko:K01281	bcb:BCB4264_A2873
ko:K01243	bcb:BCB4264_A2529
ko:K01243	bcb:BCB4264_A2883
ko:K02237	bcb:BCB4264_A4447
ko:K01358	bcb:BCB4264_A2798
ko:K03386	bcb:BCB4264_A0392
ko:K00024	bcb:BCB4264_A4702
ko:K03762	bcb:BCB4264_A3018
ko:K01358	bcb:BCB4264_A5270
ko:K00661	bcb:BCB4264_A4774
ko:K01436	bcb:BCB4264_A0740
ko:K01436	bcb:BCB4264_A1426
ko:K06714	bcb:BCB4264_A2280
ko:K01874	bcb:BCB4264_A5183
ko:K01890	bcb:BCB4264_A4671
ko:K11717	bcb:BCB4264_A5123
ko:K07098	bcb:BCB4264_A3825
ko:K07098	bcb:BCB4264_A4096
ko:K07052	bcb:BCB4264_A0296
ko:K02303	bcb:BCB4264_A1481
ko:K12257	bcb:BCB4264_A4530
ko:K03768	bcb:BCB4264_A4170
ko:K03657	bcb:BCB4264_A1075
ko:K01118	bcb:BCB4264_A1914
ko:K03657	bcb:BCB4264_A2823
ko:K03574	bcb:BCB4264_A3056
ko:K07979	bcb:BCB4264_A4333
ko:K00863	bcb:BCB4264_A1008
ko:K06419	bcb:BCB4264_A0911
ko:K00951	bcb:BCB4264_A4526
ko:K11754	bcb:BCB4264_A4575
ko:K01714	bcb:BCB4264_A2844
ko:K01961	bcb:BCB4264_A4294
ko:K03740	bcb:BCB4264_A2859
ko:K18941	bcb:BCB4264_A3606
ko:K13767	bcb:BCB4264_A4632
ko:K06395	bcb:BCB4264_A4298
ko:K03296	bcb:BCB4264_A0754
ko:K01077	bcb:BCB4264_A3003
ko:K07396	bcb:BCB4264_A0950
ko:K03321	bcb:BCB4264_A3404
ko:K03321	bcb:BCB4264_A0930
ko:K02347	bcb:BCB4264_A4663
ko:K18925	bcb:BCB4264_A0888
ko:K06305	bcb:BCB4264_A5514
ko:K13256	bcb:BCB4264_A3496
ko:K06295	bcb:BCB4264_A0671
ko:K06300	bcb:BCB4264_A1199
ko:K06299	bcb:BCB4264_A1200
ko:K06301	bcb:BCB4264_A1198
ko:K13256	bcb:BCB4264_A5225
ko:K06183	bcb:BCB4264_A4818
ko:K13038	bcb:BCB4264_A3968
ko:K06303	bcb:BCB4264_A1196
ko:K08234	bcb:BCB4264_A0645
ko:K13281	bcb:BCB4264_A5470
ko:K06306	bcb:BCB4264_A3715
ko:K06341	bcb:BCB4264_A2888
ko:K06342	bcb:BCB4264_A2889
ko:K06342	bcb:BCB4264_A2887
ko:K06307	bcb:BCB4264_A3682
ko:K06308	bcb:BCB4264_A3119
ko:K11085	bcb:BCB4264_A0532
ko:K06413	bcb:BCB4264_A3809
ko:K06417	bcb:BCB4264_A4578
ko:K06348	bcb:BCB4264_A5042
ko:K06351	bcb:BCB4264_A3088
ko:K06380	bcb:BCB4264_A4574
ko:K06386	bcb:BCB4264_A5403
ko:K07729	bcb:BCB4264_A0729
ko:K13275	bcb:BCB4264_A2003
ko:K03887	bcb:BCB4264_A1579
ko:K06867	bcb:BCB4264_A4783
ko:K18231	bcb:BCB4264_A2573
ko:K13531	bcb:BCB4264_A3841
ko:K04091	bcb:BCB4264_A2929
ko:K07214	bcb:BCB4264_A2713
ko:K00058	bcb:BCB4264_A3260
ko:K06378	bcb:BCB4264_A4184
ko:K01990	bcb:BCB4264_A1084
ko:K02823	bcb:BCB4264_A3983
ko:K09963	bcb:BCB4264_A0878
ko:K06409	bcb:BCB4264_A4532
ko:K10810	bcb:BCB4264_A0786
ko:K06402	bcb:BCB4264_A4565
ko:K05281	bcb:BCB4264_A3050
ko:K00128	bcb:BCB4264_A1336
ko:K18925	bcb:BCB4264_A4913
ko:K09963	bcb:BCB4264_A0842
ko:K03406	bcb:BCB4264_A0594
ko:K05020	bcb:BCB4264_A5363
ko:K00131	bcb:BCB4264_A0905
ko:K00019	bcb:BCB4264_A4137
ko:K12574	bcb:BCB4264_A3896
ko:K15518	bcb:BCB4264_A0020
ko:K06421	bcb:BCB4264_A1363
ko:K07017	bcb:BCB4264_A3833
ko:K06410	bcb:BCB4264_A3901
ko:K12573	bcb:BCB4264_A5243
ko:K01784	bcb:BCB4264_A5388
ko:K00104	bcb:BCB4264_A1348
ko:K00841	bcb:BCB4264_A4115
ko:K13730	bcb:BCB4264_A1382
ko:K01534	bcb:BCB4264_A0475
ko:K13542	bcb:BCB4264_A2150
ko:K01534	bcb:BCB4264_A0634
ko:K06415	bcb:BCB4264_A0822
ko:K06377	bcb:BCB4264_A2289
ko:K07533	bcb:BCB4264_A2301
ko:K00851	bcb:BCB4264_A2253
ko:K03299	bcb:BCB4264_A2254
ko:K00033	bcb:BCB4264_A2255
ko:K05845	bcb:BCB4264_A2263
ko:K05846	bcb:BCB4264_A2263
ko:K01119	bcb:BCB4264_A2743
ko:K03480	bcb:BCB4264_A4160
ko:K03741	bcb:BCB4264_A3186
ko:K07258	bcb:BCB4264_A2457
ko:K07098	bcb:BCB4264_A2504
ko:K00657	bcb:BCB4264_A2697
ko:K07025	bcb:BCB4264_A2738
ko:K02057	bcb:BCB4264_A3887
ko:K01992	bcb:BCB4264_A0539
ko:K13789	bcb:BCB4264_A4288
ko:K02217	bcb:BCB4264_A5201
ko:K00611	bcb:BCB4264_A4238
ko:K01537	bcb:BCB4264_A0470
ko:K02363	bcb:BCB4264_A2335
ko:K02004	bcb:BCB4264_A4955
ko:K06956	bcb:BCB4264_A4358
ko:K03215	bcb:BCB4264_A0381
ko:K03657	bcb:BCB4264_A1279
ko:K03574	bcb:BCB4264_A0659
ko:K02503	bcb:BCB4264_A1083
ko:K13075	bcb:BCB4264_A3458
ko:K01537	bcb:BCB4264_A3973
ko:K00949	bcb:BCB4264_A3958
ko:K06347	bcb:BCB4264_A5041
ko:K06310	bcb:BCB4264_A3138
ko:K01491	bcb:BCB4264_A4291
ko:K04072	bcb:BCB4264_A4490
ko:K13292	bcb:BCB4264_A5281
ko:K07250	bcb:BCB4264_A0371
ko:K09457	bcb:BCB4264_A1397
ko:K03328	bcb:BCB4264_A0060
ko:K00625	bcb:BCB4264_A5510
ko:K00805	bcb:BCB4264_A1568
ko:K00034	bcb:BCB4264_A4828
ko:K18924	bcb:BCB4264_A0887
ko:K00620	bcb:BCB4264_A4241
ko:K06318	bcb:BCB4264_A4542
ko:K06325	bcb:BCB4264_A0403
ko:K06327	bcb:BCB4264_A1613
ko:K06328	bcb:BCB4264_A3869
ko:K06330	bcb:BCB4264_A2036
ko:K06332	bcb:BCB4264_A0859
ko:K06313	bcb:BCB4264_A2759
ko:K01077	bcb:BCB4264_A4466
ko:K01990	bcb:BCB4264_A3341
ko:K07729	bcb:BCB4264_A1315
ko:K06418	bcb:BCB4264_A3113
ko:K06425	bcb:BCB4264_A0650
ko:K06428	bcb:BCB4264_A0522
ko:K02824	bcb:BCB4264_A3989
ko:K01777	bcb:BCB4264_A2846
ko:K06404	bcb:BCB4264_A4178
ko:K06350	bcb:BCB4264_A3087
ko:K06335	bcb:BCB4264_A3729
ko:K06336	bcb:BCB4264_A1330
ko:K06370	bcb:BCB4264_A4545
ko:K06371	bcb:BCB4264_A4457
ko:K06375	bcb:BCB4264_A4559
ko:K06401	bcb:BCB4264_A4566
ko:K06403	bcb:BCB4264_A4179
ko:K06411	bcb:BCB4264_A3900
ko:K08986	bcb:BCB4264_A2042
ko:K07052	bcb:BCB4264_A2388
ko:K01994	bcb:BCB4264_A4609
ko:K02205	bcb:BCB4264_A0679
ko:K13853	bcb:BCB4264_A2960
ko:K13853	bcb:BCB4264_A4791
ko:K13953	bcb:BCB4264_A2248
ko:K03574	bcb:BCB4264_A5275
ko:K04517	bcb:BCB4264_A2957
ko:K01958	bcb:BCB4264_A4050
ko:K11184	bcb:BCB4264_A5271
ko:K00958	bcb:BCB4264_A1477
ko:K13653	bcb:BCB4264_A4957
ko:K01961	bcb:BCB4264_A2512
ko:K01759	bcb:BCB4264_A2970
ko:K01455	bcb:BCB4264_A4041
ko:K13532	bcb:BCB4264_A1387
ko:K07697	bcb:BCB4264_A4112
ko:K05799	bcb:BCB4264_A1353
ko:K03886	bcb:BCB4264_A1578
ko:K14228	bcb:BCB4264_A5638
ko:K14228	bcb:BCB4264_A5731
ko:K14228	bcb:BCB4264_A5814
ko:K00974	bcb:BCB4264_A1592
ko:K13955	bcb:BCB4264_A2675
ko:K08222	bcb:BCB4264_A4390
ko:K11535	bcb:BCB4264_A1896
ko:K07213	bcb:BCB4264_A3830
ko:K02827	bcb:BCB4264_A0736
ko:K00652	bcb:BCB4264_A4228
ko:K07228	bcb:BCB4264_A5194
ko:K13652	bcb:BCB4264_A3053
ko:K03719	bcb:BCB4264_A1414
ko:K04750	bcb:BCB4264_A4753
ko:K02057	bcb:BCB4264_A3888
ko:K08978	bcb:BCB4264_A0481
ko:K07516	bcb:BCB4264_A5150
ko:K14230	bcb:BCB4264_A5810
ko:K14230	bcb:BCB4264_A5628
ko:K03293	bcb:BCB4264_A3459
ko:K14233	bcb:BCB4264_A5621
ko:K14233	bcb:BCB4264_A5808
ko:K14233	bcb:BCB4264_A5736
ko:K14233	bcb:BCB4264_A5735
ko:K03296	bcb:BCB4264_A5560
ko:K03491	bcb:BCB4264_A0843
ko:K14392	bcb:BCB4264_A3660
ko:K06889	bcb:BCB4264_A3325
ko:K02304	bcb:BCB4264_A2148
ko:K02056	bcb:BCB4264_A3889
ko:K07979	bcb:BCB4264_A4186
ko:K03093	bcb:BCB4264_A3433
ko:K14224	bcb:BCB4264_A5652
ko:K14224	bcb:BCB4264_A5708
ko:K14224	bcb:BCB4264_A5665
ko:K14224	bcb:BCB4264_A5798
ko:K14224	bcb:BCB4264_A5629
ko:K14224	bcb:BCB4264_A5832
ko:K05822	bcb:BCB4264_A4084
ko:K14229	bcb:BCB4264_A5635
ko:K14229	bcb:BCB4264_A5803
ko:K14229	bcb:BCB4264_A5728
ko:K14229	bcb:BCB4264_A5833
ko:K14229	bcb:BCB4264_A5656
ko:K14229	bcb:BCB4264_A5670
ko:K14237	bcb:BCB4264_A5633
ko:K14237	bcb:BCB4264_A5653
ko:K14237	bcb:BCB4264_A5709
ko:K14237	bcb:BCB4264_A5725
ko:K14237	bcb:BCB4264_A5666
ko:K14237	bcb:BCB4264_A5819
ko:K14228	bcb:BCB4264_A5720
ko:K06893	bcb:BCB4264_A0880
ko:K14220	bcb:BCB4264_A5650
ko:K14220	bcb:BCB4264_A5743
ko:K14220	bcb:BCB4264_A5663
ko:K14220	bcb:BCB4264_A5800
ko:K14220	bcb:BCB4264_A5706
ko:K07705	bcb:BCB4264_A5565
ko:K07052	bcb:BCB4264_A1892
ko:K01449	bcb:BCB4264_A5513
ko:K14228	bcb:BCB4264_A5816
ko:K14228	bcb:BCB4264_A5729
ko:K14228	bcb:BCB4264_A5636
ko:K01983	bcb:BCB4264_A5622
ko:K01990	bcb:BCB4264_A1408
ko:K14219	bcb:BCB4264_A5793
ko:K01449	bcb:BCB4264_A2760
ko:K00318	bcb:BCB4264_A5153
ko:K11189	bcb:BCB4264_A4158
ko:K02851	bcb:BCB4264_A5322
ko:K13653	bcb:BCB4264_A1170
ko:K13770	bcb:BCB4264_A4633
ko:K00632	bcb:BCB4264_A5149
ko:K13530	bcb:BCB4264_A3840
ko:K00121	bcb:BCB4264_A3114
ko:K01664	bcb:BCB4264_A0077
ko:K06867	bcb:BCB4264_A0600
ko:K01990	bcb:BCB4264_A4332
ko:K08602	bcb:BCB4264_A3489
ko:K14155	bcb:BCB4264_A5038
ko:K08777	bcb:BCB4264_A5188
ko:K07117	bcb:BCB4264_A5217
ko:K06131	bcb:BCB4264_A2045
ko:K14221	bcb:BCB4264_A5668
ko:K14221	bcb:BCB4264_A5679
ko:K14221	bcb:BCB4264_A5711
ko:K14221	bcb:BCB4264_A5806
ko:K14221	bcb:BCB4264_A5738
ko:K14221	bcb:BCB4264_A5831
ko:K01286	bcb:BCB4264_A3030
ko:K14225	bcb:BCB4264_A5637
ko:K14225	bcb:BCB4264_A5718
ko:K14225	bcb:BCB4264_A5815
ko:K14225	bcb:BCB4264_A5730
ko:K14225	bcb:BCB4264_A5657
ko:K02010	bcb:BCB4264_A1752
ko:K00941	bcb:BCB4264_A0791
ko:K07219	bcb:BCB4264_A0229
ko:K14338	bcb:BCB4264_A3231
ko:K14226	bcb:BCB4264_A5716
ko:K14226	bcb:BCB4264_A5817
ko:K14540	bcb:BCB4264_A3936
ko:K06131	bcb:BCB4264_A5469
ko:K14233	bcb:BCB4264_A5799
ko:K14233	bcb:BCB4264_A5664
ko:K14230	bcb:BCB4264_A5809
ko:K14230	bcb:BCB4264_A5791
ko:K03436	bcb:BCB4264_A3818
ko:K14234	bcb:BCB4264_A5651
ko:K01892	bcb:BCB4264_A3329
ko:K00873	bcb:BCB4264_A3335
ko:K01867	bcb:BCB4264_A3353
ko:K09984	bcb:BCB4264_A3382
ko:K00615	bcb:BCB4264_A3388
ko:K00036	bcb:BCB4264_A3389
ko:K05967	bcb:BCB4264_A3396
ko:K07078	bcb:BCB4264_A3400
ko:K08987	bcb:BCB4264_A3402
ko:K06193	bcb:BCB4264_A3403
ko:K03837	bcb:BCB4264_A3407
ko:K02259	bcb:BCB4264_A4049
ko:K03588	bcb:BCB4264_A4051
ko:K02553	bcb:BCB4264_A3321
ko:K00937	bcb:BCB4264_A4098
ko:K00549	bcb:BCB4264_A4108
ko:K00099	bcb:BCB4264_A3354
ko:K00978	bcb:BCB4264_A3373
ko:K01709	bcb:BCB4264_A3374
ko:K03710	bcb:BCB4264_A4162
ko:K01443	bcb:BCB4264_A4164
ko:K06024	bcb:BCB4264_A4166
ko:K05896	bcb:BCB4264_A4167
ko:K02859	bcb:BCB4264_A4169
ko:K06408	bcb:BCB4264_A4173
ko:K14236	bcb:BCB4264_A5654
ko:K14236	bcb:BCB4264_A5714
ko:K14236	bcb:BCB4264_A5726
ko:K14218	bcb:BCB4264_A5618
ko:K14218	bcb:BCB4264_A5625
ko:K14218	bcb:BCB4264_A5641
ko:K14218	bcb:BCB4264_A5811
ko:K14218	bcb:BCB4264_A5734
ko:K14218	bcb:BCB4264_A5658
ko:K01990	bcb:BCB4264_A2212
ko:K10947	bcb:BCB4264_A4136
ko:K06407	bcb:BCB4264_A4174
ko:K06407	bcb:BCB4264_A4175
ko:K06406	bcb:BCB4264_A4176
ko:K07084	bcb:BCB4264_A4213
ko:K00793	bcb:BCB4264_A4221
ko:K00794	bcb:BCB4264_A4223
ko:K01012	bcb:BCB4264_A4225
ko:K02169	bcb:BCB4264_A4226
ko:K02170	bcb:BCB4264_A4227
ko:K01935	bcb:BCB4264_A4229
ko:K00833	bcb:BCB4264_A4230
ko:K03315	bcb:BCB4264_A4232
ko:K00133	bcb:BCB4264_A3899
ko:K00962	bcb:BCB4264_A3905
