ko:K01978	mhay:VK67_13750
ko:K02198	mhay:VK67_01430
ko:K03979	mhay:VK67_01440
ko:K01887	mhay:VK67_01445
ko:K09907	mhay:VK67_01450
ko:K06077	mhay:VK67_01455
ko:K00616	mhay:VK67_01465
ko:K07729	mhay:VK67_05830
ko:K03310	mhay:VK67_06050
ko:K01902	mhay:VK67_06055
ko:K01903	mhay:VK67_06060
ko:K00658	mhay:VK67_06065
ko:K02020	mhay:VK67_10300
ko:K01992	mhay:VK67_10305
ko:K01990	mhay:VK67_10310
ko:K02343	mhay:VK67_10315
ko:K00759	mhay:VK67_10320
ko:K02560	mhay:VK67_10325
ko:K03613	mhay:VK67_10330
ko:K03612	mhay:VK67_10335
ko:K03614	mhay:VK67_10340
ko:K03615	mhay:VK67_10350
ko:K03616	mhay:VK67_10355
ko:K03617	mhay:VK67_10360
ko:K02342	mhay:VK67_10385
ko:K02939	mhay:VK67_10390
ko:K02963	mhay:VK67_10395
ko:K02686	mhay:VK67_10400
ko:K02990	mhay:VK67_10405
ko:K01945	mhay:VK67_10410
ko:K00705	mhay:VK67_10425
ko:K03811	mhay:VK67_10430
ko:K06178	mhay:VK67_10445
ko:K01657	mhay:VK67_10455
ko:K01658	mhay:VK67_10460
ko:K00766	mhay:VK67_10470
ko:K02426	mhay:VK67_10485
ko:K01358	mhay:VK67_10490
ko:K03544	mhay:VK67_10495
ko:K00912	mhay:VK67_10520
ko:K09791	mhay:VK67_10525
ko:K01784	mhay:VK67_10530
ko:K00297	mhay:VK67_10540
ko:K16092	mhay:VK67_10545
ko:K02015	mhay:VK67_10560
ko:K02013	mhay:VK67_10565
ko:K07186	mhay:VK67_02995
ko:K01079	mhay:VK67_03000
ko:K09767	mhay:VK67_03005
ko:K00024	mhay:VK67_03015
ko:K03402	mhay:VK67_03020
ko:K07071	mhay:VK67_03025
ko:K03657	mhay:VK67_03030
ko:K00014	mhay:VK67_03055
ko:K07566	mhay:VK67_03060
ko:K07479	mhay:VK67_03065
ko:K09900	mhay:VK67_03070
ko:K03565	mhay:VK67_03075
ko:K02619	mhay:VK67_03085
ko:K01665	mhay:VK67_03090
ko:K09760	mhay:VK67_03095
ko:K01664	mhay:VK67_03100
ko:K02835	mhay:VK67_03105
ko:K02493	mhay:VK67_03115
ko:K01627	mhay:VK67_03125
ko:K00018	mhay:VK67_03130
ko:K09808	mhay:VK67_03135
ko:K09810	mhay:VK67_03140
ko:K09808	mhay:VK67_03145
ko:K01868	mhay:VK67_03150
ko:K03523	mhay:VK67_03160
ko:K01186	mhay:VK67_07555
ko:K00760	mhay:VK67_07560
ko:K03592	mhay:VK67_07565
ko:K09889	mhay:VK67_07570
ko:K07150	mhay:VK67_07580
ko:K03186	mhay:VK67_07585
ko:K09979	mhay:VK67_07590
ko:K02014	mhay:VK67_07600
ko:K07214	mhay:VK67_07605
ko:K00773	mhay:VK67_07635
ko:K03704	mhay:VK67_07645
ko:K02099	mhay:VK67_07655
ko:K02058	mhay:VK67_07660
ko:K02056	mhay:VK67_07665
ko:K02057	mhay:VK67_07670
ko:K02057	mhay:VK67_07675
ko:K07112	mhay:VK67_07685
ko:K02371	mhay:VK67_07700
ko:K07738	mhay:VK67_07715
ko:K09902	mhay:VK67_07720
ko:K02016	mhay:VK67_07730
ko:K02015	mhay:VK67_07735
ko:K02013	mhay:VK67_07745
ko:K00990	mhay:VK67_07750
ko:K07301	mhay:VK67_07755
ko:K00831	mhay:VK67_07760
ko:K07220	mhay:VK67_07765
ko:K03306	mhay:VK67_07770
ko:K07184	mhay:VK67_07775
ko:K00800	mhay:VK67_07780
ko:K00817	mhay:VK67_07785
ko:K03798	mhay:VK67_07795
ko:K00765	mhay:VK67_11965
ko:K01923	mhay:VK67_11970
ko:K00053	mhay:VK67_11975
ko:K03808	mhay:VK67_11980
ko:K01734	mhay:VK67_12000
ko:K01733	mhay:VK67_12005
ko:K04761	mhay:VK67_12015
ko:K02558	mhay:VK67_12060
ko:K04754	mhay:VK67_12065
ko:K03764	mhay:VK67_12070
ko:K14392	mhay:VK67_12080
ko:K03313	mhay:VK67_12085
ko:K08978	mhay:VK67_12090
ko:K06133	mhay:VK67_12095
ko:K13256	mhay:VK67_12100
ko:K01515	mhay:VK67_12105
ko:K03533	mhay:VK67_12130
ko:K07811	mhay:VK67_12135
ko:K03532	mhay:VK67_12140
ko:K02571	mhay:VK67_12145
ko:K03651	mhay:VK67_12150
ko:K02569	mhay:VK67_12155
ko:K02568	mhay:VK67_12160
ko:K02574	mhay:VK67_12165
ko:K02573	mhay:VK67_12170
ko:K02567	mhay:VK67_12175
ko:K02570	mhay:VK67_12180
ko:K02572	mhay:VK67_12185
ko:K13745	mhay:VK67_12200
ko:K00836	mhay:VK67_12205
ko:K02526	mhay:VK67_12215
ko:K02913	mhay:VK67_12230
ko:K08681	mhay:VK67_01470
ko:K06215	mhay:VK67_01475
ko:K00375	mhay:VK67_01480
ko:K03269	mhay:VK67_01510
ko:K03424	mhay:VK67_01520
ko:K07746	mhay:VK67_01530
ko:K02341	mhay:VK67_01535
ko:K00943	mhay:VK67_01540
ko:K07082	mhay:VK67_01545
ko:K01507	mhay:VK67_01565
ko:K01867	mhay:VK67_01575
ko:K18841	mhay:VK67_01580
ko:K18842	mhay:VK67_01585
ko:K01091	mhay:VK67_01590
ko:K13292	mhay:VK67_01595
ko:K08311	mhay:VK67_01605
ko:K00101	mhay:VK67_01610
ko:K01070	mhay:VK67_01625
ko:K13979	mhay:VK67_01630
ko:K09936	mhay:VK67_01665
ko:K07001	mhay:VK67_01690
ko:K02553	mhay:VK67_01695
ko:K03442	mhay:VK67_01700
ko:K06179	mhay:VK67_01705
ko:K00796	mhay:VK67_01710
ko:K01439	mhay:VK67_01720
ko:K03316	mhay:VK67_01725
ko:K07112	mhay:VK67_01730
ko:K03781	mhay:VK67_01740
ko:K03686	mhay:VK67_01745
ko:K04043	mhay:VK67_01755
ko:K00164	mhay:VK67_06070
ko:K09817	mhay:VK67_06075
ko:K03981	mhay:VK67_06085
ko:K07462	mhay:VK67_06090
ko:K07674	mhay:VK67_06105
ko:K03823	mhay:VK67_06110
ko:K02428	mhay:VK67_06115
ko:K09160	mhay:VK67_06125
ko:K03271	mhay:VK67_06130
ko:K03721	mhay:VK67_06135
ko:K19226	mhay:VK67_06140
ko:K19227	mhay:VK67_06145
ko:K19228	mhay:VK67_06150
ko:K19229	mhay:VK67_06155
ko:K00052	mhay:VK67_06165
ko:K07305	mhay:VK67_06170
ko:K00134	mhay:VK67_06175
ko:K03427	mhay:VK67_10585
ko:K00548	mhay:VK67_10590
ko:K08218	mhay:VK67_10595
ko:K02013	mhay:VK67_10600
ko:K02016	mhay:VK67_10605
ko:K02015	mhay:VK67_10610
ko:K02015	mhay:VK67_10615
ko:K16088	mhay:VK67_10625
ko:K00939	mhay:VK67_10630
ko:K09794	mhay:VK67_10640
ko:K14170	mhay:VK67_10645
ko:K01414	mhay:VK67_10650
ko:K04069	mhay:VK67_10655
ko:K00656	mhay:VK67_10665
ko:K06212	mhay:VK67_10670
ko:K03799	mhay:VK67_10680
ko:K02346	mhay:VK67_10685
ko:K01876	mhay:VK67_10695
ko:K01347	mhay:VK67_10700
ko:K03424	mhay:VK67_03170
ko:K01662	mhay:VK67_03180
ko:K01092	mhay:VK67_03185
ko:K03214	mhay:VK67_03190
ko:K00858	mhay:VK67_03195
ko:K00549	mhay:VK67_03205
ko:K00600	mhay:VK67_03215
ko:K16087	mhay:VK67_03225
ko:K16087	mhay:VK67_03230
ko:K11175	mhay:VK67_03235
ko:K02013	mhay:VK67_03240
ko:K02015	mhay:VK67_03245
ko:K02016	mhay:VK67_03250
ko:K16087	mhay:VK67_03255
ko:K10823	mhay:VK67_03265
ko:K15583	mhay:VK67_03265
ko:K15582	mhay:VK67_03270
ko:K15581	mhay:VK67_03275
ko:K11070	mhay:VK67_03280
ko:K11071	mhay:VK67_03285
ko:K11072	mhay:VK67_03290
ko:K03656	mhay:VK67_03295
ko:K01744	mhay:VK67_03300
ko:K01933	mhay:VK67_03310
ko:K16868	mhay:VK67_03315
ko:K00484	mhay:VK67_03320
ko:K09901	mhay:VK67_03325
ko:K08316	mhay:VK67_03330
ko:K03110	mhay:VK67_03335
ko:K09812	mhay:VK67_03340
ko:K09811	mhay:VK67_03345
ko:K18800	mhay:VK67_03360
ko:K06958	mhay:VK67_03365
ko:K02806	mhay:VK67_03370
ko:K06861	mhay:VK67_03375
ko:K09774	mhay:VK67_03380
ko:K11719	mhay:VK67_03385
ko:K01142	mhay:VK67_03390
ko:K07084	mhay:VK67_03395
ko:K07085	mhay:VK67_03400
ko:K00705	mhay:VK67_03405
ko:K00688	mhay:VK67_03410
ko:K03556	mhay:VK67_03415
ko:K01176	mhay:VK67_03420
ko:K10110	mhay:VK67_03425
ko:K10109	mhay:VK67_03430
ko:K02427	mhay:VK67_07800
ko:K04042	mhay:VK67_07810
ko:K04067	mhay:VK67_07820
ko:K00382	mhay:VK67_07835
ko:K00627	mhay:VK67_07840
ko:K00163	mhay:VK67_07845
ko:K00254	mhay:VK67_07850
ko:K00948	mhay:VK67_07855
ko:K00919	mhay:VK67_07860
ko:K02494	mhay:VK67_07865
ko:K11085	mhay:VK67_07870
ko:K06518	mhay:VK67_07880
ko:K05833	mhay:VK67_07895
ko:K05832	mhay:VK67_07900
ko:K03321	mhay:VK67_07905
ko:K03701	mhay:VK67_07910
ko:K03111	mhay:VK67_07915
ko:K07154	mhay:VK67_07925
ko:K03777	mhay:VK67_07935
ko:K02902	mhay:VK67_12235
ko:K03630	mhay:VK67_12240
ko:K13038	mhay:VK67_12245
ko:K05501	mhay:VK67_12270
ko:K09898	mhay:VK67_12275
ko:K10914	mhay:VK67_12280
ko:K00075	mhay:VK67_12285
ko:K03524	mhay:VK67_12290
ko:K16087	mhay:VK67_12305
ko:K12368	mhay:VK67_12310
ko:K01407	mhay:VK67_12315
ko:K03583	mhay:VK67_12320
ko:K02681	mhay:VK67_12325
ko:K02680	mhay:VK67_12335
ko:K02679	mhay:VK67_12340
ko:K00819	mhay:VK67_12360
ko:K03315	mhay:VK67_12365
ko:K13821	mhay:VK67_12370
ko:K10541	mhay:VK67_12385
ko:K10542	mhay:VK67_12390
ko:K10540	mhay:VK67_12395
ko:K10540	mhay:VK67_12400
ko:K02551	mhay:VK67_12420
ko:K08680	mhay:VK67_12425
ko:K07724	mhay:VK67_12455
ko:K10108	mhay:VK67_03435
ko:K10111	mhay:VK67_03440
ko:K05775	mhay:VK67_03450
ko:K11747	mhay:VK67_03455
ko:K05851	mhay:VK67_03460
ko:K00647	mhay:VK67_03465
ko:K01972	mhay:VK67_03480
ko:K03528	mhay:VK67_03485
ko:K06203	mhay:VK67_03490
ko:K03832	mhay:VK67_03495
ko:K03559	mhay:VK67_03500
ko:K03561	mhay:VK67_03505
ko:K02439	mhay:VK67_03510
ko:K05838	mhay:VK67_03515
ko:K05881	mhay:VK67_03520
ko:K08223	mhay:VK67_00715
ko:K04752	mhay:VK67_01760
ko:K03665	mhay:VK67_01780
ko:K03666	mhay:VK67_01785
ko:K00791	mhay:VK67_01790
ko:K07473	mhay:VK67_01795
ko:K19157	mhay:VK67_01800
ko:K03572	mhay:VK67_01805
ko:K00147	mhay:VK67_01810
ko:K07058	mhay:VK67_01815
ko:K07560	mhay:VK67_01820
ko:K10563	mhay:VK67_01825
ko:K03311	mhay:VK67_01830
ko:K00059	mhay:VK67_01835
ko:K00645	mhay:VK67_01845
ko:K09765	mhay:VK67_01850
ko:K02523	mhay:VK67_01855
ko:K02888	mhay:VK67_01860
ko:K02899	mhay:VK67_01865
ko:K15977	mhay:VK67_01890
ko:K07792	mhay:VK67_01895
ko:K00611	mhay:VK67_01905
ko:K15460	mhay:VK67_01910
ko:K04047	mhay:VK67_01915
ko:K05365	mhay:VK67_01920
ko:K01661	mhay:VK67_01925
ko:K01190	mhay:VK67_01930
ko:K03284	mhay:VK67_01940
ko:K03183	mhay:VK67_01945
ko:K03690	mhay:VK67_01950
ko:K03688	mhay:VK67_01960
ko:K03116	mhay:VK67_01965
ko:K03117	mhay:VK67_01970
ko:K03118	mhay:VK67_01975
ko:K01698	mhay:VK67_01980
ko:K00648	mhay:VK67_01985
ko:K03439	mhay:VK67_01990
ko:K09923	mhay:VK67_01995
ko:K02221	mhay:VK67_02000
ko:K10010	mhay:VK67_02005
ko:K10009	mhay:VK67_02010
ko:K02424	mhay:VK67_02015
ko:K02919	mhay:VK67_02020
ko:K02909	mhay:VK67_02025
ko:K01783	mhay:VK67_02030
ko:K03111	mhay:VK67_06400
ko:K01525	mhay:VK67_06435
ko:K01147	mhay:VK67_06440
ko:K00208	mhay:VK67_06455
ko:K06149	mhay:VK67_06465
ko:K01872	mhay:VK67_06470
ko:K03563	mhay:VK67_06475
ko:K03633	mhay:VK67_06485
ko:K03804	mhay:VK67_06490
ko:K03632	mhay:VK67_06495
ko:K08159	mhay:VK67_06500
ko:K08159	mhay:VK67_06505
ko:K07014	mhay:VK67_06510
ko:K09904	mhay:VK67_06515
ko:K18136	mhay:VK67_06520
ko:K03585	mhay:VK67_06525
ko:K18138	mhay:VK67_06530
ko:K00088	mhay:VK67_06535
ko:K01951	mhay:VK67_06550
ko:K09908	mhay:VK67_06555
ko:K02871	mhay:VK67_06560
ko:K02996	mhay:VK67_06565
ko:K09861	mhay:VK67_06575
ko:K13283	mhay:VK67_06585
ko:K06956	mhay:VK67_06595
ko:K01889	mhay:VK67_06605
ko:K01890	mhay:VK67_06610
ko:K04764	mhay:VK67_06615
ko:K04691	mhay:VK67_06625
ko:K00945	mhay:VK67_06630
ko:K02945	mhay:VK67_06635
ko:K05788	mhay:VK67_06640
ko:K08992	mhay:VK67_06645
ko:K01591	mhay:VK67_06655
ko:K03113	mhay:VK67_06660
ko:K08309	mhay:VK67_06665
ko:K07724	mhay:VK67_10945
ko:K01347	mhay:VK67_10955
ko:K08310	mhay:VK67_10970
ko:K01159	mhay:VK67_10985
ko:K00790	mhay:VK67_10990
ko:K07122	mhay:VK67_11000
ko:K07323	mhay:VK67_11005
ko:K02067	mhay:VK67_11010
ko:K02066	mhay:VK67_11015
ko:K02065	mhay:VK67_11020
ko:K04018	mhay:VK67_11030
ko:K04017	mhay:VK67_11035
ko:K02199	mhay:VK67_11040
ko:K04016	mhay:VK67_11045
ko:K04015	mhay:VK67_11050
ko:K04014	mhay:VK67_11055
ko:K04013	mhay:VK67_11060
ko:K03385	mhay:VK67_11065
ko:K01652	mhay:VK67_11070
ko:K11258	mhay:VK67_11075
ko:K00878	mhay:VK67_11090
ko:K14153	mhay:VK67_11100
ko:K04773	mhay:VK67_11115
ko:K06959	mhay:VK67_11125
ko:K05879	mhay:VK67_03525
ko:K05878	mhay:VK67_03530
ko:K00384	mhay:VK67_03535
ko:K00979	mhay:VK67_03540
ko:K02064	mhay:VK67_03555
ko:K06204	mhay:VK67_03560
ko:K00970	mhay:VK67_03565
ko:K00950	mhay:VK67_03570
ko:K01759	mhay:VK67_03595
ko:K03683	mhay:VK67_03600
ko:K16087	mhay:VK67_03610
ko:K03557	mhay:VK67_03615
ko:K05540	mhay:VK67_03620
ko:K08296	mhay:VK67_03625
ko:K00873	mhay:VK67_03630
ko:K12982	mhay:VK67_03635
ko:K01626	mhay:VK67_03640
ko:K14187	mhay:VK67_03645
ko:K03629	mhay:VK67_03650
ko:K09747	mhay:VK67_03655
ko:K06187	mhay:VK67_03660
ko:K07390	mhay:VK67_03665
ko:K00826	mhay:VK67_03670
ko:K01897	mhay:VK67_03685
ko:K09906	mhay:VK67_03690
ko:K04084	mhay:VK67_03695
ko:K10000	mhay:VK67_03700
ko:K09997	mhay:VK67_03705
ko:K09999	mhay:VK67_03710
ko:K09998	mhay:VK67_03715
ko:K03169	mhay:VK67_08170
ko:K18476	mhay:VK67_08225
ko:K08151	mhay:VK67_08230
ko:K03297	mhay:VK67_08235
ko:K08987	mhay:VK67_08245
ko:K03111	mhay:VK67_08290
ko:K12055	mhay:VK67_08330
ko:K03601	mhay:VK67_08340
ko:K08304	mhay:VK67_08350
ko:K03497	mhay:VK67_12705
ko:K03658	mhay:VK67_12735
ko:K03184	mhay:VK67_12755
ko:K03591	mhay:VK67_12760
ko:K15984	mhay:VK67_12765
ko:K00674	mhay:VK67_12775
ko:K03786	mhay:VK67_12785
ko:K02160	mhay:VK67_12795
ko:K01961	mhay:VK67_12800
ko:K18850	mhay:VK67_12805
ko:K04772	mhay:VK67_11025
ko:K02078	mhay:VK67_02035
ko:K01246	mhay:VK67_02040
ko:K06194	mhay:VK67_02050
ko:K03787	mhay:VK67_02070
ko:K06176	mhay:VK67_02075
ko:K01803	mhay:VK67_02080
ko:K02795	mhay:VK67_02095
ko:K02793	mhay:VK67_02100
ko:K02794	mhay:VK67_02100
ko:K01919	mhay:VK67_02105
ko:K01154	mhay:VK67_02110
ko:K01154	mhay:VK67_02120
ko:K03427	mhay:VK67_02130
ko:K01153	mhay:VK67_02135
ko:K01613	mhay:VK67_02140
ko:K02237	mhay:VK67_02145
ko:K02843	mhay:VK67_02160
ko:K02841	mhay:VK67_02165
ko:K02950	mhay:VK67_02170
ko:K02992	mhay:VK67_02175
ko:K02355	mhay:VK67_02180
ko:K02358	mhay:VK67_02185
ko:K03545	mhay:VK67_02190
ko:K03071	mhay:VK67_02200
ko:K00057	mhay:VK67_02205
ko:K00640	mhay:VK67_02210
ko:K03089	mhay:VK67_02250
ko:K09803	mhay:VK67_02265
ko:K03270	mhay:VK67_02270
ko:K06997	mhay:VK67_02275
ko:K06207	mhay:VK67_02280
ko:K03789	mhay:VK67_02285
ko:K02344	mhay:VK67_02290
ko:K00564	mhay:VK67_02295
ko:K00817	mhay:VK67_02310
ko:K09748	mhay:VK67_06680
ko:K02600	mhay:VK67_06685
ko:K02519	mhay:VK67_06690
ko:K02834	mhay:VK67_06695
ko:K03177	mhay:VK67_06700
ko:K08305	mhay:VK67_06710
ko:K11991	mhay:VK67_06715
ko:K05592	mhay:VK67_06720
ko:K05803	mhay:VK67_06725
ko:K00962	mhay:VK67_06730
ko:K07636	mhay:VK67_06735
ko:K07657	mhay:VK67_06740
ko:K02036	mhay:VK67_06745
ko:K02038	mhay:VK67_06750
ko:K02037	mhay:VK67_06755
ko:K02040	mhay:VK67_06760
ko:K02621	mhay:VK67_06765
ko:K00928	mhay:VK67_06770
ko:K02803	mhay:VK67_06775
ko:K02804	mhay:VK67_06775
ko:K09802	mhay:VK67_06780
ko:K01524	mhay:VK67_06785
ko:K11751	mhay:VK67_06800
ko:K00901	mhay:VK67_06805
ko:K07862	mhay:VK67_06810
ko:K02238	mhay:VK67_06815
ko:K07568	mhay:VK67_06825
ko:K15125	mhay:VK67_06835
ko:K02014	mhay:VK67_06865
ko:K05685	mhay:VK67_06890
ko:K07640	mhay:VK67_06895
ko:K04765	mhay:VK67_06910
ko:K04765	mhay:VK67_06915
ko:K01963	mhay:VK67_06925
ko:K11754	mhay:VK67_06930
ko:K00813	mhay:VK67_06935
ko:K06957	mhay:VK67_06940
ko:K02656	mhay:VK67_11130
ko:K06941	mhay:VK67_11145
ko:K11604	mhay:VK67_11150
ko:K11607	mhay:VK67_11155
ko:K11606	mhay:VK67_11160
ko:K11605	mhay:VK67_11165
ko:K01258	mhay:VK67_11210
ko:K18828	mhay:VK67_11215
ko:K18829	mhay:VK67_11220
ko:K09803	mhay:VK67_11230
ko:K03723	mhay:VK67_11235
ko:K03834	mhay:VK67_11240
ko:K07227	mhay:VK67_11245
ko:K16087	mhay:VK67_11250
ko:K07226	mhay:VK67_11260
ko:K01256	mhay:VK67_11265
ko:K01512	mhay:VK67_11270
ko:K15580	mhay:VK67_11275
ko:K01703	mhay:VK67_11280
ko:K01704	mhay:VK67_11285
ko:K05539	mhay:VK67_11300
ko:K03426	mhay:VK67_11320
ko:K06181	mhay:VK67_11325
ko:K03551	mhay:VK67_03720
ko:K03550	mhay:VK67_03725
ko:K01095	mhay:VK67_03735
ko:K00946	mhay:VK67_03740
ko:K03625	mhay:VK67_03745
ko:K02507	mhay:VK67_03750
ko:K05366	mhay:VK67_03775
ko:K00891	mhay:VK67_03780
ko:K01735	mhay:VK67_03785
ko:K03308	mhay:VK67_03795
ko:K00927	mhay:VK67_03800
ko:K01624	mhay:VK67_03805
ko:K19230	mhay:VK67_03810
ko:K00383	mhay:VK67_03825
ko:K02380	mhay:VK67_03835
ko:K00127	mhay:VK67_03840
ko:K00124	mhay:VK67_03845
ko:K00123	mhay:VK67_03850
ko:K00123	mhay:VK67_03855
ko:K02379	mhay:VK67_03860
ko:K07088	mhay:VK67_03865
ko:K03768	mhay:VK67_03870
ko:K01883	mhay:VK67_03875
ko:K00872	mhay:VK67_03880
ko:K12524	mhay:VK67_03885
ko:K04564	mhay:VK67_03895
ko:K01775	mhay:VK67_03900
ko:K03581	mhay:VK67_03905
ko:K01810	mhay:VK67_03935
ko:K09806	mhay:VK67_03940
ko:K06920	mhay:VK67_03945
ko:K01737	mhay:VK67_03950
ko:K02552	mhay:VK67_03980
ko:K14260	mhay:VK67_03985
ko:K05786	mhay:VK67_03990
ko:K04066	mhay:VK67_04000
ko:K00764	mhay:VK67_08360
ko:K03558	mhay:VK67_08365
ko:K03469	mhay:VK67_08370
ko:K01940	mhay:VK67_08375
ko:K12984	mhay:VK67_08385
ko:K07574	mhay:VK67_08390
ko:K00884	mhay:VK67_08405
ko:K07140	mhay:VK67_08415
ko:K03602	mhay:VK67_08420
ko:K00795	mhay:VK67_08425
ko:K09816	mhay:VK67_08435
ko:K07478	mhay:VK67_08440
ko:K03571	mhay:VK67_08445
ko:K03570	mhay:VK67_08450
ko:K03569	mhay:VK67_08455
ko:K06895	mhay:VK67_08460
ko:K00876	mhay:VK67_08465
ko:K01494	mhay:VK67_08470
ko:K03604	mhay:VK67_08485
ko:K15256	mhay:VK67_08490
ko:K03645	mhay:VK67_08500
ko:K01911	mhay:VK67_08505
ko:K05802	mhay:VK67_08510
ko:K01736	mhay:VK67_08515
ko:K07261	mhay:VK67_08520
ko:K03169	mhay:VK67_08525
ko:K03075	mhay:VK67_08530
ko:K00133	mhay:VK67_08560
ko:K03576	mhay:VK67_08565
ko:K00325	mhay:VK67_08570
ko:K00324	mhay:VK67_08575
ko:K15396	mhay:VK67_08580
ko:K00688	mhay:VK67_08585
ko:K00703	mhay:VK67_08595
ko:K00975	mhay:VK67_08600
ko:K00700	mhay:VK67_08610
ko:K02768	mhay:VK67_08615
ko:K11183	mhay:VK67_08615
ko:K00882	mhay:VK67_08620
ko:K02769	mhay:VK67_08625
